Saint Peter's,322,Lafayette,2612
5:49,2612,Cameron Jones missed Three Point Jumper.,25,24
5:49,2612,Quinn Taylor Offensive Rebound.,25,24
5:41,2612,Quinn Taylor missed Three Point Jumper.,25,24
5:41,2612,Quinn Taylor Offensive Rebound.,25,24
5:40,2612,Quinn Taylor missed Layup.,25,24
5:40,2612,Cameron Jones Offensive Rebound.,25,24
5:29,2612,Cameron Jones made Layup.,27,24
5:10,322,Alex Petrie missed Three Point Jumper.,27,24
5:10,2612,Julian Powell Defensive Rebound.,27,24
4:56,2612,Cameron Jones Turnover.,27,24
4:56,2612,Foul on Cameron Jones.,27,24
4:35,322,Alex Petrie missed Jumper.,27,24
4:35,2612,Quinn Taylor Defensive Rebound.,27,24
4:26,2612,Nick Griffin missed Three Point Jumper.,27,24
4:26,2612,Julian Powell Offensive Rebound.,27,24
4:23,2612,Julian Powell made Jumper.,29,24
4:09,322,Justin Jaworski missed Three Point Jumper.,29,24
4:09,2612,Julian Powell Defensive Rebound.,29,24
3:54,2612,Nick Griffin missed Jumper.,29,24
3:54,322,Lafayette Defensive Rebound.,29,24
3:52,322,Official TV Timeout,29,24
3:43,322,Justin Jaworski Turnover.,29,24
3:41,2612,Davauhnte Turner Steal.,29,24
3:39,322,Foul on Kyle Stout.,29,24
3:39,2612,Quinn Taylor made Free Throw.,30,24
3:39,2612,Quinn Taylor made Free Throw.,31,24
3:15,322,Paulius Zalys made Jumper. Assisted by Eric Stafford.,31,26
3:04,2612,Davauhnte Turner missed Three Point Jumper.,31,26
3:04,322,E.J. Stephens Defensive Rebound.,31,26
2:53,322,Alex Petrie made Three Point Jumper. Assisted by Eric Stafford.,31,29
2:35,2612,Julian Powell made Jumper. Assisted by Nick Griffin.,33,29
2:17,322,Matt Klinewski missed Jumper.,33,29
2:17,2612,Julian Powell Block.,33,29
2:16,2612,Quinn Taylor Defensive Rebound.,33,29
2:00,2612,Davauhnte Turner missed Three Point Jumper.,33,29
2:00,322,Paulius Zalys Defensive Rebound.,33,29
1:29,322,E.J. Stephens made Layup.,33,31
0:51,2612,Nick Griffin made Three Point Jumper.,36,31
0:40,2612,Foul on Julian Powell.,36,31
0:40,322,Matt Klinewski made Free Throw.,36,32
0:40,322,Matt Klinewski made Free Throw.,36,33
0:23,2612,Nick Griffin Turnover.,36,33
0:22,322,Eric Stafford Steal.,36,33
0:20,2612,Foul on Nick Griffin.,36,33
0:19,322,Kyle Stout made Free Throw.,36,34
0:19,322,Kyle Stout made Free Throw.,36,35
0:08,2612,Nick Griffin missed Three Point Jumper.,36,35
0:08,322,Dylan Hastings Defensive Rebound.,36,35
0:04,322,Kyle Stout Turnover.,36,35
0:03,2612,Nick Griffin Steal.,36,35
0:02,322,Foul on Kyle Stout.,36,35
0:01,2612,Davauhnte Turner made Free Throw.,37,35
0:01,2612,Davauhnte Turner made Free Throw.,38,35
0:00,322,End of 1st half,36,35
19:43,322,Paulius Zalys made Three Point Jumper. Assisted by Eric Stafford.,38,38
19:16,2612,Sam Idowu Turnover.,38,38
19:14,322,Matt Klinewski Steal.,38,38
19:06,2612,Foul on Davauhnte Turner.,38,38
18:56,322,Eric Stafford made Layup.,38,40
18:32,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Sam Idowu.,41,40
18:17,322,Matt Klinewski made Layup.,41,42
18:17,2612,Foul on Davauhnte Turner.,41,42
18:17,322,Matt Klinewski missed Free Throw.,41,42
18:17,2612,Sam Idowu Defensive Rebound.,41,42
17:45,2612,Nick Griffin missed Jumper.,41,42
17:45,322,Justin Jaworski Defensive Rebound.,41,42
17:24,322,Alex Petrie made Three Point Jumper.,41,45
16:52,2612,Nick Griffin missed Three Point Jumper.,41,45
16:52,2612,Quinn Taylor Offensive Rebound.,41,45
16:49,2612,Quinn Taylor made Layup.,43,45
16:32,322,Paulius Zalys Turnover.,43,45
16:30,2612,Nick Griffin Steal.,43,45
16:27,2612,Sam Idowu Turnover.,43,45
16:27,2612,Foul on Sam Idowu.,43,45
16:17,322,Justin Jaworski Turnover.,43,45
16:16,2612,Elijah Gonzales Steal.,43,45
16:14,2612,Elijah Gonzales made Layup.,45,45
16:14,322,Foul on Paulius Zalys.,45,45
16:14,2612,Elijah Gonzales missed Free Throw.,45,45
16:14,322,Paulius Zalys Defensive Rebound.,45,45
15:47,322,Alex Petrie made Three Point Jumper.,45,48
15:24,2612,Nick Griffin made Three Point Jumper. Assisted by Elijah Gonzales.,48,48
15:12,322,Matt Klinewski made Three Point Jumper.,48,51
14:54,2612,Nick Griffin missed Three Point Jumper.,48,51
14:54,322,Matt Klinewski Defensive Rebound.,48,51
14:31,322,Paulius Zalys made Layup.,48,53
14:10,2612,Quinn Taylor made Three Point Jumper. Assisted by Elijah Gonzales.,51,53
14:00,322,Justin Jaworski Turnover.,51,53
14:00,322,Official TV Timeout,51,53
13:32,2612,Quinn Taylor missed Jumper.,51,53
13:32,322,Myles Cherry Defensive Rebound.,51,53
13:13,322,Eric Stafford Turnover.,51,53
13:12,2612,Quinn Taylor Steal.,51,53
13:09,2612,Davauhnte Turner missed Layup.,51,53
13:09,322,Eric Stafford Defensive Rebound.,51,53
13:00,322,Auston Evans Turnover.,51,53
12:58,2612,Julian Powell Steal.,51,53
12:34,2612,Cameron Jones missed Three Point Jumper.,51,53
12:34,322,E.J. Stephens Defensive Rebound.,51,53
12:03,322,Lukas Jarrett Turnover.,51,53
11:41,2612,Davauhnte Turner made Layup.,53,53
11:18,322,Auston Evans missed Layup.,53,53
11:18,2612,Sam Idowu Block.,53,53
11:17,322,Myles Cherry Offensive Rebound.,53,53
11:17,2612,Foul on Cameron Jones.,53,53
11:17,322,Official TV Timeout,53,53
11:17,322,Myles Cherry made Free Throw.,53,54
11:17,322,Myles Cherry made Free Throw.,53,55
11:01,2612,Sam Idowu Turnover.,53,55
11:01,2612,Foul on Sam Idowu.,53,55
10:48,2612,Foul on Julian Powell.,53,55
10:32,2612,Foul on Julian Powell.,53,55
10:32,322,Matt Klinewski made Free Throw.,53,56
10:32,322,Matt Klinewski made Free Throw.,53,57
10:09,2612,Davauhnte Turner missed Jumper.,53,57
10:09,2612,Quinn Taylor Offensive Rebound.,53,57
10:04,2612,Nick Griffin made Jumper.,55,57
9:53,322,Justin Jaworski Turnover.,55,57
9:53,322,Foul on Justin Jaworski.,55,57
9:33,2612,Nick Griffin made Jumper.,57,57
8:56,322,E.J. Stephens missed Three Point Jumper.,57,57
8:56,2612,Quinn Taylor Defensive Rebound.,57,57
8:38,2612,Quinn Taylor missed Layup.,57,57
8:38,322,Paulius Zalys Block.,57,57
8:36,2612,Julian Powell Offensive Rebound.,57,57
8:30,2612,Nick Griffin made Jumper.,59,57
8:11,322,Matt Klinewski made Layup.,59,59
8:11,2612,Foul on Julian Powell.,59,59
8:11,322,Matt Klinewski made Free Throw.,59,60
7:57,2612,Cameron Jones missed Three Point Jumper.,59,60
7:57,2612,Davauhnte Turner Offensive Rebound.,59,60
7:45,322,Foul on Alex Petrie.,59,60
7:45,322,Official TV Timeout,59,60
7:45,2612,Nick Griffin missed Free Throw.,59,60
7:45,2612,Saint Peter's Deadball Team Rebound.,59,60
7:45,2612,Nick Griffin made Free Throw.,60,60
7:19,322,Alex Petrie made Three Point Jumper. Assisted by Justin Jaworski.,60,63
6:59,2612,Sam Idowu made Three Point Jumper. Assisted by Quinn Taylor.,63,63
6:32,322,Alex Petrie missed Jumper.,63,63
6:32,2612,Sam Idowu Defensive Rebound.,63,63
6:21,2612,Quinn Taylor Turnover.,63,63
6:07,2612,Foul on Sam Idowu.,63,63
6:07,322,Justin Jaworski made Free Throw.,63,64
6:07,322,Justin Jaworski made Free Throw.,63,65
5:57,2612,Nick Griffin made Layup. Assisted by Quinn Taylor.,65,65
5:32,322,Justin Jaworski made Three Point Jumper. Assisted by Paulius Zalys.,65,68
5:08,2612,Nick Griffin made Layup.,67,68
4:59,322,Eric Stafford Turnover.,67,68
4:33,322,Foul on Matt Klinewski.,67,68
4:33,2612,Quinn Taylor made Free Throw.,68,68
4:33,2612,Quinn Taylor made Free Throw.,69,68
4:10,322,Eric Stafford made Jumper.,69,70
3:55,2612,Nick Griffin made Jumper.,71,70
3:42,322,Eric Stafford made Jumper.,71,72
3:31,322,Official TV Timeout,74,72
3:31,2612,Saint Peter's  Timeout,71,72
3:24,2612,Quinn Taylor made Three Point Jumper. Assisted by Davauhnte Turner.,74,72
3:12,322,Matt Klinewski Turnover.,74,72
2:50,2612,Nick Griffin missed Layup.,74,72
2:50,2612,Julian Powell Offensive Rebound.,74,72
2:49,2612,Julian Powell Turnover.,74,72
2:36,2612,Foul on Julian Powell.,74,72
2:36,322,Alex Petrie made Free Throw.,74,73
2:36,322,Alex Petrie made Free Throw.,74,74
2:15,2612,Nick Griffin made Three Point Jumper. Assisted by Cameron Jones.,77,74
2:08,322,Lafayette  Timeout,77,74
1:53,2612,Foul on Quinn Taylor.,77,74
1:53,322,Matt Klinewski made Free Throw.,77,75
1:53,322,Matt Klinewski made Free Throw.,77,76
1:30,2612,Quinn Taylor missed Jumper.,77,76
1:30,322,Justin Jaworski Defensive Rebound.,77,76
0:59,322,Eric Stafford missed Jumper.,77,76
0:59,2612,Nick Griffin Block.,77,76
0:59,2612,Saint Peter's Defensive Rebound.,77,76
0:39,2612,Nick Griffin made Three Point Jumper. Assisted by Davauhnte Turner.,80,76
0:31,322,Justin Jaworski missed Three Point Jumper.,80,76
0:31,2612,Cameron Jones Defensive Rebound.,80,76
0:27,322,Foul on Justin Jaworski.,80,76
0:27,322,Foul on Justin Jaworski.,80,76
0:26,322,Foul on Lukas Jarrett.,80,76
0:26,2612,Nick Griffin made Free Throw.,81,76
0:26,2612,Nick Griffin made Free Throw.,82,76
0:19,322,Alex Petrie made Three Point Jumper. Assisted by Eric Stafford.,82,79
0:19,322,Lafayette  Timeout,82,79
0:19,2612,Saint Peter's  Timeout,82,79
0:18,322,Foul on Auston Evans.,82,79
0:18,2612,Nick Griffin made Free Throw.,83,79
0:18,2612,Nick Griffin made Free Throw.,84,79
0:12,322,Alex Petrie made Three Point Jumper.,84,82
0:11,322,Foul on Auston Evans.,84,82
0:11,2612,Nick Griffin made Free Throw.,85,82
0:11,2612,Nick Griffin made Free Throw.,86,82
0:05,322,Alex Petrie missed Three Point Jumper.,86,82
0:01,2612,Quinn Taylor Defensive Rebound.,86,82
0:00,322,End of Game,86,82
