St. John's,2116,UCF,2599
13:08,2599,Marcus LoVett made Three Point Jumper. Assisted by Shamorie Ponds.,13,6
12:52,2599,Foul on Tariq Owens.,13,6
12:50,2116,Dayon Griffin missed Three Point Jumper.,13,6
12:50,2599,Shamorie Ponds Defensive Rebound.,13,6
12:47,2116,Foul on Dayon Griffin.,13,6
12:36,2599,Marvin Clark II missed Three Point Jumper.,13,6
12:36,2116,A.J. Davis Defensive Rebound.,13,6
12:19,2116,Chance McSpadden missed Jumper.,13,6
12:19,2599,Kassoum Yakwe Block.,13,6
12:19,2599,Shamorie Ponds Defensive Rebound.,13,6
12:10,2599,Marcus LoVett made Jumper.,15,6
11:57,2116,Tacko Fall Turnover.,15,6
11:57,2116,Official TV Timeout,15,6
11:51,2599,Shamorie Ponds Turnover.,15,6
11:51,2116,Ceasar DeJesus Steal.,15,6
11:46,2116,Chance McSpadden missed Three Point Jumper.,15,6
11:46,2599,Marvin Clark II Defensive Rebound.,15,6
11:46,2599,Marvin Clark II Turnover.,15,6
11:46,2116,Chance McSpadden Steal.,15,6
11:32,2599,Foul on Marvin Clark II.,15,6
11:32,2116,Chance McSpadden missed Free Throw.,15,6
11:32,2599,Amar Alibegovic Defensive Rebound.,15,6
11:22,2599,Shamorie Ponds missed Three Point Jumper.,15,6
11:22,2116,Tacko Fall Defensive Rebound.,15,6
11:09,2116,Dayon Griffin Turnover.,15,6
11:09,2599,Kassoum Yakwe Steal.,15,6
10:46,2599,Marcus LoVett missed Three Point Jumper.,15,6
10:46,2116,Dayon Griffin Defensive Rebound.,15,6
10:16,2599,Foul on Justin Simon.,15,6
10:16,2116,Tacko Fall made Free Throw.,15,7
10:16,2116,Tacko Fall made Free Throw.,15,8
10:07,2599,Marvin Clark II missed Layup.,15,8
10:07,2116,Dayon Griffin Block.,15,8
10:07,2599,Kassoum Yakwe Offensive Rebound.,15,8
9:57,2599,Shamorie Ponds missed Jumper.,15,8
9:57,2116,Chance McSpadden Defensive Rebound.,15,8
9:39,2116,Tacko Fall Turnover.,15,8
9:25,2599,Marcus LoVett missed Three Point Jumper.,15,8
9:25,2116,A.J. Davis Defensive Rebound.,15,8
9:17,2116,Foul on Ceasar DeJesus.,15,8
9:17,2116,Ceasar DeJesus Turnover.,15,8
9:03,2599,Amar Alibegovic made Three Point Jumper. Assisted by Kassoum Yakwe.,18,8
8:43,2116,Chance McSpadden made Layup. Assisted by Tacko Fall.,18,10
8:19,2599,Amar Alibegovic Turnover.,18,10
7:52,2116,Foul on Chance McSpadden.,18,10
7:52,2116,Chance McSpadden Turnover.,18,10
7:52,2116,Official TV Timeout,18,10
7:36,2599,Marcus LoVett Turnover.,18,10
7:20,2116,Chad Brown missed Layup.,18,10
7:20,2599,Amar Alibegovic Block.,18,10
7:20,2599,Shamorie Ponds Defensive Rebound.,18,10
7:07,2599,Marcus LoVett missed Layup.,18,10
7:07,2599,Kassoum Yakwe Offensive Rebound.,18,10
7:05,2599,Marcus LoVett missed Three Point Jumper.,18,10
7:05,2116,Chance McSpadden Defensive Rebound.,18,10
6:48,2599,Foul on Marcus LoVett.,18,10
6:48,2116,Chad Brown made Free Throw.,18,11
6:48,2116,Chad Brown made Free Throw.,18,12
6:21,2599,Marcus LoVett missed Jumper.,18,12
6:21,2116,Djordjije Mumin Defensive Rebound.,18,12
6:07,2116,A.J. Davis missed Layup.,18,12
6:07,2599,Kassoum Yakwe Block.,18,12
6:07,2599,Shamorie Ponds Defensive Rebound.,18,12
5:59,2599,Shamorie Ponds missed Jumper.,18,12
5:59,2116,Chad Brown Defensive Rebound.,18,12
5:59,2599,Foul on Marcus LoVett.,18,12
5:59,2116,Chad Brown made Free Throw.,18,13
5:59,2116,Chad Brown missed Free Throw.,18,13
5:59,2599,Marvin Clark II Defensive Rebound.,18,13
5:43,2599,Amar Alibegovic missed Jumper.,18,13
5:43,2116,UCF Defensive Rebound.,18,13
5:28,2116,A.J. Davis missed Layup.,18,13
5:28,2116,Chad Brown Offensive Rebound.,18,13
5:28,2599,Foul on Amar Alibegovic.,18,13
5:28,2116,Chad Brown missed Free Throw.,18,13
5:28,2116,UCF Deadball Team Rebound.,18,13
5:28,2116,Chad Brown made Free Throw.,18,14
5:05,2599,Shamorie Ponds missed Three Point Jumper.,18,14
5:05,2599,Justin Simon Offensive Rebound.,18,14
5:00,2599,Justin Simon made Layup.,20,14
4:33,2116,A.J. Davis missed Jumper.,20,14
4:33,2599,Bashir Ahmed Defensive Rebound.,20,14
4:24,2599,Bashir Ahmed Turnover.,20,14
4:03,2116,Tacko Fall made Dunk. Assisted by Dayon Griffin.,20,16
3:51,2116,Foul on Dayon Griffin.,20,16
3:51,2116,Official TV Timeout,20,16
3:38,2599,Shamorie Ponds missed Jumper.,20,16
3:38,2116,Tacko Fall Defensive Rebound.,20,16
3:14,2116,Myles Douglas missed Three Point Jumper.,20,16
3:14,2599,St. John's Defensive Rebound.,20,16
2:54,2599,Marvin Clark II missed Layup.,20,16
2:54,2116,Tacko Fall Block.,20,16
2:54,2116,Myles Douglas Defensive Rebound.,20,16
2:47,2116,Foul on Tacko Fall.,20,16
2:47,2116,Tacko Fall Turnover.,20,16
2:33,2599,Bashir Ahmed made Jumper. Assisted by Shamorie Ponds.,22,16
2:17,2599,Foul on Marvin Clark II.,22,16
2:17,2116,A.J. Davis made Free Throw.,22,17
2:17,2116,A.J. Davis made Free Throw.,22,18
2:07,2599,Bashir Ahmed Turnover.,22,18
2:07,2599,Foul on Bashir Ahmed.,22,18
2:03,2116,Dayon Griffin missed Jumper.,22,18
2:03,2116,A.J. Davis Offensive Rebound.,22,18
2:03,2116,A.J. Davis made Two Point Tip Shot.,22,20
1:47,2599,Shamorie Ponds missed Layup.,22,20
1:47,2116,Chad Brown Defensive Rebound.,22,20
1:21,2116,A.J. Davis missed Layup.,22,20
1:21,2599,Amar Alibegovic Block.,22,20
1:21,2116,Chad Brown Offensive Rebound.,22,20
1:13,2116,Chad Brown made Layup.,22,22
1:13,2599,Foul on Kassoum Yakwe.,22,22
1:13,2116,Chad Brown made Free Throw.,22,23
0:42,2599,St. John's  Turnover.,22,23
0:28,2116,Dayon Griffin missed Three Point Jumper.,22,23
0:28,2599,Justin Simon Defensive Rebound.,22,23
0:12,2599,Marcus LoVett missed Three Point Jumper.,22,23
0:12,2599,Kassoum Yakwe Offensive Rebound.,22,23
0:00,2116,End of 1st half,22,23
20:00,2116,Jump Ball won by UCF,22,23
19:42,2599,Foul on Marcus LoVett.,22,23
19:31,2116,Tacko Fall made Dunk.,22,25
19:01,2599,Justin Simon made Three Point Jumper. Assisted by Bashir Ahmed.,25,25
18:32,2116,Tacko Fall Turnover.,25,25
18:32,2599,Marvin Clark II Steal.,25,25
18:24,2116,Foul on Terrell Allen.,25,25
18:06,2599,Marcus LoVett missed Jumper.,25,25
18:06,2599,Shamorie Ponds Offensive Rebound.,25,25
18:03,2116,Foul on Terrell Allen.,25,25
17:53,2599,Bashir Ahmed missed Three Point Jumper.,25,25
17:53,2116,A.J. Davis Defensive Rebound.,25,25
17:40,2116,A.J. Davis missed Three Point Jumper.,25,25
17:40,2599,Shamorie Ponds Defensive Rebound.,25,25
17:32,2599,Marcus LoVett made Three Point Jumper. Assisted by Shamorie Ponds.,28,25
17:06,2116,Terrell Allen made Jumper. Assisted by Ceasar DeJesus.,28,27
16:51,2599,Justin Simon missed Jumper.,28,27
16:51,2116,Tacko Fall Block.,28,27
16:51,2116,Terrell Allen Defensive Rebound.,28,27
16:48,2116,Ceasar DeJesus missed Layup.,28,27
16:48,2599,Bashir Ahmed Block.,28,27
16:48,2116,UCF Offensive Rebound.,28,27
16:45,2116,Myles Douglas missed Layup.,28,27
16:45,2599,Justin Simon Block.,28,27
16:45,2116,UCF Offensive Rebound.,28,27
16:33,2116,Tacko Fall missed Layup.,28,27
16:33,2116,Tacko Fall Offensive Rebound.,28,27
16:28,2116,Tacko Fall made Layup.,28,29
16:10,2599,Bashir Ahmed missed Jumper.,28,29
16:10,2116,Tacko Fall Block.,28,29
16:10,2599,Bashir Ahmed Offensive Rebound.,28,29
16:00,2599,Bashir Ahmed missed Three Point Jumper.,28,29
16:00,2116,A.J. Davis Defensive Rebound.,28,29
15:48,2116,Dayon Griffin missed Three Point Jumper.,28,29
15:48,2116,Tacko Fall Offensive Rebound.,28,29
15:36,2116,UCF  Timeout,28,29
15:36,2116,Official TV Timeout,28,29
15:35,2116,Dayon Griffin missed Three Point Jumper.,28,29
15:35,2116,Chad Brown Offensive Rebound.,28,29
15:35,2116,Chad Brown missed Two Point Tip Shot.,28,29
15:35,2116,A.J. Davis Offensive Rebound.,28,29
15:27,2116,A.J. Davis made Layup.,28,31
14:57,2599,Justin Simon missed Jumper.,28,31
14:57,2116,Dayon Griffin Defensive Rebound.,28,31
14:41,2116,Myles Douglas Turnover.,28,31
14:41,2599,Shamorie Ponds Steal.,28,31
14:40,2116,Official TV Timeout,28,31
14:34,2599,Marcus LoVett missed Three Point Jumper.,28,31
14:34,2599,Marvin Clark II Offensive Rebound.,28,31
14:28,2599,Shamorie Ponds Turnover.,28,31
14:28,2116,A.J. Davis Steal.,28,31
14:28,2116,A.J. Davis missed Layup.,28,31
14:28,2599,Tariq Owens Block.,28,31
14:28,2599,Justin Simon Defensive Rebound.,28,31
14:10,2599,Justin Simon missed Layup.,28,31
14:10,2116,Dayon Griffin Block.,28,31
14:10,2116,Terrell Allen Defensive Rebound.,28,31
13:59,2116,Terrell Allen Turnover.,28,31
13:59,2599,Tariq Owens Steal.,28,31
13:54,2599,Marvin Clark II Turnover.,28,31
13:54,2116,Chad Brown Steal.,28,31
13:48,2116,Chance McSpadden Turnover.,28,31
13:48,2599,Tariq Owens Turnover.,28,31
13:48,2599,Foul on Tariq Owens.,28,31
13:43,2116,Chance McSpadden Turnover.,28,31
13:43,2599,Justin Simon Steal.,28,31
13:38,2116,Foul on A.J. Davis.,28,31
13:38,2599,Marvin Clark II made Free Throw.,29,31
13:38,2599,Marvin Clark II made Free Throw.,30,31
13:15,2116,Chad Brown missed Layup.,30,31
13:15,2599,Tariq Owens Block.,30,31
13:15,2599,Justin Simon Defensive Rebound.,30,31
12:59,2599,Marcus LoVett missed Layup.,30,31
12:59,2116,Chad Brown Defensive Rebound.,30,31
12:28,2116,Ceasar DeJesus missed Jumper.,30,31
12:28,2599,Tariq Owens Block.,30,31
12:28,2599,Tariq Owens Defensive Rebound.,30,31
12:28,2116,Foul on Ceasar DeJesus.,30,31
12:06,2599,Bashir Ahmed Turnover.,30,31
12:06,2116,Ceasar DeJesus Steal.,30,31
11:57,2116,A.J. Davis missed Layup.,30,31
11:57,2599,Marcus LoVett Defensive Rebound.,30,31
11:49,2599,Marcus LoVett missed Layup.,30,31
11:49,2116,Tacko Fall Block.,30,31
11:49,2599,St. John's Offensive Rebound.,30,31
11:49,2116,Official TV Timeout,30,31
11:45,2599,Shamorie Ponds missed Jumper.,30,31
11:45,2599,Kassoum Yakwe Offensive Rebound.,30,31
11:37,2599,Kassoum Yakwe made Jumper.,32,31
11:21,2599,Foul on Kassoum Yakwe.,32,31
11:04,2116,Dayon Griffin missed Three Point Jumper.,32,31
11:04,2599,Justin Simon Defensive Rebound.,32,31
10:55,2116,Foul on Tacko Fall.,32,31
10:55,2599,Justin Simon made Free Throw.,33,31
10:55,2599,Justin Simon missed Free Throw.,33,31
10:55,2116,Tacko Fall Defensive Rebound.,33,31
10:48,2599,Foul on Justin Simon.,33,31
10:37,2116,A.J. Davis missed Layup.,33,31
10:37,2599,Tariq Owens Block.,33,31
10:37,2599,Shamorie Ponds Defensive Rebound.,33,31
10:31,2599,Shamorie Ponds Turnover.,33,31
10:18,2116,Foul on Tacko Fall.,33,31
10:18,2116,Tacko Fall Turnover.,33,31
10:02,2599,Justin Simon Turnover.,33,31
10:02,2116,Dayon Griffin Steal.,33,31
9:57,2116,Dayon Griffin missed Layup.,33,31
9:57,2599,Marvin Clark II Defensive Rebound.,33,31
9:48,2599,Tariq Owens missed Layup.,33,31
9:48,2116,A.J. Davis Block.,33,31
9:48,2599,Tariq Owens Offensive Rebound.,33,31
9:38,2599,Tariq Owens missed Three Point Jumper.,33,31
9:38,2599,Marvin Clark II Offensive Rebound.,33,31
9:25,2599,Marcus LoVett missed Three Point Jumper.,33,31
9:25,2599,Kassoum Yakwe Offensive Rebound.,33,31
9:11,2599,Marcus LoVett made Layup.,35,31
9:00,2599,Foul on Tariq Owens.,35,31
9:00,2116,A.J. Davis made Free Throw.,35,32
9:00,2116,A.J. Davis missed Free Throw.,35,32
9:00,2599,Shamorie Ponds Defensive Rebound.,35,32
8:38,2599,Marvin Clark II made Three Point Jumper. Assisted by Marcus LoVett.,38,32
8:14,2116,Dayon Griffin missed Jumper.,38,32
8:14,2599,Marcus LoVett Defensive Rebound.,38,32
8:04,2599,St. John's  Timeout,38,32
8:04,2116,Official TV Timeout,38,32
7:51,2599,Shamorie Ponds missed Jumper.,38,32
7:51,2116,Dayon Griffin Defensive Rebound.,38,32
7:49,2599,Foul on Kassoum Yakwe.,38,32
7:45,2116,Terrell Allen Turnover.,38,32
7:45,2599,Shamorie Ponds Steal.,38,32
7:35,2599,Marcus LoVett missed Jumper.,38,32
7:35,2599,St. John's Deadball Team Rebound.,38,32
7:30,2599,Marcus LoVett missed Layup.,38,32
7:30,2599,Kassoum Yakwe Offensive Rebound.,38,32
7:19,2599,Marcus LoVett missed Three Point Jumper.,38,32
7:19,2599,Justin Simon Offensive Rebound.,38,32
7:11,2599,Justin Simon made Layup.,40,32
6:56,2116,Chad Brown Turnover.,40,32
6:53,2599,Foul on Kassoum Yakwe.,40,32
6:53,2599,Kassoum Yakwe Turnover.,40,32
6:38,2116,Ceasar DeJesus missed Jumper.,40,32
6:38,2599,Shamorie Ponds Defensive Rebound.,40,32
6:21,2116,Foul on Tacko Fall.,40,32
6:21,2599,Shamorie Ponds made Free Throw.,41,32
6:21,2599,Shamorie Ponds made Free Throw.,42,32
6:03,2116,Ceasar DeJesus made Layup.,42,34
5:48,2599,Amar Alibegovic missed Three Point Jumper.,42,34
5:48,2116,Ceasar DeJesus Defensive Rebound.,42,34
5:37,2599,Foul on Amar Alibegovic.,42,34
5:37,2116,A.J. Davis missed Free Throw.,42,34
5:37,2599,Marvin Clark II Defensive Rebound.,42,34
5:30,2599,Justin Simon Turnover.,42,34
5:30,2116,Terrell Allen Steal.,42,34
5:24,2116,Dayon Griffin missed Layup.,42,34
5:24,2599,Justin Simon Block.,42,34
5:24,2116,A.J. Davis Offensive Rebound.,42,34
5:17,2599,Foul on Amar Alibegovic.,42,34
5:17,2116,Chad Brown missed Free Throw.,42,34
5:17,2116,UCF Deadball Team Rebound.,42,34
5:17,2116,Chad Brown made Free Throw.,42,35
4:55,2599,Bashir Ahmed missed Three Point Jumper.,42,35
4:55,2599,Tariq Owens Offensive Rebound.,42,35
4:48,2599,Bashir Ahmed Turnover.,42,35
4:36,2116,Ceasar DeJesus made Layup.,42,37
4:15,2599,Shamorie Ponds made Jumper.,44,37
3:57,2599,Foul on Marcus LoVett.,44,37
3:57,2116,Official TV Timeout,44,37
3:57,2116,Ceasar DeJesus made Free Throw.,44,38
3:57,2116,Ceasar DeJesus missed Free Throw.,44,38
3:57,2599,Tariq Owens Defensive Rebound.,44,38
3:31,2599,Bashir Ahmed missed Layup.,44,38
3:31,2116,Chad Brown Block.,44,38
3:31,2599,St. John's Offensive Rebound.,44,38
3:28,2599,Shamorie Ponds missed Three Point Jumper.,44,38
3:28,2116,A.J. Davis Defensive Rebound.,44,38
3:05,2116,Chad Brown made Jumper. Assisted by Ceasar DeJesus.,44,40
2:51,2599,Foul on Marcus LoVett.,44,40
2:51,2599,Marcus LoVett Turnover.,44,40
2:38,2116,Dayon Griffin made Three Point Jumper. Assisted by Terrell Allen.,44,43
2:17,2599,Marvin Clark II missed Three Point Jumper.,44,43
2:17,2116,Dayon Griffin Defensive Rebound.,44,43
1:55,2116,Ceasar DeJesus missed Layup.,44,43
1:55,2599,Bashir Ahmed Block.,44,43
1:55,2116,UCF Offensive Rebound.,44,43
1:44,2116,A.J. Davis missed Jumper.,44,43
1:44,2599,Bashir Ahmed Defensive Rebound.,44,43
1:32,2599,St. John's  Timeout,44,43
1:13,2116,Foul on Terrell Allen.,44,43
1:13,2599,Shamorie Ponds made Free Throw.,45,43
1:13,2599,Shamorie Ponds made Free Throw.,46,43
1:11,2116,UCF  Timeout,46,43
0:51,2116,Ceasar DeJesus missed Layup.,46,43
0:51,2599,Tariq Owens Block.,46,43
0:51,2116,Dayon Griffin Offensive Rebound.,46,43
0:40,2116,UCF  Turnover.,46,43
0:12,2599,Tariq Owens missed Jumper.,46,43
0:12,2116,Chad Brown Defensive Rebound.,46,43
0:06,2116,Ceasar DeJesus missed Three Point Jumper.,46,43
0:06,2116,A.J. Davis Offensive Rebound.,46,43
0:01,2116,Dayon Griffin missed Three Point Jumper.,46,43
0:01,2116,UCF Deadball Team Rebound.,46,43
0:00,2116,End of Game,46,43
