Jacksonville State,344,Mississippi State,55
14:37,55,Norbertas Giga made Jumper.,4,4
14:04,344,Nick Weatherspoon made Jumper.,4,6
13:45,55,Malcolm Drumwright missed Three Point Jumper.,4,6
13:45,344,Tyson Carter Defensive Rebound.,4,6
13:35,344,E.J. Datcher made Jumper. Assisted by Tyson Carter.,4,8
13:19,55,Norbertas Giga Turnover.,4,8
13:02,55,Foul on Malcolm Drumwright.,4,8
13:01,344,Xavian Stapleton missed Jumper.,4,8
13:01,55,Jason Burnell Defensive Rebound.,4,8
12:47,55,Jason Burnell made Layup.,6,8
12:24,344,Schnider Herard missed Jumper.,6,8
12:24,55,Jason Burnell Defensive Rebound.,6,8
12:05,55,Malcolm Drumwright missed Jumper.,6,8
12:05,55,Norbertas Giga Offensive Rebound.,6,8
12:03,344,Foul on Schnider Herard.,6,8
12:03,55,Tyrik Edwards made Free Throw.,7,8
12:03,55,Tyrik Edwards made Free Throw.,8,8
11:39,344,Aric Holman missed Jumper.,8,8
11:39,55,Jason Burnell Block.,8,8
11:37,55,Tyrik Edwards Defensive Rebound.,8,8
11:33,55,Jason Burnell made Layup. Assisted by Tyrik Edwards.,10,8
11:29,344,Aric Holman Turnover.,10,8
11:27,55,Maurice Dunlap Steal.,10,8
11:21,55,Marlon Hunter made Three Point Jumper. Assisted by Jason Burnell.,13,8
11:21,344,Mississippi State  Timeout,13,8
11:21,344,Official TV Timeout,13,8
11:11,344,Xavian Stapleton made Three Point Jumper. Assisted by Quinndary Weatherspoon.,13,11
10:50,55,Marlon Hunter missed Three Point Jumper.,13,11
10:50,344,Quinndary Weatherspoon Defensive Rebound.,13,11
10:41,344,Xavian Stapleton Turnover.,13,11
10:28,55,Jamall Gregory Turnover.,13,11
10:18,344,Abdul Ado Turnover.,13,11
10:18,344,Foul on Abdul Ado.,13,11
10:07,55,Christian Cunningham made Dunk. Assisted by Malcolm Drumwright.,15,11
9:51,55,Foul on Christian Cunningham.,15,11
9:51,344,Nick Weatherspoon made Free Throw.,15,12
9:51,344,Nick Weatherspoon missed Free Throw.,15,12
9:51,55,Christian Cunningham Defensive Rebound.,15,12
9:38,55,Malcolm Drumwright missed Three Point Jumper.,15,12
9:38,344,Quinndary Weatherspoon Defensive Rebound.,15,12
9:27,344,KeyShawn Feazell missed Three Point Jumper.,15,12
9:27,55,Marlon Hunter Defensive Rebound.,15,12
9:08,55,Malcolm Drumwright made Jumper.,17,12
8:42,344,Tyson Carter missed Three Point Jumper.,17,12
8:42,55,Christian Cunningham Defensive Rebound.,17,12
8:19,55,Norbertas Giga made Jumper.,19,12
7:49,344,Nick Weatherspoon made Jumper. Assisted by KeyShawn Feazell.,19,14
7:49,55,Foul on Christian Cunningham.,19,14
7:49,344,Official TV Timeout,19,14
7:49,344,Nick Weatherspoon missed Free Throw.,19,14
7:49,55,Malcolm Drumwright Defensive Rebound.,19,14
7:29,344,Foul on Nick Weatherspoon.,19,14
7:29,55,Marlon Hunter made Free Throw.,20,14
7:29,55,Marlon Hunter made Free Throw.,21,14
7:16,344,Aric Holman made Dunk. Assisted by Xavian Stapleton.,21,16
6:55,55,Norbertas Giga missed Jumper.,21,16
6:55,344,Tyson Carter Defensive Rebound.,21,16
6:42,344,Quinndary Weatherspoon missed Jumper.,21,16
6:42,55,Norbertas Giga Defensive Rebound.,21,16
6:23,55,Malcolm Drumwright missed Jumper.,21,16
6:23,55,Jason Burnell Offensive Rebound.,21,16
6:21,55,Jason Burnell missed Two Point Tip Shot.,21,16
6:21,55,Jason Burnell Offensive Rebound.,21,16
6:11,55,Jason Burnell missed Jumper.,21,16
6:11,344,Eli Wright Defensive Rebound.,21,16
6:04,344,Xavian Stapleton missed Three Point Jumper.,21,16
6:04,55,Tyrik Edwards Defensive Rebound.,21,16
5:53,55,Jason Burnell missed Jumper.,21,16
5:53,344,Aric Holman Defensive Rebound.,21,16
5:31,344,Aric Holman missed Three Point Jumper.,21,16
5:31,344,Xavian Stapleton Offensive Rebound.,21,16
5:23,344,Eli Wright missed Three Point Jumper.,21,16
5:23,55,Jamall Gregory Defensive Rebound.,21,16
4:55,344,Foul on Aric Holman.,21,16
4:37,55,Jason Burnell missed Three Point Jumper.,21,16
4:37,55,Tyrik Edwards Offensive Rebound.,21,16
4:21,55,Jamall Gregory Turnover.,21,16
4:20,344,Abdul Ado Steal.,21,16
4:17,55,Foul on Jamall Gregory.,21,16
4:17,344,Abdul Ado missed Free Throw.,21,16
4:17,344,Mississippi State Deadball Team Rebound.,21,16
4:17,344,Abdul Ado missed Free Throw.,21,16
4:17,344,Eli Wright Offensive Rebound.,21,16
3:54,344,Official TV Timeout,21,16
3:52,344,Quinndary Weatherspoon Turnover.,21,16
3:52,344,Foul on Quinndary Weatherspoon.,21,16
3:52,344,Official TV Timeout,21,16
3:38,55,Malcolm Drumwright made Layup.,23,16
3:12,344,Xavian Stapleton made Dunk. Assisted by Quinndary Weatherspoon.,23,18
2:47,55,Tyrik Edwards missed Three Point Jumper.,23,18
2:47,344,Tyson Carter Defensive Rebound.,23,18
2:42,55,Foul on Malcolm Drumwright.,23,18
2:32,55,Foul on Tyrik Edwards.,23,18
2:32,344,Abdul Ado made Free Throw.,23,19
2:32,344,Abdul Ado missed Free Throw.,23,19
2:32,55,Norbertas Giga Defensive Rebound.,23,19
2:32,344,Foul on Xavian Stapleton.,23,19
2:32,55,Norbertas Giga made Free Throw.,24,19
2:32,55,Norbertas Giga made Free Throw.,25,19
2:14,344,Abdul Ado made Jumper.,25,21
1:57,55,Jason Burnell made Jumper. Assisted by Norbertas Giga.,27,21
1:31,344,Abdul Ado made Layup. Assisted by Quinndary Weatherspoon.,27,23
1:02,55,Jason Burnell missed Jumper.,27,23
1:02,344,Abdul Ado Block.,27,23
1:00,344,Mississippi State Defensive Rebound.,27,23
0:36,344,Quinndary Weatherspoon missed Three Point Jumper.,27,23
0:36,344,Abdul Ado Offensive Rebound.,27,23
0:32,344,Abdul Ado made Jumper.,27,25
0:24,55,Jacksonville State  Timeout,27,25
0:05,55,Jamall Gregory made Layup.,29,25
0:00,344,End of 1st half,29,25
19:51,344,Tyson Carter missed Three Point Jumper.,29,25
19:51,344,Abdul Ado Offensive Rebound.,29,25
19:41,344,Tyson Carter Turnover.,29,25
19:39,55,Jamall Gregory Steal.,29,25
19:14,55,Ashton Spears missed Jumper.,29,25
19:14,344,Aric Holman Block.,29,25
19:14,55,Jacksonville State Offensive Rebound.,29,25
19:08,344,Foul on Quinndary Weatherspoon.,29,25
19:06,55,Jamall Gregory missed Three Point Jumper.,29,25
19:06,344,Tyson Carter Defensive Rebound.,29,25
18:59,344,Nick Weatherspoon missed Layup.,29,25
18:59,344,Aric Holman Offensive Rebound.,29,25
18:57,344,Aric Holman made Dunk.,29,27
18:57,55,Foul on Christian Cunningham.,29,27
18:57,344,Aric Holman missed Free Throw.,29,27
18:57,55,Norbertas Giga Defensive Rebound.,29,27
18:42,55,Ashton Spears made Three Point Jumper. Assisted by Christian Cunningham.,32,27
18:12,344,Quinndary Weatherspoon made Layup.,32,29
17:48,55,Ashton Spears missed Jumper.,32,29
17:48,344,Aric Holman Defensive Rebound.,32,29
17:39,344,Quinndary Weatherspoon Turnover.,32,29
17:38,55,Norbertas Giga Steal.,32,29
17:28,55,Norbertas Giga Turnover.,32,29
17:06,344,Eli Wright missed Jumper.,32,29
17:06,55,Ashton Spears Defensive Rebound.,32,29
16:53,55,Ashton Spears made Three Point Jumper. Assisted by Jamall Gregory.,35,29
16:33,344,Quinndary Weatherspoon made Layup.,35,31
16:09,55,Christian Cunningham Turnover.,35,31
15:57,55,Foul on Norbertas Giga.,35,31
15:57,344,Official TV Timeout,35,31
15:42,344,Xavian Stapleton missed Jumper.,35,31
15:42,55,Malcolm Drumwright Defensive Rebound.,35,31
15:40,344,Foul on Schnider Herard.,35,31
15:23,55,Norbertas Giga made Three Point Jumper. Assisted by Jamall Gregory.,38,31
15:05,344,Quinndary Weatherspoon missed Layup.,38,31
15:05,344,Schnider Herard Offensive Rebound.,38,31
15:03,344,Schnider Herard made Jumper.,38,33
14:41,55,Malcolm Drumwright made Three Point Jumper. Assisted by Jamall Gregory.,41,33
14:15,344,Xavian Stapleton made Jumper.,41,35
13:53,55,Norbertas Giga missed Three Point Jumper.,41,35
13:53,344,Quinndary Weatherspoon Defensive Rebound.,41,35
13:52,55,Foul on Jason Burnell.,41,35
13:26,344,Eli Wright missed Three Point Jumper.,41,35
13:26,55,Tyrik Edwards Defensive Rebound.,41,35
13:14,55,Marlon Hunter made Jumper. Assisted by Norbertas Giga.,43,35
13:11,344,Mississippi State  Timeout,43,35
13:11,344,Official TV Timeout,43,35
12:58,344,Tyson Carter made Three Point Jumper. Assisted by Nick Weatherspoon.,43,38
12:32,55,Malcolm Drumwright missed Jumper.,43,38
12:32,344,Eli Wright Defensive Rebound.,43,38
12:22,55,Foul on Norbertas Giga.,43,38
12:22,344,Aric Holman made Free Throw.,43,39
12:22,344,Aric Holman made Free Throw.,43,40
11:58,55,Norbertas Giga missed Jumper.,43,40
11:58,55,Jason Burnell Offensive Rebound.,43,40
11:55,55,Jason Burnell made Jumper.,45,40
11:32,344,Tyson Carter missed Three Point Jumper.,45,40
11:32,344,Aric Holman Offensive Rebound.,45,40
11:28,55,Foul on Marlon Hunter.,45,40
11:28,344,Official TV Timeout,45,40
11:28,344,Aric Holman made Free Throw.,45,41
11:28,344,Aric Holman missed Free Throw.,45,41
11:28,55,Jacksonville State Defensive Rebound.,45,41
11:11,55,Malcolm Drumwright missed Three Point Jumper.,45,41
11:11,344,Eli Wright Defensive Rebound.,45,41
11:03,344,Eli Wright Turnover.,45,41
10:42,55,Malcolm Drumwright made Layup.,47,41
10:16,344,Nick Weatherspoon made Three Point Jumper.,47,44
9:50,55,Malcolm Drumwright Turnover.,47,44
9:30,344,Quinndary Weatherspoon made Jumper.,47,46
9:19,55,Jacksonville State  Timeout,47,46
9:08,55,Jason Burnell missed Jumper.,47,46
9:08,344,Aric Holman Defensive Rebound.,47,46
9:04,344,Xavian Stapleton missed Jumper.,47,46
9:04,344,Xavian Stapleton Offensive Rebound.,47,46
9:01,344,Xavian Stapleton missed Two Point Tip Shot.,47,46
9:01,55,Jamall Gregory Defensive Rebound.,47,46
8:43,55,Norbertas Giga made Jumper.,49,46
8:19,344,Nick Weatherspoon missed Three Point Jumper.,49,46
8:19,344,Quinndary Weatherspoon Offensive Rebound.,49,46
8:15,344,Quinndary Weatherspoon Turnover.,49,46
7:44,55,Tyrik Edwards missed Jumper.,49,46
7:44,344,Aric Holman Defensive Rebound.,49,46
7:20,344,Nick Weatherspoon missed Layup.,49,46
7:20,55,Christian Cunningham Block.,49,46
7:18,55,Norbertas Giga Defensive Rebound.,49,46
7:15,55,Norbertas Giga Turnover.,49,46
7:13,344,Tyson Carter Steal.,49,46
7:11,344,Nick Weatherspoon made Layup. Assisted by Tyson Carter.,49,48
6:42,55,Jamall Gregory missed Jumper.,49,48
6:42,344,Nick Weatherspoon Defensive Rebound.,49,48
6:35,344,Nick Weatherspoon made Layup.,49,50
6:33,344,Official TV Timeout,49,50
6:21,55,Malcolm Drumwright missed Three Point Jumper.,49,50
6:21,344,Abdul Ado Defensive Rebound.,49,50
5:57,344,Aric Holman made Layup. Assisted by Quinndary Weatherspoon.,49,52
5:24,55,Malcolm Drumwright missed Jumper.,49,52
5:24,55,Malcolm Drumwright Offensive Rebound.,49,52
5:21,55,Jacksonville State  Timeout,49,52
4:55,344,Foul on Abdul Ado.,49,52
4:39,55,Jason Burnell missed Jumper.,49,52
4:39,55,Norbertas Giga Offensive Rebound.,49,52
4:36,55,Norbertas Giga made Jumper.,51,52
4:15,344,Abdul Ado Turnover.,51,52
4:01,55,Norbertas Giga missed Three Point Jumper.,51,52
4:01,344,Abdul Ado Defensive Rebound.,51,52
3:39,344,Quinndary Weatherspoon made Layup.,51,54
3:23,55,Tyrik Edwards missed Layup.,51,54
3:23,344,Abdul Ado Block.,51,54
3:21,344,Eli Wright Defensive Rebound.,51,54
3:17,344,Eli Wright missed Layup.,51,54
3:17,344,Eli Wright Offensive Rebound.,51,54
3:13,344,Eli Wright missed Jumper.,51,54
3:13,344,Tyson Carter Offensive Rebound.,51,54
2:55,344,Abdul Ado Turnover.,51,54
2:55,344,Official TV Timeout,51,54
2:41,55,Jamall Gregory made Three Point Jumper. Assisted by Norbertas Giga.,54,54
2:25,344,Quinndary Weatherspoon made Jumper.,54,56
1:59,55,Jason Burnell missed Three Point Jumper.,54,56
1:59,344,Abdul Ado Defensive Rebound.,54,56
1:40,55,Foul on Jamall Gregory.,54,56
1:31,344,Abdul Ado Turnover.,54,56
1:31,344,Foul on Abdul Ado.,54,56
1:08,55,Marlon Hunter missed Jumper.,54,56
1:08,55,Jason Burnell Offensive Rebound.,54,56
1:05,55,Jason Burnell made Jumper.,56,56
0:53,344,Mississippi State  Timeout,56,56
0:45,344,Tyson Carter missed Three Point Jumper.,56,56
0:45,55,Ashton Spears Defensive Rebound.,56,56
0:19,55,Malcolm Drumwright missed Three Point Jumper.,56,56
0:19,344,Abdul Ado Defensive Rebound.,56,56
0:01,344,Quinndary Weatherspoon made Three Point Jumper.,56,59
0:01,344,Mississippi State  Timeout,56,59
0:00,344,End of Game,56,59
