Hiwassee College,Error,Mercer,2382
8:07,2382,Ethan Stair made Three Point Jumper. Assisted by Ross Cummings.,15,28
7:47,-1,Jay Cade missed Jumper.,15,28
7:47,2382,Stephon Jelks Defensive Rebound.,15,28
7:36,2382,Ross Cummings missed Three Point Jumper.,15,28
7:36,2382,Desmond Ringer Offensive Rebound.,15,28
7:20,2382,Jordan Strawberry Turnover.,15,28
7:18,-1,Jay Johnson Steal.,15,28
7:14,-1,Toure Fudge made Jumper. Assisted by Jay Johnson.,17,28
6:59,2382,Jordan Strawberry made Three Point Jumper.,17,31
6:39,-1,Jay Cade missed Three Point Jumper.,17,31
6:39,2382,Mercer Defensive Rebound.,17,31
6:38,2382,Mercer  Timeout,17,31
6:29,2382,Jordan Strawberry made Three Point Jumper. Assisted by Ethan Stair.,17,34
6:09,-1,Jay Johnson made Three Point Jumper. Assisted by Dess Culpepper.,20,34
5:53,-1,Foul on Naequon Newman.,20,34
5:53,2382,Marcus Cohen missed Free Throw.,20,34
5:53,2382,Mercer Deadball Team Rebound.,20,34
5:53,2382,Marcus Cohen missed Free Throw.,20,34
5:53,-1,Jay Johnson Defensive Rebound.,20,34
5:45,-1,Rasheed Michell missed Layup.,20,34
5:45,2382,Jordan Strawberry Block.,20,34
5:42,2382,Marcus Cohen Defensive Rebound.,20,34
5:37,2382,Ethan Stair made Layup. Assisted by Marcus Cohen.,20,36
5:16,-1,Naequon Newman missed Layup.,20,36
5:16,2382,Jaylen Stowe Defensive Rebound.,20,36
5:12,2382,Jaylen Stowe Turnover.,20,36
5:10,-1,Naequon Newman Steal.,20,36
5:07,-1,Naequon Newman missed Layup.,20,36
5:07,2382,Cory Kilby Defensive Rebound.,20,36
4:50,2382,Marcus Cohen made Layup.,20,38
4:50,-1,Foul on Jay Cade.,20,38
4:50,2382,Marcus Cohen missed Free Throw.,20,38
4:50,-1,Jay Johnson Defensive Rebound.,20,38
4:30,-1,Jay Cade missed Jumper.,20,38
4:30,-1,Jay Cade Offensive Rebound.,20,38
4:24,-1,Jay Cade missed Layup.,20,38
4:24,2382,Stephon Jelks Defensive Rebound.,20,38
4:08,2382,Marcus Cohen made Layup.,20,40
3:52,-1,Dess Culpepper missed Jumper.,20,40
3:52,2382,Stephon Jelks Defensive Rebound.,20,40
3:34,2382,Jordan Strawberry missed Three Point Jumper.,20,40
3:34,-1,Naequon Newman Defensive Rebound.,20,40
3:28,-1,Jay Cade made Layup. Assisted by Naequon Newman.,22,40
3:28,2382,Foul on Marcus Cohen.,22,40
3:28,-1,Hiwassee  Timeout,22,40
3:28,-1,Jay Cade made Free Throw.,23,40
3:20,2382,Jordan Strawberry Turnover.,23,40
3:08,-1,Ben Snider made Three Point Jumper. Assisted by Naequon Newman.,26,40
2:54,2382,Marcus Cohen made Jumper.,26,42
2:54,-1,Foul on Naequon Newman.,26,42
2:54,2382,Marcus Cohen missed Free Throw.,26,42
2:54,-1,Dess Culpepper Defensive Rebound.,26,42
2:53,2382,Foul on Desmond Ringer.,26,42
2:43,-1,Ben Snider Turnover.,26,42
2:42,2382,Ethan Stair Steal.,26,42
2:38,2382,Ethan Stair made Layup.,26,44
2:23,-1,Toure Fudge Turnover.,26,44
2:12,-1,Foul on Tevin Henry.,26,44
2:12,2382,Desmond Ringer missed Free Throw.,26,44
2:12,2382,Mercer Deadball Team Rebound.,26,44
2:12,2382,Desmond Ringer made Free Throw.,26,45
1:57,-1,Aario Johnson missed Three Point Jumper.,26,45
1:57,2382,Ethan Stair Defensive Rebound.,26,45
1:41,2382,Cory Kilby made Three Point Jumper. Assisted by Ryan Johnson.,26,48
1:26,-1,Ben Snider made Three Point Jumper.,29,48
1:06,-1,Foul on Toure Fudge.,29,48
1:06,2382,Ryan Johnson made Free Throw.,29,49
1:06,2382,Ryan Johnson missed Free Throw.,29,49
1:06,-1,Dess Culpepper Defensive Rebound.,29,49
0:57,-1,Dess Culpepper made Three Point Jumper.,32,49
0:33,2382,Mason Green made Jumper. Assisted by Ross Cummings.,32,51
0:19,-1,Aario Johnson missed Three Point Jumper.,32,51
0:19,2382,Ryan Johnson Defensive Rebound.,32,51
0:01,2382,Marcus Cohen Turnover.,32,51
0:01,-1,Ben Snider Steal.,32,51
0:00,2382,End of 1st half,32,51
19:37,-1,Dess Culpepper missed Three Point Jumper.,32,51
19:37,-1,Jay Cade Offensive Rebound.,32,51
19:32,-1,Dess Culpepper made Three Point Jumper. Assisted by Jay Cade.,35,51
19:12,2382,Demetre Rivers made Dunk. Assisted by Ethan Stair.,35,53
19:06,-1,Tevin Henry Turnover.,35,53
18:48,2382,Desmond Ringer made Layup. Assisted by Jordan Strawberry.,35,55
18:24,-1,Tevin Henry Turnover.,35,55
18:22,2382,Desmond Ringer Steal.,35,55
18:17,2382,Ethan Stair Turnover.,35,55
18:15,-1,Dess Culpepper Steal.,35,55
17:58,-1,Dess Culpepper missed Jumper.,35,55
17:58,2382,Jordan Strawberry Defensive Rebound.,35,55
17:41,2382,Desmond Ringer made Layup. Assisted by Jordan Strawberry.,35,57
17:41,-1,Foul on Tevin Henry.,35,57
17:41,2382,Desmond Ringer made Free Throw.,35,58
17:24,-1,Naequon Newman made Layup. Assisted by Dess Culpepper.,37,58
17:04,2382,Ethan Stair missed Jumper.,37,58
17:04,-1,Dess Culpepper Defensive Rebound.,37,58
16:58,-1,Dess Culpepper Turnover.,37,58
16:57,2382,Jaylen Stowe Steal.,37,58
16:52,2382,Marcus Cohen made Layup. Assisted by Ethan Stair.,37,60
16:32,-1,Jay Cade Turnover.,37,60
16:15,2382,Cory Kilby missed Three Point Jumper.,37,60
16:15,-1,Hiwassee Defensive Rebound.,37,60
15:56,-1,Aario Johnson missed Jumper.,37,60
15:56,2382,Marcus Cohen Defensive Rebound.,37,60
15:47,2382,Cory Kilby missed Layup.,37,60
15:47,2382,Ryan Johnson Offensive Rebound.,37,60
15:32,2382,Foul on Ryan Johnson.,37,60
15:32,2382,Ryan Johnson Turnover.,37,60
15:32,-1,Hiwassee  Timeout,37,60
15:16,-1,Aario Johnson missed Jumper.,37,60
15:16,2382,Jaylen Stowe Defensive Rebound.,37,60
14:58,2382,Cory Kilby missed Jumper.,37,60
14:58,-1,Aario Johnson Defensive Rebound.,37,60
14:44,-1,Foul on Jay Johnson.,37,60
14:44,-1,Jay Johnson Turnover.,37,60
14:25,2382,Cory Kilby made Three Point Jumper. Assisted by Ethan Stair.,37,63
14:09,-1,Jay Johnson missed Three Point Jumper.,37,63
14:09,2382,Stephon Jelks Defensive Rebound.,37,63
13:59,2382,Jordan Strawberry missed Three Point Jumper.,37,63
13:59,-1,Aario Johnson Defensive Rebound.,37,63
13:50,-1,Jay Cade Turnover.,37,63
13:48,2382,Ethan Stair Steal.,37,63
13:34,2382,Ethan Stair missed Jumper.,37,63
13:34,-1,Jay Johnson Defensive Rebound.,37,63
13:21,-1,Jay Johnson missed Three Point Jumper.,37,63
13:21,2382,Jordan Strawberry Defensive Rebound.,37,63
13:02,2382,Ethan Stair made Layup. Assisted by Stephon Jelks.,37,65
12:43,-1,Ben Snider missed Layup.,37,65
12:43,2382,Ethan Stair Block.,37,65
12:43,-1,Hiwassee Offensive Rebound.,37,65
12:37,-1,Jay Johnson Turnover.,37,65
12:35,2382,Stephon Jelks Steal.,37,65
12:32,-1,Foul on Jay Johnson.,37,65
12:32,2382,Cory Kilby made Free Throw.,37,66
12:32,2382,Cory Kilby made Free Throw.,37,67
12:10,-1,Naequon Newman Turnover.,37,67
12:09,2382,Ethan Stair Steal.,37,67
12:00,-1,Foul on Naequon Newman.,37,67
12:00,2382,Mercer  Timeout,37,67
11:59,2382,Stephon Jelks made Dunk. Assisted by Marcus Cohen.,37,69
11:34,-1,Toure Fudge missed Jumper.,37,69
11:34,2382,Ethan Stair Defensive Rebound.,37,69
11:16,-1,Foul on Jay Johnson.,37,69
11:16,2382,Stephon Jelks made Free Throw.,37,70
11:16,2382,Stephon Jelks made Free Throw.,37,71
11:05,-1,Ben Snider missed Jumper.,37,71
11:05,2382,Ryan Johnson Defensive Rebound.,37,71
10:50,2382,Foul on Ryan Johnson.,37,71
10:50,2382,Ryan Johnson Turnover.,37,71
10:26,-1,Jay Cade missed Jumper.,37,71
10:25,2382,Ryan Johnson Block.,37,71
10:23,2382,Ryan Johnson Defensive Rebound.,37,71
10:20,2382,Ross Cummings missed Three Point Jumper.,37,71
10:20,2382,Ryan Johnson Offensive Rebound.,37,71
10:17,2382,Ryan Johnson missed Layup.,37,71
10:17,2382,Ryan Johnson Offensive Rebound.,37,71
10:14,2382,Ryan Johnson made Layup.,37,73
9:55,2382,Foul on Mason Green.,37,73
9:55,-1,Toure Fudge missed Free Throw.,37,73
9:55,-1,Hiwassee Deadball Team Rebound.,37,73
9:55,-1,Toure Fudge made Free Throw.,38,73
9:43,2382,Marcus Cohen Turnover.,38,73
9:29,-1,Toure Fudge missed Three Point Jumper.,38,73
9:29,2382,Ryan Johnson Defensive Rebound.,38,73
9:08,-1,Foul on Ben Snider.,38,73
9:08,2382,Mason Green made Free Throw.,38,74
9:08,2382,Mason Green made Free Throw.,38,75
8:58,-1,Jay Cade made Jumper.,40,75
8:49,2382,Ross Cummings made Three Point Jumper. Assisted by Marcus Cohen.,40,78
8:31,-1,Ben Snider Turnover.,40,78
8:30,2382,Mason Green Steal.,40,78
8:29,-1,Foul on Jay Cade.,40,78
8:29,2382,Marcus Cohen made Free Throw.,40,79
8:29,2382,Marcus Cohen made Free Throw.,40,80
8:10,2382,Foul on Mason Green.,40,80
8:10,-1,Malyk Woods missed Free Throw.,40,80
8:10,-1,Hiwassee Deadball Team Rebound.,40,80
8:10,-1,Malyk Woods missed Free Throw.,40,80
8:10,2382,Mason Green Defensive Rebound.,40,80
7:50,2382,Ryan Johnson Turnover.,40,80
7:49,-1,Ben Snider Steal.,40,80
7:44,-1,Jay Cade missed Jumper.,40,80
7:44,2382,Mercer Defensive Rebound.,40,80
7:44,2382,Mercer  Timeout,40,80
7:30,2382,Ross Cummings missed Three Point Jumper.,40,80
7:30,-1,Rasheed Michell Defensive Rebound.,40,80
7:09,-1,Rasheed Michell missed Three Point Jumper.,40,80
7:09,2382,Cory Kilby Defensive Rebound.,40,80
6:51,2382,Cory Kilby made Three Point Jumper. Assisted by Marcus Cohen.,40,83
6:28,-1,Ben Snider made Three Point Jumper. Assisted by Rasheed Michell.,43,83
6:11,2382,Mason Green Turnover.,43,83
5:48,2382,Foul on Mason Green.,43,83
5:48,-1,Malyk Woods missed Free Throw.,43,83
5:48,-1,Hiwassee Deadball Team Rebound.,43,83
5:48,-1,Malyk Woods missed Free Throw.,43,83
5:48,2382,Ryan Johnson Defensive Rebound.,43,83
5:28,2382,Ryan Johnson missed Layup.,43,83
5:28,-1,Malyk Woods Block.,43,83
5:24,-1,Tevin Henry Defensive Rebound.,43,83
5:18,-1,Tevin Henry made Layup.,45,83
4:59,2382,Ryan Johnson Turnover.,45,83
4:43,-1,Jay Cade missed Jumper.,45,83
4:43,-1,Jay Cade Offensive Rebound.,45,83
4:38,-1,Jay Cade made Layup.,47,83
4:14,2382,Foul on Jaylen Stowe.,47,83
4:14,2382,Jaylen Stowe Turnover.,47,83
3:58,-1,Rasheed Michell missed Three Point Jumper.,47,83
3:58,2382,Cory Kilby Defensive Rebound.,47,83
3:49,-1,Foul on Malyk Woods.,47,83
3:49,2382,Mercer  Timeout,47,83
3:49,2382,Mac Brydon made Free Throw.,47,84
3:49,2382,Mac Brydon made Free Throw.,47,85
3:21,-1,Tevin Henry missed Three Point Jumper.,47,85
3:21,-1,Malyk Woods Offensive Rebound.,47,85
3:18,-1,Hiwassee  Turnover.,47,85
3:02,2382,Ross Cummings missed Three Point Jumper.,47,85
3:02,2382,Mac Brydon Offensive Rebound.,47,85
2:55,2382,Ross Cummings made Three Point Jumper. Assisted by Mac Brydon.,47,88
2:39,-1,Alloysius Ufere Turnover.,47,88
2:38,2382,Ryan Johnson Steal.,47,88
2:36,2382,Jaylen Stowe made Dunk. Assisted by Ryan Johnson.,47,90
2:10,-1,Jay Cade missed Layup.,47,90
2:10,2382,Mason Green Block.,47,90
2:10,-1,Hiwassee Offensive Rebound.,47,90
2:04,-1,Tevin Henry missed Jumper.,47,90
2:04,2382,Jaylen Stowe Defensive Rebound.,47,90
1:51,2382,Ryan Johnson missed Three Point Jumper.,47,90
1:51,-1,Hiwassee Deadball Team Rebound.,47,90
1:50,2382,Foul on Mac Brydon.,47,90
1:50,-1,Malyk Woods missed Free Throw.,47,90
1:50,2382,Jaylen Stowe Defensive Rebound.,47,90
1:27,2382,Jaylen Stowe Turnover.,47,90
1:15,-1,Rasheed Michell made Three Point Jumper. Assisted by Alloysius Ufere.,50,90
0:47,2382,Mac Brydon Turnover.,50,90
0:46,-1,Malyk Woods Steal.,50,90
0:40,-1,Austin Harmon made Three Point Jumper. Assisted by Alloysius Ufere.,53,90
0:14,2382,Ryan Johnson missed Three Point Jumper.,53,90
0:14,-1,Austin Harmon Defensive Rebound.,53,90
0:03,-1,Alloysius Ufere missed Jumper.,53,90
0:03,2382,Jaylen Stowe Defensive Rebound.,53,90
0:00,2382,End of Game,53,90
