Brown,2803,Bryant,225
7:27,2803,Ryan Layman Turnover.,23,22
7:27,2803,Official TV Timeout,23,22
7:14,225,Desmond Cambridge missed Three Point Jumper.,23,22
7:14,2803,Taylor McHugh Defensive Rebound.,23,22
7:07,2803,Ryan Layman made Layup. Assisted by Taylor McHugh.,23,24
6:55,225,Tamenang Choh Turnover.,23,24
6:53,2803,Adam Grant Steal.,23,24
6:49,225,Foul on Desmond Cambridge.,23,24
6:49,2803,Adam Grant missed Free Throw.,23,24
6:49,2803,Bryant Deadball Team Rebound.,23,24
6:49,2803,Adam Grant missed Free Throw.,23,24
6:49,225,Desmond Cambridge Defensive Rebound.,23,24
6:38,225,Desmond Cambridge made Dunk. Assisted by Brandon Anderson.,25,24
6:24,225,Foul on Brandon Anderson.,25,24
6:24,2803,Sabastian Townes missed Free Throw.,25,24
6:24,225,Matt DeWolf Defensive Rebound.,25,24
6:09,2803,Foul on Hunter Ware.,25,24
6:09,225,Desmond Cambridge made Free Throw.,26,24
6:09,225,Desmond Cambridge made Free Throw.,27,24
5:57,2803,Bosko Kostur Turnover.,27,24
5:57,2803,Foul on Bosko Kostur.,27,24
5:41,225,Zach Hunsaker Turnover.,27,24
5:30,225,Foul on Matt DeWolf.,27,24
5:30,2803,Ikenna Ndugba made Free Throw.,27,25
5:30,2803,Ikenna Ndugba made Free Throw.,27,26
5:16,225,Chris Sullivan missed Three Point Jumper.,27,26
5:16,2803,Bosko Kostur Defensive Rebound.,27,26
4:57,2803,Taylor McHugh Turnover.,27,26
4:56,225,Matt DeWolf Steal.,27,26
4:48,225,Chris Sullivan made Layup. Assisted by Matt DeWolf.,29,26
4:31,2803,Sabastian Townes made Jumper.,29,28
4:15,225,Zach Hunsaker missed Three Point Jumper.,29,28
4:15,2803,Ryan Layman Defensive Rebound.,29,28
4:03,2803,Sabastian Townes missed Jumper.,29,28
4:03,225,Chris Sullivan Defensive Rebound.,29,28
3:51,225,Chris Sullivan Turnover.,29,28
3:51,225,Foul on Chris Sullivan.,29,28
3:51,2803,Official TV Timeout,29,28
3:27,2803,Adam Grant made Layup. Assisted by Sabastian Townes.,29,30
3:09,225,Joshua Howard missed Jumper.,29,30
3:09,225,Joshua Howard Offensive Rebound.,29,30
3:04,225,Zach Hunsaker made Three Point Jumper. Assisted by Obi Okolie.,32,30
2:46,2803,Sabastian Townes missed Jumper.,32,30
2:46,225,Zach Hunsaker Defensive Rebound.,32,30
2:36,225,Brandon Anderson made Jumper.,34,30
2:33,2803,Bryant  Timeout,34,30
2:21,2803,Ikenna Ndugba missed Three Point Jumper.,34,30
2:21,225,Obi Okolie Defensive Rebound.,34,30
2:14,2803,Foul on Gus Riley.,34,30
2:14,225,Travis Fuller made Free Throw.,35,30
2:14,225,Travis Fuller made Free Throw.,36,30
2:01,2803,Bosko Kostur missed Three Point Jumper.,36,30
2:01,225,Joshua Howard Block.,36,30
1:59,225,Brandon Anderson Defensive Rebound.,36,30
1:58,2803,Foul on Bosko Kostur.,36,30
1:57,225,Brandon Anderson made Free Throw.,37,30
1:57,225,Brandon Anderson made Free Throw.,38,30
1:44,2803,Sabastian Townes missed Layup.,38,30
1:44,225,Obi Okolie Block.,38,30
1:42,225,Matt DeWolf Defensive Rebound.,38,30
1:32,225,Obi Okolie missed Jumper.,38,30
1:32,2803,Ikenna Ndugba Defensive Rebound.,38,30
1:19,2803,Bosko Kostur made Jumper.,38,32
0:59,225,Zach Hunsaker missed Three Point Jumper.,38,32
0:59,2803,Sabastian Townes Defensive Rebound.,38,32
0:56,225,Foul on Matt DeWolf.,38,32
0:56,2803,Sabastian Townes made Free Throw.,38,33
0:56,2803,Sabastian Townes made Free Throw.,38,34
0:40,225,Brandon Anderson missed Three Point Jumper.,38,34
0:40,2803,Adam Grant Defensive Rebound.,38,34
0:32,2803,Adam Grant made Layup.,38,36
0:03,2803,Foul on Brandon Carroll.,38,36
0:03,225,Brandon Anderson made Free Throw.,39,36
0:03,225,Brandon Anderson made Free Throw.,40,36
0:00,2803,Adam Grant missed Three Point Jumper.,40,36
0:00,225,Brown Defensive Rebound.,40,36
0:00,2803,End of 1st half,40,36
19:50,225,Foul on Desmond Cambridge.,40,36
19:45,2803,Sabastian Townes made Layup. Assisted by Adam Grant.,40,38
19:30,225,Zach Hunsaker made Layup.,42,38
19:12,2803,Sabastian Townes Turnover.,42,38
19:11,225,Zach Hunsaker Steal.,42,38
19:08,225,Zach Hunsaker Turnover.,42,38
19:05,2803,Ikenna Ndugba Steal.,42,38
18:56,2803,Ryan Layman missed Three Point Jumper.,42,38
18:56,2803,Sabastian Townes Offensive Rebound.,42,38
18:52,2803,Sabastian Townes missed Layup.,42,38
18:52,2803,Sabastian Townes Offensive Rebound.,42,38
18:47,2803,Sabastian Townes Turnover.,42,38
18:46,225,Brandon Anderson Steal.,42,38
18:31,225,Travis Fuller made Jumper.,44,38
18:31,2803,Foul on Sabastian Townes.,44,38
18:31,225,Travis Fuller missed Free Throw.,44,38
18:31,2803,Ryan Layman Defensive Rebound.,44,38
18:22,2803,Sabastian Townes made Layup. Assisted by Ryan Layman.,44,40
17:52,225,Travis Fuller missed Jumper.,44,40
17:52,2803,Ryan Layman Defensive Rebound.,44,40
17:44,225,Foul on Travis Fuller.,44,40
17:41,2803,Sabastian Townes missed Layup.,44,40
17:41,225,Travis Fuller Defensive Rebound.,44,40
17:29,225,Tamenang Choh Turnover.,44,40
17:29,225,Foul on Tamenang Choh.,44,40
17:09,2803,Aram Martin missed Layup.,44,40
17:09,225,Travis Fuller Defensive Rebound.,44,40
17:00,225,Brandon Anderson Turnover.,44,40
16:45,2803,Ikenna Ndugba Turnover.,44,40
16:45,225,Joshua Howard Steal.,44,40
16:45,2803,Foul on Bosko Kostur.,44,40
16:35,225,Desmond Cambridge made Three Point Jumper. Assisted by Travis Fuller.,47,40
16:20,2803,Ikenna Ndugba missed Layup.,47,40
16:20,225,Desmond Cambridge Block.,47,40
16:20,2803,Bryant Offensive Rebound.,47,40
16:14,2803,Sabastian Townes made Jumper.,47,42
15:50,225,Desmond Cambridge made Layup.,49,42
15:23,2803,Ikenna Ndugba made Jumper.,49,44
14:57,225,Brandon Anderson missed Three Point Jumper.,49,44
14:57,2803,Adam Grant Defensive Rebound.,49,44
14:46,2803,Sabastian Townes made Layup. Assisted by Adam Grant.,49,46
14:23,225,Travis Fuller Turnover.,49,46
14:23,225,Foul on Travis Fuller.,49,46
14:09,2803,Sabastian Townes made Jumper. Assisted by Adam Grant.,49,48
13:52,225,Jason Massey made Layup. Assisted by Joshua Howard.,51,48
13:30,2803,Sabastian Townes made Jumper. Assisted by Adam Grant.,51,50
13:11,2803,Foul on Ikenna Ndugba.,51,50
13:11,225,Brandon Anderson made Free Throw.,52,50
13:11,225,Brandon Anderson made Free Throw.,53,50
12:58,2803,Adam Grant missed Three Point Jumper.,53,50
12:58,225,Matt DeWolf Defensive Rebound.,53,50
12:48,225,Zach Hunsaker missed Three Point Jumper.,53,50
12:48,2803,Ikenna Ndugba Defensive Rebound.,53,50
12:39,2803,Hunter Ware Turnover.,53,50
12:18,225,Jason Massey Turnover.,53,50
12:17,2803,Ikenna Ndugba Steal.,53,50
12:08,2803,Ryan Layman Turnover.,53,50
11:52,225,Obi Okolie made Jumper.,55,50
11:27,2803,Ikenna Ndugba missed Jumper.,55,50
11:27,225,Jason Massey Defensive Rebound.,55,50
11:24,2803,Foul on Hunter Ware.,55,50
11:24,2803,Official TV Timeout,55,50
11:05,225,Obi Okolie missed Jumper.,55,50
11:05,2803,Bosko Kostur Defensive Rebound.,55,50
10:54,225,Foul on Matt DeWolf.,55,50
10:52,2803,Sabastian Townes missed Jumper.,55,50
10:52,225,Jason Massey Defensive Rebound.,55,50
10:41,225,Desmond Cambridge missed Three Point Jumper.,55,50
10:41,2803,Sabastian Townes Defensive Rebound.,55,50
10:22,2803,Adam Grant Turnover.,55,50
10:09,225,Zach Hunsaker missed Three Point Jumper.,55,50
10:09,2803,Bosko Kostur Defensive Rebound.,55,50
10:06,225,Foul on Obi Okolie.,55,50
9:47,2803,Ikenna Ndugba made Three Point Jumper. Assisted by Sabastian Townes.,55,53
9:18,225,Jason Massey Turnover.,55,53
9:17,2803,Bosko Kostur Steal.,55,53
9:13,225,Foul on Desmond Cambridge.,55,53
9:13,2803,Adam Grant missed Free Throw.,55,53
9:13,2803,Bryant Deadball Team Rebound.,55,53
9:13,2803,Adam Grant missed Free Throw.,55,53
9:13,225,Desmond Cambridge Defensive Rebound.,55,53
8:43,225,Zach Hunsaker Turnover.,55,53
8:42,2803,Ikenna Ndugba Steal.,55,53
8:23,2803,Adam Grant made Three Point Jumper. Assisted by Aram Martin.,55,56
8:01,225,Travis Fuller missed Three Point Jumper.,55,56
8:01,2803,Ikenna Ndugba Defensive Rebound.,55,56
7:52,2803,Aram Martin Turnover.,55,56
7:52,2803,Foul on Aram Martin.,55,56
7:52,2803,Official TV Timeout,55,56
7:41,2803,Foul on Ikenna Ndugba.,55,56
7:40,225,Brandon Anderson missed Three Point Jumper.,55,56
7:40,225,Joshua Howard Offensive Rebound.,55,56
7:36,225,Joshua Howard made Layup.,57,56
7:36,2803,Foul on Ryan Layman.,57,56
7:36,225,Joshua Howard missed Free Throw.,57,56
7:36,2803,Ryan Layman Defensive Rebound.,57,56
7:18,2803,Adam Grant missed Three Point Jumper.,57,56
7:18,2803,Ryan Layman Offensive Rebound.,57,56
6:57,2803,Taylor McHugh made Three Point Jumper. Assisted by Adam Grant.,57,59
6:36,225,Zach Hunsaker made Three Point Jumper. Assisted by Joshua Howard.,60,59
6:18,2803,Bosko Kostur missed Three Point Jumper.,60,59
6:18,225,Desmond Cambridge Defensive Rebound.,60,59
6:09,2803,Foul on Sabastian Townes.,60,59
6:09,225,Travis Fuller made Free Throw.,61,59
6:09,225,Travis Fuller made Free Throw.,62,59
5:55,2803,Adam Grant missed Layup.,62,59
5:55,225,Tamenang Choh Defensive Rebound.,62,59
5:34,225,Desmond Cambridge missed Jumper.,62,59
5:34,2803,Taylor McHugh Defensive Rebound.,62,59
5:17,2803,Ryan Layman missed Layup.,62,59
5:17,225,Desmond Cambridge Block.,62,59
5:15,225,Zach Hunsaker Defensive Rebound.,62,59
5:02,225,Brandon Anderson made Three Point Jumper. Assisted by Tamenang Choh.,65,59
4:59,225,Brown  Timeout,65,59
4:59,2803,Official TV Timeout,65,59
4:45,225,Foul on Travis Fuller.,65,59
4:45,2803,Ryan Layman missed Free Throw.,65,59
4:45,2803,Bryant Deadball Team Rebound.,65,59
4:45,2803,Ryan Layman made Free Throw.,65,60
4:19,225,Zach Hunsaker made Three Point Jumper.,68,60
4:03,2803,Bosko Kostur missed Layup.,68,60
4:03,225,Travis Fuller Defensive Rebound.,68,60
3:57,225,Desmond Cambridge made Dunk. Assisted by Brandon Anderson.,70,60
3:56,2803,Bryant  Timeout,70,60
3:56,2803,Official TV Timeout,70,60
3:38,2803,Ikenna Ndugba missed Three Point Jumper.,70,60
3:38,225,Travis Fuller Defensive Rebound.,70,60
3:19,2803,Foul on Hunter Ware.,70,60
3:19,225,Desmond Cambridge missed Free Throw.,70,60
3:19,2803,Bosko Kostur Defensive Rebound.,70,60
3:03,2803,Adam Grant Turnover.,70,60
3:02,225,Brandon Anderson Steal.,70,60
2:58,2803,Foul on Bosko Kostur.,70,60
2:58,225,Brandon Anderson made Free Throw.,71,60
2:58,225,Brandon Anderson made Free Throw.,72,60
2:41,225,Foul on Matt DeWolf.,72,60
2:41,2803,Bosko Kostur made Free Throw.,72,61
2:41,2803,Bosko Kostur made Free Throw.,72,62
2:15,225,Brandon Anderson missed Layup.,72,62
2:15,225,Travis Fuller Offensive Rebound.,72,62
2:10,225,Travis Fuller missed Layup.,72,62
2:10,2803,Ikenna Ndugba Defensive Rebound.,72,62
2:07,2803,Adam Grant made Three Point Jumper. Assisted by Ikenna Ndugba.,72,65
2:04,2803,Bryant  Timeout,72,65
2:02,225,Brandon Anderson Turnover.,72,65
2:01,2803,Adam Grant Steal.,72,65
1:52,2803,Adam Grant missed Three Point Jumper.,72,65
1:52,225,Obi Okolie Defensive Rebound.,72,65
1:48,2803,Foul on Brandon Carroll.,72,65
1:48,225,Obi Okolie missed Free Throw.,72,65
1:48,225,Brown Deadball Team Rebound.,72,65
1:48,225,Obi Okolie made Free Throw.,73,65
1:43,2803,Adam Grant missed Jumper.,73,65
1:43,2803,Bosko Kostur Offensive Rebound.,73,65
1:34,2803,Bosko Kostur made Two Point Tip Shot.,73,67
1:34,2803,Foul on Adam Grant.,73,67
1:34,225,Brandon Anderson made Free Throw.,74,67
1:34,225,Brandon Anderson missed Free Throw.,74,67
1:34,225,Obi Okolie Offensive Rebound.,74,67
1:25,2803,Foul on Taylor McHugh.,74,67
1:25,225,Brandon Anderson made Free Throw.,75,67
1:25,225,Brandon Anderson made Free Throw.,76,67
1:14,2803,Taylor McHugh missed Three Point Jumper.,76,67
1:14,225,Zach Hunsaker Defensive Rebound.,76,67
1:11,2803,Foul on Adam Grant.,76,67
1:11,225,Zach Hunsaker made Free Throw.,77,67
1:11,225,Zach Hunsaker made Free Throw.,78,67
1:02,2803,Adam Grant missed Three Point Jumper.,78,67
1:02,225,Tamenang Choh Defensive Rebound.,78,67
0:55,2803,Foul on Adam Grant.,78,67
0:55,225,Brandon Anderson made Free Throw.,79,67
0:55,225,Brandon Anderson made Free Throw.,80,67
0:50,2803,Ikenna Ndugba missed Three Point Jumper.,80,67
0:50,225,Brown Defensive Rebound.,80,67
0:47,2803,Foul on Bosko Kostur.,80,67
0:47,225,Obi Okolie missed Free Throw.,80,67
0:47,225,Brown Deadball Team Rebound.,80,67
0:47,225,Obi Okolie made Free Throw.,81,67
0:39,2803,Adam Grant Turnover.,81,67
0:38,225,Tamenang Choh Steal.,81,67
0:08,225,Brown  Turnover.,81,67
0:00,2803,End of Game,81,67
