North Carolina A&amp;T,151,East Carolina,2448
3:45,2448,Femi Olujobi made Layup. Assisted by Kwei Lartey.,37,33
3:27,151,B.J. Tyson missed Three Point Jumper.,37,33
3:27,2448,Femi Olujobi Defensive Rebound.,37,33
3:09,151,Official TV Timeout,37,33
3:07,2448,Foul on Kwei Lartey.,37,33
3:07,2448,Kwei Lartey Turnover.,37,33
3:07,151,Official TV Timeout,37,33
2:58,151,Kentrell Barkley missed Layup.,37,33
2:58,2448,Japhet Kadji Defensive Rebound.,37,33
2:38,2448,Amari Hamilton missed Three Point Jumper.,37,33
2:38,151,Usman Haruna Defensive Rebound.,37,33
2:34,2448,Foul on Femi Olujobi.,37,33
2:24,151,Shawn Williams made Three Point Jumper. Assisted by B.J. Tyson.,37,36
1:51,2448,Amari Hamilton missed Three Point Jumper.,37,36
1:51,2448,Japhet Kadji Offensive Rebound.,37,36
1:35,2448,Femi Olujobi made Layup. Assisted by Japhet Kadji.,39,36
1:34,151,Foul on Usman Haruna.,39,36
1:34,2448,Femi Olujobi made Free Throw.,40,36
1:13,151,Kentrell Barkley missed Layup.,40,36
1:13,2448,Amari Hamilton Defensive Rebound.,40,36
1:10,151,Foul on Usman Haruna.,40,36
1:10,2448,Amari Hamilton made Free Throw.,41,36
1:10,2448,Amari Hamilton made Free Throw.,42,36
0:59,2448,Foul on Japhet Kadji.,42,36
0:51,2448,Foul on Amari Hamilton.,42,36
0:51,151,B.J. Tyson made Free Throw.,42,37
0:51,151,B.J. Tyson made Free Throw.,42,38
0:31,2448,Femi Olujobi missed Jumper.,42,38
0:31,151,Kentrell Barkley Defensive Rebound.,42,38
0:23,151,B.J. Tyson missed Layup.,42,38
0:23,2448,Japhet Kadji Defensive Rebound.,42,38
0:09,2448,Amari Hamilton missed Free Throw.,42,38
0:09,2448,North Carolina A&T Deadball Team Rebound.,42,38
0:09,2448,Amari Hamilton made Free Throw.,43,38
0:09,151,Foul on Dimitri Spasojevic.,42,38
0:04,151,Shawn Williams made Layup.,43,40
0:00,151,End of 1st half,43,40
19:48,151,Kentrell Barkley made Layup.,43,42
19:31,2448,Femi Olujobi Turnover.,43,42
19:19,151,Isaac Fleming missed Layup.,43,42
19:19,2448,Kameron Langley Defensive Rebound.,43,42
19:14,2448,Devonte Boykins missed Three Point Jumper.,43,42
19:14,151,Isaac Fleming Defensive Rebound.,43,42
18:53,151,Dimitri Spasojevic made Layup. Assisted by Kentrell Barkley.,43,44
18:52,2448,Foul on Kwei Lartey.,43,44
18:52,151,Dimitri Spasojevic made Free Throw.,43,45
18:34,2448,Aaren Edmead Turnover.,43,45
18:34,151,Isaac Fleming Steal.,43,45
18:28,151,Dimitri Spasojevic Turnover.,43,45
18:26,2448,Aaren Edmead Steal.,43,45
18:22,151,Foul on Jabari Craig.,43,45
18:22,2448,Femi Olujobi made Free Throw.,44,45
18:22,2448,Femi Olujobi made Free Throw.,45,45
18:06,151,Kentrell Barkley missed Layup.,45,45
18:06,151,Dimitri Spasojevic Offensive Rebound.,45,45
18:03,151,Dimitri Spasojevic made Layup.,45,47
17:56,151,Foul on Dimitri Spasojevic.,45,47
17:56,2448,Aaren Edmead missed Free Throw.,45,47
17:56,2448,North Carolina A&T Deadball Team Rebound.,45,47
17:56,2448,Aaren Edmead made Free Throw.,46,47
17:27,151,Isaac Fleming made Layup.,46,49
17:03,2448,Devonte Boykins missed Layup.,46,49
17:03,151,Jabari Craig Block.,46,49
17:01,151,B.J. Tyson Defensive Rebound.,46,49
16:59,151,Foul on B.J. Tyson.,46,49
16:59,151,B.J. Tyson Turnover.,46,49
16:39,151,Foul on Isaac Fleming.,46,49
16:39,2448,Aaren Edmead made Free Throw.,47,49
16:39,2448,Aaren Edmead made Free Throw.,48,49
16:31,151,B.J. Tyson Turnover.,48,49
16:30,2448,Aaren Edmead Steal.,48,49
16:25,2448,Denzel Keyes Turnover.,48,49
16:01,151,Jabari Craig missed Layup.,48,49
16:01,2448,Aaren Edmead Defensive Rebound.,48,49
15:55,151,Foul on Isaac Fleming.,48,49
15:55,151,Official TV Timeout,48,49
15:55,2448,Aaren Edmead made Free Throw.,49,49
15:55,2448,Aaren Edmead made Free Throw.,50,49
15:39,151,Kentrell Barkley missed Three Point Jumper.,50,49
15:39,2448,Kameron Langley Defensive Rebound.,50,49
15:25,151,Foul on Kentrell Barkley.,50,49
15:25,2448,Foul on Aaren Edmead.,50,49
15:25,2448,Aaren Edmead Turnover.,50,49
15:25,151,Shawn Williams made Free Throw.,50,50
15:25,151,Shawn Williams made Free Throw.,50,51
15:03,2448,Devonte Boykins Turnover.,50,51
14:36,151,Shawn Williams missed Three Point Jumper.,50,51
14:36,151,Jabari Craig Offensive Rebound.,50,51
14:30,151,Jabari Craig missed Layup.,50,51
14:30,2448,Denzel Keyes Defensive Rebound.,50,51
14:13,2448,Amari Hamilton missed Three Point Jumper.,50,51
14:13,151,Kentrell Barkley Defensive Rebound.,50,51
14:00,151,Jabari Craig Turnover.,50,51
13:49,2448,Femi Olujobi missed Layup.,50,51
13:49,151,Kentrell Barkley Defensive Rebound.,50,51
13:45,2448,Foul on Kameron Langley.,50,51
13:37,151,Foul on Jabari Craig.,50,51
13:37,151,Jabari Craig Turnover.,50,51
13:34,2448,Femi Olujobi missed Three Point Jumper.,50,51
13:34,151,B.J. Tyson Defensive Rebound.,50,51
13:25,151,Shawn Williams missed Jumper.,50,51
13:25,151,Jabari Craig Offensive Rebound.,50,51
13:21,151,Jabari Craig made Dunk.,50,53
13:16,151,Foul on Shawn Williams.,50,53
13:16,2448,Aaren Edmead made Free Throw.,51,53
13:16,2448,Aaren Edmead made Free Throw.,52,53
13:00,151,Shawn Williams missed Three Point Jumper.,52,53
13:00,2448,Femi Olujobi Defensive Rebound.,52,53
12:36,2448,Aaren Edmead missed Jumper.,52,53
12:36,151,Dimitri Spasojevic Defensive Rebound.,52,53
12:21,2448,Foul on Kameron Langley.,52,53
12:16,151,Shawn Williams missed Jumper.,52,53
12:16,151,Jabari Craig Offensive Rebound.,52,53
12:12,151,Jabari Craig Turnover.,52,53
11:59,2448,Aaren Edmead Turnover.,52,53
11:56,151,Justin Whatley Steal.,52,53
11:54,151,Shawn Williams made Jumper. Assisted by Kentrell Barkley.,52,55
11:42,2448,Aaren Edmead made Three Point Jumper. Assisted by Femi Olujobi.,55,55
11:12,2448,Foul on Denzel Keyes.,55,55
11:12,151,Official TV Timeout,55,55
11:10,2448,Foul on Austin Williams.,55,55
11:10,151,B.J. Tyson made Free Throw.,55,56
11:10,151,B.J. Tyson made Free Throw.,55,57
10:48,2448,Austin Williams Turnover.,55,57
10:38,151,B.J. Tyson made Three Point Jumper. Assisted by Kentrell Barkley.,55,60
10:22,2448,Denzel Keyes made Jumper. Assisted by Aaren Edmead.,57,60
10:07,151,Foul on Shawn Williams.,57,60
10:07,151,Shawn Williams Turnover.,57,60
9:56,2448,Denzel Keyes made Layup. Assisted by Aaren Edmead.,59,60
9:33,2448,Foul on Femi Olujobi.,59,60
9:33,151,Dimitri Spasojevic missed Free Throw.,59,60
9:33,2448,Denzel Keyes Defensive Rebound.,59,60
9:12,2448,Denzel Keyes made Layup. Assisted by Aaren Edmead.,61,60
8:57,151,Shawn Williams missed Layup.,61,60
8:57,2448,Femi Olujobi Defensive Rebound.,61,60
8:50,2448,Devonte Boykins made Layup.,63,60
8:50,151,Foul on Justin Whatley.,63,60
8:50,2448,Denzel Keyes made Free Throw.,64,60
8:35,151,B.J. Tyson missed Jumper.,64,60
8:35,2448,Kwei Lartey Defensive Rebound.,64,60
8:29,2448,Kameron Langley Turnover.,64,60
8:17,151,Shawn Williams Turnover.,64,60
8:15,2448,Kameron Langley Steal.,64,60
7:57,2448,Aaren Edmead made Layup.,66,60
7:43,151,Isaac Fleming made Layup.,66,62
7:27,2448,Aaren Edmead made Layup.,68,62
7:10,151,Isaac Fleming made Layup.,68,64
7:10,2448,Foul on Kameron Langley.,68,64
7:10,151,Official TV Timeout,68,64
7:10,151,Isaac Fleming made Free Throw.,68,65
7:09,151,Official TV Timeout,68,64
6:54,151,Foul on Dimitri Spasojevic.,68,65
6:54,2448,Femi Olujobi made Free Throw.,69,65
6:54,2448,Femi Olujobi missed Free Throw.,69,65
6:54,151,Jabari Craig Defensive Rebound.,69,65
6:46,151,B.J. Tyson made Layup. Assisted by Isaac Fleming.,69,67
6:23,2448,Amari Hamilton missed Three Point Jumper.,69,67
6:23,151,Kentrell Barkley Defensive Rebound.,69,67
6:04,2448,Foul on Denzel Keyes.,69,67
6:04,151,Isaac Fleming made Free Throw.,69,68
6:04,151,Isaac Fleming made Free Throw.,69,69
5:53,2448,Kwei Lartey Turnover.,69,69
5:47,151,Foul on B.J. Tyson.,69,69
5:47,151,B.J. Tyson Turnover.,69,69
5:41,2448,North Carolina A&T  Timeout,69,69
5:30,2448,Femi Olujobi made Layup. Assisted by Aaren Edmead.,71,69
4:58,151,B.J. Tyson missed Three Point Jumper.,71,69
4:58,151,Jabari Craig Offensive Rebound.,71,69
4:55,2448,Foul on Raymon Pratt.,71,69
4:55,151,Kentrell Barkley missed Free Throw.,71,69
4:55,151,East Carolina Deadball Team Rebound.,71,69
4:55,151,Kentrell Barkley missed Free Throw.,71,69
4:55,2448,Femi Olujobi Defensive Rebound.,71,69
4:38,2448,Aaren Edmead made Layup.,73,69
4:17,2448,Foul on Raymon Pratt.,73,69
4:17,151,Isaac Fleming made Free Throw.,73,70
4:17,151,Isaac Fleming made Free Throw.,73,71
4:07,2448,Aaren Edmead made Three Point Jumper.,76,71
3:49,151,Jabari Craig missed Layup.,76,71
3:49,2448,Raymon Pratt Defensive Rebound.,76,71
3:21,2448,Aaren Edmead missed Jumper.,76,71
3:21,151,Kentrell Barkley Defensive Rebound.,76,71
3:19,2448,Foul on Raymon Pratt.,76,71
3:19,151,Official TV Timeout,76,71
3:19,151,Kentrell Barkley made Free Throw.,76,72
3:19,151,Kentrell Barkley made Free Throw.,76,73
2:57,2448,Kwei Lartey missed Three Point Jumper.,76,73
2:57,2448,Femi Olujobi Offensive Rebound.,76,73
2:55,151,Foul on Jabari Craig.,76,73
2:55,2448,Femi Olujobi made Free Throw.,77,73
2:55,2448,Femi Olujobi made Free Throw.,78,73
2:47,151,Isaac Fleming made Layup.,78,75
2:44,151,East Carolina  Timeout,78,75
2:44,2448,North Carolina A&T  Timeout,78,75
2:25,2448,Kameron Langley made Layup.,80,75
1:56,151,Isaac Fleming missed Three Point Jumper.,80,75
1:56,151,Kentrell Barkley Offensive Rebound.,80,75
1:53,2448,Foul on Kameron Langley.,80,75
1:53,151,Kentrell Barkley made Free Throw.,80,76
1:53,151,Kentrell Barkley missed Free Throw.,80,76
1:53,2448,Femi Olujobi Defensive Rebound.,80,76
1:33,2448,Femi Olujobi made Layup.,82,76
1:33,151,Foul on Jabari Craig.,82,76
1:33,2448,Femi Olujobi made Free Throw.,83,76
1:27,151,Isaac Fleming made Layup.,83,78
1:27,2448,Foul on Kwei Lartey.,83,78
1:27,151,Isaac Fleming made Free Throw.,83,79
1:01,2448,Aaren Edmead made Jumper.,85,79
0:51,2448,Foul on Aaren Edmead.,85,79
0:51,151,Isaac Fleming missed Free Throw.,85,79
0:51,151,East Carolina Deadball Team Rebound.,85,79
0:51,151,Isaac Fleming made Free Throw.,85,80
0:44,2448,Amari Hamilton missed Three Point Jumper.,85,80
0:44,151,Jabari Craig Defensive Rebound.,85,80
0:33,151,Foul on Kentrell Barkley.,85,80
0:33,2448,Aaren Edmead made Free Throw.,86,80
0:33,2448,Aaren Edmead made Free Throw.,87,80
0:27,151,Shawn Williams missed Jumper.,87,80
0:27,2448,Kwei Lartey Block.,87,80
0:24,2448,Amari Hamilton Defensive Rebound.,87,80
0:18,2448,Amari Hamilton Turnover.,87,80
0:17,151,Isaac Fleming Steal.,87,80
0:16,2448,Foul on Aaren Edmead.,87,80
0:16,151,Shawn Williams missed Free Throw.,87,80
0:16,151,East Carolina Deadball Team Rebound.,87,80
0:16,151,Shawn Williams made Free Throw.,87,81
0:00,151,End of Game,87,81
