UC Riverside,130,Michigan,27
6:54,27,Ajani Kennedy Turnover.,12,31
6:54,130,Charles Matthews Steal.,12,31
6:50,130,Charles Matthews made Layup.,12,33
6:26,27,Alex Larsson missed Jumper.,12,33
6:23,27,Alex Larsson Offensive Rebound.,12,33
6:23,27,Alex Larsson missed Jumper.,12,33
6:22,27,UC Riverside Offensive Rebound.,12,33
6:16,27,Dikymbe Martin missed Jumper.,12,33
6:14,130,Duncan Robinson Defensive Rebound.,12,33
6:11,130,Duncan Robinson missed Three Point Jumper.,12,33
6:08,27,Dikymbe Martin Defensive Rebound.,12,33
6:01,27,Dikymbe Martin Turnover.,12,33
6:01,130,Duncan Robinson Steal.,12,33
5:51,27,Foul on Brandon Rosser.,12,33
5:51,130,Michigan Deadball Team Rebound.,12,33
5:51,130,Duncan Robinson missed Free Throw.,12,33
5:51,130,Duncan Robinson made Free Throw.,12,34
5:34,27,Alex Larsson missed Jumper.,12,34
5:31,130,Charles Matthews Defensive Rebound.,12,34
5:22,130,Moritz Wagner Turnover.,12,34
5:22,27,Dikymbe Martin Steal.,12,34
5:01,27,Chance Murray Turnover.,12,34
5:01,130,Muhammad-Ali Abdur-Rahkman Steal.,12,34
4:57,130,Muhammad-Ali Abdur-Rahkman made Jumper. Assisted by Charles Matthews.,12,36
4:42,27,Brandon Rosser Turnover.,12,36
4:42,130,Duncan Robinson Steal.,12,36
4:39,130,Duncan Robinson missed Jumper.,12,36
4:36,130,Eli Brooks Offensive Rebound.,12,36
4:36,130,Eli Brooks missed Jumper.,12,36
4:33,27,Dikymbe Martin Defensive Rebound.,12,36
4:24,27,Brandon Rosser Turnover.,12,36
4:24,130,Duncan Robinson Steal.,12,36
4:20,130,Charles Matthews made Jumper.,12,38
3:57,27,Alex Larsson missed Jumper.,12,38
3:54,130,Moritz Wagner Defensive Rebound.,12,38
3:53,130,Eli Brooks Turnover.,12,38
3:53,130,Official TV Timeout,12,38
3:27,27,Menno Dijkstra missed Jumper.,12,38
3:21,27,Koh Flippin Offensive Rebound.,12,38
3:17,130,Foul on Jon Teske.,12,38
3:13,27,Koh Flippin missed Three Point Jumper.,12,38
3:10,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,12,38
2:54,130,Duncan Robinson made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,12,41
2:24,27,Dikymbe Martin missed Jumper.,12,41
2:24,130,Jon Teske Block.,12,41
2:24,130,Michigan Defensive Rebound.,12,41
2:08,130,Jordan Poole missed Three Point Jumper.,12,41
2:05,27,Dikymbe Martin Defensive Rebound.,12,41
1:43,27,Dominick Pickett made Jumper. Assisted by Koh Flippin.,14,41
1:24,130,Austin Davis Turnover.,14,41
1:10,27,Menno Dijkstra made Three Point Jumper. Assisted by Dikymbe Martin.,17,41
0:52,27,Foul on Dikymbe Martin.,17,41
0:41,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,17,41
0:37,27,Dominick Pickett Defensive Rebound.,17,41
0:25,27,Koh Flippin missed Jumper.,17,41
0:24,130,Duncan Robinson Defensive Rebound.,17,41
0:16,130,Michigan  Timeout,17,41
0:09,27,Foul on Koh Flippin.,17,41
0:01,130,Jordan Poole missed Three Point Jumper.,17,41
0:01,27,James Jackson Defensive Rebound.,17,41
0:00,130,End of 1st half,17,41
19:40,27,Brandon Rosser missed Three Point Jumper.,17,41
19:37,130,Eli Brooks Defensive Rebound.,17,41
19:31,27,Foul on Brandon Rosser.,17,41
19:31,130,Moritz Wagner made Free Throw.,17,42
19:31,130,Moritz Wagner made Free Throw.,17,43
19:21,27,Foul on Brandon Rosser.,17,43
19:21,27,Brandon Rosser Turnover.,17,43
18:59,130,Moritz Wagner made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,17,46
18:44,27,Alex Larsson made Jumper.,19,46
18:25,130,Duncan Robinson made Jumper. Assisted by Charles Matthews.,19,48
18:11,27,Alex Larsson made Jumper. Assisted by DJ Sylvester.,21,48
17:51,130,Eli Brooks missed Three Point Jumper.,21,48
17:47,130,Eli Brooks Offensive Rebound.,21,48
17:42,130,Charles Matthews Turnover.,21,48
17:42,27,Chance Murray Steal.,21,48
17:37,27,Chance Murray missed Three Point Jumper.,21,48
17:34,130,Charles Matthews Defensive Rebound.,21,48
17:16,130,Charles Matthews missed Jumper.,21,48
17:12,27,Chance Murray Defensive Rebound.,21,48
17:06,27,DJ Sylvester missed Jumper.,21,48
17:04,130,Moritz Wagner Defensive Rebound.,21,48
16:51,130,Charles Matthews made Jumper.,21,50
16:41,27,Foul on Alex Larsson.,21,50
16:41,27,Alex Larsson Turnover.,21,50
16:14,130,Moritz Wagner made Three Point Jumper. Assisted by Charles Matthews.,21,53
15:41,27,Alex Larsson missed Jumper.,21,53
15:39,130,Moritz Wagner Defensive Rebound.,21,53
15:30,130,Eli Brooks made Three Point Jumper. Assisted by Charles Matthews.,21,56
15:06,27,Jayvon Brown made Jumper.,23,56
14:48,130,Duncan Robinson made Layup. Assisted by Charles Matthews.,23,58
14:40,27,UC Riverside  Timeout,23,58
14:32,27,Chance Murray made Layup.,25,58
14:17,130,Charles Matthews missed Jumper.,25,58
14:17,27,Menno Dijkstra Block.,25,58
14:14,130,Duncan Robinson Offensive Rebound.,25,58
14:09,130,Charles Matthews made Layup.,25,60
14:09,130,Official TV Timeout,25,60
14:09,27,Foul on Jayvon Brown.,25,60
14:09,130,Charles Matthews missed Free Throw.,25,60
14:08,27,Menno Dijkstra Defensive Rebound.,25,60
13:54,27,Chance Murray made Jumper.,27,60
13:38,130,Jon Teske missed Three Point Jumper.,27,60
13:36,27,Dominick Pickett Defensive Rebound.,27,60
13:24,27,Menno Dijkstra made Jumper.,29,60
12:59,130,Charles Matthews made Jumper.,29,62
12:41,27,Dominick Pickett Turnover.,29,62
12:41,130,Jon Teske Steal.,29,62
12:31,130,Jon Teske missed Jumper.,29,62
12:31,27,James Jackson Block.,29,62
12:27,27,Jayvon Brown Defensive Rebound.,29,62
12:26,27,Jayvon Brown missed Jumper.,29,62
12:26,130,Muhammad-Ali Abdur-Rahkman Block.,29,62
12:26,27,UC Riverside Offensive Rebound.,29,62
12:23,27,Chance Murray Turnover.,29,62
12:23,130,Zavier Simpson Steal.,29,62
12:12,130,Isaiah Livers missed Jumper.,29,62
12:09,27,Dominick Pickett Defensive Rebound.,29,62
11:58,130,Official TV Timeout,29,62
11:58,130,Foul on Isaiah Livers.,29,62
11:58,27,Jayvon Brown missed Free Throw.,29,62
11:58,27,UC Riverside Deadball Team Rebound.,29,62
11:58,27,Jayvon Brown made Free Throw.,30,62
11:45,130,Isaiah Livers made Dunk. Assisted by Moritz Wagner.,30,64
11:27,27,Menno Dijkstra missed Three Point Jumper.,30,64
11:25,130,Zavier Simpson Defensive Rebound.,30,64
11:18,130,Isaiah Livers Turnover.,30,64
11:18,27,Dominick Pickett Steal.,30,64
10:51,27,Chance Murray missed Three Point Jumper.,30,64
10:48,130,Isaiah Livers Defensive Rebound.,30,64
10:46,130,Muhammad-Ali Abdur-Rahkman Turnover.,30,64
10:36,27,Dominick Pickett missed Jumper.,30,64
10:34,130,Isaiah Livers Defensive Rebound.,30,64
10:22,130,Moritz Wagner Turnover.,30,64
9:57,27,Jayvon Brown made Layup.,32,64
9:33,130,Moritz Wagner made Layup. Assisted by Charles Matthews.,32,66
9:00,27,Chance Murray missed Three Point Jumper.,32,66
8:57,130,Moritz Wagner Defensive Rebound.,32,66
8:38,130,Jordan Poole made Three Point Jumper. Assisted by Eli Brooks.,32,69
8:11,27,Jayvon Brown missed Jumper.,32,69
8:09,130,Moritz Wagner Defensive Rebound.,32,69
8:05,130,Moritz Wagner made Three Point Jumper. Assisted by Jaaron Simmons.,32,72
7:36,27,Chance Murray made Layup.,34,72
7:18,130,Jordan Poole missed Jumper.,34,72
7:16,27,Chance Murray Defensive Rebound.,34,72
7:09,27,Chance Murray missed Three Point Jumper.,34,72
7:07,130,Moritz Wagner Defensive Rebound.,34,72
6:51,130,Isaiah Livers missed Three Point Jumper.,34,72
6:48,27,Chance Murray Defensive Rebound.,34,72
6:45,27,UC Riverside  Timeout,34,72
6:32,27,Alex Larsson missed Jumper.,34,72
6:30,130,Jon Teske Defensive Rebound.,34,72
6:24,130,Jaaron Simmons Turnover.,34,72
6:24,27,Dikymbe Martin Steal.,34,72
6:04,27,Ajani Kennedy Turnover.,34,72
5:46,130,Jordan Poole made Jumper.,34,74
5:46,27,Foul on Koh Flippin.,34,74
5:46,130,Jordan Poole missed Free Throw.,34,74
5:44,130,Isaiah Livers Offensive Rebound.,34,74
5:24,130,Jordan Poole missed Three Point Jumper.,34,74
5:19,130,Ibi Watson Offensive Rebound.,34,74
5:15,130,Ibi Watson made Jumper.,34,76
5:00,27,Koh Flippin missed Three Point Jumper.,34,76
4:57,27,UC Riverside Offensive Rebound.,34,76
4:52,27,Ajani Kennedy missed Jumper.,34,76
4:52,130,Isaiah Livers Block.,34,76
4:48,130,Austin Davis Defensive Rebound.,34,76
4:41,130,Jordan Poole made Three Point Jumper. Assisted by Ibi Watson.,34,79
4:22,27,Alex Larsson missed Jumper.,34,79
4:18,27,Koh Flippin Offensive Rebound.,34,79
4:11,27,DJ Sylvester missed Three Point Jumper.,34,79
4:08,130,Austin Davis Defensive Rebound.,34,79
4:06,130,Ibi Watson missed Three Point Jumper.,34,79
4:02,27,Koh Flippin Defensive Rebound.,34,79
3:58,27,Ajani Kennedy missed Jumper.,34,79
3:58,130,Jordan Poole Block.,34,79
3:52,130,Ibi Watson Defensive Rebound.,34,79
3:48,130,Jordan Poole made Three Point Jumper. Assisted by Jaaron Simmons.,34,82
3:34,130,Official TV Timeout,34,82
3:34,130,Foul on Austin Davis.,34,82
3:34,27,Alex Larsson made Free Throw.,35,82
3:34,27,Alex Larsson missed Free Throw.,35,82
3:33,130,Michigan Defensive Rebound.,35,82
3:11,130,Brent Hibbitts missed Jumper.,35,82
3:08,27,Alex Larsson Defensive Rebound.,35,82
3:04,27,Ryker Pierce missed Three Point Jumper.,35,82
3:01,130,Austin Davis Defensive Rebound.,35,82
2:48,130,Austin Davis missed Jumper.,35,82
2:43,27,Alec Hickman Defensive Rebound.,35,82
2:31,27,Alec Hickman missed Jumper.,35,82
2:27,27,Alex Larsson Offensive Rebound.,35,82
2:25,27,Alex Larsson missed Jumper.,35,82
2:23,130,Brent Hibbitts Defensive Rebound.,35,82
2:15,130,Brent Hibbitts made Three Point Jumper. Assisted by C.J. Baird.,35,85
1:57,130,Foul on Austin Davis.,35,85
1:49,130,Foul on Brent Hibbitts.,35,85
1:44,27,Eric Rwahwire missed Jumper.,35,85
1:44,130,Brent Hibbitts Block.,35,85
1:40,27,Eric Rwahwire Offensive Rebound.,35,85
1:40,27,Eric Rwahwire missed Jumper.,35,85
1:40,130,Austin Davis Block.,35,85
1:36,27,Eric Rwahwire Offensive Rebound.,35,85
1:36,27,Eric Rwahwire missed Jumper.,35,85
1:33,130,Austin Davis Defensive Rebound.,35,85
1:28,27,Foul on Koh Flippin.,35,85
1:22,27,Foul on Koh Flippin.,35,85
1:22,130,Luke Wilson missed Free Throw.,35,85
1:20,27,James Jackson Defensive Rebound.,35,85
1:05,27,Koh Flippin made Jumper.,37,85
0:48,130,C.J. Baird Turnover.,37,85
0:48,27,Koh Flippin Steal.,37,85
0:43,27,Alec Hickman made Layup. Assisted by Koh Flippin.,39,85
0:19,130,Naji Ozeir missed Jumper.,39,85
0:16,130,Brent Hibbitts Offensive Rebound.,39,85
0:16,130,Brent Hibbitts made Jumper.,39,87
0:09,27,Eric Rwahwire made Three Point Jumper. Assisted by Koh Flippin.,42,87
0:00,130,End of Game,42,87
