Eastern Michigan,58,South Florida,2199
11:23,2199,Paul Jackson made Jumper.,11,13
10:58,58,Tulio Da Silva Turnover.,11,13
10:57,2199,Ty Groce Steal.,11,13
10:47,2199,Paul Jackson Turnover.,11,13
10:46,58,Tulio Da Silva Steal.,11,13
10:42,58,David Collins made Layup. Assisted by Tulio Da Silva.,11,15
10:22,2199,Paul Jackson missed Layup.,11,15
10:22,58,Justin Brown Defensive Rebound.,11,15
10:20,2199,Foul on Paul Jackson.,11,15
10:20,58,Official TV Timeout,11,15
10:03,58,David Collins missed Layup.,11,15
10:03,2199,James Thompson IV Block.,11,15
10:02,2199,James Thompson IV Defensive Rebound.,11,15
9:57,2199,Tim Bond missed Layup.,11,15
9:57,58,Malik Martin Block.,11,15
9:57,2199,Eastern Michigan Offensive Rebound.,11,15
9:42,2199,James Thompson IV made Dunk. Assisted by Tim Bond.,13,15
9:19,58,Malik Martin made Dunk. Assisted by Tulio Da Silva.,13,17
9:01,2199,James Thompson IV Turnover.,13,17
8:59,58,Malik Martin Steal.,13,17
8:57,2199,Foul on Jordan Nobles.,13,17
8:57,58,Tulio Da Silva made Free Throw.,13,18
8:57,58,Tulio Da Silva made Free Throw.,13,19
8:34,58,Foul on Tulio Da Silva.,13,19
8:34,2199,Tim Bond missed Free Throw.,13,19
8:34,2199,Eastern Michigan Deadball Team Rebound.,13,19
8:34,2199,Tim Bond made Free Throw.,14,19
8:16,2199,Foul on Tim Bond.,14,19
8:16,58,David Collins made Free Throw.,14,20
8:16,58,David Collins missed Free Throw.,14,20
8:16,2199,Elijah Minnie Defensive Rebound.,14,20
7:49,2199,Kevin McAdoo missed Three Point Jumper.,14,20
7:49,58,Tulio Da Silva Defensive Rebound.,14,20
7:27,58,Terrence Samuel Turnover.,14,20
7:26,2199,Elijah Minnie Steal.,14,20
7:24,58,Foul on David Collins.,14,20
7:24,58,Official TV Timeout,14,20
7:24,2199,Elijah Minnie made Free Throw.,15,20
7:24,2199,Elijah Minnie made Free Throw.,16,20
7:11,58,David Collins made Three Point Jumper. Assisted by Terrence Samuel.,16,23
6:48,2199,Elijah Minnie made Jumper.,18,23
6:42,58,David Collins Turnover.,18,23
6:27,2199,James Thompson IV made Jumper. Assisted by Ty Groce.,20,23
6:04,2199,Foul on Tim Bond.,20,23
6:04,58,Payton Banks made Free Throw.,20,24
6:04,58,Payton Banks made Free Throw.,20,25
5:43,2199,Terry Harris missed Jumper.,20,25
5:43,58,Terrence Samuel Defensive Rebound.,20,25
5:35,58,Stephan Jiggetts missed Layup.,20,25
5:35,2199,Elijah Minnie Block.,20,25
5:35,58,South Florida Offensive Rebound.,20,25
5:16,58,Payton Banks missed Three Point Jumper.,20,25
5:16,58,Nikola Scekic Offensive Rebound.,20,25
4:56,58,Stephan Jiggetts missed Three Point Jumper.,20,25
4:56,2199,James Thompson IV Defensive Rebound.,20,25
4:42,2199,Ty Groce missed Three Point Jumper.,20,25
4:42,58,Malik Martin Defensive Rebound.,20,25
4:32,2199,Foul on Terry Harris.,20,25
4:32,58,Terrence Samuel made Free Throw.,20,26
4:32,58,Terrence Samuel made Free Throw.,20,27
4:18,2199,Elijah Minnie made Three Point Jumper. Assisted by Terry Harris.,23,27
3:48,58,Payton Banks missed Three Point Jumper.,23,27
3:48,2199,James Thompson IV Defensive Rebound.,23,27
3:45,58,Official TV Timeout,23,27
3:34,2199,Elijah Minnie missed Three Point Jumper.,23,27
3:34,58,Terrence Samuel Defensive Rebound.,23,27
3:24,58,Payton Banks Turnover.,23,27
3:03,2199,Jordan Nobles made Jumper. Assisted by Elijah Minnie.,25,27
2:31,58,Stephan Jiggetts missed Layup.,25,27
2:31,2199,Elijah Minnie Defensive Rebound.,25,27
2:24,2199,James Thompson IV made Dunk. Assisted by Malik Ellison.,27,27
2:12,58,South Florida  Timeout,27,27
1:58,58,Payton Banks missed Jumper.,27,27
1:58,58,Tulio Da Silva Offensive Rebound.,27,27
1:54,58,Nikola Scekic made Layup. Assisted by Tulio Da Silva.,27,29
1:54,2199,Foul on Jordan Nobles.,27,29
1:54,58,Nikola Scekic missed Free Throw.,27,29
1:54,58,Payton Banks Offensive Rebound.,27,29
1:48,58,Payton Banks missed Layup.,27,29
1:48,2199,Elijah Minnie Block.,27,29
1:47,58,Terrence Samuel Offensive Rebound.,27,29
1:13,58,David Collins Turnover.,27,29
0:47,2199,Jordan Nobles missed Three Point Jumper.,27,29
0:47,58,Tulio Da Silva Defensive Rebound.,27,29
0:36,58,David Collins Turnover.,27,29
0:35,2199,Elijah Minnie Steal.,27,29
0:35,2199,Elijah Minnie Turnover.,27,29
0:05,58,Tulio Da Silva missed Layup.,27,29
0:05,2199,James Thompson IV Defensive Rebound.,27,29
0:00,2199,Malik Ellison missed Three Point Jumper.,27,29
0:00,58,South Florida Defensive Rebound.,27,29
0:00,58,End of 1st half,27,29
19:35,58,Malik Martin missed Jumper.,27,29
19:35,58,Terrence Samuel Offensive Rebound.,27,29
19:34,2199,Foul on Elijah Minnie.,27,29
19:34,58,Terrence Samuel made Free Throw.,27,30
19:34,58,Terrence Samuel made Free Throw.,27,31
19:19,2199,Terry Harris missed Three Point Jumper.,27,31
19:19,2199,Tim Bond Offensive Rebound.,27,31
18:55,2199,Elijah Minnie missed Jumper.,27,31
18:55,58,Terrence Samuel Defensive Rebound.,27,31
18:45,2199,Foul on Elijah Minnie.,27,31
18:45,58,Malik Martin made Free Throw.,27,32
18:45,58,Malik Martin made Free Throw.,27,33
18:27,2199,Paul Jackson missed Layup.,27,33
18:27,2199,James Thompson IV Offensive Rebound.,27,33
18:24,58,Foul on Nikola Scekic.,27,33
18:24,2199,James Thompson IV made Free Throw.,28,33
18:24,2199,James Thompson IV made Free Throw.,29,33
18:06,58,Malik Martin missed Layup.,29,33
18:06,58,South Florida Offensive Rebound.,29,33
18:06,2199,Foul on Ty Groce.,29,33
17:44,58,Payton Banks made Jumper.,29,35
17:10,2199,Terry Harris missed Jumper.,29,35
17:10,58,Malik Martin Defensive Rebound.,29,35
17:04,58,Stephan Jiggetts missed Layup.,29,35
17:04,2199,Tim Bond Block.,29,35
17:03,58,Payton Banks Offensive Rebound.,29,35
16:43,58,Payton Banks missed Three Point Jumper.,29,35
16:43,58,Nikola Scekic Offensive Rebound.,29,35
16:40,2199,Foul on Ty Groce.,29,35
16:40,58,Nikola Scekic missed Free Throw.,29,35
16:40,58,South Florida Deadball Team Rebound.,29,35
16:40,58,Nikola Scekic missed Free Throw.,29,35
16:40,2199,Elijah Minnie Defensive Rebound.,29,35
16:40,58,Foul on Payton Banks.,29,35
16:23,2199,Tim Bond missed Three Point Jumper.,29,35
16:23,58,Malik Martin Defensive Rebound.,29,35
16:04,58,Nikola Scekic made Jumper. Assisted by Terrence Samuel.,29,37
15:44,2199,Tim Bond made Dunk.,31,37
15:23,58,Malik Martin missed Three Point Jumper.,31,37
15:23,2199,Tim Bond Defensive Rebound.,31,37
15:13,58,Official TV Timeout,31,37
15:05,2199,Elijah Minnie missed Three Point Jumper.,31,37
15:05,58,Justin Brown Defensive Rebound.,31,37
14:45,58,Justin Brown missed Three Point Jumper.,31,37
14:45,2199,Eastern Michigan Defensive Rebound.,31,37
14:27,58,Foul on Tulio Da Silva.,31,37
14:18,58,Foul on Tulio Da Silva.,31,37
14:07,2199,Paul Jackson missed Three Point Jumper.,31,37
14:07,2199,James Thompson IV Offensive Rebound.,31,37
13:51,2199,Elijah Minnie missed Three Point Jumper.,31,37
13:51,58,Isaiah Manderson Defensive Rebound.,31,37
13:19,58,Stephan Jiggetts missed Three Point Jumper.,31,37
13:19,2199,Tim Bond Defensive Rebound.,31,37
13:08,58,Foul on Isaiah Manderson.,31,37
13:01,2199,Paul Jackson made Layup.,33,37
12:29,58,David Collins Turnover.,33,37
12:12,2199,Paul Jackson made Layup.,35,37
11:48,58,Payton Banks missed Layup.,35,37
11:48,58,South Florida Offensive Rebound.,35,37
11:46,2199,Foul on Ty Groce.,35,37
11:46,58,Official TV Timeout,35,37
11:33,58,Payton Banks missed Layup.,35,37
11:33,2199,Jalen King Block.,35,37
11:30,2199,Jalen King Defensive Rebound.,35,37
11:25,2199,Paul Jackson missed Jumper.,35,37
11:25,2199,Jalen King Offensive Rebound.,35,37
11:19,2199,Jalen King Turnover.,35,37
11:19,58,Payton Banks Steal.,35,37
11:07,2199,Foul on Jalen King.,35,37
11:02,58,Malik Martin Turnover.,35,37
11:01,2199,Paul Jackson Steal.,35,37
10:58,2199,Paul Jackson missed Layup.,35,37
10:58,58,Malik Martin Block.,35,37
10:56,58,Justin Brown Defensive Rebound.,35,37
10:51,58,Terrence Samuel Turnover.,35,37
10:49,2199,Tim Bond Steal.,35,37
10:47,58,Foul on Justin Brown.,35,37
10:27,2199,Tim Bond made Three Point Jumper. Assisted by Malik Ellison.,38,37
10:00,58,Justin Brown missed Three Point Jumper.,38,37
10:00,2199,Ty Groce Defensive Rebound.,38,37
9:31,58,Foul on Justin Brown.,38,37
9:31,2199,James Thompson IV missed Free Throw.,38,37
9:31,2199,Eastern Michigan Deadball Team Rebound.,38,37
9:31,2199,James Thompson IV made Free Throw.,39,37
9:05,58,Stephan Jiggetts missed Jumper.,39,37
9:05,2199,James Thompson IV Defensive Rebound.,39,37
8:37,2199,Malik Ellison missed Three Point Jumper.,39,37
8:37,2199,Eastern Michigan Offensive Rebound.,39,37
8:34,58,Foul on Isaiah Manderson.,39,37
8:34,2199,James Thompson IV made Free Throw.,40,37
8:34,2199,James Thompson IV made Free Throw.,41,37
8:06,58,Stephan Jiggetts missed Three Point Jumper.,41,37
8:06,58,Nikola Scekic Offensive Rebound.,41,37
7:59,58,Tulio Da Silva made Layup. Assisted by Stephan Jiggetts.,41,39
7:50,2199,Jordan Nobles made Three Point Jumper. Assisted by Malik Ellison.,44,39
7:30,58,Terrence Samuel Turnover.,44,39
7:29,2199,James Thompson IV Steal.,44,39
7:27,2199,Ty Groce Turnover.,44,39
7:26,58,Stephan Jiggetts Steal.,44,39
7:15,58,Tulio Da Silva missed Jumper.,44,39
7:15,2199,James Thompson IV Block.,44,39
7:13,2199,Ty Groce Defensive Rebound.,44,39
6:47,2199,Malik Ellison made Three Point Jumper. Assisted by Paul Jackson.,47,39
6:38,58,South Florida  Timeout,47,39
6:38,58,Official TV Timeout,47,39
6:19,58,Official TV Timeout,47,39
6:00,58,Payton Banks missed Three Point Jumper.,47,39
6:00,2199,Malik Ellison Defensive Rebound.,47,39
5:29,58,Foul on Tulio Da Silva.,47,39
5:29,2199,Paul Jackson made Free Throw.,48,39
5:29,2199,Paul Jackson missed Free Throw.,48,39
5:29,58,Terrence Samuel Defensive Rebound.,48,39
5:08,58,Malik Martin missed Jumper.,48,39
5:08,58,Tulio Da Silva Offensive Rebound.,48,39
5:05,2199,Foul on James Thompson IV.,48,39
5:05,58,Tulio Da Silva made Free Throw.,48,40
5:05,58,Tulio Da Silva made Free Throw.,48,41
4:35,2199,Malik Ellison made Three Point Jumper. Assisted by Elijah Minnie.,51,41
4:19,58,Malik Martin made Dunk. Assisted by Terrence Samuel.,51,43
3:59,2199,Tim Bond missed Jumper.,51,43
3:59,2199,James Thompson IV Offensive Rebound.,51,43
3:55,2199,James Thompson IV missed Layup.,51,43
3:55,58,South Florida Defensive Rebound.,51,43
3:54,2199,Foul on Elijah Minnie.,51,43
3:54,58,Official TV Timeout,51,43
3:54,58,Tulio Da Silva missed Free Throw.,51,43
3:54,2199,Tim Bond Defensive Rebound.,51,43
3:28,2199,Tim Bond made Jumper.,53,43
3:11,58,Tulio Da Silva Turnover.,53,43
3:10,2199,Paul Jackson Steal.,53,43
2:47,2199,Paul Jackson made Layup.,55,43
2:39,58,South Florida  Timeout,55,43
2:27,58,Stephan Jiggetts missed Three Point Jumper.,55,43
2:27,2199,Paul Jackson Defensive Rebound.,55,43
1:57,2199,Malik Ellison made Three Point Jumper. Assisted by Paul Jackson.,58,43
1:44,58,Payton Banks missed Three Point Jumper.,58,43
1:44,2199,Elijah Minnie Defensive Rebound.,58,43
1:31,58,Foul on David Collins.,58,43
1:31,2199,Paul Jackson missed Free Throw.,58,43
1:31,2199,Eastern Michigan Deadball Team Rebound.,58,43
1:31,2199,Paul Jackson made Free Throw.,59,43
1:19,58,Justin Brown made Jumper. Assisted by Stephan Jiggetts.,59,45
1:12,58,Foul on Stephan Jiggetts.,59,45
1:12,2199,Paul Jackson made Free Throw.,60,45
1:12,2199,Paul Jackson made Free Throw.,61,45
0:53,58,Isaiah Manderson made Jumper. Assisted by Justin Brown.,61,47
0:52,58,South Florida  Timeout,61,47
0:50,58,Foul on Stephan Jiggetts.,61,47
0:50,2199,Paul Jackson made Free Throw.,62,47
0:50,2199,Paul Jackson made Free Throw.,63,47
0:31,58,Stephan Jiggetts missed Three Point Jumper.,63,47
0:31,2199,Eastern Michigan Defensive Rebound.,63,47
0:22,58,Foul on Malik Martin.,63,47
0:22,2199,Malik Ellison made Free Throw.,64,47
0:22,2199,Malik Ellison made Free Throw.,65,47
0:11,58,Isaiah Manderson missed Layup.,65,47
0:11,2199,James Thompson IV Defensive Rebound.,65,47
0:00,58,End of Game,65,47
