Missouri,277,West Virginia,142
8:44,277,Daxter Miles Jr. made Three Point Jumper. Assisted by James Bolden.,17,21
8:41,142,Foul on Jordan Geist.,17,21
8:40,277,Daxter Miles Jr. missed Three Point Jumper.,17,21
8:40,277,James Bolden Offensive Rebound.,17,21
8:30,277,Jevon Carter missed Three Point Jumper.,17,21
8:30,142,Kevin Puryear Defensive Rebound.,17,21
8:28,277,Foul on Lamont West.,17,21
8:28,142,Kevin Puryear made Free Throw.,18,21
8:28,142,Kevin Puryear missed Free Throw.,18,21
8:28,277,Wesley Harris Defensive Rebound.,18,21
8:06,277,James Bolden missed Three Point Jumper.,18,21
8:06,142,Jordan Barnett Defensive Rebound.,18,21
7:59,277,Foul on Jevon Carter.,18,21
7:59,277,Official TV Timeout,18,21
7:59,142,Jordan Barnett made Free Throw.,19,21
7:59,142,Jordan Barnett made Free Throw.,20,21
7:32,277,Daxter Miles Jr. missed Jumper.,20,21
7:32,142,Jontay Porter Block.,20,21
7:32,142,Jontay Porter Defensive Rebound.,20,21
7:23,142,Kassius Robertson missed Layup.,20,21
7:21,142,Terrence Phillips Offensive Rebound.,20,21
7:18,142,Jontay Porter made Three Point Jumper. Assisted by Terrence Phillips.,23,21
7:17,142,Missouri  Timeout,23,21
6:56,277,James Bolden made Three Point Jumper.,23,24
6:38,142,Jordan Barnett made Three Point Jumper. Assisted by Kassius Robertson.,26,24
6:11,277,James Bolden missed Three Point Jumper.,26,24
6:11,142,Jontay Porter Defensive Rebound.,26,24
6:00,142,Kassius Robertson made Three Point Jumper. Assisted by Terrence Phillips.,29,24
5:41,142,Foul on Kevin Puryear.,29,24
5:41,142,Foul on Terrence Phillips.,29,24
5:41,277,Daxter Miles Jr. made Free Throw.,29,25
5:41,277,Daxter Miles Jr. made Free Throw.,29,26
5:28,142,Kassius Robertson made Three Point Jumper.,32,26
4:54,277,Teddy Allen made Jumper.,32,28
4:34,277,Foul on Daxter Miles Jr..,32,28
4:34,142,Kassius Robertson made Free Throw.,33,28
4:34,142,Kassius Robertson missed Free Throw.,33,28
4:34,277,Jevon Carter Defensive Rebound.,33,28
4:24,142,Foul on Jordan Barnett.,33,28
4:24,277,Daxter Miles Jr. made Free Throw.,33,29
4:24,277,Daxter Miles Jr. made Free Throw.,33,30
4:06,142,Jordan Geist missed Jumper.,33,30
4:06,277,Logan Routt Block.,33,30
4:06,142,Missouri Offensive Rebound.,33,30
4:04,142,Jeremiah Tilmon missed Jumper.,33,30
4:04,277,Daxter Miles Jr. Defensive Rebound.,33,30
3:58,277,Official TV Timeout,33,30
3:58,277,Daxter Miles Jr. made Free Throw.,33,31
3:58,142,Foul on Jontay Porter.,33,30
3:58,277,Daxter Miles Jr. made Free Throw.,33,32
3:41,142,Kevin Puryear missed Three Point Jumper.,33,32
3:41,277,Teddy Allen Defensive Rebound.,33,32
3:11,277,Jevon Carter Turnover.,33,32
3:02,142,Jordan Geist made Three Point Jumper. Assisted by Cullen VanLeer.,36,32
2:41,277,Teddy Allen made Jumper.,36,34
2:13,142,Jordan Barnett Turnover.,36,34
2:13,277,Maciej Bender Steal.,36,34
2:13,142,Foul on Jeremiah Tilmon.,36,34
2:13,277,Teddy Allen made Free Throw.,36,35
2:12,277,Teddy Allen made Free Throw.,36,36
1:57,142,Kassius Robertson Turnover.,36,36
1:41,277,Daxter Miles Jr. missed Three Point Jumper.,36,36
1:41,142,Jordan Geist Defensive Rebound.,36,36
1:23,142,Jordan Geist missed Layup.,36,36
1:23,142,Jeremiah Tilmon Offensive Rebound.,36,36
1:13,142,Jeremiah Tilmon missed Layup.,36,36
1:13,142,Jordan Barnett Offensive Rebound.,36,36
1:12,142,Jordan Barnett made Layup.,38,36
1:12,277,Jevon Carter Turnover.,38,36
1:12,277,Foul on Jevon Carter.,38,36
0:54,142,Jordan Barnett missed Three Point Jumper.,38,36
0:54,277,Wesley Harris Defensive Rebound.,38,36
0:19,277,Lamont West missed Three Point Jumper.,38,36
0:18,142,Missouri Defensive Rebound.,38,36
0:13,142,Missouri  Timeout,38,36
0:09,142,Jordan Geist made Three Point Jumper. Assisted by Jordan Barnett.,41,36
0:03,277,Jevon Carter missed Jumper.,41,36
0:01,142,Missouri Defensive Rebound.,41,36
0:00,277,End of 1st half,41,36
20:00,277,Jump Ball won by West Virginia,41,36
19:50,277,Sagaba Konate made Jumper. Assisted by Daxter Miles Jr..,41,38
19:34,142,Jeremiah Tilmon made Layup. Assisted by Jordan Geist.,43,38
19:13,277,Sagaba Konate missed Jumper.,43,38
19:13,142,Jordan Geist Defensive Rebound.,43,38
19:04,142,Jordan Barnett missed Three Point Jumper.,43,38
19:04,142,Jordan Geist Offensive Rebound.,43,38
18:54,277,Foul on Sagaba Konate.,43,38
18:54,142,Jeremiah Tilmon made Free Throw.,44,38
18:54,142,Jeremiah Tilmon missed Free Throw.,44,38
18:54,277,Wesley Harris Defensive Rebound.,44,38
18:43,277,Sagaba Konate Turnover.,44,38
18:43,142,Jordan Geist Steal.,44,38
18:19,142,Foul on Jeremiah Tilmon.,44,38
18:19,142,Jeremiah Tilmon Turnover.,44,38
17:53,277,Jevon Carter missed Jumper.,44,38
17:53,142,Jordan Geist Defensive Rebound.,44,38
17:48,142,Jordan Barnett made Layup. Assisted by Jordan Geist.,46,38
17:22,142,Foul on Jontay Porter.,46,38
17:22,277,Maciej Bender made Free Throw.,46,39
17:22,277,Maciej Bender missed Free Throw.,46,39
17:22,142,Reed Nikko Defensive Rebound.,46,39
17:08,142,Jordan Geist Turnover.,46,39
17:08,277,Wesley Harris Steal.,46,39
17:01,277,Lamont West missed Layup.,46,39
17:01,142,Reed Nikko Block.,46,39
17:01,277,Maciej Bender Offensive Rebound.,46,39
17:01,277,Maciej Bender missed Layup.,46,39
17:01,142,Reed Nikko Block.,46,39
17:01,142,Kassius Robertson Defensive Rebound.,46,39
16:47,142,Kassius Robertson missed Three Point Jumper.,46,39
16:47,142,Kevin Puryear Offensive Rebound.,46,39
16:39,142,Kevin Puryear missed Layup.,46,39
16:39,277,Lamont West Block.,46,39
16:39,142,Jordan Barnett Offensive Rebound.,46,39
16:37,142,Jordan Barnett made Layup.,48,39
16:15,277,Jevon Carter missed Jumper.,48,39
16:15,277,Maciej Bender Offensive Rebound.,48,39
16:11,277,West Virginia  Turnover.,48,39
15:50,142,Kassius Robertson Turnover.,48,39
15:50,277,Lamont West Steal.,48,39
15:45,142,Foul on Jordan Barnett.,48,39
15:45,277,Official TV Timeout,48,39
15:45,277,Jevon Carter made Free Throw.,48,40
15:45,277,Jevon Carter made Free Throw.,48,41
15:32,142,Jeremiah Tilmon made Layup. Assisted by Kassius Robertson.,50,41
15:32,277,Foul on Maciej Bender.,50,41
15:32,142,Jeremiah Tilmon missed Free Throw.,50,41
15:32,142,Jordan Barnett Offensive Rebound.,50,41
15:32,142,Jordan Barnett made Layup. Assisted by Kassius Robertson.,52,41
15:27,277,Daxter Miles Jr. missed Jumper.,52,41
15:27,277,Daxter Miles Jr. Offensive Rebound.,52,41
15:17,277,Daxter Miles Jr. missed Two Point Tip Shot.,52,41
15:17,142,Jeremiah Tilmon Defensive Rebound.,52,41
15:07,142,Jordan Barnett made Three Point Jumper. Assisted by Kassius Robertson.,55,41
14:38,277,West Virginia  Timeout,55,41
14:31,277,Lamont West missed Three Point Jumper.,55,41
14:31,277,Wesley Harris Offensive Rebound.,55,41
14:10,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,55,44
13:45,142,Cullen VanLeer missed Three Point Jumper.,55,44
13:45,277,Sagaba Konate Block.,55,44
13:45,277,Jevon Carter Defensive Rebound.,55,44
13:34,142,Foul on Jeremiah Tilmon.,55,44
13:34,277,Wesley Harris made Free Throw.,55,45
13:34,277,Wesley Harris missed Free Throw.,55,45
13:34,142,Jontay Porter Defensive Rebound.,55,45
13:18,142,Jordan Barnett missed Three Point Jumper.,55,45
13:18,277,Sagaba Konate Defensive Rebound.,55,45
13:10,277,Lamont West made Layup. Assisted by Sagaba Konate.,55,47
12:57,142,Missouri  Timeout,55,47
12:42,142,Jordan Barnett Turnover.,55,47
12:42,277,Daxter Miles Jr. Steal.,55,47
12:36,277,Daxter Miles Jr. Turnover.,55,47
12:36,142,Jordan Barnett Steal.,55,47
12:31,142,Jontay Porter missed Three Point Jumper.,55,47
12:31,277,Daxter Miles Jr. Defensive Rebound.,55,47
12:08,277,Daxter Miles Jr. missed Three Point Jumper.,55,47
12:08,142,Jontay Porter Defensive Rebound.,55,47
11:38,142,Jordan Geist missed Three Point Jumper.,55,47
11:38,142,Kevin Puryear Offensive Rebound.,55,47
11:27,142,Jordan Geist missed Three Point Jumper.,55,47
11:27,142,Jordan Barnett Offensive Rebound.,55,47
11:25,142,Jordan Barnett missed Layup.,55,47
11:21,277,Official TV Timeout,55,47
11:21,142,Missouri Offensive Rebound.,55,47
11:21,277,Official TV Timeout,55,47
11:19,142,Jordan Geist missed Jumper.,55,47
11:19,142,Jontay Porter Offensive Rebound.,55,47
11:13,142,Kevin Puryear made Three Point Jumper. Assisted by Jontay Porter.,58,47
10:54,277,Teddy Allen made Jumper. Assisted by Chase Harler.,58,49
10:37,142,Kevin Puryear made Three Point Jumper. Assisted by Jontay Porter.,61,49
10:14,277,Jevon Carter made Three Point Jumper.,61,52
9:44,142,Cullen VanLeer missed Three Point Jumper.,61,52
9:44,277,West Virginia Defensive Rebound.,61,52
9:41,142,Foul on Kevin Puryear.,61,52
9:27,277,Teddy Allen missed Jumper.,61,52
9:27,142,Jontay Porter Block.,61,52
9:27,142,Jordan Barnett Defensive Rebound.,61,52
9:16,142,Terrence Phillips made Jumper. Assisted by Jordan Barnett.,63,52
9:07,277,Jevon Carter missed Three Point Jumper.,63,52
9:07,142,Kevin Puryear Defensive Rebound.,63,52
8:48,142,Jordan Barnett made Three Point Jumper. Assisted by Terrence Phillips.,66,52
8:28,142,Foul on Terrence Phillips.,66,52
8:27,277,Jevon Carter missed Three Point Jumper.,66,52
8:27,277,Daxter Miles Jr. Offensive Rebound.,66,52
8:10,277,Lamont West missed Three Point Jumper.,66,52
8:10,142,Terrence Phillips Defensive Rebound.,66,52
8:02,142,Kassius Robertson missed Three Point Jumper.,66,52
8:02,142,Jontay Porter Offensive Rebound.,66,52
7:57,142,Jontay Porter made Layup.,68,52
7:45,277,West Virginia  Timeout,68,52
7:45,277,Official TV Timeout,68,52
7:38,277,Wesley Harris missed Three Point Jumper.,68,52
7:38,142,Jordan Barnett Defensive Rebound.,68,52
7:19,142,Jordan Geist Turnover.,68,52
7:19,277,Jevon Carter Steal.,68,52
7:12,277,Jevon Carter made Layup.,68,54
7:11,142,Jordan Geist Turnover.,68,54
6:56,142,Foul on Kassius Robertson.,68,54
6:56,277,Daxter Miles Jr. made Free Throw.,68,55
6:56,277,Daxter Miles Jr. made Free Throw.,68,56
6:56,142,Kassius Robertson Turnover.,68,56
6:56,277,Wesley Harris Steal.,68,56
6:28,277,Wesley Harris Turnover.,68,56
6:28,142,Jontay Porter Steal.,68,56
6:15,142,Jordan Barnett Turnover.,68,56
6:15,277,Daxter Miles Jr. Steal.,68,56
6:12,142,Foul on Jordan Geist.,68,56
6:12,142,Technical Foul on Jordan Geist.,68,56
6:12,142,Foul on Jordan Geist.,68,56
6:12,277,Jevon Carter made Free Throw.,68,57
6:12,277,Jevon Carter made Free Throw.,68,58
6:12,277,Daxter Miles Jr. made Free Throw.,68,59
6:12,277,Daxter Miles Jr. made Free Throw.,68,60
5:57,142,Jordan Barnett made Dunk. Assisted by Kassius Robertson.,70,60
5:34,277,Sagaba Konate Turnover.,70,60
5:25,142,Terrence Phillips missed Three Point Jumper.,70,60
5:25,142,Kevin Puryear Offensive Rebound.,70,60
4:59,277,Foul on Sagaba Konate.,70,60
4:59,142,Jontay Porter made Free Throw.,71,60
4:59,277,Technical Foul on Sagaba Konate.,71,60
4:59,277,Foul on Sagaba Konate.,71,60
4:59,142,Kassius Robertson missed Free Throw.,71,60
4:59,142,Missouri Deadball Team Rebound.,71,60
4:59,142,Kassius Robertson made Free Throw.,72,60
4:59,142,Jontay Porter made Free Throw.,73,60
4:52,142,Foul on Kevin Puryear.,73,60
4:52,277,Wesley Harris made Free Throw.,73,61
4:52,277,Wesley Harris made Free Throw.,73,62
4:48,142,Jontay Porter Turnover.,73,62
4:48,277,Jevon Carter Steal.,73,62
4:39,142,Foul on Jontay Porter.,73,62
4:39,277,Jevon Carter made Free Throw.,73,63
4:39,277,Jevon Carter made Free Throw.,73,64
4:36,142,Terrence Phillips Turnover.,73,64
4:36,277,Jevon Carter Steal.,73,64
4:24,277,Jevon Carter made Jumper.,73,66
4:13,142,Terrence Phillips Turnover.,73,66
4:13,277,Jevon Carter Steal.,73,66
4:09,277,Jevon Carter made Layup.,73,68
4:02,277,Foul on James Bolden.,73,68
4:02,277,Foul on Daxter Miles Jr..,73,68
3:44,142,Kevin Puryear Turnover.,73,68
3:44,277,Official TV Timeout,73,68
3:33,277,Daxter Miles Jr. made Jumper. Assisted by Jevon Carter.,73,70
3:33,142,Foul on Jeremiah Tilmon.,73,70
3:33,277,Daxter Miles Jr. missed Free Throw.,73,70
3:33,142,Jordan Barnett Defensive Rebound.,73,70
3:22,142,Jordan Geist Turnover.,73,70
3:22,277,Daxter Miles Jr. Steal.,73,70
3:18,277,Daxter Miles Jr. made Layup.,73,72
2:45,142,Jordan Geist missed Three Point Jumper.,73,72
2:45,277,Wesley Harris Defensive Rebound.,73,72
2:26,277,Jevon Carter missed Three Point Jumper.,73,72
2:26,142,Jordan Barnett Defensive Rebound.,73,72
2:06,277,Foul on Jevon Carter.,73,72
2:06,142,Missouri  Timeout,73,72
2:06,142,Jordan Geist made Free Throw.,74,72
2:06,142,Jordan Geist made Free Throw.,75,72
1:53,277,Jevon Carter missed Layup.,75,72
1:53,142,Jontay Porter Block.,75,72
1:53,142,Jordan Geist Defensive Rebound.,75,72
1:32,142,Jordan Barnett missed Jumper.,75,72
1:32,277,Wesley Harris Defensive Rebound.,75,72
1:27,142,Foul on Jontay Porter.,75,72
1:27,277,Wesley Harris made Free Throw.,75,73
1:27,277,Wesley Harris made Free Throw.,75,74
1:01,142,Kassius Robertson missed Layup.,75,74
1:01,277,Wesley Harris Block.,75,74
1:01,277,Lamont West Defensive Rebound.,75,74
0:38,277,Jevon Carter made Three Point Jumper.,75,77
0:28,142,Missouri  Timeout,75,77
0:23,277,Foul on Daxter Miles Jr..,75,77
0:23,142,Jordan Geist missed Free Throw.,75,77
0:23,277,Daxter Miles Jr. Defensive Rebound.,75,77
0:22,142,Foul on Jordan Geist.,75,77
0:22,277,Daxter Miles Jr. made Free Throw.,75,78
0:22,277,Daxter Miles Jr. made Free Throw.,75,79
0:13,142,Jordan Barnett missed Three Point Jumper.,75,79
0:13,142,Kevin Puryear Offensive Rebound.,75,79
0:09,142,Kevin Puryear made Layup.,77,79
0:08,142,Foul on Jordan Barnett.,77,79
0:08,142,Missouri  Timeout,77,79
0:08,277,Daxter Miles Jr. made Free Throw.,77,80
0:08,277,Daxter Miles Jr. made Free Throw.,77,81
0:04,277,Foul on Chase Harler.,77,81
0:04,142,Kassius Robertson made Free Throw.,78,81
0:04,142,Kassius Robertson made Free Throw.,79,81
0:03,142,Foul on Jordan Geist.,79,81
0:03,277,Jevon Carter made Free Throw.,79,82
0:03,277,Jevon Carter made Free Throw.,79,83
0:00,277,End of Game,79,83
