Canisius,279,Pacific,2099
12:55,2099,Jalanni White Defensive Rebound.,14,19
12:37,279,Foul on Anthony Townes.,14,19
12:37,2099,Jalanni White made Free Throw.,15,19
12:37,2099,Jalanni White made Free Throw.,16,19
12:20,279,Jack Williams missed Jumper.,16,19
12:20,2099,Canisius Defensive Rebound.,16,19
12:15,2099,Selvedin Planincic missed Three Point Jumper.,16,19
12:15,279,Jack Williams Defensive Rebound.,16,19
12:13,2099,Foul on Jalanni White.,16,19
11:55,2099,Foul on Selvedin Planincic.,16,19
11:55,279,Official TV Timeout,16,19
11:55,279,Anthony Townes made Free Throw.,16,20
11:55,279,Anthony Townes made Free Throw.,16,21
11:37,2099,Jalanni White Turnover.,16,21
11:35,279,Miles Reynolds Steal.,16,21
11:30,2099,Foul on Jermaine Crumpton.,16,21
11:13,279,Roberto Gallinat Turnover.,16,21
11:09,2099,Jalanni White Turnover.,16,21
11:07,279,Jahlil Tripp Steal.,16,21
10:59,279,Anthony Townes missed Layup.,16,21
10:59,279,Pacific Offensive Rebound.,16,21
10:50,279,Miles Reynolds missed Jumper.,16,21
10:50,2099,Isaiah Reese Defensive Rebound.,16,21
10:49,279,Foul on Jack Williams.,16,21
10:42,2099,Isaiah Reese missed Three Point Jumper.,16,21
10:42,2099,Marcale Lotts Offensive Rebound.,16,21
10:29,2099,Malik Johnson missed Three Point Jumper.,16,21
10:29,2099,Jermaine Crumpton Offensive Rebound.,16,21
10:20,2099,Marcale Lotts missed Layup.,16,21
10:20,279,Anthony Townes Block.,16,21
10:20,279,Anthony Townes Defensive Rebound.,16,21
10:09,279,Miles Reynolds made Layup.,16,23
9:36,2099,Canisius  Turnover.,16,23
9:22,279,Jahlil Tripp made Layup.,16,25
9:18,2099,Canisius  Timeout,16,25
9:12,2099,Spencer Foley Turnover.,16,25
9:10,279,Jahlil Tripp Steal.,16,25
9:09,279,Miles Reynolds made Layup. Assisted by Jahlil Tripp.,16,27
8:54,2099,Jermaine Crumpton made Jumper. Assisted by Isaiah Reese.,18,27
8:31,279,Jahlil Tripp missed Three Point Jumper.,18,27
8:31,2099,Malik Johnson Defensive Rebound.,18,27
8:14,2099,Jermaine Crumpton missed Three Point Jumper.,18,27
8:14,2099,Isaiah Reese Offensive Rebound.,18,27
8:07,2099,Spencer Foley missed Three Point Jumper.,18,27
8:07,279,Jahlil Tripp Defensive Rebound.,18,27
7:43,279,Miles Reynolds made Layup.,18,29
7:20,2099,Spencer Foley made Three Point Jumper. Assisted by Malik Johnson.,21,29
7:00,279,Miles Reynolds made Layup.,21,31
6:38,2099,Spencer Foley missed Three Point Jumper.,21,31
6:38,279,Jahlil Tripp Defensive Rebound.,21,31
6:22,279,Anthony Townes made Layup. Assisted by Jahlil Tripp.,21,33
6:04,2099,Isaiah Reese Turnover.,21,33
5:41,279,Roberto Gallinat Turnover.,21,33
5:39,2099,Malik Johnson Steal.,21,33
5:31,2099,Jermaine Crumpton made Jumper.,23,33
5:10,279,Jack Williams made Jumper.,23,35
4:51,2099,Isaiah Reese missed Jumper.,23,35
4:51,2099,Isaiah Reese Offensive Rebound.,23,35
4:43,2099,Takal Molson missed Three Point Jumper.,23,35
4:43,279,Roberto Gallinat Defensive Rebound.,23,35
4:31,279,Namdi Okonkwo made Dunk. Assisted by Kendall Small.,23,37
4:06,2099,Isaiah Reese missed Jumper.,23,37
4:06,279,Kendall Small Defensive Rebound.,23,37
3:43,279,Namdi Okonkwo missed Layup.,23,37
3:43,2099,Takal Molson Defensive Rebound.,23,37
3:32,2099,Marcale Lotts missed Layup.,23,37
3:32,279,Namdi Okonkwo Block.,23,37
3:32,2099,Isaiah Reese Offensive Rebound.,23,37
3:10,2099,Canisius  Turnover.,23,37
3:10,279,Official TV Timeout,23,37
3:01,279,Kendall Small missed Layup.,23,37
3:01,2099,Marcale Lotts Defensive Rebound.,23,37
2:47,2099,Jermaine Crumpton made Layup.,25,37
2:24,2099,Foul on Takal Molson.,25,37
2:24,279,Miles Reynolds made Free Throw.,25,38
2:24,279,Miles Reynolds made Free Throw.,25,39
2:07,2099,Jonathan Sanks Turnover.,25,39
2:06,279,Kendall Small Steal.,25,39
1:58,279,Kendall Small made Jumper.,25,41
1:44,2099,Takal Molson missed Jumper.,25,41
1:44,279,Jack Williams Defensive Rebound.,25,41
1:35,279,Lafayette Dorsey missed Jumper.,25,41
1:35,279,Jack Williams Offensive Rebound.,25,41
1:32,279,Jack Williams missed Layup.,25,41
1:32,279,Lafayette Dorsey Offensive Rebound.,25,41
1:30,279,Lafayette Dorsey made Layup.,25,43
1:16,2099,Jermaine Crumpton missed Three Point Jumper.,25,43
1:16,279,Jack Williams Defensive Rebound.,25,43
1:13,2099,Foul on Marcale Lotts.,25,43
1:13,279,Jack Williams made Free Throw.,25,44
1:13,279,Jack Williams made Free Throw.,25,45
0:56,2099,Malik Johnson missed Jumper.,25,45
0:56,279,Pacific Defensive Rebound.,25,45
0:54,279,Pacific  Timeout,25,45
0:40,279,Miles Reynolds made Layup.,25,47
0:34,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,28,47
0:03,279,Kendall Small missed Jumper.,28,47
0:03,279,Anthony Townes Offensive Rebound.,28,47
0:01,279,Anthony Townes missed Two Point Tip Shot.,28,47
0:01,2099,Isaiah Reese Defensive Rebound.,28,47
0:00,279,End of 1st half,28,47
19:45,2099,Takal Molson Turnover.,28,47
19:43,279,Kendall Small Steal.,28,47
19:32,279,Jack Williams missed Jumper.,28,47
19:32,2099,Selvedin Planincic Defensive Rebound.,28,47
19:15,2099,Selvedin Planincic Turnover.,28,47
19:10,2099,Foul on Selvedin Planincic.,28,47
19:07,279,Anthony Townes made Jumper. Assisted by Roberto Gallinat.,28,49
18:52,2099,Malik Johnson made Three Point Jumper. Assisted by Isaiah Reese.,31,49
18:38,279,Kendall Small made Jumper. Assisted by Jahlil Tripp.,31,51
18:17,2099,Takal Molson missed Jumper.,31,51
18:17,2099,Takal Molson Offensive Rebound.,31,51
18:09,279,Foul on Roberto Gallinat.,31,51
18:01,2099,Malik Johnson missed Three Point Jumper.,31,51
18:01,279,Roberto Gallinat Defensive Rebound.,31,51
17:54,279,Roberto Gallinat missed Layup.,31,51
17:54,2099,Jermaine Crumpton Defensive Rebound.,31,51
17:53,279,Foul on Roberto Gallinat.,31,51
17:36,2099,Takal Molson Turnover.,31,51
17:34,279,Jahlil Tripp Steal.,31,51
17:32,279,Jack Williams made Three Point Jumper. Assisted by Jahlil Tripp.,31,54
17:08,2099,Isaiah Reese Turnover.,31,54
17:07,279,Jack Williams Steal.,31,54
17:06,2099,Foul on Isaiah Reese.,31,54
16:38,279,Roberto Gallinat made Three Point Jumper. Assisted by Jahlil Tripp.,31,57
16:19,2099,Jermaine Crumpton Turnover.,31,57
16:06,279,Kendall Small Turnover.,31,57
16:00,279,Official TV Timeout,31,57
15:49,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Malik Johnson.,34,57
15:24,2099,Foul on Spencer Foley.,34,57
15:24,279,Roberto Gallinat made Free Throw.,34,58
15:24,279,Roberto Gallinat made Free Throw.,34,59
15:24,279,Roberto Gallinat missed Free Throw.,34,59
15:24,2099,Selvedin Planincic Defensive Rebound.,34,59
15:03,2099,Jermaine Crumpton made Layup.,36,59
14:40,279,Anthony Townes missed Jumper.,36,59
14:40,2099,Selvedin Planincic Defensive Rebound.,36,59
14:30,2099,Jermaine Crumpton missed Three Point Jumper.,36,59
14:30,2099,Spencer Foley Offensive Rebound.,36,59
14:11,2099,Selvedin Planincic made Jumper. Assisted by Malik Johnson.,38,59
13:50,279,Jack Williams Turnover.,38,59
13:37,2099,Spencer Foley missed Three Point Jumper.,38,59
13:37,2099,Takal Molson Offensive Rebound.,38,59
13:30,2099,Jermaine Crumpton made Layup.,40,59
13:00,279,Miles Reynolds Turnover.,40,59
13:00,279,Foul on Miles Reynolds.,40,59
12:48,2099,Selvedin Planincic missed Three Point Jumper.,40,59
12:48,279,Lafayette Dorsey Defensive Rebound.,40,59
12:33,279,Anthony Townes made Layup. Assisted by Jahlil Tripp.,40,61
12:15,2099,Malik Johnson made Layup.,42,61
11:53,279,Jahlil Tripp Turnover.,42,61
11:53,279,Foul on Jahlil Tripp.,42,61
11:53,279,Official TV Timeout,42,61
11:40,2099,Jermaine Crumpton Turnover.,42,61
11:28,279,Miles Reynolds Turnover.,42,61
11:28,279,Foul on Miles Reynolds.,42,61
10:58,2099,Takal Molson missed Jumper.,42,61
10:58,279,Kendall Small Defensive Rebound.,42,61
10:53,279,Jahlil Tripp missed Three Point Jumper.,42,61
10:53,2099,Malik Johnson Defensive Rebound.,42,61
10:45,2099,Takal Molson made Layup. Assisted by Malik Johnson.,44,61
10:32,279,Pacific  Timeout,44,61
10:32,279,Official TV Timeout,44,61
10:22,279,Jahlil Tripp Turnover.,44,61
10:11,2099,Jermaine Crumpton made Layup.,46,61
10:11,279,Foul on Anthony Townes.,46,61
10:11,2099,Jermaine Crumpton made Free Throw.,47,61
9:50,2099,Foul on Spencer Foley.,47,61
9:32,279,Roberto Gallinat Turnover.,47,61
9:32,279,Foul on Roberto Gallinat.,47,61
9:24,2099,Selvedin Planincic made Dunk. Assisted by Malik Johnson.,49,61
9:03,279,Kendall Small made Three Point Jumper. Assisted by Roberto Gallinat.,49,64
8:49,2099,Takal Molson Turnover.,49,64
8:49,279,Kendall Small Steal.,49,64
8:49,2099,Foul on Takal Molson.,49,64
8:35,279,Anthony Townes missed Layup.,49,64
8:35,279,Jahlil Tripp Offensive Rebound.,49,64
8:35,2099,Foul on Jermaine Crumpton.,49,64
8:13,279,Kendall Small made Layup.,49,66
8:13,2099,Foul on Selvedin Planincic.,49,66
8:13,279,Kendall Small made Free Throw.,49,67
7:58,2099,Jalanni White missed Three Point Jumper.,49,67
7:58,279,Jahlil Tripp Defensive Rebound.,49,67
7:46,279,Miles Reynolds missed Jumper.,49,67
7:46,279,Anthony Townes Offensive Rebound.,49,67
7:43,279,Anthony Townes missed Layup.,49,67
7:43,2099,Jermaine Crumpton Block.,49,67
7:43,2099,Takal Molson Defensive Rebound.,49,67
7:38,2099,Takal Molson Turnover.,49,67
7:37,279,Kendall Small Steal.,49,67
7:35,2099,Foul on Jermaine Crumpton.,49,67
7:35,279,Official TV Timeout,49,67
7:35,279,Kendall Small missed Free Throw.,49,67
7:35,279,Pacific Deadball Team Rebound.,49,67
7:35,279,Kendall Small made Free Throw.,49,68
7:20,2099,Selvedin Planincic made Layup.,51,68
6:59,279,Roberto Gallinat missed Three Point Jumper.,51,68
6:59,2099,Selvedin Planincic Defensive Rebound.,51,68
6:46,2099,Jalanni White Turnover.,51,68
6:32,279,Miles Reynolds missed Three Point Jumper.,51,68
6:32,2099,Selvedin Planincic Defensive Rebound.,51,68
6:19,2099,Takal Molson Turnover.,51,68
5:59,279,Kendall Small missed Jumper.,51,68
5:59,2099,Selvedin Planincic Block.,51,68
5:59,2099,Malik Johnson Defensive Rebound.,51,68
5:34,2099,Jermaine Crumpton missed Jumper.,51,68
5:34,279,Jahlil Tripp Defensive Rebound.,51,68
5:28,279,Roberto Gallinat missed Layup.,51,68
5:28,279,Jahlil Tripp Offensive Rebound.,51,68
5:26,279,Jahlil Tripp missed Layup.,51,68
5:26,279,Jahlil Tripp Offensive Rebound.,51,68
5:23,279,Jahlil Tripp made Two Point Tip Shot.,51,70
5:11,2099,Jermaine Crumpton missed Three Point Jumper.,51,70
5:11,279,Jahlil Tripp Defensive Rebound.,51,70
5:02,279,Anthony Townes made Layup. Assisted by Roberto Gallinat.,51,72
4:53,2099,Selvedin Planincic Turnover.,51,72
4:52,279,Kendall Small Steal.,51,72
4:34,279,Kendall Small Turnover.,51,72
4:34,279,Foul on Kendall Small.,51,72
4:04,2099,Malik Johnson made Layup.,53,72
4:04,2099,Canisius  Timeout,53,72
4:04,279,Official TV Timeout,53,72
4:02,279,Official TV Timeout,53,72
3:45,279,Jack Williams made Layup. Assisted by Jahlil Tripp.,53,74
3:26,2099,Isaiah Reese missed Three Point Jumper.,53,74
3:26,279,Miles Reynolds Defensive Rebound.,53,74
3:09,279,Roberto Gallinat made Layup. Assisted by Jahlil Tripp.,53,76
2:56,2099,Takal Molson missed Layup.,53,76
2:56,279,Jahlil Tripp Defensive Rebound.,53,76
2:50,279,Roberto Gallinat made Layup. Assisted by Jahlil Tripp.,53,78
2:50,2099,Canisius  Timeout,53,78
2:43,2099,Takal Molson missed Three Point Jumper.,53,78
2:43,279,Kendall Small Defensive Rebound.,53,78
2:20,279,Jahlil Tripp Turnover.,53,78
2:15,2099,Jermaine Crumpton missed Jumper.,53,78
2:15,279,Jack Williams Defensive Rebound.,53,78
1:46,279,Miles Reynolds Turnover.,53,78
1:45,2099,Malik Johnson Steal.,53,78
1:43,2099,Malik Johnson made Layup.,55,78
1:36,2099,Canisius  Timeout,55,78
1:12,279,Lafayette Dorsey missed Three Point Jumper.,55,78
1:12,2099,Scott Hitchon Defensive Rebound.,55,78
0:49,2099,Jonathan Sanks missed Layup.,55,78
0:49,279,Jack Williams Defensive Rebound.,55,78
0:20,279,Lafayette Dorsey made Layup.,55,80
0:04,2099,Spencer Foley made Three Point Jumper. Assisted by D.J. Heath.,58,80
0:00,279,End of 2nd half,58,80
