Dakota State,Error,South Dakota State,2571
12:55,2571,David Jenkins Jr. missed Free Throw.,12,19
12:55,2571,South Dakota State Deadball Team Rebound.,12,19
12:55,2571,David Jenkins Jr. missed Free Throw.,12,19
12:55,512,Keeon Johnson Defensive Rebound.,12,19
12:34,2571,Foul on Ian Theisen.,12,19
12:34,512,Justin Folkers missed Free Throw.,12,19
12:34,512,Dakota State Deadball Team Rebound.,12,19
12:34,512,Justin Folkers missed Free Throw.,12,19
12:34,2571,Reed Tellinghuisen Defensive Rebound.,12,19
12:22,512,Foul on Justin Folkers.,12,19
12:22,2571,Reed Tellinghuisen made Free Throw.,12,20
12:22,2571,Reed Tellinghuisen made Free Throw.,12,21
12:10,512,Falcon Albers missed Three Point Jumper.,12,21
12:10,512,Maurice Arrington Offensive Rebound.,12,21
12:05,512,Brady Elder made Three Point Jumper.,15,21
11:48,2571,David Jenkins Jr. missed Three Point Jumper.,15,21
11:48,2571,Ian Theisen Offensive Rebound.,15,21
11:38,2571,Brandon Key made Layup.,15,23
11:38,512,Foul on Falcon Albers.,15,23
11:38,2571,Brandon Key made Free Throw.,15,24
11:18,512,Keeon Johnson made Three Point Jumper. Assisted by Kevin Daniels.,18,24
10:55,2571,Mike Daum missed Jumper.,18,24
10:55,512,Maurice Arrington Defensive Rebound.,18,24
10:31,512,Kevin Daniels missed Three Point Jumper.,18,24
10:31,2571,Tevin King Defensive Rebound.,18,24
10:09,2571,David Jenkins Jr. missed Three Point Jumper.,18,24
10:09,512,Keeon Johnson Defensive Rebound.,18,24
9:52,512,Maurice Arrington missed Three Point Jumper.,18,24
9:52,512,Josh McGreal Offensive Rebound.,18,24
9:47,512,Kevin Daniels missed Three Point Jumper.,18,24
9:47,2571,Chris Howell Defensive Rebound.,18,24
9:37,2571,Mike Daum made Layup. Assisted by Chris Howell.,18,26
9:37,512,Foul on Maurice Arrington.,18,26
9:37,2571,Mike Daum made Free Throw.,18,27
9:19,512,Josh McGreal made Layup.,20,27
9:19,2571,Foul on Reed Tellinghuisen.,20,27
9:19,512,Josh McGreal made Free Throw.,21,27
9:04,2571,Reed Tellinghuisen missed Layup.,21,27
9:04,2571,Skyler Flatten Offensive Rebound.,21,27
9:02,2571,Skyler Flatten made Layup.,21,29
8:35,512,Keeon Johnson made Three Point Jumper. Assisted by Kevin Daniels.,24,29
8:11,2571,Mike Daum made Layup.,24,31
8:11,512,Foul on Kevin Daniels.,24,31
8:11,2571,Mike Daum made Free Throw.,24,32
7:49,512,Maurice Arrington missed Three Point Jumper.,24,32
7:49,2571,Lane Severyn Defensive Rebound.,24,32
7:34,2571,Brandon Key made Layup.,24,34
7:21,2571,Foul on Lane Severyn.,24,34
7:21,2571,Official TV Timeout,24,34
7:06,512,Josh McGreal missed Three Point Jumper.,24,34
7:06,2571,Ian Theisen Defensive Rebound.,24,34
6:56,2571,Brandon Key made Layup.,24,36
6:46,512,Brady Elder missed Three Point Jumper.,24,36
6:46,2571,Reed Tellinghuisen Defensive Rebound.,24,36
6:33,2571,Reed Tellinghuisen missed Three Point Jumper.,24,36
6:33,512,Dakota State Defensive Rebound.,24,36
6:14,512,Josh McGreal missed Three Point Jumper.,24,36
6:14,2571,Reed Tellinghuisen Defensive Rebound.,24,36
5:56,2571,Ian Theisen made Layup.,24,38
5:28,512,Brendon Boomsma made Three Point Jumper.,27,38
5:06,2571,Reed Tellinghuisen Turnover.,27,38
5:05,512,Keeon Johnson Steal.,27,38
4:57,512,Maurice Arrington missed Three Point Jumper.,27,38
4:57,2571,Skyler Flatten Defensive Rebound.,27,38
4:46,2571,Brandon Key Turnover.,27,38
4:44,512,Maurice Arrington Steal.,27,38
4:26,512,Maurice Arrington made Jumper. Assisted by Keeon Johnson.,29,38
4:10,2571,Reed Tellinghuisen missed Three Point Jumper.,29,38
4:10,512,Brady Elder Defensive Rebound.,29,38
3:45,512,Josh McGreal missed Jumper.,29,38
3:45,2571,Brandon Key Defensive Rebound.,29,38
3:40,2571,Skyler Flatten made Three Point Jumper. Assisted by Brandon Key.,29,41
3:28,512,Dakota State  Timeout,29,41
3:28,2571,Official TV Timeout,29,41
3:11,512,Bobby Farquah missed Jumper.,29,41
3:11,2571,Chris Howell Defensive Rebound.,29,41
2:58,2571,Mike Daum missed Jumper.,29,41
2:58,512,Brendon Boomsma Defensive Rebound.,29,41
2:39,512,Keeon Johnson missed Three Point Jumper.,29,41
2:39,512,Josh McGreal Offensive Rebound.,29,41
2:29,512,Brendon Boomsma missed Three Point Jumper.,29,41
2:29,2571,Chris Howell Defensive Rebound.,29,41
2:15,2571,Reed Tellinghuisen missed Layup.,29,41
2:15,512,Bobby Farquah Defensive Rebound.,29,41
1:51,512,Bobby Farquah missed Layup.,29,41
1:51,2571,Chris Howell Defensive Rebound.,29,41
1:42,2571,Chris Howell missed Layup.,29,41
1:42,2571,Reed Tellinghuisen Offensive Rebound.,29,41
1:39,2571,Reed Tellinghuisen made Dunk.,29,43
1:14,2571,Foul on Chris Howell.,29,43
1:03,512,Josh McGreal missed Jumper.,29,43
1:03,2571,Mike Daum Defensive Rebound.,29,43
0:55,2571,Chris Howell made Layup.,29,45
0:22,512,Bobby Farquah missed Dunk.,29,45
0:22,2571,Chris Howell Defensive Rebound.,29,45
0:01,2571,Mike Daum missed Layup.,29,45
0:01,512,Keeon Johnson Defensive Rebound.,29,45
0:00,2571,End of 1st half,29,45
19:47,512,Justin Folkers made Layup. Assisted by Kevin Daniels.,31,45
19:27,2571,Reed Tellinghuisen missed Layup.,31,45
19:27,512,Keeon Johnson Defensive Rebound.,31,45
19:08,512,Maurice Arrington Turnover.,31,45
19:07,2571,Reed Tellinghuisen Steal.,31,45
18:48,2571,Chris Howell Turnover.,31,45
18:47,512,Kevin Daniels Steal.,31,45
18:40,512,Keeon Johnson made Three Point Jumper. Assisted by Kevin Daniels.,34,45
18:35,2571,South Dakota State  Timeout,34,45
18:35,2571,Official TV Timeout,34,45
18:25,512,Foul on Keeon Johnson.,34,45
18:25,2571,Reed Tellinghuisen made Free Throw.,34,46
18:25,2571,Reed Tellinghuisen missed Free Throw.,34,46
18:25,512,Justin Folkers Defensive Rebound.,34,46
18:00,512,Kevin Daniels missed Jumper.,34,46
18:00,2571,Mike Daum Defensive Rebound.,34,46
18:00,512,Foul on Justin Folkers.,34,46
17:35,2571,Mike Daum Turnover.,34,46
17:18,512,Justin Folkers missed Jumper.,34,46
17:18,2571,Chris Howell Defensive Rebound.,34,46
17:06,2571,Mike Daum missed Three Point Jumper.,34,46
17:06,512,Brendon Boomsma Defensive Rebound.,34,46
16:58,512,Justin Folkers made Layup. Assisted by Kevin Daniels.,36,46
16:38,2571,Tevin King Turnover.,36,46
16:37,512,Kevin Daniels Steal.,36,46
16:37,2571,Foul on Tevin King.,36,46
16:28,512,Keeon Johnson missed Layup.,36,46
16:28,2571,Lane Severyn Block.,36,46
16:27,2571,Lane Severyn Defensive Rebound.,36,46
16:20,2571,Tevin King missed Three Point Jumper.,36,46
16:20,512,Maurice Arrington Defensive Rebound.,36,46
16:08,512,Justin Folkers missed Three Point Jumper.,36,46
16:08,2571,Brandon Key Defensive Rebound.,36,46
15:57,2571,Tevin King made Layup.,36,48
15:36,512,Kevin Daniels missed Layup.,36,48
15:36,2571,Tevin King Defensive Rebound.,36,48
15:21,2571,Reed Tellinghuisen missed Layup.,36,48
15:21,512,Maurice Arrington Defensive Rebound.,36,48
15:13,512,Maurice Arrington missed Three Point Jumper.,36,48
15:13,2571,Tevin King Defensive Rebound.,36,48
15:04,2571,Brandon Key made Layup.,36,50
14:46,512,Kevin Daniels missed Three Point Jumper.,36,50
14:46,2571,Tevin King Defensive Rebound.,36,50
14:39,2571,Tevin King made Layup.,36,52
14:18,512,Maurice Arrington missed Jumper.,36,52
14:18,2571,Ian Theisen Defensive Rebound.,36,52
14:12,2571,Tevin King missed Three Point Jumper.,36,52
14:12,512,Keeon Johnson Defensive Rebound.,36,52
13:57,512,Justin Folkers made Jumper.,38,52
13:54,512,Dakota State  Timeout,38,52
13:54,2571,Official TV Timeout,38,52
13:40,2571,Mike Daum missed Jumper.,38,52
13:40,512,Dakota State Defensive Rebound.,38,52
13:07,512,Bobby Farquah made Jumper.,40,52
12:52,2571,Mike Daum made Layup. Assisted by Lane Severyn.,40,54
12:40,512,Kevin Daniels missed Jumper.,40,54
12:40,2571,Lane Severyn Defensive Rebound.,40,54
12:31,2571,Lane Severyn made Three Point Jumper. Assisted by Brandon Key.,40,57
12:09,2571,Foul on Lane Severyn.,40,57
12:06,512,Keeon Johnson missed Jumper.,40,57
12:06,2571,Mike Daum Defensive Rebound.,40,57
11:59,2571,Mike Daum missed Three Point Jumper.,40,57
11:59,2571,Lane Severyn Offensive Rebound.,40,57
11:54,2571,Lane Severyn made Layup.,40,59
11:38,512,Bobby Farquah made Three Point Jumper.,43,59
11:17,2571,Brandon Key missed Layup.,43,59
11:17,512,Keeon Johnson Defensive Rebound.,43,59
11:06,512,Josh McGreal missed Three Point Jumper.,43,59
11:06,2571,David Jenkins Jr. Defensive Rebound.,43,59
10:57,2571,Mike Daum made Three Point Jumper. Assisted by Brandon Key.,43,62
10:40,512,Falcon Albers Turnover.,43,62
10:39,2571,Mike Daum Steal.,43,62
10:36,2571,David Jenkins Jr. made Layup. Assisted by Mike Daum.,43,64
10:13,512,Falcon Albers Turnover.,43,64
10:13,2571,Official TV Timeout,43,64
10:04,2571,Skyler Flatten made Layup. Assisted by Brandon Key.,43,66
9:50,512,Justin Folkers missed Jumper.,43,66
9:50,2571,David Jenkins Jr. Defensive Rebound.,43,66
9:43,2571,David Jenkins Jr. missed Layup.,43,66
9:43,2571,David Jenkins Jr. Offensive Rebound.,43,66
9:40,2571,David Jenkins Jr. made Layup.,43,68
9:26,512,Justin Folkers missed Jumper.,43,68
9:26,2571,Mike Daum Defensive Rebound.,43,68
9:15,2571,Lane Severyn made Layup. Assisted by Mike Daum.,43,70
8:56,512,Maurice Arrington made Three Point Jumper. Assisted by Brendon Boomsma.,46,70
8:40,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Lane Severyn.,46,73
8:11,512,Brendon Boomsma missed Three Point Jumper.,46,73
8:11,2571,Mike Daum Defensive Rebound.,46,73
7:53,2571,Brandon Key missed Layup.,46,73
7:53,512,Maurice Arrington Defensive Rebound.,46,73
7:38,512,Justin Folkers missed Three Point Jumper.,46,73
7:38,2571,Lane Severyn Defensive Rebound.,46,73
7:31,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Brandon Key.,46,76
7:10,512,Maurice Arrington missed Three Point Jumper.,46,76
7:10,2571,South Dakota State Defensive Rebound.,46,76
7:06,2571,Official TV Timeout,46,76
6:51,2571,Dallas Polk-Hilliard made Layup.,46,78
6:36,512,Brendon Boomsma missed Three Point Jumper.,46,78
6:36,512,Maurice Arrington Offensive Rebound.,46,78
6:31,512,Kevin Daniels made Three Point Jumper. Assisted by Maurice Arrington.,49,78
6:06,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Chris Howell.,49,81
5:38,512,Justin Folkers Turnover.,49,81
5:37,2571,Tevin King Steal.,49,81
5:29,2571,Ian Theisen made Layup. Assisted by Tevin King.,49,83
5:13,512,Justin Folkers made Jumper.,51,83
4:53,2571,Reed Tellinghuisen missed Three Point Jumper.,51,83
4:53,512,Maurice Arrington Defensive Rebound.,51,83
4:49,2571,Foul on Ian Theisen.,51,83
4:23,512,Justin Folkers missed Jumper.,51,83
4:23,2571,Chris Howell Defensive Rebound.,51,83
4:10,512,Foul on Maurice Arrington.,51,83
4:01,2571,Dallas Polk-Hilliard made Free Throw.,51,84
4:01,512,Foul on Bobby Farquah.,51,83
4:01,2571,Dallas Polk-Hilliard missed Free Throw.,51,84
4:01,512,Bobby Farquah Defensive Rebound.,51,84
3:50,512,Bobby Farquah missed Jumper.,51,84
3:50,2571,David Jenkins Jr. Defensive Rebound.,51,84
3:28,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Brandon Key.,51,87
2:57,512,Bobby Farquah missed Three Point Jumper.,51,87
2:57,2571,Skyler Flatten Defensive Rebound.,51,87
2:42,2571,Brandon Key made Layup.,51,89
2:26,512,Falcon Albers missed Layup.,51,89
2:26,2571,Dallas Polk-Hilliard Defensive Rebound.,51,89
2:12,2571,Dallas Polk-Hilliard made Three Point Jumper. Assisted by Brandon Key.,51,92
2:12,2571,South Dakota State  Timeout,51,92
2:12,2571,Official TV Timeout,51,92
1:57,2571,Foul on Lane Severyn.,51,92
1:57,512,Josh McGreal made Free Throw.,52,92
1:57,512,Josh McGreal made Free Throw.,53,92
1:35,512,Foul on Falcon Albers.,53,92
1:28,2571,Dallas Polk-Hilliard Turnover.,53,92
1:27,512,Josh McGreal Steal.,53,92
1:18,512,Falcon Albers made Layup.,55,92
1:02,2571,Brandon Key missed Jumper.,55,92
1:02,512,Bobby Farquah Defensive Rebound.,55,92
0:55,512,Brady Elder made Three Point Jumper.,58,92
0:38,2571,Beau Brown missed Three Point Jumper.,58,92
0:38,512,Bobby Farquah Defensive Rebound.,58,92
0:27,512,Brady Elder made Layup.,60,92
0:00,2571,End of Game,60,92
