Arkansas,41,Connecticut,8
10:57,8,Arkansas Deadball Team Rebound.,21,8
10:57,8,Daniel Gafford made Free Throw.,22,8
10:38,8,Foul on Darious Hall.,22,8
10:24,41,Christian Vital missed Three Point Jumper.,22,8
10:24,8,Dustin Thomas Defensive Rebound.,22,8
10:09,8,Daniel Gafford Turnover.,22,8
9:48,41,Jalen Adams made Layup.,22,10
9:41,8,C.J. Jones made Three Point Jumper. Assisted by Anton Beard.,25,10
9:30,8,Foul on C.J. Jones.,25,10
9:30,41,Alterique Gilbert missed Free Throw.,25,10
9:30,41,Connecticut Deadball Team Rebound.,25,10
9:30,41,Alterique Gilbert made Free Throw.,25,11
9:20,8,Jaylen Barford made Layup. Assisted by Trey Thompson.,27,11
9:12,41,Alterique Gilbert missed Layup.,27,11
9:12,8,Jaylen Barford Defensive Rebound.,27,11
9:04,8,Adrio Bailey made Layup.,29,11
9:02,41,Connecticut  Timeout,29,11
8:49,41,Terry Larrier made Three Point Jumper. Assisted by Jalen Adams.,29,14
8:38,41,Foul on Antwoine Anderson.,29,14
8:38,8,C.J. Jones made Free Throw.,30,14
8:38,8,C.J. Jones made Free Throw.,31,14
8:26,41,Jalen Adams missed Jumper.,31,14
8:26,8,Jaylen Barford Defensive Rebound.,31,14
8:15,8,Daryl Macon made Layup.,33,14
7:52,41,Terry Larrier missed Jumper.,33,14
7:52,41,Josh Carlton Offensive Rebound.,33,14
7:45,41,Alterique Gilbert missed Three Point Jumper.,33,14
7:45,8,Anton Beard Defensive Rebound.,33,14
7:35,8,Anton Beard missed Jumper.,33,14
7:35,41,Alterique Gilbert Defensive Rebound.,33,14
7:28,41,Antwoine Anderson missed Three Point Jumper.,33,14
7:28,8,Daryl Macon Defensive Rebound.,33,14
7:14,8,Adrio Bailey missed Jumper.,33,14
7:14,41,Josh Carlton Defensive Rebound.,33,14
7:11,8,Foul on Adrio Bailey.,33,14
7:11,41,Official TV Timeout,33,14
6:53,41,Jalen Adams made Three Point Jumper. Assisted by Josh Carlton.,33,17
6:27,8,Jaylen Barford made Jumper.,35,17
6:15,41,Antwoine Anderson made Layup. Assisted by Jalen Adams.,35,19
6:05,8,Jaylen Barford made Three Point Jumper. Assisted by Trey Thompson.,38,19
5:47,41,Terry Larrier made Jumper.,38,21
5:34,8,Daryl Macon made Three Point Jumper.,41,21
5:13,41,Alterique Gilbert missed Jumper.,41,21
5:13,8,Arkansas Defensive Rebound.,41,21
5:12,41,Foul on Josh Carlton.,41,21
5:12,8,Adrio Bailey missed Free Throw.,41,21
5:12,41,Mamadou Diarra Defensive Rebound.,41,21
5:00,41,Jalen Adams missed Three Point Jumper.,41,21
5:00,8,Adrio Bailey Defensive Rebound.,41,21
4:43,8,Daryl Macon missed Layup.,41,21
4:43,41,Jalen Adams Defensive Rebound.,41,21
4:37,41,Antwoine Anderson made Three Point Jumper. Assisted by Jalen Adams.,41,24
4:10,41,Foul on Mamadou Diarra.,41,24
4:10,8,Trey Thompson missed Free Throw.,41,24
4:10,8,Arkansas Deadball Team Rebound.,41,24
4:10,8,Trey Thompson made Free Throw.,42,24
3:53,41,Jalen Adams made Layup.,42,26
3:40,8,Dustin Thomas missed Jumper.,42,26
3:40,41,Connecticut Defensive Rebound.,42,26
3:37,8,Foul on Daniel Gafford.,42,26
3:36,41,Official TV Timeout,42,26
3:34,41,Official TV Timeout,42,26
3:24,41,Jalen Adams missed Jumper.,42,26
3:24,41,Mamadou Diarra Offensive Rebound.,42,26
3:22,41,Mamadou Diarra Turnover.,42,26
3:09,8,C.J. Jones missed Three Point Jumper.,42,26
3:09,8,Dustin Thomas Offensive Rebound.,42,26
3:04,8,Daryl Macon missed Three Point Jumper.,42,26
3:04,8,Anton Beard Offensive Rebound.,42,26
2:49,41,Foul on Jalen Adams.,42,26
2:49,8,Daryl Macon made Free Throw.,43,26
2:49,8,Daryl Macon missed Free Throw.,43,26
2:49,8,Daniel Gafford Offensive Rebound.,43,26
2:43,8,Daniel Gafford Turnover.,43,26
2:43,41,Jalen Adams Steal.,43,26
2:41,8,Foul on Daniel Gafford.,43,26
2:41,41,Jalen Adams missed Free Throw.,43,26
2:41,8,Daniel Gafford Defensive Rebound.,43,26
2:26,8,Daryl Macon missed Jumper.,43,26
2:26,41,Antwoine Anderson Defensive Rebound.,43,26
2:06,41,Mamadou Diarra missed Layup.,43,26
2:06,41,Christian Vital Offensive Rebound.,43,26
2:05,8,Foul on Daniel Gafford.,43,26
2:05,41,Christian Vital made Free Throw.,43,27
2:05,41,Christian Vital made Free Throw.,43,28
1:40,8,Trey Thompson missed Jumper.,43,28
1:40,41,Mamadou Diarra Defensive Rebound.,43,28
1:12,41,Christian Vital made Jumper.,43,30
0:55,8,Foul on Dustin Thomas.,43,30
0:55,8,Dustin Thomas Turnover.,43,30
0:42,8,Foul on Daryl Macon.,43,30
0:42,41,Mamadou Diarra made Free Throw.,43,31
0:42,41,Mamadou Diarra missed Free Throw.,43,31
0:42,8,Dustin Thomas Defensive Rebound.,43,31
0:24,8,Jaylen Barford made Layup. Assisted by Trey Thompson.,45,31
0:05,41,Antwoine Anderson missed Three Point Jumper.,45,31
0:05,8,Anton Beard Defensive Rebound.,45,31
0:00,41,End of 1st half,45,31
20:00,41,Jump Ball won by Connecticut,45,31
19:44,41,Terry Larrier Turnover.,45,31
19:21,8,Anton Beard Turnover.,45,31
19:21,41,Jalen Adams Steal.,45,31
19:21,8,Foul on Adrio Bailey.,45,31
19:21,41,Antwoine Anderson made Free Throw.,45,32
19:21,41,Antwoine Anderson made Free Throw.,45,33
19:12,41,Foul on Christian Vital.,45,33
19:03,8,Anton Beard missed Three Point Jumper.,45,33
19:03,41,Connecticut Defensive Rebound.,45,33
18:45,41,Jalen Adams made Jumper. Assisted by Josh Carlton.,45,35
18:22,8,Jaylen Barford missed Layup.,45,35
18:22,41,Christian Vital Defensive Rebound.,45,35
18:16,41,Josh Carlton Turnover.,45,35
17:52,8,Jaylen Barford made Three Point Jumper.,48,35
17:40,41,Jalen Adams made Jumper.,48,37
17:15,8,Jaylen Barford Turnover.,48,37
16:56,41,Terry Larrier missed Three Point Jumper.,48,37
16:56,8,Arkansas Deadball Team Rebound.,48,37
16:39,8,Jaylen Barford made Three Point Jumper. Assisted by Trey Thompson.,51,37
16:27,41,Terry Larrier missed Jumper.,51,37
16:27,8,Trey Thompson Defensive Rebound.,51,37
16:17,8,Anton Beard missed Layup.,51,37
16:17,41,Antwoine Anderson Defensive Rebound.,51,37
15:56,41,Jalen Adams missed Jumper.,51,37
15:56,41,Terry Larrier Offensive Rebound.,51,37
15:50,41,Terry Larrier made Jumper.,51,39
15:41,41,Foul on Jalen Adams.,51,39
15:41,41,Official TV Timeout,51,39
15:31,8,Daryl Macon made Layup.,53,39
15:20,8,Foul on Trey Thompson.,53,39
15:16,41,Mamadou Diarra made Jumper. Assisted by Christian Vital.,53,41
15:04,8,Daryl Macon made Layup.,55,41
14:48,41,Christian Vital missed Three Point Jumper.,55,41
14:48,8,Trey Thompson Defensive Rebound.,55,41
14:26,8,Jaylen Barford missed Three Point Jumper.,55,41
14:26,41,Terry Larrier Defensive Rebound.,55,41
14:16,41,Terry Larrier missed Jumper.,55,41
14:16,8,Jaylen Barford Defensive Rebound.,55,41
14:09,8,Jaylen Barford made Layup.,57,41
13:50,41,Connecticut  Timeout,57,41
13:38,41,Jalen Adams missed Layup.,57,41
13:38,8,Dustin Thomas Defensive Rebound.,57,41
13:34,8,Dustin Thomas Turnover.,57,41
13:34,41,Jalen Adams Steal.,57,41
13:28,41,Jalen Adams missed Three Point Jumper.,57,41
13:28,8,Daniel Gafford Defensive Rebound.,57,41
13:19,41,Foul on Christian Vital.,57,41
13:19,8,C.J. Jones made Free Throw.,58,41
13:19,8,C.J. Jones made Free Throw.,59,41
13:02,41,Terry Larrier missed Layup.,59,41
13:02,8,Daniel Gafford Defensive Rebound.,59,41
13:01,8,Jump Ball won by Arkansas,59,41
12:47,41,Foul on Terry Larrier.,59,41
12:43,8,Daryl Macon made Three Point Jumper.,62,41
12:29,41,Alterique Gilbert Turnover.,62,41
12:29,8,C.J. Jones Steal.,62,41
12:24,8,C.J. Jones made Dunk. Assisted by Daryl Macon.,64,41
12:14,41,Antwoine Anderson missed Jumper.,64,41
12:14,8,C.J. Jones Defensive Rebound.,64,41
11:49,41,Official TV Timeout,64,41
11:49,8,Daniel Gafford missed Free Throw.,64,41
11:49,8,Arkansas Deadball Team Rebound.,64,41
11:49,41,Official TV Timeout,64,41
11:49,8,Daniel Gafford missed Free Throw.,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Christian Vital Defensive Rebound.,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Official TV Timeout,64,41
11:49,41,Foul on Mamadou Diarra.,64,41
11:49,41,Official TV Timeout,64,41
11:36,41,Christian Vital missed Three Point Jumper.,64,41
11:36,8,Darious Hall Defensive Rebound.,64,41
11:31,8,Daniel Gafford made Dunk. Assisted by Jaylen Barford.,66,41
11:18,41,Foul on Jalen Adams.,66,41
11:18,41,Jalen Adams Turnover.,66,41
11:07,41,Foul on Tyler Polley.,66,41
11:07,8,Dustin Thomas made Free Throw.,67,41
11:07,8,Dustin Thomas made Free Throw.,68,41
10:51,41,Foul on Antwoine Anderson.,68,41
10:51,41,Antwoine Anderson Turnover.,68,41
10:39,8,Dustin Thomas made Jumper.,70,41
10:15,8,Foul on Dustin Thomas.,70,41
10:15,41,Antwoine Anderson missed Free Throw.,70,41
10:15,41,Connecticut Deadball Team Rebound.,70,41
10:15,41,Antwoine Anderson missed Free Throw.,70,41
10:15,41,Connecticut Offensive Rebound.,70,41
10:10,41,Antwoine Anderson missed Jumper.,70,41
10:10,8,Darious Hall Defensive Rebound.,70,41
10:00,8,Darious Hall made Layup.,72,41
9:42,8,Foul on Daniel Gafford.,72,41
9:36,41,Tyler Polley made Layup.,72,43
9:21,41,Foul on David Onuorah.,72,43
9:21,8,Dustin Thomas made Free Throw.,73,43
9:21,8,Dustin Thomas missed Free Throw.,73,43
9:21,41,David Onuorah Defensive Rebound.,73,43
9:03,41,Jalen Adams missed Three Point Jumper.,73,43
9:03,41,Connecticut Offensive Rebound.,73,43
8:50,41,Jalen Adams made Jumper.,73,45
8:36,8,Darious Hall made Three Point Jumper. Assisted by Jaylen Barford.,76,45
8:15,41,Jalen Adams Turnover.,76,45
7:49,41,Official TV Timeout,76,45
7:48,41,Foul on David Onuorah.,76,45
7:48,8,Dustin Thomas made Free Throw.,77,45
7:48,8,Dustin Thomas made Free Throw.,78,45
7:41,41,Antwoine Anderson missed Three Point Jumper.,78,45
7:41,41,Christian Vital Offensive Rebound.,78,45
7:36,41,Christian Vital missed Jumper.,78,45
7:36,8,Daniel Gafford Defensive Rebound.,78,45
7:18,41,Foul on Antwoine Anderson.,78,45
7:18,8,Daniel Gafford made Free Throw.,79,45
7:18,8,Daniel Gafford made Free Throw.,80,45
7:07,41,Jalen Adams Turnover.,80,45
7:07,8,Gabe Osabuohien Steal.,80,45
7:01,8,Daniel Gafford made Dunk. Assisted by Daryl Macon.,82,45
6:46,41,Terry Larrier made Jumper.,82,47
6:40,8,Daniel Gafford Turnover.,82,47
6:40,41,Christian Vital Steal.,82,47
6:35,8,Foul on Daniel Gafford.,82,47
6:35,41,Terry Larrier made Free Throw.,82,48
6:35,41,Terry Larrier made Free Throw.,82,49
6:12,41,Foul on Terry Larrier.,82,49
6:12,8,Daryl Macon made Free Throw.,83,49
6:12,8,Daryl Macon made Free Throw.,84,49
5:58,41,Terry Larrier made Three Point Jumper. Assisted by Antwoine Anderson.,84,52
5:45,41,Foul on Christian Vital.,84,52
5:45,8,Anton Beard made Free Throw.,85,52
5:45,8,Anton Beard made Free Throw.,86,52
5:38,41,Jalen Adams missed Three Point Jumper.,86,52
5:38,8,Gabe Osabuohien Defensive Rebound.,86,52
5:27,8,C.J. Jones made Three Point Jumper. Assisted by Anton Beard.,89,52
5:08,8,Foul on Darious Hall.,89,52
5:08,41,Christian Vital made Free Throw.,89,53
5:08,41,Christian Vital made Free Throw.,89,54
4:51,8,Darious Hall made Layup.,91,54
4:36,41,Tyler Polley missed Three Point Jumper.,91,54
4:36,41,Mamadou Diarra Offensive Rebound.,91,54
4:32,8,Foul on Anton Beard.,91,54
4:32,41,Mamadou Diarra made Free Throw.,91,55
4:32,41,Mamadou Diarra missed Free Throw.,91,55
4:32,8,Darious Hall Defensive Rebound.,91,55
4:13,41,Foul on Antwoine Anderson.,91,55
4:13,8,Anton Beard made Free Throw.,92,55
4:13,8,Anton Beard made Free Throw.,93,55
4:07,41,Christian Vital missed Three Point Jumper.,93,55
4:07,8,Anton Beard Defensive Rebound.,93,55
3:51,8,C.J. Jones missed Three Point Jumper.,93,55
3:51,8,Gabe Osabuohien Offensive Rebound.,93,55
3:43,41,Foul on Tyler Polley.,93,55
3:43,41,Official TV Timeout,93,55
3:43,8,C.J. Jones made Free Throw.,94,55
3:43,8,C.J. Jones made Free Throw.,95,55
3:28,41,Jalen Adams made Three Point Jumper.,95,58
3:19,8,Darious Hall Turnover.,95,58
3:19,41,Christian Vital Steal.,95,58
3:14,41,Christian Vital missed Layup.,95,58
3:14,8,Gabe Osabuohien Defensive Rebound.,95,58
3:06,8,Jonathan Holmes missed Layup.,95,58
3:06,41,Mamadou Diarra Defensive Rebound.,95,58
2:58,41,Jalen Adams missed Three Point Jumper.,95,58
2:58,8,Darious Hall Defensive Rebound.,95,58
2:48,8,C.J. Jones made Three Point Jumper. Assisted by Gabe Osabuohien.,98,58
2:23,41,Mamadou Diarra missed Jumper.,98,58
2:23,8,Adrio Bailey Block.,98,58
2:23,8,Darious Hall Defensive Rebound.,98,58
2:08,8,Gabe Osabuohien missed Layup.,98,58
2:08,8,Adrio Bailey Offensive Rebound.,98,58
2:02,8,Adrio Bailey made Layup.,100,58
1:56,41,Jalen Adams made Three Point Jumper. Assisted by Antwoine Anderson.,100,61
1:43,8,Gabe Osabuohien Turnover.,100,61
1:43,41,Isaiah Whaley Steal.,100,61
1:38,41,Antwoine Anderson made Jumper. Assisted by Isaiah Whaley.,100,63
1:38,8,Adrio Bailey missed Jumper.,100,63
1:38,41,Mamadou Diarra Block.,100,63
1:38,41,Jalen Adams Defensive Rebound.,100,63
1:13,41,Mamadou Diarra missed Jumper.,100,63
1:13,8,Darious Hall Defensive Rebound.,100,63
1:05,8,C.J. Jones missed Three Point Jumper.,100,63
1:05,8,Jonathan Holmes Offensive Rebound.,100,63
0:59,8,Jonathan Holmes made Layup.,102,63
0:49,41,Jalen Adams Turnover.,102,63
0:49,8,Adrio Bailey Steal.,102,63
0:43,8,Jonathan Holmes Turnover.,102,63
0:43,41,Jalen Adams Steal.,102,63
0:36,41,Jalen Adams made Three Point Jumper.,102,66
0:32,8,Arkansas  Timeout,102,66
0:32,8,Technical Foul on Arkansas.,102,66
0:32,41,Antwoine Anderson made Free Throw.,102,67
0:01,8,Arkansas  Turnover.,102,67
0:00,41,End of Game,102,67
