Navy,2172,Denver,2426
15:39,2172,Christian Mackey missed Jumper.,5,0
15:39,2172,Denver Offensive Rebound.,5,0
15:39,2426,Foul on Hasan Abdullah.,5,0
15:39,2172,Christian Mackey made Free Throw.,5,1
15:39,2172,Christian Mackey made Free Throw.,5,2
15:16,2172,Foul on Jake Pemberton.,5,2
14:59,2426,Cam Davis missed Jumper.,5,2
14:59,2172,Jake Krafka Defensive Rebound.,5,2
14:49,2172,Jake Krafka Turnover.,5,2
14:49,2172,Foul on Jake Krafka.,5,2
14:34,2426,Tom Lacey missed Jumper.,5,2
14:34,2426,Mo Lewis Offensive Rebound.,5,2
14:06,2426,Cam Davis missed Three Point Jumper.,5,2
14:06,2172,Jake Krafka Defensive Rebound.,5,2
13:36,2172,Jake Holtzmann Turnover.,5,2
13:35,2426,Nourse Fox Steal.,5,2
13:33,2426,Nourse Fox made Layup.,7,2
12:58,2426,Foul on Mo Lewis.,7,2
12:58,2172,Foul on Jake Pemberton.,7,2
12:58,2172,Jake Pemberton Turnover.,7,2
12:53,2172,Foul on Christian Mackey.,7,2
12:40,2426,George Kiernan made Free Throw.,8,2
12:34,2426,George Kiernan made Free Throw.,9,2
11:50,2172,Christian Mackey missed Jumper.,9,2
11:50,2426,Nourse Fox Defensive Rebound.,9,2
11:39,2426,George Kiernan made Three Point Jumper. Assisted by Nourse Fox.,12,2
11:28,2172,Official TV Timeout,12,2
11:22,2426,Foul on Mo Lewis.,12,2
11:09,2172,Ade Murkey missed Jumper.,12,2
11:09,2426,Navy Defensive Rebound.,12,2
11:04,2426,Ryan Pearson missed Jumper.,12,2
11:04,2172,Denver Defensive Rebound.,12,2
10:42,2172,Christian Mackey missed Jumper.,12,2
10:42,2426,Navy Defensive Rebound.,12,2
10:34,2172,Foul on Abiola Akintola.,12,2
10:34,2426,George Kiernan made Free Throw.,13,2
10:33,2426,George Kiernan made Free Throw.,14,2
10:18,2172,Christian Mackey missed Jumper.,14,2
10:18,2426,Nourse Fox Defensive Rebound.,14,2
10:06,2172,Foul on Christian Mackey.,14,2
10:06,2426,Tyler Riemersma made Free Throw.,15,2
10:06,2426,Tyler Riemersma made Free Throw.,16,2
9:54,2172,Ade Murkey Turnover.,16,2
9:39,2426,Tom Lacey Turnover.,16,2
9:14,2172,Joe Rosga made Three Point Jumper. Assisted by Ade Murkey.,16,5
9:02,2426,Ryan Pearson made Three Point Jumper. Assisted by Bryce Dulin.,19,5
8:58,2426,Technical Foul on Nourse Fox.,19,5
8:58,2426,Foul on Nourse Fox.,19,5
8:58,2172,Joe Rosga made Free Throw.,19,6
8:58,2172,Joe Rosga made Free Throw.,19,7
8:44,2172,Elvin Rodriguez missed Jumper.,19,7
8:44,2172,Joe Rosga Offensive Rebound.,19,7
8:36,2172,Daniel Amigo missed Three Point Jumper.,19,7
8:36,2426,George Kiernan Defensive Rebound.,19,7
8:23,2426,Tom Lacey missed Jumper.,19,7
8:23,2172,Joe Rosga Defensive Rebound.,19,7
8:19,2426,Foul on Nourse Fox.,19,7
8:19,2172,Elvin Rodriguez missed Free Throw.,19,7
8:19,2172,Denver Deadball Team Rebound.,19,7
8:19,2172,Elvin Rodriguez made Free Throw.,19,8
8:09,2426,Bryce Dulin made Layup.,21,8
7:36,2172,Official TV Timeout,21,8
7:36,2172,Ade Murkey Turnover.,21,8
7:31,2426,George Kiernan made Dunk.,23,8
7:15,2172,Joe Rosga made Three Point Jumper. Assisted by Ade Murkey.,23,11
7:00,2426,Hasan Abdullah missed Three Point Jumper.,23,11
7:00,2172,Joe Rosga Defensive Rebound.,23,11
6:47,2172,Elvin Rodriguez Turnover.,23,11
6:43,2426,Bryce Dulin Steal.,23,11
6:28,2426,George Kiernan missed Jumper.,23,11
6:28,2172,Christian Mackey Defensive Rebound.,23,11
6:09,2426,Foul on George Kiernan.,23,11
6:09,2172,Donoven Carlisle missed Free Throw.,23,11
6:09,2426,Navy Defensive Rebound.,23,11
6:09,2172,Foul on Christian Mackey.,23,11
6:09,2172,Christian Mackey Turnover.,23,11
6:09,2426,Tom Lacey made Free Throw.,24,11
6:09,2426,Tom Lacey made Free Throw.,25,11
5:49,2426,Foul on Tom Lacey.,25,11
5:38,2172,Christian Mackey made Free Throw.,25,12
5:38,2172,Christian Mackey made Free Throw.,25,13
5:23,2426,Bryce Dulin missed Three Point Jumper.,25,13
5:23,2426,Tom Lacey Offensive Rebound.,25,13
5:06,2426,Shawn Anderson made Three Point Jumper. Assisted by Hasan Abdullah.,28,13
4:53,2426,Foul on Hasan Abdullah.,28,13
4:53,2172,Joe Rosga made Free Throw.,28,14
4:53,2172,Joe Rosga made Free Throw.,28,15
4:37,2426,Tyler Riemersma Turnover.,28,15
4:37,2426,Foul on Tyler Riemersma.,28,15
4:23,2172,Jake Krafka Turnover.,28,15
4:21,2426,Nourse Fox Steal.,28,15
4:18,2426,Nourse Fox Turnover.,28,15
4:06,2426,Foul on Tom Lacey.,28,15
4:06,2172,Christian Mackey made Free Throw.,28,16
4:06,2172,Christian Mackey made Free Throw.,28,17
3:51,2426,George Kiernan missed Three Point Jumper.,28,17
3:51,2426,Shawn Anderson Offensive Rebound.,28,17
3:47,2426,Shawn Anderson made Layup.,30,17
3:29,2172,Christian Mackey Turnover.,30,17
3:29,2172,Official TV Timeout,30,17
3:15,2172,Foul on Jake Pemberton.,30,17
3:15,2426,Shawn Anderson made Free Throw.,31,17
3:15,2426,Shawn Anderson made Free Throw.,32,17
2:47,2172,Elvin Rodriguez missed Three Point Jumper.,32,17
2:47,2426,Mo Lewis Defensive Rebound.,32,17
2:22,2426,George Kiernan missed Three Point Jumper.,32,17
2:22,2172,Jake Holtzmann Defensive Rebound.,32,17
2:10,2172,Jake Holtzmann made Three Point Jumper. Assisted by Jake Krafka.,32,20
1:48,2426,George Kiernan made Jumper. Assisted by Bryce Dulin.,34,20
1:28,2426,Foul on George Kiernan.,34,20
1:28,2172,Jake Krafka made Free Throw.,34,21
1:28,2172,Jake Krafka made Free Throw.,34,22
1:23,2426,Navy  Timeout,34,22
1:00,2426,Nourse Fox missed Jumper.,34,22
1:00,2426,Bryce Dulin Offensive Rebound.,34,22
0:56,2426,Navy  Turnover.,34,22
0:45,2172,Christian Mackey Turnover.,34,22
0:45,2172,Foul on Christian Mackey.,34,22
0:27,2426,Shawn Anderson missed Jumper.,34,22
0:27,2172,Jake Holtzmann Block.,34,22
0:24,2426,Bryce Dulin Offensive Rebound.,34,22
0:18,2426,Nourse Fox missed Jumper.,34,22
0:18,2426,Navy Offensive Rebound.,34,22
0:06,2426,Shawn Anderson missed Layup.,34,22
0:06,2426,Tyler Riemersma Offensive Rebound.,34,22
0:00,2426,Nourse Fox made Three Point Jumper. Assisted by Tyler Riemersma.,37,22
0:00,2172,End of 1st half,37,22
19:42,2172,Foul on Jake Krafka.,37,22
19:42,2426,Tom Lacey made Free Throw.,38,22
19:42,2426,Tom Lacey made Free Throw.,39,22
19:10,2172,Daniel Amigo made Jumper.,39,24
18:43,2426,Bryce Dulin made Three Point Jumper. Assisted by Tom Lacey.,42,24
18:36,2172,Daniel Amigo made Layup.,42,26
18:36,2426,Foul on Shawn Anderson.,42,26
18:36,2172,Daniel Amigo made Free Throw.,42,27
18:21,2172,Foul on Jake Pemberton.,42,27
18:21,2426,Bryce Dulin made Free Throw.,43,27
18:21,2426,Bryce Dulin made Free Throw.,44,27
18:08,2172,Ade Murkey missed Jumper.,44,27
18:08,2172,Daniel Amigo Offensive Rebound.,44,27
18:08,2426,Tom Lacey Block.,44,27
17:55,2172,Jake Holtzmann missed Three Point Jumper.,44,27
17:55,2426,Navy Defensive Rebound.,44,27
17:55,2426,Foul on Evan Wieck.,44,27
17:39,2172,Jake Pemberton missed Jumper.,44,27
17:39,2426,Shawn Anderson Block.,44,27
17:34,2426,Hasan Abdullah Defensive Rebound.,44,27
17:21,2426,Bryce Dulin missed Three Point Jumper.,44,27
17:21,2172,Daniel Amigo Defensive Rebound.,44,27
17:20,2172,Joe Rosga missed Jumper.,44,27
17:20,2426,Navy Defensive Rebound.,44,27
17:17,2172,Foul on Daniel Amigo.,44,27
17:04,2426,Tom Lacey made Dunk. Assisted by Bryce Dulin.,46,27
16:57,2172,Denver  Timeout,46,27
16:55,2172,Elvin Rodriguez missed Jumper.,46,27
16:55,2426,Hasan Abdullah Defensive Rebound.,46,27
16:49,2426,Shawn Anderson made Jumper.,48,27
16:36,2426,Foul on Evan Wieck.,48,27
16:24,2172,Jake Holtzmann Turnover.,48,27
16:22,2426,Hasan Abdullah Steal.,48,27
16:19,2426,Hasan Abdullah Turnover.,48,27
15:46,2426,Foul on Mo Lewis.,48,27
15:46,2426,Navy  Timeout,48,27
15:35,2172,Daniel Amigo Turnover.,48,27
15:35,2172,Foul on Daniel Amigo.,48,27
15:18,2426,Shawn Anderson made Three Point Jumper. Assisted by Tom Lacey.,51,27
15:00,2426,Foul on Shawn Anderson.,51,27
14:47,2426,Foul on Hasan Abdullah.,51,27
14:45,2172,Joe Rosga made Three Point Jumper.,51,30
14:24,2426,Bryce Dulin made Jumper.,53,30
14:11,2426,Foul on Mo Lewis.,53,30
14:11,2172,Christian Mackey missed Free Throw.,53,30
14:11,2172,Denver Deadball Team Rebound.,53,30
14:11,2172,Christian Mackey missed Free Throw.,53,30
14:11,2172,Denver Deadball Team Rebound.,53,30
13:33,2172,Foul on Abiola Akintola.,53,30
13:27,2426,Bryce Dulin made Dunk. Assisted by Nourse Fox.,55,30
13:15,2172,Jake Holtzmann missed Three Point Jumper.,55,30
13:15,2426,Nourse Fox Defensive Rebound.,55,30
13:12,2426,Nourse Fox Turnover.,55,30
13:11,2172,Elvin Rodriguez made Three Point Jumper. Assisted by Jake Holtzmann.,55,33
12:45,2426,Shawn Anderson missed Layup.,55,33
12:45,2172,Jake Krafka Defensive Rebound.,55,33
12:24,2172,Jake Holtzmann Turnover.,55,33
12:22,2426,Nourse Fox Steal.,55,33
12:21,2426,Bryce Dulin made Dunk.,57,33
12:09,2172,Elvin Rodriguez made Jumper.,57,35
11:44,2426,Shawn Anderson missed Jumper.,57,35
11:44,2172,Jake Krafka Defensive Rebound.,57,35
11:28,2172,Christian Mackey made Jumper.,57,37
11:16,2172,Foul on Elvin Rodriguez.,57,37
11:16,2172,Official TV Timeout,57,37
10:49,2426,Tom Lacey made Jumper.,59,37
10:30,2172,Christian Mackey missed Jumper.,59,37
10:30,2426,Cam Davis Defensive Rebound.,59,37
10:10,2426,Bryce Dulin missed Jumper.,59,37
10:10,2172,Christian Mackey Defensive Rebound.,59,37
10:03,2426,Foul on Hasan Abdullah.,59,37
10:03,2172,Elvin Rodriguez made Free Throw.,59,38
10:03,2172,Elvin Rodriguez made Free Throw.,59,39
9:29,2426,Shawn Anderson missed Jumper.,59,39
9:29,2426,Shawn Anderson Offensive Rebound.,59,39
9:05,2426,Shawn Anderson missed Three Point Jumper.,59,39
9:05,2172,Christian Mackey Defensive Rebound.,59,39
8:54,2172,Elvin Rodriguez Turnover.,59,39
8:53,2426,George Kiernan Steal.,59,39
8:34,2426,Tom Lacey made Jumper. Assisted by George Kiernan.,61,39
8:23,2172,Technical Foul on Denver.,61,39
8:23,2426,George Kiernan missed Free Throw.,61,39
8:23,2426,Navy Deadball Team Rebound.,61,39
8:23,2426,George Kiernan made Free Throw.,62,39
8:18,2426,Foul on Cam Davis.,62,39
8:18,2172,Joe Rosga made Free Throw.,62,40
8:18,2172,Joe Rosga made Free Throw.,62,41
8:16,2426,Cam Davis made Layup. Assisted by Shawn Anderson.,64,41
7:54,2426,Foul on Nourse Fox.,64,41
7:54,2172,Official TV Timeout,64,41
7:54,2172,Joe Rosga made Free Throw.,64,42
7:54,2172,Joe Rosga made Free Throw.,64,43
7:54,2172,Joe Rosga made Free Throw.,64,44
7:40,2426,Shawn Anderson missed Layup.,64,44
7:40,2172,Donoven Carlisle Defensive Rebound.,64,44
7:32,2172,Joe Rosga made Three Point Jumper. Assisted by Luke Neff.,64,47
7:13,2426,George Kiernan Turnover.,64,47
7:13,2172,Joe Rosga Steal.,64,47
7:13,2172,Joe Rosga missed Three Point Jumper.,64,47
7:13,2172,Jake Pemberton Offensive Rebound.,64,47
7:13,2172,Jake Pemberton made Jumper.,64,49
7:01,2426,Navy  Timeout,64,49
6:41,2426,Bryce Dulin missed Three Point Jumper.,64,49
6:41,2172,Joe Rosga Defensive Rebound.,64,49
6:34,2172,Jake Pemberton made Three Point Jumper. Assisted by Joe Rosga.,64,52
6:15,2426,Shawn Anderson made Jumper.,66,52
6:02,2172,Luke Neff missed Three Point Jumper.,66,52
6:02,2172,Denver Offensive Rebound.,66,52
6:01,2426,Foul on Tom Lacey.,66,52
6:01,2172,Daniel Amigo missed Free Throw.,66,52
6:01,2172,Denver Deadball Team Rebound.,66,52
6:01,2172,Daniel Amigo made Free Throw.,66,53
5:32,2172,Foul on Donoven Carlisle.,66,53
5:32,2426,Shawn Anderson missed Free Throw.,66,53
5:32,2426,Navy Deadball Team Rebound.,66,53
5:32,2426,Shawn Anderson made Free Throw.,67,53
5:16,2172,Jake Pemberton missed Three Point Jumper.,67,53
5:16,2426,Shawn Anderson Defensive Rebound.,67,53
4:40,2426,Bryce Dulin made Three Point Jumper. Assisted by Hasan Abdullah.,70,53
4:30,2426,Foul on George Kiernan.,70,53
4:30,2172,Joe Rosga missed Free Throw.,70,53
4:30,2172,Denver Deadball Team Rebound.,70,53
4:30,2172,Joe Rosga made Free Throw.,70,54
4:17,2426,George Kiernan missed Three Point Jumper.,70,54
4:17,2172,Luke Neff Defensive Rebound.,70,54
4:07,2172,Joe Rosga made Three Point Jumper.,70,57
3:49,2426,George Kiernan Turnover.,70,57
3:47,2172,Donoven Carlisle Steal.,70,57
3:45,2172,Donoven Carlisle made Dunk.,70,59
3:11,2172,Foul on Daniel Amigo.,70,59
3:11,2172,Official TV Timeout,70,59
3:11,2426,Bryce Dulin made Free Throw.,71,59
3:11,2426,Bryce Dulin made Free Throw.,72,59
3:02,2172,Joe Rosga made Three Point Jumper.,72,62
2:33,2426,Shawn Anderson missed Jumper.,72,62
2:33,2172,Joe Rosga Defensive Rebound.,72,62
2:21,2172,Joe Rosga missed Jumper.,72,62
2:21,2426,Evan Wieck Defensive Rebound.,72,62
1:53,2426,Hasan Abdullah made Jumper.,74,62
1:39,2172,Joe Rosga made Jumper.,74,64
1:39,2426,Foul on Bryce Dulin.,74,64
1:39,2172,Joe Rosga made Free Throw.,74,65
1:10,2426,Tom Lacey Turnover.,74,65
1:03,2172,Elvin Rodriguez missed Layup.,74,65
1:03,2172,Denver Offensive Rebound.,74,65
0:58,2172,Denver  Timeout,74,65
0:49,2172,Joe Rosga missed Three Point Jumper.,74,65
0:49,2426,Shawn Anderson Defensive Rebound.,74,65
0:44,2172,Foul on Elvin Rodriguez.,74,65
0:41,2426,Hasan Abdullah missed Free Throw.,74,65
0:41,2426,Navy Deadball Team Rebound.,74,65
0:41,2426,Hasan Abdullah made Free Throw.,75,65
0:41,2426,Navy  Timeout,75,65
0:32,2172,Jake Pemberton missed Layup.,75,65
0:32,2172,Denver Offensive Rebound.,75,65
0:27,2172,Elvin Rodriguez missed Three Point Jumper.,75,65
0:27,2172,Denver Offensive Rebound.,75,65
0:24,2426,Foul on Bryce Dulin.,75,65
0:24,2172,Joe Rosga missed Free Throw.,75,65
0:24,2172,Denver Deadball Team Rebound.,75,65
0:24,2172,Joe Rosga made Free Throw.,75,66
0:24,2172,Foul on Jake Pemberton.,75,66
0:24,2426,Hasan Abdullah made Free Throw.,76,66
0:24,2426,Hasan Abdullah missed Free Throw.,76,66
0:24,2172,Christian Mackey Defensive Rebound.,76,66
0:18,2172,Elvin Rodriguez made Layup.,76,68
0:16,2172,Foul on Joe Rosga.,76,68
0:16,2426,Shawn Anderson missed Free Throw.,76,68
0:16,2426,Navy Deadball Team Rebound.,76,68
0:16,2426,Shawn Anderson made Free Throw.,77,68
0:09,2172,Elvin Rodriguez made Layup. Assisted by Christian Mackey.,77,70
0:08,2426,Shawn Anderson made Free Throw.,78,70
0:08,2172,Foul on Christian Mackey.,77,70
0:08,2426,Shawn Anderson made Free Throw.,79,70
0:04,2426,Foul on Bryce Dulin.,79,70
0:04,2172,Joe Rosga missed Free Throw.,79,70
0:04,2172,Denver Deadball Team Rebound.,79,70
0:04,2172,Joe Rosga made Free Throw.,79,71
0:00,2172,End of Game,79,71
