Houston Baptist,197,Oklahoma State,2277
11:54,197,Tavarius Shine missed Jumper.,12,18
11:54,197,Mitchell Solomon Offensive Rebound.,12,18
11:46,197,Lindy Waters III made Layup. Assisted by Kendall Smith.,12,20
11:39,2277,David Caraher made Three Point Jumper. Assisted by Oliver Lynch-Daniels.,15,20
11:20,197,Kendall Smith missed Layup.,15,20
11:20,2277,Edward Hardt Defensive Rebound.,15,20
11:01,2277,Oliver Lynch-Daniels missed Three Point Jumper.,15,20
11:01,197,Tavarius Shine Defensive Rebound.,15,20
10:58,197,Official TV Timeout,15,20
10:42,2277,Foul on Ian DuBose.,15,20
10:33,197,Lindy Waters III missed Three Point Jumper.,15,20
10:33,2277,Philip McKenzie Defensive Rebound.,15,20
10:11,2277,Philip McKenzie missed Layup.,15,20
10:11,197,Mitchell Solomon Block.,15,20
10:09,197,Mitchell Solomon Defensive Rebound.,15,20
10:05,197,Davon Dillard missed Three Point Jumper.,15,20
10:05,197,Tavarius Shine Offensive Rebound.,15,20
9:49,197,Tavarius Shine Turnover.,15,20
9:37,2277,Edward Hardt made Layup. Assisted by Braxton Bonds.,17,20
9:17,197,Foul on Mitchell Solomon.,17,20
9:17,197,Mitchell Solomon Turnover.,17,20
9:06,2277,William Gates Jr. made Layup.,19,20
8:36,2277,Foul on Oliver Lynch-Daniels.,19,20
8:33,197,Lindy Waters III missed Jumper.,19,20
8:33,2277,Tim Myles Defensive Rebound.,19,20
8:21,2277,Braxton Bonds missed Layup.,19,20
8:21,197,Cameron McGriff Block.,19,20
8:20,197,Thomas Dziagwa Defensive Rebound.,19,20
8:14,2277,Foul on William Gates Jr..,19,20
8:14,197,Thomas Dziagwa made Free Throw.,19,21
8:14,197,Thomas Dziagwa made Free Throw.,19,22
8:05,2277,Braxton Bonds Turnover.,19,22
7:47,197,Thomas Dziagwa made Three Point Jumper. Assisted by Brandon Averette.,19,25
7:33,2277,Oliver Lynch-Daniels made Jumper.,21,25
7:32,2277,Foul on Tim Myles.,21,25
7:32,197,Official TV Timeout,21,25
7:32,197,Lucas N'Guessan made Free Throw.,21,26
7:32,197,Lucas N'Guessan made Free Throw.,21,27
7:08,2277,Josh Ibarra missed Layup.,21,27
7:08,197,Cameron McGriff Defensive Rebound.,21,27
7:03,197,Jeffrey Carroll missed Three Point Jumper.,21,27
7:03,197,Lucas N'Guessan Offensive Rebound.,21,27
6:38,2277,Foul on Oliver Lynch-Daniels.,21,27
6:38,197,Cameron McGriff made Free Throw.,21,28
6:38,197,Cameron McGriff made Free Throw.,21,29
6:23,2277,Braxton Bonds missed Layup.,21,29
6:23,2277,Josh Ibarra Offensive Rebound.,21,29
6:21,2277,Josh Ibarra made Layup.,23,29
6:12,197,Jeffrey Carroll Turnover.,23,29
6:11,2277,Braxton Bonds Steal.,23,29
6:05,2277,David Caraher missed Three Point Jumper.,23,29
6:05,197,Jeffrey Carroll Defensive Rebound.,23,29
5:58,2277,Foul on Jalon Gates.,23,29
5:58,197,Jeffrey Carroll made Free Throw.,23,30
5:58,197,Jeffrey Carroll made Free Throw.,23,31
5:41,2277,Josh Ibarra Offensive Rebound.,23,31
5:41,2277,Josh Ibarra missed Layup.,23,31
5:41,197,Jeffrey Carroll Block.,23,31
5:41,2277,Houston Baptist Offensive Rebound.,23,31
5:41,2277,Braxton Bonds missed Layup.,23,31
5:41,197,Tavarius Shine Block.,23,31
5:38,2277,Foul on Josh Ibarra.,23,31
5:38,197,Cameron McGriff made Free Throw.,23,32
5:38,197,Cameron McGriff made Free Throw.,23,33
5:24,2277,Chukuka Emili made Three Point Jumper. Assisted by Braxton Bonds.,26,33
5:02,197,Cameron McGriff made Dunk. Assisted by Lindy Waters III.,26,35
4:41,197,Foul on Tavarius Shine.,26,35
4:41,2277,Jalon Gates missed Jumper.,26,35
4:41,2277,Houston Baptist Offensive Rebound.,26,35
4:38,197,Foul on Jeffrey Carroll.,26,35
4:29,2277,Jalon Gates missed Three Point Jumper.,26,35
4:29,197,Davon Dillard Defensive Rebound.,26,35
4:21,197,Lindy Waters III missed Three Point Jumper.,26,35
4:21,197,Mitchell Solomon Offensive Rebound.,26,35
4:14,197,Foul on Jeffrey Carroll.,26,35
4:14,197,Jeffrey Carroll Turnover.,26,35
3:59,2277,Philip McKenzie Turnover.,26,35
3:59,197,Official TV Timeout,26,35
3:34,197,Davon Dillard missed Jumper.,26,35
3:34,197,Davon Dillard Offensive Rebound.,26,35
3:25,197,Lindy Waters III made Layup.,26,37
3:25,2277,Foul on Edward Hardt.,26,37
3:25,197,Lindy Waters III made Free Throw.,26,38
3:01,2277,Philip McKenzie missed Layup.,26,38
3:01,197,Cameron McGriff Defensive Rebound.,26,38
2:55,197,Davon Dillard Turnover.,26,38
2:44,2277,Edward Hardt made Layup. Assisted by David Caraher.,28,38
2:20,197,Kendall Smith made Layup. Assisted by Lindy Waters III.,28,40
2:20,2277,Foul on Philip McKenzie.,28,40
2:20,197,Kendall Smith made Free Throw.,28,41
2:01,2277,David Caraher missed Three Point Jumper.,28,41
2:01,2277,Houston Baptist Offensive Rebound.,28,41
1:58,197,Foul on Lindy Waters III.,28,41
1:58,2277,Chukuka Emili missed Free Throw.,28,41
1:58,197,Kendall Smith Defensive Rebound.,28,41
1:52,197,Brandon Averette made Three Point Jumper. Assisted by Kendall Smith.,28,44
1:34,2277,David Caraher Turnover.,28,44
1:32,197,Kendall Smith Steal.,28,44
1:29,197,Kendall Smith missed Layup.,28,44
1:29,2277,Chukuka Emili Block.,28,44
1:27,197,Cameron McGriff Offensive Rebound.,28,44
1:27,2277,Foul on Chukuka Emili.,28,44
1:27,197,Cameron McGriff made Free Throw.,28,45
1:27,197,Cameron McGriff made Free Throw.,28,46
1:06,2277,Braxton Bonds made Layup.,30,46
0:53,2277,Foul on Braxton Bonds.,30,46
0:53,197,Kendall Smith made Free Throw.,30,47
0:53,197,Kendall Smith made Free Throw.,30,48
0:36,2277,Oliver Lynch-Daniels missed Jumper.,30,48
0:36,197,Lindy Waters III Block.,30,48
0:34,2277,Oliver Lynch-Daniels Offensive Rebound.,30,48
0:31,2277,Braxton Bonds missed Three Point Jumper.,30,48
0:31,197,Thomas Dziagwa Defensive Rebound.,30,48
0:25,197,Brandon Averette made Layup. Assisted by Kendall Smith.,30,50
0:25,2277,Foul on Braxton Bonds.,30,50
0:25,197,Thomas Dziagwa made Free Throw.,30,51
0:25,197,Thomas Dziagwa made Free Throw.,30,52
0:25,197,Brandon Averette missed Free Throw.,30,52
0:25,2277,Philip McKenzie Defensive Rebound.,30,52
0:25,2277,Technical Foul on Houston Baptist.,30,50
0:08,2277,Braxton Bonds missed Jumper.,30,52
0:08,197,Lindy Waters III Defensive Rebound.,30,52
0:03,197,Oklahoma State  Timeout,30,52
0:01,197,Zack Dawson missed Jumper.,30,52
0:01,2277,Houston Baptist Defensive Rebound.,30,52
0:00,197,End of 1st half,30,52
19:41,197,Lindy Waters III made Jumper.,30,54
19:24,197,Foul on Lindy Waters III.,30,54
19:22,2277,Josh Ibarra made Jumper. Assisted by William Gates Jr..,32,54
19:05,197,Lindy Waters III missed Three Point Jumper.,32,54
19:05,197,Tavarius Shine Offensive Rebound.,32,54
18:59,2277,Foul on William Gates Jr..,32,54
18:59,197,Foul on Kendall Smith.,32,54
18:59,197,Kendall Smith Turnover.,32,54
18:44,2277,Josh Ibarra made Layup.,34,54
18:37,197,Kendall Smith missed Jumper.,34,54
18:37,2277,Braxton Bonds Defensive Rebound.,34,54
18:25,2277,Ian DuBose made Layup.,36,54
18:09,197,Kendall Smith made Three Point Jumper. Assisted by Mitchell Solomon.,36,57
17:54,2277,William Gates Jr. made Layup. Assisted by David Caraher.,38,57
17:33,2277,Foul on Josh Ibarra.,38,57
17:33,197,Lucas N'Guessan missed Free Throw.,38,57
17:33,197,Oklahoma State Deadball Team Rebound.,38,57
17:33,197,Lucas N'Guessan made Free Throw.,38,58
17:16,2277,Ian DuBose missed Layup.,38,58
17:16,2277,Josh Ibarra Offensive Rebound.,38,58
17:13,2277,Josh Ibarra made Layup.,40,58
16:46,197,Lindy Waters III Turnover.,40,58
16:46,2277,Josh Ibarra Steal.,40,58
16:35,2277,Braxton Bonds missed Layup.,40,58
16:35,197,Jeffrey Carroll Block.,40,58
16:32,197,Jeffrey Carroll Defensive Rebound.,40,58
16:29,197,Tavarius Shine made Layup. Assisted by Kendall Smith.,40,60
16:10,2277,David Caraher Turnover.,40,60
16:09,197,Mitchell Solomon Steal.,40,60
16:06,197,Kendall Smith made Dunk. Assisted by Mitchell Solomon.,40,62
15:57,197,Foul on Tavarius Shine.,40,62
15:56,197,Official TV Timeout,40,62
15:56,2277,David Caraher made Free Throw.,41,62
15:56,2277,David Caraher missed Free Throw.,41,62
15:56,197,Brandon Averette Defensive Rebound.,41,62
15:42,197,Thomas Dziagwa made Three Point Jumper. Assisted by Brandon Averette.,41,65
15:18,2277,Ian DuBose missed Layup.,41,65
15:18,2277,Josh Ibarra Offensive Rebound.,41,65
15:11,2277,Josh Ibarra made Layup.,43,65
15:07,197,Brandon Averette made Jumper.,43,67
15:07,2277,Foul on Josh Ibarra.,43,67
14:54,197,Thomas Dziagwa made Three Point Jumper. Assisted by Lindy Waters III.,43,70
14:30,2277,Foul on David Caraher.,43,70
14:30,2277,David Caraher Turnover.,43,70
14:18,197,Brandon Averette missed Jumper.,43,70
14:18,2277,Braxton Bonds Defensive Rebound.,43,70
14:12,2277,William Gates Jr. made Jumper. Assisted by Braxton Bonds.,45,70
14:03,197,Brandon Averette missed Jumper.,45,70
14:03,2277,David Caraher Defensive Rebound.,45,70
13:45,197,Foul on Lindy Waters III.,45,70
13:45,2277,Braxton Bonds made Free Throw.,46,70
13:45,2277,Braxton Bonds missed Free Throw.,46,70
13:45,197,Cameron McGriff Defensive Rebound.,46,70
13:38,2277,Foul on Edward Hardt.,46,70
13:21,197,Cameron McGriff made Jumper. Assisted by Kendall Smith.,46,72
13:11,2277,Edward Hardt missed Layup.,46,72
13:11,197,Davon Dillard Defensive Rebound.,46,72
13:04,2277,Foul on David Caraher.,46,72
13:04,197,Davon Dillard made Free Throw.,46,73
13:04,197,Davon Dillard made Free Throw.,46,74
12:48,2277,William Gates Jr. made Layup. Assisted by Oliver Lynch-Daniels.,48,74
12:40,197,Davon Dillard Turnover.,48,74
12:39,2277,Oliver Lynch-Daniels Steal.,48,74
12:35,2277,Foul on Oliver Lynch-Daniels.,48,74
12:35,2277,Oliver Lynch-Daniels Turnover.,48,74
12:35,197,Cameron McGriff made Free Throw.,48,75
12:35,197,Cameron McGriff made Free Throw.,48,76
12:20,197,Foul on Brandon Averette.,48,76
12:20,2277,William Gates Jr. missed Free Throw.,48,76
12:20,2277,Houston Baptist Deadball Team Rebound.,48,76
12:20,2277,William Gates Jr. missed Free Throw.,48,76
12:20,197,Jeffrey Carroll Defensive Rebound.,48,76
12:06,197,Zack Dawson Turnover.,48,76
11:47,2277,Philip McKenzie missed Three Point Jumper.,48,76
11:47,197,Jeffrey Carroll Defensive Rebound.,48,76
11:40,197,Kendall Smith made Three Point Jumper. Assisted by Zack Dawson.,48,79
11:29,2277,Ian DuBose missed Layup.,48,79
11:29,197,Lucas N'Guessan Block.,48,79
11:25,197,Jeffrey Carroll Defensive Rebound.,48,79
11:23,197,Jeffrey Carroll missed Three Point Jumper.,48,79
11:23,2277,Houston Baptist Defensive Rebound.,48,79
11:23,197,Official TV Timeout,48,79
11:07,2277,Jalon Gates missed Three Point Jumper.,48,79
11:07,197,Kendall Smith Defensive Rebound.,48,79
11:01,197,Zack Dawson missed Layup.,48,79
11:01,2277,Philip McKenzie Defensive Rebound.,48,79
10:42,197,Foul on Zack Dawson.,48,79
10:37,197,Foul on Davon Dillard.,48,79
10:37,2277,Jalon Gates made Free Throw.,49,79
10:37,2277,Jalon Gates made Free Throw.,50,79
10:23,197,Davon Dillard missed Jumper.,50,79
10:23,2277,Houston Baptist Defensive Rebound.,50,79
10:11,197,Foul on Lucas N'Guessan.,50,79
10:11,2277,Edward Hardt made Free Throw.,51,79
10:11,2277,Edward Hardt made Free Throw.,52,79
10:02,197,Davon Dillard made Layup. Assisted by Lucas N'Guessan.,52,81
9:46,2277,Edward Hardt missed Layup.,52,81
9:46,197,Zack Dawson Defensive Rebound.,52,81
9:39,197,Jeffrey Carroll made Three Point Jumper. Assisted by Zack Dawson.,52,84
9:20,2277,Philip McKenzie made Layup.,54,84
9:01,197,Foul on Kendall Smith.,54,84
9:01,197,Kendall Smith Turnover.,54,84
8:48,2277,Philip McKenzie missed Jumper.,54,84
8:48,197,Oklahoma State Defensive Rebound.,54,84
8:28,197,Mitchell Solomon made Layup. Assisted by Cameron McGriff.,54,86
8:10,197,Foul on Thomas Dziagwa.,54,86
8:10,2277,Tim Myles missed Free Throw.,54,86
8:10,2277,Houston Baptist Deadball Team Rebound.,54,86
8:10,2277,Tim Myles made Free Throw.,55,86
8:05,197,Mitchell Solomon made Dunk. Assisted by Thomas Dziagwa.,55,88
7:54,2277,Oliver Lynch-Daniels Turnover.,55,88
7:54,197,Official TV Timeout,55,88
7:34,197,Cameron McGriff missed Jumper.,55,88
7:34,2277,Tim Myles Defensive Rebound.,55,88
7:27,2277,Oliver Lynch-Daniels Turnover.,55,88
7:18,197,Brandon Averette Turnover.,55,88
6:59,2277,Josh Ibarra Turnover.,55,88
6:58,197,Cameron McGriff Steal.,55,88
6:49,197,Mitchell Solomon made Layup. Assisted by Lindy Waters III.,55,90
6:36,2277,Jalon Gates missed Three Point Jumper.,55,90
6:36,197,Cameron McGriff Defensive Rebound.,55,90
6:27,197,Thomas Dziagwa missed Three Point Jumper.,55,90
6:27,2277,Braxton Bonds Defensive Rebound.,55,90
6:19,2277,David Caraher missed Three Point Jumper.,55,90
6:19,197,Cameron McGriff Defensive Rebound.,55,90
6:12,197,Brandon Averette made Layup. Assisted by Thomas Dziagwa.,55,92
5:57,197,Foul on Mitchell Solomon.,55,92
5:57,2277,Ian DuBose made Free Throw.,56,92
5:57,2277,Ian DuBose made Free Throw.,57,92
5:44,197,Thomas Dziagwa missed Layup.,57,92
5:44,2277,Ian DuBose Defensive Rebound.,57,92
5:29,2277,Jalon Gates made Three Point Jumper. Assisted by Josh Ibarra.,60,92
5:13,197,Cameron McGriff made Jumper. Assisted by Jeffrey Carroll.,60,94
5:01,2277,Jalon Gates made Three Point Jumper.,63,94
4:35,197,Brandon Averette missed Jumper.,63,94
4:35,197,Lindy Waters III Offensive Rebound.,63,94
4:30,197,Thomas Dziagwa missed Three Point Jumper.,63,94
4:30,197,Jeffrey Carroll Offensive Rebound.,63,94
4:25,197,Jeffrey Carroll made Dunk.,63,96
4:25,197,Official TV Timeout,63,96
4:06,2277,Jalon Gates made Three Point Jumper.,66,96
3:52,197,Davon Dillard made Three Point Jumper. Assisted by Zack Dawson.,66,99
3:37,2277,Jalon Gates made Layup.,68,99
3:37,197,Official TV Timeout,68,99
3:12,197,Jeffrey Carroll missed Jumper.,68,99
3:12,2277,David Caraher Defensive Rebound.,68,99
2:58,2277,Ian DuBose missed Three Point Jumper.,68,99
2:58,2277,Josh Ibarra Offensive Rebound.,68,99
2:56,197,Foul on Zack Dawson.,68,99
2:56,2277,Josh Ibarra missed Free Throw.,68,99
2:56,2277,Houston Baptist Deadball Team Rebound.,68,99
2:56,2277,Josh Ibarra made Free Throw.,69,99
2:33,197,Zack Dawson missed Three Point Jumper.,69,99
2:33,2277,Josh Ibarra Defensive Rebound.,69,99
2:26,2277,Ian DuBose made Layup.,71,99
2:26,197,Foul on Zack Dawson.,71,99
2:26,2277,Ian DuBose made Free Throw.,72,99
2:06,2277,Foul on Tim Myles.,72,99
2:06,197,Davon Dillard made Free Throw.,72,100
2:06,197,Davon Dillard made Free Throw.,72,101
1:47,2277,Tim Myles Turnover.,72,101
1:46,197,Kendall Smith Steal.,72,101
1:41,197,Lucas N'Guessan missed Layup.,72,101
1:41,2277,Tim Myles Block.,72,101
1:41,197,Oklahoma State Offensive Rebound.,72,101
1:37,197,Trey Reeves Turnover.,72,101
1:36,2277,Stephen O'Suji Steal.,72,101
1:33,2277,Stephen O'Suji missed Layup.,72,101
1:33,197,Lucas N'Guessan Defensive Rebound.,72,101
1:15,197,Trey Reeves missed Layup.,72,101
1:15,2277,Tim Myles Block.,72,101
1:13,2277,Stephen O'Suji Defensive Rebound.,72,101
0:55,2277,Chukuka Emili missed Jumper.,72,101
0:55,2277,Tyquon Jordan Offensive Rebound.,72,101
0:49,2277,Stephen O'Suji missed Three Point Jumper.,72,101
0:49,2277,Tim Myles Offensive Rebound.,72,101
0:45,2277,Tim Myles missed Layup.,72,101
0:45,197,Lucas N'Guessan Defensive Rebound.,72,101
0:40,197,Lucas N'Guessan Turnover.,72,101
0:40,2277,Tyquon Jordan Steal.,72,101
0:40,197,Foul on Trey Reeves.,72,101
0:40,2277,Tyquon Jordan made Free Throw.,73,101
0:40,2277,Tyquon Jordan made Free Throw.,74,101
0:26,197,Zack Dawson Turnover.,74,101
0:25,2277,Michael Saladin Steal.,74,101
0:21,197,Foul on Davon Dillard.,74,101
0:21,2277,Chukuka Emili missed Free Throw.,74,101
0:21,2277,Houston Baptist Deadball Team Rebound.,74,101
0:21,2277,Chukuka Emili missed Free Throw.,74,101
0:21,197,Lucas N'Guessan Defensive Rebound.,74,101
0:00,197,End of Game,74,101
