South Carolina State,2737,Winthrop,2569
3:54,2737,Bjorn Broman Defensive Rebound.,51,76
3:45,2737,Josh Ferguson missed Layup.,51,76
3:45,2569,Ty Solomon Defensive Rebound.,51,76
3:35,2569,Ian Kinard made Jumper. Assisted by Ty Solomon.,53,76
3:21,2737,Charles Falden made Three Point Jumper. Assisted by Nych Smith.,53,79
3:06,2569,Donte Wright Turnover.,53,79
3:06,2569,Foul on Donte Wright.,53,79
3:06,2737,Official TV Timeout,53,79
3:05,2737,Charles Falden Turnover.,53,79
3:05,2569,Ty Solomon Steal.,53,79
3:05,2737,Foul on Jermaine Ukaegbu.,53,79
3:05,2569,Ty Solomon missed Free Throw.,53,79
3:05,2569,South Carolina State Deadball Team Rebound.,53,79
3:05,2569,Ty Solomon made Free Throw.,54,79
2:56,2737,Charles Falden made Three Point Jumper. Assisted by Jermaine Ukaegbu.,54,82
2:40,2569,Damani Applewhite made Jumper.,56,82
2:16,2737,Freddy Poole Turnover.,56,82
2:04,2569,Janai Raynor Powell missed Jumper.,56,82
2:04,2569,Damani Applewhite Offensive Rebound.,56,82
2:00,2569,Damani Applewhite missed Jumper.,56,82
2:00,2737,Winthrop Defensive Rebound.,56,82
1:52,2737,Adam Pickett Turnover.,56,82
1:51,2569,Janai Raynor Powell Steal.,56,82
1:49,2569,Tariq Clement made Layup. Assisted by Janai Raynor Powell.,58,82
1:30,2737,Freddy Poole made Jumper.,58,84
1:18,2569,Damani Applewhite missed Jumper.,58,84
1:18,2569,Damani Applewhite Offensive Rebound.,58,84
1:15,2569,Damani Applewhite Turnover.,58,84
1:15,2737,Adam Pickett Steal.,58,84
0:58,2737,Adam Pickett missed Three Point Jumper.,58,84
0:58,2737,Mitch Hill Offensive Rebound.,58,84
0:50,2737,Kellen Blake made Layup. Assisted by Mitch Hill.,58,86
0:43,2569,Janai Raynor Powell missed Jumper.,58,86
0:43,2569,Damani Applewhite Offensive Rebound.,58,86
0:39,2737,Foul on Mitch Hill.,58,86
0:39,2569,Damani Applewhite missed Free Throw.,58,86
0:39,2569,South Carolina State Deadball Team Rebound.,58,86
0:39,2569,Damani Applewhite made Free Throw.,59,86
0:24,2737,Kellen Blake missed Jumper.,59,86
0:24,2569,Donte Wright Block.,59,86
0:22,2737,Kellen Blake Offensive Rebound.,59,86
0:21,2737,Kellen Blake missed Jumper.,59,86
0:21,2569,Armani Taylor Block.,59,86
0:18,2569,Armani Taylor Defensive Rebound.,59,86
0:17,2569,Tariq Clement made Layup.,61,86
0:00,2737,End of Game,61,86
