Alcorn State,238,Vanderbilt,2016
14:43,238,Joe Toye Defensive Rebound.,6,15
14:37,238,Jeff Roberson made Three Point Jumper. Assisted by Joe Toye.,6,18
14:22,2016,Troymain Crosby made Layup. Assisted by Maurice Howard.,8,18
13:53,238,Saben Lee made Layup.,8,20
13:53,2016,Devon Brewer Turnover.,8,20
13:29,238,Joe Toye Steal.,8,20
13:22,238,Matthew Fisher-Davis missed Three Point Jumper.,8,20
13:22,238,Vanderbilt Offensive Rebound.,8,20
13:15,238,Jeff Roberson made Three Point Jumper. Assisted by Saben Lee.,8,23
13:15,2016,Foul on Kobe Wilson.,8,23
13:15,238,Jeff Roberson made Free Throw.,8,24
13:00,2016,Dante Sterling missed Three Point Jumper.,8,24
13:00,238,Vanderbilt Defensive Rebound.,8,24
12:37,238,Jeff Roberson missed Jumper.,8,24
12:37,2016,Dante Sterling Defensive Rebound.,8,24
12:28,2016,Avery Patterson Turnover.,8,24
12:27,238,Riley LaChance Steal.,8,24
12:26,238,Riley LaChance made Layup.,8,26
12:09,2016,Avery Patterson Turnover.,8,26
12:09,238,Saben Lee Steal.,8,26
11:48,238,Jeff Roberson made Three Point Jumper. Assisted by Payton Willis.,8,29
11:20,2016,Maurice Howard Turnover.,8,29
11:19,238,Maxwell Evans Steal.,8,29
11:12,238,Larry Austin Jr. made Layup. Assisted by Jeff Roberson.,8,31
10:58,238,Foul on Payton Willis.,8,31
10:58,238,Official TV Timeout,8,31
10:37,2016,Maurice Howard made Layup.,10,31
10:13,238,Payton Willis made Three Point Jumper. Assisted by Larry Austin Jr..,10,34
9:46,238,Foul on Ejike Obinna.,10,34
9:31,2016,A.J. Mosby missed Three Point Jumper.,10,34
9:31,238,Payton Willis Defensive Rebound.,10,34
9:17,238,Larry Austin Jr. made Three Point Jumper. Assisted by Maxwell Evans.,10,37
8:58,2016,Devon Brewer missed Jumper.,10,37
8:58,238,Larry Austin Jr. Defensive Rebound.,10,37
8:52,238,Maxwell Evans missed Three Point Jumper.,10,37
8:52,238,Maxwell Evans Offensive Rebound.,10,37
8:45,238,Maxwell Evans missed Jumper.,10,37
8:45,2016,Devon Brewer Defensive Rebound.,10,37
8:34,2016,Troymain Crosby missed Jumper.,10,37
8:34,238,Payton Willis Block.,10,37
8:31,2016,Maurice Howard Offensive Rebound.,10,37
8:11,2016,A.J. Mosby missed Three Point Jumper.,10,37
8:11,238,Ejike Obinna Defensive Rebound.,10,37
7:59,238,Clevon Brown missed Three Point Jumper.,10,37
7:59,2016,Devon Brewer Defensive Rebound.,10,37
7:46,238,Foul on Ejike Obinna.,10,37
7:46,238,Official TV Timeout,10,37
7:45,2016,Avery Patterson Turnover.,10,37
7:44,238,Matthew Fisher-Davis Steal.,10,37
7:21,2016,Foul on Avery Patterson.,10,37
7:21,238,Joe Toye missed Free Throw.,10,37
7:21,238,Vanderbilt Deadball Team Rebound.,10,37
7:21,238,Joe Toye made Free Throw.,10,38
7:12,2016,Avery Patterson made Jumper.,12,38
6:45,238,Riley LaChance made Three Point Jumper. Assisted by Matthew Fisher-Davis.,12,41
6:14,2016,Dante Sterling made Three Point Jumper. Assisted by A.J. Mosby.,15,41
5:46,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Joe Toye.,15,44
5:33,238,Foul on Matthew Fisher-Davis.,15,44
5:24,2016,Avery Patterson missed Three Point Jumper.,15,44
5:24,238,Vanderbilt Defensive Rebound.,15,44
5:07,238,Saben Lee missed Three Point Jumper.,15,44
5:07,2016,Dante Sterling Defensive Rebound.,15,44
4:58,2016,Avery Patterson made Jumper.,17,44
4:32,238,Matthew Fisher-Davis missed Three Point Jumper.,17,44
4:32,2016,Maurice Howard Defensive Rebound.,17,44
4:20,238,Foul on Saben Lee.,17,44
4:06,238,Foul on Saben Lee.,17,44
3:59,2016,Troymain Crosby missed Three Point Jumper.,17,44
3:59,238,Jeff Roberson Defensive Rebound.,17,44
3:29,238,Saben Lee made Layup.,17,46
3:17,2016,A.J. Mosby made Three Point Jumper. Assisted by Devon Brewer.,20,46
2:58,238,Jeff Roberson made Layup. Assisted by Saben Lee.,20,48
2:38,2016,Dante Sterling Turnover.,20,48
2:37,238,Matthew Fisher-Davis Steal.,20,48
2:35,238,Matthew Fisher-Davis made Dunk.,20,50
2:14,2016,Dante Sterling missed Jumper.,20,50
2:14,238,Joe Toye Defensive Rebound.,20,50
2:06,238,Jeff Roberson missed Three Point Jumper.,20,50
2:06,2016,A.J. Mosby Defensive Rebound.,20,50
2:00,238,Foul on Riley LaChance.,20,50
2:00,238,Official TV Timeout,20,50
2:00,2016,Avery Patterson made Free Throw.,21,50
2:00,2016,Avery Patterson made Free Throw.,22,50
1:33,238,Jeff Roberson missed Layup.,22,50
1:33,2016,A.J. Mosby Defensive Rebound.,22,50
1:28,2016,Avery Patterson missed Three Point Jumper.,22,50
1:28,238,Payton Willis Defensive Rebound.,22,50
1:24,2016,Foul on Dante Sterling.,22,50
1:10,238,Djery Baptiste made Layup. Assisted by Matthew Fisher-Davis.,22,52
0:51,2016,Kobe Wilson missed Three Point Jumper.,22,52
0:51,238,Matthew Fisher-Davis Defensive Rebound.,22,52
0:43,238,Payton Willis missed Three Point Jumper.,22,52
0:43,2016,A.J. Mosby Defensive Rebound.,22,52
0:31,238,Foul on Matthew Fisher-Davis.,22,52
0:31,2016,Maurice Howard made Free Throw.,23,52
0:31,2016,Maurice Howard made Free Throw.,24,52
0:04,238,Matthew Fisher-Davis missed Three Point Jumper.,24,52
0:04,2016,Kobe Wilson Defensive Rebound.,24,52
0:00,238,End of 1st half,24,52
19:36,2016,Avery Patterson missed Jumper.,24,52
19:36,238,Vanderbilt Defensive Rebound.,24,52
19:18,238,Matthew Fisher-Davis missed Jumper.,24,52
19:18,238,Jeff Roberson Offensive Rebound.,24,52
18:57,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,24,55
18:33,2016,A.J. Mosby made Jumper.,26,55
18:06,238,Riley LaChance missed Three Point Jumper.,26,55
18:06,238,Joe Toye Offensive Rebound.,26,55
18:03,2016,Foul on Devon Brewer.,26,55
18:00,238,Jeff Roberson Turnover.,26,55
18:00,2016,Avery Patterson Steal.,26,55
18:00,238,Foul on Jeff Roberson.,26,55
18:00,2016,Avery Patterson made Free Throw.,27,55
18:00,2016,Avery Patterson made Free Throw.,28,55
17:42,2016,Tyler Carter Turnover.,28,55
17:41,238,Jeff Roberson Steal.,28,55
17:21,238,Jeff Roberson made Three Point Jumper. Assisted by Matthew Fisher-Davis.,28,58
17:05,238,Foul on Jeff Roberson.,28,58
17:05,2016,Devon Brewer missed Free Throw.,28,58
17:05,2016,Alcorn State Deadball Team Rebound.,28,58
17:05,2016,Devon Brewer made Free Throw.,29,58
16:46,2016,Foul on Dante Sterling.,29,58
16:46,238,Saben Lee made Free Throw.,29,59
16:46,238,Saben Lee made Free Throw.,29,60
16:26,2016,Troymain Crosby missed Layup.,29,60
16:26,2016,Troymain Crosby Offensive Rebound.,29,60
16:23,2016,Troymain Crosby missed Layup.,29,60
16:23,238,Joe Toye Block.,29,60
16:21,238,Riley LaChance Defensive Rebound.,29,60
16:15,238,Matthew Fisher-Davis made Layup. Assisted by Riley LaChance.,29,62
16:05,2016,Devon Brewer missed Jumper.,29,62
16:05,238,Vanderbilt Defensive Rebound.,29,62
15:50,238,Matthew Fisher-Davis made Jumper.,29,64
15:20,2016,Troymain Crosby missed Jumper.,29,64
15:20,2016,Devon Brewer Offensive Rebound.,29,64
15:13,2016,Devon Brewer missed Jumper.,29,64
15:13,238,Jeff Roberson Block.,29,64
15:11,238,Jeff Roberson Defensive Rebound.,29,64
15:03,238,Riley LaChance made Layup.,29,66
15:02,2016,Alcorn State  Timeout,29,66
15:02,238,Official TV Timeout,29,66
14:54,2016,Kobe Wilson Turnover.,29,66
14:53,238,Matthew Fisher-Davis Steal.,29,66
14:42,238,Maxwell Evans Turnover.,29,66
14:29,2016,Troymain Crosby made Jumper.,31,66
14:13,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Jeff Roberson.,31,69
13:57,2016,Maurice Howard made Layup.,33,69
13:34,238,Riley LaChance made Three Point Jumper. Assisted by Jeff Roberson.,33,72
13:17,238,Foul on Maxwell Evans.,33,72
12:55,2016,A.J. Mosby missed Three Point Jumper.,33,72
12:55,238,Larry Austin Jr. Defensive Rebound.,33,72
12:48,238,Maxwell Evans missed Three Point Jumper.,33,72
12:48,2016,A.J. Mosby Defensive Rebound.,33,72
12:40,2016,A.J. Mosby missed Layup.,33,72
12:40,238,Clevon Brown Defensive Rebound.,33,72
12:09,238,Vanderbilt  Turnover.,33,72
12:02,238,Foul on Djery Baptiste.,33,72
11:49,2016,Maurice Howard missed Jumper.,33,72
11:49,238,Djery Baptiste Defensive Rebound.,33,72
11:22,238,Larry Austin Jr. missed Jumper.,33,72
11:22,2016,A.J. Mosby Defensive Rebound.,33,72
11:17,238,Foul on Larry Austin Jr..,33,72
11:17,238,Official TV Timeout,33,72
10:56,2016,Maurice Howard missed Jumper.,33,72
10:56,238,Vanderbilt Defensive Rebound.,33,72
10:25,238,Larry Austin Jr. missed Layup.,33,72
10:25,2016,Avery Patterson Defensive Rebound.,33,72
10:17,2016,A.J. Mosby missed Jumper.,33,72
10:17,2016,A.J. Mosby Offensive Rebound.,33,72
10:14,238,Foul on Larry Austin Jr..,33,72
9:58,2016,Dante Sterling missed Three Point Jumper.,33,72
9:58,238,Maxwell Evans Defensive Rebound.,33,72
9:40,238,Payton Willis Turnover.,33,72
9:21,238,Foul on Ejike Obinna.,33,72
9:21,2016,Devon Brewer missed Free Throw.,33,72
9:21,238,Clevon Brown Defensive Rebound.,33,72
9:05,238,Foul on Ejike Obinna.,33,72
9:05,238,Ejike Obinna Turnover.,33,72
8:51,2016,Devon Brewer made Layup.,35,72
8:27,238,Clevon Brown missed Three Point Jumper.,35,72
8:27,2016,Maurice Howard Defensive Rebound.,35,72
8:16,2016,Dante Sterling missed Layup.,35,72
8:16,2016,Alcorn State Offensive Rebound.,35,72
8:05,2016,A.J. Mosby missed Jumper.,35,72
8:05,238,Djery Baptiste Defensive Rebound.,35,72
7:58,238,Maxwell Evans made Three Point Jumper. Assisted by Saben Lee.,35,75
7:43,2016,Maurice Howard Turnover.,35,75
7:42,238,Saben Lee Steal.,35,75
7:39,238,Maxwell Evans made Dunk. Assisted by Saben Lee.,35,77
7:30,2016,Alcorn State  Timeout,35,77
7:30,238,Official TV Timeout,35,77
7:08,2016,Tyler Carter made Jumper. Assisted by Dante Sterling.,37,77
6:43,238,Saben Lee made Layup.,37,79
6:30,2016,Devon Brewer made Layup.,39,79
6:02,238,Maxwell Evans missed Three Point Jumper.,39,79
6:02,238,Saben Lee Offensive Rebound.,39,79
5:48,238,Saben Lee missed Jumper.,39,79
5:48,2016,Devon Brewer Defensive Rebound.,39,79
5:36,2016,Dante Sterling missed Three Point Jumper.,39,79
5:36,238,Maxwell Evans Defensive Rebound.,39,79
5:31,2016,Foul on Tyler Carter.,39,79
5:31,238,Official TV Timeout,39,79
5:31,238,Saben Lee made Free Throw.,39,80
5:31,238,Saben Lee made Free Throw.,39,81
5:25,2016,A.J. Mosby Turnover.,39,81
4:56,238,Payton Willis made Three Point Jumper. Assisted by Larry Austin Jr..,39,84
4:34,2016,Avery Patterson missed Three Point Jumper.,39,84
4:34,238,Vanderbilt Defensive Rebound.,39,84
4:02,238,Isaiah Rice Turnover.,39,84
3:52,2016,Dante Sterling made Three Point Jumper. Assisted by A.J. Mosby.,42,84
3:29,238,Maxwell Evans missed Layup.,42,84
3:29,2016,Devon Brewer Defensive Rebound.,42,84
3:24,2016,Avery Patterson missed Jumper.,42,84
3:24,238,Ejike Obinna Defensive Rebound.,42,84
3:08,2016,Foul on Devon Brewer.,42,84
3:08,238,Official TV Timeout,42,84
3:08,238,Ejike Obinna missed Free Throw.,42,84
3:08,238,Vanderbilt Deadball Team Rebound.,42,84
3:08,238,Ejike Obinna made Free Throw.,42,85
2:51,2016,Maurice Howard Turnover.,42,85
2:49,238,Payton Willis Steal.,42,85
2:48,238,Isaiah Rice missed Three Point Jumper.,42,85
2:48,238,Clevon Brown Offensive Rebound.,42,85
2:41,238,Clevon Brown missed Dunk.,42,85
2:41,238,Ejike Obinna Offensive Rebound.,42,85
2:39,238,Ejike Obinna made Dunk.,42,87
2:26,2016,Troymain Crosby made Layup.,44,87
2:02,2016,Foul on Troymain Crosby.,44,87
2:02,238,Clevon Brown made Free Throw.,44,88
2:02,238,Clevon Brown made Free Throw.,44,89
1:40,2016,Maurice Howard missed Three Point Jumper.,44,89
1:40,238,Ejike Obinna Defensive Rebound.,44,89
1:18,238,Clevon Brown missed Three Point Jumper.,44,89
1:18,2016,Troymain Crosby Defensive Rebound.,44,89
1:11,238,Foul on Isaiah Rice.,44,89
1:11,2016,Troymain Crosby made Free Throw.,45,89
1:11,2016,Troymain Crosby made Free Throw.,46,89
0:58,238,Isaiah Rice missed Three Point Jumper.,46,89
0:58,238,Ejike Obinna Offensive Rebound.,46,89
0:54,238,Ejike Obinna made Two Point Tip Shot.,46,91
0:41,238,Foul on Clevon Brown.,46,91
0:41,2016,Troymain Crosby made Free Throw.,47,91
0:41,2016,Troymain Crosby made Free Throw.,48,91
0:18,2016,Foul on James Stokes.,48,91
0:18,238,Isaiah Rice missed Free Throw.,48,91
0:18,238,Vanderbilt Deadball Team Rebound.,48,91
0:18,238,Isaiah Rice made Free Throw.,48,92
0:05,2016,Maurice Howard made Three Point Jumper. Assisted by James Stokes.,51,92
0:00,238,End of Game,51,92
