Lamar,302,UC Davis,2320
5:17,302,Arell Hennings missed Layup.,24,17
5:17,2320,James Harrison Defensive Rebound.,24,17
4:57,2320,Torey Noel Turnover.,24,17
4:28,302,A.J. John made Layup. Assisted by Delveion Jackson.,24,19
4:17,2320,Lamar  Timeout,24,19
4:04,2320,Joey Frenchwood missed Three Point Jumper.,24,19
4:04,302,TJ Shorts II Defensive Rebound.,24,19
3:56,302,Siler Schneider missed Jumper.,24,19
3:56,2320,Josh Nzeakor Defensive Rebound.,24,19
3:26,2320,Nick Garth made Layup.,26,19
3:12,302,Siler Schneider missed Three Point Jumper.,26,19
3:12,2320,James Harrison Defensive Rebound.,26,19
3:03,2320,Foul on Josh Nzeakor.,26,19
3:03,2320,Josh Nzeakor Turnover.,26,19
2:46,302,A.J. John made Three Point Jumper. Assisted by Michael Onyebalu.,26,22
2:26,2320,James Harrison Turnover.,26,22
2:03,302,Michael Onyebalu made Three Point Jumper. Assisted by Rogers Printup.,26,25
1:36,2320,Joey Frenchwood missed Jumper.,26,25
1:36,302,Michael Onyebalu Defensive Rebound.,26,25
1:25,302,Foul on TJ Shorts II.,26,25
1:25,302,TJ Shorts II Turnover.,26,25
1:09,2320,James Harrison made Jumper.,28,25
0:52,302,TJ Shorts II Turnover.,28,25
0:51,2320,Nick Garth Steal.,28,25
0:48,2320,Nick Garth Turnover.,28,25
0:47,302,Siler Schneider Steal.,28,25
0:37,302,TJ Shorts II made Layup.,28,27
0:09,2320,Joey Frenchwood made Free Throw.,29,27
0:09,2320,Joey Frenchwood made Free Throw.,30,27
0:09,302,UC Davis  Timeout,30,27
0:09,302,Foul on Siler Schneider.,28,27
0:03,302,Joe Mooney made Jumper. Assisted by Rogers Printup.,30,29
0:00,302,End of 1st half,30,29
19:33,2320,Josh Nzeakor made Layup. Assisted by Joey Frenchwood.,32,29
19:20,302,Garrison Goode made Layup. Assisted by Siler Schneider.,32,31
18:58,2320,Josh Nzeakor missed Jumper.,32,31
18:58,302,Siler Schneider Defensive Rebound.,32,31
18:52,302,Siler Schneider made Three Point Jumper.,32,34
18:19,2320,Josh Nzeakor missed Layup.,32,34
18:19,302,Michael Onyebalu Defensive Rebound.,32,34
18:08,302,TJ Shorts II made Layup. Assisted by Garrison Goode.,32,36
17:48,2320,Colton Weisbrod Turnover.,32,36
17:38,302,TJ Shorts II missed Three Point Jumper.,32,36
17:38,2320,Joey Frenchwood Defensive Rebound.,32,36
17:19,2320,James Harrison missed Three Point Jumper.,32,36
17:19,302,TJ Shorts II Defensive Rebound.,32,36
17:11,302,Siler Schneider missed Layup.,32,36
17:11,2320,Colton Weisbrod Defensive Rebound.,32,36
16:44,2320,James Harrison missed Jumper.,32,36
16:44,2320,Zjori Bosha Offensive Rebound.,32,36
16:39,2320,Zjori Bosha missed Layup.,32,36
16:39,2320,Zjori Bosha Offensive Rebound.,32,36
16:33,2320,Zjori Bosha missed Layup.,32,36
16:33,2320,Josh Nzeakor Offensive Rebound.,32,36
16:31,2320,Josh Nzeakor made Layup.,34,36
16:12,302,Garrison Goode made Jumper.,34,38
15:53,2320,Josh Nzeakor missed Layup.,34,38
15:53,302,Michael Onyebalu Defensive Rebound.,34,38
15:36,302,Garrison Goode missed Jumper.,34,38
15:36,2320,Josh Nzeakor Defensive Rebound.,34,38
15:28,2320,Zjori Bosha missed Three Point Jumper.,34,38
15:28,302,Michael Onyebalu Defensive Rebound.,34,38
15:15,302,A.J. John missed Three Point Jumper.,34,38
15:15,2320,Zjori Bosha Defensive Rebound.,34,38
14:47,2320,James Harrison made Layup.,36,38
14:31,302,Siler Schneider missed Layup.,36,38
14:31,2320,Zjori Bosha Block.,36,38
14:31,302,UC Davis Offensive Rebound.,36,38
14:31,302,Official TV Timeout,36,38
14:29,302,Michael Onyebalu Turnover.,36,38
14:28,2320,Zjori Bosha Steal.,36,38
14:25,2320,Colton Weisbrod missed Layup.,36,38
14:25,2320,Josh Nzeakor Offensive Rebound.,36,38
14:19,2320,Josh Nzeakor made Two Point Tip Shot.,38,38
14:06,2320,Foul on James Harrison.,38,38
14:06,302,TJ Shorts II made Free Throw.,38,39
14:06,302,TJ Shorts II made Free Throw.,38,40
13:52,302,Foul on Garrison Goode.,38,40
13:41,2320,Zjori Bosha Turnover.,38,40
13:39,302,Garrison Goode Steal.,38,40
13:33,302,Joe Mooney made Three Point Jumper. Assisted by Arell Hennings.,38,43
13:11,2320,Torey Noel Turnover.,38,43
13:09,302,Arell Hennings Steal.,38,43
12:51,302,UC Davis  Timeout,38,43
12:49,2320,Foul on Colton Weisbrod.,38,43
12:44,302,Siler Schneider made Jumper. Assisted by Joe Mooney.,38,45
12:14,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,40,45
11:59,302,A.J. John made Three Point Jumper. Assisted by Arell Hennings.,40,48
11:34,2320,Zjori Bosha Turnover.,40,48
11:32,302,Arell Hennings Steal.,40,48
11:28,302,A.J. John made Dunk. Assisted by Arell Hennings.,40,50
11:27,2320,Lamar  Timeout,40,50
11:04,302,Foul on Joe Mooney.,40,50
11:04,2320,Colton Weisbrod made Free Throw.,41,50
11:04,2320,Colton Weisbrod made Free Throw.,42,50
10:37,302,A.J. John missed Three Point Jumper.,42,50
10:37,302,Colin Russell Offensive Rebound.,42,50
10:31,302,Colin Russell made Layup.,42,52
10:13,2320,Torey Noel missed Three Point Jumper.,42,52
10:13,302,Delveion Jackson Defensive Rebound.,42,52
9:52,302,UC Davis  Timeout,42,52
9:52,2320,Foul on James Harrison.,42,52
9:31,302,A.J. John missed Three Point Jumper.,42,52
9:31,2320,T.J. Atwood Defensive Rebound.,42,52
9:17,2320,Torey Noel missed Jumper.,42,52
9:17,302,Delveion Jackson Defensive Rebound.,42,52
9:04,302,Joe Mooney missed Three Point Jumper.,42,52
9:04,2320,Nick Garth Defensive Rebound.,42,52
8:52,302,Foul on Joe Mooney.,42,52
8:41,2320,T.J. Atwood missed Three Point Jumper.,42,52
8:41,302,Garrison Goode Defensive Rebound.,42,52
8:35,2320,Foul on T.J. Atwood.,42,52
8:35,302,Siler Schneider made Free Throw.,42,53
8:35,302,Siler Schneider made Free Throw.,42,54
8:12,2320,Joey Frenchwood made Jumper.,44,54
7:45,302,Rogers Printup made Three Point Jumper. Assisted by Garrison Goode.,44,57
7:36,2320,Nick Garth made Three Point Jumper.,47,57
7:07,302,Rogers Printup missed Three Point Jumper.,47,57
7:07,2320,Zjori Bosha Defensive Rebound.,47,57
6:57,2320,Colton Weisbrod missed Jumper.,47,57
6:57,2320,Joey Frenchwood Offensive Rebound.,47,57
6:54,2320,Nick Garth made Three Point Jumper. Assisted by Joey Frenchwood.,50,57
6:38,302,Foul on Garrison Goode.,50,57
6:38,302,Garrison Goode Turnover.,50,57
6:38,302,Official TV Timeout,50,57
6:13,2320,Colton Weisbrod missed Layup.,50,57
6:13,2320,Colton Weisbrod Offensive Rebound.,50,57
6:11,2320,Colton Weisbrod made Layup.,52,57
6:11,302,Foul on A.J. John.,52,57
6:11,2320,Colton Weisbrod missed Free Throw.,52,57
6:11,302,Michael Onyebalu Defensive Rebound.,52,57
6:05,302,TJ Shorts II Turnover.,52,57
6:04,2320,Joey Frenchwood Steal.,52,57
5:56,2320,Colton Weisbrod Turnover.,52,57
5:32,302,TJ Shorts II made Layup.,52,59
5:12,2320,Nick Garth made Three Point Jumper. Assisted by Joey Frenchwood.,55,59
5:05,302,Siler Schneider made Layup. Assisted by A.J. John.,55,61
4:39,2320,Joey Frenchwood made Layup.,57,61
4:24,302,TJ Shorts II made Layup.,57,63
4:24,2320,Foul on Joey Frenchwood.,57,63
4:24,302,TJ Shorts II made Free Throw.,57,64
4:11,2320,Joey Frenchwood made Three Point Jumper. Assisted by James Harrison.,60,64
4:05,2320,Foul on Zjori Bosha.,60,64
3:52,302,Siler Schneider missed Layup.,60,64
3:52,2320,Zjori Bosha Defensive Rebound.,60,64
3:34,2320,Joey Frenchwood missed Jumper.,60,64
3:34,302,Rogers Printup Defensive Rebound.,60,64
3:26,2320,Foul on Zjori Bosha.,60,64
3:26,302,Official TV Timeout,60,64
3:26,302,TJ Shorts II made Free Throw.,60,65
3:26,302,TJ Shorts II made Free Throw.,60,66
3:08,2320,James Harrison missed Three Point Jumper.,60,66
3:08,2320,Lamar Offensive Rebound.,60,66
2:58,2320,Zjori Bosha missed Three Point Jumper.,60,66
2:58,302,Garrison Goode Defensive Rebound.,60,66
2:37,302,Michael Onyebalu made Three Point Jumper. Assisted by TJ Shorts II.,60,69
2:08,2320,Colton Weisbrod made Layup.,62,69
2:08,302,Foul on A.J. John.,62,69
2:08,2320,Colton Weisbrod made Free Throw.,63,69
2:07,2320,Foul on James Harrison.,63,69
2:07,302,TJ Shorts II made Free Throw.,63,70
2:07,302,TJ Shorts II made Free Throw.,63,71
1:52,2320,Colton Weisbrod Turnover.,63,71
1:51,302,Siler Schneider Steal.,63,71
1:30,2320,Foul on Joey Frenchwood.,63,71
1:30,302,TJ Shorts II made Free Throw.,63,72
1:30,302,TJ Shorts II made Free Throw.,63,73
1:07,2320,Colton Weisbrod missed Layup.,63,73
1:07,302,Delveion Jackson Defensive Rebound.,63,73
0:58,302,Delveion Jackson made Dunk. Assisted by TJ Shorts II.,63,75
0:45,2320,Torey Noel made Jumper.,65,75
0:40,2320,Foul on Torey Noel.,65,75
0:40,302,TJ Shorts II made Free Throw.,65,76
0:40,302,TJ Shorts II made Free Throw.,65,77
0:30,2320,Nick Garth made Layup.,67,77
0:30,302,Foul on Michael Onyebalu.,67,77
0:30,2320,Nick Garth made Free Throw.,68,77
0:00,302,End of Game,68,77
