Montana,264,Washington,149
14:27,149,Ahmaad Rorie missed Jumper.,6,12
14:27,264,Sam Timmins Block.,6,12
14:27,149,Montana Offensive Rebound.,6,12
14:20,149,Ahmaad Rorie missed Jumper.,6,12
14:20,264,Noah Dickerson Defensive Rebound.,6,12
14:08,149,Foul on Fabijan Krslovic.,6,12
14:08,264,Matisse Thybulle made Free Throw.,6,14
14:08,264,Matisse Thybulle made Free Throw.,6,13
14:08,149,Technical Foul on Montana.,6,12
13:59,264,David Crisp made Layup.,6,16
13:47,149,Jamar Akoh missed Jumper.,6,16
13:47,264,Hameir Wright Defensive Rebound.,6,16
13:37,149,Foul on Jamar Akoh.,6,16
13:37,149,Montana  Timeout,6,16
13:34,264,Noah Dickerson missed Jumper.,6,16
13:34,264,Hameir Wright Offensive Rebound.,6,16
13:31,264,Hameir Wright missed Jumper.,6,16
13:31,149,Michael Oguine Defensive Rebound.,6,16
13:26,149,Michael Oguine missed Jumper.,6,16
13:26,264,Nahziah Carter Block.,6,16
13:26,149,Montana Offensive Rebound.,6,16
13:20,149,Ahmaad Rorie missed Jumper.,6,16
13:20,264,David Crisp Defensive Rebound.,6,16
13:01,264,David Crisp Turnover.,6,16
12:36,149,Michael Oguine missed Jumper.,6,16
12:36,264,Matisse Thybulle Block.,6,16
12:33,264,Nahziah Carter Defensive Rebound.,6,16
12:30,264,Nahziah Carter missed Jumper.,6,16
12:30,149,Ahmaad Rorie Defensive Rebound.,6,16
12:19,149,Ahmaad Rorie Turnover.,6,16
12:17,264,David Crisp Steal.,6,16
12:04,264,Jaylen Nowell Turnover.,6,16
12:01,149,Sayeed Pridgett Steal.,6,16
11:56,264,Official TV Timeout,6,16
11:56,264,Foul on Sam Timmins.,6,16
11:56,264,Official TV Timeout,6,16
11:55,149,Michael Oguine made Dunk. Assisted by Ahmaad Rorie.,8,16
11:39,264,Matisse Thybulle Turnover.,8,16
11:37,149,Ahmaad Rorie Steal.,8,16
11:26,149,Bobby Moorehead Turnover.,8,16
11:15,264,Nahziah Carter made Jumper.,8,18
11:04,149,Jamar Akoh missed Jumper.,8,18
11:04,264,Hameir Wright Block.,8,18
11:02,149,Sayeed Pridgett Offensive Rebound.,8,18
10:59,149,Sayeed Pridgett missed Jumper.,8,18
10:59,264,Hameir Wright Block.,8,18
10:57,264,Hameir Wright Defensive Rebound.,8,18
10:53,264,Nahziah Carter Turnover.,8,18
10:42,149,Sayeed Pridgett missed Jumper.,8,18
10:42,264,Sam Timmins Defensive Rebound.,8,18
10:17,149,Foul on Ahmaad Rorie.,8,18
10:17,264,Sam Timmins made Free Throw.,8,19
10:17,264,Sam Timmins made Free Throw.,8,20
9:59,149,Ahmaad Rorie made Three Point Jumper. Assisted by Michael Oguine.,11,20
9:46,264,Hameir Wright Turnover.,11,20
9:20,149,Ahmaad Rorie missed Jumper.,11,20
9:20,149,Fabijan Krslovic Offensive Rebound.,11,20
9:15,149,Fabijan Krslovic missed Layup.,11,20
9:15,149,Jamar Akoh Offensive Rebound.,11,20
9:12,149,Jamar Akoh made Layup.,13,20
8:44,264,Noah Dickerson Turnover.,13,20
8:44,149,Michael Oguine Steal.,13,20
8:40,264,Foul on Nahziah Carter.,13,20
8:21,149,Michael Oguine missed Three Point Jumper.,13,20
8:21,149,Jamar Akoh Offensive Rebound.,13,20
8:16,149,Jamar Akoh made Layup.,15,20
7:50,149,Foul on Jamar Akoh.,15,20
7:50,264,Official TV Timeout,15,20
7:50,264,Noah Dickerson made Free Throw.,15,21
7:50,264,Noah Dickerson made Free Throw.,15,22
7:39,149,Ahmaad Rorie made Jumper.,17,22
7:16,264,Noah Dickerson missed Jumper.,17,22
7:16,149,Karl Nicholas Block.,17,22
7:13,264,Noah Dickerson Offensive Rebound.,17,22
7:13,264,Noah Dickerson missed Jumper.,17,22
7:13,149,Montana Deadball Team Rebound.,17,22
6:51,149,Ahmaad Rorie missed Three Point Jumper.,17,22
6:51,264,Noah Dickerson Block.,17,22
6:48,264,Matisse Thybulle Defensive Rebound.,17,22
6:29,264,Sam Timmins made Dunk.,17,24
6:05,149,Fabijan Krslovic Turnover.,17,24
5:42,264,Sam Timmins made Jumper.,17,26
5:30,149,Michael Oguine Turnover.,17,26
5:28,264,David Crisp Steal.,17,26
5:22,264,David Crisp Turnover.,17,26
5:12,149,Bobby Moorehead Turnover.,17,26
5:11,264,Sam Timmins Steal.,17,26
5:01,264,David Crisp Turnover.,17,26
4:59,149,Timmy Falls Steal.,17,26
4:57,149,Ahmaad Rorie made Layup.,19,26
4:34,264,David Crisp missed Three Point Jumper.,19,26
4:34,149,Ahmaad Rorie Defensive Rebound.,19,26
4:28,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,22,26
4:09,264,Foul on Noah Dickerson.,22,26
4:09,264,Noah Dickerson Turnover.,22,26
4:09,264,Washington  Timeout,22,26
3:46,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,25,26
3:32,264,Matisse Thybulle missed Three Point Jumper.,25,26
3:32,149,Montana Deadball Team Rebound.,25,26
3:31,264,Foul on Noah Dickerson.,25,26
3:13,149,Jamar Akoh made Layup. Assisted by Bobby Moorehead.,27,26
2:50,264,Matisse Thybulle missed Jumper.,27,26
2:50,149,Sayeed Pridgett Defensive Rebound.,27,26
2:37,149,Jamar Akoh made Layup. Assisted by Timmy Falls.,29,26
2:20,264,Nahziah Carter made Three Point Jumper. Assisted by David Crisp.,29,29
2:03,149,Bobby Moorehead missed Jumper.,29,29
2:03,264,Sam Timmins Block.,29,29
2:02,149,Sayeed Pridgett Offensive Rebound.,29,29
2:02,264,Foul on Jaylen Nowell.,29,29
1:48,149,Sayeed Pridgett Turnover.,29,29
1:46,264,Jaylen Nowell Steal.,29,29
1:44,264,Jaylen Nowell made Layup. Assisted by David Crisp.,29,31
1:24,149,Timmy Falls missed Jumper.,29,31
1:24,149,Karl Nicholas Offensive Rebound.,29,31
1:21,149,Karl Nicholas missed Layup.,29,31
1:21,264,David Crisp Defensive Rebound.,29,31
1:15,264,Nahziah Carter missed Three Point Jumper.,29,31
1:15,149,Karl Nicholas Defensive Rebound.,29,31
0:54,149,Karl Nicholas missed Layup.,29,31
0:54,264,Sam Timmins Block.,29,31
0:52,149,Ahmaad Rorie Offensive Rebound.,29,31
0:49,149,Ahmaad Rorie missed Layup.,29,31
0:49,264,Sam Timmins Defensive Rebound.,29,31
0:42,264,Foul on Matisse Thybulle.,29,31
0:42,264,Matisse Thybulle Turnover.,29,31
0:22,149,Bobby Moorehead made Three Point Jumper.,32,31
0:09,264,Jaylen Nowell made Jumper.,32,33
0:00,264,End of 1st half,32,33
19:34,149,Fabijan Krslovic made Dunk. Assisted by Michael Oguine.,34,33
19:20,264,Jaylen Nowell missed Three Point Jumper.,34,33
19:20,149,Ahmaad Rorie Defensive Rebound.,34,33
19:06,149,Michael Oguine made Layup. Assisted by Fabijan Krslovic.,36,33
18:53,264,Jaylen Nowell missed Jumper.,36,33
18:53,264,Noah Dickerson Offensive Rebound.,36,33
18:50,264,Noah Dickerson made Layup.,36,35
18:50,149,Foul on Jamar Akoh.,36,35
18:50,264,Noah Dickerson missed Free Throw.,36,35
18:50,149,Montana Defensive Rebound.,36,35
18:38,149,Ahmaad Rorie missed Three Point Jumper.,36,35
18:38,264,Washington Defensive Rebound.,36,35
18:27,264,Jaylen Nowell missed Jumper.,36,35
18:27,149,Ahmaad Rorie Defensive Rebound.,36,35
18:16,149,Jamar Akoh missed Layup.,36,35
18:16,149,Montana Offensive Rebound.,36,35
18:11,264,Foul on David Crisp.,36,35
18:08,149,Jamar Akoh Turnover.,36,35
18:06,264,Noah Dickerson Steal.,36,35
17:53,264,Jaylen Nowell missed Jumper.,36,35
17:53,149,Fabijan Krslovic Defensive Rebound.,36,35
17:39,149,Ahmaad Rorie Turnover.,36,35
17:38,264,Jaylen Nowell Steal.,36,35
17:38,264,Jaylen Nowell made Layup.,36,37
17:38,149,Foul on Ahmaad Rorie.,36,37
17:38,264,Jaylen Nowell made Free Throw.,36,38
17:22,149,Fabijan Krslovic missed Layup.,36,38
17:22,264,Hameir Wright Block.,36,38
17:20,264,Washington Defensive Rebound.,36,38
17:09,264,Matisse Thybulle Turnover.,36,38
16:48,149,Foul on Sayeed Pridgett.,36,38
16:48,149,Sayeed Pridgett Turnover.,36,38
16:25,264,Jaylen Nowell made Jumper.,36,40
16:11,149,Timmy Falls missed Jumper.,36,40
16:11,264,Noah Dickerson Defensive Rebound.,36,40
16:02,264,Jaylen Nowell missed Jumper.,36,40
16:02,264,Hameir Wright Offensive Rebound.,36,40
15:58,264,Hameir Wright made Layup.,36,42
15:43,149,Ahmaad Rorie Turnover.,36,42
15:42,264,Matisse Thybulle Steal.,36,42
15:38,264,Official TV Timeout,36,42
15:31,264,Matisse Thybulle Turnover.,36,42
15:27,149,Ahmaad Rorie made Jumper.,38,42
15:08,264,Hameir Wright made Jumper.,38,44
14:41,149,Bobby Moorehead missed Three Point Jumper.,38,44
14:41,264,Hameir Wright Defensive Rebound.,38,44
14:35,264,Matisse Thybulle missed Three Point Jumper.,38,44
14:35,149,Ahmaad Rorie Defensive Rebound.,38,44
14:23,149,Bobby Moorehead Turnover.,38,44
14:11,264,David Crisp Turnover.,38,44
14:09,149,Fabijan Krslovic Steal.,38,44
14:07,149,Ahmaad Rorie made Layup.,40,44
13:42,149,Foul on Fabijan Krslovic.,40,44
13:26,264,Hameir Wright made Jumper. Assisted by Jaylen Nowell.,40,46
13:11,149,Ahmaad Rorie missed Three Point Jumper.,40,46
13:11,149,Fabijan Krslovic Offensive Rebound.,40,46
13:05,149,Bobby Moorehead missed Three Point Jumper.,40,46
13:05,264,Noah Dickerson Defensive Rebound.,40,46
12:45,264,David Crisp made Jumper.,40,48
12:22,149,Fabijan Krslovic missed Jumper.,40,48
12:22,149,Fabijan Krslovic Offensive Rebound.,40,48
12:17,149,Ahmaad Rorie made Jumper.,42,48
11:58,264,Hameir Wright made Three Point Jumper. Assisted by Jaylen Nowell.,42,51
11:55,149,Montana  Timeout,42,51
11:39,264,Foul on Jaylen Nowell.,42,51
11:39,149,Timmy Falls made Free Throw.,43,51
11:39,149,Timmy Falls made Free Throw.,44,51
11:23,264,Sam Timmins missed Jumper.,44,51
11:23,149,Bobby Moorehead Block.,44,51
11:20,149,Fabijan Krslovic Defensive Rebound.,44,51
11:13,149,Bobby Moorehead made Jumper.,46,51
10:41,264,Sam Timmins made Jumper.,46,53
10:19,149,Ahmaad Rorie made Jumper.,48,53
9:47,264,Jaylen Nowell missed Jumper.,48,53
9:47,149,Fabijan Krslovic Defensive Rebound.,48,53
9:40,264,Foul on Nahziah Carter.,48,53
9:33,149,Bobby Moorehead missed Three Point Jumper.,48,53
9:33,264,David Crisp Defensive Rebound.,48,53
9:21,149,Foul on Timmy Falls.,48,53
9:21,264,Sam Timmins missed Free Throw.,48,53
9:21,264,Washington Deadball Team Rebound.,48,53
9:21,264,Sam Timmins made Free Throw.,48,54
9:03,149,Ahmaad Rorie missed Three Point Jumper.,48,54
9:03,149,Sayeed Pridgett Offensive Rebound.,48,54
9:00,149,Sayeed Pridgett made Layup.,50,54
8:48,264,Jaylen Nowell missed Jumper.,50,54
8:48,149,Jamar Akoh Defensive Rebound.,50,54
8:41,149,Sayeed Pridgett made Layup.,52,54
8:14,264,Matisse Thybulle missed Jumper.,52,54
8:14,149,Timmy Falls Defensive Rebound.,52,54
8:03,149,Jamar Akoh Turnover.,52,54
8:02,264,Nahziah Carter Steal.,52,54
7:59,264,Nahziah Carter made Layup.,52,56
7:41,264,Official TV Timeout,52,56
7:41,149,Sayeed Pridgett Turnover.,52,56
7:41,264,Official TV Timeout,52,56
7:36,149,Foul on Jamar Akoh.,52,56
7:22,149,Foul on Timmy Falls.,52,56
7:22,264,Hameir Wright made Free Throw.,52,57
7:22,264,Hameir Wright made Free Throw.,52,58
7:06,149,Timmy Falls Turnover.,52,58
6:58,149,Foul on Sayeed Pridgett.,52,58
6:58,264,Nahziah Carter made Free Throw.,52,59
6:58,264,Nahziah Carter missed Free Throw.,52,59
6:58,149,Bobby Moorehead Defensive Rebound.,52,59
6:34,149,Bobby Moorehead made Three Point Jumper. Assisted by Fabijan Krslovic.,55,59
6:09,264,Noah Dickerson missed Layup.,55,59
6:09,264,Noah Dickerson Offensive Rebound.,55,59
6:08,149,Foul on Sayeed Pridgett.,55,59
6:08,264,Noah Dickerson made Free Throw.,55,60
6:08,264,Noah Dickerson made Free Throw.,55,61
5:51,264,Foul on Noah Dickerson.,55,61
5:51,149,Jamar Akoh made Free Throw.,56,61
5:51,149,Jamar Akoh missed Free Throw.,56,61
5:51,149,Michael Oguine Offensive Rebound.,56,61
5:41,149,Ahmaad Rorie missed Three Point Jumper.,56,61
5:41,149,Jamar Akoh Offensive Rebound.,56,61
5:37,149,Jamar Akoh made Layup.,58,61
5:19,264,Matisse Thybulle missed Dunk.,58,61
5:19,149,Michael Oguine Defensive Rebound.,58,61
5:08,149,Ahmaad Rorie made Layup.,60,61
5:03,264,Washington  Timeout,60,61
4:46,264,Hameir Wright Turnover.,60,61
4:20,149,Ahmaad Rorie missed Jumper.,60,61
4:20,149,Jamar Akoh Offensive Rebound.,60,61
4:16,149,Jamar Akoh made Layup.,62,61
3:58,264,Hameir Wright missed Jumper.,62,61
3:58,149,Fabijan Krslovic Block.,62,61
3:58,264,Washington Offensive Rebound.,62,61
3:55,264,Official TV Timeout,62,61
3:48,264,Hameir Wright missed Jumper.,62,61
3:48,149,Jamar Akoh Block.,62,61
3:45,149,Michael Oguine Defensive Rebound.,62,61
3:44,264,Foul on David Crisp.,62,61
3:17,149,Bobby Moorehead missed Three Point Jumper.,62,61
3:17,264,Washington Deadball Team Rebound.,62,61
3:15,149,Montana  Timeout,62,61
3:05,264,Jaylen Nowell made Jumper.,62,63
2:32,149,Fabijan Krslovic missed Jumper.,62,63
2:32,264,David Crisp Defensive Rebound.,62,63
2:01,264,Hameir Wright Turnover.,62,63
1:49,264,Foul on Jaylen Nowell.,62,63
1:30,149,Ahmaad Rorie missed Jumper.,62,63
1:30,149,Ahmaad Rorie Offensive Rebound.,62,63
1:27,149,Ahmaad Rorie missed Jumper.,62,63
1:27,264,Hameir Wright Block.,62,63
1:25,264,Sam Timmins Defensive Rebound.,62,63
1:20,264,Jaylen Nowell Turnover.,62,63
1:19,149,Fabijan Krslovic Steal.,62,63
1:13,149,Foul on Michael Oguine.,62,63
1:13,149,Michael Oguine Turnover.,62,63
1:13,264,Washington  Timeout,62,63
0:45,264,Hameir Wright missed Three Point Jumper.,62,63
0:45,149,Montana Deadball Team Rebound.,62,63
0:17,149,Ahmaad Rorie missed Jumper.,62,63
0:17,264,David Crisp Defensive Rebound.,62,63
0:12,149,Foul on Bobby Moorehead.,62,63
0:12,264,David Crisp missed Free Throw.,62,63
0:12,264,Washington Deadball Team Rebound.,62,63
0:12,149,Montana  Timeout,62,63
0:12,264,David Crisp made Free Throw.,62,64
0:06,264,Foul on David Crisp.,62,64
0:06,149,Michael Oguine made Free Throw.,63,64
0:06,149,Michael Oguine missed Free Throw.,63,64
0:04,264,David Crisp Defensive Rebound.,63,64
0:02,149,Foul on Fabijan Krslovic.,63,64
0:02,149,Montana  Timeout,63,64
0:02,264,Matisse Thybulle made Free Throw.,63,65
0:02,264,Matisse Thybulle made Free Throw.,63,66
0:00,264,End of Game,63,66
