Pittsburgh-Bradford,Error,Colgate,2142
10:12,-1,Colby Mills missed Three Point Jumper.,8,25
10:12,2142,Malcolm Regisford Defensive Rebound.,8,25
9:51,2142,Malcolm Regisford Turnover.,8,25
9:50,-1,Dylan Mitchell Steal.,8,25
9:35,-1,Dylan Mitchell made Jumper.,10,25
9:12,2142,Jordan Robertson missed Three Point Jumper.,10,25
9:12,-1,Pittsburgh-Bradford Defensive Rebound.,10,25
8:50,-1,Malique McCoy missed Layup.,10,25
8:50,2142,Will Rayman Block.,10,25
8:50,-1,Pittsburgh-Bradford Offensive Rebound.,10,25
8:43,-1,Reginald Rogers Turnover.,10,25
8:29,2142,Will Rayman missed Three Point Jumper.,10,25
8:29,2142,David Maynard Offensive Rebound.,10,25
8:24,2142,Francisco Amiel missed Three Point Jumper.,10,25
8:24,2142,Dana Batt Offensive Rebound.,10,25
8:18,2142,Dana Batt made Layup.,10,27
8:13,-1,Reginald Rogers missed Layup.,10,27
8:13,2142,Will Rayman Block.,10,27
8:09,2142,Will Rayman Defensive Rebound.,10,27
8:03,-1,Foul on Sahlil Harris.,10,27
8:03,2142,Will Rayman made Free Throw.,10,28
8:03,2142,Will Rayman made Free Throw.,10,29
7:56,-1,Christian Perkins missed Three Point Jumper.,10,29
7:56,2142,Will Rayman Defensive Rebound.,10,29
7:44,2142,Will Rayman made Layup. Assisted by Jordan Burns.,10,31
7:44,2142,Colgate  Timeout,10,31
7:25,-1,Malique McCoy made Layup. Assisted by Sahlil Harris.,12,31
7:06,2142,David Maynard Turnover.,12,31
6:55,-1,Christian Perkins missed Jumper.,12,31
6:55,2142,Francisco Amiel Defensive Rebound.,12,31
6:47,2142,Hugh Baxter made Layup. Assisted by Jordan Burns.,12,33
6:31,-1,Christian Perkins missed Jumper.,12,33
6:31,2142,Francisco Amiel Defensive Rebound.,12,33
6:19,2142,Hugh Baxter missed Three Point Jumper.,12,33
6:19,-1,Sahlil Harris Defensive Rebound.,12,33
5:44,-1,Malique McCoy made Three Point Jumper.,15,33
5:35,2142,Hugh Baxter made Jumper. Assisted by Francisco Amiel.,15,35
5:12,-1,Malique McCoy missed Layup.,15,35
5:12,2142,Francisco Amiel Defensive Rebound.,15,35
5:05,2142,David Maynard made Layup.,15,37
4:38,-1,Sahlil Harris missed Layup.,15,37
4:38,2142,Dana Batt Defensive Rebound.,15,37
4:24,2142,Dana Batt missed Layup.,15,37
4:24,-1,Dylan Mitchell Defensive Rebound.,15,37
4:16,-1,Christian Perkins missed Layup.,15,37
4:16,2142,Dana Batt Defensive Rebound.,15,37
4:13,-1,Foul on Christian Perkins.,15,37
4:13,2142,Dana Batt made Free Throw.,15,38
4:13,2142,Hugh Baxter Turnover.,15,38
4:13,-1,Malique McCoy missed Three Point Jumper.,15,38
4:13,2142,Malcolm Regisford Defensive Rebound.,15,38
3:59,2142,Jordan Burns missed Jumper.,15,38
3:59,2142,Hugh Baxter Offensive Rebound.,15,38
3:49,2142,Malcolm Regisford made Layup. Assisted by Hugh Baxter.,15,40
3:26,-1,Reginald Rogers made Jumper.,17,40
3:09,2142,Malcolm Regisford missed Dunk.,17,40
3:09,-1,Reginald Rogers Defensive Rebound.,17,40
2:57,-1,Dylan Mitchell Turnover.,17,40
2:56,2142,Francisco Amiel Steal.,17,40
2:52,2142,Sean O'Brien missed Three Point Jumper.,17,40
2:52,2142,Hugh Baxter Offensive Rebound.,17,40
2:47,2142,Sean O'Brien missed Three Point Jumper.,17,40
2:47,-1,Dylan Mitchell Defensive Rebound.,17,40
2:36,-1,Malique McCoy made Three Point Jumper. Assisted by Reginald Rogers.,20,40
2:21,2142,Hugh Baxter made Three Point Jumper. Assisted by Malcolm Regisford.,20,43
1:56,2142,Foul on Jordan Burns.,20,43
1:54,2142,Official TV Timeout,20,43
1:25,-1,Dylan Niedermeyer missed Layup.,20,43
1:25,2142,Sean O'Brien Defensive Rebound.,20,43
1:12,2142,Jordan Swopshire missed Jumper.,20,43
1:12,2142,Jack Ferguson Offensive Rebound.,20,43
1:08,2142,Jack Ferguson made Layup.,20,45
0:56,-1,Reginald Rogers missed Jumper.,20,45
0:56,2142,Sam Lindgren Defensive Rebound.,20,45
0:27,2142,Sean O'Brien missed Three Point Jumper.,20,45
0:27,2142,Jordan Swopshire Offensive Rebound.,20,45
0:24,2142,Jordan Swopshire made Layup.,20,47
0:09,-1,Malique McCoy missed Three Point Jumper.,20,47
0:09,2142,Sam Lindgren Defensive Rebound.,20,47
0:01,2142,Jordan Swopshire made Layup.,20,49
0:00,2142,End of 1st half,20,49
19:43,-1,Reginald Rogers Turnover.,20,49
19:41,2142,Jordan Swopshire Steal.,20,49
19:23,2142,Sean O'Brien made Layup.,20,51
18:57,-1,Dylan Mitchell made Jumper. Assisted by Colby Mills.,22,51
18:36,-1,Foul on Dylan Mitchell.,22,51
18:33,2142,Dana Batt made Dunk.,22,53
18:19,-1,Colby Mills made Three Point Jumper. Assisted by Reginald Rogers.,25,53
18:01,2142,Dana Batt made Layup.,25,55
17:52,-1,Dylan Mitchell made Layup.,27,55
17:52,2142,Foul on Dana Batt.,27,55
17:52,-1,Dylan Mitchell missed Free Throw.,27,55
17:52,2142,Dana Batt Defensive Rebound.,27,55
17:45,2142,Jordan Swopshire made Layup. Assisted by Jordan Burns.,27,57
17:38,-1,Colby Mills missed Three Point Jumper.,27,57
17:38,2142,Jordan Burns Defensive Rebound.,27,57
17:31,-1,Foul on Dylan Mitchell.,27,57
17:31,2142,Will Rayman made Free Throw.,27,58
17:31,2142,Will Rayman made Free Throw.,27,59
17:21,-1,Jacob Sutton missed Layup.,27,59
17:21,2142,Jordan Swopshire Defensive Rebound.,27,59
17:15,2142,Foul on Jordan Swopshire.,27,59
17:15,2142,Jordan Swopshire Turnover.,27,59
16:56,-1,Malique McCoy missed Layup.,27,59
16:56,-1,Malique McCoy Offensive Rebound.,27,59
16:51,-1,Reginald Rogers missed Jumper.,27,59
16:51,2142,Will Rayman Block.,27,59
16:51,-1,Pittsburgh-Bradford Offensive Rebound.,27,59
16:47,-1,Dylan Niedermeyer missed Jumper.,27,59
16:47,-1,Pittsburgh-Bradford Offensive Rebound.,27,59
16:37,-1,Malique McCoy missed Three Point Jumper.,27,59
16:37,2142,Dana Batt Defensive Rebound.,27,59
16:20,2142,Jordan Swopshire Turnover.,27,59
15:52,-1,Colby Mills made Three Point Jumper. Assisted by Malique McCoy.,30,59
15:34,2142,Jordan Swopshire missed Layup.,30,59
15:34,2142,Sean O'Brien Offensive Rebound.,30,59
15:22,-1,Foul on Colby Mills.,30,59
15:04,-1,Foul on Colby Mills.,30,59
15:01,2142,Jordan Robertson made Layup. Assisted by Sean O'Brien.,30,61
14:35,-1,Reginald Rogers Turnover.,30,61
14:33,2142,Francisco Amiel Steal.,30,61
14:32,-1,Foul on Dylan Niedermeyer.,30,61
14:19,-1,Foul on Dylan Niedermeyer.,30,61
14:19,2142,Will Rayman missed Three Point Jumper.,30,61
14:19,-1,Christian Perkins Defensive Rebound.,30,61
14:03,-1,Sahlil Harris missed Jumper.,30,61
14:03,-1,Jacob Sutton Offensive Rebound.,30,61
14:00,-1,Pittsburgh-Bradford  Timeout,30,61
13:54,-1,Malique McCoy made Three Point Jumper.,33,61
13:30,2142,Jordan Robertson made Three Point Jumper. Assisted by Sean O'Brien.,33,64
13:11,2142,Foul on Jordan Robertson.,33,64
13:07,-1,Dylan Niedermeyer missed Three Point Jumper.,33,64
13:07,2142,Malcolm Regisford Defensive Rebound.,33,64
12:43,2142,Jordan Robertson missed Jumper.,33,64
12:43,2142,Malcolm Regisford Offensive Rebound.,33,64
12:41,2142,Malcolm Regisford made Layup.,33,66
12:26,-1,Malique McCoy missed Three Point Jumper.,33,66
12:26,2142,Francisco Amiel Defensive Rebound.,33,66
12:19,2142,Sean O'Brien made Three Point Jumper. Assisted by Francisco Amiel.,33,69
12:00,-1,Malique McCoy missed Jumper.,33,69
12:00,2142,Jordan Robertson Defensive Rebound.,33,69
11:51,2142,Jordan Swopshire missed Three Point Jumper.,33,69
11:51,-1,Sahlil Harris Defensive Rebound.,33,69
11:49,2142,Official TV Timeout,33,69
11:41,-1,Sahlil Harris missed Jumper.,33,69
11:41,2142,Jordan Swopshire Defensive Rebound.,33,69
11:27,2142,Malcolm Regisford missed Jumper.,33,69
11:27,-1,Sahlil Harris Block.,33,69
11:27,2142,Colgate Offensive Rebound.,33,69
11:26,2142,Malcolm Regisford made Dunk. Assisted by Francisco Amiel.,33,71
11:10,-1,Christian Perkins made Jumper. Assisted by Dylan Niedermeyer.,35,71
10:55,2142,Jack Ferguson made Three Point Jumper. Assisted by Jordan Swopshire.,35,74
10:28,-1,Jeffrey Fry missed Layup.,35,74
10:28,2142,Malcolm Regisford Defensive Rebound.,35,74
10:20,2142,Jordan Swopshire missed Jumper.,35,74
10:20,-1,Dylan Niedermeyer Defensive Rebound.,35,74
10:13,-1,Christian Perkins made Layup.,37,74
9:57,2142,Jordan Swopshire Turnover.,37,74
9:57,2142,Foul on Jordan Swopshire.,37,74
9:52,-1,Sahlil Harris Turnover.,37,74
9:41,-1,Foul on Jacob Sutton.,37,74
9:41,2142,Jack Ferguson made Free Throw.,37,75
9:41,2142,Jack Ferguson made Free Throw.,37,76
9:41,2142,Jack Ferguson made Free Throw.,37,77
9:36,-1,Reginald Rogers Turnover.,37,77
9:23,2142,Jack Ferguson made Three Point Jumper. Assisted by Jordan Robertson.,37,80
9:10,-1,Colby Mills made Three Point Jumper. Assisted by Reginald Rogers.,40,80
8:57,2142,Malcolm Regisford made Layup. Assisted by Jordan Robertson.,40,82
8:40,-1,Christian Perkins Turnover.,40,82
8:33,2142,Jordan Robertson made Jumper.,40,84
8:25,-1,Reginald Rogers missed Jumper.,40,84
8:25,2142,Jordan Robertson Defensive Rebound.,40,84
8:09,2142,Malcolm Regisford made Layup. Assisted by Hugh Baxter.,40,86
7:50,-1,Christian Perkins made Jumper.,42,86
7:22,2142,Jordan Robertson missed Jumper.,42,86
7:22,-1,Reginald Rogers Defensive Rebound.,42,86
7:14,-1,Colby Mills missed Three Point Jumper.,42,86
7:14,2142,Jack Ferguson Defensive Rebound.,42,86
7:05,2142,Jack Ferguson missed Three Point Jumper.,42,86
7:05,-1,Colby Mills Defensive Rebound.,42,86
6:58,-1,Dylan Mitchell Turnover.,42,86
6:56,2142,Jack Ferguson Steal.,42,86
6:54,2142,Malcolm Regisford made Layup. Assisted by Jack Ferguson.,42,88
6:40,-1,Pittsburgh-Bradford  Timeout,42,88
6:26,-1,Dylan Niedermeyer Turnover.,42,88
6:10,2142,Sam Lindgren made Layup. Assisted by Jack Ferguson.,42,90
5:55,-1,Colby Mills made Layup.,44,90
5:42,2142,David Maynard missed Layup.,44,90
5:42,-1,Dylan Niedermeyer Block.,44,90
5:42,2142,Sam Lindgren Offensive Rebound.,44,90
5:42,-1,Foul on Reginald Rogers.,44,90
5:42,2142,Sam Lindgren made Free Throw.,44,91
5:42,2142,Sam Lindgren made Free Throw.,44,92
5:22,-1,Malique McCoy missed Jumper.,44,92
5:22,2142,Hugh Baxter Defensive Rebound.,44,92
5:11,2142,Sam Lindgren made Layup. Assisted by Jack Ferguson.,44,94
4:56,-1,Dylan Niedermeyer missed Layup.,44,94
4:56,2142,Sam Lindgren Block.,44,94
4:54,2142,Jack Ferguson Defensive Rebound.,44,94
4:48,2142,David Maynard made Three Point Jumper. Assisted by Jack Ferguson.,44,97
4:22,2142,Foul on Hugh Baxter.,44,97
4:22,-1,Malique McCoy made Layup. Assisted by George Alston.,46,97
4:05,2142,Jack Ferguson missed Three Point Jumper.,46,97
4:05,2142,Sam Lindgren Offensive Rebound.,46,97
4:01,2142,Sam Lindgren missed Layup.,46,97
4:01,2142,Colgate Offensive Rebound.,46,97
4:00,2142,Official TV Timeout,46,97
3:57,-1,Foul on George Alston.,46,97
3:57,2142,Milan Williams made Free Throw.,46,98
3:57,2142,Milan Williams made Free Throw.,46,99
3:31,-1,Dylan Niedermeyer missed Jumper.,46,99
3:31,-1,Dylan Niedermeyer Offensive Rebound.,46,99
3:28,-1,Dylan Niedermeyer made Layup.,48,99
3:01,2142,Foul on Dylan Whitbread.,48,99
3:01,2142,Dylan Whitbread Turnover.,48,99
2:43,-1,Malique McCoy Turnover.,48,99
2:30,2142,David Maynard made Layup.,48,101
2:21,-1,Darius Jones missed Three Point Jumper.,48,101
2:21,2142,Hugh Baxter Defensive Rebound.,48,101
2:05,2142,Dylan Whitbread made Layup.,48,103
1:34,-1,Malique McCoy made Jumper.,50,103
1:22,2142,David Maynard Turnover.,50,103
0:57,-1,Malique McCoy made Layup.,52,103
0:40,2142,Sam Lindgren Turnover.,52,103
0:38,-1,Colby Mills Steal.,52,103
0:33,2142,Foul on Hugh Baxter.,52,103
0:33,-1,Christian Perkins missed Free Throw.,52,103
0:33,2142,Sam Lindgren Defensive Rebound.,52,103
0:21,2142,Hugh Baxter missed Three Point Jumper.,52,103
0:21,2142,David Maynard Offensive Rebound.,52,103
0:00,2142,End of Game,52,103
