St. Bonaventure,183,Syracuse,179
4:02,183,Marek Dolezaj Offensive Rebound.,53,53
3:42,183,Marek Dolezaj made Layup.,53,55
3:16,183,Foul on Paschal Chukwu.,53,55
3:16,179,Courtney Stockard missed Free Throw.,53,55
3:16,179,St. Bonaventure Deadball Team Rebound.,53,55
3:16,179,Courtney Stockard made Free Throw.,54,55
3:05,183,Foul on Marek Dolezaj.,54,55
3:05,183,Marek Dolezaj Turnover.,54,55
2:48,183,Foul on Bourama Sidibe.,54,55
2:48,179,Courtney Stockard made Free Throw.,55,55
2:48,179,Courtney Stockard made Free Throw.,56,55
2:27,183,Howard Washington missed Three Point Jumper.,56,55
2:27,179,Courtney Stockard Defensive Rebound.,56,55
2:26,183,Foul on Matthew Moyer.,56,55
2:24,179,Courtney Stockard made Free Throw.,57,55
2:24,179,Courtney Stockard made Free Throw.,58,55
2:11,183,Frank Howard missed Three Point Jumper.,58,55
2:11,179,Jaylen Adams Block.,58,55
2:09,183,Frank Howard Offensive Rebound.,58,55
1:59,183,Tyus Battle missed Three Point Jumper.,58,55
1:59,179,Courtney Stockard Defensive Rebound.,58,55
1:30,179,Matt Mobley missed Three Point Jumper.,58,55
1:30,183,Oshae Brissett Defensive Rebound.,58,55
1:23,183,Syracuse  Timeout,58,55
1:11,183,Oshae Brissett missed Layup.,58,55
1:11,183,Oshae Brissett Offensive Rebound.,58,55
1:08,183,Oshae Brissett made Layup.,58,57
0:37,179,LaDarien Griffin missed Jumper.,58,57
0:37,183,Tyus Battle Defensive Rebound.,58,57
0:27,183,Syracuse  Timeout,58,57
0:12,183,Foul on Oshae Brissett.,58,57
0:12,183,Oshae Brissett Turnover.,58,57
0:06,183,Foul on Matthew Moyer.,58,57
0:06,179,Jaylen Adams made Free Throw.,59,57
0:06,179,Jaylen Adams made Free Throw.,60,57
0:05,183,Howard Washington missed Three Point Jumper.,60,57
0:05,179,LaDarien Griffin Block.,60,57
0:03,183,Syracuse Offensive Rebound.,60,57
0:00,183,End of Game,60,57
