Canisius,2523,Robert Morris,2099
12:55,2523,Charles Bain Steal.,11,13
12:51,2523,Leondre Washington missed Three Point Jumper.,11,13
12:51,2099,Jalanni White Defensive Rebound.,11,13
12:26,2099,Isaiah Reese missed Three Point Jumper.,11,13
12:26,2523,Charles Bain Defensive Rebound.,11,13
12:23,2099,Foul on Jalanni White.,11,13
12:09,2523,Ronnie Gombe missed Layup.,11,13
12:09,2099,Marcale Lotts Defensive Rebound.,11,13
11:52,2523,Official TV Timeout,11,13
11:35,2099,Malik Johnson made Three Point Jumper.,14,13
11:17,2523,Matty McConnell missed Three Point Jumper.,14,13
11:17,2099,Canisius Offensive Rebound.,14,13
11:14,2099,Foul on Marcale Lotts.,14,13
11:13,2523,Ronnie Gombe Turnover.,14,13
11:02,2099,Malik Johnson Turnover.,14,13
10:48,2523,Koby Thomas made Jumper.,14,15
10:18,2099,Jermaine Crumpton missed Three Point Jumper.,14,15
10:18,2523,Matty McConnell Defensive Rebound.,14,15
10:11,2523,Koby Thomas missed Layup.,14,15
10:11,2099,Isaiah Reese Defensive Rebound.,14,15
10:02,2099,Malik Johnson Turnover.,14,15
9:49,2523,David Cole missed Layup.,14,15
9:49,2523,David Cole Offensive Rebound.,14,15
9:46,2523,David Cole made Layup.,14,17
9:28,2099,Spencer Foley made Jumper.,16,17
9:11,2523,Dachon Burke missed Three Point Jumper.,16,17
9:11,2523,Koby Thomas Offensive Rebound.,16,17
9:08,2099,Foul on Jermaine Crumpton.,16,17
8:51,2523,Leondre Washington missed Jumper.,16,17
8:51,2099,Spencer Foley Defensive Rebound.,16,17
8:40,2523,Foul on Chris Coalmon.,16,17
8:40,2099,Selvedin Planincic made Free Throw.,17,17
8:40,2099,Selvedin Planincic missed Free Throw.,17,17
8:40,2099,Canisius Defensive Rebound.,17,17
8:20,2523,Foul on David Cole.,17,17
8:20,2523,David Cole Turnover.,17,17
8:12,2099,Isaiah Reese Turnover.,17,17
7:51,2523,Koby Thomas made Jumper. Assisted by Chris Coalmon.,17,19
7:36,2099,Isaiah Reese missed Three Point Jumper.,17,19
7:36,2523,Leondre Washington Defensive Rebound.,17,19
7:26,2099,Foul on Selvedin Planincic.,17,19
7:26,2523,Official TV Timeout,17,19
7:26,2523,Koby Thomas missed Free Throw.,17,19
7:26,2523,Robert Morris Deadball Team Rebound.,17,19
7:26,2523,Koby Thomas made Free Throw.,17,20
7:05,2523,Foul on Leondre Washington.,17,20
6:59,2099,Isaiah Reese made Jumper. Assisted by Takal Molson.,19,20
6:36,2523,Ronnie Gombe missed Layup.,19,20
6:36,2099,Jalanni White Block.,19,20
6:33,2523,Ronnie Gombe Offensive Rebound.,19,20
6:31,2523,Ronnie Gombe made Layup.,19,22
6:28,2099,Isaiah Reese made Layup. Assisted by Malik Johnson.,21,22
5:59,2523,Leondre Washington made Layup.,21,24
5:45,2099,Malik Johnson made Three Point Jumper. Assisted by Takal Molson.,24,24
5:26,2523,Charles Bain missed Layup.,24,24
5:26,2099,Jalanni White Block.,24,24
5:24,2099,Jalanni White Defensive Rebound.,24,24
5:16,2523,Foul on Charles Bain.,24,24
5:16,2099,Takal Molson missed Free Throw.,24,24
5:16,2099,Canisius Deadball Team Rebound.,24,24
5:16,2099,Takal Molson made Free Throw.,25,24
5:01,2523,Ronnie Gombe made Layup. Assisted by Dachon Burke.,25,26
4:40,2099,Isaiah Reese made Jumper.,27,26
4:26,2523,Dachon Burke missed Layup.,27,26
4:26,2099,Malik Johnson Defensive Rebound.,27,26
4:11,2099,Selvedin Planincic missed Three Point Jumper.,27,26
4:11,2099,Jalanni White Offensive Rebound.,27,26
4:03,2523,Foul on Charles Bain.,27,26
4:03,2099,Jalanni White missed Free Throw.,27,26
4:03,2523,Robert Morris Defensive Rebound.,27,26
3:43,2523,Dachon Burke missed Layup.,27,26
3:43,2099,Selvedin Planincic Block.,27,26
3:43,2523,Robert Morris Offensive Rebound.,27,26
3:43,2523,Official TV Timeout,27,26
3:41,2523,Ronnie Gombe missed Layup.,27,26
3:41,2099,Selvedin Planincic Block.,27,26
3:41,2523,Robert Morris Offensive Rebound.,27,26
3:36,2523,Jon Williams missed Jumper.,27,26
3:36,2099,Isaiah Reese Defensive Rebound.,27,26
3:18,2099,Selvedin Planincic made Jumper. Assisted by Isaiah Reese.,29,26
2:52,2523,Koby Thomas missed Jumper.,29,26
2:52,2523,Ronnie Gombe Offensive Rebound.,29,26
2:51,2099,Foul on Malik Johnson.,29,26
2:51,2523,Ronnie Gombe missed Free Throw.,29,26
2:51,2099,Selvedin Planincic Defensive Rebound.,29,26
2:39,2099,Selvedin Planincic made Layup. Assisted by Jonathan Sanks.,31,26
2:35,2523,Robert Morris  Timeout,31,26
2:24,2523,Chris Coalmon Turnover.,31,26
2:24,2523,Foul on Chris Coalmon.,31,26
2:17,2099,Jonathan Sanks missed Layup.,31,26
2:17,2523,Chris Coalmon Defensive Rebound.,31,26
1:57,2523,Leondre Washington missed Three Point Jumper.,31,26
1:57,2099,Selvedin Planincic Defensive Rebound.,31,26
1:47,2099,D.J. Heath made Layup.,33,26
1:20,2523,Koby Thomas Turnover.,33,26
1:19,2099,Takal Molson Steal.,33,26
1:15,2099,Jonathan Sanks missed Layup.,33,26
1:15,2099,Takal Molson Offensive Rebound.,33,26
1:12,2099,Takal Molson made Layup.,35,26
0:53,2523,Matty McConnell Turnover.,35,26
0:52,2099,Selvedin Planincic Steal.,35,26
0:48,2099,Jonathan Sanks made Jumper.,37,26
0:48,2523,Foul on Leondre Washington.,37,26
0:48,2099,Jonathan Sanks missed Free Throw.,37,26
0:48,2523,Leondre Washington Defensive Rebound.,37,26
0:34,2099,Foul on Takal Molson.,37,26
0:34,2523,Leondre Washington made Free Throw.,37,27
0:34,2523,Leondre Washington made Free Throw.,37,28
0:03,2099,D.J. Heath missed Jumper.,37,28
0:03,2523,Koby Thomas Defensive Rebound.,37,28
0:00,2523,End of 1st half,37,28
19:36,2099,Jermaine Crumpton missed Jumper.,37,28
19:36,2099,Takal Molson Offensive Rebound.,37,28
19:33,2523,Foul on Jon Williams.,37,28
19:33,2099,Takal Molson made Free Throw.,38,28
19:33,2099,Takal Molson missed Free Throw.,38,28
19:33,2523,Ronnie Gombe Defensive Rebound.,38,28
19:12,2099,Foul on Selvedin Planincic.,38,28
19:12,2523,Dachon Burke made Free Throw.,38,29
19:12,2523,Dachon Burke made Free Throw.,38,30
19:04,2099,Isaiah Reese Turnover.,38,30
19:04,2099,Foul on Isaiah Reese.,38,30
18:54,2523,Dachon Burke missed Layup.,38,30
18:54,2099,Selvedin Planincic Block.,38,30
18:54,2523,Robert Morris Offensive Rebound.,38,30
18:47,2523,Dachon Burke missed Three Point Jumper.,38,30
18:47,2523,Koby Thomas Offensive Rebound.,38,30
18:40,2523,Jon Williams missed Three Point Jumper.,38,30
18:40,2099,Isaiah Reese Defensive Rebound.,38,30
18:30,2099,Takal Molson missed Three Point Jumper.,38,30
18:30,2523,Ronnie Gombe Defensive Rebound.,38,30
18:17,2523,Koby Thomas missed Three Point Jumper.,38,30
18:17,2099,Isaiah Reese Defensive Rebound.,38,30
18:03,2099,Takal Molson made Layup.,40,30
17:50,2523,Jon Williams made Three Point Jumper. Assisted by Matty McConnell.,40,33
17:22,2099,Isaiah Reese Turnover.,40,33
16:56,2523,Dachon Burke made Layup.,40,35
16:40,2523,Foul on David Cole.,40,35
16:40,2099,Selvedin Planincic made Free Throw.,41,35
16:40,2099,Selvedin Planincic made Free Throw.,42,35
16:22,2523,Dachon Burke Turnover.,42,35
16:21,2099,Isaiah Reese Steal.,42,35
16:19,2099,Isaiah Reese made Layup.,44,35
15:59,2523,Koby Thomas missed Layup.,44,35
15:59,2099,Jermaine Crumpton Defensive Rebound.,44,35
15:32,2523,Foul on Koby Thomas.,44,35
15:32,2523,Official TV Timeout,44,35
15:21,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Isaiah Reese.,47,35
15:06,2523,Koby Thomas missed Layup.,47,35
15:06,2099,Selvedin Planincic Block.,47,35
15:04,2099,Selvedin Planincic Defensive Rebound.,47,35
14:57,2099,Jermaine Crumpton Turnover.,47,35
14:57,2099,Foul on Jermaine Crumpton.,47,35
14:41,2523,Matty McConnell made Layup.,47,37
14:31,2099,Takal Molson Turnover.,47,37
14:30,2523,Matty McConnell Steal.,47,37
14:30,2099,Foul on Isaiah Reese.,47,37
14:17,2523,Jon Williams made Three Point Jumper.,47,40
13:59,2099,Isaiah Reese Turnover.,47,40
13:58,2523,Jon Williams Steal.,47,40
13:55,2523,Matty McConnell missed Three Point Jumper.,47,40
13:55,2099,Takal Molson Defensive Rebound.,47,40
13:23,2099,Isaiah Reese Turnover.,47,40
13:13,2523,Leondre Washington missed Jumper.,47,40
13:13,2523,Chris Coalmon Offensive Rebound.,47,40
13:12,2099,Foul on Jonathan Sanks.,47,40
13:12,2523,Chris Coalmon missed Free Throw.,47,40
13:12,2523,Robert Morris Deadball Team Rebound.,47,40
13:12,2523,Chris Coalmon missed Free Throw.,47,40
13:12,2099,Jermaine Crumpton Defensive Rebound.,47,40
12:55,2099,Jonathan Sanks missed Three Point Jumper.,47,40
12:55,2099,Jermaine Crumpton Offensive Rebound.,47,40
12:41,2099,Jermaine Crumpton Turnover.,47,40
12:39,2523,Matty McConnell Steal.,47,40
12:35,2523,Matty McConnell Turnover.,47,40
12:35,2523,Foul on Matty McConnell.,47,40
12:26,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Jonathan Sanks.,50,40
12:04,2099,Foul on Jonathan Sanks.,50,40
12:02,2099,Foul on Jalanni White.,50,40
12:02,2523,Matty McConnell missed Free Throw.,50,40
12:02,2523,Robert Morris Deadball Team Rebound.,50,40
12:02,2523,Matty McConnell made Free Throw.,50,41
11:39,2099,Jalanni White missed Layup.,50,41
11:39,2523,Matty McConnell Defensive Rebound.,50,41
11:32,2523,Matty McConnell Turnover.,50,41
11:31,2099,Jalanni White Steal.,50,41
11:24,2099,Jermaine Crumpton missed Three Point Jumper.,50,41
11:24,2099,Takal Molson Offensive Rebound.,50,41
11:19,2099,Takal Molson missed Jumper.,50,41
11:19,2099,Jermaine Crumpton Offensive Rebound.,50,41
11:16,2099,Jermaine Crumpton made Layup.,52,41
10:59,2523,Koby Thomas made Layup. Assisted by Matty McConnell.,52,43
10:45,2099,Jalanni White made Layup. Assisted by Jonathan Sanks.,54,43
10:26,2523,Koby Thomas Turnover.,54,43
10:25,2099,Takal Molson Steal.,54,43
10:11,2099,D.J. Heath Turnover.,54,43
10:09,2523,Leondre Washington Steal.,54,43
10:06,2523,Leondre Washington Turnover.,54,43
10:03,2099,D.J. Heath Steal.,54,43
9:58,2099,Canisius  Timeout,54,43
9:51,2099,Isaiah Reese made Jumper.,56,43
9:32,2523,Chris Coalmon missed Layup.,56,43
9:32,2523,Koby Thomas Offensive Rebound.,56,43
9:29,2523,Koby Thomas made Dunk.,56,45
9:10,2099,Selvedin Planincic missed Layup.,56,45
9:10,2523,Jon Williams Defensive Rebound.,56,45
9:00,2523,Dachon Burke missed Three Point Jumper.,56,45
9:00,2099,Jalanni White Defensive Rebound.,56,45
8:41,2099,Isaiah Reese made Layup.,58,45
8:24,2523,Koby Thomas Turnover.,58,45
8:14,2523,Official TV Timeout,58,45
7:58,2099,Jonathan Sanks Turnover.,58,45
7:55,2523,Matty McConnell Steal.,58,45
7:53,2523,Leondre Washington missed Three Point Jumper.,58,45
7:53,2523,Koby Thomas Offensive Rebound.,58,45
7:50,2099,Foul on Jonathan Sanks.,58,45
7:42,2523,Official TV Timeout,58,45
7:42,2523,Koby Thomas made Free Throw.,58,46
7:42,2523,Koby Thomas made Free Throw.,58,47
7:28,2099,Jermaine Crumpton made Dunk. Assisted by Takal Molson.,60,47
7:09,2523,Matty McConnell made Layup.,60,49
6:53,2099,Jermaine Crumpton Turnover.,60,49
6:53,2099,Foul on Jermaine Crumpton.,60,49
6:41,2523,Koby Thomas made Three Point Jumper. Assisted by Jon Williams.,60,52
6:21,2099,Isaiah Reese missed Three Point Jumper.,60,52
6:21,2523,Jon Williams Defensive Rebound.,60,52
6:09,2099,Foul on Jonathan Sanks.,60,52
6:09,2523,Dachon Burke made Free Throw.,60,53
6:09,2523,Dachon Burke missed Free Throw.,60,53
6:09,2099,Selvedin Planincic Defensive Rebound.,60,53
5:42,2099,Jonathan Sanks made Three Point Jumper.,63,53
5:33,2523,Robert Morris  Timeout,63,53
5:29,2523,Matty McConnell missed Jumper.,63,53
5:29,2099,Isaiah Reese Defensive Rebound.,63,53
4:57,2099,Isaiah Reese made Three Point Jumper.,66,53
4:41,2523,Koby Thomas missed Three Point Jumper.,66,53
4:41,2099,Takal Molson Defensive Rebound.,66,53
4:21,2523,Foul on Koby Thomas.,66,53
4:21,2099,Takal Molson missed Free Throw.,66,53
4:21,2099,Canisius Deadball Team Rebound.,66,53
4:21,2099,Takal Molson missed Free Throw.,66,53
4:21,2523,Koby Thomas Defensive Rebound.,66,53
4:05,2523,Dachon Burke Turnover.,66,53
4:03,2099,Isaiah Reese Steal.,66,53
3:48,2099,Malik Johnson made Jumper.,68,53
3:33,2523,Koby Thomas missed Jumper.,68,53
3:33,2099,Selvedin Planincic Defensive Rebound.,68,53
3:26,2099,Takal Molson missed Layup.,68,53
3:26,2523,Matty McConnell Block.,68,53
3:26,2099,Canisius Offensive Rebound.,68,53
3:26,2523,Official TV Timeout,68,53
3:19,2099,Isaiah Reese missed Three Point Jumper.,68,53
3:19,2099,Isaiah Reese Offensive Rebound.,68,53
2:54,2099,Jonathan Sanks made Three Point Jumper. Assisted by Malik Johnson.,71,53
2:39,2523,Jon Williams missed Three Point Jumper.,71,53
2:39,2099,Selvedin Planincic Block.,71,53
2:36,2099,Takal Molson Defensive Rebound.,71,53
2:21,2099,Malik Johnson missed Three Point Jumper.,71,53
2:21,2523,Jon Williams Defensive Rebound.,71,53
2:14,2099,Foul on Malik Johnson.,71,53
2:14,2523,Leondre Washington made Free Throw.,71,54
2:14,2523,Leondre Washington made Free Throw.,71,55
2:01,2523,Foul on Matty McConnell.,71,55
1:50,2099,Isaiah Reese made Three Point Jumper.,74,55
1:34,2523,Dachon Burke missed Three Point Jumper.,74,55
1:34,2523,Dachon Burke Offensive Rebound.,74,55
1:22,2523,Jon Williams made Three Point Jumper. Assisted by Matty McConnell.,74,58
1:04,2099,Malik Johnson made Layup.,76,58
0:56,2099,Foul on Malik Johnson.,76,58
0:56,2523,Leondre Washington made Free Throw.,76,59
0:56,2523,Leondre Washington made Free Throw.,76,60
0:29,2099,Takal Molson missed Three Point Jumper.,76,60
0:29,2099,Isaiah Reese Offensive Rebound.,76,60
0:25,2099,Isaiah Reese missed Dunk.,76,60
0:25,2523,Koby Thomas Defensive Rebound.,76,60
0:22,2099,Foul on Takal Molson.,76,60
0:22,2523,Koby Thomas made Free Throw.,76,61
0:22,2523,Koby Thomas made Free Throw.,76,62
0:00,2523,End of Game,76,62
