Abilene Christian,2641,Texas Tech,2000
14:33,2000,Jalone Friday Turnover.,2,11
14:33,2641,Zhaire Smith Steal.,2,11
14:33,2000,Foul on Jalone Friday.,2,11
14:07,2641,Keenan Evans Turnover.,2,11
14:07,2000,Jaylen Franklin Steal.,2,11
14:07,2000,Jaylen Franklin Turnover.,2,11
14:07,2641,Norense Odiase Steal.,2,11
14:07,2000,Foul on Jalone Friday.,2,11
14:07,2641,Keenan Evans made Free Throw.,2,12
14:07,2641,Keenan Evans missed Free Throw.,2,12
14:07,2000,Jaren Lewis Defensive Rebound.,2,12
13:36,2000,B.J. Maxwell missed Layup.,2,12
13:36,2641,Zhaire Smith Defensive Rebound.,2,12
13:30,2000,Foul on Jaylen Franklin.,2,12
13:30,2641,Zhaire Smith made Free Throw.,2,13
13:30,2641,Zhaire Smith missed Free Throw.,2,13
13:30,2000,Jaren Lewis Defensive Rebound.,2,13
13:09,2000,Hayden Howell Turnover.,2,13
12:59,2641,Zach Smith made Dunk. Assisted by Davide Moretti.,2,15
12:42,2000,Jaren Lewis missed Jumper.,2,15
12:42,2000,Abilene Christian Deadball Team Rebound.,2,15
12:42,2000,Foul on Hayden Howell.,2,15
12:42,2641,Jarrett Culver made Free Throw.,2,16
12:42,2641,Jarrett Culver missed Free Throw.,2,16
12:42,2000,Hayden Howell Defensive Rebound.,2,16
12:14,2000,Tevin Foster missed Jumper.,2,16
12:14,2641,Davide Moretti Defensive Rebound.,2,16
12:00,2641,Zach Smith Turnover.,2,16
12:00,2641,Official TV Timeout,2,16
11:33,2000,Payten Ricks missed Layup.,2,16
11:33,2641,Tommy Hamilton IV Defensive Rebound.,2,16
11:17,2000,Foul on Drake Green.,2,16
11:17,2641,Zach Smith missed Free Throw.,2,16
11:17,2641,Texas Tech Deadball Team Rebound.,2,16
11:17,2641,Zach Smith missed Free Throw.,2,16
11:17,2000,Jaren Lewis Defensive Rebound.,2,16
10:53,2000,Hayden Howell made Jumper.,4,16
10:43,2641,Niem Stevenson missed Three Point Jumper.,4,16
10:43,2000,Jaren Lewis Defensive Rebound.,4,16
10:28,2000,Drake Green made Three Point Jumper.,7,16
10:01,2641,Tommy Hamilton IV Turnover.,7,16
10:00,2000,Jaylen Franklin Steal.,7,16
9:57,2000,Isaiah Tripp missed Three Point Jumper.,7,16
9:57,2000,Jaren Lewis Offensive Rebound.,7,16
9:47,2000,Isaiah Tripp missed Layup.,7,16
9:47,2641,Tommy Hamilton IV Block.,7,16
9:46,2000,Abilene Christian Offensive Rebound.,7,16
9:46,2000,Drake Green missed Jumper.,7,16
9:46,2641,Zach Smith Defensive Rebound.,7,16
9:17,2641,Niem Stevenson missed Jumper.,7,16
9:17,2641,Texas Tech Deadball Team Rebound.,7,16
9:15,2000,Foul on Isaiah Tripp.,7,16
9:15,2641,Niem Stevenson made Free Throw.,7,17
9:15,2641,Niem Stevenson missed Free Throw.,7,17
9:15,2000,Isaiah Tripp Defensive Rebound.,7,17
8:58,2000,Hayden Howell made Layup.,9,17
8:58,2641,Foul on Norense Odiase.,9,17
8:58,2000,Hayden Howell made Free Throw.,10,17
8:28,2641,Texas Tech  Turnover.,10,17
8:07,2000,Trey Lenox missed Jumper.,10,17
8:07,2641,Texas Tech Defensive Rebound.,10,17
7:51,2641,Niem Stevenson Turnover.,10,17
7:49,2000,Hayden Howell Steal.,10,17
7:46,2641,Foul on Keenan Evans.,10,17
7:46,2641,Official TV Timeout,10,17
7:44,2641,Foul on Justin Gray.,10,17
7:33,2000,Hayden Farquhar missed Layup.,10,17
7:33,2641,Tommy Hamilton IV Defensive Rebound.,10,17
7:09,2641,Zhaire Smith missed Jumper.,10,17
7:09,2641,Tommy Hamilton IV Offensive Rebound.,10,17
7:02,2641,Tommy Hamilton IV Turnover.,10,17
6:46,2000,Hayden Howell missed Layup.,10,17
6:46,2641,Zhaire Smith Defensive Rebound.,10,17
6:31,2641,Tommy Hamilton IV missed Jumper.,10,17
6:31,2000,Hayden Farquhar Defensive Rebound.,10,17
6:15,2000,Hayden Farquhar missed Three Point Jumper.,10,17
6:15,2000,Jaylen Franklin Offensive Rebound.,10,17
6:10,2000,Hayden Farquhar missed Three Point Jumper.,10,17
6:10,2641,Keenan Evans Defensive Rebound.,10,17
5:59,2641,Keenan Evans made Jumper.,10,19
5:27,2000,Hayden Howell missed Layup.,10,19
5:27,2000,Abilene Christian Offensive Rebound.,10,19
4:55,2000,Jaylen Franklin missed Layup.,10,19
4:55,2641,Zach Smith Defensive Rebound.,10,19
4:47,2000,Foul on Jalone Friday.,10,19
4:47,2641,Zach Smith missed Free Throw.,10,19
4:47,2641,Texas Tech Deadball Team Rebound.,10,19
4:47,2641,Zach Smith made Free Throw.,10,20
4:34,2000,Drake Green missed Jumper.,10,20
4:34,2641,Zach Smith Defensive Rebound.,10,20
4:17,2641,Zach Smith made Dunk. Assisted by Keenan Evans.,10,22
4:10,2641,Foul on Zhaire Smith.,10,22
4:10,2000,Tevin Foster made Free Throw.,11,22
4:10,2000,Tevin Foster made Free Throw.,12,22
3:50,2641,Davide Moretti Turnover.,12,22
3:50,2641,Official TV Timeout,12,22
3:33,2000,Drake Green missed Three Point Jumper.,12,22
3:33,2000,Hayden Farquhar Offensive Rebound.,12,22
3:27,2000,Tevin Foster made Three Point Jumper. Assisted by Hayden Farquhar.,15,22
3:02,2641,Jarrett Culver missed Three Point Jumper.,15,22
3:02,2000,Drake Green Defensive Rebound.,15,22
2:39,2000,Jaren Lewis missed Layup.,15,22
2:39,2641,Zhaire Smith Block.,15,22
2:37,2641,Jarrett Culver Defensive Rebound.,15,22
2:29,2641,Jarrett Culver missed Three Point Jumper.,15,22
2:29,2000,Hayden Farquhar Defensive Rebound.,15,22
2:10,2000,Hayden Farquhar missed Layup.,15,22
2:10,2641,Jarrett Culver Defensive Rebound.,15,22
2:08,2000,Foul on Trey Lenox.,15,22
2:08,2641,Jarrett Culver made Free Throw.,15,23
2:08,2641,Jarrett Culver made Free Throw.,15,24
1:57,2000,Drake Green Turnover.,15,24
1:54,2641,Jarrett Culver Steal.,15,24
1:53,2641,Zhaire Smith made Dunk. Assisted by Jarrett Culver.,15,26
1:53,2000,Foul on Hayden Howell.,15,26
1:53,2641,Zhaire Smith missed Free Throw.,15,26
1:53,2000,Jaren Lewis Defensive Rebound.,15,26
1:33,2000,Foul on Hayden Howell.,15,26
1:33,2000,Hayden Howell Turnover.,15,26
1:10,2641,Zach Smith made Dunk. Assisted by Jarrett Culver.,15,28
1:09,2000,Abilene Christian  Timeout,15,28
0:46,2000,Jaren Lewis Turnover.,15,28
0:36,2641,Texas Tech  Timeout,15,28
0:19,2641,Jarrett Culver missed Layup.,15,28
0:19,2641,Zhaire Smith Offensive Rebound.,15,28
0:17,2641,Zhaire Smith made Dunk.,15,30
0:01,2000,Tevin Foster missed Three Point Jumper.,15,30
0:01,2641,Texas Tech Defensive Rebound.,15,30
0:00,2641,End of 1st half,15,30
19:49,2641,Foul on Norense Odiase.,15,30
19:49,2000,Jalone Friday made Free Throw.,16,30
19:49,2000,Jalone Friday made Free Throw.,17,30
19:19,2641,Niem Stevenson made Three Point Jumper. Assisted by Justin Gray.,17,33
19:02,2000,Payten Ricks made Jumper.,19,33
18:41,2641,Zach Smith made Layup. Assisted by Justin Gray.,19,35
18:41,2000,Foul on Tevin Foster.,19,35
18:41,2641,Zach Smith missed Free Throw.,19,35
18:41,2000,Jaren Lewis Defensive Rebound.,19,35
18:25,2000,Jaren Lewis made Layup.,21,35
18:07,2641,Zach Smith made Layup. Assisted by Niem Stevenson.,21,37
17:42,2000,Jalone Friday missed Jumper.,21,37
17:42,2641,Tommy Hamilton IV Defensive Rebound.,21,37
17:31,2641,Keenan Evans missed Three Point Jumper.,21,37
17:31,2641,Zach Smith Offensive Rebound.,21,37
17:28,2641,Zach Smith made Two Point Tip Shot.,21,39
17:11,2000,Jaren Lewis made Layup.,23,39
16:49,2000,Foul on Jalone Friday.,23,39
16:49,2641,Tommy Hamilton IV missed Free Throw.,23,39
16:49,2641,Texas Tech Deadball Team Rebound.,23,39
16:49,2641,Tommy Hamilton IV made Free Throw.,23,40
16:36,2000,Jaren Lewis made Three Point Jumper. Assisted by Jaylen Franklin.,26,40
16:16,2641,Foul on Tommy Hamilton IV.,26,40
16:16,2641,Tommy Hamilton IV Turnover.,26,40
16:05,2000,Jaylen Franklin missed Layup.,26,40
16:05,2641,Tommy Hamilton IV Defensive Rebound.,26,40
15:54,2641,Jarrett Culver missed Three Point Jumper.,26,40
15:54,2000,Tevin Foster Defensive Rebound.,26,40
15:45,2641,Official TV Timeout,26,40
15:42,2000,Jaylen Franklin missed Layup.,26,40
15:42,2641,Justin Gray Defensive Rebound.,26,40
15:27,2641,Zhaire Smith made Jumper.,26,42
15:17,2000,Drake Green made Jumper.,28,42
14:58,2641,Davide Moretti missed Layup.,28,42
14:58,2641,Davide Moretti Offensive Rebound.,28,42
14:54,2641,Zhaire Smith made Three Point Jumper. Assisted by Zach Smith.,28,45
14:18,2000,Tevin Foster made Jumper.,30,45
13:55,2000,Foul on Drake Green.,30,45
13:45,2000,Foul on Trey Lenox.,30,45
13:40,2000,Foul on Isaiah Tripp.,30,45
13:21,2641,Keenan Evans made Layup.,30,47
13:21,2000,Foul on Trey Lenox.,30,47
13:21,2641,Keenan Evans made Free Throw.,30,48
13:12,2000,Drake Green missed Three Point Jumper.,30,48
13:12,2641,Zach Smith Defensive Rebound.,30,48
13:02,2000,Foul on Hayden Farquhar.,30,48
13:02,2641,Zach Smith missed Free Throw.,30,48
13:02,2641,Texas Tech Deadball Team Rebound.,30,48
13:02,2641,Zach Smith made Free Throw.,30,49
12:53,2641,Foul on Justin Gray.,30,49
12:53,2000,Trey Lenox made Free Throw.,31,49
12:53,2000,Trey Lenox made Free Throw.,32,49
12:30,2641,Zhaire Smith missed Layup.,32,49
12:30,2641,Zhaire Smith Offensive Rebound.,32,49
12:27,2641,Zhaire Smith made Two Point Tip Shot.,32,51
12:09,2000,Isaiah Tripp made Layup. Assisted by Trey Lenox.,34,51
11:50,2641,Keenan Evans made Jumper.,34,53
11:28,2000,Jaylen Franklin Turnover.,34,53
11:28,2641,Official TV Timeout,34,53
11:17,2641,Justin Gray made Dunk. Assisted by Niem Stevenson.,34,55
11:02,2000,Jalone Friday missed Jumper.,34,55
11:02,2000,B.J. Maxwell Offensive Rebound.,34,55
10:52,2000,B.J. Maxwell missed Layup.,34,55
10:52,2000,B.J. Maxwell Offensive Rebound.,34,55
10:50,2000,B.J. Maxwell missed Layup.,34,55
10:49,2641,Jarrett Culver Defensive Rebound.,34,55
10:31,2000,Foul on Jaylen Franklin.,34,55
10:31,2641,Niem Stevenson missed Free Throw.,34,55
10:31,2641,Texas Tech Offensive Rebound.,34,55
10:21,2641,Jarrett Culver missed Three Point Jumper.,34,55
10:21,2000,Jalone Friday Defensive Rebound.,34,55
10:09,2000,B.J. Maxwell made Layup. Assisted by Jalone Friday.,36,55
9:48,2641,Foul on Jarrett Culver.,36,55
9:48,2641,Jarrett Culver Turnover.,36,55
9:25,2000,Jalone Friday missed Layup.,36,55
9:25,2641,Jarrett Culver Defensive Rebound.,36,55
9:21,2641,Jarrett Culver Turnover.,36,55
9:20,2000,Jaylen Franklin Steal.,36,55
9:17,2000,Tevin Foster missed Three Point Jumper.,36,55
9:17,2641,Justin Gray Defensive Rebound.,36,55
8:57,2641,Zach Smith made Jumper. Assisted by Justin Gray.,36,57
8:53,2641,Texas Tech  Timeout,36,57
8:23,2000,Abilene Christian  Turnover.,36,57
8:03,2641,Justin Gray made Three Point Jumper. Assisted by Tommy Hamilton IV.,36,60
7:36,2641,Official TV Timeout,36,60
7:24,2000,Tevin Foster made Layup.,38,60
7:03,2000,Foul on Payten Ricks.,38,60
7:03,2641,Zhaire Smith made Free Throw.,38,61
7:03,2641,Zhaire Smith made Free Throw.,38,62
6:53,2000,Payten Ricks missed Three Point Jumper.,38,62
6:53,2641,Zach Smith Defensive Rebound.,38,62
6:38,2641,Davide Moretti missed Three Point Jumper.,38,62
6:38,2000,Jalone Friday Defensive Rebound.,38,62
6:17,2000,Jaren Lewis missed Layup.,38,62
6:17,2641,Jarrett Culver Defensive Rebound.,38,62
5:56,2641,Zach Smith missed Layup.,38,62
5:56,2000,Jaylen Franklin Defensive Rebound.,38,62
5:48,2000,Payten Ricks missed Layup.,38,62
5:48,2641,Tommy Hamilton IV Defensive Rebound.,38,62
5:39,2000,Foul on Payten Ricks.,38,62
5:39,2641,Davide Moretti made Free Throw.,38,63
5:39,2641,Davide Moretti missed Free Throw.,38,63
5:39,2000,Jaren Lewis Defensive Rebound.,38,63
5:25,2000,Jaren Lewis missed Layup.,38,63
5:25,2641,Zhaire Smith Block.,38,63
5:23,2641,Brandone Francis Defensive Rebound.,38,63
5:21,2641,Jarrett Culver made Layup. Assisted by Brandone Francis.,38,65
5:06,2000,Isaiah Tripp made Three Point Jumper.,41,65
4:45,2641,Davide Moretti missed Three Point Jumper.,41,65
4:45,2000,Isaiah Tripp Defensive Rebound.,41,65
4:35,2000,Drake Green missed Three Point Jumper.,41,65
4:35,2641,Norense Odiase Defensive Rebound.,41,65
4:29,2641,Norense Odiase Turnover.,41,65
4:28,2000,Tevin Foster Steal.,41,65
4:25,2000,Tevin Foster missed Three Point Jumper.,41,65
4:25,2641,Norense Odiase Defensive Rebound.,41,65
4:06,2641,Jarrett Culver missed Layup.,41,65
4:06,2641,Texas Tech Offensive Rebound.,41,65
3:45,2641,Brandone Francis missed Three Point Jumper.,41,65
3:45,2000,Tevin Foster Defensive Rebound.,41,65
3:21,2000,Jalone Friday Turnover.,41,65
3:20,2641,Davide Moretti Steal.,41,65
3:18,2000,Foul on B.J. Maxwell.,41,65
3:18,2641,Official TV Timeout,41,65
3:18,2641,Zhaire Smith missed Free Throw.,41,65
3:18,2641,Texas Tech Deadball Team Rebound.,41,65
3:18,2641,Zhaire Smith missed Free Throw.,41,65
3:18,2000,Hayden Howell Defensive Rebound.,41,65
3:11,2000,B.J. Maxwell made Layup.,43,65
2:49,2641,Brandone Francis missed Jumper.,43,65
2:49,2000,B.J. Maxwell Defensive Rebound.,43,65
2:25,2000,B.J. Maxwell missed Layup.,43,65
2:25,2641,Norense Odiase Defensive Rebound.,43,65
2:10,2641,Jarrett Culver made Three Point Jumper. Assisted by Brandone Francis.,43,68
1:54,2000,Tevin Foster Turnover.,43,68
1:32,2641,Brandone Francis made Three Point Jumper. Assisted by Andrew Sorrells.,43,71
1:21,2641,Foul on Parker Hicks.,43,71
1:14,2000,Hayden Howell made Jumper.,45,71
0:51,2000,Foul on B.J. Maxwell.,45,71
0:51,2641,Josh Webster missed Free Throw.,45,71
0:51,2641,Texas Tech Deadball Team Rebound.,45,71
0:51,2641,Josh Webster missed Free Throw.,45,71
0:51,2000,Hayden Farquhar Defensive Rebound.,45,71
0:44,2000,Hayden Howell made Layup. Assisted by Trey Lenox.,47,71
0:22,2641,Parker Hicks made Three Point Jumper.,47,74
0:09,2000,Hayden Howell missed Three Point Jumper.,47,74
0:09,2641,Brandone Francis Defensive Rebound.,47,74
0:00,2641,End of Game,47,74
