Duquesne,2539,San Francisco,2184
1:53,2539,Matt McCarthy missed Free Throw.,29,19
1:53,2539,San Francisco Deadball Team Rebound.,29,19
1:53,2539,Matt McCarthy made Free Throw.,29,20
1:39,2184,Eric Williams Jr. missed Three Point Jumper.,29,20
1:39,2539,Souley Boum Defensive Rebound.,29,20
1:30,2539,Souley Boum made Layup.,29,22
1:20,2184,Duquesne  Timeout,29,22
1:06,2184,Tarin Smith missed Jumper.,29,22
1:06,2539,Matt McCarthy Defensive Rebound.,29,22
0:44,2539,Jordan Ratinho Turnover.,29,22
0:29,2184,Eric Williams Jr. missed Layup.,29,22
0:29,2539,Taavi Jurkatamm Defensive Rebound.,29,22
0:06,2539,Foul on Souley Boum.,29,22
0:06,2539,Souley Boum Turnover.,29,22
0:01,2184,Tarin Smith missed Layup.,29,22
0:01,2184,Kellon Taylor Offensive Rebound.,29,22
0:00,2184,Kellon Taylor made Layup.,31,22
0:00,2539,End of 1st half,31,22
19:45,2539,Foul on Matt McCarthy.,31,22
19:45,2184,Tydus Verhoeven missed Free Throw.,31,22
19:45,2184,Duquesne Deadball Team Rebound.,31,22
19:45,2184,Tydus Verhoeven missed Free Throw.,31,22
19:45,2184,Chas Brown Offensive Rebound.,31,22
19:28,2184,Tydus Verhoeven missed Layup.,31,22
19:28,2539,Matt McCarthy Defensive Rebound.,31,22
19:20,2539,Taavi Jurkatamm made Three Point Jumper. Assisted by Mladen Djordjevic.,31,25
19:02,2184,Mike Lewis II missed Three Point Jumper.,31,25
19:02,2539,Jordan Ratinho Defensive Rebound.,31,25
18:53,2539,Taavi Jurkatamm made Three Point Jumper. Assisted by Souley Boum.,31,28
18:29,2539,Foul on Mladen Djordjevic.,31,28
18:25,2184,Mike Lewis II made Three Point Jumper.,34,28
18:04,2539,Mladen Djordjevic missed Three Point Jumper.,34,28
18:04,2184,Eric Williams Jr. Defensive Rebound.,34,28
17:55,2184,Foul on Chas Brown.,34,28
17:55,2184,Chas Brown Turnover.,34,28
17:42,2539,Matt McCarthy made Layup. Assisted by Mladen Djordjevic.,34,30
17:35,2184,Duquesne  Timeout,34,30
17:26,2184,Eric Williams Jr. missed Layup.,34,30
17:26,2539,Jordan Ratinho Block.,34,30
17:25,2539,Matt McCarthy Defensive Rebound.,34,30
17:18,2539,Jordan Ratinho missed Three Point Jumper.,34,30
17:18,2184,Eric Williams Jr. Block.,34,30
17:15,2184,Kellon Taylor Defensive Rebound.,34,30
17:10,2184,Foul on Kellon Taylor.,34,30
17:10,2184,Kellon Taylor Turnover.,34,30
16:58,2184,Foul on Kellon Taylor.,34,30
16:50,2539,Taavi Jurkatamm missed Layup.,34,30
16:50,2184,Jordan Robinson Defensive Rebound.,34,30
16:25,2184,Jordan Robinson missed Layup.,34,30
16:25,2539,Matt McCarthy Defensive Rebound.,34,30
16:19,2184,Foul on Jordan Robinson.,34,30
16:19,2539,Souley Boum missed Free Throw.,34,30
16:19,2539,San Francisco Deadball Team Rebound.,34,30
16:19,2539,Souley Boum made Free Throw.,34,31
16:00,2539,Foul on Mladen Djordjevic.,34,31
16:00,2539,Official TV Timeout,34,31
15:46,2184,Mike Lewis II made Three Point Jumper. Assisted by Kellon Taylor.,37,31
15:32,2539,San Francisco  Timeout,37,31
15:28,2539,Souley Boum missed Layup.,37,31
15:28,2184,Eric Williams Jr. Defensive Rebound.,37,31
15:13,2184,Foul on Kellon Taylor.,37,31
15:13,2184,Kellon Taylor Turnover.,37,31
15:03,2539,Chase Foster made Layup. Assisted by Mladen Djordjevic.,37,33
14:46,2184,Foul on Chas Brown.,37,33
14:46,2184,Chas Brown Turnover.,37,33
14:24,2539,Mladen Djordjevic missed Three Point Jumper.,37,33
14:24,2184,Eric Williams Jr. Defensive Rebound.,37,33
14:13,2539,Foul on Matt McCarthy.,37,33
14:10,2184,Eric Williams Jr. missed Jumper.,37,33
14:10,2539,Chase Foster Defensive Rebound.,37,33
14:03,2539,Chase Foster missed Layup.,37,33
14:03,2184,Tarin Smith Block.,37,33
13:59,2539,Chase Foster Offensive Rebound.,37,33
13:54,2539,Mladen Djordjevic Turnover.,37,33
13:52,2184,Mike Lewis II Steal.,37,33
13:49,2184,Eric Williams Jr. made Three Point Jumper. Assisted by Mike Lewis II.,40,33
13:30,2539,Chase Foster made Layup. Assisted by Erik Poulsen.,40,35
13:07,2184,Tarin Smith missed Layup.,40,35
13:07,2539,Chase Foster Defensive Rebound.,40,35
13:02,2184,Foul on Kellon Taylor.,40,35
13:02,2539,Chase Foster made Free Throw.,40,36
13:02,2539,Chase Foster made Free Throw.,40,37
12:42,2539,Foul on Souley Boum.,40,37
12:42,2184,Mike Lewis II made Free Throw.,41,37
12:42,2184,Mike Lewis II made Free Throw.,42,37
12:42,2184,Mike Lewis II made Free Throw.,43,37
12:27,2539,Erik Poulsen missed Layup.,43,37
12:27,2184,Tydus Verhoeven Block.,43,37
12:26,2184,Tydus Verhoeven Defensive Rebound.,43,37
12:00,2184,Rene Castro-Caneddy Turnover.,43,37
12:00,2539,Official TV Timeout,43,37
11:57,2539,Chase Foster made Layup.,43,39
11:40,2184,Mike Lewis II made Three Point Jumper. Assisted by Tarin Smith.,46,39
11:21,2539,Chase Foster missed Three Point Jumper.,46,39
11:21,2184,Mike Lewis II Defensive Rebound.,46,39
10:57,2539,Foul on Chase Foster.,46,39
10:57,2184,Mike Lewis II made Free Throw.,47,39
10:57,2184,Mike Lewis II made Free Throw.,48,39
10:44,2539,Nate Renfro made Dunk. Assisted by Frankie Ferrari.,48,41
10:23,2184,Eric Williams Jr. missed Three Point Jumper.,48,41
10:23,2539,Souley Boum Defensive Rebound.,48,41
10:11,2539,Souley Boum missed Jumper.,48,41
10:11,2184,Eric Williams Jr. Defensive Rebound.,48,41
10:11,2539,Foul on Nate Renfro.,48,41
10:11,2184,Eric Williams Jr. missed Free Throw.,48,41
10:11,2539,Souley Boum Defensive Rebound.,48,41
10:02,2539,Jordan Ratinho Turnover.,48,41
9:47,2539,Foul on Nate Renfro.,48,41
9:47,2184,Eric Williams Jr. missed Free Throw.,48,41
9:47,2184,Duquesne Deadball Team Rebound.,48,41
9:47,2184,Eric Williams Jr. made Free Throw.,49,41
9:33,2539,Matt McCarthy missed Layup.,49,41
9:33,2184,Tydus Verhoeven Defensive Rebound.,49,41
9:21,2184,Mike Lewis II made Three Point Jumper.,52,41
9:03,2539,Souley Boum made Three Point Jumper. Assisted by Frankie Ferrari.,52,44
8:34,2184,Tarin Smith made Layup.,54,44
8:34,2539,Foul on Jordan Ratinho.,54,44
8:34,2184,Tarin Smith made Free Throw.,55,44
8:22,2539,Souley Boum made Layup.,55,46
7:51,2184,Foul on Tarin Smith.,55,46
7:51,2184,Tarin Smith Turnover.,55,46
7:51,2539,Official TV Timeout,55,46
7:43,2184,Foul on Eric James.,55,46
7:43,2539,Souley Boum made Free Throw.,55,47
7:43,2539,Souley Boum made Free Throw.,55,48
7:19,2184,Tarin Smith missed Layup.,55,48
7:19,2539,Nate Renfro Block.,55,48
7:19,2184,Duquesne Offensive Rebound.,55,48
7:15,2184,Tarin Smith missed Three Point Jumper.,55,48
7:15,2184,Kellon Taylor Offensive Rebound.,55,48
6:50,2184,Tarin Smith Turnover.,55,48
6:49,2539,Nate Renfro Steal.,55,48
6:46,2539,Souley Boum missed Three Point Jumper.,55,48
6:46,2184,Mike Lewis II Defensive Rebound.,55,48
6:37,2184,Mike Lewis II missed Layup.,55,48
6:37,2539,Nate Renfro Defensive Rebound.,55,48
6:28,2539,Matt McCarthy made Layup. Assisted by Nate Renfro.,55,50
6:10,2184,Rene Castro-Caneddy Turnover.,55,50
5:58,2539,Frankie Ferrari made Three Point Jumper. Assisted by Souley Boum.,55,53
5:32,2184,Eric Williams Jr. missed Jumper.,55,53
5:32,2539,Nate Renfro Defensive Rebound.,55,53
5:08,2539,Matt McCarthy missed Layup.,55,53
5:08,2184,Eric Williams Jr. Defensive Rebound.,55,53
5:02,2184,Tarin Smith missed Layup.,55,53
5:02,2539,Nate Renfro Block.,55,53
4:59,2539,Nate Renfro Defensive Rebound.,55,53
4:56,2539,Chase Foster made Three Point Jumper. Assisted by Nate Renfro.,55,56
4:45,2184,Duquesne  Timeout,55,56
4:31,2184,Chas Brown missed Layup.,55,56
4:31,2184,Kellon Taylor Offensive Rebound.,55,56
4:21,2184,Mike Lewis II missed Layup.,55,56
4:21,2539,Nate Renfro Defensive Rebound.,55,56
4:03,2539,Souley Boum Turnover.,55,56
3:48,2184,Eric Williams Jr. made Layup.,57,56
3:31,2539,Souley Boum missed Layup.,57,56
3:31,2184,Duquesne Defensive Rebound.,57,56
3:29,2539,Official TV Timeout,57,56
3:21,2539,Foul on Nate Renfro.,57,56
3:21,2184,Eric Williams Jr. made Free Throw.,58,56
3:21,2184,Eric Williams Jr. made Free Throw.,59,56
3:10,2539,Frankie Ferrari made Layup.,59,58
2:30,2184,Duquesne  Turnover.,59,58
2:16,2539,Frankie Ferrari made Jumper.,59,60
1:45,2184,Kellon Taylor made Layup. Assisted by Mike Lewis II.,61,60
1:30,2539,Nate Renfro made Layup. Assisted by Matt McCarthy.,61,62
1:11,2184,Tarin Smith made Layup.,63,62
1:11,2539,Foul on Souley Boum.,63,62
1:11,2184,Tarin Smith made Free Throw.,64,62
1:01,2539,Frankie Ferrari missed Jumper.,64,62
1:01,2184,Eric Williams Jr. Defensive Rebound.,64,62
0:34,2184,Tarin Smith missed Three Point Jumper.,64,62
0:34,2539,Frankie Ferrari Defensive Rebound.,64,62
0:30,2539,Souley Boum Turnover.,64,62
0:29,2184,Kellon Taylor Steal.,64,62
0:16,2184,Eric Williams Jr. made Dunk. Assisted by Kellon Taylor.,66,62
0:10,2539,Matt McCarthy made Dunk. Assisted by Nate Renfro.,66,64
0:10,2184,Foul on Chas Brown.,66,64
0:10,2539,Matt McCarthy made Free Throw.,66,65
0:09,2539,Foul on Chase Foster.,66,65
0:09,2184,Mike Lewis II missed Free Throw.,66,65
0:09,2184,Duquesne Deadball Team Rebound.,66,65
0:09,2184,Mike Lewis II made Free Throw.,67,65
0:06,2539,San Francisco  Timeout,67,65
0:03,2539,Chase Foster missed Jumper.,67,65
0:01,2539,San Francisco Offensive Rebound.,67,65
0:01,2184,Duquesne  Timeout,67,65
0:00,2539,End of Game,67,65
