Allen,Error,Campbell,2097
4:33,-1,Brandon Moore Turnover.,23,43
4:32,2097,Cory Gensler Steal.,23,43
4:15,2097,Brooks Cluxton Turnover.,23,43
4:15,2097,Foul on Brooks Cluxton.,23,43
3:58,2097,Official TV Timeout,23,43
3:54,-1,Vernon Jackson missed Jumper.,23,43
3:54,2097,Marcus Burk Defensive Rebound.,23,43
3:44,2097,Shane Whitfield made Dunk. Assisted by Chris Clemons.,23,45
3:32,-1,Kenneth Role missed Three Point Jumper.,23,45
3:32,2097,Shane Whitfield Defensive Rebound.,23,45
3:18,2097,Cory Gensler missed Three Point Jumper.,23,45
3:18,-1,Quincy Washington Defensive Rebound.,23,45
2:56,-1,Brandon Moore made Jumper.,25,45
2:30,2097,Shane Whitfield Turnover.,25,45
2:18,-1,Quincy Washington missed Three Point Jumper.,25,45
2:18,-1,Vernon Jackson Offensive Rebound.,25,45
2:04,2097,Foul on Shane Whitfield.,25,45
2:04,-1,Vernon Jackson made Free Throw.,26,45
2:04,-1,Vernon Jackson missed Free Throw.,26,45
2:04,2097,Shane Whitfield Defensive Rebound.,26,45
1:57,2097,Shane Whitfield missed Jumper.,26,45
1:57,-1,Brandon Moore Block.,26,45
1:57,-1,Leroy Williams II Defensive Rebound.,26,45
1:47,2097,Foul on Andrew Eudy.,26,45
1:47,-1,Kenneth Role made Free Throw.,27,45
1:47,-1,Kenneth Role made Free Throw.,28,45
1:47,-1,Allen  Timeout,28,45
1:47,-1,Kenneth Role made Free Throw.,29,45
1:23,-1,Foul on Vernon Jackson.,29,45
1:23,2097,Chris Clemons made Free Throw.,29,46
1:23,2097,Chris Clemons made Free Throw.,29,47
1:07,-1,Vernon Jackson Turnover.,29,47
1:06,2097,Chris Clemons Steal.,29,47
1:03,2097,Chris Clemons missed Dunk.,29,47
1:03,2097,Damontez Oliver Offensive Rebound.,29,47
1:00,2097,Damontez Oliver made Layup.,29,49
0:43,-1,Brandon Moore Turnover.,29,49
0:20,2097,Damontez Oliver missed Three Point Jumper.,29,49
0:20,-1,Brandon Moore Defensive Rebound.,29,49
0:03,-1,Leroy Williams II missed Three Point Jumper.,29,49
0:03,2097,Chris Clemons Defensive Rebound.,29,49
0:00,2097,End of 1st half,29,49
19:46,-1,Brandon Moore Turnover.,29,49
19:29,2097,Chris Clemons made Three Point Jumper.,29,52
19:10,-1,Quincy Washington made Three Point Jumper. Assisted by Vernon Jackson.,32,52
18:48,2097,Marcus Burk missed Three Point Jumper.,32,52
18:48,-1,Brandon Moore Defensive Rebound.,32,52
18:33,-1,Quincy Washington made Layup.,34,52
18:33,2097,Foul on Cory Gensler.,34,52
18:33,-1,Quincy Washington made Free Throw.,35,52
18:22,-1,Foul on Leroy Williams II.,35,52
18:18,2097,Campbell  Timeout,35,52
18:18,2097,Official TV Timeout,35,52
18:05,-1,Foul on Brandon Moore.,35,52
18:05,2097,Marcus Burk made Free Throw.,35,53
18:05,2097,Marcus Burk made Free Throw.,35,54
17:46,-1,Vernon Jackson made Three Point Jumper. Assisted by Quincy Washington.,38,54
17:09,2097,Cory Gensler made Layup. Assisted by Marcus Burk.,38,56
16:48,-1,Vernon Jackson missed Three Point Jumper.,38,56
16:48,-1,Dhonte Ford Offensive Rebound.,38,56
16:31,-1,Dhonte Ford missed Three Point Jumper.,38,56
16:31,2097,Campbell Defensive Rebound.,38,56
16:12,-1,Foul on Quincy Washington.,38,56
16:05,2097,Marcus Burk made Three Point Jumper. Assisted by Chris Clemons.,38,59
15:51,-1,Dhonte Ford Turnover.,38,59
15:50,2097,Andrew Eudy Steal.,38,59
15:47,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,38,61
15:45,-1,Allen  Timeout,38,61
15:45,2097,Official TV Timeout,38,61
15:33,2097,Foul on Shane Whitfield.,38,61
15:33,-1,Demetrius Richardson missed Free Throw.,38,61
15:33,-1,Allen Deadball Team Rebound.,38,61
15:33,-1,Demetrius Richardson missed Free Throw.,38,61
15:33,2097,Shane Whitfield Defensive Rebound.,38,61
15:06,2097,Marcus Burk missed Three Point Jumper.,38,61
15:06,-1,Demetrius Richardson Defensive Rebound.,38,61
14:56,-1,Brandon Moore Turnover.,38,61
14:37,-1,Foul on Demetrius Richardson.,38,61
14:37,2097,Andrew Eudy missed Free Throw.,38,61
14:37,2097,Campbell Deadball Team Rebound.,38,61
14:37,2097,Andrew Eudy missed Free Throw.,38,61
14:37,-1,Demetrius Richardson Defensive Rebound.,38,61
14:19,-1,Brandon Moore missed Layup.,38,61
14:19,2097,Andrew Eudy Block.,38,61
14:19,-1,Allen Offensive Rebound.,38,61
14:16,-1,Kenneth Role missed Jumper.,38,61
14:16,2097,Chris Clemons Block.,38,61
14:14,2097,Andrew Eudy Defensive Rebound.,38,61
14:04,2097,Ja'Cor Nelson missed Dunk.,38,61
14:04,-1,Zaunce Simmons Block.,38,61
13:57,-1,Dhonte Ford Defensive Rebound.,38,61
13:53,-1,Vernon Jackson missed Layup.,38,61
13:53,-1,Demetrius Richardson Offensive Rebound.,38,61
13:53,2097,Foul on Ja'Cor Nelson.,38,61
13:53,-1,Demetrius Richardson made Free Throw.,39,61
13:53,-1,Demetrius Richardson made Free Throw.,40,61
13:46,-1,Foul on Brandon Moore.,40,61
13:46,2097,Shane Whitfield made Free Throw.,40,62
13:46,2097,Shane Whitfield made Free Throw.,40,63
13:40,-1,Dhonte Ford made Jumper.,42,63
13:30,2097,Shane Whitfield made Layup. Assisted by Marcus Burk.,42,65
13:23,-1,Zaunce Simmons Turnover.,42,65
13:10,2097,Cory Gensler missed Three Point Jumper.,42,65
13:10,-1,Vernon Jackson Defensive Rebound.,42,65
13:00,-1,Zaunce Simmons missed Layup.,42,65
13:00,2097,Cory Gensler Defensive Rebound.,42,65
12:42,2097,Chris Clemons missed Jumper.,42,65
12:42,-1,Dhonte Ford Defensive Rebound.,42,65
12:31,-1,Dhonte Ford missed Layup.,42,65
12:31,-1,Dhonte Ford Offensive Rebound.,42,65
12:26,-1,Vernon Jackson made Jumper. Assisted by Dhonte Ford.,44,65
12:07,2097,Cory Gensler made Three Point Jumper. Assisted by Chris Clemons.,44,68
11:49,-1,Vernon Jackson missed Three Point Jumper.,44,68
11:49,2097,Cory Gensler Defensive Rebound.,44,68
11:37,2097,Official TV Timeout,44,68
11:34,-1,Foul on Demetrius Richardson.,44,68
11:23,2097,Chris Clemons made Dunk. Assisted by Shane Whitfield.,44,70
11:01,-1,Dhonte Ford missed Layup.,44,70
11:01,-1,Demetrius Richardson Offensive Rebound.,44,70
10:57,-1,Demetrius Richardson made Layup.,46,70
10:40,2097,Cory Gensler made Three Point Jumper. Assisted by Chris Clemons.,46,73
10:23,2097,Foul on Shane Whitfield.,46,73
10:20,-1,Quincy Washington made Jumper.,48,73
10:04,2097,Cory Gensler missed Three Point Jumper.,48,73
10:04,2097,Damontez Oliver Offensive Rebound.,48,73
10:00,-1,Foul on Jarrett Kershaw.,48,73
10:00,2097,Damontez Oliver missed Free Throw.,48,73
10:00,-1,Brandon Moore Defensive Rebound.,48,73
9:50,2097,Foul on Jordan Whitfield.,48,73
9:44,-1,Brandon Moore missed Jumper.,48,73
9:44,2097,Andrew Eudy Defensive Rebound.,48,73
9:23,2097,Jordan Whitfield made Three Point Jumper. Assisted by Chris Clemons.,48,76
9:02,-1,Quincy Washington missed Jumper.,48,76
9:02,2097,Chris Clemons Defensive Rebound.,48,76
8:50,2097,Jordan Whitfield Turnover.,48,76
8:36,-1,Jarrett Kershaw Turnover.,48,76
8:36,-1,Foul on Jarrett Kershaw.,48,76
8:23,2097,Jordan Whitfield missed Three Point Jumper.,48,76
8:23,-1,Brandon Moore Defensive Rebound.,48,76
8:17,-1,Brandon Moore Turnover.,48,76
8:17,2097,Chris Clemons Steal.,48,76
8:14,2097,Cory Gensler missed Three Point Jumper.,48,76
8:14,-1,Brandon Moore Defensive Rebound.,48,76
7:53,-1,Quincy Washington missed Jumper.,48,76
7:53,-1,Quincy Washington Offensive Rebound.,48,76
7:52,-1,Quincy Washington made Two Point Tip Shot.,50,76
7:33,2097,Cory Gensler missed Three Point Jumper.,50,76
7:33,2097,Jordan Whitfield Offensive Rebound.,50,76
7:27,2097,Cory Gensler made Layup. Assisted by Jordan Whitfield.,50,78
7:27,-1,Foul on Brandon Moore.,50,78
7:27,2097,Official TV Timeout,50,78
7:27,-1,Technical Foul on Allen.,50,78
7:27,2097,Chris Clemons made Free Throw.,50,79
7:27,2097,Cory Gensler missed Free Throw.,50,79
7:27,-1,Brandon Moore Defensive Rebound.,50,79
7:09,2097,Foul on Cory Gensler.,50,79
7:09,-1,Logan Parvis missed Free Throw.,50,79
7:09,-1,Allen Deadball Team Rebound.,50,79
7:09,-1,Logan Parvis made Free Throw.,51,79
6:42,2097,Damontez Oliver made Three Point Jumper.,51,82
6:25,-1,Quincy Washington missed Three Point Jumper.,51,82
6:25,2097,Campbell Defensive Rebound.,51,82
5:56,2097,Jordan Whitfield missed Jumper.,51,82
5:56,-1,Leroy Williams II Defensive Rebound.,51,82
5:35,-1,Brandon Moore missed Jumper.,51,82
5:35,2097,Brooks Cluxton Block.,51,82
5:35,2097,Brooks Cluxton Defensive Rebound.,51,82
5:10,2097,Damontez Oliver missed Three Point Jumper.,51,82
5:10,-1,Quincy Washington Defensive Rebound.,51,82
5:07,2097,Foul on Andrew Eudy.,51,82
5:07,-1,Quincy Washington made Free Throw.,52,82
5:07,-1,Quincy Washington missed Free Throw.,52,82
5:07,2097,Ja'Cor Nelson Defensive Rebound.,52,82
4:44,2097,Ja'Cor Nelson Turnover.,52,82
4:43,-1,Vernon Jackson Steal.,52,82
4:38,-1,Logan Parvis missed Jumper.,52,82
4:38,-1,Brandon Moore Offensive Rebound.,52,82
4:35,-1,Brandon Moore made Layup.,54,82
4:27,2097,Jon Ander Cuadra Turnover.,54,82
4:24,-1,Quincy Washington Steal.,54,82
4:22,-1,Vernon Jackson made Layup.,56,82
4:05,2097,Jon Ander Cuadra made Layup. Assisted by Ja'Cor Nelson.,56,84
3:51,2097,Foul on Jordan Whitfield.,56,84
3:51,2097,Official TV Timeout,56,84
3:51,-1,Vernon Jackson made Free Throw.,57,84
3:51,-1,Vernon Jackson missed Free Throw.,57,84
3:51,2097,Damontez Oliver Defensive Rebound.,57,84
3:33,2097,Brooks Cluxton missed Jumper.,57,84
3:33,2097,Brooks Cluxton Offensive Rebound.,57,84
3:28,2097,Brooks Cluxton made Layup.,57,86
3:17,-1,Quincy Washington missed Layup.,57,86
3:17,2097,Brooks Cluxton Block.,57,86
3:17,-1,Allen Offensive Rebound.,57,86
3:14,-1,Derrick Trawick missed Jumper.,57,86
3:14,2097,Brooks Cluxton Defensive Rebound.,57,86
3:12,-1,Foul on Logan Parvis.,57,86
3:10,2097,Brooks Cluxton missed Free Throw.,57,86
3:10,2097,Campbell Deadball Team Rebound.,57,86
3:09,2097,Brooks Cluxton missed Free Throw.,57,86
3:09,-1,Vernon Jackson Defensive Rebound.,57,86
3:03,-1,Vernon Jackson missed Jumper.,57,86
3:03,2097,Nick Parker Defensive Rebound.,57,86
2:48,-1,Foul on Kenneth Role.,57,86
2:48,2097,Jon Ander Cuadra missed Free Throw.,57,86
2:48,2097,Campbell Deadball Team Rebound.,57,86
2:48,2097,Jon Ander Cuadra made Free Throw.,57,87
2:42,2097,Foul on Ja'Cor Nelson.,57,87
2:42,-1,Zaunce Simmons missed Free Throw.,57,87
2:42,2097,Campbell Defensive Rebound.,57,87
2:31,2097,Ja'Cor Nelson Turnover.,57,87
2:31,2097,Foul on Ja'Cor Nelson.,57,87
2:19,-1,Kenneth Role made Three Point Jumper. Assisted by Vernon Jackson.,60,87
2:01,2097,Jon Ander Cuadra made Jumper. Assisted by Nick Parker.,60,89
2:00,-1,Foul on Logan Parvis.,60,89
2:00,2097,Jon Ander Cuadra missed Free Throw.,60,89
2:00,-1,Zaunce Simmons Defensive Rebound.,60,89
1:49,-1,Logan Parvis missed Three Point Jumper.,60,89
1:49,2097,Nick Parker Defensive Rebound.,60,89
1:32,2097,Jordan Whitfield Turnover.,60,89
1:31,-1,Vernon Jackson Steal.,60,89
1:29,-1,Vernon Jackson Turnover.,60,89
1:19,-1,Foul on Vernon Jackson.,60,89
1:19,2097,Nick Parker made Free Throw.,60,90
1:18,2097,Nick Parker made Free Throw.,60,91
1:09,-1,Kenneth Role missed Three Point Jumper.,60,91
1:09,2097,Brooks Cluxton Defensive Rebound.,60,91
0:53,2097,Brooks Cluxton missed Jumper.,60,91
0:53,-1,Zaunce Simmons Defensive Rebound.,60,91
0:46,-1,Vernon Jackson missed Jumper.,60,91
0:46,-1,Zaunce Simmons Offensive Rebound.,60,91
0:42,-1,Zaunce Simmons missed Jumper.,60,91
0:42,-1,Logan Parvis Offensive Rebound.,60,91
0:40,-1,Logan Parvis made Layup.,62,91
0:29,2097,Nick Parker Turnover.,62,91
0:29,2097,Foul on Nick Parker.,62,91
0:24,-1,Allen  Timeout,62,91
0:18,-1,Kenneth Role missed Three Point Jumper.,62,91
0:18,2097,Brooks Cluxton Defensive Rebound.,62,91
0:00,2097,End of Game,62,91
