UNC Asheville,2608,Saint Mary's,2427
8:34,2608,Emmett Naar Defensive Rebound.,22,36
8:25,2608,Cullen Neal Turnover.,22,36
8:22,2427,Jonathan Baehre Steal.,22,36
8:19,2427,Macio Teague made Layup.,24,36
7:54,2608,Tanner Krebs missed Three Point Jumper.,24,36
7:54,2427,Macio Teague Defensive Rebound.,24,36
7:40,2427,Macio Teague missed Three Point Jumper.,24,36
7:40,2608,Cullen Neal Defensive Rebound.,24,36
7:31,2608,Calvin Hermanson missed Three Point Jumper.,24,36
7:31,2427,Kevin Vannatta Defensive Rebound.,24,36
7:23,2608,Foul on Calvin Hermanson.,24,36
7:23,2427,Raekwon Miller made Free Throw.,25,36
7:23,2427,Raekwon Miller made Free Throw.,26,36
7:14,2427,Raekwon Miller made Jumper.,28,38
7:14,2427,Raekwon Miller made Jumper.,28,38
6:57,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,28,38
6:36,2427,Donovan Gilmore Turnover.,28,38
6:35,2608,Tanner Krebs Steal.,28,38
6:31,2608,Emmett Naar Turnover.,28,38
6:12,2427,Kevin Vannatta missed Layup.,28,38
6:12,2608,Evan Fitzner Defensive Rebound.,28,38
5:48,2608,Tanner Krebs missed Three Point Jumper.,28,38
5:48,2608,Evan Fitzner Offensive Rebound.,28,38
5:40,2608,Tanner Krebs made Three Point Jumper. Assisted by Jordan Ford.,28,41
5:17,2427,Macio Teague made Jumper.,30,41
5:15,2608,Foul on Jordan Ford.,30,41
5:15,2427,Macio Teague made Free Throw.,31,41
5:10,2608,Jock Landale Turnover.,31,41
5:09,2427,Donovan Gilmore Steal.,31,41
5:07,2427,Kevin Vannatta missed Layup.,31,41
5:07,2608,Tanner Krebs Block.,31,41
5:07,2427,UNC Asheville Offensive Rebound.,31,41
4:49,2427,Ahmad Thomas made Layup.,33,41
4:30,2608,Jock Landale made Layup.,33,43
4:30,2608,Official TV Timeout,33,43
4:13,2427,Jalen Seegars missed Jumper.,33,43
4:13,2427,UNC Asheville Offensive Rebound.,33,43
4:11,2608,Foul on Tanner Krebs.,33,43
4:07,2427,Ahmad Thomas Turnover.,33,43
4:05,2608,Tanner Krebs Steal.,33,43
3:40,2608,Jordan Hunter made Layup.,33,45
3:21,2427,Ahmad Thomas made Jumper.,35,45
3:14,2608,Tanner Krebs missed Three Point Jumper.,35,45
3:14,2427,Ahmad Thomas Defensive Rebound.,35,45
2:59,2427,Macio Teague missed Layup.,35,45
2:59,2608,Saint Mary's Defensive Rebound.,35,45
2:58,2427,Foul on Alec Wnuk.,35,45
2:58,2608,Tanner Krebs made Free Throw.,35,46
2:58,2608,Tanner Krebs made Free Throw.,35,47
2:47,2608,Foul on Calvin Hermanson.,35,47
2:41,2427,Macio Teague made Jumper. Assisted by Raekwon Miller.,37,47
2:15,2608,Emmett Naar made Jumper.,37,49
1:46,2427,Raekwon Miller missed Three Point Jumper.,37,49
1:46,2608,Jordan Ford Defensive Rebound.,37,49
1:27,2608,Jock Landale made Layup.,37,51
1:10,2427,Raekwon Miller missed Jumper.,37,51
1:10,2608,Tanner Krebs Defensive Rebound.,37,51
0:49,2608,Emmett Naar made Layup.,37,53
0:26,2427,Macio Teague made Jumper.,39,53
0:01,2608,Tanner Krebs made Three Point Jumper. Assisted by Emmett Naar.,39,56
0:00,2608,End of 1st half,37,53
19:38,2608,Calvin Hermanson Turnover.,39,56
19:38,2608,Foul on Calvin Hermanson.,39,56
19:25,2427,Macio Teague missed Jumper.,39,56
19:25,2608,Jock Landale Defensive Rebound.,39,56
19:10,2608,Jock Landale missed Jumper.,39,56
19:10,2608,Elijah Thomas Offensive Rebound.,39,56
19:09,2427,Foul on Jalen Seegars.,39,56
19:09,2608,Elijah Thomas missed Free Throw.,39,56
19:09,2608,Saint Mary's Deadball Team Rebound.,39,56
19:09,2608,Elijah Thomas made Free Throw.,39,57
18:37,2427,Macio Teague made Three Point Jumper.,42,57
18:19,2608,Emmett Naar missed Layup.,42,57
18:19,2427,Macio Teague Defensive Rebound.,42,57
18:12,2427,Kevin Vannatta missed Layup.,42,57
18:12,2427,Kevin Vannatta Offensive Rebound.,42,57
18:11,2608,Foul on Jock Landale.,42,57
18:11,2427,Kevin Vannatta made Free Throw.,43,57
18:11,2427,Kevin Vannatta made Free Throw.,44,57
17:53,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,44,59
17:40,2427,Kevin Vannatta made Jumper.,46,59
17:24,2427,Foul on Jalen Seegars.,46,59
17:04,2608,Elijah Thomas missed Layup.,46,59
17:04,2427,Alec Wnuk Defensive Rebound.,46,59
16:56,2427,Macio Teague Turnover.,46,59
16:37,2608,Elijah Thomas made Three Point Jumper. Assisted by Jordan Ford.,46,62
16:17,2608,Foul on Tanner Krebs.,46,62
16:17,2427,Alec Wnuk made Free Throw.,47,62
16:17,2427,Alec Wnuk made Free Throw.,48,62
15:56,2608,Tanner Krebs missed Three Point Jumper.,48,62
15:56,2608,Jock Landale Offensive Rebound.,48,62
15:53,2608,Emmett Naar missed Three Point Jumper.,48,62
15:53,2608,Tanner Krebs Offensive Rebound.,48,62
15:48,2427,Foul on Alec Wnuk.,48,62
15:48,2608,Official TV Timeout,48,62
15:04,2427,Jonathan Baehre missed Three Point Jumper.,48,62
15:04,2608,Emmett Naar Defensive Rebound.,48,62
14:46,2427,Foul on Jonathan Baehre.,48,62
14:46,2608,Jock Landale made Free Throw.,48,63
14:46,2608,Jock Landale made Free Throw.,48,64
14:35,2427,Raekwon Miller Turnover.,48,64
14:34,2608,Tanner Krebs Steal.,48,64
14:32,2427,Foul on Raekwon Miller.,48,64
14:32,2608,Tanner Krebs made Free Throw.,48,65
14:32,2608,Tanner Krebs made Free Throw.,48,66
14:12,2427,Ahmad Thomas missed Three Point Jumper.,48,66
14:12,2427,Jonathan Baehre Offensive Rebound.,48,66
14:06,2427,Macio Teague missed Three Point Jumper.,48,66
14:06,2608,Emmett Naar Defensive Rebound.,48,66
13:59,2608,Emmett Naar Turnover.,48,66
13:58,2427,Macio Teague Steal.,48,66
13:55,2608,Foul on Tanner Krebs.,48,66
13:55,2427,Ahmad Thomas made Free Throw.,49,66
13:55,2427,Ahmad Thomas made Free Throw.,50,66
13:42,2427,Foul on Raekwon Miller.,50,66
13:33,2608,Elijah Thomas missed Three Point Jumper.,50,66
13:33,2427,Kevin Vannatta Defensive Rebound.,50,66
13:25,2427,Raekwon Miller missed Three Point Jumper.,50,66
13:25,2608,Jock Landale Defensive Rebound.,50,66
13:03,2608,Tanner Krebs made Three Point Jumper. Assisted by Jock Landale.,50,69
12:47,2608,Foul on Jock Landale.,50,69
12:47,2427,Macio Teague missed Free Throw.,50,69
12:47,2427,UNC Asheville Deadball Team Rebound.,50,69
12:47,2427,Macio Teague made Free Throw.,51,69
12:33,2608,Tanner Krebs missed Three Point Jumper.,51,69
12:33,2427,Macio Teague Defensive Rebound.,51,69
12:25,2427,Macio Teague made Jumper.,53,69
12:03,2608,Cullen Neal Turnover.,53,69
12:02,2427,Macio Teague Steal.,53,69
11:58,2427,Ahmad Thomas missed Layup.,53,69
11:58,2608,Jordan Hunter Defensive Rebound.,53,69
11:56,2608,Official TV Timeout,51,69
11:56,2608,Elijah Thomas made Three Point Jumper. Assisted by Emmett Naar.,51,72
11:56,2608,Official TV Timeout,51,69
11:56,2608,Elijah Thomas made Three Point Jumper. Assisted by Emmett Naar.,51,72
11:35,2427,Donovan Gilmore Defensive Rebound.,53,72
11:35,2427,Foul on Donovan Gilmore.,51,72
11:35,2608,Jordan Hunter missed Free Throw.,51,72
11:35,2427,Donovan Gilmore Defensive Rebound.,51,72
11:35,2427,Foul on Donovan Gilmore.,51,72
11:35,2608,Jordan Hunter missed Free Throw.,51,72
11:35,2427,Donovan Gilmore Defensive Rebound.,51,72
11:27,2427,Donovan Gilmore made Dunk.,55,72
11:10,2427,Foul on Raekwon Miller.,55,72
11:10,2608,Jordan Hunter missed Free Throw.,55,72
11:10,2608,Saint Mary's Deadball Team Rebound.,55,72
11:10,2608,Jordan Hunter made Free Throw.,53,73
10:54,2427,Ahmad Thomas missed Layup.,53,73
10:54,2608,Elijah Thomas Defensive Rebound.,53,73
10:39,2608,Jock Perry made Layup. Assisted by Emmett Naar.,53,75
10:21,2427,Donovan Gilmore missed Layup.,53,75
10:21,2608,Tanner Krebs Defensive Rebound.,53,75
10:02,2427,Foul on Donovan Gilmore.,53,75
10:02,2608,Jock Perry missed Free Throw.,53,75
10:02,2608,Saint Mary's Deadball Team Rebound.,53,75
10:02,2608,Jock Perry made Free Throw.,53,76
9:50,2427,Ahmad Thomas missed Layup.,53,76
9:50,2608,Tanner Krebs Defensive Rebound.,53,76
9:22,2608,Emmett Naar missed Three Point Jumper.,53,76
9:22,2608,Cullen Neal Offensive Rebound.,53,76
9:16,2608,Cullen Neal made Layup.,53,78
9:05,2427,Ahmad Thomas missed Layup.,53,78
9:05,2608,Jock Perry Defensive Rebound.,53,78
8:57,2608,Tanner Krebs made Three Point Jumper. Assisted by Emmett Naar.,53,81
8:55,2608,Saint Mary's  Timeout,53,81
8:49,2608,Foul on Cullen Neal.,53,81
8:46,2427,Ahmad Thomas missed Layup.,53,81
8:46,2608,Jock Perry Defensive Rebound.,53,81
8:26,2608,Calvin Hermanson missed Three Point Jumper.,53,81
8:26,2427,Macio Teague Defensive Rebound.,53,81
8:12,2427,Alec Wnuk Turnover.,53,81
8:12,2427,Foul on Alec Wnuk.,53,81
7:58,2608,Evan Fitzner missed Three Point Jumper.,53,81
7:58,2608,Saint Mary's Offensive Rebound.,53,81
7:55,2608,Official TV Timeout,53,81
7:30,2608,Jock Perry made Layup. Assisted by Cullen Neal.,53,83
7:30,2608,Jock Perry made Layup. Assisted by Cullen Neal.,53,83
7:30,2608,Jock Perry made Layup. Assisted by Cullen Neal.,55,83
6:49,2608,Cullen Neal made Three Point Jumper. Assisted by Jordan Ford.,55,86
6:49,2608,Cullen Neal made Three Point Jumper. Assisted by Jordan Ford.,55,86
6:49,2608,Cullen Neal made Three Point Jumper. Assisted by Jordan Ford.,55,86
6:49,2608,Cullen Neal made Three Point Jumper. Assisted by Jordan Ford.,55,86
6:29,2427,Raekwon Miller Turnover.,55,86
6:29,2427,Raekwon Miller Turnover.,55,86
6:29,2427,Raekwon Miller Turnover.,55,86
6:26,2608,Calvin Hermanson Steal.,55,86
6:26,2608,Calvin Hermanson Steal.,55,86
6:26,2608,Calvin Hermanson Steal.,55,86
6:21,2608,Cullen Neal missed Layup.,55,86
6:21,2427,Raekwon Miller Defensive Rebound.,55,86
6:12,2427,Raekwon Miller missed Layup.,55,86
6:12,2608,Cullen Neal Defensive Rebound.,55,86
6:12,2427,Raekwon Miller missed Layup.,55,86
6:12,2608,Cullen Neal Defensive Rebound.,55,86
6:11,2427,Foul on Donovan Gilmore.,55,86
5:43,2608,Evan Fitzner missed Layup.,55,86
5:43,2427,Kevin Vannatta Defensive Rebound.,55,86
5:40,2427,Ahmad Thomas made Jumper.,57,86
5:26,2608,Evan Fitzner made Dunk. Assisted by Elijah Thomas.,57,88
5:10,2427,Donovan Gilmore missed Jumper.,57,88
5:10,2608,Cullen Neal Defensive Rebound.,57,88
4:54,2608,Jordan Hunter made Layup.,57,90
4:28,2427,Ahmad Thomas made Jumper.,59,90
4:28,2608,Official TV Timeout,59,90
4:07,2608,Jordan Hunter Turnover.,59,90
3:59,2427,Donovan Gilmore made Dunk. Assisted by Drew Rackley.,61,90
3:29,2608,Evan Fitzner missed Jumper.,61,90
3:29,2427,Donovan Gilmore Defensive Rebound.,61,90
3:25,2427,Donovan Gilmore missed Jumper.,61,90
3:25,2608,Jordan Ford Defensive Rebound.,61,90
3:06,2608,Jordan Hunter missed Layup.,61,90
3:06,2427,Jonathan Baehre Defensive Rebound.,61,90
2:54,2608,Foul on Jordan Hunter.,61,90
2:54,2427,Donovan Gilmore made Free Throw.,62,90
2:54,2427,Donovan Gilmore made Free Throw.,63,90
2:32,2608,Tommy Kuhse made Layup.,63,92
2:16,2427,Jonathan Baehre made Layup. Assisted by Raekwon Miller.,65,92
1:58,2608,Jock Perry missed Three Point Jumper.,65,92
1:58,2427,Raekwon Miller Defensive Rebound.,65,92
1:52,2427,Jonathan Baehre made Layup. Assisted by Raekwon Miller.,67,92
1:18,2608,Jordan Ford missed Jumper.,67,92
1:18,2427,Donovan Gilmore Defensive Rebound.,67,92
1:11,2427,Drew Rackley made Layup.,69,92
0:54,2608,Tommy Kuhse made Three Point Jumper. Assisted by Jordan Ford.,69,95
0:51,2608,Saint Mary's  Timeout,69,95
0:33,2427,Jonathan Baehre missed Three Point Jumper.,69,95
0:33,2427,Donovan Gilmore Offensive Rebound.,69,95
0:24,2427,Drew Rackley missed Jumper.,69,95
0:24,2608,Elijah Thomas Defensive Rebound.,69,95
0:00,2608,End of 2nd half,69,95
