UNC Wilmington,47,Howard,350
8:29,47,RJ Cole missed Three Point Jumper.,21,17
8:29,350,Marcus Bryan Defensive Rebound.,21,17
8:13,350,Marcus Bryan made Jumper. Assisted by Jacque Brown.,23,17
7:47,47,Charles Williams made Layup.,23,19
7:32,350,Marcus Bryan Turnover.,23,19
7:32,47,Official TV Timeout,23,19
7:04,47,Kyle Foster missed Three Point Jumper.,23,19
7:04,350,Jaylen Fornes Defensive Rebound.,23,19
6:47,350,Jaylen Fornes made Layup.,25,19
6:47,47,Foul on Zion Cousins.,25,19
6:47,350,Jaylen Fornes missed Free Throw.,25,19
6:47,47,Kyle Foster Defensive Rebound.,25,19
6:35,350,Foul on Ty Taylor II.,25,19
6:23,350,Foul on Jaylen Fornes.,25,19
6:23,47,Charles Williams made Free Throw.,25,20
6:23,47,Charles Williams made Free Throw.,25,21
6:10,350,Jaylen Fornes missed Jumper.,25,21
6:10,47,RJ Cole Defensive Rebound.,25,21
6:01,47,Charles Williams made Three Point Jumper. Assisted by RJ Cole.,25,24
5:42,350,Ty Taylor II made Three Point Jumper. Assisted by Jay Estime'.,28,24
5:31,47,RJ Cole made Jumper.,28,26
5:21,350,Jaylen Fornes made Layup.,30,26
5:02,47,RJ Cole missed Jumper.,30,26
5:02,350,Devontae Cacok Defensive Rebound.,30,26
5:02,47,Foul on Cameron Lewis.,30,26
4:48,47,Foul on Marcus Hall.,30,26
4:48,350,Devontae Cacok missed Free Throw.,30,26
4:48,350,UNC Wilmington Deadball Team Rebound.,30,26
4:48,350,Devontae Cacok made Free Throw.,31,26
4:35,47,Nate Garvey missed Three Point Jumper.,31,26
4:35,350,Devontae Cacok Defensive Rebound.,31,26
4:32,47,Foul on Marcus Hall.,31,26
4:32,350,Devontae Cacok made Free Throw.,32,26
4:32,350,Devontae Cacok made Free Throw.,33,26
3:59,47,Nate Garvey missed Jumper.,33,26
3:59,350,Jay Estime' Defensive Rebound.,33,26
3:55,47,Foul on Nate Garvey.,33,26
3:55,47,Official TV Timeout,33,26
3:55,350,Devontae Cacok made Free Throw.,34,26
3:55,350,Devontae Cacok missed Free Throw.,34,26
3:55,47,Marcus Hall Defensive Rebound.,34,26
3:35,47,Charles Williams missed Jumper.,34,26
3:35,47,Marcus Hall Offensive Rebound.,34,26
3:29,47,RJ Cole missed Jumper.,34,26
3:29,350,UNC Wilmington Defensive Rebound.,34,26
3:20,350,Jordon Talley missed Three Point Jumper.,34,26
3:20,47,Jalen Jones Defensive Rebound.,34,26
3:09,47,RJ Cole Turnover.,34,26
3:06,350,Ty Taylor II Steal.,34,26
3:04,350,Ty Taylor II made Layup.,36,26
2:41,350,Foul on Jeffrey Gary.,36,26
2:41,47,Jalen Jones missed Free Throw.,36,26
2:41,350,Devontae Cacok Defensive Rebound.,36,26
2:33,350,Jay Estime' Turnover.,36,26
2:32,47,RJ Cole Steal.,36,26
2:26,350,Foul on Jay Estime'.,36,26
2:26,47,Charles Williams missed Free Throw.,36,26
2:26,47,Howard Deadball Team Rebound.,36,26
2:26,47,Charles Williams made Free Throw.,36,27
2:05,350,Jordon Talley missed Three Point Jumper.,36,27
2:05,350,Jay Estime' Offensive Rebound.,36,27
2:00,350,Jeffrey Gary Turnover.,36,27
1:40,47,Cameron Lewis made Layup. Assisted by RJ Cole.,36,29
1:27,350,Ty Taylor II missed Jumper.,36,29
1:27,47,Howard Defensive Rebound.,36,29
1:08,47,Charles Williams made Three Point Jumper. Assisted by RJ Cole.,36,32
0:44,350,Jordon Talley missed Jumper.,36,32
0:44,350,Devontae Cacok Offensive Rebound.,36,32
0:42,47,Foul on Michael Obindu.,36,32
0:42,350,Devontae Cacok made Free Throw.,37,32
0:42,350,Devontae Cacok made Free Throw.,38,32
0:37,47,Howard  Timeout,38,32
0:25,47,Charles Williams missed Jumper.,38,32
0:25,350,Devontae Cacok Defensive Rebound.,38,32
0:04,350,Devontae Cacok made Jumper.,40,32
0:00,47,End of 1st half,40,32
19:42,47,RJ Cole Turnover.,40,32
19:41,350,Jordon Talley Steal.,40,32
19:37,350,Jordon Talley Turnover.,40,32
19:28,47,Charles Williams missed Jumper.,40,32
19:28,350,Marcus Bryan Defensive Rebound.,40,32
19:08,350,Foul on Jaylen Fornes.,40,32
19:08,350,Jaylen Fornes Turnover.,40,32
18:47,350,Foul on Ty Taylor II.,40,32
18:43,47,Zion Cousins Turnover.,40,32
18:32,350,Devontae Cacok missed Jumper.,40,32
18:32,47,Cameron Lewis Defensive Rebound.,40,32
18:19,47,Jalen Jones Turnover.,40,32
18:11,350,Devontae Cacok made Layup. Assisted by Marcus Bryan.,42,32
17:57,47,RJ Cole made Three Point Jumper.,42,35
17:45,350,Jay Estime' made Three Point Jumper.,45,35
17:17,47,Charles Williams missed Jumper.,45,35
17:17,350,Devontae Cacok Block.,45,35
17:14,47,Zion Cousins Offensive Rebound.,45,35
17:14,350,Foul on Jordon Talley.,45,35
17:14,47,RJ Cole made Free Throw.,45,36
17:14,47,RJ Cole missed Free Throw.,45,36
17:14,47,Howard Deadball Team Rebound.,45,36
17:14,47,RJ Cole made Free Throw.,45,37
17:00,350,Ty Taylor II Turnover.,45,37
16:59,47,RJ Cole Steal.,45,37
16:56,47,RJ Cole made Layup.,45,39
16:40,47,Foul on Cameron Lewis.,45,39
16:40,350,Marcus Bryan missed Free Throw.,45,39
16:40,350,UNC Wilmington Deadball Team Rebound.,45,39
16:40,350,Marcus Bryan missed Free Throw.,45,39
16:40,350,Devontae Cacok Offensive Rebound.,45,39
16:36,350,Devontae Cacok missed Layup.,45,39
16:36,350,Jay Estime' Offensive Rebound.,45,39
16:36,350,Jay Estime' made Layup.,47,39
16:36,47,Foul on Marcus Hall.,47,39
16:36,350,Jay Estime' made Free Throw.,48,39
16:25,47,Zion Cousins missed Jumper.,48,39
16:25,47,RJ Cole Offensive Rebound.,48,39
16:23,47,RJ Cole missed Layup.,48,39
16:23,350,Devontae Cacok Defensive Rebound.,48,39
16:16,47,Foul on Marcus Hall.,48,39
16:16,350,Ty Taylor II made Free Throw.,49,39
16:16,350,Ty Taylor II made Free Throw.,50,39
16:05,47,Charles Williams made Jumper.,50,41
15:42,350,Jay Estime' Turnover.,50,41
15:39,47,Zion Cousins Steal.,50,41
15:38,47,Charles Williams made Three Point Jumper.,50,44
15:37,47,Howard  Timeout,50,44
15:37,47,Official TV Timeout,50,44
15:32,47,Foul on Charles Williams.,50,44
15:32,47,Official TV Timeout,50,44
15:18,350,Ty Taylor II made Jumper. Assisted by Jordon Talley.,52,44
14:58,47,RJ Cole made Layup.,52,46
14:39,350,Jeffrey Gary missed Three Point Jumper.,52,46
14:39,47,RJ Cole Defensive Rebound.,52,46
14:25,47,Foul on Marcus Hall.,52,46
14:25,47,Marcus Hall Turnover.,52,46
14:09,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,54,46
13:47,350,Foul on Jeffrey Gary.,54,46
13:40,47,Charles Williams made Jumper.,54,48
13:17,350,Jeffrey Gary made Three Point Jumper. Assisted by Jordon Talley.,57,48
13:00,350,Foul on Nick Powell.,57,48
12:46,47,RJ Cole missed Layup.,57,48
12:46,47,Cameron Lewis Offensive Rebound.,57,48
12:43,350,Foul on Devontae Cacok.,57,48
12:43,47,Cameron Lewis made Free Throw.,57,49
12:43,47,Cameron Lewis made Free Throw.,57,50
12:27,350,Jaylen Fornes missed Three Point Jumper.,57,50
12:27,350,Devontae Cacok Offensive Rebound.,57,50
12:24,350,Devontae Cacok Turnover.,57,50
12:07,47,Foul on Jalen Jones.,57,50
12:07,47,Jalen Jones Turnover.,57,50
11:55,350,Jordon Talley missed Jumper.,57,50
11:55,47,Cameron Lewis Defensive Rebound.,57,50
11:46,47,Charles Williams missed Layup.,57,50
11:46,350,Jaylen Fornes Defensive Rebound.,57,50
11:39,350,Ty Taylor II missed Jumper.,57,50
11:39,47,Charles Williams Block.,57,50
11:39,350,UNC Wilmington Offensive Rebound.,57,50
11:38,47,Official TV Timeout,57,50
11:37,350,Ty Taylor II missed Three Point Jumper.,57,50
11:37,350,Jaylen Fornes Offensive Rebound.,57,50
11:31,350,Jaylen Fornes missed Layup.,57,50
11:23,47,RJ Cole Defensive Rebound.,57,50
11:06,47,RJ Cole missed Jumper.,57,50
11:06,350,Devontae Cacok Defensive Rebound.,57,50
10:56,350,Jeffrey Gary Turnover.,57,50
10:54,350,Foul on Ty Taylor II.,57,50
10:54,47,RJ Cole made Free Throw.,57,51
10:54,47,RJ Cole made Free Throw.,57,52
10:32,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,59,52
10:14,47,RJ Cole made Three Point Jumper.,59,55
9:56,350,Jordon Talley made Three Point Jumper. Assisted by Jeffrey Gary.,62,55
9:38,47,RJ Cole made Three Point Jumper.,62,58
9:19,47,Foul on Michael Obindu.,62,58
9:19,350,Devontae Cacok made Free Throw.,63,58
9:19,350,Devontae Cacok missed Free Throw.,63,58
9:19,47,Michael Obindu Defensive Rebound.,63,58
8:57,350,Foul on Ty Taylor II.,63,58
8:57,47,Jalen Jones missed Free Throw.,63,58
8:57,47,Howard Deadball Team Rebound.,63,58
8:57,47,Jalen Jones missed Free Throw.,63,58
8:57,350,Devontae Cacok Defensive Rebound.,63,58
8:51,350,Jaylen Fornes made Layup.,65,58
8:36,47,Foul on Michael Obindu.,65,58
8:36,47,Michael Obindu Turnover.,65,58
8:24,350,Jaylen Fornes missed Three Point Jumper.,65,58
8:24,350,Devontae Cacok Offensive Rebound.,65,58
8:14,350,Jeffrey Gary made Layup.,67,58
7:58,350,Foul on Jordon Talley.,67,58
7:58,47,Official TV Timeout,67,58
7:58,47,RJ Cole made Free Throw.,67,59
7:58,47,RJ Cole made Free Throw.,67,60
7:43,350,Foul on Devontae Cacok.,67,60
7:43,350,Devontae Cacok Turnover.,67,60
7:24,47,RJ Cole missed Three Point Jumper.,67,60
7:24,47,Zion Cousins Offensive Rebound.,67,60
7:23,350,Foul on Jay Estime'.,67,60
7:23,47,Zion Cousins missed Free Throw.,67,60
7:23,47,Howard Deadball Team Rebound.,67,60
7:23,47,Zion Cousins missed Free Throw.,67,60
7:23,350,Devontae Cacok Defensive Rebound.,67,60
7:04,350,Devontae Cacok missed Layup.,67,60
7:04,47,Jalen Jones Defensive Rebound.,67,60
6:57,47,Charles Williams Turnover.,67,60
6:56,350,Jeffrey Gary Steal.,67,60
6:42,350,Jordon Talley made Three Point Jumper.,70,60
6:20,47,Charles Williams made Layup.,70,62
6:20,350,Foul on Jeffrey Gary.,70,62
6:20,47,Charles Williams made Free Throw.,70,63
6:04,350,Jay Estime' missed Three Point Jumper.,70,63
6:04,47,RJ Cole Defensive Rebound.,70,63
5:52,47,RJ Cole made Three Point Jumper. Assisted by Jalen Jones.,70,66
5:31,350,Jay Estime' missed Jumper.,70,66
5:31,47,Jalen Jones Defensive Rebound.,70,66
5:22,47,Foul on Zion Cousins.,70,66
5:22,47,Zion Cousins Turnover.,70,66
5:09,350,Foul on Devontae Cacok.,70,66
5:09,350,Devontae Cacok Turnover.,70,66
4:50,47,RJ Cole made Three Point Jumper.,70,69
4:32,350,Jeffrey Gary missed Three Point Jumper.,70,69
4:32,350,Devontae Cacok Offensive Rebound.,70,69
4:31,47,Foul on Cameron Lewis.,70,69
4:31,350,Devontae Cacok missed Free Throw.,70,69
4:31,350,UNC Wilmington Deadball Team Rebound.,70,69
4:31,350,Devontae Cacok missed Free Throw.,70,69
4:31,47,Michael Obindu Defensive Rebound.,70,69
4:05,47,RJ Cole missed Jumper.,70,69
4:05,350,Devontae Cacok Defensive Rebound.,70,69
3:47,47,Official TV Timeout,70,69
3:36,350,Marcus Bryan Turnover.,70,69
3:07,47,RJ Cole made Jumper.,70,71
2:59,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,72,71
2:59,47,Foul on Michael Obindu.,72,71
2:59,350,Devontae Cacok missed Free Throw.,72,71
2:59,47,Zion Cousins Defensive Rebound.,72,71
2:43,350,Foul on Marcus Bryan.,72,71
2:43,47,Zion Cousins made Free Throw.,72,72
2:43,47,Zion Cousins missed Free Throw.,72,72
2:43,47,Jalen Jones Offensive Rebound.,72,72
2:18,47,RJ Cole missed Three Point Jumper.,72,72
2:18,350,Jordon Talley Defensive Rebound.,72,72
2:10,350,Jordon Talley made Layup.,74,72
2:10,47,Foul on RJ Cole.,74,72
2:10,350,Jordon Talley missed Free Throw.,74,72
2:10,47,Zion Cousins Defensive Rebound.,74,72
1:57,47,Charles Williams made Jumper.,74,74
1:39,350,Ty Taylor II missed Jumper.,74,74
1:39,350,Jaylen Fornes Offensive Rebound.,74,74
1:27,350,Jordon Talley Turnover.,74,74
1:25,47,RJ Cole Steal.,74,74
1:22,47,RJ Cole made Layup.,74,76
1:22,47,Howard  Timeout,74,76
1:07,350,Ty Taylor II missed Jumper.,74,76
1:07,47,Zion Cousins Defensive Rebound.,74,76
0:38,47,Zion Cousins missed Jumper.,74,76
0:38,47,Jalen Jones Offensive Rebound.,74,76
0:20,47,RJ Cole made Layup.,74,78
0:16,350,Jordon Talley missed Three Point Jumper.,74,78
0:16,47,Michael Obindu Defensive Rebound.,74,78
0:16,350,Foul on Jaylen Fornes.,74,78
0:16,47,Zion Cousins missed Free Throw.,74,78
0:16,47,Howard Deadball Team Rebound.,74,78
0:16,47,Zion Cousins made Free Throw.,74,79
0:12,350,Jordon Talley missed Three Point Jumper.,74,79
0:12,350,Marcus Bryan Offensive Rebound.,74,79
0:08,47,Foul on Michael Obindu.,74,79
0:08,350,Marcus Bryan made Free Throw.,75,79
0:08,350,Ty Taylor II Turnover.,75,79
0:07,350,Foul on Jordon Talley.,75,79
0:07,47,RJ Cole missed Free Throw.,75,79
0:07,47,Howard Deadball Team Rebound.,75,79
0:07,47,RJ Cole made Free Throw.,75,80
0:07,47,Howard  Timeout,75,80
0:05,350,Jaylen Fornes missed Three Point Jumper.,75,80
0:05,47,Zion Cousins Defensive Rebound.,75,80
0:00,47,End of Game,75,80
