Western Michigan,270,Milwaukee,2711
7:04,2711,Jared Printy made Three Point Jumper. Assisted by Jarrin Randall.,54,46
6:49,270,Bryce Barnes missed Three Point Jumper.,54,46
6:49,2711,Reggie Jones Defensive Rebound.,54,46
6:41,2711,Reggie Jones Turnover.,54,46
6:41,270,Bryce Barnes Steal.,54,46
6:39,2711,Foul on Drake LaMont.,54,46
6:29,2711,Foul on Drake LaMont.,54,46
6:29,270,Brett Prahl missed Free Throw.,54,46
6:29,270,Milwaukee Deadball Team Rebound.,54,46
6:29,270,Brett Prahl missed Free Throw.,54,46
6:29,2711,Brandon Johnson Defensive Rebound.,54,46
6:11,270,Foul on August Haas.,54,46
6:08,2711,Brandon Johnson missed Layup.,54,46
6:08,2711,Thomas Wilder Offensive Rebound.,54,46
5:50,2711,Reggie Jones made Three Point Jumper. Assisted by Thomas Wilder.,57,46
5:28,270,Jeremy Johnson missed Jumper.,57,46
5:28,2711,Brandon Johnson Defensive Rebound.,57,46
5:18,2711,Reggie Jones missed Three Point Jumper.,57,46
5:18,270,Jeremy Johnson Defensive Rebound.,57,46
5:02,270,Bryce Nze made Layup.,57,48
4:28,2711,Western Michigan  Timeout,57,48
4:28,270,Official TV Timeout,57,48
4:26,2711,Western Michigan  Turnover.,57,48
4:15,270,Bryce Nze made Dunk. Assisted by August Haas.,57,50
3:47,270,Foul on August Haas.,57,50
3:35,2711,Drake LaMont missed Jumper.,57,50
3:35,270,Brett Prahl Block.,57,50
3:33,270,Brett Prahl Defensive Rebound.,57,50
3:11,270,August Haas Turnover.,57,50
3:10,2711,Reggie Jones Steal.,57,50
3:07,2711,Thomas Wilder made Layup. Assisted by Reggie Jones.,59,50
2:49,270,Milwaukee  Timeout,59,50
2:39,270,Brock Stull made Three Point Jumper.,59,53
2:37,2711,Foul on Brandon Johnson.,59,53
2:37,270,Brock Stull made Free Throw.,59,54
2:08,2711,Bryce Moore made Jumper.,61,54
1:34,270,Jeremiah Bell made Three Point Jumper. Assisted by Brock Stull.,61,57
1:16,2711,Bryce Moore missed Jumper.,61,57
1:16,270,Bryce Nze Block.,61,57
1:14,270,Bryce Nze Defensive Rebound.,61,57
1:14,2711,Foul on Bryce Moore.,61,57
1:02,270,Brock Stull missed Layup.,61,57
1:02,2711,Drake LaMont Block.,61,57
0:56,2711,Thomas Wilder Defensive Rebound.,61,57
0:55,270,Foul on Bryce Barnes.,61,57
0:32,2711,Reggie Jones made Jumper.,63,57
0:20,270,Jeremiah Bell made Three Point Jumper. Assisted by Jeremy Johnson.,63,60
0:18,270,Milwaukee  Timeout,63,60
0:17,270,Foul on Bryce Barnes.,63,60
0:17,2711,Western Michigan  Timeout,63,60
0:15,270,Foul on Jeremy Johnson.,63,60
0:14,270,Foul on Bryce Barnes.,63,60
0:14,2711,Thomas Wilder made Free Throw.,64,60
0:14,2711,Thomas Wilder made Free Throw.,65,60
0:09,270,Jeremiah Bell made Three Point Jumper. Assisted by Bryce Barnes.,65,63
0:07,270,Foul on Bryce Nze.,65,63
0:07,2711,Brandon Johnson made Free Throw.,66,63
0:07,2711,Brandon Johnson missed Free Throw.,66,63
0:07,270,Brock Stull Defensive Rebound.,66,63
0:02,270,Jeremy Johnson missed Three Point Jumper.,66,63
0:01,2711,Thomas Wilder Block.,66,63
0:00,2711,Brandon Johnson Defensive Rebound.,66,63
0:00,270,End of Game,66,63
