La Salle,2083,Bucknell,2325
12:45,2083,Nate Sestina Defensive Rebound.,14,9
12:35,2083,John Meeks missed Three Point Jumper.,14,9
12:35,2325,Tony Washington Defensive Rebound.,14,9
12:22,2325,Pookie Powell missed Three Point Jumper.,14,9
12:22,2083,Jimmy Sotos Defensive Rebound.,14,9
11:57,2083,Nate Jones made Layup.,14,11
11:35,2325,Amar Stukes missed Jumper.,14,11
11:35,2083,Nate Sestina Defensive Rebound.,14,11
11:24,2083,Nana Foulland made Jumper. Assisted by Nate Sestina.,14,13
11:06,2325,Isiah Deas missed Layup.,14,13
11:06,2083,Jimmy Sotos Defensive Rebound.,14,13
11:00,2083,Jimmy Sotos Turnover.,14,13
10:59,2325,Amar Stukes Steal.,14,13
10:57,2325,Isiah Deas made Layup. Assisted by Amar Stukes.,16,13
10:57,2083,Foul on John Meeks.,16,13
10:57,2083,Official TV Timeout,16,13
10:57,2325,Isiah Deas made Free Throw.,17,13
10:36,2083,Ben Robertson missed Layup.,17,13
10:36,2325,Cian Sullivan Block.,17,13
10:35,2325,Cian Sullivan Defensive Rebound.,17,13
10:20,2325,Saul Phiri Turnover.,17,13
10:18,2083,Zach Thomas Steal.,17,13
10:11,2325,Foul on Cian Sullivan.,17,13
10:11,2083,Nana Foulland made Free Throw.,17,14
10:11,2083,Nana Foulland made Free Throw.,17,15
9:59,2325,Amar Stukes Turnover.,17,15
9:58,2083,Bruce Moore Steal.,17,15
9:54,2083,Stephen Brown missed Layup.,17,15
9:54,2325,Isiah Deas Block.,17,15
9:53,2083,Nana Foulland Offensive Rebound.,17,15
9:50,2083,Nana Foulland made Dunk.,17,17
9:50,2325,Foul on Cian Sullivan.,17,17
9:50,2083,Nana Foulland made Free Throw.,17,18
9:38,2325,Cian Sullivan missed Layup.,17,18
9:38,2083,Ben Robertson Block.,17,18
9:35,2325,Cian Sullivan Offensive Rebound.,17,18
9:31,2325,Cian Sullivan missed Layup.,17,18
9:31,2083,Zach Thomas Block.,17,18
9:30,2083,Zach Thomas Defensive Rebound.,17,18
9:23,2083,Nana Foulland made Layup. Assisted by Ben Robertson.,17,20
9:02,2325,Cian Sullivan missed Jumper.,17,20
9:02,2083,Zach Thomas Defensive Rebound.,17,20
8:50,2083,Nana Foulland missed Layup.,17,20
8:50,2325,Cian Sullivan Block.,17,20
8:47,2325,Amar Stukes Defensive Rebound.,17,20
8:43,2325,Amar Stukes missed Layup.,17,20
8:43,2083,Zach Thomas Defensive Rebound.,17,20
8:37,2083,Stephen Brown made Jumper.,17,22
8:35,2325,La Salle  Timeout,17,22
8:22,2325,Saul Phiri Turnover.,17,22
8:05,2083,Stephen Brown made Three Point Jumper. Assisted by Nate Sestina.,17,25
7:53,2083,Foul on Bruce Moore.,17,25
7:53,2083,Official TV Timeout,17,25
7:53,2325,Pookie Powell missed Free Throw.,17,25
7:53,2325,La Salle Deadball Team Rebound.,17,25
7:53,2325,Pookie Powell made Free Throw.,18,25
7:28,2083,Nate Sestina made Jumper. Assisted by Zach Thomas.,18,27
7:10,2325,Pookie Powell made Jumper.,20,27
6:55,2083,Zach Thomas Turnover.,20,27
6:33,2325,Pookie Powell Turnover.,20,27
6:32,2083,Nate Jones Steal.,20,27
6:28,2083,Nate Jones missed Three Point Jumper.,20,27
6:28,2083,Zach Thomas Offensive Rebound.,20,27
6:22,2083,Matt O'Reilly missed Three Point Jumper.,20,27
6:22,2325,Tony Washington Block.,20,27
6:18,2325,Pookie Powell Defensive Rebound.,20,27
6:14,2325,Pookie Powell Turnover.,20,27
6:12,2083,Nate Sestina Steal.,20,27
6:10,2083,Matt O'Reilly made Three Point Jumper. Assisted by Stephen Brown.,20,30
5:52,2083,Foul on Matt O'Reilly.,20,30
5:48,2325,Pookie Powell made Jumper.,22,30
5:37,2325,Foul on Jamir Moultrie.,22,30
5:29,2083,Matt O'Reilly Turnover.,22,30
5:28,2325,Pookie Powell Steal.,22,30
5:23,2325,Pookie Powell Turnover.,22,30
5:22,2083,Matt O'Reilly Steal.,22,30
5:19,2083,Foul on Jimmy Sotos.,22,30
5:19,2083,Jimmy Sotos Turnover.,22,30
5:01,2325,Isiah Deas missed Jumper.,22,30
5:01,2083,Bucknell Deadball Team Rebound.,22,30
5:01,2325,Foul on Tony Washington.,22,30
4:50,2083,Matt O'Reilly Turnover.,22,30
4:49,2325,Pookie Powell Steal.,22,30
4:43,2325,Isiah Deas made Three Point Jumper. Assisted by Jamir Moultrie.,25,30
4:33,2325,Foul on Jamir Moultrie.,25,30
4:33,2083,Jimmy Sotos made Free Throw.,25,31
4:33,2083,Jimmy Sotos missed Free Throw.,25,31
4:33,2325,Tony Washington Defensive Rebound.,25,31
4:18,2325,Pookie Powell missed Layup.,25,31
4:18,2083,Stephen Brown Block.,25,31
4:17,2083,Nate Jones Defensive Rebound.,25,31
4:10,2083,Stephen Brown made Three Point Jumper. Assisted by Nana Foulland.,25,34
3:56,2325,Isiah Deas missed Jumper.,25,34
3:56,2083,Nana Foulland Defensive Rebound.,25,34
3:40,2083,Stephen Brown missed Three Point Jumper.,25,34
3:40,2325,Isiah Deas Defensive Rebound.,25,34
3:28,2325,Tony Washington made Dunk. Assisted by Amar Stukes.,27,34
3:11,2083,Nana Foulland made Jumper.,27,36
2:55,2325,Pookie Powell made Layup.,29,36
2:42,2083,Nana Foulland made Jumper.,29,38
2:28,2325,Pookie Powell made Jumper.,31,38
2:07,2083,Stephen Brown missed Three Point Jumper.,31,38
2:07,2325,Tony Washington Defensive Rebound.,31,38
1:58,2325,Pookie Powell missed Three Point Jumper.,31,38
1:58,2083,Jimmy Sotos Defensive Rebound.,31,38
1:38,2083,Stephen Brown made Three Point Jumper.,31,41
1:19,2325,Isiah Deas made Three Point Jumper. Assisted by Saul Phiri.,34,41
1:01,2083,Foul on Nana Foulland.,34,41
1:01,2083,Nana Foulland Turnover.,34,41
1:01,2083,Official TV Timeout,34,41
0:39,2325,Pookie Powell missed Jumper.,34,41
0:39,2083,Jimmy Sotos Defensive Rebound.,34,41
0:13,2083,Stephen Brown missed Jumper.,34,41
0:13,2325,Cian Sullivan Defensive Rebound.,34,41
0:00,2325,Isiah Deas missed Three Point Jumper.,34,41
0:00,2325,Johnnie Shuler Offensive Rebound.,34,41
0:00,2083,End of 1st half,34,41
19:38,2325,Foul on Saul Phiri.,34,41
19:38,2083,Nana Foulland made Free Throw.,34,42
19:38,2083,Nana Foulland made Free Throw.,34,43
19:25,2325,Amar Stukes missed Jumper.,34,43
19:25,2083,Nana Foulland Block.,34,43
19:25,2325,La Salle Offensive Rebound.,34,43
19:08,2325,Saul Phiri missed Three Point Jumper.,34,43
19:08,2083,Bucknell Deadball Team Rebound.,34,43
18:52,2083,Bruce Moore missed Three Point Jumper.,34,43
18:52,2325,Pookie Powell Defensive Rebound.,34,43
18:46,2325,Pookie Powell Turnover.,34,43
18:25,2083,Stephen Brown missed Three Point Jumper.,34,43
18:25,2325,Pookie Powell Defensive Rebound.,34,43
18:15,2325,Pookie Powell made Layup.,36,43
17:55,2325,Foul on Tony Washington.,36,43
17:55,2083,Nana Foulland missed Free Throw.,36,43
17:55,2083,Bucknell Deadball Team Rebound.,36,43
17:55,2083,Nana Foulland missed Free Throw.,36,43
17:55,2083,Zach Thomas Offensive Rebound.,36,43
17:51,2083,Zach Thomas made Layup.,36,45
17:38,2325,Amar Stukes missed Layup.,36,45
17:38,2083,Nana Foulland Block.,36,45
17:37,2325,Johnnie Shuler Offensive Rebound.,36,45
17:30,2083,Foul on Nana Foulland.,36,45
17:30,2325,Amar Stukes made Free Throw.,37,45
17:30,2325,Amar Stukes missed Free Throw.,37,45
17:30,2083,Zach Thomas Defensive Rebound.,37,45
17:12,2083,Foul on Bruce Moore.,37,45
17:12,2083,Bruce Moore Turnover.,37,45
16:51,2325,Johnnie Shuler Turnover.,37,45
16:31,2083,Zach Thomas made Jumper.,37,47
16:20,2325,Isiah Deas missed Jumper.,37,47
16:20,2083,Jimmy Sotos Defensive Rebound.,37,47
16:13,2325,Foul on Saul Phiri.,37,47
16:01,2083,Jimmy Sotos missed Three Point Jumper.,37,47
16:01,2325,Saul Phiri Defensive Rebound.,37,47
15:52,2325,Isiah Deas made Dunk.,39,47
15:34,2083,Jimmy Sotos missed Three Point Jumper.,39,47
15:34,2083,Nate Sestina Offensive Rebound.,39,47
15:31,2083,Nate Sestina made Jumper.,39,49
15:26,2325,Dajour Joseph made Three Point Jumper. Assisted by Saul Phiri.,42,49
15:11,2083,Zach Thomas Turnover.,42,49
15:10,2325,Isiah Deas Steal.,42,49
15:05,2325,Isiah Deas made Three Point Jumper. Assisted by Amar Stukes.,45,49
14:32,2083,Jimmy Sotos Turnover.,45,49
14:32,2083,Official TV Timeout,45,49
14:22,2325,Isiah Deas missed Jumper.,45,49
14:22,2083,Nana Foulland Defensive Rebound.,45,49
14:07,2083,Ben Robertson made Dunk.,45,51
14:07,2325,Foul on Dajour Joseph.,45,51
14:07,2083,Ben Robertson made Free Throw.,45,52
13:57,2325,Pookie Powell missed Three Point Jumper.,45,52
13:57,2083,Ben Robertson Defensive Rebound.,45,52
13:46,2325,Foul on Saul Phiri.,45,52
13:30,2083,Stephen Brown missed Layup.,45,52
13:30,2083,Stephen Brown Offensive Rebound.,45,52
13:27,2083,Stephen Brown made Layup.,45,54
13:27,2325,Foul on Tony Washington.,45,54
13:27,2083,Stephen Brown made Free Throw.,45,55
13:17,2083,Foul on Stephen Brown.,45,55
13:17,2083,Foul on Nate Jones.,45,55
13:10,2325,Pookie Powell missed Layup.,45,55
13:10,2083,Ben Robertson Defensive Rebound.,45,55
13:03,2083,Nate Jones missed Layup.,45,55
13:03,2325,Saul Phiri Block.,45,55
13:03,2325,Cian Sullivan Defensive Rebound.,45,55
12:56,2325,Isiah Deas made Dunk. Assisted by Pookie Powell.,47,55
12:34,2325,Foul on Cian Sullivan.,47,55
12:34,2083,Nana Foulland missed Free Throw.,47,55
12:34,2083,Bucknell Deadball Team Rebound.,47,55
12:34,2083,Nana Foulland made Free Throw.,47,56
12:14,2325,Isiah Deas missed Jumper.,47,56
12:14,2325,Saul Phiri Offensive Rebound.,47,56
12:04,2325,Johnnie Shuler missed Three Point Jumper.,47,56
12:04,2325,Cian Sullivan Offensive Rebound.,47,56
12:01,2083,Foul on Zach Thomas.,47,56
11:52,2325,Saul Phiri missed Three Point Jumper.,47,56
11:52,2083,Zach Thomas Defensive Rebound.,47,56
11:46,2325,Foul on Isiah Deas.,47,56
11:46,2083,Official TV Timeout,47,56
11:46,2083,Zach Thomas made Free Throw.,47,57
11:46,2083,Zach Thomas made Free Throw.,47,58
11:31,2325,Pookie Powell missed Jumper.,47,58
11:31,2083,Ben Robertson Defensive Rebound.,47,58
11:21,2083,Foul on Zach Thomas.,47,58
11:21,2083,Zach Thomas Turnover.,47,58
11:15,2083,Foul on Jimmy Sotos.,47,58
11:15,2325,Saul Phiri made Free Throw.,48,58
11:15,2325,Saul Phiri missed Free Throw.,48,58
11:15,2083,Zach Thomas Defensive Rebound.,48,58
11:10,2083,Stephen Brown made Layup. Assisted by Zach Thomas.,48,60
11:01,2325,Isiah Deas missed Layup.,48,60
11:01,2083,Nana Foulland Block.,48,60
10:59,2083,Stephen Brown Defensive Rebound.,48,60
10:52,2325,Foul on Saul Phiri.,48,60
10:52,2083,Zach Thomas made Free Throw.,48,61
10:52,2083,Zach Thomas made Free Throw.,48,62
10:37,2325,Tony Washington missed Jumper.,48,62
10:37,2083,Zach Thomas Defensive Rebound.,48,62
10:07,2083,Zach Thomas Turnover.,48,62
10:05,2325,Pookie Powell Steal.,48,62
10:03,2083,Foul on Bruce Moore.,48,62
10:03,2325,Pookie Powell made Free Throw.,49,62
10:03,2325,Pookie Powell made Free Throw.,50,62
9:48,2083,Bruce Moore missed Three Point Jumper.,50,62
9:48,2083,Zach Thomas Offensive Rebound.,50,62
9:45,2325,Foul on Pookie Powell.,50,62
9:45,2083,Zach Thomas made Free Throw.,50,63
9:45,2083,Zach Thomas made Free Throw.,50,64
9:36,2325,Johnnie Shuler missed Three Point Jumper.,50,64
9:36,2083,Stephen Brown Defensive Rebound.,50,64
9:23,2325,Foul on Pookie Powell.,50,64
9:23,2083,Zach Thomas made Free Throw.,50,65
9:23,2083,Zach Thomas made Free Throw.,50,66
9:20,2325,Isiah Deas missed Three Point Jumper.,50,66
9:20,2083,Nate Jones Defensive Rebound.,50,66
9:04,2083,Zach Thomas missed Jumper.,50,66
9:04,2325,Isiah Deas Defensive Rebound.,50,66
8:58,2083,Foul on Bruce Moore.,50,66
8:58,2325,Isiah Deas made Free Throw.,51,66
8:58,2325,Isiah Deas made Free Throw.,52,66
8:45,2083,Nate Jones made Three Point Jumper. Assisted by Stephen Brown.,52,69
8:35,2083,Foul on Nate Jones.,52,69
8:35,2325,Pookie Powell made Free Throw.,53,69
8:35,2325,Pookie Powell made Free Throw.,54,69
8:18,2083,Stephen Brown made Layup.,54,71
8:10,2325,Saul Phiri made Three Point Jumper. Assisted by Amar Stukes.,57,71
7:53,2083,Zach Thomas made Jumper. Assisted by Stephen Brown.,57,73
7:43,2325,Pookie Powell missed Layup.,57,73
7:43,2083,Zach Thomas Defensive Rebound.,57,73
7:26,2083,Official TV Timeout,57,73
7:26,2083,Zach Thomas made Free Throw.,57,74
7:26,2083,Zach Thomas missed Free Throw.,57,73
7:26,2325,Foul on Dajour Joseph.,57,73
7:26,2083,Bucknell Deadball Team Rebound.,57,73
7:26,2083,Official TV Timeout,57,73
7:15,2325,Pookie Powell made Layup.,59,74
6:49,2083,Nana Foulland made Jumper. Assisted by Stephen Brown.,59,76
6:37,2325,Tony Washington made Layup. Assisted by Pookie Powell.,61,76
6:15,2083,Nana Foulland made Jumper. Assisted by Nate Sestina.,61,78
6:02,2325,Tony Washington made Dunk. Assisted by Pookie Powell.,63,78
5:39,2083,Nana Foulland made Jumper. Assisted by Stephen Brown.,63,80
5:27,2325,Pookie Powell made Three Point Jumper.,66,80
4:57,2083,Nana Foulland Turnover.,66,80
4:55,2325,Saul Phiri Steal.,66,80
4:45,2325,Isiah Deas missed Three Point Jumper.,66,80
4:45,2083,Nate Jones Defensive Rebound.,66,80
4:16,2083,Stephen Brown missed Three Point Jumper.,66,80
4:16,2325,Pookie Powell Defensive Rebound.,66,80
4:09,2325,Pookie Powell Turnover.,66,80
4:09,2083,Nate Jones Steal.,66,80
3:50,2083,Nana Foulland made Jumper. Assisted by Stephen Brown.,66,82
3:37,2325,Isiah Deas made Jumper. Assisted by Amar Stukes.,68,82
3:07,2325,Foul on Saul Phiri.,68,82
3:07,2083,Official TV Timeout,68,82
3:07,2083,Nana Foulland missed Free Throw.,68,82
3:07,2083,Bucknell Deadball Team Rebound.,68,82
3:07,2083,Nana Foulland missed Free Throw.,68,82
3:07,2325,Isiah Deas Defensive Rebound.,68,82
2:42,2325,Jamir Moultrie made Three Point Jumper. Assisted by Dajour Joseph.,71,82
2:20,2083,Zach Thomas Turnover.,71,82
2:19,2325,Jamir Moultrie Steal.,71,82
2:02,2083,Foul on Nana Foulland.,71,82
2:02,2325,Isiah Deas made Free Throw.,72,82
2:02,2325,Isiah Deas made Free Throw.,73,82
2:02,2325,La Salle  Timeout,73,82
1:59,2325,Foul on Tony Washington.,73,82
1:59,2083,Stephen Brown made Free Throw.,73,83
1:59,2083,Stephen Brown made Free Throw.,73,84
1:54,2083,Foul on Stephen Brown.,73,84
1:54,2325,Pookie Powell made Free Throw.,74,84
1:54,2325,Pookie Powell made Free Throw.,75,84
1:53,2325,Foul on Johnnie Shuler.,75,84
1:53,2083,Jimmy Sotos made Free Throw.,75,85
1:53,2083,Jimmy Sotos made Free Throw.,75,86
1:42,2325,Dajour Joseph missed Layup.,75,86
1:42,2083,Zach Thomas Defensive Rebound.,75,86
1:13,2083,Stephen Brown missed Jumper.,75,86
1:13,2325,Johnnie Shuler Defensive Rebound.,75,86
1:03,2325,Isiah Deas missed Three Point Jumper.,75,86
1:03,2325,Dajour Joseph Offensive Rebound.,75,86
0:49,2083,Foul on Nana Foulland.,75,86
0:49,2325,Pookie Powell made Free Throw.,76,86
0:49,2325,Pookie Powell made Free Throw.,77,86
0:41,2083,Zach Thomas Turnover.,77,86
0:41,2325,Isiah Deas Steal.,77,86
0:41,2325,La Salle  Timeout,77,86
0:36,2325,Dajour Joseph made Layup.,79,86
0:34,2325,Foul on Dajour Joseph.,79,86
0:34,2083,Stephen Brown made Free Throw.,79,87
0:34,2083,Stephen Brown missed Free Throw.,79,87
0:34,2325,Isiah Deas Defensive Rebound.,79,87
0:24,2325,Isiah Deas made Jumper.,81,87
0:13,2325,Foul on Johnnie Shuler.,81,87
0:13,2083,Zach Thomas missed Free Throw.,81,87
0:13,2083,Bucknell Deadball Team Rebound.,81,87
0:13,2083,Zach Thomas made Free Throw.,81,88
0:09,2325,Jamir Moultrie missed Three Point Jumper.,81,88
0:09,2325,Amar Stukes Offensive Rebound.,81,88
0:05,2325,Isiah Deas missed Three Point Jumper.,81,88
0:05,2083,Nate Jones Defensive Rebound.,81,88
0:00,2083,End of Game,81,88
