Pacific,9,Arizona State,279
5:04,279,Jack Williams missed Free Throw.,20,39
5:04,9,De'Quon Lake Defensive Rebound.,20,39
4:44,9,Remy Martin missed Jumper.,20,39
4:44,279,Jack Williams Defensive Rebound.,20,39
4:23,279,Anthony Townes made Jumper. Assisted by Jack Williams.,22,39
4:11,9,Shannon Evans II made Three Point Jumper.,22,42
3:55,279,Anthony Townes missed Jumper.,22,42
3:55,279,Jahlil Tripp Offensive Rebound.,22,42
3:55,279,Jahlil Tripp made Two Point Tip Shot.,24,42
3:41,9,Shannon Evans II missed Three Point Jumper.,24,42
3:41,279,Jack Williams Defensive Rebound.,24,42
3:30,279,Kendall Small made Layup.,26,42
3:28,9,Arizona State  Timeout,26,42
3:28,9,Official TV Timeout,26,42
3:14,9,Kodi Justice missed Three Point Jumper.,26,42
3:14,279,Jahlil Tripp Defensive Rebound.,26,42
2:40,9,Foul on De'Quon Lake.,26,42
2:40,279,Anthony Townes missed Free Throw.,26,42
2:40,279,Pacific Deadball Team Rebound.,26,42
2:40,279,Anthony Townes made Free Throw.,27,42
2:31,9,Tra Holder Turnover.,27,42
2:31,279,Kendall Small Steal.,27,42
2:23,9,Foul on Tra Holder.,27,42
2:23,279,Kendall Small made Free Throw.,28,42
2:23,279,Kendall Small missed Free Throw.,28,42
2:23,279,Anthony Townes Offensive Rebound.,28,42
2:05,279,Anthony Townes Turnover.,28,42
1:51,9,Shannon Evans II missed Three Point Jumper.,28,42
1:51,279,Jack Williams Defensive Rebound.,28,42
1:34,279,Jack Williams missed Jumper.,28,42
1:34,279,Jahlil Tripp Offensive Rebound.,28,42
1:30,279,Jahlil Tripp missed Layup.,28,42
1:30,9,Kodi Justice Defensive Rebound.,28,42
1:24,9,Tra Holder made Three Point Jumper.,28,45
1:04,9,Foul on Tra Holder.,28,45
1:04,279,Jahlil Tripp made Free Throw.,29,45
1:04,279,Jahlil Tripp missed Free Throw.,29,45
1:04,279,Jack Williams Offensive Rebound.,29,45
0:54,279,Jack Williams missed Three Point Jumper.,29,45
0:54,9,Shannon Evans II Defensive Rebound.,29,45
0:49,279,Foul on Jahlil Tripp.,29,45
0:49,9,Shannon Evans II made Free Throw.,29,46
0:49,9,Shannon Evans II made Free Throw.,29,47
0:43,279,Jack Williams missed Three Point Jumper.,29,47
0:43,279,Jahlil Tripp Offensive Rebound.,29,47
0:39,279,Jahlil Tripp missed Layup.,29,47
0:39,9,De'Quon Lake Block.,29,47
0:39,279,Jahlil Tripp Offensive Rebound.,29,47
0:22,279,Kendall Small made Jumper.,31,47
0:03,9,Kodi Justice missed Three Point Jumper.,31,47
0:03,279,Pacific Defensive Rebound.,31,47
0:00,9,End of 1st half,31,47
20:00,9,Jump Ball won by Arizona State,31,47
19:47,9,Arizona State  Timeout,31,47
19:38,9,Tra Holder missed Three Point Jumper.,31,47
19:38,9,Mickey Mitchell Offensive Rebound.,31,47
19:38,9,Mickey Mitchell made Dunk.,31,49
19:12,9,Foul on Mickey Mitchell.,31,49
19:12,279,Miles Reynolds missed Free Throw.,31,49
19:12,279,Pacific Deadball Team Rebound.,31,49
19:12,279,Miles Reynolds made Free Throw.,32,49
19:05,9,Kodi Justice missed Three Point Jumper.,32,49
19:05,279,Jack Williams Defensive Rebound.,32,49
18:56,279,Miles Reynolds made Layup. Assisted by Kendall Small.,34,49
18:41,9,Shannon Evans II missed Three Point Jumper.,34,49
18:41,279,Kendall Small Defensive Rebound.,34,49
18:30,279,Anthony Townes made Layup. Assisted by Kendall Small.,36,49
18:08,9,Romello White made Layup. Assisted by Tra Holder.,36,51
18:00,279,Roberto Gallinat missed Three Point Jumper.,36,51
18:00,9,Shannon Evans II Defensive Rebound.,36,51
17:51,9,Shannon Evans II missed Layup.,36,51
17:51,9,Romello White Offensive Rebound.,36,51
17:51,9,Romello White made Two Point Tip Shot.,36,53
17:40,279,Kendall Small missed Jumper.,36,53
17:40,279,Kendall Small Offensive Rebound.,36,53
17:34,279,Kendall Small missed Jumper.,36,53
17:34,9,Romello White Defensive Rebound.,36,53
17:29,9,Kodi Justice made Layup.,36,55
17:17,279,Pacific  Timeout,36,55
17:10,279,Jahlil Tripp made Layup. Assisted by Jack Williams.,38,55
16:53,279,Foul on Anthony Townes.,38,55
16:53,9,Shannon Evans II made Free Throw.,38,56
16:53,9,Shannon Evans II made Free Throw.,38,57
16:43,9,Foul on Romello White.,38,57
16:43,279,Miles Reynolds made Free Throw.,39,57
16:43,279,Miles Reynolds missed Free Throw.,39,57
16:43,9,Mickey Mitchell Defensive Rebound.,39,57
16:19,279,Foul on Anthony Townes.,39,57
16:13,9,Foul on Shannon Evans II.,39,57
16:13,9,Shannon Evans II Turnover.,39,57
16:13,279,Foul on Miles Reynolds.,39,57
16:13,279,Technical Foul on Miles Reynolds.,39,57
16:13,9,Tra Holder made Free Throw.,39,58
16:13,9,Tra Holder missed Free Throw.,39,58
16:13,9,Arizona State Deadball Team Rebound.,39,58
16:13,279,Miles Reynolds Turnover.,39,58
15:59,9,Remy Martin Turnover.,39,58
15:59,279,Jahlil Tripp Steal.,39,58
15:52,279,Jahlil Tripp missed Dunk.,39,58
15:52,9,Arizona State Defensive Rebound.,39,58
15:52,279,Foul on Jack Williams.,39,58
15:52,9,Official TV Timeout,39,58
15:36,9,Mickey Mitchell missed Layup.,39,58
15:36,279,Namdi Okonkwo Block.,39,58
15:36,279,Miles Reynolds Defensive Rebound.,39,58
15:23,279,Jack Williams made Jumper. Assisted by Miles Reynolds.,41,58
15:08,9,Romello White made Layup. Assisted by Tra Holder.,41,60
14:51,279,Jahlil Tripp Turnover.,41,60
14:51,279,Foul on Jahlil Tripp.,41,60
14:39,9,Shannon Evans II missed Layup.,41,60
14:39,9,De'Quon Lake Offensive Rebound.,41,60
14:34,9,De'Quon Lake missed Layup.,41,60
14:34,279,Lafayette Dorsey Defensive Rebound.,41,60
14:34,279,Lafayette Dorsey missed Layup.,41,60
14:12,9,Romello White Defensive Rebound.,41,60
14:06,9,Remy Martin missed Jumper.,41,60
14:06,9,Remy Martin Offensive Rebound.,41,60
13:57,9,Remy Martin made Layup.,41,62
13:53,279,Jack Williams missed Three Point Jumper.,41,62
13:53,279,Roberto Gallinat Offensive Rebound.,41,62
13:47,279,Jack Williams made Jumper.,43,62
13:33,9,De'Quon Lake made Dunk. Assisted by Shannon Evans II.,43,64
13:12,279,Jack Williams made Jumper.,45,64
12:52,9,Shannon Evans II Turnover.,45,64
12:52,279,Jahlil Tripp Steal.,45,64
12:47,279,Jahlil Tripp made Layup.,47,64
12:26,9,Romello White missed Layup.,47,64
12:26,279,Jack Williams Defensive Rebound.,47,64
12:26,9,Tra Holder missed Layup.,47,64
12:26,279,Lafayette Dorsey Defensive Rebound.,47,64
12:09,279,Jump Ball won by Pacific,47,64
11:48,279,Foul on Jack Williams.,47,64
11:48,9,Official TV Timeout,47,64
11:48,9,Remy Martin made Free Throw.,47,65
11:48,9,Remy Martin made Free Throw.,47,66
11:32,279,Lafayette Dorsey Turnover.,47,66
11:18,9,De'Quon Lake made Layup. Assisted by Shannon Evans II.,47,68
11:01,279,Jahlil Tripp missed Three Point Jumper.,47,68
11:01,9,Remy Martin Defensive Rebound.,47,68
10:52,9,Mickey Mitchell made Layup. Assisted by Remy Martin.,47,70
10:44,279,Jack Williams made Three Point Jumper. Assisted by Miles Reynolds.,50,70
10:25,9,Remy Martin made Three Point Jumper. Assisted by Mickey Mitchell.,50,73
10:06,9,Foul on Shannon Evans II.,50,73
10:01,279,Miles Reynolds made Layup.,52,73
9:46,9,Tra Holder made Layup.,52,75
9:40,9,Foul on Romello White.,52,75
9:40,279,Miles Reynolds made Free Throw.,53,75
9:40,279,Miles Reynolds made Free Throw.,54,75
9:25,9,De'Quon Lake made Dunk. Assisted by Kodi Justice.,54,77
9:16,279,Roberto Gallinat Turnover.,54,77
9:16,9,Kodi Justice Steal.,54,77
9:12,9,Jump Ball won by Arizona State,54,77
9:03,9,Remy Martin made Layup.,54,79
8:37,279,Anthony Townes missed Layup.,54,79
8:37,9,De'Quon Lake Block.,54,79
8:37,279,Pacific Offensive Rebound.,54,79
8:32,279,Jahlil Tripp missed Layup.,54,79
8:32,9,De'Quon Lake Block.,54,79
8:32,279,Jahlil Tripp Offensive Rebound.,54,79
8:27,279,Jahlil Tripp missed Jumper.,54,79
8:27,9,Mickey Mitchell Defensive Rebound.,54,79
8:27,279,Foul on Jack Williams.,54,79
8:27,9,Mickey Mitchell missed Free Throw.,54,79
8:27,279,Jahlil Tripp Defensive Rebound.,54,79
8:14,279,Miles Reynolds Turnover.,54,79
8:14,9,Tra Holder Steal.,54,79
8:09,9,Mickey Mitchell made Dunk. Assisted by Tra Holder.,54,81
7:37,9,Foul on De'Quon Lake.,54,81
7:37,9,Official TV Timeout,54,81
7:37,279,Roberto Gallinat missed Free Throw.,54,81
7:37,279,Pacific Deadball Team Rebound.,54,81
7:37,279,Roberto Gallinat missed Free Throw.,54,81
7:37,9,Mickey Mitchell Defensive Rebound.,54,81
7:15,9,Kodi Justice made Three Point Jumper. Assisted by Shannon Evans II.,54,84
6:53,279,Miles Reynolds missed Jumper.,54,84
6:53,9,De'Quon Lake Block.,54,84
6:53,9,Tra Holder Defensive Rebound.,54,84
6:48,9,Tra Holder made Layup.,54,86
6:48,279,Foul on Kendall Small.,54,86
6:48,9,Tra Holder made Free Throw.,54,87
6:41,279,Anthony Townes missed Jumper.,54,87
6:41,9,Mickey Mitchell Defensive Rebound.,54,87
6:32,9,Shannon Evans II made Three Point Jumper. Assisted by Remy Martin.,54,90
6:10,279,Lafayette Dorsey missed Three Point Jumper.,54,90
6:10,9,De'Quon Lake Defensive Rebound.,54,90
6:01,9,Kodi Justice missed Three Point Jumper.,54,90
6:01,279,Jahlil Tripp Defensive Rebound.,54,90
5:45,279,Kendall Small missed Jumper.,54,90
5:45,9,Mickey Mitchell Defensive Rebound.,54,90
5:29,9,Shannon Evans II missed Three Point Jumper.,54,90
5:29,279,Kendall Small Defensive Rebound.,54,90
5:04,279,Roberto Gallinat Turnover.,54,90
4:40,9,Tra Holder missed Layup.,54,90
4:40,279,Namdi Okonkwo Defensive Rebound.,54,90
4:33,279,Roberto Gallinat made Layup. Assisted by Jahlil Tripp.,56,90
4:16,9,Romello White made Layup.,56,92
4:08,279,Roberto Gallinat missed Three Point Jumper.,56,92
4:08,9,Remy Martin Defensive Rebound.,56,92
4:01,279,Foul on Roberto Gallinat.,56,92
4:01,9,Remy Martin made Free Throw.,56,93
4:01,9,Remy Martin made Free Throw.,56,94
3:46,9,Official TV Timeout,56,94
3:41,279,Lafayette Dorsey made Layup. Assisted by Otto Taylor.,58,94
3:24,9,Tra Holder missed Jumper.,58,94
3:24,279,Namdi Okonkwo Block.,58,94
3:24,9,Romello White Offensive Rebound.,58,94
3:20,279,Foul on Jahlil Tripp.,58,94
3:20,9,Romello White missed Free Throw.,58,94
3:20,9,Arizona State Deadball Team Rebound.,58,94
3:20,9,Romello White made Free Throw.,58,95
3:12,279,Otto Taylor missed Three Point Jumper.,58,95
3:12,9,De'Quon Lake Defensive Rebound.,58,95
3:05,9,Austin Witherill made Three Point Jumper. Assisted by Remy Martin.,58,98
2:42,279,Namdi Okonkwo Turnover.,58,98
2:36,9,Remy Martin Turnover.,58,98
2:21,279,Miles Reynolds missed Jumper.,58,98
2:21,279,Otto Taylor Offensive Rebound.,58,98
2:12,279,Otto Taylor made Three Point Jumper.,61,98
2:04,9,Remy Martin made Layup.,61,100
1:49,279,Lafayette Dorsey missed Jumper.,61,100
1:49,9,De'Quon Lake Block.,61,100
1:49,279,Pacific Offensive Rebound.,61,100
1:41,9,Foul on Vitaliy Shibel.,61,100
1:41,279,Miles Reynolds made Free Throw.,62,100
1:41,279,Miles Reynolds made Free Throw.,63,100
1:13,9,Grant Fogerty missed Jumper.,63,100
1:13,279,Namdi Okonkwo Block.,63,100
1:13,9,Arizona State Offensive Rebound.,63,100
1:12,9,De'Quon Lake made Jumper. Assisted by Grant Fogerty.,63,102
0:59,279,Lafayette Dorsey missed Three Point Jumper.,63,102
0:59,9,Austin Witherill Defensive Rebound.,63,102
0:28,9,Jordan Salzman missed Jumper.,63,102
0:28,9,De'Quon Lake Offensive Rebound.,63,102
0:28,9,De'Quon Lake made Dunk.,63,104
0:11,279,Lafayette Dorsey made Jumper.,65,104
0:00,9,End of Game,65,104
