CS Fullerton,2351,Loyola Marymount,2239
7:20,2351,Steven Haney Defensive Rebound.,25,24
7:14,2351,James Batemon made Layup. Assisted by Steven Haney.,25,26
6:54,2239,Austen Awosika Turnover.,25,26
6:54,2239,Foul on Austen Awosika.,25,26
6:41,2351,Steven Haney Turnover.,25,26
6:39,2239,Kyle Allman Steal.,25,26
6:34,2239,Jackson Rowe Turnover.,25,26
6:19,2351,Mattias Markusson missed Jumper.,25,26
6:19,2239,Arkim Robertson Defensive Rebound.,25,26
6:07,2239,Jamal Smith Turnover.,25,26
6:06,2351,Donald Gipson Steal.,25,26
6:03,2351,Donald Gipson made Layup.,25,28
5:46,2239,Arkim Robertson Turnover.,25,28
5:41,2351,Donald Gipson missed Three Point Jumper.,25,28
5:41,2239,Kyle Allman Defensive Rebound.,25,28
5:33,2351,Foul on Cameron Allen.,25,28
5:21,2239,Khalil Ahmad Turnover.,25,28
4:57,2351,Donald Gipson Turnover.,25,28
4:57,2351,Foul on Donald Gipson.,25,28
4:44,2351,Foul on Mattias Markusson.,25,28
4:44,2239,Khalil Ahmad made Free Throw.,26,28
4:44,2239,Khalil Ahmad made Free Throw.,27,28
4:24,2351,Eli Scott missed Jumper.,27,28
4:24,2239,Arkim Robertson Defensive Rebound.,27,28
4:14,2239,Kyle Allman missed Layup.,27,28
4:14,2239,Arkim Robertson Offensive Rebound.,27,28
4:07,2239,Khalil Ahmad made Layup. Assisted by Arkim Robertson.,29,28
3:53,2351,Eli Scott Turnover.,29,28
3:53,2239,Khalil Ahmad Steal.,29,28
3:53,2351,Official TV Timeout,29,28
3:38,2351,Foul on James Batemon.,29,28
3:38,2239,Arkim Robertson made Free Throw.,30,28
3:38,2239,Arkim Robertson made Free Throw.,31,28
3:25,2351,James Batemon Turnover.,31,28
3:24,2239,Arkim Robertson Steal.,31,28
3:21,2239,Austen Awosika made Layup. Assisted by Kyle Allman.,33,28
2:49,2351,Eli Scott made Layup. Assisted by Mattias Markusson.,33,30
2:32,2239,Khalil Ahmad made Layup.,35,30
2:13,2351,Eli Scott Turnover.,35,30
2:12,2239,Jamal Smith Steal.,35,30
2:06,2239,Khalil Ahmad missed Three Point Jumper.,35,30
2:06,2239,Arkim Robertson Offensive Rebound.,35,30
1:46,2239,Jamal Smith made Three Point Jumper. Assisted by Arkim Robertson.,38,30
1:39,2351,Loyola Marymount  Timeout,38,30
1:20,2351,Steven Haney Turnover.,38,30
1:08,2239,Kyle Allman made Layup. Assisted by Arkim Robertson.,40,30
1:07,2351,Foul on Steven Haney.,40,30
1:07,2239,Kyle Allman made Free Throw.,41,30
0:48,2351,James Batemon made Jumper.,41,32
0:47,2239,Foul on Jamal Smith.,41,32
0:47,2351,James Batemon made Free Throw.,41,33
0:42,2239,Khalil Ahmad made Layup. Assisted by Kyle Allman.,43,33
0:22,2351,Mattias Markusson Turnover.,43,33
0:18,2239,CSU Fullerton  Timeout,43,33
0:04,2239,Austen Awosika missed Three Point Jumper.,43,33
0:04,2351,Loyola Marymount Defensive Rebound.,43,33
0:00,2351,End of 1st half,43,33
19:53,2351,Zafir Williams missed Jumper.,43,33
19:53,2239,Jamal Smith Defensive Rebound.,43,33
19:43,2239,Jackson Rowe missed Three Point Jumper.,43,33
19:43,2351,Mattias Markusson Defensive Rebound.,43,33
19:36,2351,James Batemon missed Layup.,43,33
19:36,2239,Arkim Robertson Block.,43,33
19:34,2351,Loyola Marymount Offensive Rebound.,43,33
19:21,2351,James Batemon made Jumper.,43,35
19:06,2351,Foul on Mattias Markusson.,43,35
19:00,2239,Khalil Ahmad missed Layup.,43,35
19:00,2351,Mattias Markusson Defensive Rebound.,43,35
18:34,2351,Zafir Williams Turnover.,43,35
18:25,2239,Arkim Robertson missed Layup.,43,35
18:25,2351,Zafir Williams Block.,43,35
18:22,2239,Khalil Ahmad Offensive Rebound.,43,35
18:22,2351,Foul on Mattias Markusson.,43,35
18:22,2239,Khalil Ahmad made Free Throw.,44,35
18:22,2239,Khalil Ahmad made Free Throw.,45,35
18:06,2351,Steven Haney made Layup. Assisted by James Batemon.,45,37
17:50,2239,Kyle Allman missed Jumper.,45,37
17:50,2239,Jackson Rowe Offensive Rebound.,45,37
17:34,2239,CSU Fullerton  Timeout,45,37
17:33,2239,CSU Fullerton  Turnover.,45,37
17:20,2351,James Batemon made Three Point Jumper. Assisted by Jeffery McClendon.,45,40
16:54,2239,Khalil Ahmad missed Jumper.,45,40
16:54,2351,Jeffery McClendon Block.,45,40
16:52,2239,Arkim Robertson Offensive Rebound.,45,40
16:51,2351,Foul on Mattias Markusson.,45,40
16:51,2239,Arkim Robertson made Free Throw.,46,40
16:51,2239,Arkim Robertson missed Free Throw.,46,40
16:51,2351,Eli Scott Defensive Rebound.,46,40
16:46,2239,Foul on Jackson Rowe.,46,40
16:36,2239,Foul on Jackson Rowe.,46,40
16:23,2351,Steven Haney missed Three Point Jumper.,46,40
16:23,2351,Eli Scott Offensive Rebound.,46,40
16:21,2239,Foul on Khalil Ahmad.,46,40
16:17,2351,Eli Scott Turnover.,46,40
16:16,2239,Austen Awosika Steal.,46,40
16:14,2239,Austen Awosika made Layup.,48,40
15:51,2351,Zafir Williams Turnover.,48,40
15:50,2239,Khalil Ahmad Steal.,48,40
15:48,2239,Khalil Ahmad Turnover.,48,40
15:47,2351,Eli Scott Steal.,48,40
15:43,2239,Foul on Arkim Robertson.,48,40
15:43,2351,Official TV Timeout,48,40
15:43,2351,Jeffery McClendon made Free Throw.,48,41
15:43,2351,Jeffery McClendon made Free Throw.,48,42
15:33,2239,Jamal Smith Turnover.,48,42
15:20,2351,Steven Haney missed Layup.,48,42
15:20,2239,Arkim Robertson Block.,48,42
15:19,2351,Loyola Marymount Offensive Rebound.,48,42
15:13,2239,Foul on Jamal Smith.,48,42
14:52,2351,Loyola Marymount  Turnover.,48,42
14:36,2239,Daniel Venzant Turnover.,48,42
14:35,2351,Jeffery McClendon Steal.,48,42
14:31,2351,Jeffery McClendon missed Three Point Jumper.,48,42
14:31,2351,Eli Scott Offensive Rebound.,48,42
14:23,2351,Steven Haney missed Three Point Jumper.,48,42
14:23,2239,Arkim Robertson Defensive Rebound.,48,42
14:17,2239,Arkim Robertson Turnover.,48,42
14:06,2351,Cameron Allen Turnover.,48,42
13:49,2239,Khalil Ahmad missed Three Point Jumper.,48,42
13:49,2239,Arkim Robertson Offensive Rebound.,48,42
13:45,2239,Arkim Robertson made Layup.,50,42
13:30,2351,Cameron Allen missed Three Point Jumper.,50,42
13:30,2351,Mikail Simmons Offensive Rebound.,50,42
13:19,2351,Eli Scott made Layup.,50,44
12:56,2351,Foul on Mikail Simmons.,50,44
12:45,2239,Arkim Robertson made Layup. Assisted by Kyle Allman.,52,44
12:28,2351,Eli Scott made Layup. Assisted by James Batemon.,52,46
12:11,2351,Foul on Mikail Simmons.,52,46
12:11,2239,Jackson Rowe made Free Throw.,53,46
12:11,2239,Jackson Rowe missed Free Throw.,53,46
12:11,2351,Mattias Markusson Defensive Rebound.,53,46
11:54,2351,Eli Scott missed Jumper.,53,46
11:54,2239,CSU Fullerton Deadball Team Rebound.,53,46
11:52,2351,Foul on Eli Scott.,53,46
11:52,2351,Official TV Timeout,53,46
11:46,2239,Kyle Allman made Three Point Jumper. Assisted by Khalil Ahmad.,56,46
11:26,2351,James Batemon missed Three Point Jumper.,56,46
11:26,2351,Eli Scott Offensive Rebound.,56,46
11:21,2239,Foul on Jackson Rowe.,56,46
11:17,2351,Eli Scott made Free Throw.,56,47
11:17,2351,Eli Scott made Free Throw.,56,48
10:51,2239,Arkim Robertson Turnover.,56,48
10:33,2351,Eli Scott made Jumper.,56,50
10:13,2239,CSU Fullerton  Turnover.,56,50
9:55,2351,Eli Scott Turnover.,56,50
9:54,2239,Austen Awosika Steal.,56,50
9:52,2351,Foul on James Batemon.,56,50
9:52,2239,Austen Awosika made Free Throw.,57,50
9:52,2239,Austen Awosika missed Free Throw.,57,50
9:52,2351,Eli Scott Defensive Rebound.,57,50
9:30,2351,James Batemon Turnover.,57,50
9:30,2239,Kyle Allman Steal.,57,50
9:14,2239,Kyle Allman Turnover.,57,50
9:13,2351,Eli Scott Steal.,57,50
9:12,2239,Foul on Jamal Smith.,57,50
9:12,2351,James Batemon made Free Throw.,57,51
9:12,2351,James Batemon missed Free Throw.,57,51
9:12,2351,James Batemon Offensive Rebound.,57,51
9:06,2351,Loyola Marymount  Timeout,57,51
8:49,2351,James Batemon missed Layup.,57,51
8:49,2239,Arkim Robertson Block.,57,51
8:47,2351,Loyola Marymount Offensive Rebound.,57,51
8:41,2351,Eli Scott missed Jumper.,57,51
8:41,2239,Arkim Robertson Defensive Rebound.,57,51
8:13,2239,Jackson Rowe made Three Point Jumper. Assisted by Austen Awosika.,60,51
7:39,2351,Cameron Allen missed Three Point Jumper.,60,51
7:39,2239,Kyle Allman Defensive Rebound.,60,51
7:31,2239,Khalil Ahmad missed Layup.,60,51
7:31,2351,Jeffery McClendon Block.,60,51
7:30,2239,CSU Fullerton Offensive Rebound.,60,51
7:30,2351,Official TV Timeout,60,51
7:26,2239,Austen Awosika Turnover.,60,51
7:25,2351,Eli Scott Steal.,60,51
7:23,2351,Eli Scott made Layup.,60,53
7:04,2351,Foul on Zafir Williams.,60,53
7:04,2239,Jackson Rowe made Free Throw.,61,53
7:04,2239,Jackson Rowe missed Free Throw.,61,53
7:04,2351,Zafir Williams Defensive Rebound.,61,53
6:42,2351,Zafir Williams missed Jumper.,61,53
6:42,2239,Jackson Rowe Defensive Rebound.,61,53
6:31,2239,Kyle Allman missed Three Point Jumper.,61,53
6:31,2239,Khalil Ahmad Offensive Rebound.,61,53
6:15,2239,Kyle Allman Turnover.,61,53
6:04,2351,Jeffery McClendon made Three Point Jumper. Assisted by James Batemon.,61,56
5:39,2239,Austen Awosika missed Jumper.,61,56
5:39,2351,Zafir Williams Block.,61,56
5:37,2239,Austen Awosika Offensive Rebound.,61,56
5:36,2239,Jackson Rowe made Layup.,63,56
4:51,2351,Cameron Allen Turnover.,63,56
4:48,2239,Austen Awosika Steal.,63,56
4:47,2239,Kyle Allman made Layup.,65,56
4:33,2351,James Batemon missed Three Point Jumper.,65,56
4:33,2239,Arkim Robertson Defensive Rebound.,65,56
4:09,2239,Khalil Ahmad made Three Point Jumper.,68,56
4:04,2351,Loyola Marymount  Timeout,68,56
4:04,2351,Official TV Timeout,68,56
3:42,2351,James Batemon made Jumper.,68,58
3:26,2239,Khalil Ahmad made Layup. Assisted by Jamal Smith.,70,58
3:17,2351,Steven Haney missed Three Point Jumper.,70,58
3:17,2239,Arkim Robertson Defensive Rebound.,70,58
3:09,2239,Jackson Rowe made Dunk. Assisted by Austen Awosika.,72,58
2:51,2351,Donald Gipson made Three Point Jumper. Assisted by James Batemon.,72,61
2:30,2351,Foul on Donald Gipson.,72,61
2:30,2239,Khalil Ahmad made Free Throw.,73,61
2:30,2239,Khalil Ahmad made Free Throw.,74,61
2:22,2239,Foul on Austen Awosika.,74,61
2:22,2351,James Batemon made Free Throw.,74,62
2:22,2351,James Batemon made Free Throw.,74,63
2:20,2351,Foul on Donald Gipson.,74,63
2:20,2239,Jamal Smith made Free Throw.,75,63
2:20,2239,Jamal Smith made Free Throw.,76,63
2:13,2351,Donald Gipson missed Three Point Jumper.,76,63
2:13,2351,James Batemon Offensive Rebound.,76,63
2:08,2351,James Batemon made Layup.,76,65
1:54,2239,Jackson Rowe missed Layup.,76,65
1:54,2351,James Batemon Defensive Rebound.,76,65
1:48,2351,James Batemon made Layup.,76,67
1:40,2239,Austen Awosika Turnover.,76,67
1:40,2239,Foul on Austen Awosika.,76,67
1:38,2351,Steven Haney made Three Point Jumper. Assisted by James Batemon.,76,70
1:33,2239,CSU Fullerton  Timeout,76,70
1:27,2351,Foul on Mikail Simmons.,76,70
1:26,2239,Jackson Rowe made Free Throw.,77,70
1:26,2239,Jackson Rowe made Free Throw.,78,70
1:24,2351,James Batemon made Layup. Assisted by Steven Haney.,78,72
1:11,2239,Austen Awosika Turnover.,78,72
1:10,2351,Mikail Simmons Steal.,78,72
1:08,2351,Steven Haney missed Three Point Jumper.,78,72
1:08,2351,Jeffery McClendon Offensive Rebound.,78,72
1:05,2351,Donald Gipson missed Three Point Jumper.,78,72
1:05,2351,Mikail Simmons Offensive Rebound.,78,72
0:56,2351,Mikail Simmons Turnover.,78,72
0:55,2239,Jackson Rowe Steal.,78,72
0:53,2239,Jackson Rowe made Dunk.,80,72
0:50,2351,Foul on Donald Gipson.,80,72
0:50,2239,Jackson Rowe made Free Throw.,81,72
0:48,2351,Mikail Simmons made Dunk. Assisted by James Batemon.,81,74
0:44,2351,Foul on Steven Haney.,81,74
0:44,2239,Khalil Ahmad made Free Throw.,82,74
0:44,2239,Khalil Ahmad made Free Throw.,83,74
0:39,2351,Steven Haney missed Layup.,83,74
0:39,2239,Austen Awosika Defensive Rebound.,83,74
0:38,2351,Foul on James Batemon.,83,74
0:38,2239,Austen Awosika made Free Throw.,84,74
0:38,2239,Austen Awosika made Free Throw.,85,74
0:30,2239,Foul on Austen Awosika.,85,74
0:30,2351,James Batemon made Free Throw.,85,75
0:30,2351,James Batemon made Free Throw.,85,76
0:24,2239,Jackson Rowe made Dunk. Assisted by Khalil Ahmad.,87,76
0:13,2239,Foul on Kyle Allman.,87,76
0:13,2351,Cameron Allen made Free Throw.,87,77
0:13,2351,Cameron Allen made Free Throw.,87,78
0:13,2351,Cameron Allen missed Free Throw.,87,78
0:13,2351,James Batemon Offensive Rebound.,87,78
0:12,2239,Foul on Kyle Allman.,87,78
0:12,2351,James Batemon made Free Throw.,87,79
0:12,2351,James Batemon made Free Throw.,87,80
0:11,2351,Foul on James Batemon.,87,80
0:11,2239,Kyle Allman made Free Throw.,88,80
0:11,2239,Kyle Allman missed Free Throw.,88,80
0:11,2351,James Batemon Defensive Rebound.,88,80
0:07,2351,Mikail Simmons Turnover.,88,80
0:00,2351,End of Game,88,80
