Xavier,2460,Northern Iowa,2752
3:06,2460,Bennett Koch missed Free Throw.,60,55
3:06,2752,Kerem Kanter Defensive Rebound.,60,55
2:37,2752,Trevon Bluiett missed Jumper.,60,55
2:37,2460,Bennett Koch Defensive Rebound.,60,55
2:25,2752,Foul on Trevon Bluiett.,60,55
2:25,2460,Bennett Koch made Free Throw.,60,56
2:25,2460,Bennett Koch made Free Throw.,60,57
2:06,2752,Quentin Goodin missed Jumper.,60,57
2:06,2460,Spencer Haldeman Defensive Rebound.,60,57
1:56,2460,Northern Iowa  Timeout,60,57
1:47,2460,Wyatt Lohaus missed Layup.,60,57
1:47,2752,Naji Marshall Block.,60,57
1:47,2752,Tyrique Jones Defensive Rebound.,60,57
1:47,2460,Foul on Bennett Koch.,60,57
1:47,2752,Tyrique Jones made Free Throw.,61,57
1:47,2752,Tyrique Jones made Free Throw.,62,57
1:47,2752,Xavier  Timeout,62,57
1:37,2460,Tywhon Pickford Turnover.,62,57
1:37,2752,J.P. Macura Steal.,62,57
1:33,2752,J.P. Macura made Dunk. Assisted by Quentin Goodin.,64,57
1:19,2460,Tywhon Pickford made Layup. Assisted by Wyatt Lohaus.,64,59
1:17,2460,Northern Iowa  Timeout,64,59
0:56,2752,J.P. Macura made Three Point Jumper. Assisted by Quentin Goodin.,67,59
0:47,2460,Isaiah Brown made Three Point Jumper. Assisted by Klint Carlson.,67,62
0:47,2460,Northern Iowa  Timeout,67,62
0:47,2460,Foul on Spencer Haldeman.,67,62
0:47,2752,Quentin Goodin made Free Throw.,68,62
0:47,2752,Xavier  Timeout,68,62
0:47,2752,Quentin Goodin made Free Throw.,69,62
0:39,2460,Klint Carlson made Jumper. Assisted by Wyatt Lohaus.,69,64
0:34,2460,Foul on Spencer Haldeman.,69,64
0:34,2752,Quentin Goodin made Free Throw.,70,64
0:34,2752,Quentin Goodin made Free Throw.,71,64
0:21,2460,Isaiah Brown made Three Point Jumper. Assisted by Wyatt Lohaus.,71,67
0:21,2460,Foul on Spencer Haldeman.,71,67
0:21,2752,Quentin Goodin made Free Throw.,72,67
0:21,2752,Quentin Goodin made Free Throw.,73,67
0:10,2460,Spencer Haldeman missed Three Point Jumper.,73,67
0:10,2752,Kaiser Gates Defensive Rebound.,73,67
0:10,2460,Foul on Klint Carlson.,73,67
0:10,2752,Kaiser Gates made Free Throw.,74,67
0:10,2752,Kaiser Gates made Free Throw.,75,67
0:01,2460,Wyatt Lohaus Turnover.,75,67
0:01,2752,Naji Marshall Steal.,75,67
0:01,2752,Naji Marshall made Dunk.,77,67
0:00,2460,End of Game,77,67
