Bryn Athyn,Error,NJIT,2885
12:25,2885,David Kachelries missed Three Point Jumper.,8,16
12:25,-1,Christian Rivera Defensive Rebound.,8,16
12:17,-1,Larry Stevenson III missed Three Point Jumper.,8,16
12:17,2885,Zach Cooks Defensive Rebound.,8,16
12:06,2885,Chris Jenkins missed Three Point Jumper.,8,16
12:06,-1,Larry Stevenson III Defensive Rebound.,8,16
12:02,-1,Larry Stevenson III made Layup.,10,16
12:00,2885,NJIT  Timeout,10,16
12:00,2885,Official TV Timeout,10,16
11:37,2885,Chris Jenkins Turnover.,10,16
11:36,-1,Larry Stevenson III Steal.,10,16
11:30,2885,Foul on Mohamed Bendary.,10,16
11:30,-1,Devante Laws made Free Throw.,11,16
11:30,-1,Devante Laws made Free Throw.,12,16
11:22,2885,David Kachelries made Layup.,12,18
11:02,-1,Christian Rivera missed Jumper.,12,18
11:02,-1,Bryn Athyn Offensive Rebound.,12,18
10:57,-1,Devante Laws made Jumper.,14,18
10:42,2885,Chris Jenkins missed Three Point Jumper.,14,18
10:42,2885,Shawndale Jones Offensive Rebound.,14,18
10:38,2885,Shawndale Jones made Layup.,14,20
10:16,-1,Devante Laws missed Three Point Jumper.,14,20
10:16,2885,Shawndale Jones Defensive Rebound.,14,20
10:06,2885,Chris Jenkins Turnover.,14,20
9:51,2885,Foul on David Kachelries.,14,20
9:35,-1,Christian Rivera missed Three Point Jumper.,14,20
9:35,2885,Shawndale Jones Defensive Rebound.,14,20
9:20,2885,David Kachelries missed Three Point Jumper.,14,20
9:20,2885,Shawndale Jones Offensive Rebound.,14,20
9:13,2885,Chris Jenkins missed Three Point Jumper.,14,20
9:13,-1,Lamarr Crenshaw Defensive Rebound.,14,20
9:04,-1,Jerome Staley Turnover.,14,20
8:52,2885,Shawndale Jones missed Three Point Jumper.,14,20
8:52,-1,Rahim Washington Defensive Rebound.,14,20
8:28,-1,Christian Rivera made Layup.,16,20
8:13,2885,David Kachelries made Jumper.,16,22
7:58,-1,Adonis Rosario missed Layup.,16,22
7:58,2885,Mohamed Bendary Defensive Rebound.,16,22
7:41,2885,Chris Jenkins missed Three Point Jumper.,16,22
7:41,-1,Rahim Washington Defensive Rebound.,16,22
7:23,-1,Rahim Washington made Three Point Jumper.,19,22
7:08,2885,Mohamed Bendary made Jumper.,19,24
6:48,-1,Rahim Washington made Jumper.,21,24
6:29,2885,Chris Jenkins missed Three Point Jumper.,21,24
6:29,-1,Adonis Rosario Defensive Rebound.,21,24
6:14,-1,Rahim Washington missed Three Point Jumper.,21,24
6:14,2885,Mohamed Bendary Defensive Rebound.,21,24
6:05,2885,Zach Cooks Turnover.,21,24
6:04,2885,Official TV Timeout,21,24
5:42,-1,Larry Stevenson III Turnover.,21,24
5:24,2885,Zach Cooks Turnover.,21,24
5:08,-1,Lamarr Crenshaw missed Jumper.,21,24
5:08,-1,Bryn Athyn Deadball Team Rebound.,21,24
5:07,2885,Foul on Taj Price.,21,24
4:54,2885,Foul on Zach Cooks.,21,24
4:54,-1,Rahim Washington missed Free Throw.,21,24
4:54,-1,Bryn Athyn Deadball Team Rebound.,21,24
4:54,-1,Rahim Washington made Free Throw.,22,24
4:41,2885,Taj Price made Three Point Jumper. Assisted by Donovan Greer.,22,27
4:26,-1,Lamarr Crenshaw missed Layup.,22,27
4:26,2885,San Antonio Brinson Block.,22,27
4:23,2885,Donovan Greer Defensive Rebound.,22,27
4:23,2885,Donovan Greer Turnover.,22,27
4:11,-1,Rahim Washington missed Layup.,22,27
4:11,-1,Lamarr Crenshaw Offensive Rebound.,22,27
4:07,-1,Lamarr Crenshaw missed Layup.,22,27
4:07,2885,Taj Price Defensive Rebound.,22,27
4:05,-1,Foul on Lamarr Crenshaw.,22,27
3:46,2885,Shawndale Jones made Three Point Jumper. Assisted by San Antonio Brinson.,22,30
3:20,-1,James Flagg made Layup. Assisted by Lamarr Crenshaw.,24,30
3:06,2885,Taj Price made Three Point Jumper. Assisted by Donovan Greer.,24,33
2:57,-1,Rahim Washington missed Jumper.,24,33
2:57,2885,Taj Price Block.,24,33
2:55,2885,Taj Price Defensive Rebound.,24,33
2:52,2885,Zach Cooks missed Three Point Jumper.,24,33
2:51,2885,San Antonio Brinson Offensive Rebound.,24,33
2:50,2885,San Antonio Brinson made Dunk.,24,35
2:50,-1,Bryn Athyn  Timeout,24,35
2:50,2885,Official TV Timeout,24,35
2:38,-1,Lamarr Crenshaw Turnover.,24,35
2:37,2885,Donovan Greer Steal.,24,35
2:28,2885,Donovan Greer missed Three Point Jumper.,24,35
2:28,2885,San Antonio Brinson Offensive Rebound.,24,35
2:26,2885,San Antonio Brinson missed Layup.,24,35
2:26,2885,Taj Price Offensive Rebound.,24,35
2:23,2885,Taj Price missed Layup.,24,35
2:23,2885,Taj Price Offensive Rebound.,24,35
2:20,2885,Taj Price missed Layup.,24,35
2:20,2885,Taj Price Offensive Rebound.,24,35
2:17,2885,Taj Price missed Layup.,24,35
2:17,2885,Taj Price Offensive Rebound.,24,35
2:15,-1,Foul on Lamarr Crenshaw.,24,35
2:14,2885,Zach Cooks Turnover.,24,35
2:12,-1,Adonis Rosario Steal.,24,35
2:10,-1,Larry Stevenson III missed Layup.,24,35
2:10,2885,San Antonio Brinson Defensive Rebound.,24,35
2:03,-1,Foul on Christian Rivera.,24,35
2:03,2885,Donovan Greer missed Free Throw.,24,35
2:03,2885,NJIT Deadball Team Rebound.,24,35
2:03,2885,Donovan Greer made Free Throw.,24,36
1:50,-1,Rahim Washington made Three Point Jumper.,27,36
1:25,2885,Donovan Greer made Three Point Jumper. Assisted by Taj Price.,27,39
1:09,-1,Devante Laws missed Jumper.,27,39
1:09,2885,San Antonio Brinson Defensive Rebound.,27,39
1:01,2885,Shawndale Jones made Layup. Assisted by Zach Cooks.,27,41
0:37,-1,Christian Rivera missed Jumper.,27,41
0:37,2885,Taj Price Block.,27,41
0:36,2885,Donovan Greer Defensive Rebound.,27,41
0:31,2885,Zach Cooks made Layup. Assisted by Donovan Greer.,27,43
0:00,2885,End of 1st half,27,43
19:37,2885,Anthony Tarke Turnover.,27,43
19:36,-1,Jerome Staley Steal.,27,43
19:33,-1,Christian Rivera made Layup. Assisted by Jerome Staley.,29,43
19:27,2885,Anthony Tarke missed Layup.,29,43
19:27,-1,Lamarr Crenshaw Block.,29,43
19:26,-1,Christian Rivera Defensive Rebound.,29,43
19:21,-1,Lamarr Crenshaw Turnover.,29,43
19:21,2885,Reilly Walsh Steal.,29,43
19:15,2885,Diandre Wilson made Three Point Jumper. Assisted by Reilly Walsh.,29,46
18:52,-1,Rahim Washington Turnover.,29,46
18:51,2885,Anthony Tarke Steal.,29,46
18:50,-1,Foul on Lamarr Crenshaw.,29,46
18:50,2885,Anthony Tarke made Free Throw.,29,47
18:50,2885,Anthony Tarke made Free Throw.,29,48
18:36,-1,Lamarr Crenshaw Turnover.,29,48
18:34,2885,Shyquan Gibbs Steal.,29,48
18:31,2885,Reilly Walsh made Layup. Assisted by Diandre Wilson.,29,50
18:13,-1,Rahim Washington made Three Point Jumper.,32,50
17:56,2885,Shyquan Gibbs missed Three Point Jumper.,32,50
17:56,-1,Adonis Rosario Defensive Rebound.,32,50
17:46,-1,Rahim Washington missed Three Point Jumper.,32,50
17:46,2885,Anthony Tarke Defensive Rebound.,32,50
17:27,2885,Reilly Walsh made Layup. Assisted by Abdul Lewis.,32,52
16:55,-1,Jerome Staley missed Three Point Jumper.,32,52
16:55,2885,Abdul Lewis Defensive Rebound.,32,52
16:45,2885,Diandre Wilson Turnover.,32,52
16:44,-1,Jerome Staley Steal.,32,52
16:24,-1,Jerome Staley missed Three Point Jumper.,32,52
16:24,2885,Anthony Tarke Defensive Rebound.,32,52
16:17,2885,Diandre Wilson made Three Point Jumper. Assisted by Shyquan Gibbs.,32,55
15:46,-1,Rahim Washington missed Layup.,32,55
15:46,-1,Bryn Athyn Offensive Rebound.,32,55
15:44,2885,Official TV Timeout,32,55
15:34,-1,Devante Laws made Three Point Jumper.,35,55
15:25,2885,Shyquan Gibbs missed Jumper.,35,55
15:25,-1,Michael Dudley Defensive Rebound.,35,55
15:03,-1,Devante Laws Turnover.,35,55
15:02,2885,Shyquan Gibbs Steal.,35,55
15:01,2885,Shyquan Gibbs Turnover.,35,55
15:01,-1,Okoye Taylor Steal.,35,55
14:49,-1,Larry Stevenson III Turnover.,35,55
14:47,2885,Reilly Walsh Steal.,35,55
14:45,2885,Anthony Tarke missed Three Point Jumper.,35,55
14:45,-1,Michael Dudley Defensive Rebound.,35,55
14:40,-1,Michael Dudley made Jumper.,37,55
14:15,2885,Anthony Tarke made Three Point Jumper. Assisted by Abdul Lewis.,37,58
13:58,2885,Foul on Diandre Wilson.,37,58
13:58,-1,James Flagg missed Free Throw.,37,58
13:58,2885,Anthony Tarke Defensive Rebound.,37,58
13:51,2885,Abdul Lewis made Dunk. Assisted by Reilly Walsh.,37,60
13:40,-1,Michael Dudley Turnover.,37,60
13:30,2885,Anthony Tarke made Three Point Jumper. Assisted by Zach Cooks.,37,63
13:19,2885,Foul on Reilly Walsh.,37,63
13:16,-1,Drew Heller missed Jumper.,37,63
13:16,2885,Reilly Walsh Defensive Rebound.,37,63
13:08,2885,Anthony Tarke made Layup.,37,65
12:49,-1,Michael Dudley Turnover.,37,65
12:30,2885,Anthony Tarke made Layup.,37,67
12:05,-1,Tariq Moore Turnover.,37,67
12:04,2885,Abdul Lewis Steal.,37,67
12:02,2885,Abdul Lewis made Layup.,37,69
11:41,-1,Tariq Moore missed Layup.,37,69
11:41,2885,Abdul Lewis Defensive Rebound.,37,69
11:34,2885,Shawndale Jones missed Three Point Jumper.,37,69
11:34,2885,Anthony Tarke Offensive Rebound.,37,69
11:29,2885,Abdul Lewis made Layup. Assisted by Anthony Tarke.,37,71
11:11,-1,Adonis Rosario missed Jumper.,37,71
11:11,2885,Abdul Lewis Defensive Rebound.,37,71
11:10,2885,Abdul Lewis Turnover.,37,71
11:10,2885,Official TV Timeout,37,71
10:56,-1,Adonis Rosario made Jumper.,39,71
10:39,-1,Foul on Adonis Rosario.,39,71
10:39,-1,Technical Foul on Adonis Rosario.,39,71
10:39,-1,Foul on Adonis Rosario.,39,71
10:39,2885,Diandre Wilson made Free Throw.,39,72
10:39,2885,Diandre Wilson missed Free Throw.,39,72
10:39,2885,NJIT Deadball Team Rebound.,39,72
10:37,-1,Foul on James Flagg.,39,72
10:37,2885,Mohamed Bendary made Free Throw.,39,73
10:37,2885,Mohamed Bendary missed Free Throw.,39,73
10:37,-1,Okoye Taylor Defensive Rebound.,39,73
10:13,-1,Larry Stevenson III missed Three Point Jumper.,39,73
10:13,2885,Shawndale Jones Defensive Rebound.,39,73
10:05,-1,Foul on Okoye Taylor.,39,73
10:05,2885,Shawndale Jones made Free Throw.,39,74
10:05,2885,Shawndale Jones missed Free Throw.,39,74
10:05,2885,Mohamed Bendary Offensive Rebound.,39,74
9:59,2885,Anthony Tarke Turnover.,39,74
9:58,-1,Drew Heller Steal.,39,74
9:36,-1,Christian Rivera missed Three Point Jumper.,39,74
9:36,2885,Zach Cooks Block.,39,74
9:34,-1,Drew Heller Offensive Rebound.,39,74
9:33,-1,Drew Heller Turnover.,39,74
9:32,2885,Shawndale Jones Steal.,39,74
9:29,2885,Zach Cooks made Layup. Assisted by Shawndale Jones.,39,76
9:14,-1,Drew Heller missed Three Point Jumper.,39,76
9:14,2885,Anthony Tarke Defensive Rebound.,39,76
9:08,2885,Zach Cooks missed Three Point Jumper.,39,76
9:08,-1,Christian Rivera Defensive Rebound.,39,76
9:04,2885,Foul on Anthony Tarke.,39,76
8:45,-1,James Flagg missed Jumper.,39,76
8:45,2885,Zach Cooks Defensive Rebound.,39,76
8:34,2885,Mohamed Bendary made Jumper.,39,78
8:11,-1,Christian Rivera missed Jumper.,39,78
8:11,2885,San Antonio Brinson Block.,39,78
8:10,-1,Larry Stevenson III Offensive Rebound.,39,78
8:08,-1,Larry Stevenson III missed Jumper.,39,78
8:08,2885,Zach Cooks Block.,39,78
8:07,-1,Lamarr Crenshaw Offensive Rebound.,39,78
8:03,-1,Lamarr Crenshaw made Layup.,41,78
7:49,2885,Zach Cooks made Three Point Jumper. Assisted by Mohamed Bendary.,41,81
7:27,-1,Rahim Washington Turnover.,41,81
7:26,2885,Zach Cooks Steal.,41,81
7:23,2885,David Kachelries made Layup. Assisted by Zach Cooks.,41,83
7:13,2885,Foul on San Antonio Brinson.,41,83
7:13,2885,Official TV Timeout,41,83
7:13,-1,James Flagg missed Free Throw.,41,83
7:13,-1,Bryn Athyn Deadball Team Rebound.,41,83
7:13,-1,James Flagg made Free Throw.,42,83
6:58,2885,Zach Cooks Turnover.,42,83
6:57,-1,Christian Rivera Steal.,42,83
6:53,-1,Lamarr Crenshaw made Layup. Assisted by Christian Rivera.,44,83
6:35,2885,San Antonio Brinson Turnover.,44,83
6:33,-1,Lamarr Crenshaw Steal.,44,83
6:30,-1,Lamarr Crenshaw missed Layup.,44,83
6:30,2885,Mohamed Bendary Defensive Rebound.,44,83
6:24,2885,Shawndale Jones missed Layup.,44,83
6:24,2885,San Antonio Brinson Offensive Rebound.,44,83
6:22,2885,San Antonio Brinson missed Layup.,44,83
6:22,-1,Christian Rivera Defensive Rebound.,44,83
6:11,-1,Larry Stevenson III missed Three Point Jumper.,44,83
6:11,2885,San Antonio Brinson Defensive Rebound.,44,83
6:03,2885,Zach Cooks missed Three Point Jumper.,44,83
6:03,-1,Christian Rivera Defensive Rebound.,44,83
5:43,-1,Larry Stevenson III made Layup. Assisted by Rahim Washington.,46,83
5:24,2885,Mohamed Bendary made Layup. Assisted by San Antonio Brinson.,46,85
5:11,2885,Foul on David Kachelries.,46,85
4:52,2885,Foul on Mohamed Bendary.,46,85
4:52,-1,Lamarr Crenshaw missed Free Throw.,46,85
4:52,-1,Bryn Athyn Deadball Team Rebound.,46,85
4:52,-1,Lamarr Crenshaw missed Free Throw.,46,85
4:52,2885,Mohamed Bendary Defensive Rebound.,46,85
4:36,2885,Zach Cooks missed Three Point Jumper.,46,85
4:36,2885,David Kachelries Offensive Rebound.,46,85
4:33,2885,David Kachelries made Layup.,46,87
4:16,-1,James Flagg made Layup. Assisted by Rahim Washington.,48,87
4:03,2885,Mohamed Bendary made Layup. Assisted by Zach Cooks.,48,89
3:49,-1,Christian Rivera missed Three Point Jumper.,48,89
3:49,2885,Shawndale Jones Defensive Rebound.,48,89
3:42,2885,Shawndale Jones Turnover.,48,89
3:41,-1,Christian Rivera Steal.,48,89
3:36,-1,Rahim Washington missed Dunk.,48,89
3:36,-1,Rahim Washington Offensive Rebound.,48,89
3:34,-1,Rahim Washington made Layup.,50,89
3:26,-1,Foul on James Flagg.,50,89
3:26,2885,Taj Price made Free Throw.,50,90
3:26,2885,Taj Price made Free Throw.,50,91
3:02,-1,Michael Dudley missed Layup.,50,91
3:02,2885,Zach Cooks Block.,50,91
3:02,-1,Bryn Athyn Offensive Rebound.,50,91
2:58,-1,Drew Heller missed Jumper.,50,91
2:58,2885,David Kachelries Defensive Rebound.,50,91
2:51,2885,San Antonio Brinson missed Three Point Jumper.,50,91
2:51,2885,David Kachelries Offensive Rebound.,50,91
2:36,-1,Foul on Michael Dudley.,50,91
2:36,2885,San Antonio Brinson made Free Throw.,50,92
2:36,2885,San Antonio Brinson made Free Throw.,50,93
2:22,2885,Foul on David Kachelries.,50,93
2:22,-1,Okoye Taylor missed Free Throw.,50,93
2:22,2885,San Antonio Brinson Defensive Rebound.,50,93
1:57,2885,Chris Jenkins missed Jumper.,50,93
1:57,-1,Antonio Powell-Brown Defensive Rebound.,50,93
1:55,2885,Foul on Taj Price.,50,93
1:55,-1,Antonio Powell-Brown missed Free Throw.,50,93
1:55,2885,San Antonio Brinson Defensive Rebound.,50,93
1:45,2885,David Kachelries made Layup. Assisted by Chris Jenkins.,50,95
1:33,-1,Okoye Taylor missed Three Point Jumper.,50,95
1:33,2885,San Antonio Brinson Defensive Rebound.,50,95
1:23,2885,Chris Jenkins missed Three Point Jumper.,50,95
1:23,2885,David Kachelries Offensive Rebound.,50,95
1:21,2885,David Kachelries missed Two Point Tip Shot.,50,95
1:21,-1,Okoye Taylor Defensive Rebound.,50,95
1:06,-1,Tariq Moore missed Layup.,50,95
1:06,2885,San Antonio Brinson Block.,50,95
1:04,2885,Taj Price Defensive Rebound.,50,95
1:01,2885,David Kachelries made Layup. Assisted by Zach Cooks.,50,97
0:48,-1,Antonio Powell-Brown made Jumper.,52,97
0:39,2885,San Antonio Brinson made Dunk. Assisted by David Kachelries.,52,99
0:26,-1,Michael Dudley missed Three Point Jumper.,52,99
0:26,2885,Taj Price Defensive Rebound.,52,99
0:20,2885,Zach Cooks Turnover.,52,99
0:19,-1,Tariq Moore Steal.,52,99
0:17,2885,Foul on San Antonio Brinson.,52,99
0:17,-1,Tariq Moore missed Free Throw.,52,99
0:17,-1,Bryn Athyn Deadball Team Rebound.,52,99
0:17,-1,Tariq Moore made Free Throw.,53,99
0:00,2885,End of Game,53,99
