Delaware State,158,Nebraska,2169
8:19,158,Anton Gill Defensive Rebound.,48,63
8:09,158,Thomas Allen missed Three Point Jumper.,48,63
8:09,2169,Johquin Wiley Defensive Rebound.,48,63
8:05,2169,Johquin Wiley made Jumper.,50,63
7:52,2169,Foul on Demola Onifade.,50,63
7:52,158,Official TV Timeout,50,63
7:52,158,James Palmer Jr. missed Free Throw.,50,63
7:52,158,Nebraska Deadball Team Rebound.,50,63
7:52,158,James Palmer Jr. made Free Throw.,50,64
7:27,2169,Demola Onifade missed Jumper.,50,64
7:27,158,Isaiah Roby Defensive Rebound.,50,64
7:19,158,Anton Gill missed Jumper.,50,64
7:19,2169,Demola Onifade Block.,50,64
7:17,2169,Artem Tavakalyan Defensive Rebound.,50,64
7:14,2169,Artem Tavakalyan missed Layup.,50,64
7:14,158,Isaiah Roby Defensive Rebound.,50,64
7:08,158,Isaiah Roby made Dunk. Assisted by Anton Gill.,50,66
7:08,2169,Foul on Demola Onifade.,50,66
7:08,158,Isaiah Roby made Free Throw.,50,67
6:48,2169,Kavon Waller missed Three Point Jumper.,50,67
6:48,158,Jordy Tshimanga Defensive Rebound.,50,67
6:42,158,Thomas Allen made Layup.,50,69
6:19,2169,Jonathan Walker Turnover.,50,69
6:18,158,Thomas Allen Steal.,50,69
6:15,158,James Palmer Jr. made Layup. Assisted by Thomas Allen.,50,71
5:49,2169,Johquin Wiley made Jumper.,52,71
5:38,158,Isaiah Roby missed Dunk.,52,71
5:38,2169,Artem Tavakalyan Defensive Rebound.,52,71
5:30,2169,Artem Tavakalyan Turnover.,52,71
5:29,158,Anton Gill Steal.,52,71
5:14,158,Thomas Allen missed Three Point Jumper.,52,71
5:14,2169,Kavon Waller Defensive Rebound.,52,71
4:49,2169,Artem Tavakalyan made Layup.,54,71
4:32,158,Anton Gill made Three Point Jumper. Assisted by Thomas Allen.,54,74
4:09,2169,Johquin Wiley missed Jumper.,54,74
4:09,2169,Simon Okolue Offensive Rebound.,54,74
4:04,2169,Simon Okolue made Jumper.,56,74
4:04,158,Foul on James Palmer Jr..,56,74
4:04,2169,Simon Okolue made Free Throw.,57,74
3:45,158,Anton Gill missed Three Point Jumper.,57,74
3:45,2169,Kavon Waller Defensive Rebound.,57,74
3:36,2169,Kavon Waller Turnover.,57,74
3:36,158,Anton Gill Steal.,57,74
3:32,158,Thomas Allen made Layup. Assisted by Anton Gill.,57,76
3:16,2169,Kavon Waller made Three Point Jumper.,60,76
3:16,2169,Delaware State  Timeout,60,76
3:16,158,Official TV Timeout,60,76
2:52,158,Thorir Thorbjarnarson made Three Point Jumper. Assisted by Isaiah Roby.,60,79
2:23,2169,Johquin Wiley missed Jumper.,60,79
2:23,158,Isaiah Roby Defensive Rebound.,60,79
2:14,158,Thorir Thorbjarnarson made Three Point Jumper. Assisted by Isaiah Roby.,60,82
2:06,2169,Kavon Waller missed Three Point Jumper.,60,82
2:06,2169,Kavon Waller Offensive Rebound.,60,82
2:00,158,Foul on Anton Gill.,60,82
2:00,2169,Kavon Waller missed Free Throw.,60,82
2:00,2169,Delaware State Deadball Team Rebound.,60,82
2:00,2169,Kavon Waller made Free Throw.,61,82
1:50,158,Johnny Trueblood Turnover.,61,82
1:40,2169,Jonathan Walker missed Jumper.,61,82
1:40,2169,Kavon Waller Offensive Rebound.,61,82
1:37,2169,Kavon Waller made Jumper.,63,82
1:27,2169,Foul on Jonathan Walker.,63,82
1:27,158,Johnny Trueblood missed Free Throw.,63,82
1:27,2169,Kavon Waller Defensive Rebound.,63,82
1:23,2169,Jonathan Walker missed Three Point Jumper.,63,82
1:23,2169,Artem Tavakalyan Offensive Rebound.,63,82
1:18,2169,Artem Tavakalyan Turnover.,63,82
1:07,158,Malcolm Laws Turnover.,63,82
1:06,2169,Artem Tavakalyan Steal.,63,82
1:04,158,Foul on Thorir Thorbjarnarson.,63,82
1:04,2169,Artem Tavakalyan missed Free Throw.,63,82
1:04,2169,Delaware State Deadball Team Rebound.,63,82
1:04,2169,Artem Tavakalyan made Free Throw.,64,82
0:58,158,Johnny Trueblood Turnover.,64,82
0:57,2169,Johquin Wiley Steal.,64,82
0:51,2169,Artem Tavakalyan made Three Point Jumper. Assisted by Johquin Wiley.,67,82
0:38,158,Thorir Thorbjarnarson missed Three Point Jumper.,67,82
0:38,2169,Simon Okolue Defensive Rebound.,67,82
0:28,2169,Jonathan Walker Turnover.,67,82
0:10,158,Nana Akenten made Three Point Jumper. Assisted by Thorir Thorbjarnarson.,67,85
0:04,158,Foul on Tanner Borchardt.,67,85
0:04,2169,Jonathan Walker missed Free Throw.,67,85
0:04,2169,Delaware State Deadball Team Rebound.,67,85
0:04,2169,Jonathan Walker made Free Throw.,68,85
0:00,158,End of Game,68,85
