Prairie View A&amp;M,167,New Mexico,2504
6:15,2504,Shaquille Preston Offensive Rebound.,28,35
5:52,2504,Foul on Dennis Jones.,28,35
5:52,2504,Dennis Jones Turnover.,28,35
5:33,167,Dane Kuiper missed Layup.,28,35
5:33,2504,JD Wallace Block.,28,35
5:31,167,Troy Simons Offensive Rebound.,28,35
5:28,167,Troy Simons missed Jumper.,28,35
5:28,167,New Mexico Offensive Rebound.,28,35
5:14,167,Joe Furstinger made Free Throw.,28,36
5:14,2504,Foul on Austin Starr.,28,36
5:14,167,Joe Furstinger made Free Throw.,28,37
5:08,2504,Gary Blackston missed Three Point Jumper.,28,37
5:08,2504,JD Wallace Offensive Rebound.,28,37
4:58,2504,Gary Blackston Turnover.,28,37
4:54,167,Troy Simons Steal.,28,37
4:53,167,Chris McNeal Turnover.,28,37
4:43,167,Foul on Dane Kuiper.,28,37
4:43,2504,Gary Blackston made Free Throw.,29,37
4:43,2504,Gary Blackston made Free Throw.,30,37
4:28,2504,Foul on Shaquille Preston.,30,37
4:28,167,Makuach Maluach made Free Throw.,30,38
4:28,167,Makuach Maluach made Free Throw.,30,39
4:08,2504,Austin Starr made Three Point Jumper. Assisted by Dennis Jones.,33,39
3:54,167,Jachai Simmons missed Three Point Jumper.,33,39
3:54,167,Makuach Maluach Offensive Rebound.,33,39
3:50,167,Jachai Simmons missed Layup.,33,39
3:50,2504,Gary Blackston Defensive Rebound.,33,39
3:21,2504,Zachary Hamilton missed Jumper.,33,39
3:21,167,New Mexico Defensive Rebound.,33,39
3:21,2504,Foul on JD Wallace.,33,39
3:21,167,Official TV Timeout,33,39
3:21,167,Jachai Simmons missed Free Throw.,33,39
3:21,167,New Mexico Deadball Team Rebound.,33,39
3:21,167,Jachai Simmons made Free Throw.,33,40
3:08,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,36,40
2:34,167,Chris McNeal made Layup.,36,42
2:17,167,Foul on Jachai Simmons.,36,42
2:17,2504,Dennis Jones missed Free Throw.,36,42
2:17,2504,Prairie View A&M Deadball Team Rebound.,36,42
2:17,2504,Dennis Jones missed Free Throw.,36,42
2:17,167,Anthony Mathis Defensive Rebound.,36,42
2:09,2504,Foul on Iwin Ellis.,36,42
2:09,167,Makuach Maluach made Free Throw.,36,43
2:09,167,Makuach Maluach made Free Throw.,36,44
1:37,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,39,44
1:22,167,Troy Simons made Three Point Jumper. Assisted by Chris McNeal.,39,47
1:00,2504,Zachary Hamilton missed Three Point Jumper.,39,47
1:00,2504,Zachary Hamilton Offensive Rebound.,39,47
0:58,167,Foul on Anthony Mathis.,39,47
0:58,2504,Zachary Hamilton made Free Throw.,40,47
0:58,2504,Zachary Hamilton made Free Throw.,41,47
0:51,167,Troy Simons missed Layup.,41,47
0:51,2504,Keion Alexander Block.,41,47
0:49,2504,Keion Alexander Defensive Rebound.,41,47
0:45,2504,Dennis Jones Turnover.,41,47
0:41,2504,Foul on Austin Starr.,41,47
0:41,167,Joe Furstinger made Free Throw.,41,48
0:41,167,Joe Furstinger made Free Throw.,41,49
0:19,2504,Gary Blackston missed Layup.,41,49
0:19,167,Makuach Maluach Defensive Rebound.,41,49
0:00,167,Troy Simons missed Three Point Jumper.,41,49
0:00,2504,Prairie View A&M Defensive Rebound.,41,49
0:00,167,End of 1st half,41,49
19:37,167,Dane Kuiper missed Three Point Jumper.,41,49
19:37,167,Joe Furstinger Offensive Rebound.,41,49
19:35,2504,Foul on Iwin Ellis.,41,49
19:35,167,Joe Furstinger made Free Throw.,41,50
19:35,167,Joe Furstinger made Free Throw.,41,51
19:14,2504,Prairie View A&M  Timeout,41,51
19:05,2504,Iwin Ellis made Jumper. Assisted by Dennis Jones.,43,51
18:47,167,Troy Simons missed Jumper.,43,51
18:47,2504,Zachary Hamilton Defensive Rebound.,43,51
18:28,2504,Zachary Hamilton made Three Point Jumper.,46,51
18:12,167,Chris McNeal missed Three Point Jumper.,46,51
18:12,167,Troy Simons Offensive Rebound.,46,51
17:55,167,Dane Kuiper Turnover.,46,51
17:54,2504,Dennis Jones Steal.,46,51
17:52,167,Foul on Dane Kuiper.,46,51
17:52,2504,Dennis Jones missed Free Throw.,46,51
17:52,2504,Prairie View A&M Deadball Team Rebound.,46,51
17:52,2504,Dennis Jones missed Free Throw.,46,51
17:52,167,Sam Logwood Defensive Rebound.,46,51
17:22,167,Joe Furstinger missed Three Point Jumper.,46,51
17:22,167,Troy Simons Offensive Rebound.,46,51
17:06,2504,Foul on Dennis Jones.,46,51
16:50,167,Chris McNeal missed Three Point Jumper.,46,51
16:50,167,New Mexico Offensive Rebound.,46,51
16:44,167,Sam Logwood Turnover.,46,51
16:30,2504,Iwin Ellis made Dunk. Assisted by Gary Blackston.,48,51
16:02,167,Chris McNeal missed Jumper.,48,51
16:02,2504,Iwin Ellis Defensive Rebound.,48,51
15:54,2504,Zachary Hamilton missed Three Point Jumper.,48,51
15:54,2504,Iwin Ellis Offensive Rebound.,48,51
15:51,2504,Iwin Ellis made Layup.,50,51
15:25,167,Sam Logwood made Layup.,50,53
15:04,2504,Foul on Gary Blackston.,50,53
15:04,2504,Gary Blackston Turnover.,50,53
15:04,167,Official TV Timeout,50,53
14:55,167,Antino Jackson missed Three Point Jumper.,50,53
14:55,167,Vladimir Pinchuk Offensive Rebound.,50,53
14:31,167,Antino Jackson made Layup.,50,55
14:27,2504,Iwin Ellis Turnover.,50,55
14:15,167,Sam Logwood missed Layup.,50,55
14:15,2504,Iwin Ellis Block.,50,55
14:14,167,New Mexico Offensive Rebound.,50,55
14:06,167,Troy Simons made Three Point Jumper. Assisted by Vladimir Pinchuk.,50,58
13:59,2504,Shaquille Preston made Layup. Assisted by Gary Blackston.,52,58
13:46,2504,Foul on Dennis Jones.,52,58
13:41,167,Antino Jackson missed Three Point Jumper.,52,58
13:41,2504,Shaquille Preston Defensive Rebound.,52,58
13:37,2504,Shaquille Preston Turnover.,52,58
13:23,167,Antino Jackson made Three Point Jumper. Assisted by Sam Logwood.,52,61
13:10,2504,Gary Blackston missed Jumper.,52,61
13:10,167,Joe Furstinger Defensive Rebound.,52,61
12:45,167,Dane Kuiper made Three Point Jumper. Assisted by Anthony Mathis.,52,64
12:28,2504,Austin Starr missed Jumper.,52,64
12:28,167,Sam Logwood Defensive Rebound.,52,64
12:18,167,Anthony Mathis missed Three Point Jumper.,52,64
12:18,167,Joe Furstinger Offensive Rebound.,52,64
12:16,2504,Foul on Keion Alexander.,52,64
12:14,167,Joe Furstinger missed Layup.,52,64
12:14,2504,Keion Alexander Block.,52,64
12:13,2504,Prairie View A&M Defensive Rebound.,52,64
11:57,2504,Shaquille Preston missed Three Point Jumper.,52,64
11:57,167,Dane Kuiper Defensive Rebound.,52,64
11:41,167,Dane Kuiper made Three Point Jumper. Assisted by Joe Furstinger.,52,67
11:38,2504,Prairie View A&M  Timeout,52,67
11:11,2504,Zachary Hamilton made Layup. Assisted by Austin Starr.,54,67
11:03,167,Anthony Mathis missed Three Point Jumper.,54,67
11:03,2504,Zachary Hamilton Defensive Rebound.,54,67
10:52,2504,Zachary Hamilton made Three Point Jumper. Assisted by Gary Blackston.,57,67
10:46,167,Anthony Mathis made Layup. Assisted by Antino Jackson.,57,69
10:15,2504,Troy Thompson missed Three Point Jumper.,57,69
10:15,2504,Zachary Hamilton Offensive Rebound.,57,69
10:11,2504,Zachary Hamilton made Layup.,59,69
9:46,167,Dane Kuiper Turnover.,59,69
9:45,2504,Keion Alexander Steal.,59,69
9:41,2504,Austin Starr missed Three Point Jumper.,59,69
9:41,167,Troy Simons Defensive Rebound.,59,69
9:15,167,Foul on Chris McNeal.,59,69
9:15,167,Chris McNeal Turnover.,59,69
9:07,167,Foul on Jachai Simmons.,59,69
8:59,2504,Gary Blackston missed Jumper.,59,69
8:59,2504,Austin Starr Offensive Rebound.,59,69
8:53,2504,Zachary Hamilton missed Layup.,59,69
8:53,167,Jachai Simmons Block.,59,69
8:50,167,Vladimir Pinchuk Defensive Rebound.,59,69
8:46,167,Antino Jackson Turnover.,59,69
8:46,2504,Gary Blackston Steal.,59,69
8:27,2504,Zachary Hamilton made Three Point Jumper.,62,69
8:19,2504,Foul on Austin Starr.,62,69
8:09,167,Sam Logwood made Jumper. Assisted by Jachai Simmons.,62,71
7:48,2504,Austin Starr Turnover.,62,71
7:47,167,Jachai Simmons Steal.,62,71
7:44,167,Official TV Timeout,62,71
7:38,167,Joe Furstinger made Layup. Assisted by Antino Jackson.,62,73
7:10,2504,Zachary Hamilton made Jumper.,64,73
6:53,2504,Foul on Keion Alexander.,64,73
6:53,167,Antino Jackson made Free Throw.,64,74
6:53,167,Antino Jackson missed Free Throw.,64,74
6:53,2504,Shaquille Preston Defensive Rebound.,64,74
6:36,2504,Zachary Hamilton missed Jumper.,64,74
6:36,167,Antino Jackson Defensive Rebound.,64,74
6:19,167,Antino Jackson made Three Point Jumper.,64,77
5:48,2504,Shaquille Preston missed Jumper.,64,77
5:48,167,Joe Furstinger Defensive Rebound.,64,77
5:36,167,Sam Logwood made Layup.,64,79
5:17,2504,Gary Blackston missed Jumper.,64,79
5:17,167,Joe Furstinger Defensive Rebound.,64,79
5:01,167,Dane Kuiper made Three Point Jumper. Assisted by Joe Furstinger.,64,82
4:34,2504,Shaquille Preston missed Three Point Jumper.,64,82
4:34,2504,Prairie View A&M Deadball Team Rebound.,64,82
4:33,167,Foul on Sam Logwood.,64,82
4:26,2504,Troy Thompson missed Three Point Jumper.,64,82
4:26,167,New Mexico Defensive Rebound.,64,82
4:14,167,Dane Kuiper made Layup. Assisted by Joe Furstinger.,64,84
3:44,2504,Dennis Jones missed Jumper.,64,84
3:44,167,Makuach Maluach Defensive Rebound.,64,84
3:33,167,Makuach Maluach missed Three Point Jumper.,64,84
3:33,167,Joe Furstinger Offensive Rebound.,64,84
3:29,167,Joe Furstinger missed Two Point Tip Shot.,64,84
3:29,167,Joe Furstinger Offensive Rebound.,64,84
3:26,167,Antino Jackson missed Three Point Jumper.,64,84
3:26,2504,Iwin Ellis Defensive Rebound.,64,84
3:10,2504,Zachary Hamilton missed Layup.,64,84
3:10,167,Makuach Maluach Block.,64,84
3:08,167,Dane Kuiper Defensive Rebound.,64,84
3:01,167,Joe Furstinger Turnover.,64,84
3:01,2504,JD Wallace Steal.,64,84
3:01,167,Official TV Timeout,64,84
2:56,2504,Dennis Jones Turnover.,64,84
2:55,167,Makuach Maluach Steal.,64,84
2:39,2504,Foul on Zachary Hamilton.,64,84
2:39,167,Vladimir Pinchuk missed Free Throw.,64,84
2:39,2504,JD Wallace Defensive Rebound.,64,84
2:30,2504,Austin Starr made Three Point Jumper. Assisted by Dennis Jones.,67,84
2:21,167,Antino Jackson Turnover.,67,84
2:19,2504,Dennis Jones Steal.,67,84
2:18,2504,Dennis Jones made Layup.,69,84
2:04,167,Antino Jackson missed Layup.,69,84
2:04,2504,Zachary Hamilton Defensive Rebound.,69,84
1:53,2504,Dennis Jones made Layup.,71,84
1:32,167,Antino Jackson made Three Point Jumper.,71,87
1:09,2504,Dennis Jones made Three Point Jumper. Assisted by Gary Blackston.,74,87
0:47,167,Sam Logwood missed Layup.,74,87
0:47,2504,JD Wallace Block.,74,87
0:46,2504,Austin Starr Defensive Rebound.,74,87
0:43,167,Foul on Chris McNeal.,74,87
0:43,2504,Zachary Hamilton made Free Throw.,75,87
0:43,2504,Zachary Hamilton made Free Throw.,76,87
0:30,167,Sam Logwood Turnover.,76,87
0:27,2504,Zachary Hamilton Steal.,76,87
0:25,2504,Zachary Hamilton made Layup.,78,87
0:00,167,End of Game,78,87
