Hartford,2229,Florida Intl,42
0:00,2229,End of 1st half,34,34
19:52,2229,Trejon Jacob made Layup. Assisted by Eric Lockett.,34,36
19:20,42,Travis Weatherington missed Three Point Jumper.,34,36
19:20,2229,Hassan Hussein Defensive Rebound.,34,36
18:59,2229,Hassan Hussein missed Jumper.,34,36
18:59,42,John Carroll Defensive Rebound.,34,36
18:48,42,J.R. Lynch missed Three Point Jumper.,34,36
18:48,42,Hartford Deadball Team Rebound.,34,36
18:45,2229,Foul on Elhadji Dieng.,34,36
18:45,42,Foul on Hassan Attia.,34,36
18:43,42,Jason Dunne missed Three Point Jumper.,34,36
18:43,2229,Eric Lockett Defensive Rebound.,34,36
18:37,2229,Brian Beard Jr. missed Layup.,34,36
18:37,2229,Hassan Hussein Offensive Rebound.,34,36
18:36,42,Foul on John Carroll.,34,36
18:36,2229,Hassan Hussein missed Free Throw.,34,36
18:36,2229,Florida International Deadball Team Rebound.,34,36
18:36,2229,Hassan Hussein made Free Throw.,34,37
18:13,42,George Blagojevic made Layup. Assisted by John Carroll.,36,37
17:49,2229,Hassan Hussein missed Jumper.,36,37
17:49,2229,Ronald Whitaker Offensive Rebound.,36,37
17:44,2229,Ronald Whitaker made Two Point Tip Shot.,36,39
17:18,42,Jason Dunne made Jumper. Assisted by John Carroll.,38,39
17:10,2229,Trejon Jacob missed Layup.,38,39
17:10,42,John Carroll Defensive Rebound.,38,39
17:00,2229,Foul on Ronald Whitaker.,38,39
16:44,42,J.R. Lynch missed Jumper.,38,39
16:44,2229,Hassan Hussein Defensive Rebound.,38,39
16:34,2229,Brian Beard Jr. made Layup.,38,41
16:10,42,J.R. Lynch missed Jumper.,38,41
16:10,2229,Ronald Whitaker Defensive Rebound.,38,41
15:59,2229,Eric Lockett made Layup.,38,43
15:36,42,Jason Dunne made Three Point Jumper. Assisted by Travis Weatherington.,41,43
15:34,42,Hartford  Timeout,41,43
15:34,2229,Official TV Timeout,41,43
15:11,2229,Brian Beard Jr. missed Jumper.,41,43
15:11,2229,Trejon Jacob Offensive Rebound.,41,43
15:07,2229,Trejon Jacob missed Layup.,41,43
15:07,42,John Carroll Defensive Rebound.,41,43
14:49,42,Travis Weatherington made Three Point Jumper. Assisted by George Blagojevic.,44,43
14:24,2229,Eric Lockett made Jumper.,44,45
14:01,42,Travis Weatherington made Layup. Assisted by John Carroll.,46,45
13:36,2229,Eric Lockett made Jumper.,46,47
13:17,42,Jason Dunne missed Three Point Jumper.,46,47
13:17,2229,Eric Lockett Defensive Rebound.,46,47
13:03,2229,Foul on Hassan Hussein.,46,47
13:03,2229,Hassan Hussein Turnover.,46,47
13:03,2229,Official TV Timeout,46,47
12:36,42,John Carroll made Jumper.,48,47
12:30,2229,Trejon Jacob missed Three Point Jumper.,48,47
12:30,42,John Carroll Defensive Rebound.,48,47
12:10,42,George Blagojevic Turnover.,48,47
12:09,2229,Brian Beard Jr. Steal.,48,47
12:04,2229,Brian Beard Jr. missed Three Point Jumper.,48,47
12:04,2229,Hassan Hussein Offensive Rebound.,48,47
12:00,42,Foul on J.R. Lynch.,48,47
11:51,2229,Brian Beard Jr. missed Layup.,48,47
11:51,42,Hassan Attia Block.,48,47
11:51,2229,Florida International Offensive Rebound.,48,47
11:51,2229,Official TV Timeout,48,47
11:45,2229,Trejon Jacob missed Jumper.,48,47
11:45,42,George Blagojevic Defensive Rebound.,48,47
11:26,42,Travis Weatherington made Three Point Jumper. Assisted by Jason Dunne.,51,47
11:07,42,Foul on Hassan Attia.,51,47
11:07,2229,Osasumwen Osaghae made Free Throw.,51,48
11:07,2229,Osasumwen Osaghae made Free Throw.,51,49
10:53,42,George Blagojevic made Layup.,53,49
10:33,2229,Osasumwen Osaghae made Layup. Assisted by Brian Beard Jr..,53,51
10:14,42,John Carroll made Layup.,55,51
9:52,2229,Michael Douglas missed Three Point Jumper.,55,51
9:52,42,J.R. Lynch Defensive Rebound.,55,51
9:30,2229,Foul on Eric Lockett.,55,51
9:30,42,John Carroll made Free Throw.,56,51
9:30,42,John Carroll made Free Throw.,57,51
9:16,42,Foul on J.R. Lynch.,57,51
9:16,2229,Brian Beard Jr. made Free Throw.,57,52
9:16,2229,Brian Beard Jr. made Free Throw.,57,53
9:03,42,Travis Weatherington made Layup. Assisted by George Blagojevic.,59,53
8:42,2229,Ronald Whitaker Turnover.,59,53
8:25,42,Travis Weatherington Turnover.,59,53
8:24,2229,Brian Beard Jr. Steal.,59,53
8:22,42,Foul on Travis Weatherington.,59,53
8:22,2229,Brian Beard Jr. made Free Throw.,59,54
8:22,2229,Brian Beard Jr. made Free Throw.,59,55
8:04,42,George Blagojevic missed Three Point Jumper.,59,55
8:04,2229,Eric Lockett Defensive Rebound.,59,55
7:57,2229,Ronald Whitaker made Layup. Assisted by Eric Lockett.,59,57
7:39,42,George Blagojevic made Layup.,61,57
7:39,2229,Foul on Ronald Whitaker.,61,57
7:39,42,George Blagojevic missed Free Throw.,61,57
7:39,2229,Ronald Whitaker Defensive Rebound.,61,57
7:24,2229,Hassan Hussein missed Jumper.,61,57
7:24,42,George Blagojevic Defensive Rebound.,61,57
7:05,42,J.R. Lynch made Three Point Jumper. Assisted by Jack Hobbs.,64,57
7:02,2229,Florida International  Timeout,64,57
6:49,2229,Eric Lockett Turnover.,64,57
6:34,42,John Carroll made Layup. Assisted by George Blagojevic.,66,57
6:15,2229,Trejon Jacob missed Three Point Jumper.,66,57
6:15,42,J.R. Lynch Defensive Rebound.,66,57
6:11,2229,Foul on Brian Beard Jr..,66,57
6:00,42,Jack Hobbs missed Three Point Jumper.,66,57
6:00,42,George Blagojevic Offensive Rebound.,66,57
5:30,42,J.R. Lynch made Jumper.,68,57
5:15,2229,Eric Lockett Turnover.,68,57
5:14,42,George Blagojevic Steal.,68,57
5:05,2229,Foul on Brian Beard Jr..,68,57
5:05,42,J.R. Lynch made Free Throw.,69,57
5:05,42,J.R. Lynch made Free Throw.,70,57
4:42,2229,Brian Beard Jr. made Layup.,70,59
4:11,42,Jack Hobbs Turnover.,70,59
4:09,2229,Eric Lockett Steal.,70,59
4:05,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,70,62
3:44,42,George Blagojevic made Jumper.,72,62
3:29,2229,Hassan Hussein missed Jumper.,72,62
3:29,42,Jack Hobbs Defensive Rebound.,72,62
3:09,2229,Official TV Timeout,72,62
3:00,42,John Carroll Turnover.,72,62
2:52,2229,Isaiah Banks made Three Point Jumper. Assisted by Brian Beard Jr..,72,65
2:29,42,J.R. Lynch missed Three Point Jumper.,72,65
2:29,42,Hassan Attia Offensive Rebound.,72,65
2:20,42,Jason Dunne Turnover.,72,65
2:15,2229,Brian Beard Jr. missed Layup.,72,65
2:15,42,John Carroll Block.,72,65
2:15,2229,Florida International Offensive Rebound.,72,65
2:08,2229,Trejon Jacob Turnover.,72,65
2:06,42,J.R. Lynch Steal.,72,65
1:40,42,J.R. Lynch missed Jumper.,72,65
1:40,42,John Carroll Offensive Rebound.,72,65
1:35,42,John Carroll made Layup.,74,65
1:28,2229,Brian Beard Jr. made Jumper.,74,67
1:27,2229,Florida International  Timeout,74,67
1:00,42,John Carroll Turnover.,74,67
0:59,2229,Eric Lockett Steal.,74,67
0:54,2229,Trejon Jacob made Jumper. Assisted by Isaiah Banks.,74,69
0:43,2229,Foul on Eric Lockett.,74,69
0:43,42,John Carroll missed Free Throw.,74,69
0:43,2229,Brian Beard Jr. Defensive Rebound.,74,69
0:42,2229,Brian Beard Jr. missed Jumper.,74,69
0:42,42,George Blagojevic Defensive Rebound.,74,69
0:40,2229,Foul on Isaiah Banks.,74,69
0:40,42,George Blagojevic missed Free Throw.,74,69
0:40,2229,Hassan Hussein Defensive Rebound.,74,69
0:36,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,74,72
0:29,42,Hartford  Timeout,74,72
0:23,2229,Foul on Eric Lockett.,74,72
0:23,42,J.R. Lynch made Free Throw.,75,72
0:23,42,J.R. Lynch made Free Throw.,76,72
0:14,2229,Brian Beard Jr. missed Jumper.,76,72
0:14,42,Hassan Attia Defensive Rebound.,76,72
0:14,2229,Foul on Eric Lockett.,76,72
0:14,42,J.R. Lynch missed Free Throw.,76,72
0:14,42,Hartford Deadball Team Rebound.,76,72
0:14,42,J.R. Lynch made Free Throw.,77,72
0:12,2229,Brian Beard Jr. Turnover.,77,72
0:08,2229,Foul on Hassan Hussein.,77,72
0:08,42,J.R. Lynch made Free Throw.,78,72
0:08,42,J.R. Lynch made Free Throw.,79,72
0:05,2229,Trejon Jacob missed Three Point Jumper.,79,72
0:05,42,John Carroll Defensive Rebound.,79,72
