LIU Brooklyn,2066,Binghamton,2341
13:47,2066,Fard Muhammad made Three Point Jumper.,13,10
13:19,2341,Jashaun Agosto missed Jumper.,13,10
13:19,2066,Tyler Stewart Defensive Rebound.,13,10
13:06,2066,Tyler Stewart made Three Point Jumper. Assisted by Everson Davis.,13,13
12:38,2341,Julius van Sauers Turnover.,13,13
12:37,2066,Fard Muhammad Steal.,13,13
12:31,2341,Foul on Julius van Sauers.,13,13
12:17,2066,Everson Davis Turnover.,13,13
12:04,2066,Foul on Tyler Stewart.,13,13
11:47,2341,Raiquan Clark Turnover.,13,13
11:47,2066,Official TV Timeout,13,13
11:33,2066,Tyler Stewart missed Jumper.,13,13
11:33,2341,Joel Hernandez Defensive Rebound.,13,13
11:25,2341,Raul Frias missed Three Point Jumper.,13,13
11:25,2066,Caleb Stewart Defensive Rebound.,13,13
11:14,2066,Fard Muhammad missed Layup.,13,13
11:14,2341,Raul Frias Defensive Rebound.,13,13
11:07,2341,Raul Frias made Three Point Jumper. Assisted by Joel Hernandez.,16,13
10:49,2066,J.C. Show missed Three Point Jumper.,16,13
10:49,2341,Jashaun Agosto Defensive Rebound.,16,13
10:46,2066,Foul on Caleb Stewart.,16,13
10:46,2341,Jamall Robinson Turnover.,16,13
10:36,2066,Fard Muhammad made Layup. Assisted by Tyler Stewart.,16,15
10:14,2341,Jamall Robinson made Jumper. Assisted by Raul Frias.,18,15
9:45,2066,Caleb Stewart missed Jumper.,18,15
9:45,2066,Binghamton Offensive Rebound.,18,15
9:44,2341,Foul on Raul Frias.,18,15
9:42,2066,Albert Odero Turnover.,18,15
9:39,2341,Eral Penn made Dunk. Assisted by Joel Hernandez.,20,15
8:41,2066,Caleb Stewart Turnover.,20,15
8:41,2066,Foul on Caleb Stewart.,20,15
8:16,2341,Julian Batts made Layup.,22,15
7:53,2066,Albert Odero Turnover.,22,15
7:53,2066,Official TV Timeout,22,15
7:37,2341,Raul Frias missed Three Point Jumper.,22,15
7:37,2066,Willie Rodriguez Defensive Rebound.,22,15
7:34,2341,Foul on Jamall Robinson.,22,15
7:19,2066,Bobby Ahearn made Layup.,22,17
7:04,2341,Joel Hernandez made Jumper. Assisted by Raul Frias.,24,17
6:44,2066,Willie Rodriguez made Dunk. Assisted by Timmy Rose.,24,19
6:24,2066,Foul on Bobby Ahearn.,24,19
6:24,2341,Eral Penn missed Free Throw.,24,19
6:24,2341,LIU Brooklyn Deadball Team Rebound.,24,19
6:24,2341,Eral Penn missed Free Throw.,24,19
6:24,2341,Joel Hernandez Offensive Rebound.,24,19
6:00,2341,Julian Batts made Three Point Jumper. Assisted by Joel Hernandez.,27,19
5:42,2066,Tyler Stewart missed Three Point Jumper.,27,19
5:42,2341,Julian Batts Defensive Rebound.,27,19
5:30,2341,Julian Batts missed Layup.,27,19
5:30,2341,LIU Brooklyn Offensive Rebound.,27,19
5:29,2066,Foul on Willie Rodriguez.,27,19
5:19,2341,Joel Hernandez Turnover.,27,19
5:18,2066,Willie Rodriguez Steal.,27,19
4:57,2066,Tyler Stewart missed Three Point Jumper.,27,19
4:57,2341,Joel Hernandez Defensive Rebound.,27,19
4:52,2341,Jamall Robinson missed Three Point Jumper.,27,19
4:52,2066,Timmy Rose Defensive Rebound.,27,19
4:43,2066,Timmy Rose missed Jumper.,27,19
4:43,2341,Raul Frias Defensive Rebound.,27,19
4:18,2341,Jashaun Agosto missed Three Point Jumper.,27,19
4:18,2066,Everson Davis Defensive Rebound.,27,19
4:02,2066,Everson Davis made Layup. Assisted by Timmy Rose.,27,21
3:41,2341,Joel Hernandez Turnover.,27,21
3:40,2066,Everson Davis Steal.,27,21
3:30,2066,J.C. Show missed Three Point Jumper.,27,21
3:30,2341,Joel Hernandez Defensive Rebound.,27,21
3:17,2341,Joel Hernandez missed Jumper.,27,21
3:17,2066,Bobby Ahearn Defensive Rebound.,27,21
2:58,2341,Foul on Raiquan Clark.,27,21
2:58,2066,Official TV Timeout,27,21
2:58,2066,Bobby Ahearn made Free Throw.,27,22
2:58,2066,Bobby Ahearn made Free Throw.,27,23
2:38,2341,Julius van Sauers Turnover.,27,23
2:12,2066,Everson Davis made Layup.,27,25
2:12,2341,Foul on Joel Hernandez.,27,25
2:12,2066,Everson Davis made Free Throw.,27,26
1:42,2341,Jashaun Agosto made Three Point Jumper. Assisted by Joel Hernandez.,30,26
1:15,2066,Bobby Ahearn missed Jumper.,30,26
1:15,2066,Binghamton Offensive Rebound.,30,26
0:57,2066,J.C. Show missed Three Point Jumper.,30,26
0:57,2341,Julius van Sauers Defensive Rebound.,30,26
0:37,2066,Foul on Willie Rodriguez.,30,26
0:30,2341,Jashaun Agosto Turnover.,30,26
0:30,2066,Everson Davis Steal.,30,26
0:26,2066,Binghamton  Timeout,30,26
0:02,2066,Caleb Stewart made Three Point Jumper. Assisted by Everson Davis.,30,29
0:00,2066,End of 1st half,30,29
19:43,2066,Foul on Everson Davis.,30,29
19:33,2341,Jashaun Agosto missed Three Point Jumper.,30,29
19:33,2066,Timmy Rose Defensive Rebound.,30,29
19:25,2341,Foul on Julius van Sauers.,30,29
19:25,2066,Everson Davis made Three Point Jumper.,30,32
18:51,2066,Foul on Bobby Ahearn.,30,32
18:51,2341,Joel Hernandez made Free Throw.,31,32
18:51,2341,Joel Hernandez made Free Throw.,32,32
18:38,2066,J.C. Show missed Three Point Jumper.,32,32
18:38,2066,Willie Rodriguez Offensive Rebound.,32,32
18:35,2341,Foul on Julius van Sauers.,32,32
18:35,2066,Willie Rodriguez made Free Throw.,32,33
18:35,2066,Willie Rodriguez made Free Throw.,32,34
18:09,2341,Julian Batts missed Three Point Jumper.,32,34
18:09,2066,J.C. Show Defensive Rebound.,32,34
17:58,2066,Bobby Ahearn Turnover.,32,34
17:48,2341,Joel Hernandez missed Jumper.,32,34
17:48,2341,Eral Penn Offensive Rebound.,32,34
17:46,2341,Eral Penn made Layup.,34,34
17:46,2066,Foul on Bobby Ahearn.,34,34
17:46,2341,Eral Penn missed Free Throw.,34,34
17:46,2066,J.C. Show Defensive Rebound.,34,34
17:32,2066,Bobby Ahearn missed Layup.,34,34
17:32,2341,Eral Penn Defensive Rebound.,34,34
17:24,2066,Foul on Bobby Ahearn.,34,34
17:24,2341,Raiquan Clark made Free Throw.,35,34
17:24,2341,Raiquan Clark missed Free Throw.,35,34
17:24,2066,Dusan Perovic Defensive Rebound.,35,34
17:11,2066,Willie Rodriguez Turnover.,35,34
17:11,2066,Foul on Willie Rodriguez.,35,34
17:03,2066,Foul on Willie Rodriguez.,35,34
16:57,2341,Joel Hernandez made Jumper.,37,34
16:36,2066,Everson Davis missed Three Point Jumper.,37,34
16:36,2066,Everson Davis Offensive Rebound.,37,34
16:32,2066,Everson Davis missed Layup.,37,34
16:32,2341,Eral Penn Defensive Rebound.,37,34
16:24,2341,Jashaun Agosto made Layup.,39,34
16:24,2066,Foul on Timmy Rose.,39,34
16:24,2341,Jashaun Agosto made Free Throw.,40,34
16:01,2341,Foul on Eral Penn.,40,34
16:01,2066,Dusan Perovic made Free Throw.,40,35
16:01,2066,Dusan Perovic made Free Throw.,40,36
15:43,2341,Raiquan Clark made Layup.,42,36
15:29,2066,Tyler Stewart made Layup. Assisted by Timmy Rose.,42,38
15:06,2341,Raiquan Clark made Layup.,44,38
15:06,2066,Foul on Tyler Stewart.,44,38
15:06,2066,Official TV Timeout,44,38
15:06,2341,Raiquan Clark missed Free Throw.,44,38
15:06,2066,Dusan Perovic Defensive Rebound.,44,38
14:54,2066,Tyler Stewart made Three Point Jumper. Assisted by J.C. Show.,44,41
14:23,2341,Raiquan Clark Turnover.,44,41
14:23,2341,Foul on Raiquan Clark.,44,41
14:11,2066,Dusan Perovic missed Layup.,44,41
14:11,2341,Jashaun Agosto Defensive Rebound.,44,41
14:05,2341,Joel Hernandez made Jumper.,46,41
13:44,2066,Dusan Perovic made Jumper.,46,43
13:27,2066,Foul on Everson Davis.,46,43
13:27,2341,Jashaun Agosto missed Free Throw.,46,43
13:27,2341,LIU Brooklyn Deadball Team Rebound.,46,43
13:27,2341,Jashaun Agosto made Free Throw.,47,43
13:19,2341,Foul on Eral Penn.,47,43
13:18,2066,Tyler Stewart missed Three Point Jumper.,47,43
13:18,2341,Eral Penn Defensive Rebound.,47,43
12:58,2341,Raiquan Clark made Layup. Assisted by Jashaun Agosto.,49,43
12:38,2066,Fard Muhammad missed Three Point Jumper.,49,43
12:38,2341,Eral Penn Defensive Rebound.,49,43
12:35,2066,Foul on Tyler Stewart.,49,43
12:35,2341,Raiquan Clark made Free Throw.,50,43
12:35,2341,Raiquan Clark made Free Throw.,51,43
12:09,2341,Foul on Joel Hernandez.,51,43
12:03,2066,Everson Davis missed Jumper.,51,43
12:03,2066,Tyler Stewart Offensive Rebound.,51,43
11:59,2066,Tyler Stewart missed Jumper.,51,43
11:59,2341,Raiquan Clark Defensive Rebound.,51,43
11:50,2341,Joel Hernandez made Jumper.,53,43
11:47,2066,Binghamton  Timeout,53,43
11:24,2066,Dusan Perovic made Jumper.,53,45
10:47,2341,Raul Frias missed Three Point Jumper.,53,45
10:47,2066,J.C. Show Defensive Rebound.,53,45
10:43,2066,Official TV Timeout,53,45
10:25,2066,Dusan Perovic made Layup.,53,47
10:08,2066,Foul on Fard Muhammad.,53,47
10:08,2341,Julius van Sauers missed Free Throw.,53,47
10:08,2341,LIU Brooklyn Deadball Team Rebound.,53,47
10:08,2341,Julius van Sauers missed Free Throw.,53,47
10:08,2066,Tyler Stewart Defensive Rebound.,53,47
9:59,2341,Foul on Joel Hernandez.,53,47
9:59,2066,J.C. Show missed Free Throw.,53,47
9:59,2341,Julian Batts Defensive Rebound.,53,47
9:34,2341,Joel Hernandez made Three Point Jumper. Assisted by Jashaun Agosto.,56,47
9:17,2066,J.C. Show made Jumper.,56,49
8:59,2341,Joel Hernandez made Layup. Assisted by Jashaun Agosto.,58,49
8:52,2341,Foul on Raiquan Clark.,58,49
8:52,2066,J.C. Show made Free Throw.,58,50
8:52,2066,J.C. Show made Free Throw.,58,51
8:33,2341,Jamall Robinson made Jumper.,60,51
8:13,2066,Willie Rodriguez made Jumper.,60,53
7:55,2341,Foul on Julius van Sauers.,60,53
7:55,2341,Julius van Sauers Turnover.,60,53
7:55,2066,Official TV Timeout,60,53
7:36,2066,J.C. Show Turnover.,60,53
7:12,2341,Jashaun Agosto missed Three Point Jumper.,60,53
7:12,2066,Timmy Rose Defensive Rebound.,60,53
6:55,2341,Foul on Eral Penn.,60,53
6:55,2066,Dusan Perovic missed Free Throw.,60,53
6:55,2066,Binghamton Deadball Team Rebound.,60,53
6:55,2066,Dusan Perovic made Free Throw.,60,54
6:31,2341,Jashaun Agosto Turnover.,60,54
6:30,2066,Bobby Ahearn Steal.,60,54
6:25,2066,J.C. Show made Jumper. Assisted by Fard Muhammad.,60,56
5:59,2341,Joel Hernandez made Jumper.,62,56
5:39,2066,Timmy Rose made Three Point Jumper. Assisted by Fard Muhammad.,62,59
5:01,2341,Raiquan Clark made Jumper.,64,59
4:42,2066,Willie Rodriguez missed Three Point Jumper.,64,59
4:42,2341,Jashaun Agosto Defensive Rebound.,64,59
4:21,2341,Raiquan Clark Turnover.,64,59
4:11,2066,Timmy Rose made Layup.,64,61
3:44,2341,Joel Hernandez missed Jumper.,64,61
3:44,2066,Fard Muhammad Defensive Rebound.,64,61
3:34,2066,J.C. Show missed Three Point Jumper.,64,61
3:34,2341,LIU Brooklyn Defensive Rebound.,64,61
3:30,2066,Official TV Timeout,64,61
3:02,2341,Jashaun Agosto Turnover.,64,61
2:39,2066,Foul on Bobby Ahearn.,64,61
2:39,2066,Bobby Ahearn Turnover.,64,61
2:39,2341,Raiquan Clark Turnover.,64,61
2:37,2066,Timmy Rose Turnover.,64,61
2:36,2341,Julian Batts Steal.,64,61
2:07,2341,Joel Hernandez missed Three Point Jumper.,64,61
2:07,2341,Jashaun Agosto Offensive Rebound.,64,61
1:37,2341,Jashaun Agosto missed Three Point Jumper.,64,61
1:37,2341,Joel Hernandez Offensive Rebound.,64,61
1:33,2341,Joel Hernandez missed Jumper.,64,61
1:33,2341,Raiquan Clark Offensive Rebound.,64,61
1:32,2066,Foul on Dusan Perovic.,64,61
1:32,2341,Raiquan Clark made Free Throw.,65,61
1:32,2341,Raiquan Clark made Free Throw.,66,61
1:14,2066,J.C. Show missed Three Point Jumper.,66,61
1:14,2341,Raiquan Clark Defensive Rebound.,66,61
1:02,2341,Raiquan Clark made Layup.,68,61
0:49,2066,Dusan Perovic made Layup. Assisted by Timmy Rose.,68,63
0:48,2066,Binghamton  Timeout,68,63
0:47,2066,Foul on Tyler Stewart.,68,63
0:47,2341,Raiquan Clark missed Free Throw.,68,63
0:47,2341,LIU Brooklyn Deadball Team Rebound.,68,63
0:47,2341,Raiquan Clark missed Free Throw.,68,63
0:47,2066,Willie Rodriguez Defensive Rebound.,68,63
0:46,2341,Foul on Julius van Sauers.,68,63
0:46,2066,Willie Rodriguez made Free Throw.,68,64
0:46,2066,Willie Rodriguez missed Free Throw.,68,64
0:46,2341,LIU Brooklyn Defensive Rebound.,68,64
0:36,2066,Foul on Tyler Stewart.,68,64
0:36,2341,Raiquan Clark made Free Throw.,69,64
0:36,2341,Raiquan Clark made Free Throw.,70,64
0:26,2341,Foul on Raiquan Clark.,70,64
0:26,2066,Timmy Rose made Free Throw.,70,65
0:26,2066,Timmy Rose made Free Throw.,70,66
0:25,2066,Foul on Dusan Perovic.,70,66
0:25,2341,Raiquan Clark made Free Throw.,71,66
0:25,2341,Raiquan Clark made Free Throw.,72,66
0:17,2066,Timmy Rose Turnover.,72,66
0:16,2341,Jashaun Agosto Steal.,72,66
0:12,2066,Foul on Willie Rodriguez.,72,66
0:12,2341,Raiquan Clark made Free Throw.,73,66
0:12,2341,Raiquan Clark made Free Throw.,74,66
0:07,2066,J.C. Show missed Three Point Jumper.,74,66
0:07,2341,Joel Hernandez Defensive Rebound.,74,66
0:00,2066,End of Game,74,66
