Jacksonville,152,NC State,294
12:38,294,Tanner Rubio made Three Point Jumper. Assisted by Jalyn Hinton.,13,18
12:17,152,Braxton Beverly made Three Point Jumper. Assisted by Allerik Freeman.,13,21
11:59,294,Tanner Rubio missed Three Point Jumper.,13,21
11:59,152,Lennard Freeman Defensive Rebound.,13,21
11:45,152,Allerik Freeman Turnover.,13,21
11:44,294,Tanner Rubio Steal.,13,21
11:41,294,Jalyn Hinton made Dunk. Assisted by JD Notae.,15,21
11:39,152,Official TV Timeout,15,21
11:24,294,Foul on Radwan Bakkali.,15,21
11:24,152,Torin Dorn made Free Throw.,15,22
11:24,152,Torin Dorn made Free Throw.,15,23
11:13,294,Jacksonville  Turnover.,15,23
11:03,152,Sam Hunt made Three Point Jumper. Assisted by Braxton Beverly.,15,26
10:44,294,Jalyn Hinton missed Layup.,15,26
10:44,152,Lavar Batts Jr. Block.,15,26
10:42,152,Braxton Beverly Defensive Rebound.,15,26
10:36,152,Sam Hunt made Three Point Jumper. Assisted by Braxton Beverly.,15,29
10:33,294,Jacksonville  Timeout,15,29
10:19,294,Tanner Rubio Turnover.,15,29
10:18,152,Sam Hunt Steal.,15,29
10:16,152,Sam Hunt made Layup.,15,31
10:03,294,JD Notae made Layup.,17,31
9:48,152,Sam Hunt missed Jumper.,17,31
9:48,152,Torin Dorn Offensive Rebound.,17,31
9:45,152,Torin Dorn made Layup.,17,33
9:12,294,Tanner Rubio made Three Point Jumper. Assisted by Cody Helgeland.,20,33
8:43,152,Torin Dorn Turnover.,20,33
8:40,152,Foul on Lavar Batts Jr..,20,33
8:14,294,Jalyn Hinton made Jumper.,22,33
7:53,152,Braxton Beverly made Three Point Jumper. Assisted by Omer Yurtseven.,22,36
7:22,294,Damien Sears missed Jumper.,22,36
7:22,152,Shaun Kirk Defensive Rebound.,22,36
7:09,152,Omer Yurtseven made Layup. Assisted by Braxton Beverly.,22,38
7:09,294,Foul on Lee Richmond.,22,38
7:09,152,Official TV Timeout,22,38
7:09,152,Omer Yurtseven made Free Throw.,22,39
6:59,152,Foul on Omer Yurtseven.,22,39
6:52,294,Tanner Rubio Turnover.,22,39
6:51,152,Braxton Beverly Steal.,22,39
6:47,152,Braxton Beverly Turnover.,22,39
6:19,294,Radwan Bakkali Turnover.,22,39
6:02,152,Allerik Freeman missed Three Point Jumper.,22,39
6:02,152,Abdul-Malik Abu Offensive Rebound.,22,39
5:54,152,Abdul-Malik Abu made Layup.,22,41
5:53,294,Foul on Cody Helgeland.,22,41
5:53,152,Abdul-Malik Abu missed Free Throw.,22,41
5:53,294,Jacksonville Defensive Rebound.,22,41
5:51,294,Tanner Rubio Turnover.,22,41
5:36,152,Torin Dorn missed Three Point Jumper.,22,41
5:36,294,Jalyn Hinton Defensive Rebound.,22,41
5:16,294,JD Notae missed Layup.,22,41
5:16,152,Abdul-Malik Abu Defensive Rebound.,22,41
5:09,152,Lavar Batts Jr. Turnover.,22,41
5:08,294,Tanner Rubio Steal.,22,41
5:06,294,Tanner Rubio Turnover.,22,41
5:05,152,Shaun Kirk Steal.,22,41
5:02,152,Torin Dorn made Layup. Assisted by Shaun Kirk.,22,43
4:49,294,Jacksonville  Timeout,22,43
4:39,294,JD Notae missed Jumper.,22,43
4:39,152,Allerik Freeman Defensive Rebound.,22,43
4:31,152,Allerik Freeman made Layup.,22,45
4:21,294,Jalyn Hinton missed Layup.,22,45
4:21,294,Jalyn Hinton Offensive Rebound.,22,45
4:17,294,Jalyn Hinton Turnover.,22,45
4:16,152,Lavar Batts Jr. Steal.,22,45
4:09,152,Torin Dorn made Dunk. Assisted by Lavar Batts Jr..,22,47
3:54,294,Tanner Rubio Turnover.,22,47
3:54,152,Official TV Timeout,22,47
3:47,294,Foul on Jalyn Hinton.,22,47
3:47,152,Braxton Beverly Turnover.,22,47
3:47,152,Foul on Braxton Beverly.,22,47
3:43,294,JD Notae missed Jumper.,22,47
3:43,152,Torin Dorn Defensive Rebound.,22,47
3:33,152,Allerik Freeman made Three Point Jumper. Assisted by Braxton Beverly.,22,50
3:24,294,Jalyn Hinton made Dunk. Assisted by JD Notae.,24,50
3:05,152,Allerik Freeman missed Three Point Jumper.,24,50
3:05,294,JD Notae Defensive Rebound.,24,50
2:39,294,JD Notae missed Layup.,24,50
2:39,152,Braxton Beverly Defensive Rebound.,24,50
2:22,294,Foul on Cody Helgeland.,24,50
2:22,152,Allerik Freeman made Free Throw.,24,51
2:22,152,Allerik Freeman made Free Throw.,24,52
2:15,294,JD Notae Turnover.,24,52
2:14,152,Abdul-Malik Abu Steal.,24,52
2:11,152,Abdul-Malik Abu made Dunk. Assisted by Allerik Freeman.,24,54
1:39,294,JD Notae missed Three Point Jumper.,24,54
1:39,152,Abdul-Malik Abu Defensive Rebound.,24,54
1:28,152,Omer Yurtseven made Dunk. Assisted by Allerik Freeman.,24,56
1:28,294,Foul on Damien Sears.,24,56
1:28,152,Omer Yurtseven made Free Throw.,24,57
1:00,152,Foul on Sam Hunt.,24,57
1:00,294,Corey Romich missed Three Point Jumper.,24,57
1:00,294,Derrick Flowers Offensive Rebound.,24,57
0:55,294,Derrick Flowers missed Layup.,24,57
0:55,294,Damien Sears Offensive Rebound.,24,57
0:53,294,Damien Sears made Two Point Tip Shot.,26,57
0:25,152,Sam Hunt made Three Point Jumper. Assisted by Lavar Batts Jr..,26,60
0:03,294,JD Notae missed Jumper.,26,60
0:03,294,Jacksonville Offensive Rebound.,26,60
0:00,294,Corey Romich made Jumper.,28,60
0:00,152,End of 1st half,29,60
19:46,152,Braxton Beverly missed Three Point Jumper.,28,60
19:46,294,JD Notae Defensive Rebound.,28,60
19:17,294,JD Notae missed Layup.,28,60
19:17,294,Damien Sears Offensive Rebound.,28,60
19:13,294,Damien Sears missed Two Point Tip Shot.,28,60
19:13,152,Omer Yurtseven Defensive Rebound.,28,60
19:04,152,Abdul-Malik Abu missed Three Point Jumper.,28,60
19:04,152,Torin Dorn Offensive Rebound.,28,60
18:59,152,Torin Dorn made Jumper.,28,62
18:27,294,Tanner Rubio missed Three Point Jumper.,28,62
18:27,152,Omer Yurtseven Defensive Rebound.,28,62
18:20,152,Braxton Beverly made Three Point Jumper. Assisted by Allerik Freeman.,28,65
18:05,294,JD Notae made Layup.,30,65
18:00,152,Allerik Freeman made Three Point Jumper. Assisted by Braxton Beverly.,30,68
17:43,294,JD Notae Turnover.,30,68
17:42,152,Allerik Freeman Steal.,30,68
17:37,152,Omer Yurtseven made Layup. Assisted by Allerik Freeman.,30,70
17:12,294,JD Notae missed Three Point Jumper.,30,70
17:12,294,Damien Sears Offensive Rebound.,30,70
17:07,294,Tanner Rubio missed Three Point Jumper.,30,70
17:07,294,Damien Sears Offensive Rebound.,30,70
17:00,294,Damien Sears made Layup. Assisted by JD Notae.,32,70
16:51,294,Foul on Corey Romich.,32,70
16:51,152,Torin Dorn made Free Throw.,32,71
16:51,152,Torin Dorn missed Free Throw.,32,71
16:51,294,Damien Sears Defensive Rebound.,32,71
16:37,294,Cody Helgeland missed Layup.,32,71
16:37,294,Radwan Bakkali Offensive Rebound.,32,71
16:31,294,JD Notae made Jumper. Assisted by Radwan Bakkali.,34,71
16:13,152,Shaun Kirk missed Three Point Jumper.,34,71
16:13,294,Jalyn Hinton Defensive Rebound.,34,71
15:59,152,Foul on Torin Dorn.,34,71
15:59,152,Official TV Timeout,34,71
15:50,294,Jalyn Hinton missed Jumper.,34,71
15:50,152,Torin Dorn Defensive Rebound.,34,71
15:44,152,Allerik Freeman made Three Point Jumper. Assisted by Braxton Beverly.,34,74
15:29,294,JD Notae Turnover.,34,74
15:28,152,Lennard Freeman Steal.,34,74
15:24,152,Allerik Freeman missed Layup.,34,74
15:24,152,Torin Dorn Offensive Rebound.,34,74
15:22,152,Torin Dorn made Layup.,34,76
15:08,294,JD Notae missed Layup.,34,76
15:08,152,Shaun Kirk Defensive Rebound.,34,76
15:01,152,Braxton Beverly missed Three Point Jumper.,34,76
15:01,152,Torin Dorn Offensive Rebound.,34,76
14:58,152,Torin Dorn made Layup.,34,78
14:40,152,Foul on Lennard Freeman.,34,78
14:35,294,Radwan Bakkali made Jumper.,36,78
14:16,152,Lennard Freeman made Layup. Assisted by Shaun Kirk.,36,80
13:57,152,Foul on Lennard Freeman.,36,80
13:51,152,Foul on Torin Dorn.,36,80
13:41,294,Tanner Rubio missed Three Point Jumper.,36,80
13:41,152,Lennard Freeman Defensive Rebound.,36,80
13:31,152,Lavar Batts Jr. missed Three Point Jumper.,36,80
13:31,152,Abdul-Malik Abu Offensive Rebound.,36,80
13:28,152,Abdul-Malik Abu missed Two Point Tip Shot.,36,80
13:28,152,Abdul-Malik Abu Offensive Rebound.,36,80
13:25,152,Abdul-Malik Abu missed Two Point Tip Shot.,36,80
13:25,294,Derrick Flowers Defensive Rebound.,36,80
13:12,294,Radwan Bakkali missed Jumper.,36,80
13:12,152,Shaun Kirk Defensive Rebound.,36,80
13:04,152,Abdul-Malik Abu missed Dunk.,36,80
13:04,294,Damien Sears Defensive Rebound.,36,80
12:59,294,Damien Sears made Layup.,38,80
12:43,152,Sam Hunt made Three Point Jumper. Assisted by Lavar Batts Jr..,38,83
12:33,294,Tanner Rubio Turnover.,38,83
12:25,152,Lavar Batts Jr. missed Layup.,38,83
12:25,152,NC State Offensive Rebound.,38,83
12:18,294,Foul on Derrick Flowers.,38,83
12:18,152,Omer Yurtseven made Free Throw.,38,84
12:18,152,Omer Yurtseven missed Free Throw.,38,84
12:18,152,Abdul-Malik Abu Offensive Rebound.,38,84
12:11,152,Lavar Batts Jr. missed Three Point Jumper.,38,84
12:11,152,Shaun Kirk Offensive Rebound.,38,84
12:09,152,Shaun Kirk made Dunk.,38,86
11:44,294,Derrick Flowers missed Three Point Jumper.,38,86
11:44,294,Corey Romich Offensive Rebound.,38,86
11:34,152,Foul on Omer Yurtseven.,38,86
11:34,294,Radwan Bakkali made Free Throw.,39,86
11:34,294,Radwan Bakkali made Free Throw.,40,86
11:05,152,Sam Hunt missed Three Point Jumper.,40,86
11:05,152,Omer Yurtseven Offensive Rebound.,40,86
11:02,152,Shaun Kirk Turnover.,40,86
10:36,294,Corey Romich missed Three Point Jumper.,40,86
10:36,294,Radwan Bakkali Offensive Rebound.,40,86
10:32,294,Radwan Bakkali made Layup.,42,86
10:20,152,Lavar Batts Jr. Turnover.,42,86
10:18,294,Corey Romich Steal.,42,86
10:12,152,Foul on Sam Hunt.,42,86
10:12,294,Tanner Rubio made Free Throw.,43,86
10:12,294,Tanner Rubio made Free Throw.,44,86
10:03,152,Allerik Freeman made Three Point Jumper. Assisted by Lavar Batts Jr..,44,89
9:41,294,Tanner Rubio made Layup.,46,89
9:22,152,Lavar Batts Jr. made Layup.,46,91
9:12,294,Tanner Rubio missed Three Point Jumper.,46,91
9:12,152,Allerik Freeman Defensive Rebound.,46,91
9:06,152,Allerik Freeman made Three Point Jumper.,46,94
8:57,294,JD Notae made Layup. Assisted by Tanner Rubio.,48,94
8:43,152,Allerik Freeman made Three Point Jumper.,48,97
8:22,152,Foul on Abdul-Malik Abu.,48,97
8:18,294,Tanner Rubio made Free Throw.,49,97
8:18,294,Tanner Rubio made Free Throw.,50,97
8:09,152,Abdul-Malik Abu missed Jumper.,50,97
8:09,294,Damien Sears Defensive Rebound.,50,97
8:02,294,JD Notae missed Layup.,50,97
8:02,152,Omer Yurtseven Block.,50,97
8:01,294,JD Notae Offensive Rebound.,50,97
7:59,294,JD Notae made Layup.,52,97
7:44,294,Foul on Damien Sears.,52,97
7:44,152,Official TV Timeout,52,97
7:44,152,Abdul-Malik Abu missed Free Throw.,52,97
7:44,152,NC State Deadball Team Rebound.,52,97
7:44,152,Abdul-Malik Abu made Free Throw.,52,98
7:24,294,JD Notae missed Layup.,52,98
7:24,152,Abdul-Malik Abu Defensive Rebound.,52,98
7:14,152,Braxton Beverly made Three Point Jumper. Assisted by Sam Hunt.,52,101
6:51,294,Radwan Bakkali missed Layup.,52,101
6:51,152,Abdul-Malik Abu Defensive Rebound.,52,101
6:43,152,Sam Hunt missed Three Point Jumper.,52,101
6:43,152,Omer Yurtseven Offensive Rebound.,52,101
6:39,152,Abdul-Malik Abu made Dunk. Assisted by Omer Yurtseven.,52,103
6:21,294,JD Notae missed Jumper.,52,103
6:21,152,Abdul-Malik Abu Block.,52,103
6:17,152,Abdul-Malik Abu Defensive Rebound.,52,103
6:13,152,Allerik Freeman missed Three Point Jumper.,52,103
6:13,294,Radwan Bakkali Defensive Rebound.,52,103
5:58,152,Foul on Braxton Beverly.,52,103
5:58,294,Derrick Flowers missed Free Throw.,52,103
5:58,294,Radwan Bakkali Offensive Rebound.,52,103
5:47,294,Radwan Bakkali Turnover.,52,103
5:46,152,Lennard Freeman Steal.,52,103
5:40,152,Torin Dorn missed Three Point Jumper.,52,103
5:40,294,JD Notae Defensive Rebound.,52,103
5:34,294,JD Notae made Layup.,54,103
5:26,152,Lavar Batts Jr. Turnover.,54,103
5:02,294,JD Notae missed Jumper.,54,103
5:02,152,Torin Dorn Defensive Rebound.,54,103
4:53,152,Lennard Freeman made Layup. Assisted by Braxton Beverly.,54,105
4:53,294,Foul on Damien Sears.,54,105
4:53,152,Lennard Freeman made Free Throw.,54,106
4:28,294,JD Notae Turnover.,54,106
4:14,152,Braxton Beverly missed Three Point Jumper.,54,106
4:14,294,Damien Sears Defensive Rebound.,54,106
3:48,294,Derrick Flowers Turnover.,54,106
3:47,152,Torin Dorn Steal.,54,106
3:43,152,Lavar Batts Jr. made Layup. Assisted by Torin Dorn.,54,108
3:20,294,JD Notae made Three Point Jumper.,57,108
3:04,152,Shaun Kirk missed Jumper.,57,108
3:04,294,Derrick Flowers Defensive Rebound.,57,108
2:58,294,Damien Sears missed Layup.,57,108
2:58,152,Lennard Freeman Block.,57,108
2:56,152,Torin Dorn Defensive Rebound.,57,108
2:52,152,Torin Dorn Turnover.,57,108
2:52,152,Official TV Timeout,57,108
2:35,294,Damien Sears made Layup. Assisted by Derrick Flowers.,59,108
2:14,152,Lavar Batts Jr. missed Three Point Jumper.,59,108
2:14,152,NC State Offensive Rebound.,59,108
1:51,294,Foul on JD Notae.,59,108
1:51,152,Lennard Freeman missed Free Throw.,59,108
1:51,152,NC State Deadball Team Rebound.,59,108
1:51,152,Lennard Freeman made Free Throw.,59,109
1:39,152,Foul on Braxton Beverly.,59,109
1:39,294,Jalyn Hinton made Free Throw.,60,109
1:39,294,Jalyn Hinton missed Free Throw.,60,109
1:39,152,Shaun Kirk Defensive Rebound.,60,109
1:27,294,Foul on Damien Sears.,60,109
1:27,152,Lennard Freeman made Free Throw.,60,110
1:27,152,Lennard Freeman missed Free Throw.,60,110
1:27,294,Damien Sears Defensive Rebound.,60,110
1:12,294,Damien Sears made Layup.,62,110
0:53,152,Sam Hunt made Three Point Jumper. Assisted by Braxton Beverly.,62,113
0:15,294,Lee Richmond Turnover.,62,113
0:15,152,Braxton Beverly Steal.,62,113
0:14,152,Sam Hunt made Three Point Jumper. Assisted by Braxton Beverly.,62,116
0:05,294,JD Notae missed Three Point Jumper.,62,116
0:04,294,Damien Sears Offensive Rebound.,62,116
0:03,294,Damien Sears made Layup.,64,116
0:00,152,End of Game,64,116
