Northwestern,201,Oklahoma,77
12:08,77,Bryant McIntosh made Free Throw.,15,31
12:08,77,Bryant McIntosh made Free Throw.,16,31
11:53,201,Kameron McGusty Turnover.,16,31
11:53,201,Official TV Timeout,16,31
11:39,77,Gavin Skelly missed Three Point Jumper.,16,31
11:39,201,Jamuni McNeace Defensive Rebound.,16,31
11:30,201,Matt Freeman made Three Point Jumper. Assisted by Jordan Shepherd.,16,34
11:08,77,Gavin Skelly missed Jumper.,16,34
11:08,77,Gavin Skelly Offensive Rebound.,16,34
11:02,77,Jump Ball won by Northwestern,16,34
10:46,77,Aaron Falzon made Three Point Jumper. Assisted by Barret Benson.,19,34
10:26,201,Kameron McGusty missed Three Point Jumper.,19,34
10:26,77,Scottie Lindsey Defensive Rebound.,19,34
10:13,77,Isiah Brown made Jumper.,21,34
9:49,201,Kameron McGusty missed Layup.,21,34
9:49,77,Scottie Lindsey Defensive Rebound.,21,34
9:42,77,Bryant McIntosh missed Three Point Jumper.,21,34
9:42,201,Ty Lazenby Defensive Rebound.,21,34
9:35,201,Jordan Shepherd made Jumper.,21,36
9:18,77,Scottie Lindsey Turnover.,21,36
9:18,201,Matt Freeman Steal.,21,36
9:13,201,Foul on Matt Freeman.,21,36
9:13,201,Matt Freeman Turnover.,21,36
9:00,77,Bryant McIntosh missed Three Point Jumper.,21,36
9:00,77,Dererk Pardon Offensive Rebound.,21,36
8:55,77,Bryant McIntosh missed Three Point Jumper.,21,36
8:55,201,Brady Manek Defensive Rebound.,21,36
8:33,201,Trae Young missed Three Point Jumper.,21,36
8:33,77,Dererk Pardon Defensive Rebound.,21,36
8:21,201,Foul on Khadeem Lattin.,21,36
8:21,77,Isiah Brown missed Free Throw.,21,36
8:21,77,Northwestern Deadball Team Rebound.,21,36
8:21,77,Isiah Brown made Free Throw.,22,36
8:14,201,Trae Young missed Jumper.,22,36
8:14,77,Northwestern Defensive Rebound.,22,36
8:12,201,Foul on Khadeem Lattin.,22,36
7:56,77,Scottie Lindsey missed Three Point Jumper.,22,36
7:56,77,Dererk Pardon Offensive Rebound.,22,36
7:42,77,Isiah Brown Turnover.,22,36
7:42,201,Jordan Shepherd Steal.,22,36
7:38,201,Christian James made Dunk. Assisted by Trae Young.,22,38
7:17,77,Dererk Pardon Turnover.,22,38
7:17,201,Official TV Timeout,22,38
7:10,201,Brady Manek made Three Point Jumper. Assisted by Trae Young.,22,41
6:53,77,Foul on Isiah Brown.,22,41
6:53,77,Isiah Brown Turnover.,22,41
6:51,201,Trae Young made Three Point Jumper.,22,44
6:34,77,Scottie Lindsey missed Three Point Jumper.,22,44
6:34,201,Christian James Defensive Rebound.,22,44
6:23,201,Trae Young Turnover.,22,44
6:11,77,Scottie Lindsey missed Three Point Jumper.,22,44
6:11,201,Brady Manek Defensive Rebound.,22,44
6:01,201,Jamuni McNeace Turnover.,22,44
5:55,77,Bryant McIntosh made Jumper.,24,44
5:35,201,Jamuni McNeace made Dunk. Assisted by Trae Young.,24,46
5:35,77,Foul on Scottie Lindsey.,24,46
5:35,201,Jamuni McNeace made Free Throw.,24,47
5:24,77,Bryant McIntosh made Jumper.,26,47
5:14,201,Brady Manek missed Three Point Jumper.,26,47
5:14,201,Jamuni McNeace Offensive Rebound.,26,47
5:08,201,Trae Young missed Three Point Jumper.,26,47
5:08,77,Gavin Skelly Defensive Rebound.,26,47
5:03,77,Scottie Lindsey missed Three Point Jumper.,26,47
5:03,201,Brady Manek Defensive Rebound.,26,47
4:55,77,Foul on Bryant McIntosh.,26,47
4:55,201,Trae Young made Free Throw.,26,48
4:55,201,Trae Young made Free Throw.,26,49
4:49,77,Bryant McIntosh missed Jumper.,26,49
4:49,77,Dererk Pardon Offensive Rebound.,26,49
4:35,77,Scottie Lindsey missed Jumper.,26,49
4:35,201,Brady Manek Defensive Rebound.,26,49
4:28,201,Christian James made Three Point Jumper. Assisted by Trae Young.,26,52
4:02,77,Dererk Pardon made Layup.,28,52
3:54,201,Christian James made Three Point Jumper. Assisted by Trae Young.,28,55
3:42,201,Foul on Brady Manek.,28,55
3:42,201,Official TV Timeout,28,55
3:39,77,Bryant McIntosh missed Jumper.,28,55
3:39,201,Matt Freeman Defensive Rebound.,28,55
3:30,201,Rashard Odomes made Layup. Assisted by Trae Young.,28,57
3:09,77,Anthony Gaines made Layup. Assisted by Bryant McIntosh.,30,57
2:53,201,Christian James missed Three Point Jumper.,30,57
2:53,77,Anthony Gaines Defensive Rebound.,30,57
2:46,77,Anthony Gaines made Dunk.,32,57
2:34,201,Trae Young made Three Point Jumper. Assisted by Matt Freeman.,32,60
2:15,77,Dererk Pardon Turnover.,32,60
2:15,201,Trae Young Steal.,32,60
2:12,77,Foul on Scottie Lindsey.,32,60
2:12,201,Trae Young made Free Throw.,32,61
2:12,201,Trae Young made Free Throw.,32,62
1:58,77,Foul on Dererk Pardon.,32,62
1:58,77,Dererk Pardon Turnover.,32,62
1:47,201,Hannes Polla missed Dunk.,32,62
1:47,77,Barret Benson Block.,32,62
1:47,77,Barret Benson Defensive Rebound.,32,62
1:42,77,Bryant McIntosh made Three Point Jumper. Assisted by Isiah Brown.,35,62
1:28,201,Trae Young Turnover.,35,62
1:28,77,Isiah Brown Steal.,35,62
1:22,77,Aaron Falzon missed Jumper.,35,62
1:22,201,Kristian Doolittle Defensive Rebound.,35,62
1:11,201,Christian James made Three Point Jumper.,35,65
0:45,77,Aaron Falzon Turnover.,35,65
0:38,201,Kristian Doolittle Turnover.,35,65
0:24,77,Isiah Brown made Layup.,37,65
0:24,201,Foul on Kristian Doolittle.,37,65
0:24,77,Isiah Brown made Free Throw.,38,65
0:09,201,Trae Young made Three Point Jumper.,38,68
0:03,77,Bryant McIntosh Turnover.,38,68
0:03,201,Christian James Steal.,38,68
0:00,201,End of 1st half,38,68
20:00,201,Jump Ball won by Oklahoma,38,68
19:51,201,Khadeem Lattin made Jumper. Assisted by Trae Young.,38,70
19:27,77,Scottie Lindsey made Jumper. Assisted by Gavin Skelly.,40,70
19:11,77,Foul on Jordan Ash.,40,70
19:11,201,Khadeem Lattin made Free Throw.,40,71
19:11,201,Khadeem Lattin made Free Throw.,40,72
18:55,77,Bryant McIntosh missed Jumper.,40,72
18:55,77,Dererk Pardon Offensive Rebound.,40,72
18:51,77,Dererk Pardon missed Jumper.,40,72
18:51,201,Trae Young Defensive Rebound.,40,72
18:41,77,Foul on Bryant McIntosh.,40,72
18:29,77,Foul on Scottie Lindsey.,40,72
18:29,201,Rashard Odomes missed Free Throw.,40,72
18:29,201,Oklahoma Deadball Team Rebound.,40,72
18:29,201,Rashard Odomes missed Free Throw.,40,72
18:29,77,Dererk Pardon Defensive Rebound.,40,72
18:18,77,Isiah Brown made Jumper.,42,72
18:07,201,Brady Manek made Three Point Jumper. Assisted by Trae Young.,42,75
17:46,77,Dererk Pardon made Jumper. Assisted by Bryant McIntosh.,44,75
17:37,201,Trae Young made Three Point Jumper.,44,78
17:18,77,Jordan Ash missed Three Point Jumper.,44,78
17:18,77,Gavin Skelly Offensive Rebound.,44,78
17:02,77,Gavin Skelly made Layup.,46,78
16:49,201,Trae Young Turnover.,46,78
16:43,77,Bryant McIntosh made Three Point Jumper.,49,78
16:11,77,Foul on Jordan Ash.,49,78
16:09,201,Khadeem Lattin Turnover.,49,78
16:00,77,Isiah Brown Turnover.,49,78
16:00,201,Brady Manek Steal.,49,78
15:56,201,Christian James missed Jumper.,49,78
15:56,201,Brady Manek Offensive Rebound.,49,78
15:51,201,Brady Manek made Layup.,49,80
15:51,77,Foul on Isiah Brown.,49,80
15:51,201,Official TV Timeout,49,80
15:51,201,Brady Manek made Free Throw.,49,81
15:34,201,Foul on Brady Manek.,49,81
15:34,77,Dererk Pardon missed Free Throw.,49,81
15:34,77,Northwestern Deadball Team Rebound.,49,81
15:34,77,Dererk Pardon missed Free Throw.,49,81
15:34,77,Northwestern Deadball Team Rebound.,49,81
15:34,77,Foul on Aaron Falzon.,49,81
15:31,201,Trae Young missed Three Point Jumper.,49,81
15:31,201,Khadeem Lattin Offensive Rebound.,49,81
15:26,201,Trae Young made Three Point Jumper. Assisted by Khadeem Lattin.,49,84
15:01,77,Isiah Brown Turnover.,49,84
14:41,201,Brady Manek missed Jumper.,49,84
14:41,201,Khadeem Lattin Offensive Rebound.,49,84
14:37,201,Khadeem Lattin made Layup.,49,86
14:20,77,Anthony Gaines missed Jumper.,49,86
14:20,201,Khadeem Lattin Defensive Rebound.,49,86
13:56,201,Jamuni McNeace made Layup. Assisted by Rashard Odomes.,49,88
13:28,77,Dererk Pardon missed Layup.,49,88
13:28,201,Jamuni McNeace Defensive Rebound.,49,88
13:18,201,Trae Young missed Three Point Jumper.,49,88
13:18,77,Anthony Gaines Defensive Rebound.,49,88
13:08,77,Foul on Anthony Gaines.,49,88
13:08,77,Anthony Gaines Turnover.,49,88
12:45,201,Jamuni McNeace missed Dunk.,49,88
12:45,77,Barret Benson Defensive Rebound.,49,88
12:38,77,Scottie Lindsey missed Three Point Jumper.,49,88
12:38,77,Northwestern Offensive Rebound.,49,88
12:32,77,Scottie Lindsey missed Three Point Jumper.,49,88
12:32,77,Aaron Falzon Offensive Rebound.,49,88
12:25,77,Aaron Falzon made Three Point Jumper.,52,88
12:13,201,Kameron McGusty Turnover.,52,88
12:13,77,Jordan Ash Steal.,52,88
12:07,77,Jordan Ash made Dunk.,54,88
11:54,201,Foul on Jamuni McNeace.,54,88
11:54,201,Jamuni McNeace Turnover.,54,88
11:54,201,Official TV Timeout,54,88
11:50,77,Anthony Gaines missed Three Point Jumper.,54,88
11:50,201,Matt Freeman Defensive Rebound.,54,88
11:27,201,Matt Freeman missed Three Point Jumper.,54,88
11:27,77,Scottie Lindsey Defensive Rebound.,54,88
11:15,77,Aaron Falzon missed Three Point Jumper.,54,88
11:15,201,Kameron McGusty Defensive Rebound.,54,88
10:56,201,Jamuni McNeace made Dunk. Assisted by Jordan Shepherd.,54,90
10:39,77,Aaron Falzon made Three Point Jumper. Assisted by Barret Benson.,57,90
10:16,201,Jamuni McNeace made Jumper.,57,92
9:57,77,Aaron Falzon missed Three Point Jumper.,57,92
9:57,77,Anthony Gaines Offensive Rebound.,57,92
9:46,77,Barret Benson made Jumper. Assisted by Anthony Gaines.,59,92
9:46,201,Foul on Matt Freeman.,59,92
9:46,77,Barret Benson missed Free Throw.,59,92
9:46,201,Jamuni McNeace Defensive Rebound.,59,92
9:32,77,Foul on Barret Benson.,59,92
9:32,201,Jamuni McNeace missed Free Throw.,59,92
9:32,201,Kameron McGusty Offensive Rebound.,59,92
9:20,201,Kameron McGusty missed Three Point Jumper.,59,92
9:20,77,Barret Benson Defensive Rebound.,59,92
9:03,77,Barret Benson made Jumper.,61,92
8:50,201,Jordan Shepherd missed Layup.,61,92
8:50,77,Anthony Gaines Defensive Rebound.,61,92
8:42,77,Scottie Lindsey missed Jumper.,61,92
8:42,77,Barret Benson Offensive Rebound.,61,92
8:38,77,Barret Benson missed Layup.,61,92
8:38,201,Jamuni McNeace Block.,61,92
8:38,77,Barret Benson Offensive Rebound.,61,92
8:07,201,Foul on Ty Lazenby.,61,92
8:07,77,Jordan Ash missed Free Throw.,61,92
8:07,77,Northwestern Deadball Team Rebound.,61,92
8:07,77,Jordan Ash made Free Throw.,62,92
7:50,201,Khadeem Lattin Turnover.,62,92
7:50,77,Jordan Ash Steal.,62,92
7:46,201,Foul on Jordan Shepherd.,62,92
7:46,201,Official TV Timeout,62,92
7:46,77,Gavin Skelly made Free Throw.,63,92
7:46,77,Gavin Skelly made Free Throw.,64,92
7:23,201,Trae Young missed Jumper.,64,92
7:23,77,Anthony Gaines Defensive Rebound.,64,92
7:13,77,Dererk Pardon made Jumper. Assisted by Scottie Lindsey.,66,92
6:48,201,Khadeem Lattin made Dunk. Assisted by Rashard Odomes.,66,94
6:21,201,Foul on Christian James.,66,94
6:20,201,Foul on Christian James.,66,94
6:20,77,Scottie Lindsey missed Free Throw.,66,94
6:20,77,Gavin Skelly Offensive Rebound.,66,94
6:13,201,Foul on Khadeem Lattin.,66,94
6:13,77,Dererk Pardon made Free Throw.,67,94
6:13,77,Dererk Pardon missed Free Throw.,67,94
6:13,201,Khadeem Lattin Defensive Rebound.,67,94
5:52,201,Khadeem Lattin missed Jumper.,67,94
5:52,201,Trae Young Offensive Rebound.,67,94
5:48,77,Foul on Jordan Ash.,67,94
5:48,201,Trae Young missed Free Throw.,67,94
5:48,77,Dererk Pardon Defensive Rebound.,67,94
5:37,77,Jordan Ash missed Three Point Jumper.,67,94
5:37,201,Oklahoma Defensive Rebound.,67,94
5:26,201,Trae Young missed Three Point Jumper.,67,94
5:26,77,Gavin Skelly Defensive Rebound.,67,94
5:16,77,Scottie Lindsey missed Three Point Jumper.,67,94
5:16,201,Christian James Defensive Rebound.,67,94
5:01,77,Foul on Dererk Pardon.,67,94
5:01,201,Rashard Odomes missed Free Throw.,67,94
5:01,201,Oklahoma Deadball Team Rebound.,67,94
5:01,201,Rashard Odomes missed Free Throw.,67,94
5:01,77,Dererk Pardon Defensive Rebound.,67,94
4:46,77,Dererk Pardon made Layup.,69,94
4:15,77,Foul on Isiah Brown.,69,94
4:15,201,Kameron McGusty made Free Throw.,69,95
4:15,201,Kameron McGusty made Free Throw.,69,96
4:00,201,Official TV Timeout,69,96
3:59,77,Gavin Skelly made Jumper. Assisted by Isiah Brown.,71,96
3:45,77,Foul on Barret Benson.,71,96
3:45,201,Kameron McGusty made Free Throw.,71,97
3:45,201,Kameron McGusty made Free Throw.,71,98
3:31,77,Aaron Falzon made Three Point Jumper. Assisted by Barret Benson.,74,98
3:11,201,Foul on Hannes Polla.,74,98
3:11,201,Hannes Polla Turnover.,74,98
2:56,77,Aaron Falzon missed Three Point Jumper.,74,98
2:56,201,Hannes Polla Defensive Rebound.,74,98
2:38,201,Foul on Hannes Polla.,74,98
2:38,201,Hannes Polla Turnover.,74,98
2:10,77,Northwestern  Turnover.,74,98
1:57,201,Kameron McGusty made Layup.,74,100
1:27,201,Foul on Jordan Shepherd.,74,100
1:27,77,Isiah Brown made Free Throw.,75,100
1:27,77,Isiah Brown made Free Throw.,76,100
1:01,77,Foul on Barret Benson.,76,100
1:01,201,Chris Giles made Free Throw.,76,101
1:01,201,Chris Giles made Free Throw.,76,102
0:40,201,Foul on Hannes Polla.,76,102
0:40,77,Jordan Ash made Free Throw.,77,102
0:40,77,Jordan Ash made Free Throw.,78,102
0:22,77,Foul on Aaron Falzon.,78,102
0:22,201,Patrick Geha made Free Throw.,78,103
0:22,201,Patrick Geha made Free Throw.,78,104
0:12,77,Barret Benson missed Jumper.,78,104
0:12,201,Hannes Polla Block.,78,104
0:12,201,Oklahoma Defensive Rebound.,78,104
0:00,201,End of Game,78,104
