Elon,282,Indiana State,2210
0:01,2210,Dainan Swoope made Free Throw.,37,29
0:00,282,End of 1st half,37,29
19:49,2210,Dmitri Thompson made Layup. Assisted by Tyler Seibring.,39,29
19:20,282,Brenton Scott missed Jumper.,39,29
19:20,2210,Steven Santa Ana Defensive Rebound.,39,29
19:07,2210,Tyler Seibring Turnover.,39,29
19:00,282,Brandon Murphy made Layup. Assisted by Jordan Barnes.,39,31
18:49,282,Foul on Jordan Barnes.,39,31
18:39,2210,Dainan Swoope missed Three Point Jumper.,39,31
18:39,282,Tyreke Key Defensive Rebound.,39,31
18:33,2210,Foul on Steven Santa Ana.,39,31
18:28,282,Brenton Scott missed Jumper.,39,31
18:28,2210,Dainan Swoope Defensive Rebound.,39,31
18:13,2210,Steven Santa Ana missed Three Point Jumper.,39,31
18:13,282,Indiana State Deadball Team Rebound.,39,31
17:47,282,Brenton Scott made Three Point Jumper. Assisted by Clayton Hughes.,39,34
17:35,2210,Steven Santa Ana made Layup.,41,34
17:27,282,Devin Thomas Turnover.,41,34
17:17,2210,Karolis Kundrotas missed Jumper.,41,34
17:17,282,Brandon Murphy Block.,41,34
17:16,282,Devin Thomas Defensive Rebound.,41,34
17:12,282,Tyreke Key missed Three Point Jumper.,41,34
17:12,2210,Tyler Seibring Defensive Rebound.,41,34
16:51,2210,Dmitri Thompson made Layup.,43,34
16:41,282,Brenton Scott missed Three Point Jumper.,43,34
16:41,282,Brandon Murphy Offensive Rebound.,43,34
16:34,282,Qiydar Davis missed Jumper.,43,34
16:34,2210,Dmitri Thompson Defensive Rebound.,43,34
16:32,282,Foul on Brandon Murphy.,43,34
16:15,2210,Dmitri Thompson made Three Point Jumper.,46,34
15:53,2210,Foul on Steven Santa Ana.,46,34
15:53,282,Official TV Timeout,46,34
15:36,282,Jordan Barnes missed Three Point Jumper.,46,34
15:36,2210,Dmitri Thompson Defensive Rebound.,46,34
15:16,282,Foul on Brenton Scott.,46,34
15:06,2210,Dainan Swoope missed Jumper.,46,34
15:06,282,Brenton Scott Defensive Rebound.,46,34
14:47,282,Qiydar Davis Turnover.,46,34
14:46,2210,Steven Santa Ana Steal.,46,34
14:44,2210,Dainan Swoope missed Three Point Jumper.,46,34
14:44,282,Brandon Murphy Defensive Rebound.,46,34
14:28,282,Jordan Barnes missed Jumper.,46,34
