Maryland-Eastern Shore,46,Georgetown,2379
12:16,2379,LeAndre Thomas Defensive Rebound.,6,24
11:51,2379,Tyler Jones missed Jumper.,6,24
11:51,46,Marcus Derrickson Block.,6,24
11:49,46,Jessie Govan Defensive Rebound.,6,24
11:44,46,Jessie Govan missed Three Point Jumper.,6,24
11:44,2379,LeAndre Thomas Defensive Rebound.,6,24
11:12,2379,Tyler Jones missed Three Point Jumper.,6,24
11:12,46,Jessie Govan Defensive Rebound.,6,24
10:55,46,Jamorko Pickett missed Layup.,6,24
10:55,2379,LeAndre Thomas Block.,6,24
10:54,2379,Tyler Jones Defensive Rebound.,6,24
10:34,2379,LeAndre Thomas missed Jumper.,6,24
10:34,46,Kaleb Johnson Defensive Rebound.,6,24
10:27,46,Jessie Govan Turnover.,6,24
10:27,46,Official TV Timeout,6,24
10:12,2379,Colen Gaynor Turnover.,6,24
9:52,46,Jonathan Mulmore made Three Point Jumper. Assisted by Marcus Derrickson.,6,27
9:33,2379,Miryne Thomas made Jumper. Assisted by LeAndre Thomas.,8,27
9:07,46,Jonathan Mulmore made Layup.,8,29
8:59,2379,Cameron Bacote missed Jumper.,8,29
8:59,46,Antwan Walker Defensive Rebound.,8,29
8:53,2379,Foul on Miryne Thomas.,8,29
8:53,46,Jonathan Mulmore made Free Throw.,8,30
8:53,46,Jonathan Mulmore made Free Throw.,8,31
8:38,46,Foul on Antwan Walker.,8,31
8:38,2379,LeAndre Thomas missed Free Throw.,8,31
8:38,2379,Maryland-Eastern Shore Deadball Team Rebound.,8,31
8:38,2379,LeAndre Thomas missed Free Throw.,8,31
8:38,46,Antwan Walker Defensive Rebound.,8,31
8:28,46,Kaleb Johnson missed Layup.,8,31
8:28,2379,Miryne Thomas Defensive Rebound.,8,31
8:20,2379,Cameron Bacote missed Three Point Jumper.,8,31
8:20,46,Antwan Walker Defensive Rebound.,8,31
8:06,2379,Foul on LeAndre Thomas.,8,31
8:06,46,Kaleb Johnson made Free Throw.,8,32
8:06,46,Kaleb Johnson made Free Throw.,8,33
7:59,2379,Miryne Thomas missed Three Point Jumper.,8,33
7:59,46,Jessie Govan Defensive Rebound.,8,33
7:53,46,Jagan Mosely Turnover.,8,33
7:53,46,Official TV Timeout,8,33
7:23,2379,Cameron Bacote Turnover.,8,33
7:14,46,Jessie Govan made Layup. Assisted by Antwan Walker.,8,35
6:52,46,Foul on Jagan Mosely.,8,35
6:52,2379,Cameron Bacote made Free Throw.,9,35
6:52,2379,Cameron Bacote made Free Throw.,10,35
6:52,2379,Cameron Bacote made Free Throw.,11,35
6:23,46,Jessie Govan missed Jumper.,11,35
6:23,46,Antwan Walker Offensive Rebound.,11,35
6:05,46,Jahvon Blair missed Three Point Jumper.,11,35
6:05,2379,Tyler Jones Defensive Rebound.,11,35
5:56,2379,Miryne Thomas made Layup.,13,35
5:42,46,Jessie Govan Turnover.,13,35
5:41,2379,Tyler Jones Steal.,13,35
5:36,46,Foul on Antwan Walker.,13,35
5:28,2379,Ahmad Frost made Jumper.,15,35
5:16,46,Foul on Kaleb Johnson.,15,35
5:16,46,Kaleb Johnson Turnover.,15,35
4:57,2379,Miryne Thomas missed Jumper.,15,35
4:57,46,Marcus Derrickson Defensive Rebound.,15,35
4:46,46,Kaleb Johnson made Three Point Jumper. Assisted by Jessie Govan.,15,38
4:13,2379,Tyler Jones missed Three Point Jumper.,15,38
4:13,46,Jamorko Pickett Defensive Rebound.,15,38
3:57,46,Marcus Derrickson Turnover.,15,38
3:57,46,Official TV Timeout,15,38
3:35,2379,Colen Gaynor missed Jumper.,15,38
3:35,2379,LeAndre Thomas Offensive Rebound.,15,38
3:32,2379,LeAndre Thomas made Layup.,17,38
3:32,46,Foul on Kaleb Johnson.,17,38
3:32,2379,LeAndre Thomas missed Free Throw.,17,38
3:32,46,Jessie Govan Defensive Rebound.,17,38
3:20,46,Jonathan Mulmore missed Jumper.,17,38
3:20,46,Jonathan Mulmore Offensive Rebound.,17,38
3:15,46,Jamorko Pickett missed Three Point Jumper.,17,38
3:15,2379,Tyler Jones Defensive Rebound.,17,38
2:56,2379,Colen Gaynor missed Layup.,17,38
2:56,2379,Colen Gaynor Offensive Rebound.,17,38
2:53,2379,Colen Gaynor missed Layup.,17,38
2:53,46,Jonathan Mulmore Defensive Rebound.,17,38
2:38,46,Marcus Derrickson Turnover.,17,38
2:38,2379,LeAndre Thomas Steal.,17,38
2:37,46,Foul on Marcus Derrickson.,17,38
2:14,2379,Tyler Jones made Layup. Assisted by LeAndre Thomas.,19,38
1:54,46,Marcus Derrickson made Jumper. Assisted by Jagan Mosely.,19,40
1:33,2379,Cameron Bacote missed Three Point Jumper.,19,40
1:33,46,Georgetown Defensive Rebound.,19,40
1:10,2379,Foul on LeAndre Thomas.,19,40
1:10,46,Jessie Govan missed Free Throw.,19,40
1:10,46,Georgetown Deadball Team Rebound.,19,40
1:10,46,Jessie Govan missed Free Throw.,19,40
1:10,2379,Miryne Thomas Defensive Rebound.,19,40
0:49,2379,Miryne Thomas missed Jumper.,19,40
0:49,2379,Tyler Jones Offensive Rebound.,19,40
0:43,46,Foul on Jessie Govan.,19,40
0:43,2379,Tyler Jones missed Free Throw.,19,40
0:43,2379,Maryland-Eastern Shore Deadball Team Rebound.,19,40
0:43,2379,Tyler Jones missed Free Throw.,19,40
0:43,46,Jessie Govan Defensive Rebound.,19,40
0:17,46,Marcus Derrickson Turnover.,19,40
0:17,2379,Ahmad Frost Steal.,19,40
0:14,2379,Maryland-Eastern Shore  Timeout,19,40
0:00,46,End of 1st half,19,40
19:40,2379,Ahmad Frost missed Three Point Jumper.,19,40
19:40,46,Kaleb Johnson Defensive Rebound.,19,40
19:27,46,Marcus Derrickson missed Layup.,19,40
19:27,2379,Ahmad Frost Defensive Rebound.,19,40
19:22,2379,Tyler Jones missed Three Point Jumper.,19,40
19:22,2379,Colen Gaynor Offensive Rebound.,19,40
19:15,2379,Colen Gaynor missed Layup.,19,40
19:15,46,Jessie Govan Defensive Rebound.,19,40
19:00,46,Marcus Derrickson made Layup. Assisted by Jonathan Mulmore.,19,42
18:38,2379,Miryne Thomas made Layup. Assisted by Cameron Bacote.,21,42
18:17,46,Marcus Derrickson missed Three Point Jumper.,21,42
18:17,2379,Miryne Thomas Defensive Rebound.,21,42
17:51,2379,Ahmad Frost missed Jumper.,21,42
17:51,46,Marcus Derrickson Defensive Rebound.,21,42
17:46,46,Marcus Derrickson Turnover.,21,42
17:45,2379,Miryne Thomas Steal.,21,42
17:43,2379,Miryne Thomas made Layup.,23,42
17:29,46,Jamorko Pickett Turnover.,23,42
17:29,46,Georgetown  Timeout,23,42
17:29,46,Official TV Timeout,23,42
17:13,2379,Ahmad Frost made Layup. Assisted by Miryne Thomas.,25,42
16:50,46,Jessie Govan missed Layup.,25,42
16:50,2379,Tyler Jones Block.,25,42
16:49,2379,Tyler Jones Defensive Rebound.,25,42
16:45,46,Foul on Jahvon Blair.,25,42
16:45,2379,Colen Gaynor made Free Throw.,26,42
16:45,2379,Colen Gaynor made Free Throw.,27,42
16:31,46,Jahvon Blair missed Three Point Jumper.,27,42
16:31,2379,Ahmad Frost Defensive Rebound.,27,42
16:18,2379,Tyler Jones missed Jumper.,27,42
16:18,2379,Tyler Jones Offensive Rebound.,27,42
16:14,2379,Tyler Jones made Layup.,29,42
15:56,46,Jessie Govan made Jumper. Assisted by Jahvon Blair.,29,44
15:47,2379,Miryne Thomas missed Three Point Jumper.,29,44
15:47,46,Jahvon Blair Defensive Rebound.,29,44
15:42,2379,Foul on Colen Gaynor.,29,44
15:42,46,Official TV Timeout,29,44
15:42,46,Jahvon Blair made Free Throw.,29,45
15:42,46,Jahvon Blair made Free Throw.,29,46
15:13,2379,Cameron Bacote missed Jumper.,29,46
15:13,46,Antwan Walker Defensive Rebound.,29,46
15:05,46,Jahvon Blair made Three Point Jumper. Assisted by Jagan Mosely.,29,49
14:49,46,Foul on Antwan Walker.,29,49
14:37,2379,LeAndre Thomas missed Layup.,29,49
14:37,46,Marcus Derrickson Defensive Rebound.,29,49
14:36,2379,Foul on LeAndre Thomas.,29,49
14:23,46,Kaleb Johnson made Three Point Jumper. Assisted by Jahvon Blair.,29,52
13:53,2379,Ahmad Frost made Three Point Jumper.,32,52
13:36,46,Jahvon Blair missed Three Point Jumper.,32,52
13:36,2379,Tyler Jones Defensive Rebound.,32,52
13:18,46,Foul on Jahvon Blair.,32,52
13:16,2379,Ahmad Frost missed Three Point Jumper.,32,52
13:16,46,Kaleb Johnson Defensive Rebound.,32,52
13:07,46,Foul on Jessie Govan.,32,52
13:07,46,Jessie Govan Turnover.,32,52
12:44,2379,Tyler Jones missed Jumper.,32,52
12:44,46,Kaleb Johnson Defensive Rebound.,32,52
12:31,46,Jessie Govan made Layup. Assisted by Jahvon Blair.,32,54
11:56,2379,Ahmad Frost made Three Point Jumper. Assisted by Cameron Bacote.,35,54
11:48,46,Jahvon Blair missed Jumper.,35,54
11:48,46,Jahvon Blair Offensive Rebound.,35,54
11:46,2379,Foul on LeAndre Thomas.,35,54
11:46,46,Official TV Timeout,35,54
11:46,2379,Ahmad Frost made Jumper.,37,54
11:41,46,Marcus Derrickson made Three Point Jumper. Assisted by Jagan Mosely.,37,57
11:20,2379,Miryne Thomas made Three Point Jumper. Assisted by Cameron Bacote.,40,57
11:08,2379,Foul on Ahmad Frost.,40,57
10:59,46,Kaleb Johnson made Jumper.,40,59
9:48,46,Foul on Marcus Derrickson.,40,59
9:48,2379,Colen Gaynor made Free Throw.,41,59
9:48,2379,Colen Gaynor made Free Throw.,42,59
9:29,46,Jessie Govan made Layup. Assisted by Kaleb Johnson.,42,61
9:07,2379,Ahmad Frost missed Jumper.,42,61
9:07,46,Jessie Govan Defensive Rebound.,42,61
8:51,46,Marcus Derrickson missed Jumper.,42,61
8:51,2379,Colen Gaynor Defensive Rebound.,42,61
8:34,46,Foul on Jagan Mosely.,42,61
8:21,2379,Ahmad Frost missed Layup.,42,61
8:21,46,Jagan Mosely Block.,42,61
8:21,46,Jagan Mosely Defensive Rebound.,42,61
8:09,2379,Foul on Colen Gaynor.,42,61
7:56,2379,Foul on Colen Gaynor.,42,61
7:56,46,Official TV Timeout,42,61
7:56,46,Marcus Derrickson made Free Throw.,42,62
7:56,46,Marcus Derrickson made Free Throw.,42,63
7:35,2379,LeAndre Thomas missed Jumper.,42,63
7:35,46,Kaleb Johnson Defensive Rebound.,42,63
7:25,46,Jahvon Blair missed Jumper.,42,63
7:25,2379,LeAndre Thomas Defensive Rebound.,42,63
7:21,2379,Cameron Bacote Turnover.,42,63
7:05,46,Jessie Govan made Jumper. Assisted by Jagan Mosely.,42,65
6:51,46,Foul on Marcus Derrickson.,42,65
6:51,2379,Miryne Thomas made Free Throw.,43,65
6:51,2379,Miryne Thomas made Free Throw.,44,65
6:37,2379,Foul on LeAndre Thomas.,44,65
6:37,46,Jessie Govan missed Free Throw.,44,65
6:37,46,Georgetown Deadball Team Rebound.,44,65
6:37,46,Jessie Govan made Free Throw.,44,66
6:15,2379,Tyler Jones Turnover.,44,66
5:57,46,Marcus Derrickson missed Three Point Jumper.,44,66
5:57,46,Jahvon Blair Offensive Rebound.,44,66
5:45,46,Kaleb Johnson missed Layup.,44,66
5:45,46,Georgetown Offensive Rebound.,44,66
5:38,46,Kaleb Johnson missed Three Point Jumper.,44,66
5:38,46,Marcus Derrickson Offensive Rebound.,44,66
5:34,46,Marcus Derrickson made Layup.,44,68
5:13,2379,Tyler Jones missed Jumper.,44,68
5:13,46,Marcus Derrickson Defensive Rebound.,44,68
5:03,46,Jahvon Blair missed Three Point Jumper.,44,68
5:03,2379,Cameron Bacote Defensive Rebound.,44,68
4:54,2379,Cameron Bacote missed Layup.,44,68
4:54,46,Kaleb Johnson Block.,44,68
4:52,46,Marcus Derrickson Defensive Rebound.,44,68
4:48,46,Jessie Govan made Dunk. Assisted by Jahvon Blair.,44,70
4:18,2379,Ahmad Frost missed Jumper.,44,70
4:18,46,Marcus Derrickson Defensive Rebound.,44,70
4:00,46,Jahvon Blair missed Jumper.,44,70
4:00,46,Jessie Govan Offensive Rebound.,44,70
3:59,2379,Foul on Tyler Jones.,44,70
3:59,46,Official TV Timeout,44,70
3:59,46,Jessie Govan missed Free Throw.,44,70
3:59,46,Georgetown Deadball Team Rebound.,44,70
3:59,46,Jessie Govan made Free Throw.,44,71
3:45,46,Foul on Chris Sodom.,44,71
3:45,2379,Miryne Thomas missed Free Throw.,44,71
3:45,2379,Maryland-Eastern Shore Deadball Team Rebound.,44,71
3:45,2379,Miryne Thomas made Free Throw.,45,71
3:42,46,Georgetown  Turnover.,45,71
3:34,46,Foul on Antwan Walker.,45,71
3:34,46,Technical Foul on Chris Sodom.,45,71
3:34,46,Foul on Chris Sodom.,45,71
3:34,2379,Ahmad Frost made Free Throw.,46,71
3:34,2379,Ahmad Frost made Free Throw.,47,71
3:34,2379,Cameron Bacote made Free Throw.,48,71
3:34,2379,Cameron Bacote made Free Throw.,49,71
3:17,46,Jessie Govan made Layup. Assisted by Kaleb Johnson.,49,73
3:05,2379,Tyler Jones made Layup. Assisted by Ahmad Frost.,51,73
2:46,46,Jonathan Mulmore made Three Point Jumper. Assisted by Kaleb Johnson.,51,76
2:26,2379,Ahmad Frost missed Jumper.,51,76
2:26,46,Jessie Govan Defensive Rebound.,51,76
2:14,46,Georgetown  Timeout,51,76
2:06,46,Antwan Walker missed Layup.,51,76
2:06,2379,Tyler Jones Block.,51,76
2:05,2379,Sean Hoggs Defensive Rebound.,51,76
2:01,2379,Miryne Thomas missed Three Point Jumper.,51,76
2:01,46,Kaleb Johnson Defensive Rebound.,51,76
1:54,46,Jahvon Blair Turnover.,51,76
1:54,2379,Ahmad Frost Steal.,51,76
1:49,2379,Tyler Jones made Layup. Assisted by Cameron Bacote.,53,76
1:34,46,Jahvon Blair made Three Point Jumper. Assisted by Antwan Walker.,53,79
1:13,2379,Tyler Jones made Jumper. Assisted by Cameron Bacote.,55,79
0:58,46,Jahvon Blair made Layup. Assisted by Kaleb Johnson.,55,81
0:54,2379,Miryne Thomas missed Layup.,55,81
0:54,46,Antwan Walker Block.,55,81
0:52,46,Jahvon Blair Defensive Rebound.,55,81
0:43,2379,Foul on Cameron Bacote.,55,81
0:43,46,Jahvon Blair made Free Throw.,55,82
0:43,46,Jahvon Blair made Free Throw.,55,83
0:32,2379,Tyler Jones missed Three Point Jumper.,55,83
0:32,46,Chris Sodom Block.,55,83
0:28,2379,Tyler Jones Offensive Rebound.,55,83
0:26,2379,Sean Hoggs missed Three Point Jumper.,55,83
0:26,2379,Maryland-Eastern Shore Offensive Rebound.,55,83
0:20,2379,Tyler Jones made Layup.,57,83
0:00,46,End of Game,57,83
