SIU-Edwardsville,56,Stetson,2565
13:03,2565,Foul on Julian Torres.,20,13
13:03,56,Divine Myles made Free Throw.,20,14
12:42,2565,Keenan Simmons missed Layup.,20,14
12:42,56,B.J. Glasford Defensive Rebound.,20,14
12:39,2565,Foul on David McFarland.,20,14
12:27,56,Abayomi Iyiola missed Jumper.,20,14
12:27,2565,Jalen Henry Defensive Rebound.,20,14
12:20,2565,David McFarland missed Three Point Jumper.,20,14
12:20,56,Abayomi Iyiola Defensive Rebound.,20,14
12:14,56,Raine McKeython missed Layup.,20,14
12:14,56,Divine Myles Offensive Rebound.,20,14
12:13,2565,Foul on Kevion Stewart.,20,14
12:13,56,Divine Myles made Free Throw.,20,15
12:13,56,Divine Myles made Free Throw.,20,16
12:03,2565,Justin Benton missed Three Point Jumper.,20,16
12:03,56,Christiaan Jones Defensive Rebound.,20,16
11:54,56,Divine Myles missed Layup.,20,16
11:54,56,Abayomi Iyiola Offensive Rebound.,20,16
11:52,2565,Foul on David McFarland.,20,16
11:52,56,Official TV Timeout,20,16
11:52,56,Abayomi Iyiola made Free Throw.,20,17
11:52,56,Abayomi Iyiola made Free Throw.,20,18
11:38,2565,Jalen Henry Turnover.,20,18
11:37,56,Christiaan Jones Steal.,20,18
11:35,56,Christiaan Jones missed Layup.,20,18
11:35,2565,Justin Benton Defensive Rebound.,20,18
11:23,56,Foul on Keith Matthews.,20,18
11:23,2565,Kevion Stewart made Free Throw.,21,18
11:23,2565,Kevion Stewart made Free Throw.,22,18
11:23,2565,Kevion Stewart made Free Throw.,23,18
11:09,56,Keith Matthews missed Three Point Jumper.,23,18
11:09,2565,Bill Awet Defensive Rebound.,23,18
11:01,2565,Bill Awet missed Jumper.,23,18
11:01,2565,Brandon Jackson Offensive Rebound.,23,18
10:40,2565,Brandon Jackson missed Jumper.,23,18
10:40,2565,Brandon Jackson Offensive Rebound.,23,18
10:37,2565,Brandon Jackson made Layup.,25,18
10:23,56,Christiaan Jones Turnover.,25,18
10:13,2565,Daniel Kinchen Turnover.,25,18
9:52,56,Luke Doyle made Jumper.,25,20
9:36,2565,Jalen Henry made Jumper.,27,20
9:29,2565,Foul on Bill Awet.,27,20
9:29,56,Divine Myles made Free Throw.,27,21
9:29,56,Divine Myles made Free Throw.,27,22
9:16,56,Foul on Angel Rivera.,27,22
9:11,2565,Keenan Simmons made Layup. Assisted by Julian Torres.,29,22
9:03,2565,Foul on Justin Benton.,29,22
9:03,56,Angel Rivera made Free Throw.,29,23
9:03,56,Angel Rivera made Free Throw.,29,24
8:50,2565,Daniel Kinchen made Three Point Jumper.,32,24
8:38,56,Larry Dennis made Dunk. Assisted by Angel Rivera.,32,26
8:17,2565,Julian Torres missed Layup.,32,26
8:17,56,Keith Matthews Defensive Rebound.,32,26
8:12,56,Divine Myles missed Layup.,32,26
8:12,2565,Bill Awet Block.,32,26
8:09,2565,Julian Torres Defensive Rebound.,32,26
7:58,2565,Julian Torres made Layup. Assisted by Daniel Kinchen.,34,26
7:40,56,Angel Rivera missed Three Point Jumper.,34,26
7:40,2565,Keenan Simmons Defensive Rebound.,34,26
7:35,56,Foul on Luke Doyle.,34,26
7:35,56,Official TV Timeout,34,26
7:26,2565,Daniel Kinchen made Jumper.,36,26
7:10,56,Larry Dennis missed Jumper.,36,26
7:10,2565,Bill Awet Defensive Rebound.,36,26
7:02,2565,Keenan Simmons made Layup. Assisted by Daniel Kinchen.,38,26
7:02,56,Stetson  Timeout,38,26
6:41,56,B.J. Glasford made Three Point Jumper. Assisted by Angel Rivera.,38,29
6:25,2565,Julian Torres missed Layup.,38,29
6:25,2565,Keenan Simmons Offensive Rebound.,38,29
6:23,2565,Keenan Simmons missed Layup.,38,29
6:23,2565,Keenan Simmons Offensive Rebound.,38,29
6:21,2565,Jalen Henry Turnover.,38,29
6:21,56,Angel Rivera Steal.,38,29
6:10,2565,Foul on Brandon Jackson.,38,29
6:10,56,Abayomi Iyiola missed Free Throw.,38,29
6:10,56,Stetson Deadball Team Rebound.,38,29
6:10,56,Abayomi Iyiola missed Free Throw.,38,29
6:10,2565,Jalen Henry Defensive Rebound.,38,29
5:50,2565,Daniel Kinchen missed Three Point Jumper.,38,29
5:50,56,Angel Rivera Defensive Rebound.,38,29
5:46,56,B.J. Glasford Turnover.,38,29
5:29,2565,Kevion Stewart made Three Point Jumper. Assisted by Justin Benton.,41,29
5:14,56,Angel Rivera missed Three Point Jumper.,41,29
5:14,2565,Kevion Stewart Defensive Rebound.,41,29
4:54,2565,Brandon Jackson Turnover.,41,29
4:54,56,B.J. Glasford Steal.,41,29
4:37,56,B.J. Glasford made Three Point Jumper. Assisted by Angel Rivera.,41,32
4:14,2565,Justin Benton missed Jumper.,41,32
4:14,56,Divine Myles Defensive Rebound.,41,32
4:09,56,Christiaan Jones missed Three Point Jumper.,41,32
4:09,2565,Jalen Henry Defensive Rebound.,41,32
3:49,2565,Bill Awet Turnover.,41,32
3:48,56,Abayomi Iyiola Steal.,41,32
3:46,56,Divine Myles missed Layup.,41,32
3:46,2565,Bill Awet Block.,41,32
3:43,2565,Justin Benton Defensive Rebound.,41,32
3:30,2565,Bill Awet missed Layup.,41,32
3:30,56,Abayomi Iyiola Defensive Rebound.,41,32
3:21,2565,Foul on Kevion Stewart.,41,32
3:21,56,Official TV Timeout,41,32
3:21,56,Angel Rivera missed Free Throw.,41,32
3:21,56,Stetson Deadball Team Rebound.,41,32
3:21,56,Angel Rivera made Free Throw.,41,33
2:59,2565,Bill Awet Turnover.,41,33
2:58,56,B.J. Glasford Steal.,41,33
2:50,56,Keith Matthews missed Three Point Jumper.,41,33
2:50,2565,Kevion Stewart Defensive Rebound.,41,33
2:20,2565,Bill Awet made Jumper.,43,33
2:00,2565,Foul on Kevion Stewart.,43,33
2:00,56,Abayomi Iyiola made Free Throw.,43,34
2:00,56,Abayomi Iyiola made Free Throw.,43,35
1:41,2565,Jaylen McCoy missed Three Point Jumper.,43,35
1:41,56,Abayomi Iyiola Defensive Rebound.,43,35
1:32,56,Keith Matthews missed Layup.,43,35
1:32,2565,Keenan Simmons Block.,43,35
1:30,56,B.J. Glasford Offensive Rebound.,43,35
1:28,56,B.J. Glasford missed Jumper.,43,35
1:28,2565,Jalen Henry Defensive Rebound.,43,35
1:11,2565,Jaylen McCoy Turnover.,43,35
0:49,56,B.J. Glasford missed Three Point Jumper.,43,35
0:49,56,Abayomi Iyiola Offensive Rebound.,43,35
0:45,56,Abayomi Iyiola made Layup.,43,37
0:33,2565,SIU-Edwardsville  Timeout,43,37
0:15,2565,Jalen Henry missed Jumper.,43,37
0:15,56,Angel Rivera Defensive Rebound.,43,37
0:14,2565,Foul on Bill Awet.,43,37
0:14,56,Angel Rivera made Free Throw.,43,38
0:14,56,Angel Rivera made Free Throw.,43,39
0:00,2565,Justin Benton missed Three Point Jumper.,43,39
0:00,2565,SIU-Edwardsville Deadball Team Rebound.,43,39
0:00,56,End of 1st half,43,39
19:45,2565,Jalen Henry missed Jumper.,43,39
19:45,56,Angel Rivera Defensive Rebound.,43,39
19:34,56,Larry Dennis missed Jumper.,43,39
19:34,2565,Jalen Henry Defensive Rebound.,43,39
19:26,2565,Christian Ellis made Layup.,45,39
19:05,56,Luke Doyle missed Jumper.,45,39
19:05,56,Stetson Offensive Rebound.,45,39
18:59,56,B.J. Glasford Turnover.,45,39
18:47,2565,Keenan Simmons missed Jumper.,45,39
18:47,56,Larry Dennis Block.,45,39
18:46,56,Luke Doyle Defensive Rebound.,45,39
18:41,56,B.J. Glasford missed Layup.,45,39
18:41,56,Divine Myles Offensive Rebound.,45,39
18:17,56,Divine Myles missed Three Point Jumper.,45,39
18:17,2565,Jalen Henry Defensive Rebound.,45,39
18:08,2565,Daniel Kinchen missed Jumper.,45,39
18:08,56,Divine Myles Defensive Rebound.,45,39
18:02,56,B.J. Glasford made Layup. Assisted by Divine Myles.,45,41
17:43,56,Foul on Divine Myles.,45,41
17:26,2565,Justin Benton missed Jumper.,45,41
17:26,56,Angel Rivera Defensive Rebound.,45,41
17:19,2565,Foul on Daniel Kinchen.,45,41
17:19,2565,SIU-Edwardsville  Timeout,45,41
17:19,56,Official TV Timeout,45,41
17:19,56,Divine Myles missed Free Throw.,45,41
17:19,56,Stetson Deadball Team Rebound.,45,41
17:19,56,Divine Myles made Free Throw.,45,42
17:02,56,Foul on Luke Doyle.,45,42
16:50,2565,Bill Awet missed Jumper.,45,42
16:50,56,Luke Doyle Defensive Rebound.,45,42
16:46,56,Luke Doyle Turnover.,45,42
16:27,2565,Daniel Kinchen made Three Point Jumper.,48,42
15:56,2565,Foul on Bill Awet.,48,42
15:56,56,Official TV Timeout,48,42
15:56,56,Angel Rivera made Free Throw.,48,43
15:56,56,Angel Rivera made Free Throw.,48,44
15:46,2565,Daniel Kinchen missed Three Point Jumper.,48,44
15:46,56,B.J. Glasford Defensive Rebound.,48,44
15:38,2565,Foul on Justin Benton.,48,44
15:38,56,Angel Rivera made Free Throw.,48,45
15:38,56,Angel Rivera made Free Throw.,48,46
15:15,56,Foul on Angel Rivera.,48,46
15:15,2565,Justin Benton made Free Throw.,49,46
15:15,2565,Justin Benton made Free Throw.,50,46
14:58,56,Abayomi Iyiola made Jumper.,50,48
14:37,2565,Daniel Kinchen made Three Point Jumper. Assisted by Justin Benton.,53,48
14:23,2565,Foul on Justin Benton.,53,48
14:13,56,Divine Myles missed Layup.,53,48
14:13,2565,Keenan Simmons Defensive Rebound.,53,48
13:59,56,Foul on Abayomi Iyiola.,53,48
13:59,2565,Daniel Kinchen made Free Throw.,54,48
13:59,2565,Daniel Kinchen made Free Throw.,55,48
13:45,56,Angel Rivera missed Three Point Jumper.,55,48
13:45,56,Abayomi Iyiola Offensive Rebound.,55,48
13:39,56,Abayomi Iyiola made Layup.,55,50
13:22,2565,Keenan Simmons missed Layup.,55,50
13:22,56,Keith Matthews Defensive Rebound.,55,50
13:14,56,Divine Myles missed Layup.,55,50
13:14,2565,Jalen Henry Block.,55,50
13:13,2565,Christian Ellis Defensive Rebound.,55,50
13:03,2565,Daniel Kinchen missed Three Point Jumper.,55,50
13:03,56,Stetson Defensive Rebound.,55,50
12:46,56,Angel Rivera missed Layup.,55,50
12:46,2565,Christian Ellis Defensive Rebound.,55,50
12:26,2565,David McFarland missed Three Point Jumper.,55,50
12:26,56,Stetson Defensive Rebound.,55,50
12:00,2565,Foul on Keenan Simmons.,55,50
12:00,56,Official TV Timeout,55,50
11:53,2565,Foul on Julian Torres.,55,50
11:53,56,Keith Matthews made Free Throw.,55,51
11:53,56,Keith Matthews made Free Throw.,55,52
11:24,2565,Christian Ellis made Jumper. Assisted by David McFarland.,57,52
11:11,56,Christiaan Jones made Jumper. Assisted by Divine Myles.,57,54
10:49,2565,David McFarland missed Three Point Jumper.,57,54
10:49,56,Larry Dennis Defensive Rebound.,57,54
10:48,2565,Foul on Julian Torres.,57,54
10:48,56,Larry Dennis missed Free Throw.,57,54
10:48,2565,Jalen Henry Defensive Rebound.,57,54
10:35,2565,Kevion Stewart Turnover.,57,54
10:34,56,Divine Myles Steal.,57,54
10:32,56,Angel Rivera made Layup. Assisted by Divine Myles.,57,56
10:29,2565,SIU-Edwardsville  Timeout,57,56
10:10,2565,Jalen Henry made Layup.,59,56
9:47,2565,Foul on Brandon Jackson.,59,56
9:47,56,Angel Rivera made Free Throw.,59,57
9:47,56,Angel Rivera missed Free Throw.,59,57
9:47,2565,Keenan Simmons Defensive Rebound.,59,57
9:31,2565,Jalen Henry missed Three Point Jumper.,59,57
9:31,56,Stetson Defensive Rebound.,59,57
9:20,56,Christiaan Jones missed Three Point Jumper.,59,57
9:20,56,Larry Dennis Offensive Rebound.,59,57
9:19,56,Larry Dennis made Two Point Tip Shot.,59,59
8:54,2565,Jalen Henry made Jumper.,61,59
8:30,56,Larry Dennis made Layup. Assisted by Angel Rivera.,61,61
8:30,2565,Foul on Jalen Henry.,61,61
8:30,56,Larry Dennis made Free Throw.,61,62
8:10,2565,Daniel Kinchen Turnover.,61,62
8:10,2565,Foul on Daniel Kinchen.,61,62
7:56,56,Christiaan Jones missed Three Point Jumper.,61,62
7:56,2565,SIU-Edwardsville Deadball Team Rebound.,61,62
7:55,56,Foul on Larry Dennis.,61,62
7:55,56,Official TV Timeout,61,62
7:47,56,Foul on B.J. Glasford.,61,62
7:39,2565,Jalen Henry missed Layup.,61,62
7:39,56,Stetson Defensive Rebound.,61,62
7:21,56,Larry Dennis missed Layup.,61,62
7:21,2565,Keenan Simmons Defensive Rebound.,61,62
7:13,2565,Bill Awet made Layup. Assisted by Daniel Kinchen.,63,62
6:53,56,Divine Myles made Layup.,63,64
6:18,2565,Justin Benton missed Jumper.,63,64
6:18,2565,Bill Awet Offensive Rebound.,63,64
6:14,56,Foul on Larry Dennis.,63,64
6:14,2565,Bill Awet missed Free Throw.,63,64
6:14,2565,SIU-Edwardsville Deadball Team Rebound.,63,64
6:14,2565,Bill Awet missed Free Throw.,63,64
6:14,56,Divine Myles Defensive Rebound.,63,64
6:07,56,Divine Myles made Layup.,63,66
5:57,56,Foul on Larry Dennis.,63,66
5:57,2565,Julian Torres made Free Throw.,64,66
5:57,2565,Julian Torres missed Free Throw.,64,66
5:57,56,B.J. Glasford Defensive Rebound.,64,66
5:50,56,Luke Doyle missed Layup.,64,66
5:50,2565,Julian Torres Block.,64,66
5:50,56,Stetson Offensive Rebound.,64,66
5:47,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,64,69
5:30,2565,Julian Torres made Layup. Assisted by Justin Benton.,66,69
5:30,56,Foul on Divine Myles.,66,69
5:30,2565,Julian Torres made Free Throw.,67,69
5:20,2565,Foul on Bill Awet.,67,69
5:20,56,Divine Myles made Free Throw.,67,70
5:20,56,Divine Myles made Free Throw.,67,71
4:49,2565,Christian Ellis made Jumper.,69,71
4:30,2565,Foul on Julian Torres.,69,71
4:30,56,B.J. Glasford missed Free Throw.,69,71
4:30,56,Stetson Deadball Team Rebound.,69,71
4:30,56,B.J. Glasford made Free Throw.,69,72
4:09,56,Foul on Abayomi Iyiola.,69,72
4:09,2565,Christian Ellis missed Free Throw.,69,72
4:09,2565,SIU-Edwardsville Deadball Team Rebound.,69,72
4:09,2565,Christian Ellis missed Free Throw.,69,72
4:09,56,Abayomi Iyiola Defensive Rebound.,69,72
3:51,56,Divine Myles made Jumper.,69,74
3:26,2565,Jalen Henry made Three Point Jumper. Assisted by Justin Benton.,72,74
3:02,56,Divine Myles missed Three Point Jumper.,72,74
3:02,2565,Christian Ellis Defensive Rebound.,72,74
3:00,56,Foul on Abayomi Iyiola.,72,74
3:00,56,Official TV Timeout,72,74
3:00,2565,Christian Ellis missed Free Throw.,72,74
3:00,2565,SIU-Edwardsville Deadball Team Rebound.,72,74
3:00,2565,Christian Ellis made Free Throw.,73,74
2:44,56,Abayomi Iyiola missed Jumper.,73,74
2:44,2565,Jalen Henry Defensive Rebound.,73,74
2:18,2565,Jalen Henry made Jumper. Assisted by Daniel Kinchen.,75,74
1:58,56,Divine Myles missed Layup.,75,74
1:58,2565,Jalen Henry Defensive Rebound.,75,74
1:26,2565,Jalen Henry missed Jumper.,75,74
1:26,56,Luke Doyle Defensive Rebound.,75,74
1:14,56,B.J. Glasford missed Layup.,75,74
1:14,2565,Jalen Henry Block.,75,74
1:12,2565,David McFarland Defensive Rebound.,75,74
0:49,2565,Keenan Simmons Offensive Rebound.,75,74
0:49,2565,Keenan Simmons Turnover.,75,74
0:49,56,Angel Rivera Steal.,75,74
0:49,2565,Daniel Kinchen missed Jumper.,75,74
0:49,56,Stetson  Timeout,75,74
0:39,56,Divine Myles missed Layup.,75,74
0:39,2565,Bill Awet Defensive Rebound.,75,74
0:38,2565,Bill Awet Turnover.,75,74
0:38,56,Stetson  Timeout,75,74
0:36,2565,Foul on Jalen Henry.,75,74
0:36,56,Larry Dennis missed Free Throw.,75,74
0:36,56,Stetson Deadball Team Rebound.,75,74
0:36,56,Larry Dennis missed Free Throw.,75,74
0:36,2565,Jalen Henry Defensive Rebound.,75,74
0:33,56,Foul on B.J. Glasford.,75,74
0:33,2565,Jalen Henry missed Free Throw.,75,74
0:33,2565,SIU-Edwardsville Deadball Team Rebound.,75,74
0:33,2565,Jalen Henry made Free Throw.,76,74
0:26,2565,Foul on Jalen Henry.,76,74
0:26,56,Divine Myles missed Free Throw.,76,74
0:26,56,Stetson Deadball Team Rebound.,76,74
0:26,56,Divine Myles missed Free Throw.,76,74
0:26,2565,Jalen Henry Defensive Rebound.,76,74
0:24,56,Foul on Luke Doyle.,76,74
0:24,2565,Jalen Henry made Free Throw.,77,74
0:24,2565,Jalen Henry made Free Throw.,78,74
0:13,2565,Foul on Justin Benton.,78,74
0:13,56,Angel Rivera made Free Throw.,78,75
0:13,2565,SIU-Edwardsville  Timeout,78,75
0:13,56,Angel Rivera made Free Throw.,78,76
0:11,56,Foul on Angel Rivera.,78,76
0:11,2565,David McFarland made Free Throw.,79,76
0:11,2565,David McFarland missed Free Throw.,79,76
0:11,56,B.J. Glasford Defensive Rebound.,79,76
0:03,56,Divine Myles missed Three Point Jumper.,79,76
0:03,2565,SIU-Edwardsville Defensive Rebound.,79,76
0:01,56,Foul on Angel Rivera.,79,76
0:01,2565,Daniel Kinchen missed Free Throw.,79,76
0:01,2565,SIU-Edwardsville Deadball Team Rebound.,79,76
0:01,56,Stetson  Timeout,79,76
0:01,2565,Daniel Kinchen made Free Throw.,80,76
0:00,56,End of Game,80,76
