CSU Northridge,2244,George Mason,2463
19:21,2463,Zeno Lake Block.,43,35
19:21,2244,Goanar Mar Offensive Rebound.,43,35
19:19,2463,Foul on Zeno Lake.,43,35
19:05,2244,Ian Boyd made Jumper.,43,37
18:47,2463,Micheal Warren missed Jumper.,43,37
18:47,2244,Otis Livingston II Defensive Rebound.,43,37
18:41,2244,Ian Boyd Turnover.,43,37
18:34,2463,Tavrion Dawson Steal.,43,37
18:23,2463,Tavrion Dawson made Jumper.,45,37
18:05,2244,Goanar Mar missed Three Point Jumper.,45,37
18:05,2463,Lyrik Shreiner Defensive Rebound.,45,37
17:47,2463,Lyrik Shreiner missed Layup.,45,37
17:47,2244,Greg Calixte Defensive Rebound.,45,37
17:36,2463,Foul on Terrell Gomez.,45,37
17:24,2244,Greg Calixte missed Jumper.,45,37
17:24,2463,Tavrion Dawson Defensive Rebound.,45,37
17:04,2463,Tavrion Dawson missed Jumper.,45,37
17:04,2244,Greg Calixte Block.,45,37
17:02,2244,Justin Kier Defensive Rebound.,45,37
16:58,2244,Goanar Mar made Layup. Assisted by Justin Kier.,45,39
16:26,2463,Terrell Gomez made Three Point Jumper. Assisted by Micheal Warren.,48,39
16:06,2244,Otis Livingston II made Three Point Jumper.,48,42
15:45,2463,Zeno Lake missed Layup.,48,42
15:45,2244,Greg Calixte Defensive Rebound.,48,42
15:39,2244,Goanar Mar missed Three Point Jumper.,48,42
15:39,2244,Ian Boyd Offensive Rebound.,48,42
15:36,2244,Foul on Goanar Mar.,48,42
15:36,2244,Goanar Mar Turnover.,48,42
15:36,2244,Official TV Timeout,48,42
15:16,2463,Tavrion Dawson made Jumper.,50,42
14:52,2244,Jaire Grayer missed Layup.,50,42
14:52,2463,Tavrion Dawson Defensive Rebound.,50,42
14:27,2463,Micheal Warren made Jumper.,52,42
13:58,2244,Otis Livingston II missed Three Point Jumper.,52,42
13:58,2463,Tavrion Dawson Defensive Rebound.,52,42
13:44,2244,Foul on Justin Kier.,52,42
13:44,2463,Tavrion Dawson made Free Throw.,53,42
13:44,2463,Tavrion Dawson missed Free Throw.,53,42
13:44,2244,Goanar Mar Defensive Rebound.,53,42
13:37,2244,Otis Livingston II Turnover.,53,42
13:35,2463,Micheal Warren Steal.,53,42
13:18,2463,Terrell Gomez missed Three Point Jumper.,53,42
13:18,2244,Otis Livingston II Defensive Rebound.,53,42
13:09,2244,Otis Livingston II missed Layup.,53,42
13:09,2244,Goanar Mar Offensive Rebound.,53,42
13:08,2463,Foul on Carl Brown.,53,42
13:07,2244,Javon Greene missed Three Point Jumper.,53,42
13:07,2463,Terrell Gomez Defensive Rebound.,53,42
12:51,2463,Terrell Gomez Turnover.,53,42
12:50,2244,Jaire Grayer Steal.,53,42
12:42,2244,Ian Boyd missed Jumper.,53,42
12:42,2463,Tavrion Dawson Defensive Rebound.,53,42
12:22,2463,Carl Brown Turnover.,53,42
12:20,2244,Javon Greene Steal.,53,42
12:18,2244,Justin Kier made Layup. Assisted by Javon Greene.,53,44
12:07,2463,CSU Northridge  Timeout,53,44
12:00,2463,Carl Brown missed Three Point Jumper.,53,44
12:00,2244,AJ Wilson Defensive Rebound.,53,44
11:43,2244,Javon Greene Turnover.,53,44
11:43,2244,Official TV Timeout,53,44
11:34,2463,Tavrion Dawson Turnover.,53,44
11:32,2244,AJ Wilson Steal.,53,44
11:17,2244,Jaire Grayer missed Three Point Jumper.,53,44
11:17,2244,George Mason Offensive Rebound.,53,44
11:13,2463,Foul on Lyrik Shreiner.,53,44
11:11,2244,AJ Wilson made Dunk. Assisted by Otis Livingston II.,53,46
10:55,2463,Micheal Warren missed Three Point Jumper.,53,46
10:55,2244,Javon Greene Defensive Rebound.,53,46
10:41,2244,Justin Kier missed Layup.,53,46
10:41,2463,Micheal Warren Defensive Rebound.,53,46
10:29,2463,Lyrik Shreiner Turnover.,53,46
10:14,2244,Otis Livingston II missed Jumper.,53,46
10:14,2463,Tavrion Dawson Block.,53,46
10:12,2463,Micheal Warren Defensive Rebound.,53,46
10:07,2463,Anthony Swan missed Jumper.,53,46
10:07,2244,AJ Wilson Block.,53,46
10:06,2244,Otis Livingston II Defensive Rebound.,53,46
10:02,2244,Goanar Mar made Layup. Assisted by Otis Livingston II.,53,48
9:47,2463,Tavrion Dawson missed Jumper.,53,48
9:47,2463,Micheal Warren Offensive Rebound.,53,48
9:43,2463,Zeno Lake missed Jumper.,53,48
9:43,2463,Zeno Lake Offensive Rebound.,53,48
9:41,2463,Zeno Lake missed Jumper.,53,48
9:41,2463,Lyrik Shreiner Offensive Rebound.,53,48
9:36,2463,Lyrik Shreiner Turnover.,53,48
9:12,2244,AJ Wilson made Three Point Jumper. Assisted by Justin Kier.,53,51
8:44,2463,Micheal Warren made Three Point Jumper.,56,51
8:31,2463,Foul on Zeno Lake.,56,51
8:18,2244,Otis Livingston II Turnover.,56,51
8:05,2244,Foul on Javon Greene.,56,51
8:05,2463,Tavrion Dawson made Free Throw.,57,51
8:05,2463,Tavrion Dawson made Free Throw.,58,51
7:46,2244,Javon Greene missed Three Point Jumper.,58,51
7:46,2244,Goanar Mar Offensive Rebound.,58,51
7:42,2244,Goanar Mar missed Jumper.,58,51
7:42,2463,Tavrion Dawson Defensive Rebound.,58,51
7:23,2463,Tavrion Dawson missed Jumper.,58,51
7:23,2244,Justin Kier Defensive Rebound.,58,51
7:10,2244,AJ Wilson made Three Point Jumper. Assisted by Javon Greene.,58,54
6:48,2463,Micheal Warren missed Three Point Jumper.,58,54
6:48,2244,Justin Kier Defensive Rebound.,58,54
6:40,2244,Foul on Justin Kier.,58,54
6:40,2244,Justin Kier Turnover.,58,54
6:39,2244,Official TV Timeout,58,54
6:25,2463,Lyrik Shreiner missed Jumper.,58,54
6:25,2244,AJ Wilson Defensive Rebound.,58,54
5:59,2244,Otis Livingston II made Jumper.,58,56
5:30,2463,Lyrik Shreiner missed Layup.,58,56
5:30,2244,AJ Wilson Block.,58,56
5:28,2244,Javon Greene Defensive Rebound.,58,56
5:14,2463,Foul on Tavrion Dawson.,58,56
5:11,2244,AJ Wilson missed Jumper.,58,56
5:11,2244,Goanar Mar Offensive Rebound.,58,56
5:02,2244,Otis Livingston II made Layup.,58,58
5:02,2463,Foul on Micheal Warren.,58,58
5:02,2244,Otis Livingston II made Free Throw.,58,59
5:00,2463,CSU Northridge  Timeout,58,59
4:48,2244,Foul on Otis Livingston II.,58,59
4:47,2244,Foul on AJ Wilson.,58,59
4:47,2463,Micheal Warren made Free Throw.,59,59
4:47,2463,Micheal Warren made Free Throw.,60,59
4:20,2244,Otis Livingston II made Three Point Jumper.,60,62
3:51,2463,Micheal Warren made Three Point Jumper.,63,62
3:17,2244,Otis Livingston II missed Three Point Jumper.,63,62
3:17,2244,George Mason Deadball Team Rebound.,63,62
3:16,2244,George Mason  Turnover.,63,62
3:16,2244,Official TV Timeout,63,62
3:02,2463,Tavrion Dawson missed Three Point Jumper.,63,62
3:02,2463,Zeno Lake Offensive Rebound.,63,62
2:56,2463,Zeno Lake made Layup.,65,62
2:35,2244,Goanar Mar missed Three Point Jumper.,65,62
2:35,2463,Lyrik Shreiner Defensive Rebound.,65,62
2:08,2463,Foul on Tavrion Dawson.,65,62
2:08,2463,Tavrion Dawson Turnover.,65,62
1:51,2463,Foul on Micheal Warren.,65,62
1:51,2244,Ian Boyd made Free Throw.,65,63
1:51,2244,Ian Boyd made Free Throw.,65,64
1:34,2463,Lyrik Shreiner missed Jumper.,65,64
1:34,2463,Lyrik Shreiner Offensive Rebound.,65,64
1:32,2244,Foul on AJ Wilson.,65,64
1:32,2463,Lyrik Shreiner made Free Throw.,66,64
1:32,2463,Lyrik Shreiner missed Free Throw.,66,64
1:32,2244,Justin Kier Defensive Rebound.,66,64
1:07,2244,Goanar Mar missed Layup.,66,64
1:07,2463,Tavrion Dawson Block.,66,64
1:07,2244,George Mason Offensive Rebound.,66,64
1:03,2244,Otis Livingston II missed Three Point Jumper.,66,64
1:03,2463,Micheal Warren Defensive Rebound.,66,64
0:33,2463,Lyrik Shreiner missed Jumper.,66,64
0:33,2244,AJ Wilson Block.,66,64
0:33,2463,CSU Northridge Offensive Rebound.,66,64
0:31,2463,Terrell Gomez missed Jumper.,66,64
0:31,2463,CSU Northridge Deadball Team Rebound.,66,64
0:31,2463,CSU Northridge  Turnover.,66,64
0:31,2244,George Mason  Timeout,66,64
0:14,2244,Goanar Mar made Layup.,66,66
0:14,2463,CSU Northridge  Timeout,66,66
0:06,2463,Tavrion Dawson missed Three Point Jumper.,66,66
0:06,2244,AJ Wilson Defensive Rebound.,66,66
0:04,2244,George Mason  Timeout,66,66
0:00,2244,End of 2nd half,66,66
4:41,2463,Tavrion Dawson made Jumper.,68,66
4:06,2244,Goanar Mar made Layup.,68,68
3:46,2463,Lyrik Shreiner missed Jumper.,68,68
3:46,2244,Ian Boyd Defensive Rebound.,68,68
3:42,2463,Foul on Lyrik Shreiner.,68,68
3:42,2244,Ian Boyd made Free Throw.,68,69
3:42,2244,Ian Boyd made Free Throw.,68,70
3:18,2463,Tavrion Dawson Turnover.,68,70
3:08,2463,Foul on Zeno Lake.,68,70
3:08,2244,Goanar Mar made Free Throw.,68,71
3:08,2244,Goanar Mar made Free Throw.,68,72
2:52,2244,Foul on Ian Boyd.,68,72
2:52,2463,Tavrion Dawson missed Free Throw.,68,72
2:52,2244,Ian Boyd Defensive Rebound.,68,72
2:25,2244,AJ Wilson made Dunk. Assisted by Otis Livingston II.,68,74
2:17,2463,CSU Northridge  Timeout,68,74
2:02,2463,Micheal Warren made Jumper.,70,74
1:31,2244,Justin Kier Turnover.,70,74
1:29,2463,Zeno Lake Steal.,70,74
1:16,2463,Tavrion Dawson made Jumper.,72,74
0:54,2244,Otis Livingston II missed Three Point Jumper.,72,74
0:54,2463,Tavrion Dawson Defensive Rebound.,72,74
0:51,2244,Foul on AJ Wilson.,72,74
0:51,2463,Tavrion Dawson made Free Throw.,73,74
0:51,2463,Tavrion Dawson missed Free Throw.,73,74
0:51,2244,Ian Boyd Defensive Rebound.,73,74
0:41,2463,Foul on Terrell Gomez.,73,74
0:41,2244,Otis Livingston II made Free Throw.,73,75
0:41,2244,Otis Livingston II made Free Throw.,73,76
0:41,2244,George Mason  Timeout,73,76
0:26,2463,Lyrik Shreiner missed Jumper.,73,76
0:26,2244,Justin Kier Defensive Rebound.,73,76
0:24,2463,Foul on Micheal Warren.,73,76
0:24,2244,Justin Kier made Free Throw.,73,77
0:24,2244,Justin Kier made Free Throw.,73,78
0:15,2463,Anthony Swan missed Three Point Jumper.,73,78
0:15,2244,Goanar Mar Block.,73,78
0:13,2244,Ian Boyd Defensive Rebound.,73,78
0:00,2244,End of Game,73,78
