Iona,94,Northern Kentucky,314
13:44,314,Schadrac Casimir missed Layup.,9,10
13:44,94,Carson Williams Block.,9,10
13:41,314,TK Edogi Offensive Rebound.,9,10
13:39,314,TK Edogi Turnover.,9,10
13:30,94,Mason Faulkner Turnover.,9,10
13:27,314,Schadrac Casimir Steal.,9,10
13:25,314,Schadrac Casimir Turnover.,9,10
13:22,94,Jordan Garnett Steal.,9,10
13:21,94,Jeff Garrett made Dunk. Assisted by Jordan Garnett.,9,12
13:05,314,E.J. Crawford made Three Point Jumper. Assisted by Schadrac Casimir.,12,12
12:52,94,Jeff Garrett made Layup. Assisted by Carson Williams.,12,14
12:46,314,Deyshonee Much missed Three Point Jumper.,12,14
12:46,94,Jeff Garrett Defensive Rebound.,12,14
12:33,94,Carson Williams made Jumper. Assisted by Jeff Garrett.,12,16
12:30,314,Iona  Timeout,12,16
12:11,314,E.J. Crawford Turnover.,12,16
12:11,94,Mason Faulkner Steal.,12,16
11:56,94,Mason Faulkner Turnover.,12,16
11:56,94,Official TV Timeout,12,16
11:46,314,Schadrac Casimir missed Three Point Jumper.,12,16
11:46,94,Dantez Walton Defensive Rebound.,12,16
11:27,94,Carson Williams made Layup. Assisted by Drew McDonald.,12,18
11:07,314,Roland Griffin made Jumper.,14,18
10:55,94,Dantez Walton missed Jumper.,14,18
10:55,314,E.J. Crawford Defensive Rebound.,14,18
10:34,314,Rickey McGill Turnover.,14,18
10:20,94,Jordan Garnett Turnover.,14,18
10:19,314,Zach Lewis Steal.,14,18
9:57,314,Deyshonee Much missed Layup.,14,18
9:57,94,Drew McDonald Defensive Rebound.,14,18
9:46,94,Jalen Tate made Jumper. Assisted by Jordan Garnett.,14,20
9:46,314,Foul on E.J. Crawford.,14,20
9:46,94,Jalen Tate missed Free Throw.,14,20
9:46,314,TK Edogi Defensive Rebound.,14,20
9:16,314,Deyshonee Much made Three Point Jumper.,17,20
8:56,94,Carson Williams made Jumper. Assisted by Jalen Tate.,17,22
8:41,314,Rickey McGill made Layup.,19,22
8:33,94,Jalen Tate made Three Point Jumper. Assisted by Carson Williams.,19,25
8:13,314,Roland Griffin made Jumper.,21,25
7:51,94,Drew McDonald missed Jumper.,21,25
7:51,314,Deyshonee Much Defensive Rebound.,21,25
7:46,314,Rickey McGill Turnover.,21,25
7:44,314,Rickey McGill Defensive Rebound.,21,25
7:43,314,Rickey McGill missed Jumper.,21,25
7:43,94,Jordan Garnett Defensive Rebound.,21,25
7:43,314,Foul on Rickey McGill.,21,25
7:43,94,Official TV Timeout,21,25
7:30,94,Carson Williams made Three Point Jumper. Assisted by Lavone Holland II.,21,28
6:59,314,Rickey McGill missed Three Point Jumper.,21,28
6:59,94,Drew McDonald Defensive Rebound.,21,28
6:52,94,Carson Williams made Jumper. Assisted by Drew McDonald.,21,30
6:47,314,Roland Griffin missed Jumper.,21,30
6:47,314,TK Edogi Offensive Rebound.,21,30
6:32,314,Rickey McGill missed Three Point Jumper.,21,30
6:32,94,Mason Faulkner Defensive Rebound.,21,30
6:19,94,Carson Williams made Jumper.,21,32
6:02,314,Deyshonee Much made Three Point Jumper. Assisted by Roland Griffin.,24,32
5:36,94,Drew McDonald made Layup.,24,34
5:25,94,Foul on Carson Williams.,24,34
5:25,314,Rickey McGill made Free Throw.,25,34
5:25,314,Rickey McGill missed Free Throw.,25,34
5:25,94,Dantez Walton Defensive Rebound.,25,34
5:12,94,Dantez Walton missed Three Point Jumper.,25,34
5:12,94,Jordan Garnett Offensive Rebound.,25,34
5:10,314,Foul on Deyshonee Much.,25,34
5:08,94,Mason Faulkner Turnover.,25,34
4:51,314,Deyshonee Much made Three Point Jumper. Assisted by Zach Lewis.,28,34
4:45,94,Jordan Garnett missed Three Point Jumper.,28,34
4:45,314,Zach Lewis Defensive Rebound.,28,34
4:34,314,Foul on Schadrac Casimir.,28,34
4:34,314,Schadrac Casimir Turnover.,28,34
4:16,314,Foul on Gavin Kensmil.,28,34
4:16,94,Drew McDonald made Free Throw.,28,35
4:16,94,Drew McDonald made Free Throw.,28,36
3:57,94,Foul on Lavone Holland II.,28,36
3:56,94,Official TV Timeout,28,36
3:56,94,Official TV Timeout,28,36
3:56,94,Official TV Timeout,28,36
3:56,94,Official TV Timeout,28,36
3:55,314,Gavin Kensmil missed Free Throw.,28,36
3:54,314,Iona Deadball Team Rebound.,28,36
3:54,314,Gavin Kensmil made Free Throw.,29,36
3:47,94,Mason Faulkner made Three Point Jumper. Assisted by Jalen Tate.,29,39
3:25,314,Deyshonee Much Turnover.,29,39
3:11,94,Drew McDonald missed Jumper.,29,39
3:11,94,Carson Williams Offensive Rebound.,29,39
2:50,94,Jalen Tate made Layup.,29,41
2:30,314,Schadrac Casimir missed Jumper.,29,41
2:30,94,Carson Williams Defensive Rebound.,29,41
2:16,94,Mason Faulkner missed Three Point Jumper.,29,41
2:16,314,Gavin Kensmil Defensive Rebound.,29,41
2:06,94,Foul on Mason Faulkner.,29,41
2:06,314,Schadrac Casimir made Free Throw.,30,41
2:06,314,Schadrac Casimir made Free Throw.,31,41
1:46,94,Drew McDonald made Layup.,31,43
1:15,314,Deyshonee Much missed Layup.,31,43
1:15,94,Northern Kentucky Defensive Rebound.,31,43
0:54,94,Jalen Tate missed Layup.,31,43
0:54,314,Zach Lewis Defensive Rebound.,31,43
0:47,314,TK Edogi made Layup. Assisted by Roland Griffin.,33,43
0:41,94,Carson Williams Turnover.,33,43
0:26,314,Rickey McGill Turnover.,33,43
0:22,94,Jordan Garnett made Layup.,33,45
0:07,314,TK Edogi Turnover.,33,45
0:06,94,Jalen Tate Steal.,33,45
0:00,94,Official TV Timeout,33,45
0:00,94,End of 1st half,33,45
19:46,314,Foul on Roland Griffin.,33,45
19:46,94,Drew McDonald made Free Throw.,33,46
19:46,94,Drew McDonald missed Free Throw.,33,46
19:46,314,Roland Griffin Defensive Rebound.,33,46
19:31,314,Rickey McGill missed Three Point Jumper.,33,46
19:31,94,Jordan Garnett Defensive Rebound.,33,46
19:16,94,Drew McDonald missed Three Point Jumper.,33,46
19:16,314,Roland Griffin Defensive Rebound.,33,46
19:07,314,Rickey McGill made Layup.,35,46
19:07,94,Foul on Jalen Tate.,35,46
19:07,314,Rickey McGill made Free Throw.,36,46
18:51,94,Drew McDonald Turnover.,36,46
18:50,314,Rickey McGill Steal.,36,46
18:47,314,Deyshonee Much Turnover.,36,46
18:30,94,Jordan Garnett Turnover.,36,46
18:28,314,Zach Lewis Steal.,36,46
18:26,314,Zach Lewis Turnover.,36,46
18:24,94,Jalen Tate Steal.,36,46
18:22,94,Jalen Tate Turnover.,36,46
18:20,314,Zach Lewis Steal.,36,46
18:19,314,Deyshonee Much made Three Point Jumper. Assisted by Zach Lewis.,39,46
17:53,94,Lavone Holland II made Layup.,39,48
17:32,314,Rickey McGill missed Jumper.,39,48
17:32,94,Northern Kentucky Defensive Rebound.,39,48
17:17,94,Carson Williams missed Layup.,39,48
17:17,314,TK Edogi Block.,39,48
17:14,314,Deyshonee Much Defensive Rebound.,39,48
17:12,314,Zach Lewis made Layup. Assisted by Deyshonee Much.,41,48
17:00,94,Jalen Tate made Layup.,41,50
16:57,94,Northern Kentucky  Timeout,41,50
16:57,94,Official TV Timeout,41,50
16:35,314,E.J. Crawford made Layup.,43,50
16:35,94,Foul on Carson Williams.,43,50
16:35,314,E.J. Crawford made Free Throw.,44,50
16:16,94,Drew McDonald made Jumper. Assisted by Lavone Holland II.,44,52
16:01,314,Deyshonee Much made Three Point Jumper. Assisted by Rickey McGill.,47,52
15:34,94,Lavone Holland II missed Three Point Jumper.,47,52
15:34,314,TK Edogi Defensive Rebound.,47,52
15:26,314,Zach Lewis made Layup.,49,52
15:14,94,Jalen Tate missed Layup.,49,52
15:14,314,Iona Defensive Rebound.,49,52
15:14,94,Official TV Timeout,49,52
14:42,314,Deyshonee Much missed Three Point Jumper.,49,52
14:42,94,Carson Williams Defensive Rebound.,49,52
14:13,94,Carson Williams made Layup.,49,54
13:53,314,Zach Lewis made Three Point Jumper. Assisted by Deyshonee Much.,52,54
13:35,94,Carson Williams Turnover.,52,54
13:17,314,Rickey McGill missed Jumper.,52,54
13:17,314,Iona Offensive Rebound.,52,54
13:17,94,Foul on Drew McDonald.,52,54
13:10,314,E.J. Crawford missed Three Point Jumper.,52,54
13:10,94,Mason Faulkner Defensive Rebound.,52,54
12:54,94,Drew McDonald missed Three Point Jumper.,52,54
12:54,314,Rickey McGill Defensive Rebound.,52,54
12:46,314,E.J. Crawford missed Layup.,52,54
12:46,94,Drew McDonald Defensive Rebound.,52,54
12:41,314,Foul on Rickey McGill.,52,54
12:41,94,Jordan Garnett missed Free Throw.,52,54
12:41,94,Northern Kentucky Deadball Team Rebound.,52,54
12:41,94,Jordan Garnett missed Free Throw.,52,54
12:41,314,E.J. Crawford Defensive Rebound.,52,54
12:22,314,Rickey McGill Turnover.,52,54
12:20,94,Jalen Tate Steal.,52,54
12:18,314,Foul on Deyshonee Much.,52,54
12:18,94,Jalen Tate made Free Throw.,52,55
12:18,94,Jalen Tate missed Free Throw.,52,55
12:18,314,E.J. Crawford Defensive Rebound.,52,55
12:06,314,Roland Griffin Turnover.,52,55
11:52,94,Dantez Walton missed Three Point Jumper.,52,55
11:52,314,E.J. Crawford Defensive Rebound.,52,55
11:39,314,Roland Griffin missed Jumper.,52,55
11:39,94,Dantez Walton Defensive Rebound.,52,55
11:31,94,Jalen Tate made Layup. Assisted by Dantez Walton.,52,57
11:02,94,Foul on Jalen Tate.,52,57
11:02,94,Official TV Timeout,52,57
11:02,314,Zach Lewis missed Free Throw.,52,57
11:02,314,Iona Deadball Team Rebound.,52,57
11:02,314,Zach Lewis made Free Throw.,53,57
10:49,94,Dantez Walton made Layup. Assisted by Lavone Holland II.,53,59
10:32,314,Zach Lewis missed Layup.,53,59
10:32,94,Lavone Holland II Defensive Rebound.,53,59
10:19,94,Dantez Walton missed Three Point Jumper.,53,59
10:19,314,E.J. Crawford Defensive Rebound.,53,59
10:01,94,Carson Williams made Layup.,53,61
9:48,314,E.J. Crawford made Jumper.,55,61
9:37,94,Dantez Walton made Layup. Assisted by Lavone Holland II.,55,63
9:11,314,Zach Lewis made Three Point Jumper. Assisted by E.J. Crawford.,58,63
8:51,94,Dantez Walton Turnover.,58,63
8:50,314,Deyshonee Much Steal.,58,63
8:46,314,Zach Lewis missed Three Point Jumper.,58,63
8:46,314,Schadrac Casimir Offensive Rebound.,58,63
8:41,314,Deyshonee Much missed Three Point Jumper.,58,63
8:41,314,TK Edogi Offensive Rebound.,58,63
8:34,314,TK Edogi missed Layup.,58,63
8:34,94,Lavone Holland II Defensive Rebound.,58,63
8:19,94,Lavone Holland II missed Three Point Jumper.,58,63
8:19,314,Iona Deadball Team Rebound.,58,63
8:16,94,Foul on Drew McDonald.,58,63
7:51,314,E.J. Crawford made Layup.,60,63
7:28,94,Drew McDonald made Layup. Assisted by Mason Faulkner.,60,65
6:48,314,Deyshonee Much missed Three Point Jumper.,60,65
6:48,94,Northern Kentucky Deadball Team Rebound.,60,65
6:48,94,Official TV Timeout,60,65
6:23,94,Carson Williams made Layup. Assisted by Drew McDonald.,60,67
6:03,314,Zach Lewis made Jumper.,62,67
5:46,94,Jordan Garnett missed Three Point Jumper.,62,67
5:46,94,Carson Williams Offensive Rebound.,62,67
5:38,94,Drew McDonald missed Three Point Jumper.,62,67
5:38,314,Schadrac Casimir Defensive Rebound.,62,67
5:19,314,Zach Lewis missed Three Point Jumper.,62,67
5:19,94,Mason Faulkner Defensive Rebound.,62,67
4:55,314,Foul on Schadrac Casimir.,62,67
4:55,94,Mason Faulkner made Free Throw.,62,68
4:55,94,Mason Faulkner made Free Throw.,62,69
4:55,94,Mason Faulkner made Free Throw.,62,70
4:37,314,Rickey McGill missed Layup.,62,70
4:37,314,TK Edogi Offensive Rebound.,62,70
4:34,314,TK Edogi made Two Point Tip Shot.,64,70
4:11,94,Lavone Holland II Turnover.,64,70
4:06,314,Rickey McGill made Layup.,66,70
3:44,94,Dantez Walton made Three Point Jumper. Assisted by Jordan Garnett.,66,73
3:17,314,Zach Lewis Turnover.,66,73
3:09,314,Foul on Zach Lewis.,66,73
3:09,94,Official TV Timeout,66,73
3:09,94,Jordan Garnett missed Free Throw.,66,73
3:09,94,Northern Kentucky Deadball Team Rebound.,66,73
3:09,94,Jordan Garnett made Free Throw.,66,74
2:46,314,TK Edogi made Layup. Assisted by C.J. Seaforth.,68,74
2:21,94,Lavone Holland II made Three Point Jumper. Assisted by Drew McDonald.,68,77
1:55,314,Rickey McGill made Jumper.,70,77
1:54,314,Iona  Timeout,70,77
1:38,94,Lavone Holland II made Three Point Jumper. Assisted by Carson Williams.,70,80
1:25,314,Rickey McGill made Layup.,72,80
1:02,94,Drew McDonald missed Jumper.,72,80
1:02,94,Carson Williams Offensive Rebound.,72,80
1:00,314,Foul on TK Edogi.,72,80
1:00,94,Carson Williams made Free Throw.,72,81
0:56,314,Rickey McGill missed Jumper.,72,81
0:56,314,Iona Offensive Rebound.,72,81
0:53,94,Foul on Lavone Holland II.,72,81
0:46,314,Rickey McGill missed Jumper.,72,81
0:46,314,Rickey McGill Offensive Rebound.,72,81
0:41,314,Rickey McGill Turnover.,72,81
0:40,94,Jordan Garnett Steal.,72,81
0:37,314,Foul on Deyshonee Much.,72,81
0:37,94,Dantez Walton made Free Throw.,72,82
0:37,94,Dantez Walton made Free Throw.,72,83
0:27,314,Rickey McGill missed Layup.,72,83
0:27,94,Jordan Garnett Defensive Rebound.,72,83
0:23,314,Foul on Zach Lewis.,72,83
0:23,94,Jordan Garnett made Free Throw.,72,84
0:23,94,Jordan Garnett made Free Throw.,72,85
0:14,314,Jan Svandrlik Turnover.,72,85
0:00,94,End of Game,72,85
