Chicago State,2460,Northern Iowa,2130
4:10,2130,Jalen Stephens-Holmes made Layup. Assisted by Rob Shaw.,40,73
3:39,2460,Miles Wentzien missed Three Point Jumper.,40,73
3:39,2130,Jalen Stephens-Holmes Defensive Rebound.,40,73
3:28,2130,Jelani Pruitt made Layup. Assisted by Rob Shaw.,42,73
2:57,2460,Miles Wentzien made Three Point Jumper. Assisted by Ted Friedman.,42,76
2:35,2130,Travon Bell Turnover.,42,76
2:35,2130,Foul on Travon Bell.,42,76
2:35,2460,Official TV Timeout,42,76
2:15,2460,Lincoln Conrey made Layup. Assisted by Miles Wentzien.,42,78
1:58,2460,Foul on Tanner Lohaus.,42,78
1:58,2130,Jelani Pruitt missed Free Throw.,42,78
1:58,2130,Chicago State Deadball Team Rebound.,42,78
1:57,2130,Jelani Pruitt missed Free Throw.,42,78
1:57,2460,Luke McDonnell Defensive Rebound.,42,78
1:43,2460,Luke McDonnell made Layup. Assisted by Miles Wentzien.,42,80
1:31,2130,Rob Shaw missed Jumper.,42,80
1:31,2460,Luke McDonnell Defensive Rebound.,42,80
1:29,2130,Foul on Jalen Stephens-Holmes.,42,80
1:29,2460,Luke McDonnell missed Free Throw.,42,80
1:29,2460,Northern Iowa Deadball Team Rebound.,42,80
1:29,2460,Luke McDonnell missed Free Throw.,42,80
1:29,2130,Jalen Stephens-Holmes Defensive Rebound.,42,80
1:19,2130,Jelani Pruitt Turnover.,42,80
1:18,2460,Adam McDermott Steal.,42,80
0:57,2460,Adam McDermott missed Three Point Jumper.,42,80
0:57,2130,Jalen Stephens-Holmes Defensive Rebound.,42,80
0:46,2130,Simeon Henton made Layup.,44,80
0:21,2460,Luke McDonnell made Layup.,44,82
0:10,2130,Nathan Townsen Jr. Turnover.,44,82
0:00,2460,End of Game,44,82
