Tenn-Martin,2006,Akron,2630
1:41,2630,Dominique Williams made Layup. Assisted by Fatodd Lewis.,26,32
1:41,2006,Foul on Emmanuel Olojakpoke.,26,32
1:41,2630,Dominique Williams missed Free Throw.,26,32
1:41,2006,Emmanuel Olojakpoke Defensive Rebound.,26,32
1:28,2006,Daniel Utomi missed Layup.,26,32
1:28,2630,Fatodd Lewis Block.,26,32
1:26,2630,Dominique Williams Defensive Rebound.,26,32
1:24,2630,Dominique Williams Turnover.,26,32
1:24,2630,Foul on Dominique Williams.,26,32
1:20,2006,Jimond Ivey Turnover.,26,32
1:19,2630,DelFincko Bogan Steal.,26,32
1:14,2630,Darius Thompson Turnover.,26,32
1:10,2006,Eric Parrish Steal.,26,32
1:07,2630,Foul on DelFincko Bogan.,26,32
1:07,2006,Jimond Ivey made Free Throw.,26,33
1:07,2006,Jimond Ivey made Free Throw.,26,34
0:47,2630,Fatodd Lewis made Layup. Assisted by Mike Fofana.,28,34
0:23,2006,Malcolm Duvivier Turnover.,28,34
0:21,2630,Matthew Butler Steal.,28,34
0:00,2630,Matthew Butler missed Layup.,28,34
0:00,2630,Fatodd Lewis Offensive Rebound.,28,34
0:00,2006,End of 1st half,28,34
19:48,2630,Matthew Butler made Three Point Jumper. Assisted by DelFincko Bogan.,31,34
19:12,2006,Jimond Ivey made Three Point Jumper.,31,37
18:57,2630,Fatodd Lewis missed Layup.,31,37
18:57,2006,Torrey Patton Defensive Rebound.,31,37
18:45,2006,Jimond Ivey missed Three Point Jumper.,31,37
18:45,2630,DelFincko Bogan Defensive Rebound.,31,37
18:40,2630,Fatodd Lewis made Layup. Assisted by DelFincko Bogan.,33,37
18:30,2630,Foul on Fatodd Lewis.,33,37
18:30,2006,Torrey Patton made Free Throw.,33,38
18:30,2006,Torrey Patton made Free Throw.,33,39
17:59,2630,Matthew Butler missed Three Point Jumper.,33,39
17:59,2006,Daniel Utomi Defensive Rebound.,33,39
17:42,2006,Daniel Utomi missed Layup.,33,39
17:42,2630,UT Martin Defensive Rebound.,33,39
17:27,2630,Dominique Williams missed Layup.,33,39
17:27,2630,Fatodd Lewis Offensive Rebound.,33,39
17:24,2630,Fatodd Lewis made Layup.,35,39
17:05,2006,Emmanuel Olojakpoke Turnover.,35,39
17:05,2006,Foul on Emmanuel Olojakpoke.,35,39
16:51,2630,Matthew Butler made Jumper.,37,39
16:31,2006,Daniel Utomi missed Three Point Jumper.,37,39
16:31,2006,Jimond Ivey Offensive Rebound.,37,39
16:25,2006,Daniel Utomi made Layup. Assisted by Jimond Ivey.,37,41
16:25,2630,Foul on Fatodd Lewis.,37,41
16:25,2006,Daniel Utomi made Free Throw.,37,42
16:04,2630,Parrish Hewitt missed Three Point Jumper.,37,42
16:04,2006,Daniel Utomi Defensive Rebound.,37,42
15:45,2006,Jimond Ivey missed Jumper.,37,42
15:45,2630,Parrish Hewitt Defensive Rebound.,37,42
15:33,2630,Jailen Gill made Jumper.,39,42
15:06,2006,Daniel Utomi made Layup.,39,44
14:32,2630,Dominique Williams made Layup.,41,44
14:22,2006,Torrey Patton missed Three Point Jumper.,41,44
14:22,2006,Jimond Ivey Offensive Rebound.,41,44
14:09,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,41,47
13:47,2630,Matthew Butler Turnover.,41,47
13:47,2006,Official TV Timeout,41,47
13:21,2006,Virshon Cotton Turnover.,41,47
12:48,2630,UT Martin  Turnover.,41,47
12:38,2006,Virshon Cotton missed Layup.,41,47
12:38,2006,Emmanuel Olojakpoke Offensive Rebound.,41,47
12:33,2006,Malcolm Duvivier made Three Point Jumper. Assisted by Daniel Utomi.,41,50
12:24,2630,Dominique Williams missed Layup.,41,50
12:24,2006,Emmanuel Olojakpoke Block.,41,50
12:22,2630,Dominique Williams Offensive Rebound.,41,50
12:18,2630,Fatodd Lewis made Layup.,43,50
11:47,2006,Malcolm Duvivier made Jumper.,43,52
11:29,2630,Fatodd Lewis made Layup.,45,52
11:07,2006,Virshon Cotton missed Three Point Jumper.,45,52
11:07,2630,Fatodd Lewis Defensive Rebound.,45,52
10:47,2630,Parrish Hewitt missed Layup.,45,52
10:47,2630,Fatodd Lewis Offensive Rebound.,45,52
10:44,2630,Fatodd Lewis made Layup.,47,52
10:28,2006,Malcolm Duvivier made Three Point Jumper. Assisted by Virshon Cotton.,47,55
10:04,2630,Dominique Williams missed Layup.,47,55
10:04,2006,Daniel Utomi Defensive Rebound.,47,55
9:50,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,47,58
9:31,2630,Matthew Butler missed Three Point Jumper.,47,58
9:31,2006,Eric Parrish Defensive Rebound.,47,58
9:26,2006,Eric Parrish made Layup.,47,60
9:26,2630,Foul on Matthew Butler.,47,60
9:26,2006,Official TV Timeout,47,60
9:26,2006,Eric Parrish made Free Throw.,47,61
9:12,2630,Fatodd Lewis Turnover.,47,61
8:52,2006,Jimond Ivey made Jumper. Assisted by Daniel Utomi.,47,63
8:31,2630,Parrish Hewitt missed Three Point Jumper.,47,63
8:31,2006,Jaden Sayles Defensive Rebound.,47,63
8:14,2006,Jimond Ivey missed Three Point Jumper.,47,63
8:14,2006,Jimond Ivey Offensive Rebound.,47,63
8:10,2006,Malcolm Duvivier missed Three Point Jumper.,47,63
8:10,2630,Fatodd Lewis Defensive Rebound.,47,63
7:57,2630,Matthew Butler made Jumper.,49,63
7:46,2006,Daniel Utomi made Layup. Assisted by Jaden Sayles.,49,65
7:33,2630,Fatodd Lewis made Layup. Assisted by Parrish Hewitt.,51,65
7:10,2006,Eric Parrish missed Layup.,51,65
7:10,2630,Fatodd Lewis Defensive Rebound.,51,65
6:57,2006,Foul on Jimond Ivey.,51,65
6:57,2006,Official TV Timeout,51,65
6:52,2630,Terrence Parker Turnover.,51,65
6:43,2006,Jimond Ivey Turnover.,51,65
6:43,2006,Foul on Jimond Ivey.,51,65
6:34,2630,Matthew Butler made Layup. Assisted by Fatodd Lewis.,53,65
6:07,2006,Daniel Utomi made Three Point Jumper. Assisted by Torrey Patton.,53,68
5:44,2630,Fatodd Lewis missed Layup.,53,68
5:44,2630,UT Martin Offensive Rebound.,53,68
5:41,2630,Fatodd Lewis made Dunk. Assisted by Parrish Hewitt.,55,68
5:23,2006,Malcolm Duvivier Turnover.,55,68
5:21,2630,Matthew Butler Steal.,55,68
5:19,2630,Matthew Butler made Layup.,57,68
5:19,2006,Akron  Timeout,57,68
5:14,2006,Malcolm Duvivier Turnover.,57,68
5:12,2630,Fatodd Lewis Steal.,57,68
5:07,2630,Darius Thompson missed Three Point Jumper.,57,68
5:07,2006,Torrey Patton Defensive Rebound.,57,68
4:42,2630,Foul on Matthew Butler.,57,68
4:38,2006,Eric Parrish missed Three Point Jumper.,57,68
4:38,2006,Akron Deadball Team Rebound.,57,68
4:37,2630,Foul on Fatodd Lewis.,57,68
4:15,2006,Emmanuel Olojakpoke missed Layup.,57,68
4:15,2630,Fatodd Lewis Defensive Rebound.,57,68
4:05,2006,Foul on Jimond Ivey.,57,68
3:54,2630,Matthew Butler missed Three Point Jumper.,57,68
3:54,2006,Emmanuel Olojakpoke Defensive Rebound.,57,68
3:52,2006,Official TV Timeout,57,68
3:40,2006,Malcolm Duvivier missed Layup.,57,68
3:40,2630,Jerome Davis Defensive Rebound.,57,68
2:59,2006,Daniel Utomi made Three Point Jumper. Assisted by Emmanuel Olojakpoke.,57,71
2:41,2630,Matthew Butler made Jumper.,59,71
2:24,2006,Torrey Patton missed Layup.,59,71
2:24,2006,Torrey Patton Offensive Rebound.,59,71
2:24,2006,Torrey Patton made Layup.,59,73
2:24,2630,Foul on Fatodd Lewis.,59,73
2:24,2006,Torrey Patton missed Free Throw.,59,73
2:24,2630,Darius Thompson Defensive Rebound.,59,73
2:10,2630,Darius Thompson missed Jumper.,59,73
2:10,2630,UT Martin Deadball Team Rebound.,59,73
2:09,2006,Foul on Daniel Utomi.,59,73
2:03,2630,Matthew Butler missed Three Point Jumper.,59,73
2:03,2006,Daniel Utomi Defensive Rebound.,59,73
1:38,2006,Daniel Utomi made Three Point Jumper. Assisted by Torrey Patton.,59,76
1:14,2630,Darius Thompson Turnover.,59,76
1:13,2006,Emmanuel Olojakpoke Steal.,59,76
0:45,2006,Malcolm Duvivier missed Jumper.,59,76
0:45,2630,Mike Fofana Block.,59,76
0:44,2630,Dominique Williams Defensive Rebound.,59,76
0:35,2630,Parrish Hewitt missed Three Point Jumper.,59,76
0:35,2006,Eric Parrish Defensive Rebound.,59,76
0:04,2006,Malcolm Duvivier missed Layup.,59,76
0:03,2006,Eric Parrish Offensive Rebound.,59,76
0:00,2006,End of Game,59,76
