Idaho State,265,Washington State,304
5:44,304,Novak Topalovic missed Free Throw.,53,70
5:44,304,Idaho State Deadball Team Rebound.,53,70
5:44,304,Novak Topalovic missed Free Throw.,53,70
5:44,265,Washington State Deadball Team Rebound.,53,70
5:43,304,Foul on Jacob McCord.,53,70
5:32,265,Milan Acquaah Turnover.,53,70
5:23,304,Geno Luzcando missed Three Point Jumper.,53,70
5:23,304,Idaho State Offensive Rebound.,53,70
5:21,265,Foul on Malachi Flynn.,53,70
5:15,304,Balint Mocsan missed Three Point Jumper.,53,70
5:15,304,Idaho State Offensive Rebound.,53,70
5:05,304,Geno Luzcando missed Layup.,53,70
5:05,265,Robert Franks Defensive Rebound.,53,70
4:58,265,Malachi Flynn made Three Point Jumper. Assisted by Robert Franks.,53,73
4:41,304,Balint Mocsan missed Layup.,53,73
4:41,265,Robert Franks Defensive Rebound.,53,73
4:32,265,Arinze Chidom made Layup. Assisted by Milan Acquaah.,53,75
4:11,265,Foul on Arinze Chidom.,53,75
4:04,304,Jacob McCord missed Three Point Jumper.,53,75
4:04,304,Idaho State Offensive Rebound.,53,75
4:03,265,Foul on Robert Franks.,53,75
4:01,304,Jacob McCord missed Three Point Jumper.,53,75
4:01,265,Malachi Flynn Defensive Rebound.,53,75
3:53,265,Robert Franks made Three Point Jumper. Assisted by Milan Acquaah.,53,78
3:34,304,Jacob McCord missed Layup.,53,78
3:34,304,Blake Truman Offensive Rebound.,53,78
3:32,304,Blake Truman made Layup.,55,78
3:27,265,Official TV Timeout,55,78
3:03,265,Milan Acquaah made Three Point Jumper.,55,81
2:44,304,Geno Luzcando made Jumper.,57,81
2:32,265,Steven Shpreyregin missed Three Point Jumper.,57,81
2:32,304,Jacob McCord Defensive Rebound.,57,81
2:22,304,Jacob McCord missed Dunk.,57,81
2:22,304,Blake Truman Offensive Rebound.,57,81
2:19,304,Blake Truman missed Layup.,57,81
2:19,304,Jacob McCord Offensive Rebound.,57,81
2:16,304,Jacob McCord Turnover.,57,81
2:14,265,Arinze Chidom Steal.,57,81
2:10,304,Foul on Lyle Sutton.,57,81
2:02,265,Davante Cooper Turnover.,57,81
1:45,304,Houston Wahlen missed Jumper.,57,81
1:45,265,Steven Shpreyregin Defensive Rebound.,57,81
1:39,265,Milan Acquaah missed Three Point Jumper.,57,81
1:39,265,Davante Cooper Offensive Rebound.,57,81
1:34,265,Davante Cooper made Layup.,57,83
1:24,304,Jacob McCord missed Layup.,57,83
1:24,304,Blake Truman Offensive Rebound.,57,83
1:18,304,Blake Truman missed Layup.,57,83
1:18,304,Jacob McCord Offensive Rebound.,57,83
1:15,304,Jacob McCord made Layup.,59,83
0:55,265,KJ Langston missed Three Point Jumper.,59,83
0:55,304,Houston Wahlen Defensive Rebound.,59,83
0:48,304,Lyle Sutton made Layup.,61,83
0:48,265,Foul on Davante Cooper.,61,83
0:48,304,Lyle Sutton made Free Throw.,62,83
0:40,304,Foul on Lyle Sutton.,62,83
0:29,265,Milan Acquaah Turnover.,62,83
0:29,304,Lyle Sutton Steal.,62,83
0:29,265,Foul on Milan Acquaah.,62,83
0:29,304,Lyle Sutton missed Free Throw.,62,83
0:29,265,Jamar Ergas Defensive Rebound.,62,83
0:00,265,End of 2nd half,62,83
0:00,265,End of Game,62,83
