Furman,2086,Butler,231
2:12,231,Geoff Beans Turnover.,26,34
1:54,2086,Tyler Wideman missed Layup.,26,34
1:54,2086,Tyler Wideman Offensive Rebound.,26,34
1:50,2086,Tyler Wideman missed Layup.,26,34
1:50,2086,Tyler Wideman Offensive Rebound.,26,34
1:43,2086,Tyler Wideman made Two Point Tip Shot.,26,36
1:37,2086,Foul on Kelan Martin.,26,36
1:37,231,Daniel Fowler made Free Throw.,27,36
1:37,231,Daniel Fowler made Free Throw.,28,36
1:28,2086,Tyler Wideman made Layup. Assisted by Paul Jorgensen.,28,38
1:28,231,Foul on Andrew Brown.,28,38
1:28,2086,Tyler Wideman made Free Throw.,28,39
1:23,231,Devin Sibley missed Three Point Jumper.,28,39
1:23,2086,Tyler Wideman Defensive Rebound.,28,39
1:18,2086,Tyler Wideman Turnover.,28,39
1:14,2086,Foul on Sean McDermott.,28,39
0:54,231,Matt Rafferty missed Layup.,28,39
0:54,231,Clay Mounce Offensive Rebound.,28,39
0:50,231,Clay Mounce missed Layup.,28,39
0:50,2086,Henry Baddley Defensive Rebound.,28,39
0:43,231,Foul on Devin Sibley.,28,39
0:43,2086,Tyler Wideman made Free Throw.,28,40
0:43,2086,Tyler Wideman made Free Throw.,28,41
0:24,231,Alex Hunter missed Three Point Jumper.,28,41
0:24,231,Clay Mounce Offensive Rebound.,28,41
0:19,231,Clay Mounce missed Layup.,28,41
0:19,231,Jordan Lyons Offensive Rebound.,28,41
0:19,2086,Foul on Aaron Thompson.,28,41
0:19,231,Jordan Lyons missed Free Throw.,28,41
0:19,231,Furman Deadball Team Rebound.,28,41
0:19,231,Jordan Lyons made Free Throw.,29,41
0:15,2086,Butler  Timeout,29,41
0:01,2086,Kamar Baldwin Turnover.,29,41
0:00,231,Matt Rafferty Steal.,29,41
0:00,2086,End of 1st half,29,41
19:32,2086,Kamar Baldwin made Jumper.,29,43
19:09,231,John Davis III missed Three Point Jumper.,29,43
19:09,231,Daniel Fowler Offensive Rebound.,29,43
19:00,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,32,43
18:45,2086,Sean McDermott made Three Point Jumper. Assisted by Kamar Baldwin.,32,46
18:32,2086,Foul on Tyler Wideman.,32,46
18:24,231,Devin Sibley Turnover.,32,46
18:06,2086,Tyler Wideman missed Jumper.,32,46
18:06,231,Devin Sibley Defensive Rebound.,32,46
17:57,231,Daniel Fowler made Layup. Assisted by John Davis III.,34,46
17:43,2086,Sean McDermott made Three Point Jumper. Assisted by Kamar Baldwin.,34,49
17:20,2086,Foul on Kamar Baldwin.,34,49
17:01,231,Matt Rafferty made Jumper. Assisted by Daniel Fowler.,36,49
16:44,2086,Kamar Baldwin missed Jumper.,36,49
16:44,231,Matt Rafferty Defensive Rebound.,36,49
16:37,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,39,49
16:33,2086,Butler  Timeout,39,49
16:24,2086,Kelan Martin made Layup. Assisted by Sean McDermott.,39,51
16:23,231,Foul on Daniel Fowler.,39,51
16:23,2086,Kelan Martin made Free Throw.,39,52
16:14,231,Devin Sibley missed Jumper.,39,52
16:14,231,Matt Rafferty Offensive Rebound.,39,52
16:11,2086,Foul on Nate Fowler.,39,52
16:06,231,John Davis III made Jumper.,41,52
15:45,2086,Nate Fowler made Layup. Assisted by Aaron Thompson.,41,54
15:29,231,Andrew Brown missed Three Point Jumper.,41,54
15:29,2086,Aaron Thompson Defensive Rebound.,41,54
15:17,2086,Paul Jorgensen missed Three Point Jumper.,41,54
15:17,231,Daniel Fowler Defensive Rebound.,41,54
15:07,231,Devin Sibley made Three Point Jumper.,44,54
15:05,2086,Official TV Timeout,44,54
15:03,231,Furman  Timeout,44,54
15:03,2086,Official TV Timeout,44,54
14:47,2086,Sean McDermott made Three Point Jumper. Assisted by Paul Jorgensen.,44,57
14:40,231,Devin Sibley missed Three Point Jumper.,44,57
14:40,231,Andrew Brown Offensive Rebound.,44,57
14:30,2086,Joey Brunk made Layup. Assisted by Paul Jorgensen.,44,59
14:05,231,Daniel Fowler missed Jumper.,44,59
14:05,2086,Kelan Martin Block.,44,59
14:02,2086,Joey Brunk Defensive Rebound.,44,59
13:57,2086,Aaron Thompson Turnover.,44,59
13:55,231,Jordan Lyons Steal.,44,59
13:51,2086,Foul on Sean McDermott.,44,59
13:51,231,Devin Sibley made Free Throw.,45,59
13:51,231,Devin Sibley missed Free Throw.,45,59
13:51,2086,Butler Deadball Team Rebound.,45,59
13:51,231,Foul on Jalen Williams.,45,59
13:33,2086,Kelan Martin missed Three Point Jumper.,45,59
13:33,231,Jalen Williams Defensive Rebound.,45,59
13:23,231,Clay Mounce missed Three Point Jumper.,45,59
13:23,2086,Kelan Martin Defensive Rebound.,45,59
13:14,231,Foul on Jalen Williams.,45,59
13:11,2086,Kamar Baldwin made Three Point Jumper. Assisted by Kelan Martin.,45,62
13:00,2086,Foul on Henry Baddley.,45,62
13:00,231,Jordan Lyons made Free Throw.,46,62
13:00,231,Jordan Lyons missed Free Throw.,46,62
13:00,2086,Kelan Martin Defensive Rebound.,46,62
12:42,2086,Henry Baddley Turnover.,46,62
12:42,231,Jordan Lyons Steal.,46,62
12:23,231,Daniel Fowler missed Jumper.,46,62
12:23,2086,Joey Brunk Defensive Rebound.,46,62
12:08,2086,Paul Jorgensen made Three Point Jumper. Assisted by Kelan Martin.,46,65
12:05,231,Furman  Timeout,46,65
12:05,2086,Official TV Timeout,46,65
11:56,231,Daniel Fowler missed Layup.,46,65
11:56,231,Matt Rafferty Offensive Rebound.,46,65
11:47,231,Geoff Beans missed Three Point Jumper.,46,65
11:47,2086,Paul Jorgensen Defensive Rebound.,46,65
11:28,2086,Paul Jorgensen Turnover.,46,65
11:26,231,John Davis III Steal.,46,65
11:21,2086,Foul on Sean McDermott.,46,65
11:03,231,Matt Rafferty made Jumper.,48,65
10:34,2086,Tyler Wideman made Layup. Assisted by Aaron Thompson.,48,67
10:21,231,John Davis III Turnover.,48,67
10:09,2086,Henry Baddley missed Three Point Jumper.,48,67
10:09,231,John Davis III Defensive Rebound.,48,67
9:48,231,Daniel Fowler missed Layup.,48,67
9:48,231,Daniel Fowler Offensive Rebound.,48,67
9:44,231,Daniel Fowler missed Layup.,48,67
9:44,2086,Henry Baddley Block.,48,67
9:44,231,Furman Offensive Rebound.,48,67
9:37,231,Devin Sibley made Jumper.,50,67
9:17,2086,Foul on Tyler Wideman.,50,67
9:17,2086,Tyler Wideman Turnover.,50,67
9:08,231,Matt Rafferty made Three Point Jumper. Assisted by Daniel Fowler.,53,67
8:39,2086,Kelan Martin made Layup.,53,69
8:26,231,Matt Rafferty Turnover.,53,69
8:26,2086,Tyler Wideman Steal.,53,69
8:12,2086,Kelan Martin missed Three Point Jumper.,53,69
8:12,231,Clay Mounce Defensive Rebound.,53,69
7:58,231,John Davis III missed Three Point Jumper.,53,69
7:58,2086,Kamar Baldwin Defensive Rebound.,53,69
7:43,2086,Aaron Thompson Turnover.,53,69
7:43,2086,Official TV Timeout,53,69
7:17,231,Jalen Williams Turnover.,53,69
7:06,2086,Kamar Baldwin made Three Point Jumper. Assisted by Sean McDermott.,53,72
6:54,231,Andrew Brown missed Three Point Jumper.,53,72
6:54,231,Alex Hunter Offensive Rebound.,53,72
6:47,231,Alex Hunter made Three Point Jumper.,56,72
6:23,231,Foul on Matt Rafferty.,56,72
6:23,2086,Kelan Martin missed Free Throw.,56,72
6:23,2086,Butler Deadball Team Rebound.,56,72
6:23,2086,Kelan Martin made Free Throw.,56,73
6:12,2086,Foul on Kelan Martin.,56,73
6:12,231,Daniel Fowler made Free Throw.,57,73
6:12,231,Daniel Fowler made Free Throw.,58,73
5:59,2086,Sean McDermott Turnover.,58,73
5:47,231,Daniel Fowler missed Layup.,58,73
5:47,2086,Sean McDermott Defensive Rebound.,58,73
5:33,2086,Sean McDermott made Layup.,58,75
5:13,231,Clay Mounce missed Three Point Jumper.,58,75
5:13,2086,Kamar Baldwin Defensive Rebound.,58,75
5:01,2086,Sean McDermott missed Three Point Jumper.,58,75
5:01,231,Clay Mounce Defensive Rebound.,58,75
4:52,231,Clay Mounce missed Three Point Jumper.,58,75
4:52,2086,Butler Defensive Rebound.,58,75
4:30,2086,Kamar Baldwin Turnover.,58,75
4:20,231,Foul on Alex Hunter.,58,75
4:20,231,Alex Hunter Turnover.,58,75
4:03,2086,Kamar Baldwin made Layup.,58,77
4:03,231,Foul on Alex Hunter.,58,77
4:03,2086,Kamar Baldwin made Free Throw.,58,78
3:37,231,Alex Hunter made Jumper. Assisted by Andrew Brown.,60,78
3:13,2086,Kelan Martin missed Three Point Jumper.,60,78
3:13,231,Jalen Williams Defensive Rebound.,60,78
3:00,231,Devin Sibley Turnover.,60,78
3:00,2086,Official TV Timeout,60,78
2:34,2086,Kamar Baldwin Turnover.,60,78
2:32,231,John Davis III Steal.,60,78
2:17,2086,Foul on Christian David.,60,78
2:17,231,Andrew Brown made Free Throw.,61,78
2:17,231,Andrew Brown made Free Throw.,62,78
2:08,2086,Paul Jorgensen made Layup.,62,80
1:51,231,Foul on Jalen Williams.,62,80
1:51,231,Jalen Williams Turnover.,62,80
1:37,2086,Aaron Thompson Turnover.,62,80
1:34,231,Andrew Brown Steal.,62,80
1:31,231,John Davis III missed Three Point Jumper.,62,80
1:31,2086,Joey Brunk Defensive Rebound.,62,80
1:24,2086,Paul Jorgensen made Layup.,62,82
1:01,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,65,82
0:58,2086,Butler  Timeout,65,82
0:47,2086,Foul on Jerald Gillens-Butler.,65,82
0:47,2086,Jerald Gillens-Butler Turnover.,65,82
0:30,231,Jalen Williams Turnover.,65,82
0:01,2086,Paul Jorgensen missed Three Point Jumper.,65,82
0:01,231,Alex Hunter Defensive Rebound.,65,82
0:00,2086,End of Game,65,82
