Charleston,2429,Charlotte,232
7:46,2429,Jon Davis missed Dunk.,66,52
7:46,232,Sambia Ndiaye Block.,66,52
7:43,232,Grant Riller Defensive Rebound.,66,52
7:42,232,Foul on Grant Riller.,66,52
7:42,232,Grant Riller Turnover.,66,52
7:39,2429,Ryan Murphy Turnover.,66,52
7:29,232,Joe Chealey missed Jumper.,66,52
7:29,2429,Milos Supica Defensive Rebound.,66,52
7:12,2429,Ryan Murphy made Three Point Jumper. Assisted by Jon Davis.,66,55
6:38,232,Cameron Johnson missed Jumper.,66,55
6:38,2429,Milos Supica Block.,66,55
6:36,2429,Milos Supica Defensive Rebound.,66,55
6:31,2429,Ryan Murphy missed Jumper.,66,55
6:31,232,Joe Chealey Defensive Rebound.,66,55
6:05,232,Sambia Ndiaye Turnover.,66,55
6:00,2429,Austin Ajukwa Steal.,66,55
5:46,232,Foul on Marquise Pointer.,66,55
5:46,2429,Najee Garvin made Free Throw.,66,56
5:46,2429,Najee Garvin missed Free Throw.,66,56
5:46,232,Osinachi Smart Defensive Rebound.,66,56
5:28,232,Joe Chealey made Layup.,68,56
5:10,2429,Najee Garvin missed Jumper.,68,56
5:10,232,Joe Chealey Defensive Rebound.,68,56
5:01,232,Joe Chealey missed Jumper.,68,56
5:01,232,Osinachi Smart Offensive Rebound.,68,56
4:57,232,Osinachi Smart missed Jumper.,68,56
4:57,2429,Austin Ajukwa Block.,68,56
4:54,2429,Ryan Murphy Defensive Rebound.,68,56
4:31,2429,Andrien White Turnover.,68,56
4:29,232,Joe Chealey Steal.,68,56
4:21,2429,Foul on Austin Ajukwa.,68,56
4:04,232,Grant Riller missed Three Point Jumper.,68,56
4:04,2429,Najee Garvin Defensive Rebound.,68,56
3:42,2429,Najee Garvin missed Layup.,68,56
3:42,2429,Milos Supica Offensive Rebound.,68,56
3:39,2429,Milos Supica missed Two Point Tip Shot.,68,56
3:39,232,Cameron Johnson Defensive Rebound.,68,56
3:23,232,Grant Riller missed Jumper.,68,56
3:23,232,Cameron Johnson Offensive Rebound.,68,56
3:15,232,Joe Chealey missed Jumper.,68,56
3:15,232,Charleston Offensive Rebound.,68,56
3:12,2429,Official TV Timeout,68,56
3:12,232,Marquise Pointer Turnover.,68,56
3:00,2429,Andrien White made Three Point Jumper. Assisted by Jon Davis.,68,59
2:16,232,Joe Chealey made Three Point Jumper.,71,59
2:06,2429,Austin Ajukwa made Three Point Jumper. Assisted by Jon Davis.,71,62
1:51,232,Grant Riller Turnover.,71,62
1:34,232,Foul on Nick Harris.,71,62
1:34,2429,Andrien White made Free Throw.,71,63
1:34,2429,Andrien White made Free Throw.,71,64
1:18,2429,Foul on Najee Garvin.,71,64
1:16,2429,Foul on Austin Ajukwa.,71,64
1:16,232,Osinachi Smart made Free Throw.,72,64
1:16,232,Osinachi Smart made Free Throw.,73,64
1:06,232,Foul on Grant Riller.,73,64
1:06,2429,Austin Ajukwa made Free Throw.,73,65
1:06,2429,Austin Ajukwa made Free Throw.,73,66
1:04,2429,Foul on Andrien White.,73,66
1:04,232,Jaylen McManus made Free Throw.,74,66
1:04,232,Jaylen McManus missed Free Throw.,74,66
1:04,2429,Hudson Price Defensive Rebound.,74,66
0:52,2429,Austin Ajukwa made Jumper.,74,68
0:51,2429,Foul on Ryan Murphy.,74,68
0:51,232,Joe Chealey made Free Throw.,75,68
0:51,232,Joe Chealey made Free Throw.,76,68
0:44,2429,Jon Davis missed Jumper.,76,68
0:44,232,Cameron Johnson Defensive Rebound.,76,68
0:39,2429,Foul on Jon Davis.,76,68
0:39,232,Cameron Johnson missed Free Throw.,76,68
0:39,232,Charleston Deadball Team Rebound.,76,68
0:39,232,Cameron Johnson made Free Throw.,77,68
0:33,2429,Austin Ajukwa missed Three Point Jumper.,77,68
0:33,2429,Andrien White Offensive Rebound.,77,68
0:28,2429,Andrien White made Layup.,77,70
0:19,2429,Foul on Luka Vasic.,77,70
0:19,232,Grant Riller made Free Throw.,78,70
0:19,232,Grant Riller made Free Throw.,79,70
0:14,2429,Andrien White Turnover.,79,70
0:11,232,Joe Chealey Steal.,79,70
0:11,2429,Foul on Andrien White.,79,70
0:11,232,Joe Chealey made Free Throw.,80,70
0:11,232,Joe Chealey made Free Throw.,81,70
0:06,2429,Jon Davis made Layup.,81,72
0:00,2429,End of Game,81,72
