Navy,2803,Bryant,2426
3:37,2803,Ryan Layman Defensive Rebound.,26,25
3:25,2803,Bosko Kostur made Layup.,26,27
3:13,2426,Hasan Abdullah made Jumper.,28,27
2:54,2803,Bosko Kostur Turnover.,28,27
2:54,2426,Hasan Abdullah Steal.,28,27
2:54,2803,Foul on Taylor McHugh.,28,27
2:40,2426,Shawn Anderson made Layup.,30,27
2:40,2803,Foul on Aram Martin.,30,27
2:40,2426,Shawn Anderson made Free Throw.,31,27
2:23,2426,Foul on Shawn Anderson.,31,27
2:23,2803,Ikenna Ndugba made Free Throw.,31,28
2:23,2803,Ikenna Ndugba made Free Throw.,31,29
2:06,2426,Tyler Riemersma Turnover.,31,29
2:06,2426,Foul on Tyler Riemersma.,31,29
2:06,2803,Bosko Kostur made Free Throw.,31,30
2:06,2803,Bosko Kostur made Free Throw.,31,31
1:39,2426,Bryce Dulin missed Three Point Jumper.,31,31
1:39,2426,Tom Lacey Offensive Rebound.,31,31
1:35,2426,Tom Lacey made Layup.,33,31
1:05,2803,Ikenna Ndugba missed Jumper.,33,31
1:05,2426,Tom Lacey Defensive Rebound.,33,31
0:58,2426,Hasan Abdullah missed Layup.,33,31
0:58,2803,Ryan Layman Defensive Rebound.,33,31
0:48,2803,Bosko Kostur made Layup. Assisted by Ikenna Ndugba.,33,33
0:19,2426,Tom Lacey Turnover.,33,33
0:19,2426,Foul on Tom Lacey.,33,33
0:03,2426,Foul on Mo Lewis.,33,33
0:03,2803,Ikenna Ndugba made Free Throw.,33,34
0:03,2803,Ikenna Ndugba made Free Throw.,33,35
0:02,2426,Navy  Turnover.,33,35
0:00,2803,End of 1st half,33,35
19:40,2803,Hunter Ware Turnover.,33,35
19:29,2803,Foul on Hunter Ware.,33,35
19:16,2426,Bryce Dulin missed Layup.,33,35
19:16,2803,Sabastian Townes Defensive Rebound.,33,35
19:04,2803,Adam Grant missed Jumper.,33,35
19:04,2803,Sabastian Townes Offensive Rebound.,33,35
19:03,2426,Foul on Evan Wieck.,33,35
18:57,2803,Sabastian Townes Turnover.,33,35
18:57,2803,Foul on Sabastian Townes.,33,35
18:46,2426,Bryce Dulin made Layup.,35,35
18:28,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,35,38
18:16,2426,Hasan Abdullah missed Three Point Jumper.,35,38
18:16,2803,Bosko Kostur Defensive Rebound.,35,38
17:48,2803,Sabastian Townes Turnover.,35,38
17:48,2426,Hasan Abdullah Steal.,35,38
17:25,2426,Tom Lacey made Layup.,37,38
17:01,2803,Sabastian Townes missed Layup.,37,38
17:01,2803,Sabastian Townes Offensive Rebound.,37,38
17:00,2803,Sabastian Townes made Layup.,37,40
17:00,2426,Foul on Hasan Abdullah.,37,40
17:00,2803,Sabastian Townes made Free Throw.,37,41
16:44,2426,Tom Lacey made Jumper.,39,41
16:22,2426,Foul on Shawn Anderson.,39,41
16:19,2803,Bosko Kostur missed Jumper.,39,41
16:19,2426,Cam Davis Defensive Rebound.,39,41
16:12,2426,Evan Wieck missed Layup.,39,41
16:12,2803,Adam Grant Defensive Rebound.,39,41
16:06,2803,Ikenna Ndugba missed Three Point Jumper.,39,41
16:06,2426,Tom Lacey Defensive Rebound.,39,41
16:00,2426,Evan Wieck made Layup. Assisted by Tom Lacey.,41,41
16:00,2803,Foul on Ikenna Ndugba.,41,41
16:00,2803,Official TV Timeout,41,41
16:00,2426,Evan Wieck made Free Throw.,42,41
15:35,2803,Adam Grant made Three Point Jumper. Assisted by Ryan Layman.,42,44
15:17,2803,Foul on Ryan Layman.,42,44
15:01,2803,Foul on Aram Martin.,42,44
15:01,2426,Tom Lacey made Free Throw.,43,44
15:01,2426,Tom Lacey made Free Throw.,44,44
14:45,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,44,47
14:21,2426,Bryce Dulin missed Three Point Jumper.,44,47
14:21,2803,Bosko Kostur Defensive Rebound.,44,47
14:19,2426,Foul on George Kiernan.,44,47
14:03,2803,Sabastian Townes Turnover.,44,47
14:03,2803,Foul on Sabastian Townes.,44,47
13:54,2426,George Kiernan made Three Point Jumper. Assisted by Hasan Abdullah.,47,47
13:31,2803,Bosko Kostur made Three Point Jumper. Assisted by Sabastian Townes.,47,50
13:07,2426,Evan Wieck Turnover.,47,50
13:06,2803,Hunter Ware Steal.,47,50
12:57,2803,Sabastian Townes missed Layup.,47,50
12:57,2426,Bryce Dulin Defensive Rebound.,47,50
12:44,2803,Foul on Bosko Kostur.,47,50
12:44,2426,Evan Wieck made Free Throw.,48,50
12:44,2426,Evan Wieck missed Free Throw.,48,50
12:44,2803,Sabastian Townes Defensive Rebound.,48,50
12:33,2426,Foul on Hasan Abdullah.,48,50
12:31,2803,Bosko Kostur missed Jumper.,48,50
12:31,2426,Tom Lacey Defensive Rebound.,48,50
12:19,2426,Shawn Anderson made Three Point Jumper. Assisted by Bryce Dulin.,51,50
11:49,2803,Sabastian Townes missed Three Point Jumper.,51,50
11:49,2426,George Kiernan Defensive Rebound.,51,50
11:25,2426,Hasan Abdullah made Three Point Jumper. Assisted by Tom Lacey.,54,50
11:18,2803,Bryant  Timeout,54,50
11:18,2803,Official TV Timeout,54,50
11:04,2426,Foul on Nourse Fox.,54,50
11:03,2803,Official TV Timeout,54,50
10:55,2803,Adam Grant missed Three Point Jumper.,54,50
10:55,2803,Sabastian Townes Offensive Rebound.,54,50
10:50,2803,Sabastian Townes made Layup.,54,52
10:36,2426,Shawn Anderson Turnover.,54,52
10:28,2803,Ikenna Ndugba Turnover.,54,52
10:28,2803,Foul on Ikenna Ndugba.,54,52
10:15,2426,Shawn Anderson made Layup.,56,52
9:52,2803,Hunter Ware missed Jumper.,56,52
9:52,2426,Shawn Anderson Defensive Rebound.,56,52
9:37,2426,Tom Lacey made Layup.,58,52
9:37,2803,Foul on Aram Martin.,58,52
9:37,2426,Tom Lacey made Free Throw.,59,52
9:19,2426,Foul on Hasan Abdullah.,59,52
9:19,2803,Ikenna Ndugba made Free Throw.,59,53
9:19,2803,Ikenna Ndugba made Free Throw.,59,54
9:00,2426,Shawn Anderson made Layup.,61,54
8:36,2803,Ikenna Ndugba missed Jumper.,61,54
8:36,2426,Tom Lacey Defensive Rebound.,61,54
8:30,2426,Shawn Anderson missed Layup.,61,54
8:30,2803,Bosko Kostur Block.,61,54
8:30,2426,Navy Offensive Rebound.,61,54
8:15,2426,Shawn Anderson missed Three Point Jumper.,61,54
8:15,2426,Tom Lacey Offensive Rebound.,61,54
8:12,2426,Tom Lacey made Layup.,63,54
7:48,2803,Sabastian Townes made Layup. Assisted by Ikenna Ndugba.,63,56
7:29,2426,Tom Lacey Turnover.,63,56
7:25,2803,Official TV Timeout,63,56
7:03,2803,Adam Grant made Layup. Assisted by Sabastian Townes.,63,58
6:34,2426,Bryce Dulin made Three Point Jumper. Assisted by Shawn Anderson.,66,58
6:07,2803,Sabastian Townes missed Jumper.,66,58
6:07,2426,Shawn Anderson Defensive Rebound.,66,58
6:06,2803,Foul on Ryan Layman.,66,58
6:06,2426,Shawn Anderson made Free Throw.,67,58
6:06,2426,Shawn Anderson made Free Throw.,68,58
5:43,2803,Ikenna Ndugba Turnover.,68,58
5:21,2426,Tom Lacey made Dunk. Assisted by Bryce Dulin.,70,58
5:18,2803,Bryant  Timeout,70,58
4:57,2426,Foul on Evan Wieck.,70,58
4:57,2803,Sabastian Townes missed Free Throw.,70,58
4:57,2803,Bryant Deadball Team Rebound.,70,58
4:57,2803,Sabastian Townes made Free Throw.,70,59
4:55,2426,Tom Lacey Turnover.,70,59
4:53,2803,Bosko Kostur Steal.,70,59
4:45,2426,Foul on Bryce Dulin.,70,59
4:45,2803,Ikenna Ndugba made Free Throw.,70,60
4:45,2803,Ikenna Ndugba made Free Throw.,70,61
4:35,2426,Tom Lacey Turnover.,70,61
4:35,2426,Foul on Tom Lacey.,70,61
4:21,2803,Adam Grant missed Jumper.,70,61
4:21,2426,Nourse Fox Defensive Rebound.,70,61
4:12,2426,Nourse Fox Turnover.,70,61
3:56,2803,Taylor McHugh Turnover.,70,61
3:55,2426,Bryce Dulin Steal.,70,61
3:48,2426,Navy  Timeout,70,61
3:48,2803,Official TV Timeout,70,61
3:29,2426,Tom Lacey missed Jumper.,70,61
3:29,2803,Brandon Carroll Defensive Rebound.,70,61
3:15,2803,Ikenna Ndugba missed Jumper.,70,61
3:15,2426,Hasan Abdullah Defensive Rebound.,70,61
2:50,2426,Bryce Dulin missed Jumper.,70,61
2:50,2803,Brandon Carroll Defensive Rebound.,70,61
2:40,2803,Adam Grant made Three Point Jumper. Assisted by Ikenna Ndugba.,70,64
2:24,2426,Bryce Dulin Turnover.,70,64
2:24,2426,Foul on Bryce Dulin.,70,64
2:12,2803,Adam Grant made Three Point Jumper. Assisted by Sabastian Townes.,70,67
1:50,2803,Foul on Sabastian Townes.,70,67
1:50,2426,Shawn Anderson made Free Throw.,71,67
1:50,2426,Shawn Anderson made Free Throw.,72,67
1:29,2803,Sabastian Townes made Layup. Assisted by Ikenna Ndugba.,72,69
1:29,2426,Foul on Bryce Dulin.,72,69
1:29,2803,Sabastian Townes made Free Throw.,72,70
1:29,2426,Shawn Anderson Turnover.,72,70
1:24,2803,Adam Grant missed Three Point Jumper.,72,70
1:24,2426,Tom Lacey Defensive Rebound.,72,70
1:05,2803,Foul on Sabastian Townes.,72,70
1:05,2426,Bryce Dulin missed Free Throw.,72,70
1:05,2426,Navy Deadball Team Rebound.,72,70
1:05,2426,Bryce Dulin made Free Throw.,73,70
0:51,2803,Hunter Ware Turnover.,73,70
0:50,2426,Shawn Anderson Steal.,73,70
0:40,2803,Foul on Adam Grant.,73,70
0:40,2426,Hasan Abdullah made Free Throw.,74,70
0:40,2426,Navy  Timeout,74,70
0:40,2426,Hasan Abdullah missed Free Throw.,74,70
0:40,2803,Sabastian Townes Defensive Rebound.,74,70
0:29,2426,Foul on Bryce Dulin.,74,70
0:29,2803,Ikenna Ndugba made Free Throw.,74,71
0:29,2803,Ikenna Ndugba missed Free Throw.,74,71
0:29,2426,Shawn Anderson Defensive Rebound.,74,71
0:23,2803,Foul on Ikenna Ndugba.,74,71
0:23,2426,Bryce Dulin missed Free Throw.,74,71
0:23,2426,Navy Deadball Team Rebound.,74,71
0:23,2426,Bryce Dulin made Free Throw.,75,71
0:15,2803,Adam Grant missed Three Point Jumper.,75,71
0:15,2426,Tom Lacey Block.,75,71
0:12,2426,Hasan Abdullah Defensive Rebound.,75,71
0:12,2803,Foul on Bosko Kostur.,75,71
0:12,2426,Hasan Abdullah made Free Throw.,76,71
0:12,2426,Hasan Abdullah made Free Throw.,77,71
0:09,2803,Adam Grant missed Three Point Jumper.,77,71
0:09,2426,Bryce Dulin Defensive Rebound.,77,71
0:06,2803,Foul on Taylor McHugh.,77,71
0:06,2426,Bryce Dulin made Free Throw.,78,71
0:06,2426,Bryce Dulin made Free Throw.,79,71
0:00,2803,End of Game,79,71
