Youngstown State,2099,Canisius,2754
14:19,2099,Isaiah Reese Defensive Rebound.,11,14
13:56,2099,Jermaine Crumpton made Layup. Assisted by Isaiah Reese.,11,16
13:28,2754,Francisco Santiago missed Jumper.,11,16
13:28,2099,Malik Johnson Defensive Rebound.,11,16
13:20,2754,Foul on Cameron Morse.,11,16
13:09,2099,Spencer Foley made Three Point Jumper. Assisted by Isaiah Reese.,11,19
12:44,2754,Michael Akuchie missed Layup.,11,19
12:44,2099,Isaiah Reese Defensive Rebound.,11,19
12:41,2754,Foul on Noe Anabir.,11,19
12:32,2099,Isaiah Reese missed Three Point Jumper.,11,19
12:32,2099,Spencer Foley Offensive Rebound.,11,19
12:28,2754,Foul on Michael Akuchie.,11,19
12:28,2099,Spencer Foley missed Free Throw.,11,19
12:28,2099,Canisius Deadball Team Rebound.,11,19
12:28,2099,Spencer Foley missed Free Throw.,11,19
12:28,2754,Naz Bohannon Defensive Rebound.,11,19
12:18,2754,Braun Hartfield made Three Point Jumper.,14,19
11:57,2099,Spencer Foley made Three Point Jumper. Assisted by Isaiah Reese.,14,22
11:33,2754,Francisco Santiago made Three Point Jumper. Assisted by Braun Hartfield.,17,22
11:11,2099,Jermaine Crumpton made Jumper. Assisted by Isaiah Reese.,17,24
10:50,2754,Jaylen Benton missed Three Point Jumper.,17,24
10:50,2099,Isaiah Reese Defensive Rebound.,17,24
10:44,2099,Jermaine Crumpton missed Three Point Jumper.,17,24
10:44,2754,Jaylen Benton Defensive Rebound.,17,24
10:35,2754,Jaylen Benton missed Jumper.,17,24
10:35,2099,Jonathan Sanks Defensive Rebound.,17,24
10:27,2754,Foul on Francisco Santiago.,17,24
10:27,2099,Official TV Timeout,17,24
10:27,2099,Jonathan Sanks missed Free Throw.,17,24
10:27,2099,Canisius Deadball Team Rebound.,17,24
10:27,2099,Jonathan Sanks made Free Throw.,17,25
10:10,2754,Noe Anabir missed Jumper.,17,25
10:10,2754,Youngstown State Offensive Rebound.,17,25
10:10,2099,Foul on Jermaine Crumpton.,17,25
10:07,2754,Braun Hartfield made Layup.,19,25
10:07,2099,Foul on Scott Hitchon.,19,25
10:07,2754,Braun Hartfield missed Free Throw.,19,25
10:07,2099,Scott Hitchon Defensive Rebound.,19,25
9:39,2099,Spencer Foley made Three Point Jumper. Assisted by Jonathan Sanks.,19,28
9:20,2754,Devin Haygood missed Layup.,19,28
9:20,2099,Scott Hitchon Block.,19,28
9:17,2099,Malik Johnson Defensive Rebound.,19,28
9:11,2754,Foul on Jaylen Benton.,19,28
9:11,2754,Technical Foul on Jaylen Benton.,19,28
9:11,2754,Foul on Jaylen Benton.,19,28
9:11,2099,Spencer Foley made Free Throw.,19,29
9:11,2099,Spencer Foley made Free Throw.,19,30
9:11,2099,Malik Johnson made Free Throw.,19,31
9:11,2099,Malik Johnson made Free Throw.,19,32
9:00,2754,Cameron Morse missed Jumper.,19,32
9:00,2099,Scott Hitchon Defensive Rebound.,19,32
8:46,2099,Jermaine Crumpton Turnover.,19,32
8:46,2754,Devin Haygood Steal.,19,32
8:36,2754,Naz Bohannon made Jumper.,21,32
8:24,2754,Foul on Cameron Morse.,21,32
8:24,2099,Selvedin Planincic missed Free Throw.,21,32
8:24,2099,Canisius Deadball Team Rebound.,21,32
8:24,2099,Selvedin Planincic missed Free Throw.,21,32
8:24,2754,Devin Haygood Defensive Rebound.,21,32
8:15,2754,Garrett Covington missed Three Point Jumper.,21,32
8:15,2754,Naz Bohannon Offensive Rebound.,21,32
8:11,2754,Naz Bohannon missed Jumper.,21,32
8:11,2754,Naz Bohannon Offensive Rebound.,21,32
8:08,2754,Naz Bohannon missed Layup.,21,32
8:08,2099,Selvedin Planincic Block.,21,32
8:05,2099,Malik Johnson Defensive Rebound.,21,32
7:52,2099,Official TV Timeout,21,32
7:44,2099,Jonathan Sanks missed Three Point Jumper.,21,32
7:44,2754,Braun Hartfield Defensive Rebound.,21,32
7:42,2099,Foul on Isaiah Reese.,21,32
7:42,2754,Braun Hartfield missed Free Throw.,21,32
7:42,2099,Selvedin Planincic Defensive Rebound.,21,32
7:31,2099,Isaiah Reese made Layup.,21,34
7:23,2754,Cameron Morse missed Layup.,21,34
7:23,2754,Devin Haygood Offensive Rebound.,21,34
7:19,2754,Devin Haygood made Two Point Tip Shot.,23,34
6:54,2099,Selvedin Planincic made Dunk. Assisted by Malik Johnson.,23,36
6:30,2754,Devin Haygood missed Layup.,23,36
6:30,2099,Isaiah Reese Defensive Rebound.,23,36
6:18,2099,Jermaine Crumpton made Dunk. Assisted by Isaiah Reese.,23,38
6:18,2754,Foul on Devin Haygood.,23,38
6:18,2099,Jermaine Crumpton made Free Throw.,23,39
6:08,2099,Foul on Selvedin Planincic.,23,39
6:08,2754,Cameron Morse made Free Throw.,24,39
6:08,2754,Cameron Morse made Free Throw.,25,39
5:54,2099,Isaiah Reese missed Three Point Jumper.,25,39
5:54,2099,Jermaine Crumpton Offensive Rebound.,25,39
5:36,2099,Isaiah Reese missed Layup.,25,39
5:36,2099,Isaiah Reese Offensive Rebound.,25,39
5:31,2099,Isaiah Reese Turnover.,25,39
5:24,2754,Braun Hartfield made Three Point Jumper. Assisted by Cameron Morse.,28,39
4:56,2754,Foul on Michael Akuchie.,28,39
4:56,2099,Isaiah Reese made Free Throw.,28,40
4:56,2099,Isaiah Reese made Free Throw.,28,41
4:45,2754,Francisco Santiago Turnover.,28,41
4:43,2099,Isaiah Reese Steal.,28,41
4:41,2099,Spencer Foley made Three Point Jumper. Assisted by Malik Johnson.,28,44
4:15,2754,Francisco Santiago made Three Point Jumper.,31,44
4:00,2099,Spencer Foley made Three Point Jumper. Assisted by Isaiah Reese.,31,47
3:46,2754,Braun Hartfield missed Jumper.,31,47
3:46,2099,Isaiah Reese Defensive Rebound.,31,47
3:27,2099,Isaiah Reese Turnover.,31,47
3:26,2754,Garrett Covington Steal.,31,47
3:24,2754,Garrett Covington made Layup.,33,47
3:08,2099,Isaiah Reese Turnover.,33,47
3:07,2754,Braun Hartfield Steal.,33,47
3:05,2754,Braun Hartfield made Dunk.,35,47
3:05,2099,Canisius  Timeout,35,47
3:05,2099,Official TV Timeout,35,47
2:34,2099,Malik Johnson missed Jumper.,35,47
2:34,2754,Cameron Morse Defensive Rebound.,35,47
2:25,2754,Garrett Covington Turnover.,35,47
2:25,2754,Foul on Garrett Covington.,35,47
2:13,2754,Foul on Noe Anabir.,35,47
2:13,2099,D.J. Heath missed Free Throw.,35,47
2:13,2099,Canisius Deadball Team Rebound.,35,47
2:13,2099,D.J. Heath missed Free Throw.,35,47
2:13,2754,Youngstown State Defensive Rebound.,35,47
2:13,2099,Foul on Marcale Lotts.,35,47
2:13,2754,Braun Hartfield missed Free Throw.,35,47
2:13,2754,Youngstown State Deadball Team Rebound.,35,47
2:13,2754,Braun Hartfield made Free Throw.,36,47
1:55,2099,Malik Johnson missed Layup.,36,47
1:55,2099,Marcale Lotts Offensive Rebound.,36,47
1:51,2099,Marcale Lotts missed Two Point Tip Shot.,36,47
1:51,2754,Garrett Covington Defensive Rebound.,36,47
1:47,2754,Garrett Covington made Three Point Jumper. Assisted by Cameron Morse.,39,47
1:22,2099,Malik Johnson made Layup. Assisted by Spencer Foley.,39,49
0:56,2754,Noe Anabir missed Jumper.,39,49
0:56,2099,Jermaine Crumpton Defensive Rebound.,39,49
0:42,2099,Malik Johnson made Layup.,39,51
0:32,2754,Youngstown State  Timeout,39,51
0:11,2754,Braun Hartfield Turnover.,39,51
0:11,2754,Foul on Braun Hartfield.,39,51
0:03,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,39,54
0:00,2099,End of 1st half,39,54
19:49,2099,Takal Molson missed Three Point Jumper.,39,54
19:49,2099,Canisius Offensive Rebound.,39,54
19:47,2754,Foul on Devin Haygood.,39,54
19:39,2754,Foul on Braun Hartfield.,39,54
19:39,2099,Takal Molson made Free Throw.,39,55
19:39,2099,Takal Molson missed Free Throw.,39,55
19:39,2754,Naz Bohannon Defensive Rebound.,39,55
19:22,2754,Cameron Morse missed Three Point Jumper.,39,55
19:22,2099,Canisius Defensive Rebound.,39,55
19:04,2099,Marcale Lotts made Dunk. Assisted by Isaiah Reese.,39,57
18:50,2754,Naz Bohannon made Layup. Assisted by Devin Haygood.,41,57
18:31,2099,Marcale Lotts Turnover.,41,57
18:17,2754,Braun Hartfield missed Jumper.,41,57
18:17,2754,Youngstown State Offensive Rebound.,41,57
18:12,2754,Cameron Morse missed Three Point Jumper.,41,57
18:12,2754,Garrett Covington Offensive Rebound.,41,57
18:06,2754,Garrett Covington made Layup.,43,57
17:45,2099,Takal Molson missed Layup.,43,57
17:45,2754,Braun Hartfield Block.,43,57
17:44,2754,Youngstown State Defensive Rebound.,43,57
17:37,2754,Devin Haygood missed Jumper.,43,57
17:37,2099,Malik Johnson Defensive Rebound.,43,57
17:20,2099,Jermaine Crumpton missed Jumper.,43,57
17:20,2099,Canisius Offensive Rebound.,43,57
17:11,2099,Isaiah Reese made Three Point Jumper. Assisted by Takal Molson.,43,60
16:50,2754,Naz Bohannon made Jumper.,45,60
16:25,2099,Isaiah Reese made Three Point Jumper. Assisted by Takal Molson.,45,63
16:05,2754,Devin Haygood Turnover.,45,63
16:03,2099,Takal Molson Steal.,45,63
15:57,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Isaiah Reese.,45,66
15:53,2754,Youngstown State  Timeout,45,66
15:53,2099,Official TV Timeout,45,66
15:38,2754,Francisco Santiago missed Three Point Jumper.,45,66
15:38,2099,Isaiah Reese Defensive Rebound.,45,66
15:30,2754,Foul on Devin Haygood.,45,66
15:30,2099,Official TV Timeout,45,66
15:30,2099,Marcale Lotts missed Free Throw.,45,66
15:30,2099,Canisius Deadball Team Rebound.,45,66
15:30,2099,Marcale Lotts missed Free Throw.,45,66
15:30,2754,Devin Haygood Defensive Rebound.,45,66
15:11,2754,Francisco Santiago missed Three Point Jumper.,45,66
15:11,2099,Takal Molson Defensive Rebound.,45,66
15:00,2099,Takal Molson missed Layup.,45,66
15:00,2754,Cameron Morse Defensive Rebound.,45,66
14:52,2754,Cameron Morse made Jumper.,47,66
14:40,2099,Jalanni White made Dunk. Assisted by Takal Molson.,47,68
14:27,2099,Foul on Marcale Lotts.,47,68
14:22,2754,Braun Hartfield missed Jumper.,47,68
14:22,2099,Isaiah Reese Defensive Rebound.,47,68
14:15,2099,Malik Johnson made Three Point Jumper. Assisted by Isaiah Reese.,47,71
13:51,2754,Devin Haygood made Jumper. Assisted by Francisco Santiago.,49,71
13:36,2099,Scott Hitchon Turnover.,49,71
13:36,2099,Foul on Scott Hitchon.,49,71
13:27,2754,Naz Bohannon missed Layup.,49,71
13:27,2099,Jalanni White Block.,49,71
13:24,2099,Takal Molson Defensive Rebound.,49,71
13:22,2099,Takal Molson Turnover.,49,71
13:22,2099,Foul on Takal Molson.,49,71
13:15,2099,Foul on Jalanni White.,49,71
13:15,2754,Naz Bohannon made Free Throw.,50,71
13:15,2754,Naz Bohannon made Free Throw.,51,71
12:53,2099,Isaiah Reese missed Three Point Jumper.,51,71
12:53,2754,Noe Anabir Defensive Rebound.,51,71
12:46,2754,Noe Anabir Turnover.,51,71
12:44,2099,Isaiah Reese Steal.,51,71
12:42,2099,Isaiah Reese missed Jumper.,51,71
12:42,2754,Garrett Covington Defensive Rebound.,51,71
12:35,2754,Garrett Covington missed Three Point Jumper.,51,71
12:35,2099,Canisius Defensive Rebound.,51,71
12:33,2754,Foul on Naz Bohannon.,51,71
12:15,2099,Isaiah Reese made Layup.,51,73
12:05,2754,Noe Anabir made Layup. Assisted by Naz Bohannon.,53,73
11:45,2099,Takal Molson Turnover.,53,73
11:44,2754,Francisco Santiago Steal.,53,73
11:41,2754,Francisco Santiago missed Layup.,53,73
11:41,2099,Jalanni White Block.,53,73
11:38,2099,Malik Johnson Defensive Rebound.,53,73
11:32,2099,Malik Johnson Turnover.,53,73
11:26,2754,Garrett Covington missed Three Point Jumper.,53,73
11:26,2754,Noe Anabir Offensive Rebound.,53,73
11:22,2099,Foul on Jalanni White.,53,73
11:22,2099,Official TV Timeout,53,73
11:22,2754,Noe Anabir made Free Throw.,54,73
11:22,2754,Noe Anabir made Free Throw.,55,73
11:08,2099,Scott Hitchon Turnover.,55,73
11:08,2099,Foul on Scott Hitchon.,55,73
11:00,2754,Noe Anabir made Layup. Assisted by Noe Anabir.,57,73
10:42,2099,Malik Johnson Turnover.,57,73
10:34,2754,Noe Anabir missed Layup.,57,73
10:34,2099,Scott Hitchon Block.,57,73
10:32,2754,Braun Hartfield Offensive Rebound.,57,73
10:31,2099,Foul on Scott Hitchon.,57,73
10:31,2754,Braun Hartfield made Free Throw.,58,73
10:31,2754,Braun Hartfield missed Free Throw.,58,73
10:31,2099,Marcale Lotts Defensive Rebound.,58,73
10:23,2754,Foul on Braun Hartfield.,58,73
10:02,2754,Foul on Garrett Covington.,58,73
10:02,2099,Marcale Lotts missed Free Throw.,58,73
10:02,2099,Canisius Deadball Team Rebound.,58,73
10:02,2099,Marcale Lotts missed Free Throw.,58,73
10:02,2754,Michael Akuchie Defensive Rebound.,58,73
9:50,2099,Foul on Jonathan Sanks.,58,73
9:50,2754,Braun Hartfield made Free Throw.,59,73
9:50,2754,Braun Hartfield made Free Throw.,60,73
9:29,2099,Spencer Foley missed Three Point Jumper.,60,73
9:29,2754,Noe Anabir Defensive Rebound.,60,73
9:22,2754,Braun Hartfield missed Three Point Jumper.,60,73
9:22,2099,Isaiah Reese Defensive Rebound.,60,73
9:02,2099,Marcale Lotts Turnover.,60,73
8:47,2754,Noe Anabir made Layup.,62,73
8:26,2099,Isaiah Reese missed Three Point Jumper.,62,73
8:26,2754,Michael Akuchie Defensive Rebound.,62,73
8:14,2099,Foul on Marcale Lotts.,62,73
8:14,2754,Michael Akuchie made Free Throw.,63,73
8:14,2754,Michael Akuchie made Free Throw.,64,73
7:55,2099,Malik Johnson made Layup.,64,75
7:47,2754,Braun Hartfield made Layup. Assisted by Francisco Santiago.,66,75
7:19,2099,Isaiah Reese Turnover.,66,75
7:17,2754,Francisco Santiago Steal.,66,75
7:14,2754,Cameron Morse made Three Point Jumper. Assisted by Francisco Santiago.,69,75
7:09,2754,Youngstown State  Timeout,69,75
7:09,2099,Official TV Timeout,69,75
6:59,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Malik Johnson.,69,78
6:43,2754,Braun Hartfield made Dunk.,71,78
6:21,2099,Jermaine Crumpton made Dunk.,71,80
6:08,2754,Cameron Morse missed Jumper.,71,80
6:08,2754,Youngstown State Offensive Rebound.,71,80
6:01,2754,Cameron Morse missed Layup.,71,80
6:01,2099,Takal Molson Block.,71,80
5:58,2099,Takal Molson Defensive Rebound.,71,80
5:53,2099,Spencer Foley made Layup. Assisted by Takal Molson.,71,82
5:53,2754,Foul on Naz Bohannon.,71,82
5:53,2099,Spencer Foley made Free Throw.,71,83
5:48,2754,Braun Hartfield made Three Point Jumper. Assisted by Naz Bohannon.,74,83
5:23,2099,Malik Johnson missed Jumper.,74,83
5:23,2754,Braun Hartfield Defensive Rebound.,74,83
5:14,2754,Braun Hartfield Turnover.,74,83
5:13,2099,Isaiah Reese Steal.,74,83
5:10,2099,Isaiah Reese missed Layup.,74,83
5:10,2099,Takal Molson Offensive Rebound.,74,83
5:06,2099,Takal Molson missed Two Point Tip Shot.,74,83
5:06,2754,Noe Anabir Defensive Rebound.,74,83
4:53,2754,Braun Hartfield missed Three Point Jumper.,74,83
4:53,2099,Jermaine Crumpton Defensive Rebound.,74,83
4:31,2099,Malik Johnson made Layup. Assisted by Spencer Foley.,74,85
4:05,2754,Cameron Morse Turnover.,74,85
4:05,2754,Foul on Cameron Morse.,74,85
3:50,2099,Malik Johnson made Layup. Assisted by Isaiah Reese.,74,87
3:23,2754,Cameron Morse made Three Point Jumper.,77,87
3:19,2754,Youngstown State  Timeout,77,87
3:19,2099,Official TV Timeout,77,87
2:54,2099,Takal Molson made Dunk. Assisted by Malik Johnson.,77,89
2:54,2754,Foul on Cameron Morse.,77,89
2:54,2099,Takal Molson made Free Throw.,77,90
2:48,2754,Braun Hartfield made Three Point Jumper. Assisted by Naz Bohannon.,80,90
2:29,2099,Isaiah Reese missed Layup.,80,90
2:29,2754,Devin Haygood Block.,80,90
2:26,2754,Naz Bohannon Defensive Rebound.,80,90
2:23,2754,Braun Hartfield missed Jumper.,80,90
2:23,2099,Canisius Defensive Rebound.,80,90
2:18,2754,Foul on Garrett Covington.,80,90
2:18,2099,Malik Johnson made Free Throw.,80,91
2:18,2099,Malik Johnson missed Free Throw.,80,91
2:18,2754,Naz Bohannon Defensive Rebound.,80,91
1:57,2754,Braun Hartfield Turnover.,80,91
1:50,2099,Malik Johnson made Layup.,80,93
1:40,2754,Francisco Santiago missed Three Point Jumper.,80,93
1:40,2099,Canisius Deadball Team Rebound.,80,93
1:33,2099,Jermaine Crumpton made Dunk. Assisted by Spencer Foley.,80,95
1:24,2754,Cameron Morse missed Three Point Jumper.,80,95
1:24,2754,Braun Hartfield Offensive Rebound.,80,95
1:22,2754,Braun Hartfield made Layup.,82,95
1:22,2099,Foul on Isaiah Reese.,82,95
1:22,2754,Braun Hartfield missed Free Throw.,82,95
1:22,2099,Isaiah Reese Defensive Rebound.,82,95
1:07,2099,Malik Johnson made Layup.,82,97
1:07,2754,Foul on Devin Haygood.,82,97
1:07,2099,Malik Johnson made Free Throw.,82,98
1:07,2099,Malik Johnson made Free Throw.,82,99
1:05,2099,Isaiah Reese made Layup. Assisted by Malik Johnson.,82,101
0:58,2099,Foul on Takal Molson.,82,101
0:58,2754,Garrett Covington missed Free Throw.,82,101
0:58,2754,Youngstown State Deadball Team Rebound.,82,101
0:58,2754,Garrett Covington missed Free Throw.,82,101
0:58,2099,Jermaine Crumpton Defensive Rebound.,82,101
0:36,2099,Isaiah Reese made Layup.,82,103
0:36,2754,Foul on Michael Akuchie.,82,103
0:36,2099,Isaiah Reese made Free Throw.,82,104
0:36,2099,Canisius  Timeout,82,104
0:25,2099,Foul on Takal Molson.,82,104
0:25,2754,Braun Hartfield made Free Throw.,83,104
0:25,2754,Braun Hartfield missed Free Throw.,83,104
0:25,2754,Michael Akuchie Offensive Rebound.,83,104
0:22,2754,Michael Akuchie missed Jumper.,83,104
0:22,2754,Youngstown State Offensive Rebound.,83,104
0:21,2099,Foul on Jonathan Sanks.,83,104
0:21,2754,Braun Hartfield missed Free Throw.,83,104
0:21,2754,Youngstown State Deadball Team Rebound.,83,104
0:21,2754,Braun Hartfield made Free Throw.,84,104
0:00,2099,End of Game,84,104
