Maine,6,South Alabama,311
12:47,311,Foul on Trae Bryant.,7,10
12:47,6,Trhae Mitchell missed Free Throw.,7,10
12:47,311,Ilker Er Defensive Rebound.,7,10
12:22,311,Ilija Stojiljkovic Turnover.,7,10
12:12,6,Rodrick Sikes Turnover.,7,10
11:53,311,Aaron Calixte missed Layup.,7,10
11:53,6,Kevin Morris Defensive Rebound.,7,10
11:44,6,Rodrick Sikes Turnover.,7,10
11:43,6,Official TV Timeout,7,10
11:31,311,Aaron Calixte made Layup.,9,10
11:31,6,Foul on Dederick Lee.,9,10
11:31,311,Aaron Calixte made Free Throw.,10,10
11:14,6,Nick Davis missed Three Point Jumper.,10,10
11:14,311,Ilker Er Defensive Rebound.,10,10
11:06,6,Foul on Dederick Lee.,10,10
11:06,311,Ilker Er missed Free Throw.,10,10
11:06,311,Maine Deadball Team Rebound.,10,10
11:05,311,Ilker Er made Free Throw.,11,10
11:05,311,Ilker Er made Free Throw.,12,10
10:54,6,Foul on Nick Davis.,12,10
10:54,6,Nick Davis Turnover.,12,10
10:29,311,Andrew Fleming missed Three Point Jumper.,12,10
10:29,6,South Alabama Defensive Rebound.,12,10
10:28,311,Foul on Ilker Er.,12,10
10:10,6,Rodrick Sikes missed Jumper.,12,10
10:10,6,Kevin Morris Offensive Rebound.,12,10
10:05,6,Kevin Morris made Layup.,12,12
9:44,311,Aaron Calixte made Jumper.,14,12
9:27,6,Josh Ajayi missed Three Point Jumper.,14,12
9:27,311,Aaron Calixte Defensive Rebound.,14,12
9:07,311,Dennis Ashley missed Three Point Jumper.,14,12
9:07,6,Jordan Andrews Defensive Rebound.,14,12
9:03,6,Jordan Andrews Turnover.,14,12
8:50,311,Duncan Douglas missed Three Point Jumper.,14,12
8:50,6,Trhae Mitchell Defensive Rebound.,14,12
8:37,6,Trhae Mitchell made Jumper.,14,14
8:30,311,Andrew Fleming made Dunk. Assisted by Trae Bryant.,16,14
8:30,6,Foul on Kevin Morris.,16,14
8:30,311,Andrew Fleming made Free Throw.,17,14
8:18,311,Foul on Duncan Douglas.,17,14
8:05,6,Josh Ajayi made Jumper.,17,16
7:38,311,Duncan Douglas missed Three Point Jumper.,17,16
7:38,6,Dederick Lee Defensive Rebound.,17,16
7:29,6,Dederick Lee made Three Point Jumper. Assisted by Trhae Mitchell.,17,19
7:06,311,Aaron Calixte missed Layup.,17,19
7:06,6,Trhae Mitchell Block.,17,19
7:06,311,Maine Offensive Rebound.,17,19
7:06,6,Official TV Timeout,17,19
6:56,311,Aaron Calixte made Jumper.,19,19
6:41,6,Josh Ajayi made Layup. Assisted by Jordan Andrews.,19,21
6:25,311,Trae Bryant made Three Point Jumper. Assisted by Danny Evans.,22,21
6:05,6,Josh Ajayi made Layup.,22,23
5:49,311,Danny Evans missed Three Point Jumper.,22,23
5:49,6,Josh Ajayi Defensive Rebound.,22,23
5:40,311,Foul on Aaron Calixte.,22,23
5:40,6,Jordan Andrews made Free Throw.,22,24
5:40,6,Jordan Andrews made Free Throw.,22,25
5:40,6,Jordan Andrews made Free Throw.,22,26
5:18,311,Ilker Er missed Jumper.,22,26
5:18,6,Rozelle Nix Defensive Rebound.,22,26
5:09,6,Jordan Andrews missed Three Point Jumper.,22,26
5:09,311,Trae Bryant Defensive Rebound.,22,26
5:02,311,Foul on Vernon Lowndes Jr..,22,26
5:02,311,Vernon Lowndes Jr. Turnover.,22,26
5:02,311,Maine  Timeout,22,26
4:50,6,Josh Ajayi missed Jumper.,22,26
4:50,6,South Alabama Offensive Rebound.,22,26
4:49,6,Foul on Rozelle Nix.,22,26
4:49,6,Rozelle Nix Turnover.,22,26
4:21,311,Celio Araujo missed Three Point Jumper.,22,26
4:21,311,Trae Bryant Offensive Rebound.,22,26
4:10,311,Trae Bryant missed Three Point Jumper.,22,26
4:10,6,Jordan Andrews Defensive Rebound.,22,26
4:00,6,Foul on Rozelle Nix.,22,26
4:00,6,Rozelle Nix Turnover.,22,26
3:43,311,Ilija Stojiljkovic made Layup.,24,26
3:23,6,Herb McGee Turnover.,24,26
3:22,311,Aaron Calixte Steal.,24,26
3:19,311,Aaron Calixte Turnover.,24,26
3:17,6,Rodrick Sikes Steal.,24,26
2:57,6,Rodrick Sikes made Three Point Jumper. Assisted by Trhae Mitchell.,24,29
2:43,6,Foul on Herb McGee.,24,29
2:43,6,Official TV Timeout,24,29
2:43,311,Trae Bryant made Free Throw.,25,29
2:43,311,Trae Bryant made Free Throw.,26,29
2:22,6,Josh Ajayi missed Jumper.,26,29
2:22,311,Andrew Fleming Block.,26,29
2:19,311,Andrew Fleming Defensive Rebound.,26,29
2:08,311,Andrew Fleming Turnover.,26,29
2:06,6,Trhae Mitchell Steal.,26,29
1:52,6,Josh Ajayi made Layup. Assisted by Jordan Andrews.,26,31
1:21,311,Ilija Stojiljkovic Turnover.,26,31
1:20,6,Trhae Mitchell Steal.,26,31
1:15,311,Foul on Trae Bryant.,26,31
1:15,6,Jordan Andrews made Free Throw.,26,32
1:15,6,Jordan Andrews made Free Throw.,26,33
0:48,311,Trae Bryant Turnover.,26,33
0:40,6,Jordan Andrews missed Layup.,26,33
0:40,311,Ilija Stojiljkovic Block.,26,33
0:40,6,South Alabama Offensive Rebound.,26,33
0:37,6,Rodrick Sikes made Three Point Jumper. Assisted by Jordan Andrews.,26,36
0:23,311,Danny Evans missed Layup.,26,36
0:23,6,Trhae Mitchell Defensive Rebound.,26,36
0:04,6,Jordan Andrews missed Three Point Jumper.,26,36
0:04,311,Danny Evans Defensive Rebound.,26,36
0:00,311,Danny Evans missed Layup.,26,36
0:00,6,South Alabama Defensive Rebound.,26,36
0:00,6,End of 1st half,26,36
19:39,6,Herb McGee missed Three Point Jumper.,26,36
19:39,311,Ilija Stojiljkovic Defensive Rebound.,26,36
19:30,311,Trae Bryant missed Jumper.,26,36
19:30,311,Aaron Calixte Offensive Rebound.,26,36
19:07,311,Andrew Fleming missed Jumper.,26,36
19:07,6,Trhae Mitchell Defensive Rebound.,26,36
18:41,6,Jordan Andrews missed Three Point Jumper.,26,36
18:41,311,Ilija Stojiljkovic Defensive Rebound.,26,36
18:30,311,Andrew Fleming made Layup.,28,36
18:06,6,Trhae Mitchell made Layup.,28,38
17:35,311,Aaron Calixte made Jumper.,30,38
17:10,6,Trhae Mitchell made Three Point Jumper. Assisted by Herb McGee.,30,41
16:48,311,Andrew Fleming Turnover.,30,41
16:35,6,Herb McGee Turnover.,30,41
16:19,311,Ilker Er missed Three Point Jumper.,30,41
16:19,311,Ilker Er Offensive Rebound.,30,41
16:15,311,Foul on Ilker Er.,30,41
16:15,311,Ilker Er Turnover.,30,41
16:05,6,Jordan Andrews Turnover.,30,41
15:52,311,Ilker Er missed Jumper.,30,41
15:52,6,Herb McGee Defensive Rebound.,30,41
15:40,6,Josh Ajayi missed Jumper.,30,41
15:40,311,Ilker Er Defensive Rebound.,30,41
15:26,6,Foul on Jordan Andrews.,30,41
15:26,6,Official TV Timeout,30,41
15:20,311,Dennis Ashley missed Jumper.,30,41
15:20,6,Josh Ajayi Defensive Rebound.,30,41
14:57,311,Foul on Aaron Calixte.,30,41
14:50,6,Rodrick Sikes missed Jumper.,30,41
14:50,6,Rodrick Sikes Offensive Rebound.,30,41
14:45,6,Rodrick Sikes made Layup.,30,43
14:19,311,Ilker Er missed Three Point Jumper.,30,43
14:19,6,Trhae Mitchell Defensive Rebound.,30,43
14:12,6,Foul on Herb McGee.,30,43
14:12,6,Herb McGee Turnover.,30,43
13:57,311,Ilker Er made Layup.,32,43
13:36,6,Foul on Rodrick Sikes.,32,43
13:36,6,Rodrick Sikes Turnover.,32,43
13:16,311,Trae Bryant made Layup.,34,43
13:02,6,Nick Davis made Three Point Jumper. Assisted by Dederick Lee.,34,46
12:31,311,Aaron Calixte missed Jumper.,34,46
12:31,6,Trhae Mitchell Block.,34,46
12:29,6,Josh Ajayi Defensive Rebound.,34,46
12:22,6,Dederick Lee missed Three Point Jumper.,34,46
12:22,311,Trae Bryant Defensive Rebound.,34,46
12:14,311,Foul on Duncan Douglas.,34,46
12:14,311,Duncan Douglas Turnover.,34,46
12:03,6,Rodrick Sikes missed Three Point Jumper.,34,46
12:03,6,South Alabama Offensive Rebound.,34,46
12:00,311,Foul on Miks Antoms.,34,46
11:59,6,Official TV Timeout,34,46
11:39,6,Kevin Morris made Jumper.,34,48
11:24,6,Foul on Nick Davis.,34,48
11:23,311,Dennis Ashley missed Three Point Jumper.,34,48
11:23,6,Kevin Morris Defensive Rebound.,34,48
11:11,6,Nick Davis missed Jumper.,34,48
11:11,6,South Alabama Offensive Rebound.,34,48
10:53,6,Nick Davis made Dunk.,34,50
10:47,6,Foul on Kevin Morris.,34,50
10:28,311,Aaron Calixte missed Jumper.,34,50
10:28,311,Miks Antoms Offensive Rebound.,34,50
10:28,6,Foul on Dederick Lee.,34,50
10:13,311,Andrew Fleming missed Jumper.,34,50
10:13,6,Nick Davis Defensive Rebound.,34,50
9:52,6,Nick Davis missed Three Point Jumper.,34,50
9:52,311,Dennis Ashley Defensive Rebound.,34,50
9:46,311,Dennis Ashley missed Layup.,34,50
9:46,6,Dederick Lee Block.,34,50
9:46,311,Maine Offensive Rebound.,34,50
9:20,311,Andrew Fleming missed Layup.,34,50
9:20,311,Andrew Fleming Offensive Rebound.,34,50
9:20,6,Foul on Dederick Lee.,34,50
9:20,311,Andrew Fleming made Free Throw.,35,50
9:20,311,Andrew Fleming made Free Throw.,36,50
9:01,6,Rodrick Sikes made Layup. Assisted by Jordan Andrews.,36,52
8:35,311,Danny Evans made Layup. Assisted by Andrew Fleming.,38,52
8:24,311,Foul on Trae Bryant.,38,52
8:20,6,Jordan Andrews made Layup. Assisted by Herb McGee.,38,54
8:12,311,Aaron Calixte missed Three Point Jumper.,38,54
8:12,6,Nick Davis Defensive Rebound.,38,54
7:43,6,Rodrick Sikes missed Three Point Jumper.,38,54
7:43,311,Ilker Er Defensive Rebound.,38,54
7:36,6,Foul on Jordan Andrews.,38,54
7:36,6,Official TV Timeout,38,54
7:36,311,Trae Bryant missed Free Throw.,38,54
7:36,6,Herb McGee Defensive Rebound.,38,54
7:24,6,Official TV Timeout,38,54
7:19,6,Trhae Mitchell missed Layup.,38,54
7:19,311,Ilija Stojiljkovic Defensive Rebound.,38,54
7:12,311,Aaron Calixte Turnover.,38,54
7:06,6,Rodrick Sikes missed Three Point Jumper.,38,54
7:06,311,Danny Evans Defensive Rebound.,38,54
6:49,6,Foul on Herb McGee.,38,54
6:49,311,Ilija Stojiljkovic missed Free Throw.,38,54
6:49,6,Trhae Mitchell Defensive Rebound.,38,54
6:24,6,Josh Ajayi missed Layup.,38,54
6:24,311,Trae Bryant Defensive Rebound.,38,54
6:15,311,Aaron Calixte made Layup.,40,54
5:58,6,Josh Ajayi made Dunk. Assisted by Trhae Mitchell.,40,56
5:50,311,Aaron Calixte Turnover.,40,56
5:26,6,Rodrick Sikes made Layup.,40,58
5:19,311,Aaron Calixte missed Layup.,40,58
5:19,6,South Alabama Defensive Rebound.,40,58
5:16,311,Maine  Timeout,40,58
5:06,6,Jordan Andrews made Three Point Jumper. Assisted by Trhae Mitchell.,40,61
4:40,311,Trae Bryant missed Three Point Jumper.,40,61
4:40,6,Trhae Mitchell Defensive Rebound.,40,61
4:30,6,Josh Ajayi missed Dunk.,40,61
4:30,6,Rodrick Sikes Offensive Rebound.,40,61
4:13,6,Rodrick Sikes missed Three Point Jumper.,40,61
4:13,311,Danny Evans Defensive Rebound.,40,61
4:02,311,Danny Evans Turnover.,40,61
3:59,6,Trhae Mitchell Steal.,40,61
3:41,6,Josh Ajayi missed Layup.,40,61
3:41,311,Duncan Douglas Block.,40,61
3:41,6,South Alabama Offensive Rebound.,40,61
3:41,6,Official TV Timeout,40,61
3:37,6,Trhae Mitchell missed Layup.,40,61
3:37,311,Trae Bryant Defensive Rebound.,40,61
3:22,311,Trae Bryant missed Jumper.,40,61
3:22,6,Josh Ajayi Defensive Rebound.,40,61
3:01,6,Josh Ajayi made Layup. Assisted by Jordan Andrews.,40,63
2:44,6,Foul on Josh Ajayi.,40,63
2:44,311,Ilker Er made Free Throw.,41,63
2:44,311,Ilker Er missed Free Throw.,41,63
2:44,6,Herb McGee Defensive Rebound.,41,63
2:21,6,Kevin Morris made Layup.,41,65
2:04,311,Ilker Er made Layup.,43,65
1:31,6,Rodrick Sikes made Three Point Jumper. Assisted by Trhae Mitchell.,43,68
1:24,311,Maine  Timeout,43,68
1:14,311,Danny Evans missed Three Point Jumper.,43,68
1:14,6,South Alabama Defensive Rebound.,43,68
0:58,6,A.J. Caldwell missed Three Point Jumper.,43,68
0:58,311,Maine Defensive Rebound.,43,68
0:28,311,Dennis Ashley made Three Point Jumper. Assisted by Danny Evans.,46,68
0:00,6,End of Game,46,68
