Florida Gulf Coast,189,Bowling Green,526
14:01,526,Antravious Simmons Defensive Rebound.,15,7
13:56,526,Ricky Doyle missed Jumper.,15,7
13:56,526,Ricky Doyle Offensive Rebound.,15,7
13:54,526,Ricky Doyle made Layup.,17,7
13:54,189,Foul on Demajeo Wiggins.,17,7
13:54,526,Ricky Doyle made Free Throw.,18,7
13:37,189,Demajeo Wiggins made Layup.,18,9
13:15,526,Zach Johnson Turnover.,18,9
13:15,189,Demajeo Wiggins Steal.,18,9
12:50,189,Daeqwon Plowden missed Jumper.,18,9
12:50,189,Bowling Green Offensive Rebound.,18,9
12:46,526,Foul on Zach Johnson.,18,9
12:40,189,Daeqwon Plowden made Three Point Jumper. Assisted by Matt Fox.,18,12
12:24,526,Ricky Doyle missed Three Point Jumper.,18,12
12:24,189,Daeqwon Plowden Defensive Rebound.,18,12
12:06,189,Demajeo Wiggins missed Jumper.,18,12
12:06,526,Ricky Doyle Block.,18,12
12:04,526,Ricky Doyle Defensive Rebound.,18,12
11:58,526,Brandon Goodwin made Layup.,20,12
11:39,526,Foul on Ricky Doyle.,20,12
11:39,189,Official TV Timeout,20,12
11:39,189,Dylan Frye made Free Throw.,20,13
11:39,189,Dylan Frye made Free Throw.,20,14
11:33,526,Antravious Simmons made Layup. Assisted by Christian Terrell.,22,14
11:07,526,Foul on RaySean Scott Jr..,22,14
11:07,189,Nelly Cummings missed Free Throw.,22,14
11:07,189,Bowling Green Deadball Team Rebound.,22,14
11:07,189,Nelly Cummings made Free Throw.,22,15
10:56,526,Antravious Simmons made Layup. Assisted by Zach Johnson.,24,15
10:56,189,Foul on Demajeo Wiggins.,24,15
10:56,526,Antravious Simmons missed Free Throw.,24,15
10:56,189,Derek Koch Defensive Rebound.,24,15
10:45,189,Dylan Frye missed Three Point Jumper.,24,15
10:45,526,Brandon Goodwin Defensive Rebound.,24,15
10:41,526,Brandon Goodwin missed Layup.,24,15
10:41,189,Matt Fox Block.,24,15
10:41,526,Florida Gulf Coast Offensive Rebound.,24,15
10:31,526,Christian Carlyle missed Jumper.,24,15
10:31,526,Christian Carlyle Offensive Rebound.,24,15
10:28,526,Christian Carlyle made Layup.,26,15
10:21,189,Justin Turner missed Layup.,26,15
10:21,526,Brandon Goodwin Defensive Rebound.,26,15
10:15,526,RaySean Scott Jr. made Layup. Assisted by Brandon Goodwin.,28,15
10:10,189,Bowling Green  Timeout,28,15
9:56,526,Foul on RaySean Scott Jr..,28,15
9:56,189,Justin Turner missed Free Throw.,28,15
9:56,189,Bowling Green Deadball Team Rebound.,28,15
9:56,189,Justin Turner made Free Throw.,28,16
9:36,526,Christian Terrell Turnover.,28,16
9:35,189,Justin Turner Steal.,28,16
9:32,526,Foul on Christian Terrell.,28,16
9:32,189,Daeqwon Plowden made Free Throw.,28,17
9:32,189,Daeqwon Plowden missed Free Throw.,28,17
9:32,526,Brady Ernst Defensive Rebound.,28,17
9:16,526,Zach Johnson missed Jumper.,28,17
9:16,189,Justin Turner Defensive Rebound.,28,17
9:11,189,Justin Turner missed Layup.,28,17
9:11,189,Derek Koch Offensive Rebound.,28,17
9:06,189,Derek Koch made Layup.,28,19
8:57,526,Brady Ernst made Dunk. Assisted by Brandon Goodwin.,30,19
8:39,189,Justin Turner Turnover.,30,19
8:38,526,Zach Johnson Steal.,30,19
8:32,526,Brandon Goodwin missed Jumper.,30,19
8:32,189,Dylan Frye Defensive Rebound.,30,19
8:24,189,Dylan Frye missed Three Point Jumper.,30,19
8:24,526,Zach Johnson Defensive Rebound.,30,19
8:13,526,Zach Johnson missed Three Point Jumper.,30,19
8:13,189,Dylan Frye Defensive Rebound.,30,19
8:06,189,Dylan Frye missed Layup.,30,19
8:06,189,Dylan Frye Offensive Rebound.,30,19
8:02,189,Dylan Frye missed Layup.,30,19
8:02,526,Christian Carlyle Block.,30,19
8:00,526,Christian Carlyle Defensive Rebound.,30,19
7:54,189,Foul on Derek Koch.,30,19
7:54,189,Official TV Timeout,30,19
7:54,526,Brady Ernst missed Free Throw.,30,19
7:54,189,Derek Koch Defensive Rebound.,30,19
7:35,189,Justin Turner missed Jumper.,30,19
7:35,526,Christian Terrell Defensive Rebound.,30,19
7:18,526,Christian Carlyle missed Layup.,30,19
7:18,189,Derek Koch Defensive Rebound.,30,19
7:13,189,Justin Turner made Three Point Jumper. Assisted by Matt Fox.,30,22
6:52,526,Dinero Mercurius made Three Point Jumper. Assisted by Christian Carlyle.,33,22
6:34,189,Rodrick Caldwell made Jumper.,33,24
6:15,526,Dinero Mercurius missed Three Point Jumper.,33,24
6:15,189,Derek Koch Defensive Rebound.,33,24
6:13,526,Foul on Brady Ernst.,33,24
6:13,189,Derek Koch made Free Throw.,33,25
6:13,189,Derek Koch made Free Throw.,33,26
5:46,526,Christian Terrell missed Jumper.,33,26
5:46,189,Matt Fox Defensive Rebound.,33,26
5:22,189,Rodrick Caldwell missed Three Point Jumper.,33,26
5:22,189,Derek Koch Offensive Rebound.,33,26
5:13,526,Foul on Antravious Simmons.,33,26
5:13,189,Derek Koch made Free Throw.,33,27
5:13,189,Derek Koch made Free Throw.,33,28
4:57,526,Christian Carlyle missed Jumper.,33,28
4:57,189,Justin Turner Defensive Rebound.,33,28
4:49,189,Justin Turner missed Layup.,33,28
4:49,526,Brian Thomas Defensive Rebound.,33,28
4:42,526,Christian Terrell made Layup.,35,28
4:24,189,Derek Koch missed Three Point Jumper.,35,28
4:24,526,Christian Terrell Defensive Rebound.,35,28
4:11,526,Dinero Mercurius missed Jumper.,35,28
4:11,189,Derek Koch Defensive Rebound.,35,28
3:48,189,Rodrick Caldwell made Jumper.,35,30
3:45,526,Brian Thomas Turnover.,35,30
3:45,189,Official TV Timeout,35,30
3:31,189,Rodrick Caldwell made Jumper.,35,32
3:20,526,Brandon Goodwin missed Three Point Jumper.,35,32
3:20,526,Brian Thomas Offensive Rebound.,35,32
3:17,189,Foul on Jeffrey Uju.,35,32
3:17,526,Brian Thomas made Free Throw.,36,32
3:17,526,Brian Thomas missed Free Throw.,36,32
3:17,189,Dylan Frye Defensive Rebound.,36,32
3:12,526,Foul on Christian Terrell.,36,32
3:12,189,Dylan Frye missed Free Throw.,36,32
3:12,189,Bowling Green Deadball Team Rebound.,36,32
3:12,189,Dylan Frye made Free Throw.,36,33
3:06,526,Dinero Mercurius made Three Point Jumper. Assisted by Brandon Goodwin.,39,33
2:43,526,Foul on Christian Carlyle.,39,33
2:43,189,Jeffrey Uju made Free Throw.,39,34
2:43,189,Jeffrey Uju missed Free Throw.,39,34
2:43,526,Brady Ernst Defensive Rebound.,39,34
2:34,526,Zach Johnson made Layup.,41,34
2:27,189,Justin Turner made Layup.,41,36
2:07,526,Zach Johnson Turnover.,41,36
2:06,189,Jeffrey Uju Steal.,41,36
2:02,189,Rodrick Caldwell missed Jumper.,41,36
2:02,189,Justin Turner Offensive Rebound.,41,36
1:54,189,Dylan Frye missed Three Point Jumper.,41,36
1:54,526,Zach Johnson Defensive Rebound.,41,36
1:48,189,Foul on Dylan Frye.,41,36
1:48,526,Brandon Goodwin made Free Throw.,42,36
1:48,526,Brandon Goodwin made Free Throw.,43,36
1:30,189,Daeqwon Plowden missed Three Point Jumper.,43,36
1:30,189,Jeffrey Uju Offensive Rebound.,43,36
1:25,526,Foul on Zach Johnson.,43,36
1:25,189,Dylan Frye made Free Throw.,43,37
1:25,189,Dylan Frye made Free Throw.,43,38
1:06,526,Dinero Mercurius Turnover.,43,38
0:46,189,Justin Turner missed Jumper.,43,38
0:46,189,Daeqwon Plowden Offensive Rebound.,43,38
0:44,189,Daeqwon Plowden made Dunk.,43,40
0:28,526,Brandon Goodwin Turnover.,43,40
0:03,189,Rodrick Caldwell missed Jumper.,43,40
0:03,526,Christian Carlyle Defensive Rebound.,43,40
0:00,189,End of 1st half,43,40
19:44,526,Antravious Simmons missed Layup.,43,40
19:44,189,Demajeo Wiggins Defensive Rebound.,43,40
19:21,189,Justin Turner missed Layup.,43,40
19:21,189,Demajeo Wiggins Offensive Rebound.,43,40
19:20,526,Foul on Antravious Simmons.,43,40
19:20,189,Demajeo Wiggins made Free Throw.,43,41
19:20,189,Demajeo Wiggins missed Free Throw.,43,41
19:20,526,Ricky Doyle Defensive Rebound.,43,41
19:02,526,RaySean Scott Jr. missed Three Point Jumper.,43,41
19:02,189,Bowling Green Defensive Rebound.,43,41
18:53,189,Demajeo Wiggins made Dunk. Assisted by Rodrick Caldwell.,43,43
18:53,526,Foul on RaySean Scott Jr..,43,43
18:53,189,Demajeo Wiggins made Free Throw.,43,44
18:40,526,Brandon Goodwin made Jumper.,45,44
18:32,189,Bowling Green  Timeout,45,44
18:16,189,Demajeo Wiggins made Layup. Assisted by Derek Koch.,45,46
17:54,526,Zach Johnson missed Jumper.,45,46
17:54,526,Ricky Doyle Offensive Rebound.,45,46
17:43,526,Christian Terrell missed Three Point Jumper.,45,46
17:43,189,Demajeo Wiggins Defensive Rebound.,45,46
17:28,189,Demajeo Wiggins missed Layup.,45,46
17:28,189,Rodrick Caldwell Offensive Rebound.,45,46
17:24,189,Rodrick Caldwell made Jumper.,45,48
17:13,526,Florida Gulf Coast  Timeout,45,48
17:07,526,Christian Terrell made Layup. Assisted by Zach Johnson.,47,48
17:00,189,Justin Turner made Layup.,47,50
16:41,526,Ricky Doyle missed Layup.,47,50
16:41,189,Derek Koch Defensive Rebound.,47,50
16:35,189,Justin Turner Turnover.,47,50
16:34,526,Brandon Goodwin Steal.,47,50
16:27,526,RaySean Scott Jr. missed Layup.,47,50
16:27,189,Joniya Gadson Block.,47,50
16:25,189,Joniya Gadson Defensive Rebound.,47,50
16:12,189,Joniya Gadson Turnover.,47,50
15:59,526,RaySean Scott Jr. missed Three Point Jumper.,47,50
15:59,189,Justin Turner Defensive Rebound.,47,50
15:48,189,Justin Turner missed Three Point Jumper.,47,50
15:48,526,Zach Johnson Defensive Rebound.,47,50
15:44,189,Foul on Joniya Gadson.,47,50
15:44,189,Official TV Timeout,47,50
15:24,526,Christian Terrell made Layup.,49,50
14:57,189,Demajeo Wiggins missed Layup.,49,50
14:57,526,Brian Thomas Defensive Rebound.,49,50
14:46,526,Zach Johnson missed Jumper.,49,50
14:46,189,Dylan Frye Defensive Rebound.,49,50
14:34,189,Justin Turner made Three Point Jumper. Assisted by Derek Koch.,49,53
14:15,526,Christian Carlyle Turnover.,49,53
14:14,189,Justin Turner Steal.,49,53
14:10,189,Justin Turner missed Jumper.,49,53
14:10,526,Christian Terrell Defensive Rebound.,49,53
14:03,526,Zach Johnson missed Three Point Jumper.,49,53
14:03,526,Brian Thomas Offensive Rebound.,49,53
13:58,526,Brian Thomas made Layup.,51,53
13:40,189,Dylan Frye made Layup.,51,55
13:19,189,Foul on Nelly Cummings.,51,55
13:08,526,Christian Carlyle missed Layup.,51,55
13:08,189,Justin Turner Defensive Rebound.,51,55
12:55,189,Daeqwon Plowden missed Jumper.,51,55
12:55,526,Brandon Goodwin Defensive Rebound.,51,55
12:46,526,Christian Terrell missed Three Point Jumper.,51,55
12:46,189,Daeqwon Plowden Defensive Rebound.,51,55
12:38,526,Foul on Christian Carlyle.,51,55
12:16,189,Dylan Frye Turnover.,51,55
12:15,526,Ricky Doyle Steal.,51,55
12:12,189,Foul on Dylan Frye.,51,55
12:12,526,Brandon Goodwin missed Free Throw.,51,55
12:12,526,Florida Gulf Coast Deadball Team Rebound.,51,55
12:12,526,Brandon Goodwin made Free Throw.,52,55
12:01,189,Nelly Cummings made Layup. Assisted by Dylan Frye.,52,57
11:51,526,Dinero Mercurius made Three Point Jumper. Assisted by Zach Johnson.,55,57
11:31,189,Demajeo Wiggins missed Layup.,55,57
11:31,189,Demajeo Wiggins Offensive Rebound.,55,57
11:29,189,Demajeo Wiggins made Layup.,55,59
11:21,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,58,59
11:06,189,Nelly Cummings missed Jumper.,58,59
11:06,526,Ricky Doyle Defensive Rebound.,58,59
10:59,526,Zach Johnson Turnover.,58,59
10:58,189,Official TV Timeout,58,59
10:51,526,Foul on Dinero Mercurius.,58,59
10:39,189,Justin Turner made Layup. Assisted by Nelly Cummings.,58,61
10:24,526,Christian Terrell made Layup.,60,61
10:06,189,Justin Turner Turnover.,60,61
10:06,189,Foul on Justin Turner.,60,61
9:55,526,Ricky Doyle made Dunk. Assisted by Brandon Goodwin.,62,61
9:35,189,Demajeo Wiggins made Jumper.,62,63
9:22,526,Zach Johnson missed Three Point Jumper.,62,63
9:22,189,Demajeo Wiggins Defensive Rebound.,62,63
9:14,189,Nelly Cummings made Layup.,62,65
8:57,526,Dinero Mercurius missed Three Point Jumper.,62,65
8:57,189,Nelly Cummings Defensive Rebound.,62,65
8:44,526,Foul on Christian Terrell.,62,65
8:44,189,Derek Koch missed Free Throw.,62,65
8:44,189,Bowling Green Deadball Team Rebound.,62,65
8:44,189,Derek Koch made Free Throw.,62,66
8:17,526,Brandon Goodwin missed Jumper.,62,66
8:17,189,Justin Turner Defensive Rebound.,62,66
8:10,189,Demajeo Wiggins Turnover.,62,66
8:10,189,Foul on Demajeo Wiggins.,62,66
7:51,526,Brandon Goodwin missed Three Point Jumper.,62,66
7:51,189,Matt Fox Defensive Rebound.,62,66
7:49,189,Foul on Demajeo Wiggins.,62,66
7:49,189,Demajeo Wiggins Turnover.,62,66
7:45,526,Ricky Doyle missed Jumper.,62,66
7:45,526,Antravious Simmons Offensive Rebound.,62,66
7:42,526,Antravious Simmons made Layup.,64,66
7:17,526,Foul on Ricky Doyle.,64,66
7:17,189,Justin Turner made Free Throw.,64,67
7:17,189,Justin Turner made Free Throw.,64,68
7:06,526,Ricky Doyle made Layup.,66,68
6:58,189,Matt Fox missed Three Point Jumper.,66,68
6:58,526,Zach Johnson Defensive Rebound.,66,68
6:49,526,Zach Johnson Turnover.,66,68
6:35,189,Nelly Cummings made Jumper. Assisted by Justin Turner.,66,70
6:14,526,Brandon Goodwin missed Three Point Jumper.,66,70
6:14,189,Justin Turner Defensive Rebound.,66,70
6:01,189,Jeffrey Uju missed Layup.,66,70
6:01,526,Brandon Goodwin Defensive Rebound.,66,70
5:42,526,Brandon Goodwin made Three Point Jumper. Assisted by Christian Terrell.,69,70
5:17,526,Foul on Ricky Doyle.,69,70
5:17,189,Justin Turner missed Free Throw.,69,70
5:17,189,Bowling Green Deadball Team Rebound.,69,70
5:17,189,Justin Turner made Free Throw.,69,71
5:08,526,Antravious Simmons Turnover.,69,71
5:08,526,Foul on Antravious Simmons.,69,71
4:45,189,Derek Koch Turnover.,69,71
4:44,526,Dinero Mercurius Steal.,69,71
4:39,526,Brandon Goodwin missed Jumper.,69,71
4:39,526,Brandon Goodwin Offensive Rebound.,69,71
4:36,189,Foul on Matt Fox.,69,71
4:36,526,Brandon Goodwin made Free Throw.,70,71
4:36,526,Brandon Goodwin made Free Throw.,71,71
4:22,189,Derek Koch missed Layup.,71,71
4:22,189,Matt Fox Offensive Rebound.,71,71
4:18,189,Nelly Cummings missed Jumper.,71,71
4:18,526,Christian Terrell Defensive Rebound.,71,71
4:02,526,Zach Johnson Turnover.,71,71
4:01,189,Justin Turner Steal.,71,71
3:58,526,Foul on Christian Terrell.,71,71
3:57,189,Official TV Timeout,71,71
3:57,189,Justin Turner made Free Throw.,71,72
3:57,189,Justin Turner made Free Throw.,71,73
3:45,526,Christian Terrell made Three Point Jumper. Assisted by Zach Johnson.,74,73
3:04,189,Derek Koch missed Layup.,74,73
3:04,189,Derek Koch Offensive Rebound.,74,73
3:02,189,Derek Koch made Layup.,74,75
2:52,526,Dinero Mercurius missed Three Point Jumper.,74,75
2:52,189,Dylan Frye Defensive Rebound.,74,75
2:46,526,Foul on Antravious Simmons.,74,75
2:46,189,Dylan Frye made Free Throw.,74,76
2:46,189,Dylan Frye made Free Throw.,74,77
2:33,526,Zach Johnson missed Layup.,74,77
2:33,189,Matt Fox Defensive Rebound.,74,77
2:07,189,Rodrick Caldwell Turnover.,74,77
2:01,526,Brandon Goodwin missed Three Point Jumper.,74,77
2:01,189,Derek Koch Defensive Rebound.,74,77
1:32,189,Derek Koch missed Layup.,74,77
1:32,526,Dinero Mercurius Defensive Rebound.,74,77
1:23,526,Brandon Goodwin missed Layup.,74,77
1:23,189,Bowling Green Defensive Rebound.,74,77
1:17,189,Dylan Frye made Three Point Jumper. Assisted by Matt Fox.,74,80
0:57,189,Foul on Demajeo Wiggins.,74,80
0:57,526,Brandon Goodwin made Free Throw.,75,80
0:57,526,Brandon Goodwin made Free Throw.,76,80
0:47,189,Derek Koch Turnover.,76,80
0:46,526,Zach Johnson Steal.,76,80
0:44,526,Christian Terrell made Layup.,78,80
0:43,189,Bowling Green  Timeout,78,80
0:19,189,Justin Turner Turnover.,78,80
0:19,189,Foul on Justin Turner.,78,80
0:14,526,Brandon Goodwin missed Layup.,78,80
0:14,189,Derek Koch Defensive Rebound.,78,80
0:12,526,Foul on Brandon Goodwin.,78,80
0:12,189,Derek Koch missed Free Throw.,78,80
0:12,189,Bowling Green Deadball Team Rebound.,78,80
0:12,189,Derek Koch missed Free Throw.,78,80
0:12,526,Ricky Doyle Defensive Rebound.,78,80
0:06,189,Foul on Derek Koch.,78,80
0:06,526,Zach Johnson made Free Throw.,79,80
0:06,526,Zach Johnson made Free Throw.,80,80
0:06,189,Bowling Green  Timeout,80,80
0:01,189,Dylan Frye made Three Point Jumper.,80,83
0:01,526,Florida Gulf Coast  Timeout,80,83
0:00,189,End of Game,80,83
