American,2681,Wagner,44
2:44,2681,Nigel Jackson Turnover.,29,33
2:44,2681,Foul on Nigel Jackson.,29,33
2:28,44,Sa'eed Nelson missed Jumper.,29,33
2:28,2681,AJ Sumbry Defensive Rebound.,29,33
2:12,2681,Elijah Davis Turnover.,29,33
2:12,2681,Foul on Elijah Davis.,29,33
2:03,44,Nick Macarchuk Turnover.,29,33
2:03,44,Foul on Nick Macarchuk.,29,33
1:49,2681,Blake Francis Turnover.,29,33
1:31,44,Jesse Little missed Layup.,29,33
1:31,2681,AJ Sumbry Block.,29,33
1:29,44,Sam Iorio Offensive Rebound.,29,33
1:25,44,Larry Motuzis missed Three Point Jumper.,29,33
1:25,44,Sam Iorio Offensive Rebound.,29,33
1:21,44,Sam Iorio missed Layup.,29,33
1:21,44,Sam Iorio Offensive Rebound.,29,33
1:20,2681,Foul on Blake Francis.,29,33
1:20,44,Sam Iorio made Free Throw.,30,33
1:20,44,Sam Iorio missed Free Throw.,30,33
1:20,2681,AJ Sumbry Defensive Rebound.,30,33
0:56,44,Foul on Cheikh Diallo.,30,33
0:56,2681,Elijah Davis made Free Throw.,30,34
0:56,2681,Elijah Davis made Free Throw.,30,35
0:32,44,Sa'eed Nelson made Layup.,32,35
0:30,2681,Wagner  Timeout,32,35
0:08,2681,Blake Francis Turnover.,32,35
0:01,44,Larry Motuzis missed Three Point Jumper.,32,35
0:01,44,American Offensive Rebound.,32,35
0:00,2681,End of 1st half,32,35
19:47,2681,AJ Sumbry made Layup.,32,37
19:29,44,Cheikh Diallo missed Three Point Jumper.,32,37
19:29,44,Sa'eed Nelson Offensive Rebound.,32,37
19:22,44,Sam Iorio missed Jumper.,32,37
19:22,2681,AJ Sumbry Defensive Rebound.,32,37
19:16,2681,Blake Francis made Three Point Jumper.,32,40
19:15,44,Foul on Cheikh Diallo.,32,40
19:15,2681,Blake Francis made Free Throw.,32,41
18:46,44,Larry Motuzis Turnover.,32,41
18:45,2681,JoJo Cooper Steal.,32,41
18:41,2681,Elijah Davis missed Layup.,32,41
18:41,2681,Elijah Davis Offensive Rebound.,32,41
18:16,2681,Tyler Plummer Turnover.,32,41
18:00,44,Sa'eed Nelson made Three Point Jumper.,35,41
17:42,2681,Blake Francis missed Three Point Jumper.,35,41
17:42,44,Larry Motuzis Defensive Rebound.,35,41
17:33,44,Sa'eed Nelson missed Layup.,35,41
17:33,44,Sam Iorio Offensive Rebound.,35,41
17:31,44,Sam Iorio made Layup.,37,41
17:31,2681,Foul on JoJo Cooper.,37,41
17:31,44,Sam Iorio made Free Throw.,38,41
17:04,2681,Blake Francis missed Layup.,38,41
17:04,2681,AJ Sumbry Offensive Rebound.,38,41
17:00,2681,AJ Sumbry missed Layup.,38,41
17:00,44,Sam Iorio Block.,38,41
16:59,44,Larry Motuzis Defensive Rebound.,38,41
16:55,44,Sa'eed Nelson made Layup. Assisted by Larry Motuzis.,40,41
16:34,2681,Blake Francis missed Jumper.,40,41
16:34,2681,Nigel Jackson Offensive Rebound.,40,41
16:31,2681,Nigel Jackson missed Layup.,40,41
16:31,2681,Nigel Jackson Offensive Rebound.,40,41
16:29,2681,Nigel Jackson missed Layup.,40,41
16:29,44,Sam Iorio Block.,40,41
16:29,2681,AJ Sumbry Offensive Rebound.,40,41
16:28,44,Foul on Marvin Bragg.,40,41
16:28,2681,AJ Sumbry missed Free Throw.,40,41
16:28,2681,Wagner Deadball Team Rebound.,40,41
16:28,2681,AJ Sumbry made Free Throw.,40,42
16:15,44,Jesse Little made Layup. Assisted by Sam Iorio.,42,42
15:56,2681,JoJo Cooper made Jumper. Assisted by Nick Madray.,42,44
15:25,44,Larry Motuzis missed Three Point Jumper.,42,44
15:25,2681,Nigel Jackson Defensive Rebound.,42,44
15:11,2681,Nigel Jackson missed Three Point Jumper.,42,44
15:11,44,Larry Motuzis Defensive Rebound.,42,44
14:52,44,Sa'eed Nelson missed Layup.,42,44
14:52,2681,Nick Madray Defensive Rebound.,42,44
14:51,44,Foul on Sa'eed Nelson.,42,44
14:51,2681,Wagner  Timeout,42,44
14:25,2681,JoJo Cooper missed Three Point Jumper.,42,44
14:25,2681,Tyler Plummer Offensive Rebound.,42,44
14:21,2681,Tyler Plummer missed Layup.,42,44
14:21,44,Jesse Little Block.,42,44
14:19,44,Jesse Little Defensive Rebound.,42,44
14:14,44,Sa'eed Nelson missed Jumper.,42,44
14:14,2681,Tyler Plummer Defensive Rebound.,42,44
14:04,2681,Devin Liggeons Turnover.,42,44
14:04,2681,Foul on Devin Liggeons.,42,44
13:35,44,Larry Motuzis missed Three Point Jumper.,42,44
13:35,44,American Offensive Rebound.,42,44
13:33,2681,Foul on Devin Liggeons.,42,44
13:18,44,Nick Macarchuk made Layup.,44,44
12:53,44,Foul on Larry Motuzis.,44,44
12:39,2681,Nigel Jackson made Layup. Assisted by Devin Liggeons.,44,46
12:26,44,Sam Iorio Turnover.,44,46
12:26,44,Foul on Sam Iorio.,44,46
12:13,2681,Devin Liggeons Turnover.,44,46
12:13,2681,Foul on Devin Liggeons.,44,46
11:56,2681,Foul on Nigel Jackson.,44,46
11:56,44,American  Timeout,44,46
11:56,44,Larry Motuzis missed Free Throw.,44,46
11:56,44,American Deadball Team Rebound.,44,46
11:56,44,Larry Motuzis made Free Throw.,45,46
11:29,2681,AJ Sumbry missed Layup.,45,46
11:29,44,Nick Macarchuk Block.,45,46
11:28,2681,Wagner Offensive Rebound.,45,46
11:23,2681,Wagner  Turnover.,45,46
11:07,44,Sa'eed Nelson missed Layup.,45,46
11:07,2681,AJ Sumbry Block.,45,46
11:06,44,Sa'eed Nelson Offensive Rebound.,45,46
11:01,44,Sa'eed Nelson made Layup.,47,46
10:39,44,Foul on Marvin Bragg.,47,46
10:28,2681,JoJo Cooper made Layup.,47,48
10:06,44,Sa'eed Nelson Turnover.,47,48
10:06,2681,Tyler Plummer Steal.,47,48
9:43,44,Foul on Sam Iorio.,47,48
9:43,2681,AJ Sumbry made Free Throw.,47,49
9:43,2681,AJ Sumbry made Free Throw.,47,50
9:19,44,Nick Macarchuk made Three Point Jumper.,50,50
8:59,2681,JoJo Cooper missed Jumper.,50,50
8:59,44,Larry Motuzis Defensive Rebound.,50,50
8:41,2681,Foul on JoJo Cooper.,50,50
8:33,44,Sam Iorio made Three Point Jumper. Assisted by Sa'eed Nelson.,53,50
8:12,44,Foul on Larry Motuzis.,53,50
8:12,2681,Tyler Plummer missed Free Throw.,53,50
8:12,2681,Wagner Deadball Team Rebound.,53,50
8:06,44,Larry Motuzis missed Three Point Jumper.,53,50
8:06,44,Sam Iorio Offensive Rebound.,53,50
8:03,44,Sam Iorio made Layup.,55,50
8:03,2681,Foul on Nigel Jackson.,55,50
8:03,44,Sam Iorio made Free Throw.,56,50
7:51,2681,Blake Francis missed Jumper.,56,50
7:51,44,Sam Iorio Defensive Rebound.,56,50
7:18,44,American  Turnover.,56,50
7:18,2681,Wagner  Timeout,56,50
6:58,2681,JoJo Cooper missed Jumper.,56,50
6:58,2681,Blake Francis Offensive Rebound.,56,50
6:49,44,Foul on Nick Macarchuk.,56,50
6:49,2681,AJ Sumbry made Free Throw.,56,51
6:49,2681,AJ Sumbry missed Free Throw.,56,51
6:49,44,Sam Iorio Defensive Rebound.,56,51
6:22,44,Larry Motuzis missed Layup.,56,51
6:22,2681,Devin Liggeons Defensive Rebound.,56,51
6:16,2681,Elijah Davis Turnover.,56,51
6:15,44,Sa'eed Nelson Steal.,56,51
6:13,44,Sam Iorio made Layup. Assisted by Larry Motuzis.,58,51
6:11,44,American  Timeout,58,51
6:00,2681,Elijah Davis made Jumper.,58,53
5:28,44,Jesse Little missed Jumper.,58,53
5:28,44,Sam Iorio Offensive Rebound.,58,53
5:24,44,Sam Iorio missed Layup.,58,53
5:24,2681,AJ Sumbry Defensive Rebound.,58,53
5:19,2681,Elijah Davis missed Layup.,58,53
5:19,44,Nick Macarchuk Defensive Rebound.,58,53
5:10,44,Sam Iorio made Layup.,60,53
4:51,2681,JoJo Cooper made Layup.,60,55
4:20,44,Sa'eed Nelson made Layup.,62,55
4:09,2681,AJ Sumbry missed Layup.,62,55
4:09,44,Jesse Little Defensive Rebound.,62,55
3:49,44,Sam Iorio Turnover.,62,55
3:49,44,Foul on Sam Iorio.,62,55
3:49,2681,Wagner  Timeout,62,55
3:31,2681,Blake Francis missed Three Point Jumper.,62,55
3:31,44,Sa'eed Nelson Defensive Rebound.,62,55
3:10,2681,Foul on Nigel Jackson.,62,55
3:10,44,Sa'eed Nelson missed Free Throw.,62,55
3:10,44,American Deadball Team Rebound.,62,55
3:10,44,Sa'eed Nelson missed Free Throw.,62,55
3:10,2681,JoJo Cooper Defensive Rebound.,62,55
2:52,2681,JoJo Cooper missed Layup.,62,55
2:52,2681,JoJo Cooper Offensive Rebound.,62,55
2:38,2681,Elijah Davis missed Layup.,62,55
2:38,44,Jesse Little Block.,62,55
2:36,2681,Elijah Davis Offensive Rebound.,62,55
2:36,44,Foul on Jesse Little.,62,55
2:36,2681,Elijah Davis made Free Throw.,62,56
2:36,2681,Elijah Davis made Free Throw.,62,57
2:36,2681,Wagner  Timeout,62,57
2:26,44,Jesse Little made Layup.,64,57
2:26,2681,Foul on Elijah Davis.,64,57
2:26,44,Jesse Little missed Free Throw.,64,57
2:26,2681,Elijah Davis Defensive Rebound.,64,57
2:09,44,Foul on Nick Macarchuk.,64,57
2:09,2681,Blake Francis made Free Throw.,64,58
2:09,2681,Blake Francis made Free Throw.,64,59
2:06,44,Sa'eed Nelson Turnover.,64,59
2:05,2681,Blake Francis Steal.,64,59
2:04,2681,Blake Francis made Three Point Jumper.,64,62
2:03,2681,Wagner  Timeout,64,62
1:53,2681,Foul on Devin Liggeons.,64,62
1:53,44,Sa'eed Nelson made Free Throw.,65,62
1:53,44,Sa'eed Nelson made Free Throw.,66,62
1:38,2681,Blake Francis missed Three Point Jumper.,66,62
1:38,44,Jesse Little Defensive Rebound.,66,62
1:36,2681,Foul on AJ Sumbry.,66,62
1:35,44,Jesse Little missed Free Throw.,66,62
1:35,44,American Deadball Team Rebound.,66,62
1:35,44,Jesse Little made Free Throw.,67,62
1:24,44,Foul on Sam Iorio.,67,62
1:24,2681,Devin Liggeons made Free Throw.,67,63
1:24,2681,Devin Liggeons made Free Throw.,67,64
1:18,44,Larry Motuzis Turnover.,67,64
1:17,2681,Elijah Davis Steal.,67,64
1:12,2681,Blake Francis missed Three Point Jumper.,67,64
1:12,44,American Defensive Rebound.,67,64
1:09,2681,Foul on JoJo Cooper.,67,64
1:09,44,Sa'eed Nelson made Free Throw.,68,64
1:09,44,Sa'eed Nelson made Free Throw.,69,64
0:57,2681,Elijah Davis missed Layup.,69,64
0:57,2681,Elijah Davis Offensive Rebound.,69,64
0:53,44,Foul on Marvin Bragg.,69,64
0:53,2681,Elijah Davis made Free Throw.,69,65
0:53,2681,Elijah Davis made Free Throw.,69,66
0:45,2681,Foul on Tyler Plummer.,69,66
0:45,44,Sa'eed Nelson made Free Throw.,70,66
0:45,44,Sa'eed Nelson missed Free Throw.,70,66
0:45,2681,Devin Liggeons Defensive Rebound.,70,66
0:29,2681,Elijah Davis made Layup. Assisted by Blake Francis.,70,68
0:29,44,Foul on Sa'eed Nelson.,70,68
0:29,2681,Elijah Davis made Free Throw.,70,69
0:25,44,Sa'eed Nelson Turnover.,70,69
0:25,2681,Wagner  Timeout,70,69
0:13,44,Foul on Marvin Bragg.,70,69
0:13,2681,Blake Francis made Free Throw.,70,70
0:13,2681,Blake Francis made Free Throw.,70,71
0:09,44,American  Timeout,70,71
0:04,44,Sa'eed Nelson missed Layup.,70,71
0:04,2681,Blake Francis Block.,70,71
0:04,44,American Offensive Rebound.,70,71
0:02,44,Marvin Bragg missed Layup.,70,71
0:02,2681,AJ Sumbry Defensive Rebound.,70,71
0:00,2681,End of Game,70,71
