Oakland,2649,Toledo,2473
13:48,2649,Nate Navigato missed Three Point Jumper.,10,9
13:48,2473,James Beck Defensive Rebound.,10,9
13:18,2473,James Beck missed Three Point Jumper.,10,9
13:18,2649,Dylan Alderson Defensive Rebound.,10,9
13:07,2649,Tre'Shaun Fletcher made Layup.,10,11
13:07,2473,Foul on Isaiah Brock.,10,11
13:07,2649,Tre'Shaun Fletcher made Free Throw.,10,12
12:54,2473,Kendrick Nunn missed Three Point Jumper.,10,12
12:54,2649,Toledo Defensive Rebound.,10,12
12:36,2649,Foul on Luke Knapke.,10,12
12:36,2649,Luke Knapke Turnover.,10,12
12:28,2473,Foul on James Beck.,10,12
12:28,2473,James Beck Turnover.,10,12
12:13,2649,Luke Knapke missed Layup.,10,12
12:13,2473,Martez Walker Defensive Rebound.,10,12
12:07,2473,Kendrick Nunn missed Three Point Jumper.,10,12
12:07,2649,Dylan Alderson Defensive Rebound.,10,12
11:56,2649,Luke Knapke Turnover.,10,12
11:56,2649,Official TV Timeout,10,12
11:42,2473,James Beck missed Jumper.,10,12
11:42,2649,Nate Navigato Block.,10,12
11:41,2473,Oakland Offensive Rebound.,10,12
11:35,2473,Kendrick Nunn missed Layup.,10,12
11:35,2473,Kendrick Nunn Offensive Rebound.,10,12
11:28,2473,Julius Palmer missed Jumper.,10,12
11:28,2473,Kendrick Nunn Offensive Rebound.,10,12
11:23,2473,Chris Palombizio missed Three Point Jumper.,10,12
11:23,2473,Martez Walker Offensive Rebound.,10,12
11:17,2473,Martez Walker missed Layup.,10,12
11:17,2649,Luke Knapke Defensive Rebound.,10,12
11:03,2649,Luke Knapke missed Three Point Jumper.,10,12
11:03,2473,Martez Walker Defensive Rebound.,10,12
10:56,2649,Foul on Justin Roberts.,10,12
10:40,2473,Brailen Neely Turnover.,10,12
10:24,2473,Foul on Brailen Neely.,10,12
10:11,2649,Jaelan Sanford made Layup.,10,14
10:01,2649,Foul on Dylan Alderson.,10,14
9:59,2473,Foul on Martez Walker.,10,14
9:59,2473,Martez Walker Turnover.,10,14
9:44,2649,Dylan Alderson missed Three Point Jumper.,10,14
9:44,2473,Oakland Defensive Rebound.,10,14
9:15,2473,Nick Daniels missed Layup.,10,14
9:15,2649,Marreon Jackson Block.,10,14
9:13,2649,Marreon Jackson Defensive Rebound.,10,14
9:07,2649,Nate Navigato Turnover.,10,14
8:56,2473,Chris Palombizio made Three Point Jumper. Assisted by Kendrick Nunn.,13,14
8:33,2473,Foul on Isaiah Brock.,13,14
8:26,2649,Dylan Alderson made Layup. Assisted by Jaelan Sanford.,13,16
8:10,2473,Kendrick Nunn missed Jumper.,13,16
8:10,2649,Taylor Adway Defensive Rebound.,13,16
8:00,2649,Jaelan Sanford missed Three Point Jumper.,13,16
8:00,2473,Kendrick Nunn Defensive Rebound.,13,16
7:52,2473,Kendrick Nunn made Three Point Jumper.,16,16
7:25,2649,Jaelan Sanford made Jumper.,16,18
6:54,2473,Nick Daniels Turnover.,16,18
6:53,2649,Official TV Timeout,16,18
6:43,2649,Taylor Adway missed Layup.,16,18
6:43,2473,Martez Walker Defensive Rebound.,16,18
6:33,2473,Martez Walker missed Three Point Jumper.,16,18
6:33,2649,Tre'Shaun Fletcher Defensive Rebound.,16,18
6:24,2473,Foul on Kendrick Nunn.,16,18
6:24,2649,Tre'Shaun Fletcher made Free Throw.,16,19
6:24,2649,Tre'Shaun Fletcher made Free Throw.,16,20
6:15,2473,James Beck missed Jumper.,16,20
6:15,2649,Tre'Shaun Fletcher Defensive Rebound.,16,20
6:05,2649,Marreon Jackson Turnover.,16,20
6:04,2473,Brailen Neely Steal.,16,20
5:59,2473,James Beck made Dunk. Assisted by Brailen Neely.,18,20
5:59,2649,Foul on Taylor Adway.,18,20
5:59,2473,James Beck made Free Throw.,19,20
5:45,2649,Jaelan Sanford missed Layup.,19,20
5:45,2649,Luke Knapke Offensive Rebound.,19,20
5:40,2649,Luke Knapke made Dunk.,19,22
5:31,2473,Kendrick Nunn missed Three Point Jumper.,19,22
5:31,2473,James Beck Offensive Rebound.,19,22
5:29,2473,James Beck Turnover.,19,22
5:07,2649,Tre'Shaun Fletcher made Jumper.,19,24
4:55,2473,Chris Palombizio made Jumper.,21,24
4:30,2649,Jaelan Sanford made Jumper.,21,26
4:14,2473,Kendrick Nunn made Layup.,23,26
3:58,2649,Luke Knapke missed Three Point Jumper.,23,26
3:58,2473,Chris Palombizio Defensive Rebound.,23,26
3:48,2473,Brailen Neely missed Layup.,23,26
3:48,2649,Luke Knapke Block.,23,26
3:45,2649,Nate Navigato Defensive Rebound.,23,26
3:33,2649,Luke Knapke made Layup.,23,28
3:18,2473,Kendrick Nunn Turnover.,23,28
3:18,2649,Official TV Timeout,23,28
3:05,2649,Tre'Shaun Fletcher missed Three Point Jumper.,23,28
3:05,2649,Nate Navigato Offensive Rebound.,23,28
2:58,2649,Luke Knapke missed Layup.,23,28
2:58,2473,James Beck Defensive Rebound.,23,28
2:52,2473,Kendrick Nunn missed Layup.,23,28
2:52,2649,Luke Knapke Block.,23,28
2:50,2649,Luke Knapke Defensive Rebound.,23,28
2:38,2649,Luke Knapke made Layup. Assisted by Jaelan Sanford.,23,30
2:18,2473,Kendrick Nunn missed Jumper.,23,30
2:18,2649,Jaelan Sanford Defensive Rebound.,23,30
1:55,2649,Tre'Shaun Fletcher made Three Point Jumper.,23,33
1:44,2473,Kendrick Nunn made Jumper.,25,33
1:24,2649,Luke Knapke made Three Point Jumper. Assisted by Tre'Shaun Fletcher.,25,36
1:04,2473,Jaevin Cumberland missed Jumper.,25,36
1:04,2649,Tre'Shaun Fletcher Defensive Rebound.,25,36
0:58,2649,Jaelan Sanford missed Three Point Jumper.,25,36
0:58,2473,James Beck Defensive Rebound.,25,36
0:43,2649,Foul on Marreon Jackson.,25,36
0:43,2473,Martez Walker made Free Throw.,26,36
0:43,2473,Martez Walker missed Free Throw.,26,36
0:43,2649,Luke Knapke Defensive Rebound.,26,36
0:32,2649,Marreon Jackson made Three Point Jumper.,26,39
0:26,2473,Oakland  Timeout,26,39
0:09,2473,Kendrick Nunn missed Three Point Jumper.,26,39
0:09,2649,Nate Navigato Defensive Rebound.,26,39
0:06,2649,Nate Navigato made Free Throw.,26,40
0:04,2473,Foul on James Beck.,26,39
0:04,2649,Nate Navigato missed Free Throw.,26,40
0:04,2473,James Beck Defensive Rebound.,26,40
0:00,2473,Brailen Neely missed Three Point Jumper.,26,40
0:00,2473,Brailen Neely Offensive Rebound.,26,40
0:00,2649,End of 1st half,26,40
19:45,2649,Tre'Shaun Fletcher made Jumper. Assisted by Marreon Jackson.,26,42
19:24,2473,James Beck missed Jumper.,26,42
19:24,2473,Isaiah Brock Offensive Rebound.,26,42
19:08,2649,Foul on Taylor Adway.,26,42
19:08,2473,James Beck made Free Throw.,27,42
19:08,2473,James Beck missed Free Throw.,27,42
19:08,2649,Luke Knapke Defensive Rebound.,27,42
18:51,2649,Tre'Shaun Fletcher missed Three Point Jumper.,27,42
18:51,2473,Kendrick Nunn Defensive Rebound.,27,42
18:44,2473,Martez Walker made Layup. Assisted by Kendrick Nunn.,29,42
18:25,2649,Jaelan Sanford made Layup.,29,44
18:04,2473,Kendrick Nunn made Jumper.,31,44
17:46,2473,Foul on Isaiah Brock.,31,44
17:34,2649,Nate Navigato made Dunk. Assisted by Jaelan Sanford.,31,46
17:34,2473,Foul on Julius Palmer.,31,46
17:34,2649,Nate Navigato made Free Throw.,31,47
17:23,2649,Foul on Jaelan Sanford.,31,47
17:13,2649,Foul on Tre'Shaun Fletcher.,31,47
17:13,2473,Martez Walker made Free Throw.,32,47
17:13,2473,Martez Walker made Free Throw.,33,47
16:52,2649,Luke Knapke made Layup. Assisted by Marreon Jackson.,33,49
16:44,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,36,49
16:26,2649,Jaelan Sanford missed Three Point Jumper.,36,49
16:26,2649,Luke Knapke Offensive Rebound.,36,49
16:18,2473,Foul on Brailen Neely.,36,49
16:18,2649,Jaelan Sanford made Free Throw.,36,50
16:18,2649,Jaelan Sanford missed Free Throw.,36,50
16:18,2473,James Beck Defensive Rebound.,36,50
15:54,2473,Martez Walker missed Three Point Jumper.,36,50
15:54,2649,Marreon Jackson Defensive Rebound.,36,50
15:45,2649,Marreon Jackson made Jumper.,36,52
15:26,2473,Kendrick Nunn made Three Point Jumper.,39,52
14:54,2649,Jaelan Sanford made Jumper.,39,54
14:42,2473,Kendrick Nunn missed Three Point Jumper.,39,54
14:42,2649,Dylan Alderson Defensive Rebound.,39,54
14:18,2649,Luke Knapke missed Layup.,39,54
14:18,2473,Julius Palmer Block.,39,54
14:16,2473,Kendrick Nunn Defensive Rebound.,39,54
14:09,2473,Martez Walker made Layup.,41,54
13:54,2649,Official TV Timeout,41,54
13:50,2649,Tre'Shaun Fletcher missed Jumper.,41,54
13:50,2473,Nick Daniels Defensive Rebound.,41,54
13:19,2473,James Beck made Layup. Assisted by Nick Daniels.,43,54
13:06,2473,Foul on Martez Walker.,43,54
13:04,2649,Luke Knapke made Three Point Jumper. Assisted by Nate Navigato.,43,57
12:45,2473,Jaevin Cumberland missed Layup.,43,57
12:45,2473,Martez Walker Offensive Rebound.,43,57
12:40,2473,Martez Walker made Layup.,45,57
12:26,2649,Jaelan Sanford Turnover.,45,57
12:26,2473,Martez Walker Steal.,45,57
12:10,2473,Kendrick Nunn missed Jumper.,45,57
12:10,2649,Luke Knapke Defensive Rebound.,45,57
11:58,2649,Jaelan Sanford made Jumper.,45,59
11:54,2649,Official TV Timeout,45,59
11:43,2473,Kendrick Nunn missed Jumper.,45,59
11:43,2649,Luke Knapke Defensive Rebound.,45,59
11:29,2649,Foul on Tre'Shaun Fletcher.,45,59
11:29,2649,Tre'Shaun Fletcher Turnover.,45,59
11:14,2473,Kendrick Nunn missed Jumper.,45,59
11:14,2649,Jaelan Sanford Defensive Rebound.,45,59
10:49,2649,Jaelan Sanford missed Three Point Jumper.,45,59
10:49,2473,Jaevin Cumberland Defensive Rebound.,45,59
10:40,2473,James Beck made Layup. Assisted by Nick Daniels.,47,59
10:15,2649,Jaelan Sanford missed Jumper.,47,59
10:15,2649,Luke Knapke Offensive Rebound.,47,59
10:14,2473,Foul on James Beck.,47,59
10:14,2649,Luke Knapke made Free Throw.,47,60
10:14,2649,Luke Knapke missed Free Throw.,47,60
10:14,2473,Martez Walker Defensive Rebound.,47,60
9:55,2649,Foul on Nate Navigato.,47,60
9:55,2473,Martez Walker made Free Throw.,48,60
9:55,2473,Martez Walker made Free Throw.,49,60
9:55,2473,Martez Walker made Free Throw.,50,60
9:40,2649,Tre'Shaun Fletcher missed Layup.,50,60
9:40,2473,Martez Walker Defensive Rebound.,50,60
9:21,2473,Kendrick Nunn made Jumper. Assisted by Nick Daniels.,52,60
9:06,2473,Foul on Nick Daniels.,52,60
9:05,2649,Tre'Shaun Fletcher missed Three Point Jumper.,52,60
9:05,2649,Marreon Jackson Offensive Rebound.,52,60
9:01,2649,Tre'Shaun Fletcher missed Three Point Jumper.,52,60
9:01,2649,Taylor Adway Offensive Rebound.,52,60
8:56,2473,Foul on Martez Walker.,52,60
8:56,2649,Taylor Adway missed Free Throw.,52,60
8:56,2473,Isaiah Brock Defensive Rebound.,52,60
8:37,2473,Nick Daniels made Three Point Jumper. Assisted by Kendrick Nunn.,55,60
8:08,2473,Foul on Kendrick Nunn.,55,60
8:08,2649,Tre'Shaun Fletcher made Free Throw.,55,61
8:08,2649,Tre'Shaun Fletcher made Free Throw.,55,62
7:51,2473,Kendrick Nunn missed Jumper.,55,62
7:51,2649,Toledo Defensive Rebound.,55,62
7:47,2649,Official TV Timeout,55,62
7:39,2649,Tre'Shaun Fletcher missed Three Point Jumper.,55,62
7:39,2473,Isaiah Brock Defensive Rebound.,55,62
7:22,2473,Chris Palombizio made Layup. Assisted by Martez Walker.,57,62
7:04,2649,Tre'Shaun Fletcher missed Layup.,57,62
7:04,2649,Luke Knapke Offensive Rebound.,57,62
7:02,2473,Foul on Isaiah Brock.,57,62
7:02,2649,Luke Knapke made Free Throw.,57,63
7:02,2649,Luke Knapke made Free Throw.,57,64
6:51,2473,Martez Walker Turnover.,57,64
6:38,2649,Nate Navigato missed Three Point Jumper.,57,64
6:38,2473,Nick Daniels Defensive Rebound.,57,64
6:17,2473,Kendrick Nunn Turnover.,57,64
6:15,2649,Marreon Jackson Steal.,57,64
6:11,2649,Marreon Jackson missed Layup.,57,64
6:11,2649,Tre'Shaun Fletcher Offensive Rebound.,57,64
6:06,2649,Tre'Shaun Fletcher made Layup.,57,66
5:43,2649,Foul on Luke Knapke.,57,66
5:43,2473,James Beck missed Free Throw.,57,66
5:43,2473,Oakland Deadball Team Rebound.,57,66
5:43,2473,James Beck made Free Throw.,58,66
5:31,2649,Jaelan Sanford made Layup. Assisted by Tre'Shaun Fletcher.,58,68
5:07,2473,Martez Walker missed Jumper.,58,68
5:07,2473,James Beck Offensive Rebound.,58,68
4:57,2473,James Beck missed Layup.,58,68
4:57,2473,Nick Daniels Offensive Rebound.,58,68
4:56,2473,Oakland  Turnover.,58,68
4:46,2649,Marreon Jackson made Layup.,58,70
4:26,2473,Martez Walker made Jumper. Assisted by Nick Daniels.,60,70
4:25,2649,Foul on Tre'Shaun Fletcher.,60,70
4:25,2473,Martez Walker missed Free Throw.,60,70
4:25,2649,Nate Navigato Defensive Rebound.,60,70
4:10,2649,Jaelan Sanford missed Jumper.,60,70
4:10,2649,Tre'Shaun Fletcher Offensive Rebound.,60,70
4:06,2649,Tre'Shaun Fletcher missed Layup.,60,70
4:06,2473,Martez Walker Defensive Rebound.,60,70
3:59,2473,Chris Palombizio missed Jumper.,60,70
3:59,2649,Nate Navigato Defensive Rebound.,60,70
3:43,2649,Official TV Timeout,60,70
3:36,2649,Tre'Shaun Fletcher made Layup.,60,72
3:21,2473,Kendrick Nunn missed Three Point Jumper.,60,72
3:21,2649,Tre'Shaun Fletcher Defensive Rebound.,60,72
2:46,2649,Marreon Jackson missed Jumper.,60,72
2:46,2649,Jaelan Sanford Offensive Rebound.,60,72
2:46,2649,Jaelan Sanford made Jumper.,60,74
2:33,2473,Kendrick Nunn made Layup.,62,74
2:29,2473,Oakland  Timeout,62,74
2:21,2649,Nate Navigato made Layup. Assisted by Tre'Shaun Fletcher.,62,76
2:11,2473,Martez Walker missed Layup.,62,76
2:11,2649,Nate Navigato Defensive Rebound.,62,76
2:06,2649,Toledo  Timeout,62,76
1:51,2473,Foul on Nick Daniels.,62,76
1:51,2649,Marreon Jackson made Free Throw.,62,77
1:51,2649,Marreon Jackson made Free Throw.,62,78
1:44,2473,Nick Daniels missed Three Point Jumper.,62,78
1:44,2473,James Beck Offensive Rebound.,62,78
1:40,2649,Foul on Luke Knapke.,62,78
1:40,2473,James Beck made Free Throw.,63,78
1:40,2473,James Beck made Free Throw.,64,78
1:39,2473,Foul on Nick Daniels.,64,78
1:39,2649,Jaelan Sanford made Free Throw.,64,79
1:39,2649,Jaelan Sanford missed Free Throw.,64,79
1:39,2473,Kendrick Nunn Defensive Rebound.,64,79
1:33,2473,Kendrick Nunn missed Three Point Jumper.,64,79
1:33,2649,Toledo Defensive Rebound.,64,79
1:04,2649,Marreon Jackson missed Layup.,64,79
1:04,2473,Brailen Neely Defensive Rebound.,64,79
0:59,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,67,79
0:33,2649,Nate Navigato made Dunk. Assisted by Marreon Jackson.,67,81
0:30,2473,Martez Walker made Three Point Jumper.,70,81
0:30,2649,Toledo  Timeout,70,81
0:29,2649,Tre'Shaun Fletcher made Layup. Assisted by Luke Knapke.,70,83
0:27,2473,Martez Walker made Layup.,72,83
0:27,2473,Foul on James Beck.,72,83
0:25,2649,Jaelan Sanford made Free Throw.,72,84
0:25,2649,Jaelan Sanford made Free Throw.,72,85
0:20,2649,Foul on Tre'Shaun Fletcher.,72,85
0:20,2473,Martez Walker missed Free Throw.,72,85
0:20,2473,Oakland Deadball Team Rebound.,72,85
0:20,2473,Martez Walker made Free Throw.,73,85
0:20,2473,Martez Walker made Free Throw.,74,85
0:12,2649,Jaelan Sanford made Dunk.,74,87
0:05,2473,Martez Walker missed Three Point Jumper.,74,87
0:05,2649,Justin Roberts Defensive Rebound.,74,87
0:00,2649,End of Game,74,87
