Army,2368,Marist,349
6:51,2368,Aleksandar Dozic Turnover.,26,27
6:29,349,Matthew Wilson missed Jumper.,26,27
6:29,349,Army Offensive Rebound.,26,27
6:19,349,Luke Morrison missed Jumper.,26,27
6:19,2368,David Knudsen Block.,26,27
6:17,349,Jacob Kessler Offensive Rebound.,26,27
6:13,349,Matthew Wilson missed Layup.,26,27
6:13,349,Jacob Kessler Offensive Rebound.,26,27
6:10,349,Jacob Kessler missed Two Point Tip Shot.,26,27
6:10,2368,Isaiah Lamb Defensive Rebound.,26,27
6:05,2368,David Knudsen missed Three Point Jumper.,26,27
6:05,349,John Emezie Defensive Rebound.,26,27
5:57,349,John Emezie missed Layup.,26,27
5:57,2368,Tobias Sjoberg Defensive Rebound.,26,27
5:43,2368,Brian Parker made Jumper.,26,29
5:16,349,Thomas Funk made Three Point Jumper.,29,29
4:55,2368,David Knudsen missed Jumper.,29,29
4:55,349,Luke Morrison Defensive Rebound.,29,29
4:50,349,Jacob Kessler made Layup. Assisted by Luke Morrison.,31,29
4:35,2368,Brian Parker made Jumper.,31,31
4:26,349,John Emezie missed Three Point Jumper.,31,31
4:26,349,Jacob Kessler Offensive Rebound.,31,31
3:59,349,Thomas Funk missed Jumper.,31,31
3:59,2368,Isaiah Lamb Defensive Rebound.,31,31
3:37,2368,Brian Parker Turnover.,31,31
3:36,349,Thomas Funk Steal.,31,31
3:35,2368,Foul on Brian Parker.,31,31
3:35,2368,Official TV Timeout,31,31
3:35,349,Thomas Funk made Free Throw.,32,31
3:35,349,Thomas Funk made Free Throw.,33,31
3:23,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,36,31
3:12,349,Foul on Jordan Fox.,36,31
3:03,2368,Brian Parker missed Jumper.,36,31
3:03,349,Thomas Funk Defensive Rebound.,36,31
2:52,349,Jordan Fox missed Three Point Jumper.,36,31
2:52,2368,Austin Williams Defensive Rebound.,36,31
2:44,2368,Foul on Austin Williams.,36,31
2:44,2368,Austin Williams Turnover.,36,31
2:35,349,Thomas Funk made Layup. Assisted by Alex King.,38,31
2:29,2368,Austin Williams Turnover.,38,31
2:27,349,Thomas Funk Steal.,38,31
2:27,2368,Foul on Brian Parker.,38,31
2:27,349,Tucker Blackwell missed Free Throw.,38,31
2:27,349,Army Deadball Team Rebound.,38,31
2:27,349,Tucker Blackwell made Free Throw.,39,31
2:20,2368,David Knudsen made Layup. Assisted by Aleksandar Dozic.,39,33
2:02,349,Jacob Kessler made Layup. Assisted by Jordan Fox.,41,33
1:42,2368,Austin Williams missed Three Point Jumper.,41,33
1:42,349,Alex King Defensive Rebound.,41,33
1:30,349,Lonnie Grayson Turnover.,41,33
1:29,2368,David Knudsen Steal.,41,33
1:25,2368,David Knudsen missed Three Point Jumper.,41,33
1:25,349,Jordan Fox Defensive Rebound.,41,33
1:09,349,Foul on Alex King.,41,33
1:09,349,Alex King Turnover.,41,33
0:58,2368,Tobias Sjoberg missed Layup.,41,33
0:58,349,Luke Morrison Defensive Rebound.,41,33
0:41,349,Matthew Wilson Turnover.,41,33
0:40,2368,Brian Parker Steal.,41,33
0:36,2368,Brian Parker made Layup.,41,35
0:05,349,Jordan Fox missed Layup.,41,35
0:05,2368,Marist Defensive Rebound.,41,35
0:00,2368,End of 1st half,41,35
19:52,349,Luke Morrison Turnover.,41,35
19:28,2368,Foul on Tobias Sjoberg.,41,35
19:28,2368,Tobias Sjoberg Turnover.,41,35
19:07,349,Thomas Funk Turnover.,41,35
18:44,2368,Brian Parker made Jumper.,41,37
18:36,349,Thomas Funk made Layup.,43,37
18:10,2368,Ryan Funk made Three Point Jumper. Assisted by Brian Parker.,43,40
17:52,349,Luke Morrison missed Three Point Jumper.,43,40
17:52,2368,Tobias Sjoberg Defensive Rebound.,43,40
17:42,2368,David Knudsen missed Three Point Jumper.,43,40
17:42,349,Jordan Fox Defensive Rebound.,43,40
17:31,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,46,40
17:17,349,Foul on Jacob Kessler.,46,40
17:13,2368,Andrea Bernardi Turnover.,46,40
17:12,349,Tucker Blackwell Steal.,46,40
17:05,349,Tucker Blackwell missed Layup.,46,40
16:59,349,John Emezie Offensive Rebound.,46,40
16:58,349,John Emezie made Layup.,48,40
16:50,349,Foul on Tucker Blackwell.,48,40
16:47,2368,Ryan Funk made Jumper. Assisted by Kristinn Palsson.,48,42
16:23,349,Matthew Wilson missed Layup.,48,42
16:23,2368,Connor McClenaghan Block.,48,42
16:21,349,Tucker Blackwell Offensive Rebound.,48,42
16:19,2368,Foul on Ryan Funk.,48,42
16:17,2368,Foul on Aleksandar Dozic.,48,42
16:17,349,Jordan Fox made Free Throw.,49,42
16:17,349,Jordan Fox made Free Throw.,50,42
16:12,349,Foul on Tucker Blackwell.,50,42
16:03,349,Foul on Alex King.,50,42
16:03,2368,Andrea Bernardi made Free Throw.,50,43
16:03,2368,Andrea Bernardi made Free Throw.,50,44
16:03,2368,Andrea Bernardi Turnover.,50,44
15:57,2368,Official TV Timeout,50,44
15:44,349,Jacob Kessler missed Three Point Jumper.,50,44
15:44,349,Thomas Funk Offensive Rebound.,50,44
15:36,349,Matthew Wilson made Layup.,52,44
15:16,2368,Andrea Bernardi made Layup.,52,46
15:10,2368,Foul on Austin Williams.,52,46
15:00,349,Thomas Funk made Layup.,54,46
14:54,2368,Andrea Bernardi Turnover.,54,46
14:42,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,57,46
14:23,2368,Ryan Funk made Three Point Jumper. Assisted by Tobias Sjoberg.,57,49
14:15,2368,Foul on Austin Williams.,57,49
14:13,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,59,49
13:48,2368,David Knudsen made Three Point Jumper.,59,52
13:40,349,Luke Morrison made Layup. Assisted by Matthew Wilson.,61,52
13:17,2368,Ryan Funk missed Three Point Jumper.,61,52
13:17,349,Matthew Wilson Defensive Rebound.,61,52
13:03,349,Luke Morrison missed Three Point Jumper.,61,52
13:03,2368,Tobias Sjoberg Defensive Rebound.,61,52
12:52,2368,Foul on Brian Parker.,61,52
12:52,2368,Brian Parker Turnover.,61,52
12:40,349,Alex King made Layup. Assisted by Jordan Fox.,63,52
12:18,2368,Isaiah Lamb made Three Point Jumper. Assisted by David Knudsen.,63,55
12:05,2368,Foul on Isaiah Lamb.,63,55
12:05,349,Jacob Kessler made Free Throw.,64,55
12:05,349,Jacob Kessler missed Free Throw.,64,55
12:05,2368,Brian Parker Defensive Rebound.,64,55
11:50,2368,Isaiah Lamb missed Three Point Jumper.,64,55
11:50,349,Jacob Kessler Defensive Rebound.,64,55
11:41,349,Jordan Fox missed Jumper.,64,55
11:41,2368,Tobias Sjoberg Defensive Rebound.,64,55
11:35,2368,Official TV Timeout,64,55
11:19,2368,Isaiah Lamb missed Layup.,64,55
11:19,349,John Miller Defensive Rebound.,64,55
11:05,349,Tucker Blackwell missed Three Point Jumper.,64,55
11:05,2368,Marist Defensive Rebound.,64,55
10:47,349,Foul on Jordan Fox.,64,55
10:47,2368,Isaiah Lamb made Free Throw.,64,56
10:47,2368,Isaiah Lamb made Free Throw.,64,57
10:37,349,Luke Morrison Turnover.,64,57
10:23,2368,Aleksandar Dozic Turnover.,64,57
10:21,349,Jordan Fox Steal.,64,57
10:19,349,Jordan Fox made Layup.,66,57
10:09,349,Foul on Matthew Wilson.,66,57
10:09,2368,Aleksandar Dozic made Free Throw.,66,58
10:09,2368,Aleksandar Dozic made Free Throw.,66,59
9:45,349,Jacob Kessler Turnover.,66,59
9:44,2368,Isaiah Lamb Steal.,66,59
9:40,2368,Isaiah Lamb made Layup.,66,61
9:39,349,Foul on Thomas Funk.,66,61
9:39,2368,Isaiah Lamb made Free Throw.,66,62
9:22,349,Thomas Funk Turnover.,66,62
9:19,2368,Brian Parker missed Layup.,66,62
9:19,349,Jacob Kessler Defensive Rebound.,66,62
9:11,349,Luke Morrison Turnover.,66,62
9:00,2368,David Knudsen missed Three Point Jumper.,66,62
9:00,349,Jacob Kessler Defensive Rebound.,66,62
8:45,349,Jordan Fox made Three Point Jumper. Assisted by Luke Morrison.,69,62
8:22,2368,Ryan Funk missed Three Point Jumper.,69,62
8:22,2368,Isaiah Lamb Offensive Rebound.,69,62
8:18,2368,Isaiah Lamb made Layup.,69,64
8:03,349,Luke Morrison made Layup.,71,64
7:54,2368,Andrea Bernardi Turnover.,71,64
7:54,2368,Official TV Timeout,71,64
7:42,349,Alex King made Layup. Assisted by Jordan Fox.,73,64
7:29,2368,Aleksandar Dozic missed Three Point Jumper.,73,64
7:29,349,Alex King Defensive Rebound.,73,64
7:11,349,Matthew Wilson made Layup.,75,64
6:49,2368,Isaiah Lamb missed Three Point Jumper.,75,64
6:49,349,Matthew Wilson Defensive Rebound.,75,64
6:46,2368,Foul on Aleksandar Dozic.,75,64
6:46,349,Matthew Wilson missed Free Throw.,75,64
6:46,2368,Isaiah Lamb Defensive Rebound.,75,64
6:27,2368,Brian Parker missed Layup.,75,64
6:27,349,Matthew Wilson Defensive Rebound.,75,64
6:13,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,77,64
6:05,2368,David Knudsen Turnover.,77,64
6:03,349,Matthew Wilson Steal.,77,64
6:00,2368,Foul on Ryan Funk.,77,64
6:00,349,Alex King made Free Throw.,78,64
6:00,349,Alex King made Free Throw.,79,64
5:47,2368,Isaiah Lamb missed Layup.,79,64
5:47,2368,Tobias Sjoberg Offensive Rebound.,79,64
5:45,2368,Tobias Sjoberg missed Two Point Tip Shot.,79,64
5:45,349,Alex King Defensive Rebound.,79,64
5:39,349,Jacob Kessler missed Layup.,79,64
5:39,349,Army Offensive Rebound.,79,64
5:35,349,Thomas Funk Turnover.,79,64
5:34,2368,David Knudsen Steal.,79,64
5:20,2368,Brian Parker missed Jumper.,79,64
5:20,2368,Brian Parker Offensive Rebound.,79,64
5:18,349,Foul on Thomas Funk.,79,64
5:18,2368,Brian Parker missed Free Throw.,79,64
5:18,349,Matthew Wilson Defensive Rebound.,79,64
4:58,349,Jordan Fox made Three Point Jumper. Assisted by Jacob Kessler.,82,64
4:33,349,Foul on Jordan Fox.,82,64
4:33,2368,Ryan Funk made Free Throw.,82,65
4:33,2368,Ryan Funk missed Free Throw.,82,65
4:33,349,Matthew Wilson Defensive Rebound.,82,65
4:17,349,Jacob Kessler Turnover.,82,65
4:16,2368,David Knudsen Steal.,82,65
4:11,2368,Foul on Brian Parker.,82,65
4:11,2368,Brian Parker Turnover.,82,65
4:00,349,Matthew Wilson made Dunk. Assisted by Thomas Funk.,84,65
3:45,349,Foul on Jacob Kessler.,84,65
3:45,2368,Official TV Timeout,84,65
3:45,2368,Austin Williams missed Free Throw.,84,65
3:45,2368,Marist Deadball Team Rebound.,84,65
3:45,2368,Austin Williams made Free Throw.,84,66
3:34,349,Luke Morrison made Jumper. Assisted by Jordan Fox.,86,66
3:24,2368,Austin Williams Turnover.,86,66
3:06,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,89,66
2:40,2368,Austin Williams made Layup.,89,68
2:09,349,Jacob Kessler made Three Point Jumper. Assisted by Thomas Funk.,92,68
2:01,2368,Marist  Timeout,92,68
1:45,2368,Austin Williams missed Three Point Jumper.,92,68
1:45,2368,Ryan Carmello Offensive Rebound.,92,68
1:39,2368,Lasse Gummerus missed Three Point Jumper.,92,68
1:39,2368,Connor McClenaghan Offensive Rebound.,92,68
1:33,349,Foul on John Miller.,92,68
1:33,2368,Ryan Carmello missed Free Throw.,92,68
1:33,2368,Marist Deadball Team Rebound.,92,68
1:33,2368,Ryan Carmello missed Free Throw.,92,68
1:33,349,Alex King Defensive Rebound.,92,68
1:18,349,Alex King made Layup.,94,68
1:08,2368,Austin Williams made Jumper.,94,70
0:53,349,John Emezie Turnover.,94,70
0:51,2368,Ryan Carmello Steal.,94,70
0:46,2368,Ryan Carmello missed Three Point Jumper.,94,70
0:46,2368,Andrea Bernardi Offensive Rebound.,94,70
0:42,349,Foul on Alex King.,94,70
0:42,2368,Austin Williams missed Free Throw.,94,70
0:42,2368,Marist Deadball Team Rebound.,94,70
0:42,2368,Austin Williams made Free Throw.,94,71
0:33,349,Foul on Mark Pollack.,94,71
0:33,349,Mark Pollack Turnover.,94,71
0:06,2368,Connor McClenaghan made Layup.,94,73
0:00,2368,End of Game,94,73
