Elon,3066,Concordia University-St. Paul,2210
9:49,2210,Dmitri Thompson missed Layup.,23,13
9:49,-1,Brandon McRoy Block.,23,13
9:48,2210,Dmitri Thompson Offensive Rebound.,23,13
9:46,2210,Dmitri Thompson made Layup.,25,13
9:19,-1,Avan Ward made Jumper.,25,15
9:09,2210,Dainan Swoope made Layup.,27,15
8:47,-1,Avan Ward missed Three Point Jumper.,27,15
8:47,2210,Steven Santa Ana Defensive Rebound.,27,15
8:35,2210,Dainan Swoope made Three Point Jumper. Assisted by Dmitri Thompson.,30,15
8:16,-1,Bryndan Matthews made Layup. Assisted by Avan Ward.,30,17
7:57,2210,Dainan Swoope made Three Point Jumper. Assisted by Dmitri Thompson.,33,17
7:34,-1,Official TV Timeout,33,17
7:17,-1,Concordia St. Paul  Turnover.,33,17
7:16,2210,Steven Santa Ana made Layup.,35,17
6:54,-1,Ted Brown made Jumper.,35,19
6:40,-1,Foul on Avan Ward.,35,19
6:40,2210,Dmitri Thompson made Free Throw.,36,19
6:40,2210,Dmitri Thompson made Free Throw.,37,19
6:28,-1,Avan Ward made Jumper.,37,21
6:18,2210,Dainan Swoope made Layup.,39,21
6:05,-1,Avan Ward made Jumper.,39,23
5:54,2210,Dmitri Thompson missed Three Point Jumper.,39,23
5:54,-1,Concordia St. Paul Defensive Rebound.,39,23
5:30,-1,Avan Ward missed Jumper.,39,23
5:30,2210,Steven Santa Ana Defensive Rebound.,39,23
5:18,2210,Dainan Swoope missed Three Point Jumper.,39,23
5:18,-1,Bryndan Matthews Defensive Rebound.,39,23
4:55,-1,Ted Brown made Dunk. Assisted by Max Keefe.,39,25
4:42,2210,Dainan Swoope missed Three Point Jumper.,39,25
4:42,-1,Avan Ward Defensive Rebound.,39,25
4:18,2210,Foul on Brian Dawkins.,39,25
4:07,-1,Avan Ward missed Three Point Jumper.,39,25
4:07,2210,Dainan Swoope Defensive Rebound.,39,25
3:58,2210,Simon Wright made Layup. Assisted by Dainan Swoope.,41,25
3:28,-1,Ted Brown missed Layup.,41,25
3:28,2210,Dainan Swoope Defensive Rebound.,41,25
3:23,2210,Steven Santa Ana made Three Point Jumper. Assisted by Dainan Swoope.,44,25
2:49,-1,Bryndan Matthews made Layup.,44,27
2:36,2210,Steven Santa Ana made Jumper.,46,27
2:16,-1,Ted Brown made Layup. Assisted by Avan Ward.,46,29
2:15,2210,Foul on Dainan Swoope.,46,29
2:15,-1,Official TV Timeout,46,29
2:15,-1,Ted Brown missed Free Throw.,46,29
2:15,2210,Simon Wright Defensive Rebound.,46,29
1:57,2210,Dainan Swoope missed Three Point Jumper.,46,29
1:57,2210,Simon Wright Offensive Rebound.,46,29
1:45,2210,Brian Dawkins missed Layup.,46,29
1:45,2210,Brian Dawkins Offensive Rebound.,46,29
1:44,2210,Brian Dawkins made Layup.,48,29
1:27,-1,Brandon McRoy missed Three Point Jumper.,48,29
1:27,2210,Dainan Swoope Defensive Rebound.,48,29
1:16,-1,Foul on Elliot Kane.,48,29
1:07,2210,Brian Dawkins made Layup. Assisted by Dainan Swoope.,50,29
0:47,-1,Avan Ward made Jumper.,50,31
0:20,2210,Dainan Swoope missed Layup.,50,31
0:20,-1,Avan Ward Defensive Rebound.,50,31
0:02,-1,Ahmad Newsome missed Layup.,50,31
0:02,2210,Brian Dawkins Block.,50,31
0:01,-1,Ahmad Newsome Offensive Rebound.,50,31
0:01,-1,Ahmad Newsome made Layup.,50,33
0:01,2210,Elon  Timeout,50,33
0:00,-1,End of 1st half,50,31
19:45,-1,Ted Brown Turnover.,50,33
19:43,2210,Steven Santa Ana Steal.,50,33
19:33,2210,Dainan Swoope made Three Point Jumper. Assisted by Dmitri Thompson.,53,33
19:20,2210,Foul on Dmitri Thompson.,53,33
19:19,-1,Bryndan Matthews made Free Throw.,53,34
19:19,-1,Bryndan Matthews made Free Throw.,53,35
19:01,2210,Steven Santa Ana missed Jumper.,53,35
19:01,-1,Avan Ward Defensive Rebound.,53,35
18:50,-1,Ted Brown made Layup. Assisted by Max Keefe.,53,37
18:42,2210,Dainan Swoope made Jumper.,55,37
18:26,-1,Bryndan Matthews Turnover.,55,37
18:25,2210,Steven Santa Ana Steal.,55,37
18:21,2210,Dmitri Thompson made Layup. Assisted by Steven Santa Ana.,57,37
18:03,-1,Foul on Max Keefe.,57,37
18:03,-1,Max Keefe Turnover.,57,37
17:52,2210,Dmitri Thompson missed Layup.,57,37
17:52,-1,Avan Ward Block.,57,37
17:52,2210,Elon Offensive Rebound.,57,37
17:48,2210,Dmitri Thompson missed Jumper.,57,37
17:48,-1,Ted Brown Defensive Rebound.,57,37
17:35,-1,Avan Ward made Three Point Jumper.,57,40
17:33,2210,Foul on Brian Dawkins.,57,40
17:19,-1,Avan Ward missed Jumper.,57,40
17:19,2210,Tyler Seibring Defensive Rebound.,57,40
17:09,2210,Dainan Swoope Turnover.,57,40
17:08,-1,Ted Brown Steal.,57,40
16:49,-1,Avan Ward missed Three Point Jumper.,57,40
16:49,-1,Bryndan Matthews Offensive Rebound.,57,40
16:37,-1,Avan Ward missed Jumper.,57,40
16:37,2210,Steven Santa Ana Defensive Rebound.,57,40
16:27,2210,Karolis Kundrotas missed Layup.,57,40
16:27,-1,Evan Wesenberg Block.,57,40
16:27,2210,Elon Offensive Rebound.,57,40
16:19,2210,Tyler Seibring missed Three Point Jumper.,57,40
16:19,-1,Cody Carlson Defensive Rebound.,57,40
15:59,2210,Foul on Karolis Kundrotas.,57,40
15:59,-1,Official TV Timeout,57,40
15:44,-1,Bryndan Matthews missed Three Point Jumper.,57,40
15:44,2210,Steven Santa Ana Defensive Rebound.,57,40
15:21,2210,Dainan Swoope made Three Point Jumper.,60,40
15:03,-1,Cody Carlson missed Three Point Jumper.,60,40
15:03,2210,Sheldon Eberhardt Defensive Rebound.,60,40
14:56,2210,Dmitri Thompson Turnover.,60,40
14:31,-1,Bryndan Matthews made Three Point Jumper. Assisted by Elliot Kane.,60,43
14:17,2210,Dainan Swoope missed Three Point Jumper.,60,43
14:17,-1,Bryndan Matthews Defensive Rebound.,60,43
14:14,2210,Foul on Simon Wright.,60,43
14:00,-1,Bryndan Matthews made Jumper.,60,45
14:00,2210,Foul on Dmitri Thompson.,60,45
14:00,-1,Bryndan Matthews made Free Throw.,60,46
13:41,2210,Simon Wright missed Three Point Jumper.,60,46
13:41,2210,Dmitri Thompson Offensive Rebound.,60,46
13:28,-1,Foul on Avan Ward.,60,46
13:28,2210,Dainan Swoope missed Free Throw.,60,46
13:28,2210,Elon Deadball Team Rebound.,60,46
13:28,2210,Dainan Swoope made Free Throw.,61,46
13:16,-1,Cody Carlson missed Layup.,61,46
13:16,2210,Dmitri Thompson Defensive Rebound.,61,46
13:09,2210,Simon Wright missed Three Point Jumper.,61,46
13:09,-1,Cody Carlson Defensive Rebound.,61,46
12:58,-1,Avan Ward made Layup.,61,48
12:37,2210,Dmitri Thompson made Layup.,63,48
12:37,-1,Foul on Evan Wesenberg.,63,48
12:37,2210,Dmitri Thompson made Free Throw.,64,48
12:19,-1,Avan Ward missed Jumper.,64,48
12:19,2210,Dmitri Thompson Defensive Rebound.,64,48
12:13,2210,Elon  Timeout,64,48
11:53,2210,Steven Santa Ana missed Jumper.,64,48
11:53,-1,Avan Ward Defensive Rebound.,64,48
11:45,-1,Cody Carlson missed Layup.,64,48
11:45,2210,Brian Dawkins Defensive Rebound.,64,48
11:36,2210,Seth Fuller made Three Point Jumper.,67,48
11:15,-1,Bryndan Matthews missed Jumper.,67,48
11:15,2210,Steven Santa Ana Defensive Rebound.,67,48
11:06,2210,Brian Dawkins missed Three Point Jumper.,67,48
11:06,-1,Bryndan Matthews Defensive Rebound.,67,48
10:51,-1,Brandon McRoy made Jumper.,67,50
10:35,-1,Foul on Elliot Kane.,67,50
10:35,-1,Official TV Timeout,67,50
10:22,2210,Steven Santa Ana Turnover.,67,50
10:20,-1,Elliot Kane Steal.,67,50
10:18,-1,Avan Ward missed Layup.,67,50
10:18,2210,Elon Defensive Rebound.,67,50
9:52,2210,Brian Dawkins made Layup.,69,50
9:34,-1,Brandon McRoy missed Three Point Jumper.,69,50
9:34,-1,Bryndan Matthews Offensive Rebound.,69,50
9:21,-1,Elliot Kane missed Three Point Jumper.,69,50
9:21,-1,Ted Brown Offensive Rebound.,69,50
9:15,-1,Avan Ward made Jumper. Assisted by Ted Brown.,69,52
8:57,2210,Steven Santa Ana missed Three Point Jumper.,69,52
8:57,-1,Brandon McRoy Defensive Rebound.,69,52
8:41,-1,Avan Ward missed Three Point Jumper.,69,52
8:41,2210,Tyler Seibring Defensive Rebound.,69,52
8:27,2210,Tyler Seibring missed Three Point Jumper.,69,52
8:27,-1,Avan Ward Defensive Rebound.,69,52
8:14,2210,Foul on Dmitri Thompson.,69,52
8:03,-1,Bryndan Matthews Turnover.,69,52
8:02,2210,Dainan Swoope Steal.,69,52
7:57,2210,Simon Wright made Layup. Assisted by Dainan Swoope.,71,52
7:39,-1,Brandon McRoy Turnover.,71,52
7:38,2210,Sheldon Eberhardt Steal.,71,52
7:32,2210,Steven Santa Ana missed Three Point Jumper.,71,52
7:32,-1,Bryndan Matthews Defensive Rebound.,71,52
7:12,-1,Brandon McRoy made Three Point Jumper. Assisted by Elliot Kane.,71,55
6:55,2210,Steven Santa Ana missed Three Point Jumper.,71,55
6:55,-1,Ahmad Newsome Defensive Rebound.,71,55
6:44,-1,Ahmad Newsome missed Jumper.,71,55
6:44,2210,Sheldon Eberhardt Defensive Rebound.,71,55
6:39,2210,Elon  Timeout,71,55
6:39,-1,Official TV Timeout,71,55
6:27,-1,Foul on Elliot Kane.,71,55
6:27,2210,Dmitri Thompson made Free Throw.,72,55
6:27,2210,Dmitri Thompson made Free Throw.,73,55
6:13,-1,Foul on Ted Brown.,73,55
6:13,-1,Ted Brown Turnover.,73,55
5:48,2210,Dmitri Thompson missed Three Point Jumper.,73,55
5:48,-1,Bryndan Matthews Defensive Rebound.,73,55
5:22,-1,Ted Brown Turnover.,73,55
5:21,2210,Dmitri Thompson Steal.,73,55
5:14,2210,Dainan Swoope made Three Point Jumper.,76,55
4:42,-1,Max Keefe missed Three Point Jumper.,76,55
4:42,2210,Dainan Swoope Defensive Rebound.,76,55
4:09,2210,Dmitri Thompson missed Three Point Jumper.,76,55
4:09,-1,Elliot Kane Block.,76,55
4:09,-1,Concordia St. Paul Deadball Team Rebound.,76,55
4:09,2210,Elon  Turnover.,76,55
3:54,-1,Evan Wesenberg made Jumper.,76,57
3:52,-1,Official TV Timeout,76,57
3:25,2210,Simon Wright made Three Point Jumper. Assisted by Sheldon Eberhardt.,79,57
3:06,-1,Max Keefe made Three Point Jumper. Assisted by Evan Wesenberg.,79,60
2:38,2210,Simon Wright missed Three Point Jumper.,79,60
2:38,2210,Dmitri Thompson Offensive Rebound.,79,60
2:33,2210,Sheldon Eberhardt missed Three Point Jumper.,79,60
2:33,2210,Karolis Kundrotas Offensive Rebound.,79,60
2:27,2210,Dmitri Thompson missed Three Point Jumper.,79,60
2:27,-1,Bryndan Matthews Defensive Rebound.,79,60
2:08,-1,Evan Wesenberg Turnover.,79,60
2:07,2210,Seth Fuller Steal.,79,60
2:03,2210,Dmitri Thompson made Three Point Jumper. Assisted by Seth Fuller.,82,60
1:53,2210,Foul on Dmitri Thompson.,82,60
1:53,-1,Avan Ward made Free Throw.,82,61
1:53,-1,Avan Ward made Free Throw.,82,62
1:31,2210,Seth Fuller Turnover.,82,62
1:31,-1,Avan Ward Steal.,82,62
1:18,-1,Evan Wesenberg missed Jumper.,82,62
1:18,2210,Sheldon Eberhardt Defensive Rebound.,82,62
0:54,-1,Foul on Brandon McRoy.,82,62
0:54,2210,Sheldon Eberhardt made Free Throw.,83,62
0:54,2210,Sheldon Eberhardt made Free Throw.,84,62
0:42,-1,Avan Ward missed Jumper.,84,62
0:42,-1,Evan Wesenberg Offensive Rebound.,84,62
0:27,-1,Max Keefe missed Three Point Jumper.,84,62
0:27,2210,Collin Luther Defensive Rebound.,84,62
0:24,2210,Collin Luther Turnover.,84,62
0:22,-1,Brandon McRoy Steal.,84,62
0:18,-1,Ahmad Newsome missed Layup.,84,62
0:18,-1,Evan Wesenberg Offensive Rebound.,84,62
0:16,-1,Evan Wesenberg missed Two Point Tip Shot.,84,62
0:16,2210,Elon Defensive Rebound.,84,62
0:00,-1,End of Game,84,62
