Grambling,233,South Dakota,2755
11:19,233,Nick Fuller made Layup. Assisted by Dan Jech.,9,24
11:00,233,Foul on Dan Jech.,9,24
10:47,2755,Kareem Wright made Three Point Jumper. Assisted by Ivy Smith Jr..,12,24
10:38,233,Tyler Peterson missed Layup.,12,24
10:38,2755,Devante Jackson Defensive Rebound.,12,24
10:29,2755,Bobby Jackson Turnover.,12,24
10:28,233,Triston Simpson Steal.,12,24
10:27,233,Triston Simpson Turnover.,12,24
10:26,2755,Kareem Wright Steal.,12,24
10:21,233,Foul on Tyler Peterson.,12,24
10:14,2755,Ivy Smith Jr. missed Jumper.,12,24
10:14,233,Tyler Peterson Defensive Rebound.,12,24
10:02,233,Trey Burch-Manning missed Layup.,12,24
10:02,2755,Bobby Jackson Defensive Rebound.,12,24
9:53,2755,Devante Jackson missed Jumper.,12,24
9:53,233,Tyler Hagedorn Block.,12,24
9:50,233,Tyler Hagedorn Defensive Rebound.,12,24
9:44,2755,Foul on Devante Jackson.,12,24
9:44,233,Tyler Peterson made Free Throw.,12,25
9:44,233,Tyler Peterson made Free Throw.,12,26
9:29,233,Foul on Triston Simpson.,12,26
9:23,2755,Kareem Wright made Layup.,14,26
9:08,2755,Foul on Diontae Jones.,14,26
9:08,233,Tyler Hagedorn made Free Throw.,14,27
9:08,233,Tyler Hagedorn made Free Throw.,14,28
8:46,2755,Kareem Wright Turnover.,14,28
8:44,233,Matt Mooney Steal.,14,28
8:41,233,Trey Burch-Manning Turnover.,14,28
8:41,2755,Kareem Wright Steal.,14,28
8:29,2755,Drake Wilks Turnover.,14,28
8:10,233,Matt Mooney missed Three Point Jumper.,14,28
8:10,2755,Diontae Jones Defensive Rebound.,14,28
8:01,2755,Nigel Ribeiro missed Jumper.,14,28
8:01,233,Trey Burch-Manning Defensive Rebound.,14,28
7:49,233,Brandon Armstrong made Three Point Jumper. Assisted by Trey Burch-Manning.,14,31
7:33,2755,Kareem Wright made Layup.,16,31
7:16,233,Tyler Hagedorn Turnover.,16,31
7:16,233,Foul on Tyler Hagedorn.,16,31
7:16,233,Official TV Timeout,16,31
7:02,2755,Bobby Jackson made Three Point Jumper. Assisted by Kareem Wright.,19,31
6:48,233,Tyler Peterson missed Three Point Jumper.,19,31
6:48,2755,Shirmane Thomas Defensive Rebound.,19,31
6:34,2755,Shirmane Thomas made Layup. Assisted by Bobby Jackson.,21,31
6:34,233,Foul on Tyler Hagedorn.,21,31
6:34,2755,Shirmane Thomas made Free Throw.,22,31
6:17,233,Brandon Armstrong missed Three Point Jumper.,22,31
6:17,233,Nick Fuller Offensive Rebound.,22,31
6:13,233,Nick Fuller made Jumper.,22,33
5:55,2755,Kareem Wright Turnover.,22,33
5:28,233,Carlton Hurst missed Jumper.,22,33
5:28,233,Trey Burch-Manning Offensive Rebound.,22,33
5:24,233,Trey Burch-Manning made Two Point Tip Shot.,22,35
5:04,2755,Kareem Wright missed Three Point Jumper.,22,35
5:04,2755,Diontae Jones Offensive Rebound.,22,35
4:59,2755,Diontae Jones missed Jumper.,22,35
4:59,233,Matt Mooney Defensive Rebound.,22,35
4:41,233,Carlton Hurst made Layup. Assisted by Trey Burch-Manning.,22,37
4:19,2755,Diontae Jones missed Jumper.,22,37
4:19,233,Carlton Hurst Defensive Rebound.,22,37
4:12,2755,Foul on Diontae Jones.,22,37
4:12,233,Brandon Armstrong missed Free Throw.,22,37
4:12,233,South Dakota Deadball Team Rebound.,22,37
4:12,233,Brandon Armstrong missed Free Throw.,22,37
4:12,2755,Axel Mpoyo Defensive Rebound.,22,37
3:45,2755,Drake Wilks missed Jumper.,22,37
3:45,233,Dan Jech Defensive Rebound.,22,37
3:36,233,Matt Mooney Turnover.,22,37
3:36,233,Foul on Matt Mooney.,22,37
3:36,233,Official TV Timeout,22,37
3:09,2755,Axel Mpoyo made Jumper.,24,37
2:49,233,Triston Simpson missed Three Point Jumper.,24,37
2:49,2755,Anthony Gaston Defensive Rebound.,24,37
2:32,233,Foul on Matt Mooney.,24,37
2:32,2755,Shirmane Thomas missed Free Throw.,24,37
2:32,2755,Grambling Deadball Team Rebound.,24,37
2:32,2755,Shirmane Thomas made Free Throw.,25,37
2:13,233,Tyler Peterson missed Jumper.,25,37
2:13,2755,Shirmane Thomas Block.,25,37
2:10,2755,Shirmane Thomas Defensive Rebound.,25,37
2:00,2755,Shirmane Thomas missed Three Point Jumper.,25,37
2:00,233,Tyler Peterson Defensive Rebound.,25,37
1:48,2755,Foul on Anthony Gaston.,25,37
1:48,233,Triston Simpson made Free Throw.,25,38
1:48,233,Triston Simpson made Free Throw.,25,39
1:32,2755,Anthony Gaston Turnover.,25,39
1:30,233,Carlton Hurst Steal.,25,39
1:28,233,Carlton Hurst made Layup.,25,41
1:02,2755,Ivy Smith Jr. missed Jumper.,25,41
1:02,233,Trey Burch-Manning Defensive Rebound.,25,41
0:51,233,Trey Burch-Manning Turnover.,25,41
0:51,233,Foul on Trey Burch-Manning.,25,41
0:39,233,Foul on Nick Fuller.,25,41
0:39,2755,Diontae Jones made Free Throw.,26,41
0:39,2755,Diontae Jones made Free Throw.,27,41
0:12,233,Triston Simpson missed Jumper.,27,41
0:12,233,Trey Burch-Manning Offensive Rebound.,27,41
0:02,233,Matt Mooney missed Three Point Jumper.,27,41
0:02,2755,Ivy Smith Jr. Defensive Rebound.,27,41
0:00,233,End of 1st half,27,41
19:50,233,Tyler Hagedorn missed Jumper.,27,41
19:50,2755,Shirmane Thomas Defensive Rebound.,27,41
19:19,2755,Axel Mpoyo Turnover.,27,41
19:10,2755,Foul on Ivy Smith Jr..,27,41
19:05,233,Trey Burch-Manning missed Jumper.,27,41
19:05,2755,Devante Jackson Block.,27,41
19:03,2755,Ivy Smith Jr. Defensive Rebound.,27,41
18:59,2755,Ivy Smith Jr. missed Layup.,27,41
18:59,2755,Shirmane Thomas Offensive Rebound.,27,41
18:55,2755,Shirmane Thomas made Two Point Tip Shot.,29,41
18:44,233,Matt Mooney Turnover.,29,41
18:44,233,Foul on Matt Mooney.,29,41
18:29,2755,Shirmane Thomas missed Jumper.,29,41
18:29,233,Matt Mooney Defensive Rebound.,29,41
18:21,233,Carlton Hurst made Dunk. Assisted by Matt Mooney.,29,43
18:08,2755,Anthony Gaston made Layup.,31,43
17:45,2755,Foul on Shirmane Thomas.,31,43
17:41,233,Matt Mooney missed Jumper.,31,43
17:41,2755,Ivy Smith Jr. Defensive Rebound.,31,43
17:30,233,Foul on Matt Mooney.,31,43
17:17,233,Foul on Trey Burch-Manning.,31,43
17:17,2755,Axel Mpoyo Turnover.,31,43
16:57,233,Tyler Peterson missed Three Point Jumper.,31,43
16:57,2755,Shirmane Thomas Block.,31,43
16:54,2755,Devante Jackson Defensive Rebound.,31,43
16:38,2755,Devante Jackson missed Jumper.,31,43
16:38,233,Carlton Hurst Defensive Rebound.,31,43
16:24,233,Carlton Hurst made Layup. Assisted by Tyler Peterson.,31,45
16:13,2755,Axel Mpoyo missed Jumper.,31,45
16:13,233,Trey Burch-Manning Defensive Rebound.,31,45
16:00,233,Tyler Peterson Turnover.,31,45
15:59,2755,Axel Mpoyo Steal.,31,45
15:55,2755,Ivy Smith Jr. missed Layup.,31,45
15:55,233,Tyler Peterson Block.,31,45
15:54,233,Trey Burch-Manning Defensive Rebound.,31,45
15:35,233,Foul on Tyler Hagedorn.,31,45
15:35,2755,Foul on Devante Jackson.,31,45
15:35,233,Official TV Timeout,31,45
15:26,233,Tyler Peterson missed Jumper.,31,45
15:26,233,Carlton Hurst Offensive Rebound.,31,45
15:15,233,Nick Fuller made Layup. Assisted by Triston Simpson.,31,47
14:46,2755,Ivy Smith Jr. missed Layup.,31,47
14:46,233,Dan Jech Defensive Rebound.,31,47
14:40,233,Carlton Hurst made Layup. Assisted by Dan Jech.,31,49
14:31,2755,Grambling  Timeout,31,49
14:20,2755,Diontae Jones missed Jumper.,31,49
14:20,233,Dan Jech Block.,31,49
14:19,2755,Grambling Offensive Rebound.,31,49
14:17,2755,Ivy Smith Jr. Turnover.,31,49
14:16,233,Tyler Peterson Steal.,31,49
14:14,233,Tyler Peterson made Layup.,31,51
13:58,2755,Anthony Gaston missed Jumper.,31,51
13:58,233,Triston Simpson Defensive Rebound.,31,51
13:50,233,Triston Simpson Turnover.,31,51
13:24,2755,Diontae Jones missed Three Point Jumper.,31,51
13:24,233,Carlton Hurst Defensive Rebound.,31,51
13:14,2755,Foul on Anthony Gaston.,31,51
13:12,2755,Foul on Nigel Ribeiro.,31,51
13:08,233,Nick Fuller made Jumper. Assisted by Triston Simpson.,31,53
13:07,2755,Foul on Diontae Jones.,31,53
13:07,233,Nick Fuller made Free Throw.,31,54
12:54,2755,Kareem Wright Turnover.,31,54
12:53,233,Tyler Peterson Steal.,31,54
12:53,2755,Foul on Diontae Jones.,31,54
12:53,233,Tyler Peterson made Free Throw.,31,55
12:53,233,Tyler Peterson made Free Throw.,31,56
12:34,2755,Drake Wilks missed Layup.,31,56
12:34,233,Brandon Armstrong Defensive Rebound.,31,56
12:29,233,Brandon Armstrong Turnover.,31,56
12:28,2755,Kareem Wright Steal.,31,56
12:25,2755,Devante Jackson made Layup. Assisted by Kareem Wright.,33,56
12:03,233,Nick Fuller Turnover.,33,56
11:47,2755,Bobby Jackson made Jumper.,35,56
11:36,2755,Foul on Devante Jackson.,35,56
11:36,233,Official TV Timeout,35,56
11:36,233,Dan Jech made Free Throw.,35,57
11:36,233,Dan Jech made Free Throw.,35,58
11:19,2755,Bobby Jackson made Three Point Jumper. Assisted by Nigel Ribeiro.,38,58
11:07,2755,Foul on Kareem Wright.,38,58
11:07,233,Triston Simpson made Free Throw.,38,59
11:07,233,Triston Simpson missed Free Throw.,38,59
11:07,233,South Dakota Offensive Rebound.,38,59
10:52,233,Tyler Peterson missed Three Point Jumper.,38,59
10:52,233,Dan Jech Offensive Rebound.,38,59
10:48,233,Dan Jech made Jumper.,38,61
10:40,2755,Kareem Wright Turnover.,38,61
10:38,233,Trey Burch-Manning Steal.,38,61
10:35,233,Dan Jech made Layup. Assisted by Brandon Armstrong.,38,63
10:18,233,Foul on Dan Jech.,38,63
10:04,233,Foul on Tyler Hagedorn.,38,63
10:04,2755,Axel Mpoyo made Free Throw.,39,63
10:04,2755,Axel Mpoyo made Free Throw.,40,63
9:48,233,Tyler Peterson made Layup.,40,65
9:19,2755,Axel Mpoyo missed Three Point Jumper.,40,65
9:19,233,Tyler Peterson Defensive Rebound.,40,65
9:12,233,Tyler Hagedorn made Layup. Assisted by Triston Simpson.,40,67
8:46,2755,Ivy Smith Jr. made Jumper.,42,67
8:34,233,Tyler Peterson Turnover.,42,67
8:33,2755,Ivy Smith Jr. Steal.,42,67
8:30,233,Foul on Tyler Peterson.,42,67
8:30,2755,Drake Wilks missed Free Throw.,42,67
8:30,2755,Grambling Deadball Team Rebound.,42,67
8:30,2755,Drake Wilks made Free Throw.,43,67
8:23,233,Tyler Hagedorn made Layup. Assisted by Tyler Peterson.,43,69
8:01,2755,Axel Mpoyo made Jumper. Assisted by Drake Wilks.,45,69
7:45,233,Brandon Armstrong missed Jumper.,45,69
7:45,2755,Diing Diing Wol Block.,45,69
7:42,2755,Nigel Ribeiro Defensive Rebound.,45,69
7:34,233,Foul on Brandon Armstrong.,45,69
7:34,233,Official TV Timeout,45,69
7:34,2755,Drake Wilks made Free Throw.,46,69
7:34,2755,Drake Wilks missed Free Throw.,46,69
7:34,233,Trey Burch-Manning Defensive Rebound.,46,69
7:09,233,Triston Simpson missed Three Point Jumper.,46,69
7:09,2755,Nigel Ribeiro Defensive Rebound.,46,69
6:59,2755,Diing Diing Wol missed Three Point Jumper.,46,69
6:59,233,South Dakota Defensive Rebound.,46,69
6:26,2755,Foul on Diing Diing Wol.,46,69
6:26,233,Triston Simpson made Free Throw.,46,70
6:26,233,Triston Simpson made Free Throw.,46,71
6:10,233,Foul on Nick Fuller.,46,71
6:10,2755,Ivy Smith Jr. made Free Throw.,47,71
6:10,2755,Ivy Smith Jr. made Free Throw.,48,71
6:05,233,Tyler Peterson Turnover.,48,71
6:03,2755,Diing Diing Wol Steal.,48,71
6:01,2755,Nigel Ribeiro missed Layup.,48,71
6:01,2755,Grambling Offensive Rebound.,48,71
5:54,2755,Diing Diing Wol missed Jumper.,48,71
5:54,233,Nick Fuller Block.,48,71
5:51,233,Nick Fuller Defensive Rebound.,48,71
5:46,233,Triston Simpson made Layup.,48,73
5:28,2755,Anthony Gaston missed Three Point Jumper.,48,73
5:28,2755,Axel Mpoyo Offensive Rebound.,48,73
5:21,2755,Ivy Smith Jr. missed Three Point Jumper.,48,73
5:21,2755,Axel Mpoyo Offensive Rebound.,48,73
5:10,233,Foul on Tyler Peterson.,48,73
5:10,2755,Diing Diing Wol missed Free Throw.,48,73
5:10,2755,Grambling Deadball Team Rebound.,48,73
5:10,2755,Grambling  Timeout,48,73
5:10,2755,Diing Diing Wol missed Free Throw.,48,73
5:10,2755,Anthony Gaston Offensive Rebound.,48,73
5:00,2755,Ivy Smith Jr. Turnover.,48,73
4:32,233,Logan Power missed Jumper.,48,73
4:32,2755,Diing Diing Wol Defensive Rebound.,48,73
4:13,2755,Anthony Gaston Turnover.,48,73
4:12,233,Tyler Peterson Steal.,48,73
4:09,233,Joshua Doss made Layup. Assisted by Tyler Peterson.,48,75
3:50,2755,Diing Diing Wol missed Jumper.,48,75
3:50,233,Dan Jech Block.,48,75
3:48,233,Brandon Armstrong Defensive Rebound.,48,75
3:33,2755,Foul on Diing Diing Wol.,48,75
3:33,233,Official TV Timeout,48,75
3:33,233,Tyler Peterson made Free Throw.,48,76
3:33,233,Tyler Peterson made Free Throw.,48,77
3:14,2755,Bobby Jackson missed Jumper.,48,77
3:14,2755,Drake Wilks Offensive Rebound.,48,77
3:03,2755,Nigel Ribeiro missed Jumper.,48,77
3:03,2755,Drake Wilks Offensive Rebound.,48,77
3:00,2755,Drake Wilks made Layup.,50,77
2:45,233,South Dakota  Turnover.,50,77
2:39,2755,Drake Wilks made Layup. Assisted by Anthony Gaston.,52,77
2:15,233,Stanley Umude missed Jumper.,52,77
2:15,2755,Nigel Ribeiro Defensive Rebound.,52,77
2:04,233,Foul on Austin Sparks.,52,77
2:04,2755,Bobby Jackson made Free Throw.,53,77
2:04,2755,Bobby Jackson missed Free Throw.,53,77
2:04,233,Joshua Doss Defensive Rebound.,53,77
1:37,233,Logan Power made Three Point Jumper. Assisted by Joshua Doss.,53,80
1:21,233,Foul on Joshua Doss.,53,80
1:21,2755,Anthony Gaston made Free Throw.,54,80
1:21,2755,Anthony Gaston made Free Throw.,55,80
0:57,233,Stanley Umude made Layup.,55,82
0:38,2755,Nigel Ribeiro missed Jumper.,55,82
0:38,233,Logan Power Defensive Rebound.,55,82
0:31,2755,Foul on Nigel Ribeiro.,55,82
0:31,233,Joshua Doss made Free Throw.,55,83
0:31,233,Joshua Doss made Free Throw.,55,84
