North Carolina A&amp;T,294,Jacksonville,2448
12:36,2448,Kameron Langley Defensive Rebound.,18,13
12:27,2448,Femi Olujobi made Three Point Jumper. Assisted by Kwei Lartey.,21,13
12:07,294,Cody Helgeland missed Jumper.,21,13
12:07,2448,Japhet Kadji Defensive Rebound.,21,13
11:58,2448,North Carolina A&T  Timeout,21,13
11:35,2448,Amari Hamilton missed Three Point Jumper.,21,13
11:35,294,Devin Harris Defensive Rebound.,21,13
11:24,294,Jace Hogan missed Jumper.,21,13
11:24,2448,Amari Hamilton Defensive Rebound.,21,13
11:05,2448,Devonte Boykins missed Three Point Jumper.,21,13
11:05,294,Devin Harris Defensive Rebound.,21,13
10:50,294,Radwan Bakkali made Layup. Assisted by Devin Harris.,21,15
10:33,2448,Femi Olujobi made Jumper. Assisted by Devonte Boykins.,23,15
10:14,294,Jace Hogan made Jumper.,23,17
9:52,2448,Denzel Keyes made Layup. Assisted by Kwei Lartey.,25,17
9:37,294,Jalyn Hinton made Layup.,25,19
9:26,2448,Kwei Lartey missed Three Point Jumper.,25,19
9:26,294,Radwan Bakkali Defensive Rebound.,25,19
9:14,2448,Foul on Amari Hamilton.,25,19
9:14,294,Tanner Rubio made Free Throw.,25,20
9:14,294,Tanner Rubio made Free Throw.,25,21
8:52,2448,Devonte Boykins missed Layup.,25,21
8:52,294,Jalyn Hinton Block.,25,21
8:50,294,Tanner Rubio Defensive Rebound.,25,21
8:46,2448,Foul on Japhet Kadji.,25,21
8:46,294,Jace Hogan missed Free Throw.,25,21
8:46,294,Jacksonville Deadball Team Rebound.,25,21
8:46,294,Jace Hogan missed Free Throw.,25,21
8:46,2448,Denzel Keyes Defensive Rebound.,25,21
8:25,2448,Amari Hamilton Turnover.,25,21
8:07,294,Devin Harris made Layup.,25,23
7:35,2448,Femi Olujobi made Layup.,27,23
7:10,294,Radwan Bakkali made Jumper. Assisted by Tanner Rubio.,27,25
6:38,2448,Kameron Langley Turnover.,27,25
6:38,294,Jacksonville  Timeout,27,25
6:26,294,Jace Hogan made Layup.,27,27
6:26,2448,Foul on Japhet Kadji.,27,27
6:26,294,Jace Hogan made Free Throw.,27,28
6:10,2448,Denzel Keyes missed Jumper.,27,28
6:10,2448,Femi Olujobi Offensive Rebound.,27,28
6:07,2448,Femi Olujobi missed Layup.,27,28
6:07,294,Jace Hogan Block.,27,28
6:04,2448,Kameron Langley Offensive Rebound.,27,28
6:00,2448,Kwei Lartey made Layup.,29,28
5:51,294,Tanner Rubio missed Three Point Jumper.,29,28
5:51,2448,Kameron Langley Defensive Rebound.,29,28
5:22,2448,Kwei Lartey made Layup.,31,28
4:52,294,Devin Harris missed Jumper.,31,28
4:52,2448,Devonte Boykins Defensive Rebound.,31,28
4:50,294,Foul on Damien Sears.,31,28
4:38,2448,Denzel Keyes missed Jumper.,31,28
4:38,2448,Kameron Langley Offensive Rebound.,31,28
4:22,2448,Denzel Keyes made Layup. Assisted by Kwei Lartey.,33,28
4:16,294,Jalyn Hinton Turnover.,33,28
4:15,2448,Devonte Boykins Steal.,33,28
4:14,294,Foul on Jalyn Hinton.,33,28
4:14,2448,Kwei Lartey missed Free Throw.,33,28
4:14,2448,North Carolina A&T Deadball Team Rebound.,33,28
4:14,2448,Kwei Lartey made Free Throw.,34,28
4:00,294,Jacksonville  Timeout,34,28
3:49,294,JD Notae missed Three Point Jumper.,34,28
3:49,294,Jace Hogan Offensive Rebound.,34,28
3:45,294,Jace Hogan made Layup.,34,30
3:29,2448,North Carolina A&T  Timeout,34,30
3:19,2448,Femi Olujobi made Layup. Assisted by Kameron Langley.,36,30
3:19,294,Foul on Cody Helgeland.,36,30
3:19,294,Jacksonville  Timeout,36,30
3:19,2448,Femi Olujobi made Free Throw.,37,30
3:18,294,Jace Hogan missed Jumper.,37,30
3:18,294,Cody Helgeland Offensive Rebound.,37,30
3:15,294,Devin Harris missed Layup.,37,30
3:15,2448,Kameron Langley Defensive Rebound.,37,30
3:03,2448,Devonte Boykins Turnover.,37,30
3:03,2448,Foul on Devonte Boykins.,37,30
2:36,294,Jace Hogan made Jumper. Assisted by Devin Harris.,37,32
2:02,2448,Kwei Lartey made Three Point Jumper. Assisted by Kameron Langley.,40,32
1:46,294,Devin Harris made Layup.,40,34
1:31,2448,Kwei Lartey missed Three Point Jumper.,40,34
1:31,294,Cody Helgeland Defensive Rebound.,40,34
1:22,294,Devin Harris missed Jumper.,40,34
1:22,294,Cody Helgeland Offensive Rebound.,40,34
1:18,294,Cody Helgeland Turnover.,40,34
0:58,294,Foul on Jace Hogan.,40,34
0:48,294,Foul on JD Notae.,40,34
0:48,2448,Kameron Langley made Free Throw.,41,34
0:48,2448,Kameron Langley made Free Throw.,42,34
0:38,294,Jace Hogan missed Jumper.,42,34
0:38,2448,Femi Olujobi Defensive Rebound.,42,34
0:38,294,Foul on Damien Sears.,42,34
0:38,2448,Femi Olujobi made Free Throw.,43,34
0:38,2448,Femi Olujobi made Free Throw.,44,34
0:11,294,Cody Helgeland made Three Point Jumper. Assisted by Tanner Rubio.,44,37
0:00,294,End of 1st half,44,37
19:40,294,JD Notae missed Layup.,44,37
19:40,2448,Femi Olujobi Defensive Rebound.,44,37
19:19,2448,Devonte Boykins missed Three Point Jumper.,44,37
19:19,294,Jace Hogan Defensive Rebound.,44,37
19:16,294,Devin Harris made Dunk. Assisted by JD Notae.,44,39
18:53,2448,Femi Olujobi missed Three Point Jumper.,44,39
18:53,294,Cody Helgeland Defensive Rebound.,44,39
18:43,294,Devin Harris made Layup.,44,41
18:13,2448,Kameron Langley missed Jumper.,44,41
18:13,294,Devin Harris Defensive Rebound.,44,41
17:59,294,Tanner Rubio made Layup.,44,43
17:39,2448,Kwei Lartey missed Layup.,44,43
17:39,294,Cody Helgeland Defensive Rebound.,44,43
17:30,294,Jace Hogan missed Jumper.,44,43
17:30,2448,Femi Olujobi Defensive Rebound.,44,43
17:01,2448,Kameron Langley made Layup.,46,43
16:45,294,Jace Hogan made Jumper. Assisted by Cody Helgeland.,46,45
16:19,2448,Kwei Lartey missed Three Point Jumper.,46,45
16:19,294,JD Notae Block.,46,45
16:16,2448,North Carolina A&T Offensive Rebound.,46,45
16:14,2448,Japhet Kadji Turnover.,46,45
16:14,294,Jace Hogan Steal.,46,45
16:12,294,Jace Hogan made Layup.,46,47
15:52,2448,Japhet Kadji missed Three Point Jumper.,46,47
15:52,294,JD Notae Defensive Rebound.,46,47
15:38,294,Jace Hogan made Jumper.,46,49
15:15,2448,Femi Olujobi missed Jumper.,46,49
15:15,294,Devin Harris Defensive Rebound.,46,49
15:05,2448,Foul on Japhet Kadji.,46,49
15:05,294,Jacksonville  Timeout,46,49
15:05,294,Technical Foul on Jacksonville.,46,49
15:05,2448,Femi Olujobi made Free Throw.,47,49
15:05,2448,Femi Olujobi made Free Throw.,48,49
15:00,294,Devin Harris missed Layup.,48,49
15:00,2448,Femi Olujobi Defensive Rebound.,48,49
14:47,2448,Kwei Lartey Turnover.,48,49
14:46,294,JD Notae Steal.,48,49
14:36,294,Tanner Rubio made Three Point Jumper.,48,52
14:05,2448,Femi Olujobi missed Three Point Jumper.,48,52
14:05,2448,Denzel Keyes Offensive Rebound.,48,52
14:03,294,Foul on Cody Helgeland.,48,52
13:56,2448,Amari Hamilton Turnover.,48,52
13:46,294,Jace Hogan missed Jumper.,48,52
13:46,2448,Denzel Keyes Defensive Rebound.,48,52
13:28,2448,Denzel Keyes missed Layup.,48,52
13:28,294,Jace Hogan Defensive Rebound.,48,52
13:18,294,Tanner Rubio missed Three Point Jumper.,48,52
13:18,294,Jace Hogan Offensive Rebound.,48,52
13:11,2448,Foul on Denzel Keyes.,48,52
13:11,294,Jace Hogan made Free Throw.,48,53
13:11,294,Jace Hogan missed Free Throw.,48,53
13:11,294,Jace Hogan Offensive Rebound.,48,53
13:06,2448,Foul on Denzel Keyes.,48,53
13:06,294,Jace Hogan made Free Throw.,48,54
13:06,294,Jace Hogan made Free Throw.,48,55
12:45,2448,Denzel Keyes missed Jumper.,48,55
12:45,294,Jace Hogan Defensive Rebound.,48,55
12:34,294,Tanner Rubio missed Jumper.,48,55
12:34,2448,North Carolina A&T Defensive Rebound.,48,55
12:19,2448,Kameron Langley missed Jumper.,48,55
12:19,294,Jace Hogan Defensive Rebound.,48,55
12:08,2448,Foul on Devonte Boykins.,48,55
12:00,2448,Foul on Milik Gantz.,48,55
12:00,294,Jacksonville  Timeout,48,55
12:00,294,Devin Harris missed Free Throw.,48,55
12:00,294,Jacksonville Deadball Team Rebound.,48,55
12:00,294,Devin Harris missed Free Throw.,48,55
12:00,2448,Femi Olujobi Defensive Rebound.,48,55
11:47,2448,Femi Olujobi missed Jumper.,48,55
11:47,294,Devin Harris Defensive Rebound.,48,55
11:27,294,Jace Hogan missed Jumper.,48,55
11:27,294,Jace Hogan Offensive Rebound.,48,55
11:22,294,Jace Hogan missed Jumper.,48,55
11:22,2448,Femi Olujobi Defensive Rebound.,48,55
11:05,2448,Amari Hamilton missed Three Point Jumper.,48,55
11:05,294,Jace Hogan Defensive Rebound.,48,55
10:53,294,JD Notae made Layup.,48,57
10:33,2448,Japhet Kadji missed Layup.,48,57
10:33,2448,Femi Olujobi Offensive Rebound.,48,57
10:29,2448,Femi Olujobi made Layup.,50,57
10:29,294,Foul on JD Notae.,50,57
10:29,2448,Femi Olujobi missed Free Throw.,50,57
10:29,294,Jace Hogan Defensive Rebound.,50,57
10:17,294,Devin Harris made Layup.,50,59
9:52,2448,Milik Gantz missed Layup.,50,59
9:52,294,Jace Hogan Block.,50,59
9:51,2448,Japhet Kadji Offensive Rebound.,50,59
9:46,2448,Amari Hamilton made Layup.,52,59
9:46,294,Foul on Jace Hogan.,52,59
9:46,2448,Amari Hamilton made Free Throw.,53,59
9:36,294,JD Notae missed Jumper.,53,59
9:36,2448,Japhet Kadji Defensive Rebound.,53,59
9:28,2448,Femi Olujobi Turnover.,53,59
9:02,294,Tanner Rubio made Jumper.,53,61
8:49,294,Foul on Tanner Rubio.,53,61
8:49,2448,Amari Hamilton made Free Throw.,54,61
8:49,2448,Amari Hamilton made Free Throw.,55,61
8:49,2448,Amari Hamilton made Free Throw.,56,61
8:33,294,Cody Helgeland made Layup.,56,63
8:05,2448,Japhet Kadji made Three Point Jumper. Assisted by Devonte Boykins.,59,63
7:46,294,Jace Hogan Turnover.,59,63
7:42,2448,Kwei Lartey Steal.,59,63
7:38,2448,Kwei Lartey Turnover.,59,63
7:38,294,Cody Helgeland Steal.,59,63
7:38,2448,Foul on Kwei Lartey.,59,63
7:38,294,Jacksonville  Timeout,59,63
7:24,294,Jace Hogan missed Jumper.,59,63
7:24,2448,Japhet Kadji Defensive Rebound.,59,63
7:03,294,Foul on Tanner Rubio.,59,63
7:03,2448,Kameron Langley made Free Throw.,60,63
7:03,2448,Kameron Langley made Free Throw.,61,63
6:36,294,Jalyn Hinton missed Layup.,61,63
6:36,2448,Japhet Kadji Defensive Rebound.,61,63
6:19,2448,Femi Olujobi made Jumper.,63,63
5:59,294,Devin Harris missed Layup.,63,63
5:59,2448,Femi Olujobi Defensive Rebound.,63,63
5:51,2448,Japhet Kadji missed Three Point Jumper.,63,63
5:51,294,Cody Helgeland Defensive Rebound.,63,63
5:31,294,Cody Helgeland made Layup.,63,65
5:05,2448,Devonte Boykins missed Three Point Jumper.,63,65
5:05,2448,Femi Olujobi Offensive Rebound.,63,65
5:01,294,Foul on Jalyn Hinton.,63,65
5:01,2448,Femi Olujobi missed Free Throw.,63,65
5:01,2448,North Carolina A&T Deadball Team Rebound.,63,65
5:01,2448,Femi Olujobi made Free Throw.,64,65
4:41,294,Tanner Rubio made Three Point Jumper. Assisted by Jace Hogan.,64,68
4:30,294,Foul on Jace Hogan.,64,68
4:13,2448,Kwei Lartey missed Three Point Jumper.,64,68
4:13,294,Devin Harris Defensive Rebound.,64,68
4:05,2448,Foul on Kwei Lartey.,64,68
4:05,294,Jace Hogan made Free Throw.,64,69
4:05,294,Jace Hogan made Free Throw.,64,70
3:51,2448,Kameron Langley made Three Point Jumper. Assisted by Devonte Boykins.,67,70
3:35,294,Devin Harris Turnover.,67,70
3:35,294,Foul on Devin Harris.,67,70
3:35,2448,North Carolina A&T  Timeout,67,70
3:14,2448,Devonte Boykins made Three Point Jumper. Assisted by Kwei Lartey.,70,70
2:56,294,Tanner Rubio made Layup.,70,72
2:33,2448,Femi Olujobi missed Three Point Jumper.,70,72
2:33,294,Devin Harris Defensive Rebound.,70,72
2:15,294,Jace Hogan made Jumper.,70,74
2:12,294,Jacksonville  Timeout,70,74
1:58,2448,Femi Olujobi made Dunk. Assisted by Kameron Langley.,72,74
1:32,294,JD Notae made Layup.,72,76
1:21,294,Foul on Tanner Rubio.,72,76
1:21,2448,Kameron Langley made Free Throw.,73,76
1:21,2448,Kameron Langley made Free Throw.,74,76
1:05,294,Tanner Rubio Turnover.,74,76
1:03,2448,Kwei Lartey Steal.,74,76
1:01,2448,Kwei Lartey made Dunk.,76,76
0:42,2448,Foul on Devonte Boykins.,76,76
0:42,294,JD Notae missed Free Throw.,76,76
0:42,2448,Femi Olujobi Defensive Rebound.,76,76
0:36,2448,Devonte Boykins made Layup.,78,76
0:19,294,Jace Hogan made Layup.,78,78
0:15,2448,North Carolina A&T  Timeout,78,78
0:02,2448,Femi Olujobi missed Jumper.,78,78
0:02,294,JD Notae Defensive Rebound.,78,78
0:00,294,End of 2nd half,78,78
4:39,2448,Kameron Langley made Layup.,80,78
4:21,294,Cody Helgeland missed Three Point Jumper.,80,78
4:21,2448,Devonte Boykins Defensive Rebound.,80,78
4:05,2448,Femi Olujobi Turnover.,80,78
4:05,2448,Foul on Femi Olujobi.,80,78
3:54,294,JD Notae made Layup.,80,80
3:39,2448,Devonte Boykins made Three Point Jumper. Assisted by Kwei Lartey.,83,80
3:18,294,Jace Hogan missed Layup.,83,80
3:18,2448,Devonte Boykins Defensive Rebound.,83,80
2:55,2448,Femi Olujobi made Dunk. Assisted by Kameron Langley.,85,80
2:44,294,Tanner Rubio Turnover.,85,80
2:20,2448,Kameron Langley missed Layup.,85,80
2:20,294,Damien Sears Defensive Rebound.,85,80
1:58,2448,Foul on Femi Olujobi.,85,80
1:58,294,Damien Sears missed Free Throw.,85,80
1:58,294,Jacksonville Deadball Team Rebound.,85,80
1:58,294,Damien Sears missed Free Throw.,85,80
1:58,2448,Femi Olujobi Defensive Rebound.,85,80
1:49,2448,Kameron Langley Turnover.,85,80
1:37,294,Devin Harris missed Layup.,85,80
1:37,2448,Femi Olujobi Defensive Rebound.,85,80
1:35,294,Foul on Devin Harris.,85,80
1:35,2448,Femi Olujobi missed Free Throw.,85,80
1:35,2448,North Carolina A&T Deadball Team Rebound.,85,80
1:35,2448,Femi Olujobi made Free Throw.,86,80
1:23,294,Tanner Rubio missed Three Point Jumper.,86,80
1:23,2448,Kameron Langley Block.,86,80
1:17,2448,Femi Olujobi Defensive Rebound.,86,80
1:12,2448,North Carolina A&T  Timeout,86,80
0:52,2448,Femi Olujobi missed Three Point Jumper.,86,80
0:52,294,JD Notae Defensive Rebound.,86,80
0:46,294,JD Notae Turnover.,86,80
0:45,2448,Devonte Boykins Steal.,86,80
0:43,2448,Kwei Lartey made Layup. Assisted by Devonte Boykins.,88,80
0:37,294,Devin Harris made Layup.,88,82
0:36,294,Jacksonville  Timeout,88,82
0:18,294,Foul on Jalyn Hinton.,88,82
0:18,2448,Femi Olujobi missed Free Throw.,88,82
0:18,2448,North Carolina A&T Deadball Team Rebound.,88,82
0:18,2448,Femi Olujobi missed Free Throw.,88,82
0:18,294,Tanner Rubio Defensive Rebound.,88,82
0:10,2448,Foul on Japhet Kadji.,88,82
0:10,294,Devin Harris missed Free Throw.,88,82
0:10,294,Jacksonville Deadball Team Rebound.,88,82
0:10,294,Devin Harris missed Free Throw.,88,82
0:10,2448,Femi Olujobi Defensive Rebound.,88,82
0:04,294,Foul on JD Notae.,88,82
0:04,2448,Femi Olujobi made Free Throw.,89,82
0:02,2448,Femi Olujobi made Free Throw.,90,82
0:00,294,End of Game,90,82
