Little Rock,2253,Grand Canyon,2031
19:15,2253,Oscar Frayer missed Free Throw.,23,44
19:15,2253,Grand Canyon Deadball Team Rebound.,23,44
19:15,2253,Oscar Frayer missed Free Throw.,23,44
19:15,2253,Roberts Blumbergs Offensive Rebound.,23,44
19:04,2031,Foul on Jaizec Lottie.,23,44
18:52,2253,Roberts Blumbergs Turnover.,23,44
18:38,2031,K.J. Gilmore Turnover.,23,44
18:24,2253,Oscar Frayer missed Three Point Jumper.,23,44
18:24,2031,Jaizec Lottie Defensive Rebound.,23,44
17:55,2031,Jaizec Lottie missed Layup.,23,44
17:55,2253,Roberts Blumbergs Block.,23,44
17:55,2253,Joshua Braun Defensive Rebound.,23,44
17:47,2253,Casey Benson made Three Point Jumper. Assisted by Joshua Braun.,23,47
17:37,2031,Little Rock  Timeout,23,47
17:19,2031,Andre Jones made Three Point Jumper. Assisted by K.J. Gilmore.,26,47
16:54,2253,Grand Canyon  Timeout,26,47
16:48,2031,Foul on Oliver Black.,26,47
16:48,2253,Joshua Braun missed Free Throw.,26,47
16:48,2253,Grand Canyon Deadball Team Rebound.,26,47
16:48,2253,Joshua Braun made Free Throw.,26,48
16:48,2253,Joshua Braun made Free Throw.,26,49
16:30,2031,Andre Jones missed Three Point Jumper.,26,49
16:30,2253,Oscar Frayer Defensive Rebound.,26,49
16:19,2031,Foul on Andre Jones.,26,49
16:18,2253,Joshua Braun missed Three Point Jumper.,26,49
16:18,2031,Little Rock Defensive Rebound.,26,49
15:52,2031,Anthony Black missed Layup.,26,49
15:52,2253,Keonta Vernon Block.,26,49
15:52,2253,Oscar Frayer Defensive Rebound.,26,49
15:46,2253,Oscar Frayer Turnover.,26,49
15:44,2031,Wadly Mompremier Steal.,26,49
15:39,2031,Anthony Black Turnover.,26,49
15:35,2253,Oscar Frayer Steal.,26,49
15:26,2253,Oscar Frayer missed Three Point Jumper.,26,49
15:26,2031,Kris Bankston Defensive Rebound.,26,49
15:18,2253,Foul on Oscar Frayer.,26,49
15:08,2031,Anthony Black missed Three Point Jumper.,26,49
15:08,2253,Casey Benson Defensive Rebound.,26,49
14:47,2253,Oscar Frayer made Three Point Jumper. Assisted by Keonta Vernon.,26,52
14:23,2031,Jaizec Lottie missed Layup.,26,52
14:23,2031,Kris Bankston Offensive Rebound.,26,52
14:20,2031,Kris Bankston made Layup.,28,52
13:59,2253,Roberts Blumbergs made Layup. Assisted by Casey Benson.,28,54
13:37,2031,Jaizec Lottie missed Three Point Jumper.,28,54
13:37,2253,Roberts Blumbergs Defensive Rebound.,28,54
13:26,2253,Casey Benson missed Three Point Jumper.,28,54
13:26,2031,Little Rock Defensive Rebound.,28,54
13:23,2253,Foul on Alessandro Lever.,28,54
13:16,2031,Foul on Khari Harley.,28,54
13:16,2031,Khari Harley Turnover.,28,54
12:55,2253,Alessandro Lever made Layup. Assisted by Joshua Braun.,28,56
12:37,2031,Khari Harley missed Three Point Jumper.,28,56
12:37,2031,Khari Harley Offensive Rebound.,28,56
12:30,2253,Foul on Alessandro Lever.,28,56
12:30,2031,Khari Harley made Free Throw.,29,56
12:30,2031,Khari Harley made Free Throw.,30,56
12:26,2031,Foul on Oliver Black.,30,56
12:14,2253,Alessandro Lever made Layup.,30,58
12:04,2031,Jaizec Lottie missed Three Point Jumper.,30,58
12:04,2253,Joshua Braun Defensive Rebound.,30,58
12:01,2031,Foul on Khari Harley.,30,58
12:01,2253,Joshua Braun made Free Throw.,30,59
12:01,2253,Joshua Braun made Free Throw.,30,60
11:57,2253,Foul on Oscar Frayer.,30,60
11:57,2253,Official TV Timeout,30,60
11:57,2031,Camron Reedus missed Free Throw.,30,60
11:57,2031,Little Rock Deadball Team Rebound.,30,60
11:57,2031,Camron Reedus made Free Throw.,31,60
11:37,2253,Alessandro Lever made Layup. Assisted by Gerard Martin.,31,62
11:23,2253,Foul on Alessandro Lever.,31,62
11:07,2031,Andre Jones made Jumper.,33,62
10:37,2253,Gerard Martin Turnover.,33,62
10:21,2031,Camron Reedus made Layup.,35,62
9:56,2253,Alessandro Lever missed Jumper.,35,62
9:56,2031,Oliver Black Defensive Rebound.,35,62
9:32,2031,Camron Reedus made Three Point Jumper. Assisted by Cameron Corcoran.,38,62
9:21,2253,Alessandro Lever missed Layup.,38,62
9:21,2031,Oliver Black Defensive Rebound.,38,62
9:15,2031,Andre Jones Turnover.,38,62
8:54,2253,Joshua Braun missed Three Point Jumper.,38,62
8:54,2253,Gerard Martin Offensive Rebound.,38,62
8:46,2253,Joshua Braun made Layup. Assisted by Casey Benson.,38,64
8:46,2031,Foul on Andre Jones.,38,64
8:46,2253,Joshua Braun made Free Throw.,38,65
8:36,2031,Camron Reedus made Layup.,40,65
8:05,2031,Foul on Kris Bankston.,40,65
8:05,2253,Fiifi Aidoo made Free Throw.,40,66
8:05,2253,Fiifi Aidoo made Free Throw.,40,67
7:52,2031,Camron Reedus Turnover.,40,67
7:52,2253,Official TV Timeout,40,67
7:37,2253,Matt Jackson missed Three Point Jumper.,40,67
7:37,2031,Little Rock Defensive Rebound.,40,67
7:25,2031,Andre Jones missed Layup.,40,67
7:25,2253,Fiifi Aidoo Defensive Rebound.,40,67
7:00,2253,Fiifi Aidoo missed Three Point Jumper.,40,67
7:00,2031,Camron Reedus Defensive Rebound.,40,67
6:54,2031,Cezanne Carson missed Three Point Jumper.,40,67
6:54,2253,Keonta Vernon Defensive Rebound.,40,67
6:27,2253,Matt Jackson Turnover.,40,67
6:26,2031,Camron Reedus Steal.,40,67
6:23,2031,Camron Reedus missed Layup.,40,67
6:23,2253,Gerard Martin Block.,40,67
6:23,2031,Little Rock Offensive Rebound.,40,67
6:15,2031,Andre Jones missed Layup.,40,67
6:15,2253,Fiifi Aidoo Block.,40,67
6:15,2253,Fiifi Aidoo Defensive Rebound.,40,67
5:46,2253,Matt Jackson missed Jumper.,40,67
5:46,2031,Anthony Black Defensive Rebound.,40,67
5:40,2031,Anthony Black missed Three Point Jumper.,40,67
5:40,2253,Matt Jackson Defensive Rebound.,40,67
5:18,2253,Matt Jackson Turnover.,40,67
5:07,2253,Foul on Matt Jackson.,40,67
4:51,2031,Andre Jones missed Layup.,40,67
4:51,2253,Keonta Vernon Block.,40,67
4:51,2031,Andre Jones Offensive Rebound.,40,67
4:48,2253,Foul on Keonta Vernon.,40,67
4:48,2031,Kris Bankston missed Free Throw.,40,67
4:48,2031,Little Rock Deadball Team Rebound.,40,67
4:48,2031,Kris Bankston missed Free Throw.,40,67
4:48,2253,Keonta Vernon Defensive Rebound.,40,67
4:34,2253,Matt Jackson missed Layup.,40,67
4:34,2031,Wadly Mompremier Defensive Rebound.,40,67
4:30,2031,Wadly Mompremier Turnover.,40,67
4:28,2253,Matt Jackson Steal.,40,67
4:24,2253,Keonta Vernon made Dunk. Assisted by Fiifi Aidoo.,40,69
4:03,2253,Foul on Keonta Vernon.,40,69
4:03,2031,Kris Bankston missed Free Throw.,40,69
4:03,2253,Keonta Vernon Defensive Rebound.,40,69
3:36,2031,Foul on Kris Bankston.,40,69
3:36,2253,Fiifi Aidoo made Free Throw.,40,70
3:36,2253,Fiifi Aidoo made Free Throw.,40,71
3:24,2253,Foul on Kerwin Smith.,40,71
3:24,2031,Kris Bankston made Free Throw.,41,71
3:24,2031,Kris Bankston made Free Throw.,42,71
3:18,2253,Fiifi Aidoo Turnover.,42,71
3:17,2031,Andre Jones Steal.,42,71
3:12,2031,Jaizec Lottie Turnover.,42,71
3:12,2253,Fiifi Aidoo Turnover.,42,71
3:06,2031,Jaizec Lottie Turnover.,42,71
3:04,2253,Ibrahima Sankare Steal.,42,71
2:41,2253,Fiifi Aidoo missed Jumper.,42,71
2:41,2031,Little Rock Defensive Rebound.,42,71
2:29,2031,Cameron Corcoran made Three Point Jumper.,45,71
2:04,2253,Ibrahima Sankare Turnover.,45,71
2:03,2031,Ben Marcus Steal.,45,71
1:59,2253,Foul on Ibrahima Sankare.,45,71
1:52,2031,Ben Marcus missed Free Throw.,45,71
1:52,2031,Little Rock Deadball Team Rebound.,45,71
1:52,2031,Ben Marcus made Free Throw.,46,71
1:23,2031,Foul on Cameron Corcoran.,46,71
1:23,2253,Kerwin Smith made Free Throw.,46,72
1:23,2253,Kerwin Smith made Free Throw.,46,73
1:17,2031,Andre Jones missed Layup.,46,73
1:17,2031,Camron Reedus Offensive Rebound.,46,73
1:11,2031,Andre Jones missed Three Point Jumper.,46,73
1:11,2253,Fiifi Aidoo Defensive Rebound.,46,73
1:04,2253,Fiifi Aidoo made Layup. Assisted by Damari Milstead.,46,75
0:51,2253,Foul on Roberts Blumbergs.,46,75
0:51,2031,Ben Marcus made Free Throw.,47,75
0:51,2031,Ben Marcus missed Free Throw.,47,75
0:51,2031,Andre Jones Offensive Rebound.,47,75
0:39,2253,Foul on Damari Milstead.,47,75
0:39,2031,Cameron Corcoran made Free Throw.,48,75
0:39,2031,Cameron Corcoran made Free Throw.,49,75
0:34,2031,Foul on Camron Reedus.,49,75
0:34,2253,Kerwin Smith missed Free Throw.,49,75
0:34,2253,Grand Canyon Deadball Team Rebound.,49,75
0:34,2253,Kerwin Smith made Free Throw.,49,76
0:22,2253,Foul on Damari Milstead.,49,76
0:22,2031,Cameron Corcoran made Free Throw.,50,76
0:22,2031,Cameron Corcoran made Free Throw.,51,76
0:00,2253,End of 2nd half,51,76
0:00,2253,End of Game,51,76
