Mt. St. Mary's,2454,North Florida,116
15:13,2454,North Florida Deadball Team Rebound.,15,12
15:13,2454,Garrett Sams missed Free Throw.,15,12
15:13,116,Bobby Planutis Defensive Rebound.,15,12
15:09,2454,Foul on Trip Day.,15,12
15:09,116,Bobby Planutis made Free Throw.,16,12
15:09,116,Bobby Planutis made Free Throw.,17,12
15:00,2454,Wajid Aminu missed Layup.,17,12
15:00,116,Bobby Planutis Block.,17,12
14:59,116,Greg Alexander Defensive Rebound.,17,12
14:49,116,Greg Alexander missed Jumper.,17,12
14:49,2454,Trip Day Defensive Rebound.,17,12
14:29,2454,Wajid Aminu made Jumper. Assisted by Ivan Gandia-Rosa.,17,14
14:05,116,Jonah Antonio missed Three Point Jumper.,17,14
14:05,2454,Wajid Aminu Defensive Rebound.,17,14
13:46,2454,Ivan Gandia-Rosa Turnover.,17,14
13:45,116,Greg Alexander Steal.,17,14
13:17,116,Bobby Planutis Turnover.,17,14
13:12,2454,Osborn Blount missed Three Point Jumper.,17,14
13:12,2454,Noah Horchler Offensive Rebound.,17,14
13:09,2454,Noah Horchler made Jumper.,17,16
12:56,116,Donald Carey Turnover.,17,16
12:45,2454,Ivan Gandia-Rosa missed Layup.,17,16
12:45,2454,North Florida Offensive Rebound.,17,16
12:34,116,Foul on Junior Robinson.,17,16
12:25,2454,Trip Day made Layup.,17,18
12:25,116,Foul on Ace Stallings.,17,18
12:25,2454,Trip Day made Free Throw.,17,19
12:02,2454,Foul on Noah Horchler.,17,19
12:02,2454,Official TV Timeout,17,19
11:43,116,Donald Carey missed Three Point Jumper.,17,19
11:43,2454,Ryan Burkhardt Defensive Rebound.,17,19
11:28,2454,Brian Coffey II Turnover.,17,19
11:27,116,Junior Robinson Steal.,17,19
11:26,116,Junior Robinson Turnover.,17,19
10:50,2454,Trip Day missed Jumper.,17,19
10:50,2454,North Florida Offensive Rebound.,17,19
10:41,2454,Garrett Sams missed Layup.,17,19
10:41,2454,Wajid Aminu Offensive Rebound.,17,19
10:38,2454,Ivan Gandia-Rosa missed Three Point Jumper.,17,19
10:38,116,Omar Habwe Defensive Rebound.,17,19
10:12,116,Junior Robinson made Three Point Jumper. Assisted by Donald Carey.,20,19
9:53,2454,Ivan Gandia-Rosa Turnover.,20,19
9:30,116,Greg Alexander missed Three Point Jumper.,20,19
9:30,2454,Garrett Sams Defensive Rebound.,20,19
9:08,2454,Wajid Aminu made Layup.,20,21
8:55,116,Greg Alexander missed Three Point Jumper.,20,21
8:55,2454,Ryan Burkhardt Defensive Rebound.,20,21
8:44,2454,Wajid Aminu Turnover.,20,21
8:19,116,Donald Carey missed Three Point Jumper.,20,21
8:19,116,Greg Alexander Offensive Rebound.,20,21
8:16,116,Greg Alexander made Jumper.,22,21
7:58,2454,Official TV Timeout,22,21
7:53,2454,J.T. Escobar made Layup.,22,23
7:53,116,Foul on Bobby Planutis.,22,23
7:53,2454,J.T. Escobar made Free Throw.,22,24
7:39,116,Omar Habwe made Layup. Assisted by Donald Carey.,24,24
7:31,2454,Garrett Sams made Layup. Assisted by Wajid Aminu.,24,26
7:02,116,Junior Robinson made Three Point Jumper. Assisted by Jonah Antonio.,27,26
6:50,2454,Wajid Aminu made Layup.,27,28
6:31,116,Junior Robinson made Three Point Jumper. Assisted by Greg Alexander.,30,28
6:18,2454,Osborn Blount missed Jumper.,30,28
6:18,116,Greg Alexander Defensive Rebound.,30,28
6:18,2454,Foul on Wajid Aminu.,30,28
6:00,2454,Foul on Wajid Aminu.,30,28
6:00,116,Omar Habwe made Free Throw.,31,28
6:00,116,Omar Habwe made Free Throw.,32,28
5:52,2454,Trip Day made Layup. Assisted by Osborn Blount.,32,30
5:38,116,Greg Alexander missed Three Point Jumper.,32,30
5:38,2454,Garrett Sams Defensive Rebound.,32,30
5:23,2454,Ivan Gandia-Rosa made Layup.,32,32
5:02,2454,Foul on Osborn Blount.,32,32
4:54,116,Omar Habwe made Layup. Assisted by Ace Stallings.,34,32
4:25,2454,Garrett Sams missed Three Point Jumper.,34,32
4:25,116,Junior Robinson Defensive Rebound.,34,32
4:13,116,Ace Stallings made Layup. Assisted by Junior Robinson.,36,32
3:43,2454,Trip Day made Layup. Assisted by Ivan Gandia-Rosa.,36,34
3:20,116,Ace Stallings missed Layup.,36,34
3:20,116,Ace Stallings Offensive Rebound.,36,34
3:16,116,Jonah Antonio missed Three Point Jumper.,36,34
3:16,116,Omar Habwe Offensive Rebound.,36,34
3:02,116,Donald Carey Turnover.,36,34
3:01,2454,Osborn Blount Steal.,36,34
3:00,116,Foul on Donald Carey.,36,34
3:00,2454,Official TV Timeout,36,34
3:00,2454,Osborn Blount made Free Throw.,36,35
3:00,2454,Osborn Blount made Free Throw.,36,36
2:51,116,Jonah Antonio missed Three Point Jumper.,36,36
2:51,2454,Ivan Gandia-Rosa Defensive Rebound.,36,36
2:19,2454,Wajid Aminu missed Layup.,36,36
2:19,116,Mt. St. Mary's Defensive Rebound.,36,36
1:46,116,Junior Robinson missed Layup.,36,36
1:46,2454,North Florida Defensive Rebound.,36,36
1:37,2454,J.T. Escobar made Three Point Jumper.,36,39
1:06,116,Greg Alexander made Jumper. Assisted by Donald Carey.,38,39
0:41,2454,Ivan Gandia-Rosa Turnover.,38,39
0:40,116,Omar Habwe Steal.,38,39
0:12,116,Omar Habwe made Layup. Assisted by Jonah Antonio.,40,39
0:12,116,Mt. St. Mary's  Timeout,40,39
0:10,116,Foul on Junior Robinson.,40,39
0:10,2454,Osborn Blount made Free Throw.,40,40
0:10,2454,Osborn Blount made Free Throw.,40,41
0:04,2454,Foul on J.T. Escobar.,40,41
0:04,116,Junior Robinson made Free Throw.,41,41
0:04,116,Junior Robinson made Free Throw.,42,41
0:00,2454,End of 1st half,42,41
19:43,116,Bobby Planutis Turnover.,42,41
19:42,2454,Wajid Aminu Steal.,42,41
19:22,2454,J.T. Escobar missed Three Point Jumper.,42,41
19:22,2454,Wajid Aminu Offensive Rebound.,42,41
19:17,2454,Wajid Aminu Turnover.,42,41
19:17,116,Donald Carey Steal.,42,41
19:11,116,Jonah Antonio missed Jumper.,42,41
19:11,2454,North Florida Defensive Rebound.,42,41
18:48,2454,Noah Horchler missed Jumper.,42,41
18:48,116,Jonah Antonio Block.,42,41
18:47,2454,North Florida Offensive Rebound.,42,41
18:44,2454,Garrett Sams missed Three Point Jumper.,42,41
18:44,116,Bobby Planutis Defensive Rebound.,42,41
18:38,2454,Foul on Noah Horchler.,42,41
18:38,116,Ryan Gomes made Free Throw.,43,41
18:38,116,Ryan Gomes made Free Throw.,44,41
18:16,2454,Ivan Gandia-Rosa missed Layup.,44,41
18:16,116,Bobby Planutis Defensive Rebound.,44,41
18:06,116,Donald Carey missed Jumper.,44,41
18:06,2454,Garrett Sams Defensive Rebound.,44,41
17:58,2454,Garrett Sams made Layup.,44,43
17:45,116,Junior Robinson Turnover.,44,43
17:44,2454,Ivan Gandia-Rosa Steal.,44,43
17:43,2454,Garrett Sams missed Three Point Jumper.,44,43
17:43,116,Junior Robinson Defensive Rebound.,44,43
17:25,116,Jonah Antonio made Three Point Jumper. Assisted by Donald Carey.,47,43
17:12,2454,Ivan Gandia-Rosa Turnover.,47,43
17:11,116,Bobby Planutis Steal.,47,43
17:06,116,Junior Robinson missed Layup.,47,43
17:06,2454,Ivan Gandia-Rosa Defensive Rebound.,47,43
16:51,2454,J.T. Escobar missed Layup.,47,43
16:51,2454,Wajid Aminu Offensive Rebound.,47,43
16:50,2454,Wajid Aminu made Layup.,47,45
16:50,2454,North Florida  Timeout,47,45
16:50,2454,Official TV Timeout,47,45
16:30,116,Junior Robinson missed Three Point Jumper.,47,45
16:30,2454,J.T. Escobar Defensive Rebound.,47,45
16:19,2454,Wajid Aminu made Layup. Assisted by Garrett Sams.,47,47
16:04,116,Ryan Gomes missed Layup.,47,47
16:04,2454,Wajid Aminu Block.,47,47
16:02,2454,Trip Day Defensive Rebound.,47,47
15:55,2454,Trip Day Turnover.,47,47
15:52,116,Junior Robinson Steal.,47,47
15:51,116,Junior Robinson made Layup.,49,47
15:43,116,Foul on Junior Robinson.,49,47
15:34,2454,Wajid Aminu made Jumper. Assisted by J.T. Escobar.,49,49
15:14,116,Jonah Antonio made Three Point Jumper. Assisted by Bobby Planutis.,52,49
15:04,2454,J.T. Escobar Turnover.,52,49
15:03,116,Omar Habwe Steal.,52,49
14:59,116,Jonah Antonio missed Three Point Jumper.,52,49
14:59,2454,J.T. Escobar Defensive Rebound.,52,49
14:54,2454,Garrett Sams Turnover.,52,49
14:52,2454,Foul on Garrett Sams.,52,49
14:49,116,Jonah Antonio made Jumper.,54,49
14:34,2454,Trip Day made Layup. Assisted by Ivan Gandia-Rosa.,54,51
14:11,116,Greg Alexander missed Three Point Jumper.,54,51
14:11,2454,Garrett Sams Defensive Rebound.,54,51
14:01,2454,Osborn Blount made Jumper.,54,53
13:04,116,Jonah Antonio made Jumper. Assisted by Greg Alexander.,56,53
12:51,2454,Ivan Gandia-Rosa Turnover.,56,53
12:50,116,Donald Carey Steal.,56,53
12:32,116,Omar Habwe made Dunk. Assisted by Greg Alexander.,58,53
12:16,2454,Ivan Gandia-Rosa made Layup.,58,55
11:55,2454,Foul on Trip Day.,58,55
11:55,2454,Official TV Timeout,58,55
11:55,116,Omar Habwe made Free Throw.,59,55
11:55,116,Omar Habwe missed Free Throw.,59,55
11:55,2454,Trip Day Defensive Rebound.,59,55
11:44,116,Foul on Bobby Planutis.,59,55
11:34,2454,Ivan Gandia-Rosa missed Three Point Jumper.,59,55
11:34,2454,Noah Horchler Offensive Rebound.,59,55
11:33,116,Foul on Greg Alexander.,59,55
11:29,2454,J.T. Escobar missed Three Point Jumper.,59,55
11:29,116,Ace Stallings Defensive Rebound.,59,55
11:18,116,Jonah Antonio made Jumper.,61,55
10:59,116,Foul on Ace Stallings.,61,55
10:56,2454,Osborn Blount made Jumper.,61,57
10:35,116,Jonah Antonio missed Three Point Jumper.,61,57
10:35,2454,North Florida Defensive Rebound.,61,57
10:14,2454,Noah Horchler missed Layup.,61,57
10:14,116,Ace Stallings Block.,61,57
10:13,116,Ace Stallings Offensive Rebound.,61,57
9:52,116,Greg Alexander made Dunk. Assisted by Ace Stallings.,63,57
9:39,2454,Garrett Sams made Layup. Assisted by Ivan Gandia-Rosa.,63,59
9:24,116,Greg Alexander made Jumper. Assisted by Omar Habwe.,65,59
9:13,2454,Garrett Sams missed Jumper.,65,59
9:13,116,Ace Stallings Defensive Rebound.,65,59
9:08,116,Jonah Antonio missed Three Point Jumper.,65,59
9:08,2454,J.T. Escobar Defensive Rebound.,65,59
8:57,2454,J.T. Escobar made Three Point Jumper. Assisted by Wajid Aminu.,65,62
8:15,116,Greg Alexander missed Three Point Jumper.,65,62
8:15,2454,Garrett Sams Defensive Rebound.,65,62
7:57,2454,Ivan Gandia-Rosa missed Three Point Jumper.,65,62
7:57,116,Donald Carey Defensive Rebound.,65,62
7:35,116,Greg Alexander Turnover.,65,62
7:35,2454,Wajid Aminu Steal.,65,62
7:30,2454,Ivan Gandia-Rosa made Layup. Assisted by Garrett Sams.,65,64
7:11,116,Donald Carey missed Layup.,65,64
7:11,2454,Wajid Aminu Block.,65,64
7:10,2454,Wajid Aminu Defensive Rebound.,65,64
7:08,2454,Garrett Sams made Dunk. Assisted by Wajid Aminu.,65,66
7:08,116,Mt. St. Mary's  Timeout,65,66
7:08,2454,Official TV Timeout,65,66
6:45,116,Junior Robinson missed Jumper.,65,66
6:45,116,Bobby Planutis Offensive Rebound.,65,66
6:21,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,68,66
5:54,2454,Garrett Sams Turnover.,68,66
5:40,2454,Foul on Garrett Sams.,68,66
5:36,116,Jonah Antonio made Three Point Jumper.,71,66
5:25,2454,Garrett Sams made Three Point Jumper. Assisted by J.T. Escobar.,71,69
5:09,116,Junior Robinson missed Layup.,71,69
5:09,2454,Wajid Aminu Block.,71,69
5:09,116,Mt. St. Mary's Offensive Rebound.,71,69
5:04,116,Jonah Antonio missed Three Point Jumper.,71,69
5:04,116,Junior Robinson Offensive Rebound.,71,69
4:52,116,Bobby Planutis missed Three Point Jumper.,71,69
4:52,2454,Wajid Aminu Defensive Rebound.,71,69
4:29,2454,Osborn Blount made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,71,72
4:02,116,Bobby Planutis made Layup. Assisted by Donald Carey.,73,72
3:47,116,Foul on Junior Robinson.,73,72
3:47,2454,Official TV Timeout,73,72
3:39,2454,Garrett Sams missed Three Point Jumper.,73,72
3:39,116,Donald Carey Defensive Rebound.,73,72
3:07,116,Junior Robinson Turnover.,73,72
3:06,2454,Osborn Blount Steal.,73,72
3:06,116,Foul on Greg Alexander.,73,72
3:06,2454,J.T. Escobar missed Free Throw.,73,72
3:06,2454,North Florida Deadball Team Rebound.,73,72
3:06,2454,J.T. Escobar made Free Throw.,73,73
2:48,116,Junior Robinson made Jumper.,75,73
2:32,2454,Ivan Gandia-Rosa missed Layup.,75,73
2:32,2454,Wajid Aminu Offensive Rebound.,75,73
2:31,2454,Wajid Aminu missed Layup.,75,73
2:31,116,Mt. St. Mary's Defensive Rebound.,75,73
2:02,116,Greg Alexander made Layup.,77,73
2:02,2454,Foul on Garrett Sams.,77,73
2:02,116,Greg Alexander made Free Throw.,78,73
1:46,2454,Ivan Gandia-Rosa made Layup.,78,75
1:23,116,Jonah Antonio missed Three Point Jumper.,78,75
1:23,2454,Osborn Blount Defensive Rebound.,78,75
1:05,2454,Ivan Gandia-Rosa made Three Point Jumper.,78,78
1:03,2454,North Florida  Timeout,78,78
0:37,116,Junior Robinson made Jumper.,80,78
0:21,116,Foul on Bobby Planutis.,80,78
0:21,2454,Ivan Gandia-Rosa missed Free Throw.,80,78
0:21,2454,North Florida Deadball Team Rebound.,80,78
0:21,2454,Ivan Gandia-Rosa made Free Throw.,80,79
0:20,2454,Foul on Osborn Blount.,80,79
0:16,2454,Foul on Brian Coffey II.,80,79
0:16,116,Donald Carey made Free Throw.,81,79
0:16,116,Donald Carey made Free Throw.,82,79
0:16,116,Mt. St. Mary's  Timeout,82,79
0:10,2454,Ivan Gandia-Rosa made Layup.,82,81
0:08,2454,Foul on Ivan Gandia-Rosa.,82,81
0:08,116,Donald Carey made Free Throw.,83,81
0:08,116,Donald Carey made Free Throw.,84,81
0:00,2454,Ivan Gandia-Rosa missed Three Point Jumper.,84,81
0:00,116,Junior Robinson Defensive Rebound.,84,81
0:00,2454,End of Game,84,81
