Fort Wayne,82,UIC,2870
8:55,82,Godwin Boahen Turnover.,8,16
8:54,2870,Matt Weir Steal.,8,16
8:49,82,Foul on Godwin Boahen.,8,16
8:26,2870,Dylan Carl made Jumper. Assisted by Bryson Scott.,10,16
8:07,82,Marcus Ottey Turnover.,10,16
7:54,82,Foul on Tarkus Ferguson.,10,16
7:54,82,Official TV Timeout,10,16
7:44,2870,Kason Harrell made Layup.,12,16
7:26,82,Dominique Matthews missed Layup.,12,16
7:26,2870,John Konchar Defensive Rebound.,12,16
7:19,2870,John Konchar missed Three Point Jumper.,12,16
7:19,2870,Jordon King Offensive Rebound.,12,16
7:13,2870,Jordon King missed Two Point Tip Shot.,12,16
7:13,2870,Dylan Carl Offensive Rebound.,12,16
7:09,82,Foul on Tarkus Ferguson.,12,16
7:09,2870,Jordon King made Free Throw.,13,16
7:09,2870,Jordon King missed Free Throw.,13,16
7:09,82,Tai Odiase Defensive Rebound.,13,16
6:55,2870,Foul on Jordon King.,13,16
6:43,82,Tai Odiase missed Layup.,13,16
6:43,82,Jordan Blount Offensive Rebound.,13,16
6:25,82,Jordan Blount Turnover.,13,16
6:23,2870,John Konchar Steal.,13,16
6:18,2870,Kason Harrell missed Three Point Jumper.,13,16
6:18,82,Godwin Boahen Defensive Rebound.,13,16
6:04,82,Dominique Matthews missed Three Point Jumper.,13,16
6:04,2870,John Konchar Defensive Rebound.,13,16
5:39,2870,John Konchar missed Three Point Jumper.,13,16
5:39,2870,Fort Wayne Deadball Team Rebound.,13,16
5:36,82,Foul on Clint Robinson.,13,16
5:36,2870,Xzavier Taylor made Free Throw.,14,16
5:36,2870,Xzavier Taylor made Free Throw.,15,16
5:10,82,Clint Robinson made Layup. Assisted by Dominique Matthews.,15,18
4:48,2870,Xzavier Taylor Turnover.,15,18
4:47,82,Godwin Boahen Steal.,15,18
4:44,82,Jordan Blount missed Layup.,15,18
4:44,2870,John Konchar Defensive Rebound.,15,18
4:43,82,Foul on Jordan Blount.,15,18
4:43,2870,John Konchar missed Free Throw.,15,18
4:43,82,Dikembe Dixson Defensive Rebound.,15,18
4:33,82,Dikembe Dixson Turnover.,15,18
4:32,2870,John Konchar Steal.,15,18
4:28,82,Foul on Jordan Blount.,15,18
4:28,2870,Kason Harrell made Free Throw.,16,18
4:28,2870,Kason Harrell made Free Throw.,17,18
4:14,82,Dikembe Dixson missed Layup.,17,18
4:14,2870,Xzavier Taylor Block.,17,18
4:13,2870,Xzavier Taylor Defensive Rebound.,17,18
3:57,2870,Jax Levitch Turnover.,17,18
3:57,82,Official TV Timeout,17,18
3:38,82,Dikembe Dixson missed Jumper.,17,18
3:38,82,UIC Deadball Team Rebound.,17,18
3:38,2870,Foul on Matt Weir.,17,18
3:38,82,Clint Robinson made Free Throw.,17,19
3:38,82,Clint Robinson made Free Throw.,17,20
3:29,82,Foul on Clint Robinson.,17,20
3:29,2870,Bryson Scott missed Free Throw.,17,20
3:29,2870,Fort Wayne Deadball Team Rebound.,17,20
3:29,2870,Bryson Scott missed Free Throw.,17,20
3:29,82,Tai Odiase Defensive Rebound.,17,20
3:16,82,Marcus Ottey Turnover.,17,20
3:15,2870,Bryson Scott Steal.,17,20
3:05,2870,Kason Harrell missed Three Point Jumper.,17,20
3:05,2870,Fort Wayne Deadball Team Rebound.,17,20
3:04,82,Foul on UIC.,17,20
3:04,82,Foul on Godwin Boahen.,17,20
3:04,2870,Bryson Scott made Free Throw.,18,20
3:04,2870,John Konchar made Free Throw.,19,20
3:04,82,Technical Foul on UIC.,17,20
3:04,2870,Bryson Scott missed Free Throw.,17,20
3:04,2870,Fort Wayne Deadball Team Rebound.,17,20
3:04,2870,John Konchar made Free Throw.,20,20
2:54,2870,Foul on Bryson Scott.,20,20
2:54,82,Godwin Boahen made Free Throw.,20,21
2:54,82,Godwin Boahen made Free Throw.,20,22
2:34,2870,Kason Harrell Turnover.,20,22
2:10,82,Marcus Ottey missed Jumper.,20,22
2:10,2870,John Konchar Defensive Rebound.,20,22
1:57,2870,Jax Levitch made Three Point Jumper. Assisted by Kason Harrell.,23,22
1:42,2870,Foul on Kason Harrell.,23,22
1:42,82,Dikembe Dixson made Free Throw.,23,23
1:42,82,Dikembe Dixson made Free Throw.,23,24
1:25,2870,Chris Rollins missed Three Point Jumper.,23,24
1:25,2870,John Konchar Offensive Rebound.,23,24
1:22,2870,John Konchar missed Layup.,23,24
1:22,82,Tai Odiase Block.,23,24
1:21,2870,Fort Wayne Offensive Rebound.,23,24
1:07,2870,Jordon King made Layup. Assisted by Dylan Carl.,25,24
0:49,82,Dominique Matthews missed Three Point Jumper.,25,24
0:49,2870,John Konchar Defensive Rebound.,25,24
0:25,2870,Chris Rollins missed Layup.,25,24
0:25,82,Dikembe Dixson Block.,25,24
0:23,82,Dikembe Dixson Defensive Rebound.,25,24
0:21,2870,Foul on John Konchar.,25,24
0:21,82,Dominique Matthews made Free Throw.,25,25
0:21,82,Dominique Matthews missed Free Throw.,25,25
0:21,2870,Dylan Carl Defensive Rebound.,25,25
0:01,2870,John Konchar missed Three Point Jumper.,25,25
0:01,2870,Fort Wayne Deadball Team Rebound.,25,25
0:00,82,End of 1st half,25,25
19:48,2870,Kason Harrell missed Three Point Jumper.,25,25
19:48,82,UIC Defensive Rebound.,25,25
19:35,82,Tai Odiase missed Layup.,25,25
19:35,82,Jordan Blount Offensive Rebound.,25,25
19:27,82,Jordan Blount Turnover.,25,25
19:26,2870,John Konchar Steal.,25,25
19:15,2870,Xzavier Taylor missed Layup.,25,25
19:15,82,Tai Odiase Defensive Rebound.,25,25
19:03,82,Dominique Matthews missed Three Point Jumper.,25,25
19:03,2870,John Konchar Defensive Rebound.,25,25
18:54,2870,Bryson Scott missed Three Point Jumper.,25,25
18:54,2870,Fort Wayne Deadball Team Rebound.,25,25
18:50,82,Foul on Tarkus Ferguson.,25,25
18:37,2870,John Konchar missed Three Point Jumper.,25,25
18:37,2870,Xzavier Taylor Offensive Rebound.,25,25
18:33,82,Foul on Dominique Matthews.,25,25
18:33,2870,Xzavier Taylor made Free Throw.,26,25
18:33,2870,Foul on Xzavier Taylor.,26,25
18:33,2870,Technical Foul on Xzavier Taylor.,26,25
18:33,82,Foul on Jordan Blount.,26,25
18:33,82,Technical Foul on Jordan Blount.,26,25
18:33,2870,Xzavier Taylor made Free Throw.,27,25
18:23,2870,Foul on Kason Harrell.,27,25
18:23,82,Dikembe Dixson made Free Throw.,27,26
18:23,82,Dikembe Dixson made Free Throw.,27,27
17:57,2870,Bryson Scott missed Jumper.,27,27
17:57,82,Michael Diggins Defensive Rebound.,27,27
17:48,82,Dominique Matthews Turnover.,27,27
17:48,82,Foul on Dominique Matthews.,27,27
17:41,82,Foul on Dikembe Dixson.,27,27
17:22,2870,Xzavier Taylor made Dunk. Assisted by Bryson Scott.,29,27
17:12,82,Dikembe Dixson Turnover.,29,27
17:11,2870,John Konchar Steal.,29,27
17:06,2870,John Konchar missed Layup.,29,27
17:06,82,Tai Odiase Defensive Rebound.,29,27
16:55,82,Godwin Boahen missed Jumper.,29,27
16:55,2870,John Konchar Defensive Rebound.,29,27
16:44,2870,Bryson Scott missed Three Point Jumper.,29,27
16:44,82,Michael Diggins Defensive Rebound.,29,27
16:38,82,Godwin Boahen missed Layup.,29,27
16:38,2870,John Konchar Defensive Rebound.,29,27
16:17,2870,Bryson Scott missed Jumper.,29,27
16:17,82,Dominique Matthews Defensive Rebound.,29,27
16:09,82,Godwin Boahen missed Layup.,29,27
16:09,2870,Xzavier Taylor Defensive Rebound.,29,27
16:01,2870,Bryson Scott missed Layup.,29,27
16:01,82,Tai Odiase Defensive Rebound.,29,27
15:55,2870,Foul on Jax Levitch.,29,27
15:55,82,Official TV Timeout,29,27
15:50,82,Tai Odiase Turnover.,29,27
15:22,2870,Jairus Stevens Turnover.,29,27
15:09,82,Tai Odiase made Dunk. Assisted by Godwin Boahen.,29,29
14:55,2870,Jairus Stevens missed Jumper.,29,29
14:55,82,Michael Diggins Defensive Rebound.,29,29
14:48,82,Godwin Boahen missed Layup.,29,29
14:48,2870,John Konchar Defensive Rebound.,29,29
14:40,2870,Jordon King made Three Point Jumper.,32,29
14:24,82,Dikembe Dixson missed Jumper.,32,29
14:24,2870,Dylan Carl Block.,32,29
14:22,82,Dikembe Dixson Offensive Rebound.,32,29
14:20,82,Dominique Matthews missed Three Point Jumper.,32,29
14:20,82,UIC Deadball Team Rebound.,32,29
14:19,2870,Foul on Dylan Carl.,32,29
14:12,2870,Foul on Dylan Carl.,32,29
14:08,82,Marcus Ottey made Layup. Assisted by Godwin Boahen.,32,31
13:48,2870,Jax Levitch made Three Point Jumper. Assisted by Matt Weir.,35,31
13:24,82,Tai Odiase missed Jumper.,35,31
13:24,2870,Matt Weir Defensive Rebound.,35,31
13:18,2870,Bryson Scott missed Layup.,35,31
13:18,82,Godwin Boahen Block.,35,31
13:17,2870,Fort Wayne Offensive Rebound.,35,31
13:08,2870,Matt Weir missed Three Point Jumper.,35,31
13:08,82,Marcus Ottey Defensive Rebound.,35,31
12:58,82,Godwin Boahen missed Three Point Jumper.,35,31
12:58,2870,Jax Levitch Defensive Rebound.,35,31
12:45,2870,Jordon King made Three Point Jumper. Assisted by Xzavier Taylor.,38,31
12:30,2870,Foul on Xzavier Taylor.,38,31
12:21,82,Dikembe Dixson missed Three Point Jumper.,38,31
12:21,2870,Bryson Scott Defensive Rebound.,38,31
12:01,2870,Bryson Scott made Layup.,40,31
11:56,82,UIC  Timeout,40,31
11:44,2870,Foul on Xzavier Taylor.,40,31
11:44,82,Official TV Timeout,40,31
11:44,82,Clint Robinson made Free Throw.,40,32
11:44,82,Clint Robinson made Free Throw.,40,33
11:34,82,Foul on Godwin Boahen.,40,33
11:34,2870,Dylan Carl missed Free Throw.,40,33
11:34,2870,Fort Wayne Deadball Team Rebound.,40,33
11:34,2870,Dylan Carl made Free Throw.,41,33
11:20,82,Marcus Ottey missed Jumper.,41,33
11:20,2870,Dylan Carl Defensive Rebound.,41,33
10:57,2870,Dylan Carl made Three Point Jumper. Assisted by Bryson Scott.,44,33
10:44,2870,Foul on John Konchar.,44,33
10:44,82,Dikembe Dixson made Free Throw.,44,34
10:44,82,Dikembe Dixson made Free Throw.,44,35
10:40,2870,Kason Harrell Turnover.,44,35
10:36,82,Dikembe Dixson missed Three Point Jumper.,44,35
10:36,2870,Fort Wayne Defensive Rebound.,44,35
10:29,2870,Matt Weir missed Layup.,44,35
10:29,82,Clint Robinson Block.,44,35
10:29,2870,Fort Wayne Offensive Rebound.,44,35
10:26,2870,Dylan Carl Turnover.,44,35
10:26,2870,Foul on Dylan Carl.,44,35
9:56,82,Clint Robinson Turnover.,44,35
9:55,2870,Matt Weir Steal.,44,35
9:51,2870,Matt Weir Turnover.,44,35
9:49,82,Jordan Blount Steal.,44,35
9:43,82,Godwin Boahen made Jumper.,44,37
9:24,2870,Kason Harrell Turnover.,44,37
9:06,82,Marcus Ottey made Layup. Assisted by Tarkus Ferguson.,44,39
8:48,82,Foul on Godwin Boahen.,44,39
8:48,2870,Kason Harrell missed Free Throw.,44,39
8:48,2870,Jordon King Offensive Rebound.,44,39
8:34,2870,Kason Harrell made Three Point Jumper. Assisted by Cameron Benford.,47,39
8:13,82,Tarkus Ferguson made Layup. Assisted by Jordan Blount.,47,41
7:48,2870,Cameron Benford made Jumper. Assisted by Matt Weir.,49,41
7:34,82,Tarkus Ferguson missed Three Point Jumper.,49,41
7:34,2870,Fort Wayne Defensive Rebound.,49,41
7:31,82,Official TV Timeout,49,41
7:21,2870,John Konchar Turnover.,49,41
7:21,82,Jordan Blount Steal.,49,41
7:19,82,Jordan Blount made Layup.,49,43
7:06,2870,John Konchar missed Three Point Jumper.,49,43
7:06,2870,Fort Wayne Deadball Team Rebound.,49,43
7:06,82,Foul on Clint Robinson.,49,43
7:06,2870,Jax Levitch missed Free Throw.,49,43
7:06,82,Jordan Blount Defensive Rebound.,49,43
6:58,82,Jordan Blount Turnover.,49,43
6:58,82,Foul on Jordan Blount.,49,43
6:46,2870,Jordon King missed Three Point Jumper.,49,43
6:46,82,Tarkus Ferguson Defensive Rebound.,49,43
6:38,82,Dikembe Dixson Turnover.,49,43
6:37,2870,Jordon King Steal.,49,43
6:20,2870,Bryson Scott made Three Point Jumper.,52,43
5:54,2870,Foul on Xzavier Taylor.,52,43
5:54,82,Dikembe Dixson made Free Throw.,52,44
5:54,82,Dikembe Dixson missed Free Throw.,52,44
5:54,2870,Fort Wayne Deadball Team Rebound.,52,44
5:54,82,Foul on Dominique Matthews.,52,44
5:54,2870,John Konchar made Free Throw.,53,44
5:54,2870,John Konchar made Free Throw.,54,44
5:44,82,Dikembe Dixson Turnover.,54,44
5:43,2870,Jax Levitch Steal.,54,44
5:35,2870,John Konchar Turnover.,54,44
5:20,82,Godwin Boahen Turnover.,54,44
4:50,2870,Kason Harrell made Layup. Assisted by John Konchar.,56,44
4:39,82,Tarkus Ferguson missed Three Point Jumper.,56,44
4:39,2870,Fort Wayne Defensive Rebound.,56,44
4:37,82,UIC  Timeout,56,44
4:08,2870,Kason Harrell missed Three Point Jumper.,56,44
4:08,82,Tarkus Ferguson Block.,56,44
4:07,2870,Fort Wayne Deadball Team Rebound.,56,44
4:06,2870,Fort Wayne  Turnover.,56,44
3:58,2870,Foul on Kason Harrell.,56,44
3:58,82,Official TV Timeout,56,44
3:58,82,Marcus Ottey made Free Throw.,56,45
3:58,82,Marcus Ottey made Free Throw.,56,46
3:32,2870,Bryson Scott made Three Point Jumper. Assisted by Matt Weir.,59,46
3:10,82,Marcus Ottey made Jumper.,59,48
2:54,2870,Bryson Scott made Layup.,61,48
2:40,82,Jordan Blount missed Three Point Jumper.,61,48
2:40,2870,Matt Weir Defensive Rebound.,61,48
2:12,2870,Bryson Scott missed Jumper.,61,48
2:12,2870,John Konchar Offensive Rebound.,61,48
2:08,2870,John Konchar missed Two Point Tip Shot.,61,48
2:08,82,Jordan Blount Defensive Rebound.,61,48
2:06,2870,Foul on Jax Levitch.,61,48
2:06,2870,Fort Wayne  Timeout,61,48
2:06,82,Jordan Blount missed Free Throw.,61,48
2:06,82,UIC Deadball Team Rebound.,61,48
2:06,82,Jordan Blount made Free Throw.,61,49
1:56,2870,Bryson Scott made Layup.,63,49
1:41,82,Tarkus Ferguson missed Layup.,63,49
1:41,2870,Bryson Scott Defensive Rebound.,63,49
1:31,2870,Bryson Scott made Layup.,65,49
1:31,82,Foul on Michael Diggins.,65,49
1:31,2870,Bryson Scott missed Free Throw.,65,49
1:31,82,Tai Odiase Defensive Rebound.,65,49
1:13,82,Tai Odiase made Layup. Assisted by Godwin Boahen.,65,51
0:32,2870,Fort Wayne  Turnover.,65,51
0:29,82,Godwin Boahen Turnover.,65,51
0:20,82,Foul on Marcus Ottey.,65,51
0:20,2870,Bryson Scott made Free Throw.,66,51
0:20,2870,Bryson Scott made Free Throw.,67,51
0:12,82,Marcus Ottey missed Jumper.,67,51
0:12,2870,John Konchar Defensive Rebound.,67,51
0:00,82,End of Game,67,51
