Campbell,350,UNC Wilmington,2097
13:45,2097,Mogga Lado Block.,10,14
13:42,350,Jordon Talley Offensive Rebound.,10,14
13:38,350,Nick Powell made Three Point Jumper. Assisted by Jordon Talley.,10,17
13:29,2097,Mogga Lado missed Jumper.,10,17
13:29,350,Marcus Bryan Block.,10,17
13:29,2097,Campbell Offensive Rebound.,10,17
13:23,2097,Chris Clemons missed Jumper.,10,17
13:23,350,Devontae Cacok Defensive Rebound.,10,17
13:09,350,Jay Estime' missed Jumper.,10,17
13:09,350,Devontae Cacok Offensive Rebound.,10,17
13:09,2097,Foul on Mogga Lado.,10,17
12:57,350,Devontae Cacok made Jumper.,10,19
12:34,2097,Cory Gensler missed Jumper.,10,19
12:34,350,Devontae Cacok Defensive Rebound.,10,19
12:14,350,Jay Estime' Turnover.,10,19
12:07,2097,Damontez Oliver made Layup.,12,19
11:32,2097,Foul on Mogga Lado.,12,19
11:32,350,Official TV Timeout,12,19
11:26,350,JaQuel Richmond made Jumper.,12,21
11:18,2097,Chris Clemons made Layup.,14,21
10:56,350,Jaylen Fornes Turnover.,14,21
10:39,2097,Chris Clemons made Three Point Jumper.,17,21
10:23,350,Devontae Cacok missed Jumper.,17,21
10:23,2097,Damontez Oliver Defensive Rebound.,17,21
10:14,350,Foul on Jaylen Fornes.,17,21
10:14,2097,Chris Clemons made Free Throw.,18,21
10:14,2097,Chris Clemons made Free Throw.,19,21
10:01,350,Marcus Bryan Turnover.,19,21
9:59,2097,Chris Clemons Steal.,19,21
9:44,350,Foul on Ty Taylor II.,19,21
9:44,2097,Damontez Oliver missed Free Throw.,19,21
9:44,2097,Campbell Deadball Team Rebound.,19,21
9:44,2097,Damontez Oliver made Free Throw.,20,21
9:38,350,Marcus Bryan Turnover.,20,21
9:16,2097,Jordan Whitfield made Three Point Jumper. Assisted by Andrew Eudy.,23,21
9:01,350,Jaylen Fornes Turnover.,23,21
8:59,2097,Damontez Oliver Steal.,23,21
8:55,2097,Jordan Whitfield Turnover.,23,21
8:54,350,Jaylen Fornes Steal.,23,21
8:52,350,Jaylen Fornes Turnover.,23,21
8:40,2097,Andrew Eudy missed Layup.,23,21
8:40,350,Devontae Cacok Defensive Rebound.,23,21
8:09,350,Devontae Cacok made Jumper.,23,23
7:50,2097,Andrew Eudy missed Jumper.,23,23
7:50,350,Devontae Cacok Defensive Rebound.,23,23
7:39,350,Devontae Cacok missed Jumper.,23,23
7:39,2097,Shane Whitfield Defensive Rebound.,23,23
7:32,2097,Shane Whitfield missed Layup.,23,23
7:32,350,Devontae Cacok Defensive Rebound.,23,23
7:26,2097,Foul on Andrew Eudy.,23,23
7:26,350,Official TV Timeout,23,23
7:10,350,Devontae Cacok missed Layup.,23,23
7:10,350,Devontae Cacok Offensive Rebound.,23,23
7:06,350,Devontae Cacok missed Jumper.,23,23
7:06,2097,Cory Gensler Defensive Rebound.,23,23
6:47,2097,Cory Gensler missed Three Point Jumper.,23,23
6:47,350,Ty Taylor II Defensive Rebound.,23,23
6:28,350,Jordon Talley missed Three Point Jumper.,23,23
6:28,350,Devontae Cacok Offensive Rebound.,23,23
6:26,2097,Foul on Damontez Oliver.,23,23
6:03,350,Jay Estime' made Layup. Assisted by Devontae Cacok.,23,25
5:47,2097,Marcus Burk missed Three Point Jumper.,23,25
5:47,350,Ty Taylor II Defensive Rebound.,23,25
5:31,350,Jordon Talley missed Three Point Jumper.,23,25
5:31,350,Ty Taylor II Offensive Rebound.,23,25
5:28,2097,Foul on Shane Whitfield.,23,25
5:28,350,Ty Taylor II made Free Throw.,23,26
5:28,350,Ty Taylor II made Free Throw.,23,27
5:17,2097,Damontez Oliver missed Three Point Jumper.,23,27
5:17,350,Ty Taylor II Defensive Rebound.,23,27
4:57,350,Ty Taylor II Turnover.,23,27
4:56,2097,Marcus Burk Steal.,23,27
4:53,2097,Chris Clemons made Layup. Assisted by Marcus Burk.,25,27
4:33,350,Jordon Talley Turnover.,25,27
4:20,2097,Marcus Burk missed Three Point Jumper.,25,27
4:20,350,Ty Taylor II Defensive Rebound.,25,27
3:58,350,Ty Taylor II made Three Point Jumper. Assisted by Jordon Talley.,25,30
3:46,2097,Chris Clemons missed Layup.,25,30
3:46,350,Marcus Bryan Defensive Rebound.,25,30
3:39,350,Ty Taylor II missed Jumper.,25,30
3:39,2097,Damontez Oliver Defensive Rebound.,25,30
3:38,350,Foul on Devontae Cacok.,25,30
3:38,350,Official TV Timeout,25,30
3:28,2097,Chris Clemons made Three Point Jumper.,28,30
3:17,350,Jaylen Fornes made Three Point Jumper. Assisted by Jordon Talley.,28,33
2:56,2097,Cory Gensler made Layup.,30,33
2:45,350,Jordon Talley missed Layup.,30,33
2:45,350,Marcus Bryan Offensive Rebound.,30,33
2:41,350,Marcus Bryan made Layup.,30,35
2:19,2097,Marcus Burk missed Three Point Jumper.,30,35
2:19,2097,Shane Whitfield Offensive Rebound.,30,35
2:05,2097,Chris Clemons missed Three Point Jumper.,30,35
2:05,350,Marcus Bryan Defensive Rebound.,30,35
1:56,350,Jordon Talley missed Three Point Jumper.,30,35
1:56,350,Jaylen Fornes Offensive Rebound.,30,35
1:44,350,Jaylen Fornes missed Three Point Jumper.,30,35
1:44,2097,Damontez Oliver Defensive Rebound.,30,35
1:29,350,Foul on Jay Estime'.,30,35
1:23,350,Foul on Jordon Talley.,30,35
1:23,2097,Chris Clemons made Free Throw.,31,35
1:23,2097,Chris Clemons made Free Throw.,32,35
1:01,350,Jay Estime' missed Three Point Jumper.,32,35
1:01,2097,Chris Clemons Defensive Rebound.,32,35
0:53,2097,Chris Clemons Turnover.,32,35
0:52,350,Jordon Talley Steal.,32,35
0:44,350,Jordon Talley missed Three Point Jumper.,32,35
0:44,2097,Chris Clemons Defensive Rebound.,32,35
0:38,2097,Chris Clemons missed Layup.,32,35
0:38,2097,Marcus Burk Offensive Rebound.,32,35
0:34,2097,Marcus Burk made Jumper.,34,35
0:27,350,Nick Powell missed Three Point Jumper.,34,35
0:27,350,Jaylen Fornes Offensive Rebound.,34,35
0:25,2097,Foul on Damontez Oliver.,34,35
0:25,350,Jaylen Fornes made Free Throw.,34,36
0:25,350,Jaylen Fornes made Free Throw.,34,37
0:19,2097,Campbell  Timeout,34,37
0:02,2097,Cory Gensler missed Jumper.,34,37
0:02,350,Jay Estime' Defensive Rebound.,34,37
0:00,350,End of 1st half,34,37
19:37,350,Ty Taylor II made Three Point Jumper. Assisted by Jordon Talley.,34,40
19:17,2097,Cory Gensler Turnover.,34,40
19:05,350,Devontae Cacok Turnover.,34,40
19:03,2097,Chris Clemons Steal.,34,40
19:00,2097,Foul on Shane Whitfield.,34,40
19:00,2097,Shane Whitfield Turnover.,34,40
18:47,2097,Foul on Andrew Eudy.,34,40
18:47,350,Jaylen Fornes made Free Throw.,34,41
18:47,350,Jaylen Fornes missed Free Throw.,34,41
18:47,2097,Damontez Oliver Defensive Rebound.,34,41
18:28,2097,Damontez Oliver missed Three Point Jumper.,34,41
18:28,2097,Campbell Offensive Rebound.,34,41
18:20,2097,Chris Clemons missed Jumper.,34,41
18:20,350,Devontae Cacok Defensive Rebound.,34,41
18:07,350,Devontae Cacok missed Jumper.,34,41
18:07,2097,Shane Whitfield Defensive Rebound.,34,41
17:46,2097,Mogga Lado made Jumper.,36,41
17:32,350,Ty Taylor II made Jumper.,36,43
17:21,2097,Chris Clemons made Three Point Jumper.,39,43
17:07,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,39,45
16:52,2097,Shane Whitfield missed Jumper.,39,45
16:52,350,Marcus Bryan Defensive Rebound.,39,45
16:46,2097,Foul on Shane Whitfield.,39,45
16:27,350,Jordon Talley Turnover.,39,45
16:24,2097,Jordan Whitfield Steal.,39,45
16:20,2097,Marcus Burk made Three Point Jumper. Assisted by Mogga Lado.,42,45
16:01,2097,Foul on Mogga Lado.,42,45
15:43,350,Official TV Timeout,42,45
15:40,350,UNC Wilmington  Turnover.,42,45
15:29,2097,Marcus Burk made Three Point Jumper. Assisted by Damontez Oliver.,45,45
15:03,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,45,47
14:48,2097,Damontez Oliver Turnover.,45,47
14:46,350,Jay Estime' Steal.,45,47
14:41,350,Jay Estime' missed Layup.,45,47
14:41,2097,Mogga Lado Defensive Rebound.,45,47
14:22,2097,Marcus Burk made Three Point Jumper. Assisted by Mogga Lado.,48,47
14:14,2097,Foul on Jordan Whitfield.,48,47
14:06,2097,Foul on Cory Gensler.,48,47
14:06,350,Ty Taylor II missed Free Throw.,48,47
14:06,350,UNC Wilmington Deadball Team Rebound.,48,47
14:06,350,Ty Taylor II made Free Throw.,48,48
13:49,2097,Damontez Oliver missed Layup.,48,48
13:49,350,Ty Taylor II Block.,48,48
13:48,350,Devontae Cacok Defensive Rebound.,48,48
13:31,2097,Foul on Damontez Oliver.,48,48
13:31,350,JaQuel Richmond made Free Throw.,48,49
13:31,350,JaQuel Richmond made Free Throw.,48,50
13:20,2097,Marcus Burk missed Three Point Jumper.,48,50
13:20,350,Devontae Cacok Defensive Rebound.,48,50
13:12,350,Jacque Brown missed Jumper.,48,50
13:12,350,Devontae Cacok Offensive Rebound.,48,50
13:06,350,Nick Powell Turnover.,48,50
13:04,2097,Jordan Whitfield Steal.,48,50
13:03,2097,Jordan Whitfield made Layup.,50,50
12:56,350,JaQuel Richmond Turnover.,50,50
12:49,350,Foul on Jay Estime'.,50,50
12:38,2097,Cory Gensler made Three Point Jumper. Assisted by Mogga Lado.,53,50
12:16,350,Jordon Talley made Jumper.,53,52
12:06,2097,Mogga Lado made Layup.,55,52
11:58,350,Jordon Talley missed Layup.,55,52
11:58,2097,Mogga Lado Block.,55,52
11:55,2097,Jordan Whitfield Defensive Rebound.,55,52
11:46,2097,Marcus Burk made Jumper.,57,52
11:19,350,JaQuel Richmond missed Three Point Jumper.,57,52
11:19,350,Marcus Bryan Offensive Rebound.,57,52
11:12,350,Marcus Bryan Turnover.,57,52
11:07,2097,Mogga Lado Steal.,57,52
10:46,2097,Damontez Oliver made Jumper.,59,52
10:46,350,UNC Wilmington  Timeout,59,52
10:46,350,Official TV Timeout,59,52
10:29,350,Ty Taylor II missed Three Point Jumper.,59,52
10:29,350,Ty Taylor II Offensive Rebound.,59,52
10:21,350,Marcus Bryan made Layup.,59,54
9:50,2097,Marcus Burk missed Three Point Jumper.,59,54
9:50,350,Ty Taylor II Defensive Rebound.,59,54
9:39,350,Jeffrey Gary missed Three Point Jumper.,59,54
9:39,350,Marcus Bryan Offensive Rebound.,59,54
9:38,2097,Foul on Andrew Eudy.,59,54
9:38,350,Official TV Timeout,59,54
9:38,350,Marcus Bryan made Free Throw.,59,55
9:38,350,Marcus Bryan missed Free Throw.,59,55
9:38,2097,Chris Clemons Defensive Rebound.,59,55
9:19,2097,Jordan Whitfield missed Jumper.,59,55
9:19,350,Marcus Bryan Defensive Rebound.,59,55
9:11,350,Jordon Talley made Jumper.,59,57
9:05,350,Foul on Marcus Bryan.,59,57
9:05,2097,Shane Whitfield missed Free Throw.,59,57
9:05,2097,Campbell Deadball Team Rebound.,59,57
9:05,2097,Shane Whitfield missed Free Throw.,59,57
9:05,350,Devontae Cacok Defensive Rebound.,59,57
8:57,350,Ty Taylor II Turnover.,59,57
8:54,2097,Marcus Burk Steal.,59,57
8:53,2097,Marcus Burk made Layup.,61,57
8:26,350,Jeffrey Gary Turnover.,61,57
8:24,2097,Damontez Oliver Steal.,61,57
8:22,2097,Damontez Oliver missed Layup.,61,57
8:22,350,Jordon Talley Defensive Rebound.,61,57
8:15,350,Jeffrey Gary made Layup. Assisted by Jordon Talley.,61,59
8:03,2097,Damontez Oliver Turnover.,61,59
7:59,350,Jaylen Fornes Steal.,61,59
7:56,350,Jaylen Fornes made Dunk.,61,61
7:49,2097,Campbell  Timeout,61,61
7:49,350,Official TV Timeout,61,61
7:32,2097,Jordan Whitfield made Three Point Jumper. Assisted by Shane Whitfield.,64,61
7:15,350,Jordon Talley made Three Point Jumper. Assisted by Ty Taylor II.,64,64
6:44,2097,Shane Whitfield made Layup.,66,64
6:44,350,Foul on Devontae Cacok.,66,64
6:44,2097,Shane Whitfield missed Free Throw.,66,64
6:44,350,Devontae Cacok Defensive Rebound.,66,64
6:35,350,Jordon Talley made Jumper.,66,66
6:14,2097,Cory Gensler Turnover.,66,66
6:13,350,Ty Taylor II Steal.,66,66
6:05,2097,Foul on Shane Whitfield.,66,66
6:05,350,Ty Taylor II missed Jumper.,66,66
6:05,350,Devontae Cacok Offensive Rebound.,66,66
6:05,350,Devontae Cacok missed Free Throw.,66,66
6:05,2097,Cory Gensler Defensive Rebound.,66,66
5:44,2097,Chris Clemons missed Three Point Jumper.,66,66
5:44,350,Devontae Cacok Defensive Rebound.,66,66
5:35,350,Jaylen Fornes made Layup. Assisted by Jordon Talley.,66,68
5:14,350,Foul on Jay Estime'.,66,68
5:14,2097,Mogga Lado missed Free Throw.,66,68
5:14,2097,Campbell Deadball Team Rebound.,66,68
5:14,2097,Mogga Lado made Free Throw.,67,68
5:03,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,67,70
4:35,2097,Mogga Lado made Layup.,69,70
4:35,350,Foul on Devontae Cacok.,69,70
4:35,2097,Mogga Lado missed Free Throw.,69,70
4:35,350,Marcus Bryan Defensive Rebound.,69,70
4:23,350,Jaylen Fornes made Three Point Jumper. Assisted by Jordon Talley.,69,73
4:09,2097,Marcus Burk made Three Point Jumper. Assisted by Mogga Lado.,72,73
4:08,2097,Campbell  Timeout,72,73
4:08,350,Official TV Timeout,72,73
3:58,350,Jay Estime' made Layup. Assisted by Marcus Bryan.,72,75
3:35,350,Foul on Marcus Bryan.,72,75
3:35,2097,Andrew Eudy missed Free Throw.,72,75
3:35,2097,Campbell Deadball Team Rebound.,72,75
3:35,2097,Andrew Eudy made Free Throw.,73,75
3:22,350,Ty Taylor II made Three Point Jumper. Assisted by Jay Estime'.,73,78
3:03,2097,Chris Clemons missed Jumper.,73,78
3:03,350,Ty Taylor II Defensive Rebound.,73,78
2:48,350,Jordon Talley missed Layup.,73,78
2:48,2097,Jordan Whitfield Defensive Rebound.,73,78
2:44,2097,Jordan Whitfield Turnover.,73,78
2:44,350,Jay Estime' Steal.,73,78
2:30,350,Ty Taylor II Turnover.,73,78
2:18,2097,Andrew Eudy missed Three Point Jumper.,73,78
2:18,350,Ty Taylor II Defensive Rebound.,73,78
1:47,350,Jordon Talley made Three Point Jumper. Assisted by Devontae Cacok.,73,81
1:35,2097,Chris Clemons missed Jumper.,73,81
1:35,350,Ty Taylor II Block.,73,81
1:33,2097,Campbell Offensive Rebound.,73,81
1:31,2097,Cory Gensler Turnover.,73,81
1:29,350,Jaylen Fornes Steal.,73,81
1:28,2097,Foul on Jordan Whitfield.,73,81
1:28,350,Jaylen Fornes made Free Throw.,73,82
1:28,350,Jaylen Fornes made Free Throw.,73,83
1:17,2097,Andrew Eudy made Layup.,75,83
0:53,2097,Foul on Jordan Whitfield.,75,83
0:53,350,Jordon Talley made Free Throw.,75,84
0:53,350,Jordon Talley made Free Throw.,75,85
0:45,2097,Marcus Burk made Layup.,77,85
0:45,350,Foul on Jay Estime'.,77,85
0:45,2097,Marcus Burk made Free Throw.,78,85
0:45,350,Jordon Talley Turnover.,78,85
0:32,2097,Marcus Burk made Three Point Jumper.,81,85
0:25,350,UNC Wilmington  Timeout,81,85
0:23,2097,Foul on Ja'Cor Nelson.,81,85
0:23,350,Jordon Talley made Free Throw.,81,86
0:23,350,Jordon Talley made Free Throw.,81,87
0:16,2097,Marcus Burk made Three Point Jumper. Assisted by Jordan Whitfield.,84,87
0:10,2097,Foul on Shane Whitfield.,84,87
0:10,350,JaQuel Richmond missed Free Throw.,84,87
0:10,350,UNC Wilmington Deadball Team Rebound.,84,87
0:10,350,JaQuel Richmond made Free Throw.,84,88
0:01,2097,Jordan Whitfield missed Three Point Jumper.,84,88
0:01,2097,Andrew Eudy Offensive Rebound.,84,88
0:00,350,End of Game,84,88
