The Citadel,2272,High Point,2643
9:03,2643,Matt Frierson Offensive Rebound.,24,21
8:59,2643,Preston Parks missed Three Point Jumper.,24,21
8:59,2272,Luke Vargo Defensive Rebound.,24,21
8:44,2272,Jahaad Proctor missed Jumper.,24,21
8:44,2643,Matt Frierson Defensive Rebound.,24,21
8:36,2643,Alex Reed missed Three Point Jumper.,24,21
8:36,2272,Andre Fox Defensive Rebound.,24,21
8:17,2272,Jahaad Proctor missed Jumper.,24,21
8:17,2272,Jordan Whitehead Offensive Rebound.,24,21
8:11,2272,Jordan Whitehead missed Layup.,24,21
8:11,2643,Zane Najdawi Defensive Rebound.,24,21
7:53,2272,Foul on Jordan Whitehead.,24,21
7:53,2272,Official TV Timeout,24,21
7:48,2643,Zane Najdawi missed Three Point Jumper.,24,21
7:48,2643,The Citadel Offensive Rebound.,24,21
7:46,2272,Foul on Luke Vargo.,24,21
7:40,2643,Zane Najdawi Turnover.,24,21
7:38,2272,Ricky Madison missed Layup.,24,21
7:38,2643,Derek Webster Jr. Block.,24,21
7:34,2272,Justyn Mutts Offensive Rebound.,24,21
7:29,2272,Ricky Madison made Layup. Assisted by Justyn Mutts.,24,23
7:12,2643,Preston Parks missed Three Point Jumper.,24,23
7:12,2272,High Point Defensive Rebound.,24,23
6:50,2272,Justyn Mutts made Layup. Assisted by Jamal Wright.,24,25
6:33,2643,Preston Parks missed Layup.,24,25
6:33,2272,Ricky Madison Defensive Rebound.,24,25
6:31,2643,Foul on Frankie Johnson.,24,25
6:16,2272,Andre Fox missed Layup.,24,25
6:16,2643,Hayden Brown Defensive Rebound.,24,25
6:09,2643,Hayden Brown missed Three Point Jumper.,24,25
6:03,2272,High Point Offensive Rebound.,24,25
5:52,2643,Hayden Brown made Layup.,26,25
5:36,2272,Jamal Wright Turnover.,26,25
5:33,2643,Frankie Johnson Steal.,26,25
5:25,2643,Zane Najdawi made Layup. Assisted by Tariq Simmons.,28,25
4:58,2272,Ricky Madison made Layup. Assisted by Andre Fox.,28,27
4:58,2643,Foul on Hayden Brown.,28,27
4:58,2272,Ricky Madison made Free Throw.,28,28
4:51,2643,Tariq Simmons Turnover.,28,28
4:50,2272,Justyn Mutts Steal.,28,28
4:49,2272,Justyn Mutts Turnover.,28,28
4:36,2643,Frankie Johnson Turnover.,28,28
4:35,2272,Jamal Wright Steal.,28,28
4:26,2272,Jahaad Proctor missed Layup.,28,28
4:26,2643,Hayden Brown Block.,28,28
4:25,2272,High Point Offensive Rebound.,28,28
4:23,2272,Jamal Wright missed Three Point Jumper.,28,28
4:23,2643,Tariq Simmons Defensive Rebound.,28,28
4:18,2643,Hayden Brown made Layup. Assisted by Tariq Simmons.,30,28
3:48,2272,Jahaad Proctor made Three Point Jumper.,30,31
3:34,2643,Hayden Brown missed Three Point Jumper.,30,31
3:34,2643,Zane Najdawi Offensive Rebound.,30,31
3:32,2272,Foul on Austin White.,30,31
3:32,2272,Official TV Timeout,30,31
3:32,2643,Zane Najdawi missed Free Throw.,30,31
3:32,2272,Ricky Madison Defensive Rebound.,30,31
3:16,2272,Austin White made Jumper.,30,33
2:52,2643,Tariq Simmons Turnover.,30,33
2:51,2272,Ricky Madison Steal.,30,33
2:48,2272,Ricky Madison Turnover.,30,33
2:48,2272,Foul on Ricky Madison.,30,33
2:41,2643,Quayson Williams missed Three Point Jumper.,30,33
2:41,2272,Jamal Wright Defensive Rebound.,30,33
2:33,2272,Jahaad Proctor missed Three Point Jumper.,30,33
2:33,2272,Jordan Whitehead Offensive Rebound.,30,33
2:07,2272,Austin White missed Jumper.,30,33
2:07,2643,Preston Parks Defensive Rebound.,30,33
1:47,2272,Foul on Austin White.,30,33
1:47,2643,Rob Johnson made Free Throw.,31,33
1:47,2643,Rob Johnson made Free Throw.,32,33
1:45,2272,Jahaad Proctor Turnover.,32,33
1:32,2643,Matt Frierson missed Three Point Jumper.,32,33
1:32,2643,Hayden Brown Offensive Rebound.,32,33
1:25,2643,Rob Johnson Turnover.,32,33
1:23,2272,Jahaad Proctor Steal.,32,33
1:22,2643,Foul on Preston Parks.,32,33
1:22,2272,Andre Fox made Free Throw.,32,34
1:22,2272,Andre Fox made Free Throw.,32,35
1:08,2643,Matt Frierson made Layup.,34,35
0:56,2272,High Point  Timeout,34,35
0:41,2272,Andre Fox made Layup.,34,37
0:16,2643,Tariq Simmons missed Layup.,34,37
0:16,2272,Jamal Wright Block.,34,37
0:14,2643,Rob Johnson Offensive Rebound.,34,37
0:09,2643,Rob Johnson missed Layup.,34,37
0:09,2643,Hayden Brown Offensive Rebound.,34,37
0:05,2643,Tariq Simmons missed Layup.,34,37
0:05,2272,Andre Fox Defensive Rebound.,34,37
0:01,2272,Justyn Mutts made Layup.,34,39
0:00,2272,End of 1st half,34,39
19:45,2272,Brandon Kamga made Jumper.,34,41
19:02,2643,Kaelon Harris Turnover.,34,41
19:02,2272,Denny Slay Turnover.,34,41
19:02,2643,Preston Parks Steal.,34,41
19:02,2643,Preston Parks missed Layup.,34,41
19:02,2272,Brandon Kamga Defensive Rebound.,34,41
19:02,2272,Brandon Kamga made Layup. Assisted by Jahaad Proctor.,34,43
18:59,2272,Foul on Denny Slay.,34,43
18:45,2643,Preston Parks made Free Throw.,35,43
18:45,2643,Frankie Johnson made Free Throw.,36,43
18:41,2272,Andre Fox made Three Point Jumper.,36,46
18:36,2272,Brandon Kamga missed Three Point Jumper.,36,46
18:36,2643,Zane Najdawi Defensive Rebound.,36,46
18:34,2643,Hayden Brown made Layup.,38,46
18:34,2272,Foul on Andre Fox.,38,46
17:12,2643,Hayden Brown missed Free Throw.,38,46
17:12,2272,Andre Fox Defensive Rebound.,38,46
17:04,2272,Jahaad Proctor made Layup. Assisted by Jamal Wright.,38,48
16:56,2643,Hayden Brown Turnover.,38,48
16:55,2272,Andre Fox Steal.,38,48
16:52,2643,Foul on Hayden Brown.,38,48
16:52,2272,Andre Fox made Free Throw.,38,49
16:52,2272,Andre Fox made Free Throw.,38,50
16:42,2643,Tariq Simmons missed Three Point Jumper.,38,50
16:42,2272,Justyn Mutts Defensive Rebound.,38,50
16:31,2272,Andre Fox Turnover.,38,50
16:30,2643,Matt Frierson Steal.,38,50
16:24,2643,Tariq Simmons missed Layup.,38,50
16:24,2272,Justyn Mutts Block.,38,50
16:24,2643,The Citadel Offensive Rebound.,38,50
16:17,2643,Rob Johnson made Layup.,40,50
16:04,2272,Jordan Whitehead made Layup. Assisted by Justyn Mutts.,40,52
15:54,2643,Kaelon Harris missed Three Point Jumper.,40,52
15:54,2272,Jordan Whitehead Defensive Rebound.,40,52
15:44,2272,Jordan Whitehead missed Layup.,40,52
15:44,2272,Justyn Mutts Offensive Rebound.,40,52
15:40,2272,Justyn Mutts made Layup.,40,54
15:25,2272,Foul on Jamal Wright.,40,54
15:25,2272,Official TV Timeout,40,54
15:25,2643,Kaelon Harris made Free Throw.,41,54
15:24,2643,Kaelon Harris missed Free Throw.,41,54
15:24,2272,Justyn Mutts Defensive Rebound.,41,54
15:01,2272,Ricky Madison Turnover.,41,54
15:01,2272,Foul on Ricky Madison.,41,54
14:48,2643,Tariq Simmons missed Layup.,41,54
14:48,2272,High Point Defensive Rebound.,41,54
14:24,2272,Ricky Madison Turnover.,41,54
14:22,2643,Kaelon Harris Steal.,41,54
14:18,2643,Kaelon Harris Turnover.,41,54
14:17,2272,Justyn Mutts Steal.,41,54
13:50,2272,Jahaad Proctor missed Layup.,41,54
13:50,2272,Jahaad Proctor Offensive Rebound.,41,54
13:49,2643,Foul on Rob Johnson.,41,54
13:49,2272,Jahaad Proctor made Free Throw.,41,55
13:49,2272,Jahaad Proctor made Free Throw.,41,56
13:35,2272,Foul on Austin White.,41,56
13:35,2643,Quayson Williams made Free Throw.,42,56
13:35,2643,Quayson Williams made Free Throw.,43,56
13:06,2272,Jamal Wright missed Three Point Jumper.,43,56
13:06,2643,The Citadel Defensive Rebound.,43,56
12:55,2272,Foul on Jordan Whitehead.,43,56
12:38,2643,Tariq Simmons Turnover.,43,56
12:37,2272,Denny Slay Steal.,43,56
12:32,2272,Brandon Kamga made Dunk. Assisted by Jamal Wright.,43,58
12:26,2643,Quayson Williams Turnover.,43,58
12:24,2272,Jamal Wright Steal.,43,58
12:11,2272,Brandon Kamga missed Jumper.,43,58
12:11,2272,Brandon Kamga Offensive Rebound.,43,58
12:07,2272,Brandon Kamga missed Layup.,43,58
12:07,2643,Quayson Williams Defensive Rebound.,43,58
11:59,2643,Leandro Allende missed Layup.,43,58
11:59,2272,Jamal Wright Block.,43,58
11:56,2643,Leandro Allende Offensive Rebound.,43,58
11:48,2643,Leandro Allende made Three Point Jumper. Assisted by Tariq Simmons.,46,58
11:27,2272,Jamal Wright Turnover.,46,58
11:27,2272,Official TV Timeout,46,58
11:07,2643,Zane Najdawi Turnover.,46,58
11:05,2272,Justyn Mutts Steal.,46,58
11:01,2272,Jahaad Proctor missed Three Point Jumper.,46,58
11:01,2643,The Citadel Defensive Rebound.,46,58
10:50,2272,Foul on Justyn Mutts.,46,58
10:50,2643,Zane Najdawi made Free Throw.,47,58
10:50,2643,Zane Najdawi made Free Throw.,48,58
10:19,2643,Foul on Hayden Brown.,48,58
10:10,2272,Jahaad Proctor made Layup.,48,60
9:58,2643,Preston Parks made Three Point Jumper.,51,60
9:27,2272,Denny Slay missed Jumper.,51,60
9:27,2643,Matt Frierson Defensive Rebound.,51,60
9:18,2643,Preston Parks missed Layup.,51,60
9:18,2643,Hayden Brown Offensive Rebound.,51,60
9:14,2643,Hayden Brown missed Layup.,51,60
9:14,2272,Justyn Mutts Block.,51,60
9:12,2272,Jahaad Proctor Defensive Rebound.,51,60
9:09,2272,High Point  Timeout,51,60
9:03,2272,Brandon Kamga missed Dunk.,51,60
9:03,2272,Jahaad Proctor Offensive Rebound.,51,60
9:01,2272,Ricky Madison missed Layup.,51,60
9:01,2643,Zane Najdawi Block.,51,60
8:59,2643,Kaelon Harris Defensive Rebound.,51,60
8:55,2643,Frankie Johnson made Layup. Assisted by Tariq Simmons.,53,60
8:26,2272,Ricky Madison made Layup. Assisted by Jamal Wright.,53,62
8:10,2643,Preston Parks missed Layup.,53,62
8:10,2272,Ricky Madison Block.,53,62
8:10,2643,The Citadel Offensive Rebound.,53,62
7:57,2643,Tariq Simmons made Layup.,55,62
7:22,2272,High Point  Turnover.,55,62
7:21,2272,Official TV Timeout,55,62
7:06,2643,Zane Najdawi made Three Point Jumper. Assisted by Leandro Allende.,58,62
6:33,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,58,65
6:26,2643,Zane Najdawi missed Layup.,58,65
6:26,2272,Ricky Madison Defensive Rebound.,58,65
6:11,2272,Jahaad Proctor Turnover.,58,65
6:10,2643,Zane Najdawi Steal.,58,65
5:58,2643,Preston Parks missed Layup.,58,65
5:58,2272,Ricky Madison Defensive Rebound.,58,65
5:51,2272,Jamal Wright Turnover.,58,65
5:50,2643,Preston Parks Steal.,58,65
5:48,2643,Preston Parks made Layup. Assisted by Kaelon Harris.,60,65
5:30,2272,Andre Fox Turnover.,60,65
5:28,2643,Kaelon Harris Steal.,60,65
5:27,2643,Kaelon Harris made Layup.,62,65
5:27,2272,Foul on Jamal Wright.,62,65
5:27,2643,The Citadel  Timeout,62,65
5:27,2643,Kaelon Harris missed Free Throw.,62,65
5:27,2272,High Point Defensive Rebound.,62,65
5:05,2272,Denny Slay missed Three Point Jumper.,62,65
5:00,2643,The Citadel Offensive Rebound.,62,65
4:58,2272,Jahaad Proctor Turnover.,62,65
4:57,2643,Rob Johnson Steal.,62,65
4:54,2643,Preston Parks made Three Point Jumper.,65,65
4:39,2272,Andre Fox missed Layup.,65,65
4:39,2643,Kaelon Harris Defensive Rebound.,65,65
4:27,2643,Kaelon Harris made Three Point Jumper. Assisted by Leandro Allende.,68,65
3:57,2272,Andre Fox Turnover.,68,65
3:56,2643,Rob Johnson Steal.,68,65
3:52,2643,Kaelon Harris missed Three Point Jumper.,68,65
3:52,2272,Austin White Defensive Rebound.,68,65
3:44,2272,Austin White missed Layup.,68,65
3:44,2643,Kaelon Harris Defensive Rebound.,68,65
3:37,2643,Preston Parks made Layup.,70,65
3:24,2272,High Point  Timeout,70,65
3:05,2272,Andre Fox missed Layup.,70,65
3:05,2643,Kaelon Harris Defensive Rebound.,70,65
2:59,2643,Kaelon Harris missed Layup.,70,65
2:59,2272,Jahaad Proctor Block.,70,65
2:58,2272,Austin White Defensive Rebound.,70,65
2:58,2643,Foul on Tariq Simmons.,70,65
2:40,2272,Austin White Turnover.,70,65
2:40,2272,Foul on Austin White.,70,65
2:20,2643,Preston Parks made Three Point Jumper.,73,65
1:56,2272,Andre Fox missed Layup.,73,65
1:56,2643,Rob Johnson Defensive Rebound.,73,65
1:50,2643,Tariq Simmons Turnover.,73,65
1:44,2272,Brandon Kamga made Layup.,73,67
1:44,2643,Foul on Kaelon Harris.,73,67
1:44,2272,Brandon Kamga made Free Throw.,73,68
1:27,2643,Rob Johnson made Layup. Assisted by Preston Parks.,75,68
1:27,2272,Foul on Andre Fox.,75,68
1:27,2643,Rob Johnson made Free Throw.,76,68
1:16,2272,Jahaad Proctor missed Three Point Jumper.,76,68
1:16,2643,Leandro Allende Defensive Rebound.,76,68
0:51,2643,Preston Parks missed Three Point Jumper.,76,68
0:51,2272,Andre Fox Defensive Rebound.,76,68
0:42,2272,Jahaad Proctor missed Layup.,76,68
0:42,2643,Rob Johnson Block.,76,68
0:42,2272,High Point Offensive Rebound.,76,68
0:38,2272,Andre Fox made Three Point Jumper. Assisted by Justyn Mutts.,76,71
0:38,2272,High Point  Timeout,76,71
0:34,2643,Matt Frierson Turnover.,76,71
0:34,2272,Austin White Steal.,76,71
0:32,2272,Austin White missed Layup.,76,71
0:32,2272,Andre Fox Offensive Rebound.,76,71
0:28,2272,Andre Fox made Layup.,76,73
0:24,2272,Foul on Andre Fox.,76,73
0:24,2643,Frankie Johnson missed Free Throw.,76,73
0:24,2643,The Citadel Deadball Team Rebound.,76,73
0:24,2643,Frankie Johnson made Free Throw.,77,73
0:24,2643,The Citadel  Timeout,77,73
0:17,2643,Foul on Rob Johnson.,77,73
0:17,2272,Brandon Kamga made Free Throw.,77,74
0:17,2272,Brandon Kamga made Free Throw.,77,75
0:15,2272,Foul on Jahaad Proctor.,77,75
0:15,2643,Frankie Johnson missed Free Throw.,77,75
0:15,2643,The Citadel Deadball Team Rebound.,77,75
0:15,2643,Frankie Johnson made Free Throw.,78,75
0:05,2643,The Citadel  Timeout,78,77
0:04,2272,Justyn Mutts made Layup.,78,77
0:02,2272,Foul on Justyn Mutts.,78,77
0:02,2643,Tariq Simmons made Free Throw.,79,77
0:02,2643,Tariq Simmons missed Free Throw.,79,77
0:02,2272,Justyn Mutts Defensive Rebound.,79,77
0:00,2272,End of Game,79,77
