Bob Jones,Error,Wofford,2747
13:33,3243,Nate Ellenwood missed Three Point Jumper.,2,18
13:33,2747,Storm Murphy Defensive Rebound.,2,18
13:26,2747,Fletcher Magee made Three Point Jumper. Assisted by Storm Murphy.,2,21
13:03,3243,Luc Muhirwa made Jumper. Assisted by Matt Dehart.,4,21
12:59,2747,Matthew Pegram made Three Point Jumper. Assisted by Storm Murphy.,4,24
12:49,3243,Luc Muhirwa missed Jumper.,4,24
12:49,2747,Cameron Jackson Defensive Rebound.,4,24
12:39,2747,Matthew Pegram made Jumper. Assisted by Cameron Jackson.,4,26
11:34,3243,Luc Muhirwa Turnover.,4,26
11:34,3243,Foul on Luc Muhirwa.,4,26
11:12,2747,Derrick Brooks missed Jumper.,4,26
11:12,3243,Bob Jones Defensive Rebound.,4,26
10:47,2747,Foul on Derrick Brooks.,4,26
10:47,3243,Luc Muhirwa made Free Throw.,5,26
10:47,3243,Luc Muhirwa missed Free Throw.,5,26
10:47,2747,Keve Aluma Defensive Rebound.,5,26
10:21,2747,Tray Hollowell Turnover.,5,26
10:21,2747,Foul on Tray Hollowell.,5,26
10:08,3243,Jayson Barnhart missed Three Point Jumper.,5,26
10:08,3243,Cooper George Offensive Rebound.,5,26
9:58,3243,Nate Ellenwood made Jumper.,7,26
9:34,3243,Foul on Nate Ellenwood.,7,26
9:25,2747,Nathan Hoover missed Jumper.,7,26
9:25,2747,Matthew Pegram Offensive Rebound.,7,26
9:23,2747,Matthew Pegram made Layup.,7,28
9:05,2747,Foul on Cameron Jackson.,7,28
8:57,3243,Chris Gray missed Jumper.,7,28
8:57,2747,Cameron Jackson Defensive Rebound.,7,28
8:48,2747,Storm Murphy missed Three Point Jumper.,7,28
8:48,3243,Luc Muhirwa Defensive Rebound.,7,28
8:30,3243,Luc Muhirwa made Layup. Assisted by Tony Henniger.,9,28
8:15,2747,Fletcher Magee missed Jumper.,9,28
8:15,3243,Chris Gray Defensive Rebound.,9,28
7:51,3243,Dustin Killough made Jumper.,11,28
7:30,3243,Foul on Tony Henniger.,11,28
7:30,2747,Cameron Jackson missed Free Throw.,11,28
7:30,2747,Wofford Deadball Team Rebound.,11,28
7:30,2747,Cameron Jackson made Free Throw.,11,29
7:22,3243,Chris Gray made Jumper. Assisted by Cooper George.,13,29
7:03,2747,Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.,13,32
6:45,3243,Chris Gray missed Three Point Jumper.,13,32
6:45,2747,Cameron Jackson Defensive Rebound.,13,32
6:34,2747,Nathan Hoover missed Three Point Jumper.,13,32
6:34,2747,Matthew Pegram Offensive Rebound.,13,32
6:32,2747,Fletcher Magee Turnover.,13,32
6:17,3243,Nate Ellenwood made Jumper. Assisted by Cooper George.,15,32
6:03,2747,Nathan Hoover made Three Point Jumper. Assisted by Storm Murphy.,15,35
5:42,3243,Dustin Killough made Three Point Jumper. Assisted by Nate Ellenwood.,18,35
5:10,2747,Storm Murphy missed Three Point Jumper.,18,35
5:10,3243,Dustin Killough Defensive Rebound.,18,35
4:56,3243,Nate Ellenwood missed Three Point Jumper.,18,35
4:56,2747,Keve Aluma Defensive Rebound.,18,35
4:35,2747,Nathan Hoover made Three Point Jumper. Assisted by Tray Hollowell.,18,38
4:17,3243,Quiyante Burroughs missed Three Point Jumper.,18,38
4:17,3243,Nate Ellenwood Offensive Rebound.,18,38
4:14,3243,Cooper George made Three Point Jumper. Assisted by Nate Ellenwood.,21,38
3:43,2747,Cameron Jackson missed Layup.,21,38
3:43,3243,Nate Ellenwood Defensive Rebound.,21,38
3:34,3243,Nate Ellenwood missed Three Point Jumper.,21,38
3:34,2747,Wofford Defensive Rebound.,21,38
3:32,2747,Official TV Timeout,21,38
3:12,2747,Nathan Hoover missed Jumper.,21,38
3:12,3243,Nate Ellenwood Defensive Rebound.,21,38
2:45,3243,Quiyante Burroughs missed Three Point Jumper.,21,38
2:45,2747,Nathan Hoover Defensive Rebound.,21,38
2:13,2747,Nathan Hoover missed Jumper.,21,38
2:13,2747,Keve Aluma Offensive Rebound.,21,38
2:12,2747,Keve Aluma made Layup.,21,40
2:12,3243,Foul on Luc Muhirwa.,21,40
2:12,2747,Keve Aluma made Free Throw.,21,41
1:54,3243,Dustin Killough made Jumper. Assisted by Cooper George.,23,41
1:42,2747,Nathan Hoover made Three Point Jumper. Assisted by Matthew Pegram.,23,44
1:28,3243,Nate Ellenwood made Three Point Jumper. Assisted by Cooper George.,26,44
1:15,2747,Matthew Pegram made Jumper. Assisted by Fletcher Magee.,26,46
0:58,3243,Luc Muhirwa missed Three Point Jumper.,26,46
0:58,2747,Keve Aluma Defensive Rebound.,26,46
0:48,2747,Matthew Pegram missed Three Point Jumper.,26,46
0:48,3243,Dustin Killough Defensive Rebound.,26,46
0:25,3243,Luc Muhirwa made Jumper. Assisted by Dustin Killough.,28,46
0:02,2747,Matthew Pegram missed Jumper.,28,46
0:02,2747,Wofford Offensive Rebound.,28,46
0:01,2747,Wofford  Timeout,28,46
0:01,2747,Matthew Pegram made Layup. Assisted by Nathan Hoover.,28,48
0:00,2747,End of 1st half,28,48
19:50,2747,Matthew Pegram Turnover.,28,48
19:50,3243,Chris Gray Steal.,28,48
19:27,2747,Foul on Matthew Pegram.,28,48
19:27,3243,Jayson Barnhart made Free Throw.,29,48
19:27,3243,Jayson Barnhart made Free Throw.,30,48
19:11,2747,Cameron Jackson Turnover.,30,48
18:58,2747,Foul on Fletcher Magee.,30,48
18:58,3243,Dustin Killough missed Free Throw.,30,48
18:58,3243,Bob Jones Deadball Team Rebound.,30,48
18:58,3243,Dustin Killough missed Free Throw.,30,48
18:58,3243,Bob Jones Deadball Team Rebound.,30,48
18:58,3243,Dustin Killough made Free Throw.,31,48
18:44,2747,Cameron Jackson made Layup. Assisted by Storm Murphy.,31,50
18:25,3243,Jayson Barnhart made Jumper.,33,50
18:08,2747,Fletcher Magee made Jumper.,33,52
17:49,3243,Dustin Killough Turnover.,33,52
17:48,2747,Matthew Pegram Steal.,33,52
17:44,2747,Storm Murphy made Layup. Assisted by Matthew Pegram.,33,54
17:44,3243,Foul on Quiyante Burroughs.,33,54
17:44,2747,Storm Murphy made Free Throw.,33,55
17:21,3243,Nate Ellenwood missed Three Point Jumper.,33,55
17:21,2747,Matthew Pegram Defensive Rebound.,33,55
17:17,2747,Nathan Hoover made Layup. Assisted by Storm Murphy.,33,57
17:11,3243,Jayson Barnhart Turnover.,33,57
17:11,3243,Foul on Jayson Barnhart.,33,57
17:01,2747,Matthew Pegram missed Jumper.,33,57
17:01,3243,Chris Gray Defensive Rebound.,33,57
16:43,3243,Chris Gray made Jumper. Assisted by Luc Muhirwa.,35,57
16:30,2747,Matthew Pegram made Layup.,35,59
16:09,3243,Nate Ellenwood made Layup.,37,59
15:52,2747,Nathan Hoover missed Three Point Jumper.,37,59
15:52,3243,Nate Ellenwood Defensive Rebound.,37,59
15:41,3243,Nate Ellenwood made Layup.,39,59
15:23,2747,Matthew Pegram missed Jumper.,39,59
15:23,3243,Chris Gray Block.,39,59
15:20,2747,Matthew Pegram Offensive Rebound.,39,59
15:14,2747,Matthew Pegram Turnover.,39,59
15:13,3243,Dustin Killough Steal.,39,59
15:13,2747,Foul on Tray Hollowell.,39,59
15:13,2747,Official TV Timeout,39,59
15:03,2747,Foul on Cameron Jackson.,39,59
15:03,3243,Luc Muhirwa made Free Throw.,40,59
15:03,3243,Luc Muhirwa made Free Throw.,41,59
14:40,2747,Tray Hollowell Turnover.,41,59
14:26,3243,Luc Muhirwa Turnover.,41,59
14:26,3243,Foul on Luc Muhirwa.,41,59
14:09,3243,Foul on Nate Ellenwood.,41,59
14:09,2747,Cameron Jackson missed Free Throw.,41,59
14:09,2747,Wofford Deadball Team Rebound.,41,59
14:09,2747,Cameron Jackson made Free Throw.,41,60
13:47,3243,Dustin Killough made Jumper.,43,60
13:34,2747,Cameron Jackson missed Layup.,43,60
13:34,3243,Dustin Killough Defensive Rebound.,43,60
13:20,3243,Nate Ellenwood made Jumper.,45,60
13:07,2747,Fletcher Magee missed Jumper.,45,60
13:07,2747,Fletcher Magee Offensive Rebound.,45,60
13:00,2747,Nathan Hoover made Jumper. Assisted by Donovan Theme-Love.,45,62
12:39,3243,Luc Muhirwa Turnover.,45,62
12:36,2747,Cameron Jackson Steal.,45,62
12:33,2747,Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.,45,65
12:21,3243,Bob Jones  Timeout,45,65
12:21,2747,Official TV Timeout,45,65
12:12,3243,Chris Gray missed Jumper.,45,65
12:12,2747,Storm Murphy Defensive Rebound.,45,65
11:54,2747,Matthew Pegram Turnover.,45,65
11:53,3243,Jayson Barnhart Steal.,45,65
11:45,3243,Jayson Barnhart made Jumper.,47,65
11:26,2747,Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.,47,68
11:10,3243,Jayson Barnhart made Three Point Jumper. Assisted by Quiyante Burroughs.,50,68
10:56,2747,Fletcher Magee missed Three Point Jumper.,50,68
10:56,2747,Matthew Pegram Offensive Rebound.,50,68
10:55,2747,Matthew Pegram Turnover.,50,68
10:55,2747,Foul on Matthew Pegram.,50,68
10:55,2747,Official TV Timeout,50,68
10:26,3243,Jayson Barnhart Turnover.,50,68
10:24,2747,Storm Murphy Steal.,50,68
10:17,2747,Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.,50,71
9:54,3243,Jayson Barnhart missed Layup.,50,71
9:54,2747,Storm Murphy Defensive Rebound.,50,71
9:44,2747,Storm Murphy missed Three Point Jumper.,50,71
9:44,3243,Quiyante Burroughs Defensive Rebound.,50,71
9:27,3243,Jayson Barnhart missed Three Point Jumper.,50,71
9:27,2747,Matthew Pegram Defensive Rebound.,50,71
9:26,3243,Foul on Chris Gray.,50,71
9:16,2747,Cameron Jackson made Jumper.,50,73
9:14,3243,Quiyante Burroughs missed Layup.,50,73
9:14,2747,Dishon Lowery Defensive Rebound.,50,73
9:03,2747,Fletcher Magee made Layup.,50,75
9:03,3243,Foul on Jayson Barnhart.,50,75
9:03,2747,Fletcher Magee made Free Throw.,50,76
8:42,3243,Nate Ellenwood made Jumper.,52,76
8:24,2747,Nathan Hoover missed Three Point Jumper.,52,76
8:24,3243,Chris Gray Defensive Rebound.,52,76
8:16,3243,Dustin Killough missed Three Point Jumper.,52,76
8:16,2747,Dishon Lowery Defensive Rebound.,52,76
7:46,2747,Nathan Hoover made Three Point Jumper. Assisted by Dishon Lowery.,52,79
7:28,2747,Foul on Nathan Hoover.,52,79
7:28,2747,Official TV Timeout,52,79
7:28,3243,Dustin Killough made Free Throw.,53,79
7:28,3243,Dustin Killough made Free Throw.,54,79
6:24,2747,Nathan Hoover made Jumper.,54,81
6:11,2747,Foul on Nathan Hoover.,54,81
6:11,3243,Nate Ellenwood made Free Throw.,55,81
6:11,3243,Nate Ellenwood made Free Throw.,56,81
5:53,2747,Matthew Pegram made Layup. Assisted by Cameron Jackson.,56,83
5:53,3243,Foul on Jayson Barnhart.,56,83
5:53,2747,Matthew Pegram made Free Throw.,56,84
5:33,3243,Chris Gray missed Jumper.,56,84
5:33,3243,Luc Muhirwa Offensive Rebound.,56,84
5:30,3243,Luc Muhirwa missed Layup.,56,84
5:30,2747,Cameron Jackson Defensive Rebound.,56,84
5:26,2747,Bobby Perez missed Layup.,56,84
5:26,3243,Luc Muhirwa Block.,56,84
5:26,3243,Bob Jones Defensive Rebound.,56,84
5:15,3243,Dustin Killough made Layup.,58,84
5:15,2747,Foul on Cameron Jackson.,58,84
5:15,3243,Dustin Killough made Free Throw.,59,84
5:04,2747,Bobby Perez missed Jumper.,59,84
5:04,2747,Cameron Jackson Offensive Rebound.,59,84
5:00,2747,Cameron Jackson made Layup.,59,86
4:30,3243,Jayson Barnhart missed Layup.,59,86
4:30,2747,Block.,59,86
4:30,3243,Bob Jones Offensive Rebound.,59,86
4:25,3243,Dustin Killough made Jumper.,61,86
4:05,2747,Tray Hollowell missed Three Point Jumper.,61,86
4:05,3243,Chris Gray Defensive Rebound.,61,86
4:05,2747,Foul on Keve Aluma.,61,86
4:05,3243,Jayson Barnhart made Free Throw.,62,86
4:05,3243,Jayson Barnhart made Free Throw.,63,86
3:46,2747,Tray Hollowell Turnover.,63,86
3:46,2747,Official TV Timeout,63,86
3:33,3243,Chris Gray missed Layup.,63,86
3:33,2747,Derrick Brooks Defensive Rebound.,63,86
3:22,2747,Keve Aluma missed Jumper.,63,86
3:22,3243,Bob Jones Defensive Rebound.,63,86
3:07,3243,Nate Ellenwood missed Three Point Jumper.,63,86
3:07,2747,Keve Aluma Defensive Rebound.,63,86
2:56,2747,Derrick Brooks missed Three Point Jumper.,63,86
2:56,3243,Jayson Barnhart Defensive Rebound.,63,86
2:40,3243,Nate Ellenwood Turnover.,63,86
2:39,2747,Keve Aluma Steal.,63,86
2:32,2747,Tray Hollowell missed Three Point Jumper.,63,86
2:32,2747,Wofford Offensive Rebound.,63,86
2:18,2747,Storm Murphy made Three Point Jumper. Assisted by Derrick Brooks.,63,89
2:04,2747,Foul on Derrick Brooks.,63,89
2:04,3243,Dustin Killough made Free Throw.,64,89
2:04,3243,Dustin Killough made Free Throw.,65,89
1:39,2747,Derrick Brooks made Three Point Jumper. Assisted by Bobby Perez.,65,92
1:21,3243,Dustin Killough missed Three Point Jumper.,65,92
1:21,2747,Wofford Defensive Rebound.,65,92
1:14,3243,Foul on Dustin Killough.,65,92
1:14,2747,Derrick Brooks made Free Throw.,65,93
1:14,2747,Derrick Brooks made Free Throw.,65,94
1:01,3243,Bob Jones  Turnover.,65,94
0:33,2747,missed Jumper.,65,94
0:33,2747,Keve Aluma Offensive Rebound.,65,94
0:31,2747,Keve Aluma made Layup.,65,96
0:16,3243,Jayson Barnhart missed Three Point Jumper.,65,96
0:16,2747,Keve Aluma Defensive Rebound.,65,96
0:00,2747,End of Game,65,96
